[0],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ ready))) (. .)))
[23],(ROOT (FRAG (SBAR (IN because) (S (S (NP (JJS most) (JJ elderly) (NNS people)) (VP (MD ca) (RB n't) (VP (VB take) (S (VP (VBG having) (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN noise) (CC and) (NNS kids)))) (VP (VBG running) (ADVP (RB around))))))))) (CC and) (S (NP (NNS things)) (PP (IN like) (NP (DT that)))))) (. .)))
[20],(ROOT (S (CC and) (NP (PRP they)) (ADVP (RB about)) (VP (VBP drive) (NP (PRP$ her) (JJ crazy))) (. .)))
[24],(ROOT (S (PP (IN In) (NP (NP (DT a) (NN situation)) (PP (IN like) (NP (NP (DT that)) (ADVP (RB maybe)))))) (NP (PRP it)) (VP (MD would) (VP (VB be) (ADJP (JJR better)))) (. .)))
[25],"(ROOT (S (S (INTJ (UH Well)) (, ,) (S (NP (PRP we)) (VP (VBP 've))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (PRP we)) (VP (VBP 've) (VP (VBN struggled) (NP (NP (DT a) (NN lot)) (PP (IN with) (NP (PRP it)))) (PP (IN because) (PRN (, ,) (INTJ (UH again)) (, ,)) (NP (NP (JJS most)) (PP (IN of) (NP (DT the) (NN nursing) (NNS homes))))))))) (NP (PRP I)) (VP (VBP 've) (VP (VBN been) (SBAR (IN in) (S (VP (VBP are) (ADJP (RB very) (JJ depressing) (PP (IN to) (NP (PRP me))))))))) (. .)))"
[26],(ROOT (INTJ (UH Uh-huh) (. .)))
[27],(ROOT (S (CC And) (NP (PRP she)) (VP (BES 's) (ADVP (RB still)) (ADJP (JJ alert) (RB enough) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP she)) (VP (MD would) (ADVP (RB really)) (VP (VB know) (SBAR (IN that) (S (NP (PRP we)) (VP (VBD were) (VP (VBG putting) (NP (PRP$ her)) (ADVP (RB there)))))))))))))))))
[29],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP she)) (VP (MD would) (ADVP (RB really)) (VP (VB resent) (NP (PRP it))))))) (, ,))))"
[28],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (. .))))"
[30],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (MD would) (VP (VB make) (S (NP (PRP it)) (ADJP (RB very) (JJ hard)))))))) (. .)))
[32],"(ROOT (S (CC But) (, ,) (PP (IN on) (NP (DT the) (JJ other) (NN hand))) (, ,) (NP (PRP I)) (VP (VBP see) (NP (NP (NP (PRP$ my) (NN wife)) (PP (IN with))) (, ,)))))"
[31],(ROOT (INTJ (UH Uh-huh) (. .)))
[33],(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP$ our) (JJS youngest) (NN one)) (ADVP (RB now)) (VP (VBZ is) (NP (CD five))))))))
[35],(ROOT (S (CC and) (NP (NP (PRP$ her)) (VP (VBG trying) (S (VP (TO to) (VP (VB struggle) (PP (IN because) (NP (PRP$ her) (NN mother))) (ADVP (RB really))))))) (VP (MD can) (RB not) (VP (VB take) (NP (NP (NN care)) (PP (IN of) (NP (PRP herself)))))) (. .)))
[34],(ROOT (INTJ (UH Oh) (. .)))
[37],(ROOT (INTJ (UH Uh-huh) (. .)))
[39],(ROOT (INTJ (UH Oh)))
"[36, 38, 40]",(ROOT (S (NP (PRP She)) (VP (VBZ needs) (S (VP (TO to) (VP (VB be) (VP (VP (VBN bathed) (CC and) (VBN dressed)) (CC and) (VP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (DT those) (NNS kinds)) (PP (IN of) (NP (NNS things))))))))))) (. .)))
[41],"(ROOT (S (S (VP (VB see))) (, ,) (S (INTJ (UH now)) (NP (DT that)) (VP (BES 's) (, ,) (INTJ (DT that) (BES 's)) (, ,) (SBAR (WHNP (DT that)) (S (VP (BES 's) (ADVP (RB really)) (NP (DT a) (JJ sad) (NN situation))))))) (. .)))"
[43],"(ROOT (INTJ (UH Yeah) (, ,)))"
[42],(ROOT (FRAG (CC And) (ADVP (RB so) (NP (DT the) (NN drain))) (PP (IN on) (NP (DT the) (NN family))) (. .)))
[45],"(ROOT (S (CC And) (SBAR (WHADVP (WRB when)) (S (NP (DT the) (NNS kids)) (VP (VBP have) (S (NP (NNS kids)) (VP (VB come) (, ,) (S (NP (PRP you)) (VP (VBP know)))))))) (, ,) (NP (PRP she)) (VP (BES 's) (ADVP (RB always)) (VP (VP (VBG saying)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (SBARQ (WHADVP (WRB why)) (SQ (VBP do) (NP (PRP they)) (VP (VB have) (S (VP (TO to) (VP (VB be) (ADVP (RB here)))))))))) (, ,))))))"
[46],"(ROOT (SBARQ (WHADVP (WRB why)) (SQ (MD ca) (RB n't) (NP (PRP they)) (VP (VB send) (NP (NP (NP (PRP them)) (ADVP (RB home))) (, ,))))))"
[47],(ROOT (S (NP (PRP it)) (VP (BES 's) (ADJP (RB too) (JJ noisy)))))
[44],"(ROOT (S (INTJ (UH really)) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[49],(ROOT (INTJ (UH Uh-huh) (. .)))
[51],"(ROOT (INTJ (UH Yeah) (, ,)))"
[52],"(ROOT (FRAG (PP (UH right)) (, ,)))"
"[48, 50]",(ROOT (S (CC and) (NP (PRP she)) (VP (MD 'll) (VP (VB say) (NP (NP (DT that)) (PP (IN to) (NP (NP (DT the) (NNS kids) (POS ')) (NNS friends)))))) (. .)))
[53],(ROOT (INTJ (UH right) (. .)))
[55],"(ROOT (INTJ (UH Yeah) (, ,)))"
[54],"(ROOT (S (RB So) (NP (PRP it)) (VP (BES 's) (NP (NP (NP (DT a) (JJ hard) (NN situation)) (, ,) (NP (DT either) (NN way)) (, ,)) (SBAR (S (NP (PRP I)) (VP (VBP think)))))) (. .)))"
[57],(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (NP (DT that)) (PP (BES 's) (NP (CD one))) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (S (NP (PRP we)) (VP (VBP 're) (ADVP (RB really)) (VP (VBG wrestling) (PP (IN with)))))))))) (. .)))
[56],"(ROOT (S (PP (IN in) (NP (NP (DT a) (NN case)) (PP (IN like) (NP (DT that))))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP you)) (ADVP (RBR more) (CC or) (RBR less)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (MD would) (VP (VB be) (NP (JJR better)) (SBAR (SBARQ (WHADVP (IN if)) (SQ (SQ (NP (PRP she)) (VP (VBD were) (PP (IN in) (NP (NP (DT a) (NN nursing) (NN home)) (PP (IN because) (NP (PRP you))))))) (SQ (VBP have) (NP (PRP$ your) (NN family)) (VP (VBG growing) (PRT (RP up)))) (FRAG (WHADVP (WRB where))))))))))) (, ,)))"
[59],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
"[58, 61]",(ROOT (SBARQ (WHADVP (WRB When)) (SQ (VBZ does) (NP (PRP it)) (VP (VB become) (ADJP (JJ detrimental) (PP (IN to) (NP (PRP$ our) (NN family)))) (PP (IN to) (NP (NP (DT the) (NN point)) (SBAR (WHNP (WDT that)) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB consider) (NP (DT that)) (SBAR (IN as) (S (VP (VBN opposed) (PP (IN to) (S (VP (VBG considering) (NP (PRP$ her) (JJ current) (NNS circumstances))))))))))))))))))))
[60],(ROOT (INTJ (UH uh-huh) (. .)))
[63],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[62],"(ROOT (FRAG (CC and) (ADVP (, ,))))"
"[64, 66]","(ROOT (PRN (CC but) (NP (NP (DT the) (NN cost)) (PP (IN of) (NP (NP (DT these) (NN nursing)) (SBAR (S (NP (NNS homes)) (VP (VBP are) (ADVP (RB so))))) (PRN (, ,) (S (NP (PRP You)) (VP (VBP know))) (, ,)))))))"
[65],"(ROOT (FRAG (INTJ (UH Oh)) (, ,) (ADVP (JJ prohibitive)) (. .)))"
[67],(ROOT (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))) (VP (MD ca) (RB n't) (VP (VB afford) (NP (DT that)))) (. .)))
[69],"(ROOT (S (S (NP (PRP You)) (VP (VBP know))) (, ,) (RB so) (S (NP (PRP you)) (ADVP (RB really)) (VP (VBP have) (NP (NP (DT no) (NN choice)) (NP (DT that) (NN way))) (SBAR (IN if) (S (NP (PRP you)) (PRN (, ,) (S (NP (PRP you)) (VP (VP (VBP know)) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP 're) (RB not) (ADJP (JJ rich) (CC or) (XX s-))))))) (, ,)) (NP (PRP you)) (VP (VBP know)))))) (. .)))"
[70],"(ROOT (NP (S (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBP know) (NP (NP (DT this) (NN lady)) (SBAR (WHNP (WDT that)))))) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (NP (NP (DT a) (NN friend)) (PP (IN of) (NP (PRP mine))))))) (, ,))))))"
[71],"(ROOT (PRN (S (S (INTJ (UH now)) (NP (PRP$ her) (NN husband)) (VP (VBD was) (ADVP (RB still)) (ADJP (JJ alive) (PP (IN at) (NP (DT the) (NN time)))) (SBAR (WHADVP (WRB when)) (S (NP (PRP she)) (VP (VBD was) (PP (IN in) (NP (RB there)))))))) (, ,) (ADVP (PRP you)) (S (VP (VBP know)))) (, ,)))"
[68],(ROOT (INTJ (UH Yeah) (. .)))
[72],(ROOT (S (CC and) (NP (PRP it)) (VP (VBD was) (VP (VBG costing) (NP (PRP him)) (NP (DT a) (JJ small) (NN fortune) (S (VP (TO to) (VP (VB keep) (NP (PRP her)) (PP (IN in) (NP (RB there))))))))) (. .)))
[73],(ROOT (INTJ (UH Yeah) (. .)))
[74],"(ROOT (INTJ (RB So) (, ,)))"
"[75, 77]","(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (VBP need) (S (VP (TO to) (VP (VB develop) (NP (DT some) (NNS alternatives)) (PP (IN like) (NP (NP (NN adult) (NN day) (NN care)) (SBAR (WHNP (DT that)) (S (VP (BES 's) (ADJP (ADVP (RBR more) (RB readily)) (JJ available)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))))))))))))))))"
[76],(ROOT (INTJ (UH Uh-huh) (. .)))
[79],"(ROOT (INTJ (UH Yeah) (, ,)))"
[80],(ROOT (S (RB then) (VP (VB bring) (NP (PRP$ her)) (ADVP (RB back)) (PP (ADVP (RB home)) (IN at) (NP (NN night)))) (. .)))
[82],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[83],(ROOT (INTJ (UH uh-huh) (. .)))
[85],"(ROOT (INTJ (UH Yeah) (, ,)))"
[86],"(ROOT (S (NP (PRP you)) (VP (VBP know) (, ,) (ADVP (RB just)) (S (VP (VB come) (ADVP (RB home)) (PP (IN for) (NP (NN dinner))))))))"
"[78, 81, 84]",(ROOT (S (S (NP (PRP I)) (VP (VBP think) (SBAR (IN if) (S (NP (PRP we)) (VP (MD could) (VP (VB send) (NP (PRP$ her)) (ADVP (RB someplace)) (PP (IN for) (NP (DT the) (NN day))))))))) (CC and) (S (NP (PRP she)) (VP (MD could) (VP (VP (VB be) (PP (IN around) (NP (DT some) (JJ elderly) (NNS people)))) (CC and) (VP (VB have) (S (NP (DT some) (NNS activities)) (VP (MD would) (VP (VB be) (PP (IN of) (NP (NP (JJR more) (NN interest)) (PP (IN to) (NP (PRP$ her))))))))) (CC and) (ADVP (RB then) (PP (IN in) (NP (DT the) (NN evening)))) (VP (VB have) (S (NP (PRP$ her)) (VP (VP (VB return)) (CC and) (VP (VB be) (PP (IN with) (NP (DT the) (NN family)))))))))) (. .)))
[87],(ROOT (S (CC and) (ADVP (RB then)) (ADVP (RB usually)) (NP (PRP they)) (VP (VBP want) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (NP (NN bed)) (ADVP (RB fairly) (RB early)))) (ADVP (RB anyhow)))))) (. .)))
[89],"(ROOT (S (NP (PRP You)) (VP (VBP know) (SBAR (S (, ,) (ADVP (RB so)) (NP (DT that)) (VP (MD would) (ADVP (RB probably)) (VP (VB be) (ADJP (JJ nice)) (SBAR (IN if) (S (NP (PRP we)) (VP (MD could) (ADVP (RB ever)) (VP (VB get) (NP (NN something)) (PP (IN like) (NP (DT that))))))))))))))"
[88],(ROOT (INTJ (UH Yeah) (. .)))
[90],"(ROOT (FRAG (CC but) (NP (, ,))))"
[91],(ROOT (S (CC But) (NP (EX there)) (VP (BES 's) (RB not) (NP (NP (NN many)) (PP (IN of) (NP (NP (DT those)) (ADJP (JJ available) (ADVP (RB right) (RB now)))))))))
[93],(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBP 're) (ADJP (RB very) (JJ hard) (S (VP (TO to) (VP (VB get) (NP (PRP them)) (PP (IN into))))))))))
[92],(ROOT (INTJ (UH Yeah) (. .)))
[95],(ROOT (INTJ (UH Uh-huh) (. .)))
"[94, 96]",(ROOT (S (CC and) (NP (PRP we)) (VP (VBD tried) (S (VP (VBG sending) (NP (PRP$ her)) (PP (IN to) (NP (DT a) (JJ senior) (NN citizen) (NN center)))))) (. .)))
[97],(ROOT (INTJ (UH Uh-huh) (. .)))
[98],(ROOT (S (CC But) (NP (PRP they)) (VP (VBP 're) (ADVP (RB really)) (RB not) (ADJP (JJ prepared) (S (VP (TO to) (VP (VB cope) (PP (IN with) (NP (PRP her))) (SBAR (IN because) (S (NP (PRP she)) (VP (BES 's) (ADJP (RB somewhat) (JJ senile)))))))))) (. .)))
[99],(ROOT (INTJ (UH Uh-huh) (. .)))
[101],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[102],"(ROOT (FRAG (PP (UH uh-huh)) (, ,)))"
[100],"(ROOT (S (CC And) (ADVP (ADVP (RB so) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT the) (NNS activities))))) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBN engaged) (PP (IN in))))))) (, ,) (NP (PRP she)) (VP (MD ca) (RB n't) (VP (VB participate) (PP (IN in)))) (. .)))"
[104],"(ROOT (S (CC But) (NP (PRP I)) (VP (VBP think) (S (NP (PRP it)) (VP (BES 's) (NP (DT an) (NN issue)) (SBAR (WHNP (WDT that)) (, ,) (S (NP (PRP you)) (VP (VBP know)))) (, ,))))))"
[103],(ROOT (INTJ (UH um) (. .)))
[105],"(ROOT (S (PP (IN with) (NP (NP (DT the) (NN graying)) (PP (IN of) (NP (NNP America))))) (, ,) (NP (PRP we)) (VP (VBP 're) (ADVP (RB really)) (VP (VBG going) (S (VP (TO to) (VP (VB have) (S (VP (TO to) (VP (, ,) (ADVP (IN as) (DT a)) (, ,) (SBAR (IN as) (S (NP (DT a) (NN country)) (VP (VB figure) (PRT (RP out)) (SBAR (WHADVP (WRB how)) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB deal) (PP (IN with) (NP (DT this))))))))))))))))))))) (. .)))"
[107],(ROOT (SBAR (IN Because) (S (NP (PRP it)) (VP (VBZ is) (NP (DT a) (JJ difficult) (NN situation))))))
[106],(ROOT (INTJ (UH Uh-huh) (. .)))
[109],"(ROOT (INTJ (UH Yeah) (, ,)))"
[108],"(ROOT (S (CC and) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP you)) (VP (VBP hate) (S (S (VP (VP (VBG seeing) (NP (PRP them)) (ADVP (RB just))) (, ,) (ADVP (RB sort) (RB of)) (VP (^VBN send) (PRT (RP off))))) (CC and) (S (VP (RB not) (ADVP (RB well)) (VBN cared) (PP (RP for)))))) (. .)))"
[111],"(ROOT (FRAG (CC And) (ADVP (RB yet)) (, ,)))"
"[110, 112]","(ROOT (S (SBAR (IN if) (S (SBAR (IN if) (S (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB know) (NP (NN anybody))))) (CC and) (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB know) (S (SBAR (WHNP (WP what)) (S (VP (BES 's) (VP (VBG going) (PRT (RP on)) (PP (IN around) (NP (NP (PRP them)) (CC and) (NP (NN everything)))) (PP (IN like) (NP (DT that))))))) (, ,) (INTJ (UH well)) (, ,) (NP (PRP I)) (VP (MD can) (VP (VB see))))))))) (, ,) (NP (RB maybe) (DT a) (NN nursing) (NN home)) (VP (MD would) (VP (VB be) (ADJP (JJR better)))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[113],X
[115],"(ROOT (FRAG (S (CC And) (ADVP (RB then)) (NP (PRP I)) (VP (VBP think) (S (S (NP (PRP it)) (VP (VBZ depends) (PP (IN on) (NP (PRP$ their) (JJ physical) (NN ability))))) (, ,) (S (ADVP (RB too)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,))))))"
[114],"(ROOT (S (CC But) (SBAR (IN if) (S (NP (PRP they)))) (, ,) (NP (PRP they)) (VP (VBP have) (NP (PRP$ their) (NNS wits)) (PP (IN about) (NP (NP (PRP them)) (CC and) (NP (NN everything)))) (, ,) (SBAR (WHADVP (WRB why)) (, ,) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of)) (ADJP (JJ hard)))))) (. .)))"
[117],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[118],(ROOT (INTJ (UH uh-huh) (. .)))
[120],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[121],(ROOT (INTJ (UH uh-huh) (. .)))
[122],"(ROOT (S (INTJ (UH Well) (, ,) (UH uh)) (, ,) (NP (PRP$ my) (NN mother)) (ADVP (RB always)) (VP (VBD said) (SBAR (S (NP (PRP she)) (VP (VBZ hopes) (SBAR (S (NP (PRP she)) (ADVP (RB never)) (VP (VBD had) (S (VP (TO to) (VP (VB be) (PP (IN like) (NP (DT that)))))))))))))))"
[123],"(ROOT (S (CC and) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (ADVP (RB luckily)) (, ,) (NP (PRP I)) (VP (VBP mean)))) (, ,) (NP (PRP she)) (VP (VBD lived) (PP (IN by) (NP (PRP herself))))))"
[124],"(ROOT (S (CC and) (ADVP (RB then)) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (NP (NP (CD one) (NN day)) (SBAR (S (NP (PRP she)) (VP (VBD had) (NP (DT a) (NN heart) (NN attack)))))))))"
[125],"(ROOT (PRN (CC and) (S (NP (PRP she)) (VP (VBD was) (VP (VBN gone))) (, ,))))"
[126],"(ROOT (S (ADVP (RB so)) (NP (PRP she)) (ADVP (RB never)) (VP (VBD did) (VP (VB have) (S (VP (TO to) (VP (VB go) (PP (IN into) (NP (NP (DT a) (NN nursing) (NN home) (CC or) (NN anything)) (PP (IN like) (NP (DT that)))))))))) (, ,)))"
"[116, 119]",(ROOT (S (SBAR (IN if) (S (NP (PRP they)) (VP (MD could) (VP (VB be) (UCP (ADVP (RB up)) (CC and) (VP (VBG doing) (NP (DT some) (NNS things)))))))) (NP (PRP it)) (VP (MD might) (VP (VB be) (ADJP (ADJP (JJR better)) (PP (IN than) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP 're) (ADVP (RB just)) (VP (ADVP (RB sort) (RB of)) (VBG needing) (NP (ADJP (RB almost) (JJ constant)) (NN supervision) (CC and) (NN care)))))))))) (. .)))
[127],"(ROOT (S (S (CC but) (NP (EX there)) (VP (BES 's) (NP (ADJP (, ,) (RB so) (JJ many) (PP (IN of) (NP (PRP us)))) (NNS kids)))) (, ,) (NP (EX there)) (VP (VBD was) (NP (INTJ (UH like)) (NP (CD seven))) (PP (IN of) (NP (PRP us))) (SBAR (WHNP (WDT that)) (, ,) (S (S (NP (PRP$ my))) (, ,) (NP (PRP we)) (VP (MD would) (RB n't) (VP (VB have) (ADVP (RB probably)) (VP (VBN allowed) (S (NP (DT that)) (VP (TO to) (VP (VB happen) (ADVP (RB anyhow))))))))))) (. .)))"
[129],"(ROOT (S (NP (PRP You)) (VP (VP (VBP know) (PRN (, ,) (S (S (NP (PRP she)) (VP (MD could) (VP (VB have) (VP (VBN taken) (NP (NP (NNS turns)) (VP (VBG living) (PP (IN with) (NP (NP (DT each) (CD one)) (PP (IN of) (NP (PRP us))))))))))) (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (PP (IN for) (NP (NP (DT a) (XX sh-)) (, ,) (NP (NP (DT a) (XX sh-)) (, ,) (NP (NP (DT a) (NN period)) (PP (IN of) (NP (NN time))))))) (SBAR (IN because) (S (NP (PRP we)) (ADVP (DT all)) (VP (VBP do) (RB n't) (VP (VB live) (PP (IN in) (NP (DT the) (JJ same) (NN city))) (ADVP (RB anyhow)))))))) (, ,)) (XX o-))) (, ,) (CC nor) (VP (NP (DT the) (JJ same) (NN state))))))"
[128],(ROOT (INTJ (UH Yeah) (. .)))
[130],"(ROOT (NP (RB so) (, ,)))"
[132],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (, ,) (ADVP (PRP I)) (VP (VBP have) (NP (NP (DT a) (NN couple) (JJR more)) (SBAR (WHNP (WDT that)) (S (VP (VBP live) (ADVP (IN out) (RB here)) (PP (IN in) (NP (NNP California)))))))) (, ,)))"
