[0],(ROOT (INTJ (UH Okay)))
[18],"(ROOT (S (CC and) (NP (PRP it)) (VP (VBZ has) (NP (NP (DT some) (ADJP (ADJP (RB really) (JJ wonderful)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNS sights)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (PP (IN in) (NP (DT the) (JJ wooded) (NNS areas)))))))) (. .)))"
[19],"(ROOT (S (ADVP (UH Uh)) (, ,) (NP (DT the) (NNS facilities)) (VP (VBP are) (ADJP (RB quite) (JJ nice)))))"
[20],"(ROOT (S (CC and) (NP (PRP$ our) (NNS children)) (VP (VP (VBD liked)) (, ,) (VP (VBD liked) (NP (PRP it)) (ADVP (RB quite) (RB well)))) (. .)))"
[22],"(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP know) (NP (PRP they))) (, ,))))"
[23],(ROOT (S (NP (PRP we)) (VP (VBD felt) (ADJP (RB real) (JJ safe)) (PP (IN with) (NP (NP (PRP$ their) (NN being)) (ADJP (JJ able) (S (VP (TO to) (VP (VB do) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (MD would) (VP (VB like) (S (VP (TO to) (VP (VB do) (ADVP (RB there)) (PP (IN in) (NP (DT the) (NN area))))))))))))))))) (. .)))
[14],(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (PRP they)) (PP (IN like))) (. ?)))
[24],"(ROOT (S (CC And) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP it)) (VP (VBD was) (ADVP (RB just))))) (, ,) (NP (PRP it)) (VP (VBD was) (ADVP (RB just)) (NP (DT a) (ADJP (RB really) (JJ nice)) (NN place) (S (VP (TO to) (VP (VB camp)))))) (. .)))"
[26],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (UH now) (NP (NNP Daingerfield))) (VP (VBZ is)) (, ,)))"
[27],"(ROOT (S (VP (VB let) (S (NP (PRP 's)) (VP (VB see)) (, ,)))))"
[28],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (BES 's) (NP (DT a) (JJ little) (NN bit)) (ADJP (ADJP (ADJP (RBR mor-)) (PRN (, ,) (ADVP (RBR more) (RB east)) (, ,))) (ADVP (RBR further) (RB east)) (, ,) (CC and) (PRN (CC and) (ADVP (RB maybe))) (ADVP (RB south)))))) (, ,) (SBAR (IN if) (S (NP (PRP I)) (VP (VBP am) (VP (VBG remembering) (SBAR (WHADVP (WRB where)) (S (NP (DT that)) (VP (VBZ is))))))))) (. .)))"
[29],"(ROOT (INTJ (UH No) (, ,)))"
[30],"(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (PRP it)) (PP (BES 's) (NP (DT a) (JJ little) (NN bit))) (ADVP (ADVP (RBR further) (RB north)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP think) (PP (IN about) (NP (PRP it)))))))) (. .)))"
[31],"(ROOT (S (S (PP (IN At) (NP (DT any) (NN rate))) (NP (PRP it)) (VP (VBD was))) (, ,) (NP (PRP it)) (VP (VBD was) (ADJP (RB very) (JJ nice) (PP (IN as) (ADVP (RB well))))) (. .)))"
[25],(ROOT (INTJ (UH Uh-huh) (. .)))
[32],"(ROOT (S (CC But) (NP (NNP Tyler)) (, ,) (S (NP (PRP we)) (ADVP (RB sort) (RB of)) (VP (VBD got) (NP (JJ spoiled)) (PP (IN with)))) (, ,) (NP (PRP I)) (VP (VBP think)) (. .)))"
[34],"(ROOT (S (CC But) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP we)) (VP (VBD had) (VP (VBN lived) (PP (IN in) (NP (NNP Michigan))) (SBAR (IN before) (S (NP (PRP we)) (VP (VP (VBD came) (ADVP (RB here))) (CC and) (, ,) (NP (UH uh))))))))) (, ,) (VP (VBD had) (VP (VBN done) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN camping)))) (PP (IN in) (NP (NNP Michigan)) (, ,))))))"
[35],"(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (NP (DT the) (JJ upper) (NN peninsula)) (PP (IN of) (NP (NNP Michigan)))) (, ,) (ADVP (RB especially))) (, ,)))"
[36],"(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (ADVP (RB also)) (, ,) (NP (PRP we)) (VP (VBD had) (VP (VBN done) (NP (NP (DT some) (NN camping)) (PP (IN in) (NP (NNP Colorado)))) (, ,) (PP (IN in) (NP (DT the) (NNS mountains))) (, ,))))))))"
[37],"(ROOT (S (ADVP (RB so)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP$ my) (NNS parents)) (VP (VBD were) (NP (RB real) (JJ avid) (NNS campers))) (XX MUMBLEx)))"
[38],(ROOT (S (CC and) (NP (NP (PRP$ my) (NN husband) (POS 's)) (NNS parents)) (VP (VBD were) (ADVP (RB really)) (NP (JJ avid) (NNS campers)) (PP (IN as) (ADVP (RB well)))) (. .)))
[33],(ROOT (INTJ (UH Uh-huh) (. .)))
[39],(ROOT (S (RB So) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP we)) (ADVP (RB just) (RB kind) (RB of)) (VP (VBD came) (PP (IN by) (NP (PRP it))) (ADVP (RB naturally)))))) (. .)))
[41],(ROOT (FRAG (VP (VBP Do) (S (NP (PRP you)) (VP (VB have) (NP (DT a) (JJ large) (NN tent)))))))
[40],(ROOT (INTJ (UH Yeah) (. .)))
[43],"(ROOT (INTJ (UH Yeah) (, ,)))"
[42],"(ROOT (FRAG (CC or) (ADVP (, ,))))"
[44],(ROOT (S (NP (PRP it)) (VP (VBD was) (NP (NP (DT a) (CD nine)) (PP (IN by) (NP (CD twelve))))) (. .)))
[45],(ROOT (INTJ (UH Uh-huh) (. .)))
[46],(ROOT (INTJ (UH Uh-huh) (. .)))
[48],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (EX there)) (, ,) (ADVP (UH well)) (VP (RB supposedly)) (, ,)))"
[47],"(ROOT (SBARQ (CC And) (WHNP (WRB how) (JJ many)) (SQ (VBZ does) (NP (PRP it)) (VP (VB sleep) (, ,) (INTJ (UH uh)) (, ,) (ADVP (RB comfortably)))) (. ?)))"
[49],(ROOT (S (NP (PRP they)) (ADVP (RB always)) (VP (VBP say) (SBAR (S (NP (PRP it)) (VP (VBZ sleeps) (ADJP (ADJP (JJR more)) (SBAR (IN than) (S (NP (PRP it)) (VP (VBZ does))))))))) (. .)))
[51],"(ROOT (FRAG (CC But) (NP (NP (XX th-)) (, ,) (NP (PRP they)) (, ,))))"
[50],(ROOT (INTJ (UH Right) (. .)))
[52],(ROOT (S (NP (PRP it)) (VP (MD would) (VP (VB have) (VP (VBN slept) (NP (CD three) (NNS adults)) (ADVP (RB anyway))))) (. .)))
[53],"(ROOT (INTJ (UH Yeah) (, ,)))"
[55],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (ADVP (ADVP (RB sort) (RB of) (RB early)) (PP (IN on) (ADVP (RB especially)))) (PP (IN as) (NP (PRP$ our) (NNS children)))) (VP (VBD got) (ADJP (ADJP (NP (DT a) (JJ little) (NN bit)) (JJR bigger)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (SBAR (S (NP (PRP we)) (VP (VBD invested) (PP (IN in) (NP (DT some) (NN stacking))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NNS cots)) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (SBAR (WHNP (WDT that)) (S (VP (VBD were) (PP (IN like) (NP (NN bunk)))))) (, ,)) (NP (NN bunk) (NNS beds)))))))) (, ,)))"
[56],"(ROOT (S (CC but) (NP (PRP they)) (VP (VBD were) (NP (NNS cots)) (, ,) (S (VP (VB fold) (PRT (RP up)) (NP (NNS cots))))) (. .)))"
[57],"(ROOT (S (NP (NP (DT That)) (VP (ADVP (RB really)) (VP (VBD gave) (NP (NP (PRP us)) (ADVP (NP (DT a) (NN lot)) (JJR more))) (NP (NN space)) (, ,) (INTJ (UH um)) (, ,) (NP (NP (NN floor) (NN space)) (CC and) (PRN (, ,) (SBAR (RB so)) (, ,)) (NP (PRP you)))))) (VP (VBD did) (RB not) (VP (VB have) (S (VP (TO to) (VP (VB be) (VP (ADVP (RB constantly)) (VBG getting) (NP (NNS things)) (PP (IN off) (NP (DT the) (NN floor))))))) (SBAR (IN in) (NN order) (S (VP (TO to) (VP (VB walk) (ADVP (RB around))))))))))"
[54],(ROOT (INTJ (UH Yeah) (. .)))
[58],"(ROOT (FRAG (CC and) (ADVP (, ,))))"
[60],"(ROOT (SINV (ADVP (UH uh)) (, ,) (VP (VBD gave) (NP (PRP us)) (NP (DT a) (NN place)) (S (VP (TO to) (VP (VB stack))))) (NP (NP (NNS things)) (PP (IN during) (NP (DT the) (NN day))))))"
[61],(ROOT (S (RB so) (NP (DT that)) (VP (VBD was) (ADJP (RB real) (JJ nice))) (. .)))
[62],"(ROOT (X (CC But) (S (VP (VP (, ,) (S (VP (UH uh) (, ,) (NP (PRP we))))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[63],"(ROOT (SBAR (IN like) (, ,) (S (S (NP (PRP$ my) (NNS in-laws)) (ADVP (RB also)) (VP (VBD had) (NP (DT a) (NN camper)))) (, ,) (CC or) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (NP (DT a) (NN pop)) (PP (RP up) (NP (NN tent)))) (, ,) (NP (PRP you))) (VP (VP (VBP know)) (, ,) (NP (NP (CD one)) (PP (IN of) (NP (DT those) (NN trailer) (NNS tops)))))))))"
[64],(ROOT (S (CC and) (NP (DT those)) (VP (VBP are) (ADJP (RB really) (JJ nice) (RB too))) (. .)))
[59],(ROOT (INTJ (UH Right) (. .)))
[65],"(ROOT (S (S (NP (DT A) (NP (ADJP (ADJP (RB little) (RBR more)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (JJ luxurious)) (, ,) (ADJP (RB so))) (VP (TO to) (VP (VB speak)))) (, ,) (CC but) (FRAG (RB not) (ADJP (JJ much))) (. .)))"
[67],"(ROOT (INTJ (UH Yes) (, ,)))"
[68],(ROOT (INTJ (UH uh-huh) (. .)))
[69],"(ROOT (S (NP (PRP It)) (VP (BES 's) (ADJP (RB really) (JJ nice))) (, ,)))"
[70],"(ROOT (S (PP (IN in) (NP (NN fact))) (, ,) (NP (PRP it)) (ADVP (RB even)) (VP (VP (VBD had)) (, ,) (VP (VBD had) (NP (NP (DT a) (ADJP (ADJP (JJ little) (NN refrigerator)) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (CC and) (NP (DT the) (JJ whole) (NN business))))) (. .)))"
[71],(ROOT (S (NP (PRP It)) (VP (VBD was) (ADJP (RB quite) (JJ nice)) (PP (IN in) (NP (DT that) (NN respect)))) (. .)))
[72],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (CC and)) (ADVP (NN everything)) (VP (VBD was) (ADJP (RB very) (JJ convenient)))))"
[66],"(ROOT (SQ (PP (XX Di-)) (, ,) (VBP do) (NP (PRP they)) (VP (VB have) (NP (NP (DT a) (NN kitchen)) (PP (IN in) (NP (PRP them))))) (. ?)))"
[73],"(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBD did) (RB not) (VP (VB have) (S (VP (TO to) (VP (, ,) (S (VP (TO to) (VP (VB be) (NP (NP (VBG hauling) (NNS things)) (ADVP (IN out)) (PP (IN of) (NP (NP (PRP$ your)) (, ,) (NP (NP (NP (DT the) (NN trunk)) (PP (IN of) (NP (PRP you)))) (NP (NN car))) (, ,)))))))))))))))"
[75],(ROOT (S (CC and) (NP (DT that)) (VP (VBD was) (ADJP (JJ nice))) (. .)))
[74],"(ROOT (FRAG (PP (NP (NN Trunk)) (PP (IN of) (NP (NP (PRP$ your) (NN car)) (NP (DT all) (NN time))))) (, ,) (INTJ (UH right)) (. .)))"
[76],"(ROOT (SBARQ (WHADVP (RB So)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (SQ (VBP do) (NP (PRP you)) (VP (VB have) (NP (NNS plans)) (PP (IN for)) (, ,) (PP (IN for) (NP (NP (DT any) (JJ other) (NN camping) (NNS trips)) (PP (IN in) (NP (DT the) (JJ near) (NN future))))))) (. ?)))"
[78],(ROOT (INTJ (UH Uh-huh) (. .)))
"[77, 79]","(ROOT (FRAG (INTJ (INTJ (UH Uh)) (, ,) (INTJ (INTJ (RB maybe)) (, ,) (INTJ (UH uh)))) (, ,) (NP (NP (RB maybe) (RB back)) (PP (PP (IN to) (NP (NP (NNP Caddo)) (, ,) (ADVP (CC or)))) (PRN (, ,) (INTJ (UH Uh)) (, ,))) (PP (NNP Purdis) (NP (NNP Creek)))) (. .)))"
[81],"(ROOT (S (CC Or) (, ,) (ADVP (PRP I)) (VP (VBP like) (NP (NNP Bob) (NNP Sandlin)) (ADVP (RB too))) (, ,)))"
[80],(ROOT (INTJ (UH Right) (. .)))
[82],(ROOT (S (NP (PRP it)) (VP (BES 's) (NP (DT a) (JJ new) (NN park))) (. .)))
[84],"(ROOT (S (CC And) (NP (EX there)) (VP (VBZ is) (S (VP (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (RB not) (RB really) (NP (NP (NN camping)) (, ,))))))))"
[85],"(ROOT (S (VP (CC but) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[83],(ROOT (INTJ (UH Uh-huh) (. .)))
[86],"(ROOT (SBARQ (WHNP (WP what)) (SQ (VBZ is) (NP (PRP it)) (VP (VBN called) (, ,) (NP (NNP Cedar) (NNP Hill)))) (. .)))"
[87],(ROOT (INTJ (UH Right) (. .)))
[88],(ROOT (NP (NNP Lake) (NNP Joe) (NNP Pool) (. .)))
[89],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yes) (. .))))"
[91],"(ROOT (INTJ (UH Yes) (, ,)))"
[92],"(ROOT (INTJ (UH yes) (, ,)))"
[93],(ROOT (S (NP (PRP I)) (VP (VBP have) (VP (VBN been) (PP (IN in) (NP (DT that) (NN area))))) (. .)))
[94],(ROOT (S (NP (DT That)) (VP (VBZ is) (NP (DT a) (ADJP (RB really) (JJ pretty)) (NN state) (NN park))) (. .)))
[95],"(ROOT (NP (NP (UH Uh)) (PRN (, ,) (ADVP (RB just)) (, ,))))"
[96],"(ROOT (S (NP (PRP we)) (VP (VBD did) (RB not) (VP (VB camp) (ADVP (RB there)))) (, ,)))"
[97],(ROOT (S (CC but) (NP (PRP we)) (VP (VBD drove) (PP (IN through) (NP (PRP it))) (NP (NP (RB just) (CD one) (NN time)) (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (VP (VBD were) (PP (IN in) (NP (DT that) (NN area))))))))))
[98],(ROOT (S (CC and) (NP (PRP it)) (VP (BES 's) (ADJP (RB real) (JJ lovely))) (. .)))
[99],"(ROOT (S (NP (PRP It)) (VP (BES 's) (ADVP (RB close) (PP (IN to) (NP (DT the) (NN lake) (CC and) (RB close)))) (PP (IN to))) (, ,)))"
[100],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADVP (RB close) (PP (IN to) (ADVP (NP (DT the) (NN dam)) (IN up)))) (ADVP (RB there))))))))
[101],"(ROOT (S (SBAR (RB so) (S (NP (PRP it)) (VP (BES 's)))) (, ,) (NP (PRP it)) (VP (BES 's) (ADVP (RB really)) (ADJP (RB quite) (JJ pretty))) (. .)))"
[102],"(ROOT (S (NP (UH Uh) (, ,)) (VP (VBP are) (NP (PRP you)) (, ,) (NP (UH um))) (, ,)))"
[103],"(ROOT (S (VP (VB let) (S (NP (PRP 's)) (VP (VB see) (SBAR (WHNP (WP what)) (S (VP (VBD was))))) (, ,)))))"
[104],(ROOT (S (NP (PRP I)) (VP (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB ask) (S (NP (PRP you)) (NP (NN something) (RB else)))))))) (. .)))
[90],"(ROOT (S (CC And) (ADVP (RB sometime)) (, ,) (NP (PRP I)) (VP (VBP like) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (NNP Eisenhower))) (ADVP (IN up) (PP (IN on) (NP (NNP Lake) (NNP Texoma)))))))) (. .)))"
[106],"(ROOT (FRAG (INTJ (UH Oh) (, ,) (IN fr-)) (, ,) (PP (IN from) (NP (NP (DT those) (CD three)) (, ,)))))"
[105],"(ROOT (SINV (FRAG (INTJ (UH Oh))) (, ,) (VP (VBP do) (S (NP (PRP you)) (VP (VB have) (NP (NP (DT a) (NN favorite)) (PP (IN among) (NP (PDT all) (DT those))))))) (SBAR (WHNP (WDT that)) (S (NP (PRP you)) (VP (VBP have) (VP (VBN been) (PP (IN to)))))) (. ?)))"
[108],"(ROOT (INTJ (UH Yeah) (, ,)))"
[109],(ROOT (INTJ (UH uh-huh) (. .)))
[107],"(ROOT (S (ADVP (RB just)) (, ,) (S (INTJ (INTJ (RB just)) (, ,) (INTJ (UH uh))) (, ,) (PP (IN from) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP have) (VP (VBN been) (NP (DT an) (NN adult))))))) (, ,) (NP (PRP I)) (VP (VBP like) (S (NP (NNP Caddo)) (NP (DT the) (JJS best))))) (. .)))"
[111],"(ROOT (INTJ (UH Yeah) (, ,)))"
[110],"(ROOT (SINV (FRAG (INTJ (UH Uh))) (, ,) (VP (VBZ is) (ADJP (NP (PRP it)) (JJ true))) (SBAR (IN that) (S (NP (NNP Caddo) (NNP Lake)) (VP (VBZ is) (NP (NP (DT the) (RB only) (JJ natural) (NN lake)) (PP (IN in) (NP (NP (DT the) (NNP State)) (PP (IN of) (NP (NNP Texas))))))))) (. ?)))"
[113],"(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (MD would))) (, ,)))"
[114],(ROOT (NP (S (NP (PRP I)) (VP (VB have) (ADVP (RB never)) (VP (VBN been) (ADVP (RB there)))))))
[112],(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[115],(ROOT (S (CC and) (NP (PRP I)) (VP (MD would) (VP (VB love) (S (VP (TO to) (VP (VB see) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBZ looks) (PP (IN like)))))))))) (. .)))
[116],"(ROOT (S (S (NP (PRP It)) (VP (BES 's) (RB not))) (, ,) (NP (PRP it)) (VP (BES 's) (RB not) (ADJP (RB very) (JJ deep))) (. .)))"
[118],"(ROOT (S (CC And) (NP (PRP they)) (VP (VBD did) (VP (VBN build) (NP (DT a) (NN dam)) (PP (IN on) (NP (PRP it)) (, ,))))))"
[119],(ROOT (S (CC but) (NP (PRP it)) (VP (VBD was) (ADVP (RB there)) (SBAR (IN before) (S (NP (PRP they)) (VP (VBD built) (NP (DT the) (NN dam)))))) (. .)))
[117],(ROOT (INTJ (UH Uh-huh) (. .)))
[120],(ROOT (S (NP (PRP It)) (VP (VBZ has) (VP (VBN been) (ADVP (RB there)) (PP (IN for) (NP (DT a) (CD hundred) (NNS years))))) (. .)))
[121],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP I)) (VP (VBP see)) (. .)))"
[122],"(ROOT (S (ADVP (RB Apparently)) (, ,) (NP (DT an) (NN earth) (NN quake)) (VP (VBD caused) (NP (PRP it))) (. .)))"
[123],(ROOT (FRAG (ADJP (WHADVP (WRB How)) (JJ interesting)) (. .)))
[125],(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (ADVP (RB never)) (VP (VBD heard) (NP (NP (DT the) (NN history)) (PP (IN of) (NP (DT that)))))))) (. .)))
[126],"(ROOT (S (INTJ (UH Huh) (, ,) (UH well)) (, ,) (NP (DT that)) (VP (MD might) (VP (VB be) (NP (NP (DT some) (NN place)) (SBAR (WHADVP (WRB where)) (S (NP (NP (PRP$ my) (NN husband)) (CC and) (NP (PRP I))) (VP (MD can) (VP (VB go)))))))) (. .)))"
[127],(ROOT (S (NP (PRP We)) (VP (VBP are) (VP (VBG talking) (PP (IN about) (S (VP (VBG starting) (NP (NN camping)) (ADVP (RB again)) (PP (IN in) (NP (DT the) (NN fall)))))))) (. .)))
[128],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (PRP$ our) (NNS children)) (VP (VBP are) (NP (DT both))) (JJ grown)))"
[129],"(ROOT (S (CC and) (, ,) (CC and) (ADVP (RB so)) (, ,) (NP (PRP it)) (VP (BES 's) (ADVP (RB just) (RB pretty) (JJ much)) (NP (NP (DT the) (CD two)) (PP (IN of) (NP (PRP us))) (SBAR (WHNP (WP who)) (S (VP (VBP do) (NP (NNS things))))))) (. .)))"
[124],(ROOT (INTJ (UH Yeah) (. .)))
[131],"(ROOT (INTJ (UH Yeah) (, ,)))"
[130],"(ROOT (S (CC And) (ADVP (RB so)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP we)) (VP (VBD thought) (SBAR (S (NP (PRP we)) (VP (MD might) (VP (VB take) (NP (DT some) (NN weekend) (NNS trips)))))))) (CC and) (S (ADVP (RB maybe)) (NP (DT that)) (VP (MD would) (VP (VB be) (NP (DT a) (JJ good) (NN place)) (PP (TO to)) (, ,) (S (VP (TO to) (VP (VP (VB go) (PP (IN to))) (CC and) (VP (VB see) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBZ looks) (PP (IN like)))))))))))) (. .)))"
[133],"(ROOT (INTJ (UH Yeah) (, ,)))"
[132],(ROOT (S (NP (PRP it)) (VP (BES 's) (ADJP (RB really) (JJ nice))) (. .)))
[135],"(ROOT (S (CC And) (NP (PRP I)) (, ,) (ADVP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[134],(ROOT (INTJ (UH yeah) (. .)))
[137],(ROOT (S (VP (VBZ Is) (NP (PRP it))) (. ?)))
[138],"(ROOT (S (VP (UH Uh) (PRN (, ,) (INTJ (UH yeah)) (, ,)))))"
[139],(ROOT (S (NP (PRP I)) (VP (VBP think) (ADVP (RB so))) (. .)))
[140],"(ROOT (NP (NP (RB Especially)) (PP (PP (IN with)) (PRN (, ,) (INTJ (UH uh) (, ,) (UH uh)) (, ,)))))"
[136],(ROOT (S (ADVP (RB probably)) (NP (NN spring)) (VP (VBZ is) (ADVP (RB probably)) (NP (NP (DT the) (JJS busiest) (NN time) (RB anywhere)) (PP (IN in) (NP (NNP Texas))))) (. .)))
[141],"(ROOT (S (NP (SBAR (WHADVP (WRB when)) (S (NP (DT the) (NNS trees)) (VP (VBP start) (S (VP (VBG blossoming) (PRT (RP out))))))) (CC and) (NP (NP (NN everything)) (SBAR (S (NP (PRP it)) (VP (VBZ is) (ADVP (RB really)) (ADJP (RB very) (JJ pretty))) (, ,)))))))"
[143],"(ROOT (S (PP (ADVP (RB especially)) (IN in) (NP (NNP East) (NNP Texas))) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (RB really) (JJ nice))) (. .)))"
[142],(ROOT (INTJ (UH Right) (. .)))
[144],"(ROOT (S (ADVP (RB So)) (, ,) (INTJ (UH uh) (, ,) (UH well)) (, ,) (NP (PRP I)) (, ,) (INTJ (UH um)) (, ,) (NP (PRP I)) (VP (VBP have) (VP (VBN enjoyed) (S (VP (VBG talking) (PP (IN with) (NP (PRP you))))))) (. .)))"
[146],"(ROOT (S (CC And) (, ,) (S (INTJ (UH um)) (, ,) (VP (VB have))) (, ,) (VP (UH uh) (, ,) (NP (DT some) (JJ happy) (NN camping) (NNS trips))) (. .)))"
[145],(ROOT (S (NP (PRP It)) (VP (VBD was) (ADJP (JJ nice) (S (VP (VBG talking) (PP (IN to) (NP (PRP you))))))) (. .)))
[149],"(ROOT (INTJ (UH Yeah) (, ,)))"
[148],(ROOT (S (S (VP (VB Hope) (SBAR (S (NP (PRP you)) (VP (VBP get) (PP (IN to) (NP (DT those) (NNS places)))))))) (NP (PRP you)) (VP (VBP have) (VP (VBN talked) (PP (IN about)))) (. .)))
[151],"(ROOT (INTJ (INTJ (UH Well)) (, ,) (INTJ (UH okay) (, ,))))"
[150],(ROOT (S (NP (PRP you)) (VP (ADVP (RB too))) (. .)))
[152],(ROOT (INTJ (UH thanks) (. .)))
[154],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
