[0],"(ROOT (S (INTJ (UH Uh)) (, ,) (VP (VB go) (ADVP (RB ahead))) (, ,)))"
[17],"(ROOT (PRN (CC and) (S (, ,) (NP (DT that)) (VP (BES 's) (NP (NP (DT the) (NNP National) (NNP Endowment)) (PP (IN for) (NP (NNP Arts))))) (, ,))))"
[11],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (JJ staggering))) (. .)))"
[18],"(ROOT (S (S (CC and) (NP (PRP they)) (VP (VBP fund))) (, ,) (NP (PRP they)) (VP (VP (VP (VBD funded) (NP (DT this) (NN thing))) (, ,) (VP (NP (DT this) (NN act)) (PP (IN on) (NP (DT a) (NN stage)))) (CC and) (VP (VBD did) (NP (DT a) (NN study)) (PP (IN on) (NP (PRP it))) (PP (IN between) (NP (NP (CD two) (NNS lesbians)) (CC and) (NP (CD two) (NNS homosexuals)))))) (CC and) (VP (VBD wrote) (NP (DT a) (NN report)) (PP (IN about) (NP (NP (DT that)) (PP (IN with) (NP (PRP$ our) (NN money))))))) (. .)))"
[19],"(ROOT (PRN (S (S (INTJ (UH Well)) (, ,) (NP (EX there)) (VP (VBP are) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS things)) (PP (IN that) (NP (NNS people)))))))) (, ,) (ADVP (PRP I)) (S (VP (VBP think) (ADJP (JJ general))))) (, ,)))"
[21],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ interesting) (S (VP (TO to) (VP (VB look) (PP (IN at)))))) (, ,) (INTJ (UH uh)) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (DT the) (NN money)) (VP (VBZ goes)))))))) (, ,)))"
[22],(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (VBZ goes) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS places)) (SBAR (WHADVP (WRB where)) (S (NP (PRP it)) (ADVP (RB probably)) (VP (MD ought) (RB not) (VP (VB go))))))))))))
[20],(ROOT (S (CC And) (RB then) (NP (PRP it)) (ADVP (RB just)) (VP (VBZ frosts) (NP (PRP me)) (ADVP (RB terribly))) (. .)))
"[23, 25]","(ROOT (PRN (CC and) (S (CC and) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (S (ADVP (RB generally)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (WHNP (WP what)) (S (NP (BES 's) (JJ interesting)) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP we)) (ADVP (RB probably)) (VP (VBP represent) (NP (NP (DT the) (NN majority)) (PP (IN of) (NP (NP (NNS people)) (PP (IN in) (NP (NP (DT this) (NN country)) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (PRP$ their) (NNS feelings)))))))))) (PP (IN about) (NP (DT the) (NN government))))))))))))))))"
[24],(ROOT (INTJ (UH Absolutely) (. .)))
[27],"(ROOT (S (NP (PRP I)) (VP (VBP believe) (SBAR (S (NP (DT that)) (VP (BES 's) (ADJP (JJ true)))))) (, ,)))"
[26],(ROOT (S (CC and) (SBAR (WHADVP (WRB how)) (S (NP (PRP it)) (VP (VBZ serves) (S (NP (PRP us)) (VP (VBN given) (NP (NP (DT the) (ADJP (RB extraordinarily) (JJ large)) (NN sum)) (PP (IN of) (NP (NN money))))))))) (NP (DT the) (NN government)) (VP (VBZ has) (S (VP (TO to) (VP (VB operate) (PP (IN with)))))) (. .)))
[29],"(ROOT (S (CC And) (NP (NP (DT that)) (, ,) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (RB really) (JJ interesting))))))))))))) (VP (VBZ is) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBP do) (PP (IN about) (NP (PRP it))))))) (. .)))"
[28],(ROOT (INTJ (UH yes) (. .)))
[30],"(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (NP (PRP we)) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VB have) (S (VP (TO to) (VP (VB change) (NP (NP (DT the) (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP represent) (NP (PRP us)))))))))))))) (. .)))"
[31],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ correct))) (. .)))
[32],"(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (CC and) (S (NP (PRP I)) (VP (VBP think) (NP (PRP it)) (PP (BES 's) (S (VP (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (RB real) (JJ interesting) (S (VP (TO to) (VP (VP (VB see)) (CC and) (PRN (, ,) (CC and) (ADVP (RB then))) (VP (VB force) (PP (IN upon) (NP (PRP them)))))))))))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))))"
[34],"(ROOT (INTJ (UH Yeah) (, ,)))"
[33],(ROOT (NP (NP (JJ Heavy) (NN involvement)) (PP (IN from) (NP (DT the) (NN public))) (. .)))
[36],(ROOT (INTJ (UH Uh-huh) (. .)))
[38],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[35, 37]","(ROOT (S (S (ADJP (JJ right) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (VP (XX y-))))))) (, ,) (NP (PRP I)) (VP (VBP think) (NP (NP (DT that)) (PP (BES 's) (NP (NP (DT the) (JJ only) (NN thing)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB change) (NP (PRP it))))))))))))) (. .)))"
[39],(ROOT (NP (NP (JJ heavy) (NN involvement)) (PP (IN from) (NP (DT the) (NN public))) (. .)))
"[40, 42]","(ROOT (S (NP (PRP$ Our) (NN anger)) (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB have) (S (VP (TO to)))))) (, ,) (S (VP (TO to) (VP (VB give) (NP (NN rise)) (PP (IN to)) (, ,) (PP (IN to) (NP (NP (JJR more) (NN activity)) (PP (IN on) (NP (PRP$ our) (NN part)))))))))) (. .)))"
[43],"(ROOT (NP (S (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBP 've))) (, ,) (NP (PRP I)) (VP (VBP 've) (VP (VBN said) (PP (IN for) (NP (NNS years))) (SBAR (IN that) (S (NP (EX there)) (VP (BES 's) (NP (JJ full) (NN employment)) (PP (IN for) (NP (DT the) (ADJP (RB politically) (JJ active))))))))))))"
[44],"(ROOT (S (CC and) (PP (IN in) (NP (PRP$ our) (NN society))) (, ,) (INTJ (UH uh)) (, ,) (NP (EX there)) (VP (BES 's) (NP (ADJP (RB very) (JJ little)) (JJ full) (NN employment))) (. .)))"
[41],(ROOT (INTJ (UH Yeah) (. .)))
[45],"(ROOT (S (NP (NP (JJS Most) (NNS people)) (PP (IN in) (NP (DT this) (NN country)))) (VP (VBP are) (VP (VBG getting) (ADJP (ADJP (JJR worse)) (ADVP (RP off)) (, ,) (ADJP (RB not) (JJR better)) (ADVP (RP off))))) (. .)))"
[47],"(ROOT (S (NP (CD Eighty)) (VP (NP (NP (NN percent)) (PP (IN of) (NP (NP (DT the) (NN public)) (, ,) (PP (VBG according) (PP (IN to) (NP (NNP Bill) (NNP Moyers) (POS '))))))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[48],"(ROOT (FRAG (WHNP (WHNP (JJ recent)) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[49],"(ROOT (NP (NP (NN piece)) (PP (PP (IN for)) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[50],"(ROOT (S (S (NP (NP (NNP Public) (NNP Broadcasting)) (, ,) (SBAR (WHNP (WDT which)) (, ,) (S (PP (IN by) (NP (DT the) (NN way))) (VP (VBZ is) (NP (NP (DT a) (ADJP (RB very) (JJ good)) (NN use)) (PP (IN of) (NP (NN government) (NN money))))))))) (. .) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NNP P) (NNP B) (NNP S)) (VP (VBZ is) (ADJP (JJ wonderful)))))) (. .)))"
[51],"(ROOT (S (CC But) (NP (NP (DT this) (JJ special)) (VP (VBN focused) (PP (IN on) (NP (DT the) (NN fact))))) (ADVP (ADVP (IN that) (NP (CD eighty) (NN percent)) (PP (IN of) (NP (DT the) (NNS people)))) (PP (IN in) (NP (DT this) (NN country)))) (VP (VP (VBP are)) (, ,) (VP (VBP are) (VP (VBG seeing) (NP (PRP$ their) (JJ real) (NNS incomes))))) (, ,)))"
[52],"(ROOT (S (CC and) (ADVP (RB thus)) (, ,) (NP (NP (NNS standards)) (PP (IN of) (NP (NN living)))) (, ,) (VP (VBP decline)) (. .)))"
[53],(ROOT (S (CC And) (NP (CD twenty) (NN percent)) (VP (VBP are) (VP (VBG seeing) (SBAR (S (NP (PRP theirs)) (VP (VBP improve)))))) (. .)))
[46],(ROOT (INTJ (UH Absolutely) (. .)))
[55],"(ROOT (INTJ (UH No) (, ,)))"
[56],(ROOT (S (NP (PRP it)) (VP (VBZ is) (RB not)) (. .)))
[57],"(ROOT (S (NP (PRP It)) (VP (BES 's) (ADJP (JJ lopsided)) (, ,) (ADVP (RB very) (RB much)))))"
[54],(ROOT (S (NP (DT That)) (VP (BES 's) (RB not) (NP (NP (DT a) (NN formula)) (PP (IN for) (NP (DT a) (JJR better) (NN society))))) (. .)))
[58],(ROOT (FRAG (ADVP (RB so)) (. .)))
[60],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[61],"(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (JJ right))) (, ,)))"
[59],(ROOT (S (CC And) (NP (DT the) (NN government)) (ADVP (RB really)) (VP (VBZ plays) (NP (NP (DT a) (NN role)) (PP (IN in) (NP (DT this))))) (. .)))
[62],(ROOT (S (NP (PRP they)) (VP (VBP pull) (NP (DT the) (NNS strings))) (. .)))
[64],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[65],"(ROOT (X (DT the) (, ,)))"
[66],(ROOT (INTJ (UH yeah)))
[63],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (, ,) (S (INTJ (UH w-)) (, ,) (INTJ (UH well)) (, ,) (NP (PRP they)) (VP (VBP are) (NP (NP (DT the) (NNS people)) (SBAR (SBAR (WHNP (WP$ whose) (NNS strings)) (S (VP (VBP are) (VP (VBN pulled))))) (CC and) (SBAR (IN by) (S (NP (PRP I)) (VP (VBP guess) (NP (JJ powerful) (XX intere-)))))))))) (, ,)))"
[68],"(ROOT (S (S (NP (PRP You)) (VP (VBP know))) (, ,) (CC and) (S (NP (PRP it)) (VP (BES 's) (ADJP (RB really) (JJ interesting)) (S (VP (TO to) (VP (VB see) (SBAR (WHADVP (WRB how)) (S (NP (DT that)) (VP (VBZ affects) (NP (NNS people)))))))) (SBAR (IN because) (S (NP (NP (ADJP (ADJP (RB essentially) (JJR more)) (CC and) (ADJP (JJR more))) (NNS people)) (PP (IN in) (NP (DT this) (NN country)))) (VP (VBP are) (RB not) (ADJP (JJ likely) (S (VP (TO to) (VP (VB revolt) (PP (IN in) (NP (NP (DT the) (NN way)) (SBAR (WHNP (WDT that) (NNS people)) (S (VP (VBD used) (S (VP (TO to) (VP (VB think) (PP (IN of)))))))) (, ,) (PP (IN of) (NP (DT the) (NN voter) (NN revolting)))))))))))))) (. .)))"
[69],(ROOT (S (CC But) (NP (NNS people)) (VP (VBP are) (ADVP (RB pretty) (RB much)) (VP (VBG getting) (NP (DT the) (NN picture)) (SBAR (IN that) (S (NP (DT some) (NNS people)) (VP (VBP get) (SBAR (S (S (VP (VP (VBN taken) (NP (NP (NN care)) (PP (IN of)))) (CC and) (VP (JJ others)))) (VP (VBP do) (RB n't)))))))))))
[70],"(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ unfair)))))) (, ,))))"
[71],"(ROOT (S (CC and) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP recognize) (SBAR (IN that) (S (NP (PRP it)) (VP (BES 's) (NP (PRP$ their) (NN tax) (NN money)))))))) (, ,) (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB do) (NP (JJR more)) (PP (IN about) (NP (PRP it)))))))) (. .)))"
[72],"(ROOT (S (S (NP (PRP I)) (VP (XX th-))) (, ,) (NP (PRP I)) (VP (MD 'll) (VP (VB tell) (NP (NP (PRP you)) (ADJP (ADJP (NP (CD one)) (JJ quick)) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (NP (NP (CD one) (NN thing)) (ADJP (RB very) (JJ interesting))))) (. .)))"
[73],"(ROOT (S (NP (NNP C)) (VP (NP (NP (NNP B) (NNP S)) (, ,) (SBAR (IN after) (S (NP (NP (DT the) (NNP State)) (PP (IN of) (NP (DT the) (NNP Union) (NN address)))) (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB open) (PRT (RP up)) (NP (DT a) (NN telephone) (NN line)))))))))) (, ,) (NP (DT an) (ADJP (QP (CD eight) (CD hundred))) (NN number)))))"
[67],(ROOT (NP (. .)))
[74],(ROOT (S (CC and) (NP (NNS people)) (VP (VP (MD can) (VP (VB call) (PP (IN in)))) (CC and) (VP (VBP say) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP think) (PP (IN about) (SBAR (WHNP (WP what)) (S (VP (BES 's) (VP (VBG going) (PRT (RP on)) (PP (IN in) (NP (DT this) (NN country))))))))))))) (. .)))
[75],(ROOT (INTJ (UH Uh-huh) (. .)))
[77],X
[79],X
"[76, 78, 80]","(ROOT (S (NP (PRP They)) (VP (VBP expect) (PRN (, ,) (S (VP (VBG opening) (NP (PRP it)) (PP (IN for) (NP (CD one) (NN hour))))) (, ,)) (SBAR (IN that) (S (NP (PRP they)) (VP (MD 'll) (VP (VB get) (NP (NP (CD three)) (, ,) (NP (QP (CD hundred) (CD thousand)) (NN telephone) (NNS calls)))))))) (. .)))"
[81],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sure) (SBAR (S (NP (PRP they)) (VP (MD will)))))) (. .)))
[83],(ROOT (INTJ (UH Uh-huh) (. .)))
"[82, 84, 86]","(ROOT (S (CC And) (NP (PRP I)) (VP (VBP 've) (VP (VBN thought) (PP (IN for) (NP (NP (NP (NNS years)) (SBAR (S (NP (PRP it)) (VP (MD would) (VP (VB make) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN sense)))) (PP (TO to) (NP (UCP (SBAR (WHNP (XX p-)) (PRN (, ,) (S (VP (VB create) (NP (NP (DT an) (ADJP (QP (CD eight) (CD hundred))) (NN number)) (PP (IN for) (NP (NNS voters))))))) (S (VP (TO to) (VP (VP (VB call)) (CC and) (, ,) (CC and) (VP (VB vent) (NP (PRP$ their) (NN frustration)) (PP (IN with) (NP (NN government))))))) (. .)) (PP (IN Like) (NP (NP (CD one)) (, ,) (SBAR (QP (CD eight) (CD hundred)) (WHNP (NP (NN capitol) (CC or) (NN something)) (PP (IN like) (NP (DT that)) (. .))) (S (NP (PRP You)) (VP (VBP know)))) (, ,)))) (XX y-)))))))) (, ,) (RB just) (NP (NP (DT a) (NN number)) (SBAR (S (NP (PRP you)) (VP (MD could) (VP (VB call) (PP (IN from) (NP (NP (RB anywhere)) (, ,) (NP (RB anytime))))))))))))) (. .)))"
[87],(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (NP (DT that)) (PP (BES 's) (NP (VBG coming)))))))
[88],"(ROOT (S (CC and) (NP (PRP I)) (VP (VBP think) (SBAR (IN once) (, ,) (S (SBAR (IN once) (S (NP (NNS people)) (ADVP (RB really)) (VP (VBP start) (S (VP (TO to) (VP (VB communicate) (SBAR (WHADVP (WRB how)) (S (NP (PRP they)) (VP (VBP feel)))))))))) (, ,) (NP (NNS things)) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VB change))))))))) (. .)))"
[89],"(ROOT (S (S (SBAR (IN Until) (S (ADVP (RB then)) (, ,) (NP (PRP I)) (VP (VBP think)))) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (NP (PRP it)) (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (RB really) (JJ painful))))))) (. .)))"
[90],"(ROOT (SBARQ (RB So) (SBAR (X (DT the)) (S (NP (NN question)) (VP (VBZ is)))) (, ,) (WHADVP (WRB how) (RB soon)) (SQ (VBP are) (NP (PRP we)) (VP (VBG going) (S (VP (TO to) (VP (VB start) (S (VP (TO to) (VP (VB get) (NP (NP (PRP$ our) (NN money) (POS 's)) (NN worth))))))))))))"
[91],"(ROOT (S (CC and) (, ,) (SBAR (IN as) (S (NP (PRP you)) (VP (VBD said)))) (, ,) (NP (PRP it)) (VP (BES 's) (SBAR (WHADVP (WRB how) (RB soon)) (S (NP (PRP we)) (VP (VBP get) (ADJP (VBN involved))) (, ,))))))"
[85],(ROOT (INTJ (UH Uh-huh) (. .)))
[93],"(ROOT (INTJ (UH Yes) (, ,)))"
[94],"(ROOT (S (NP (PRP I)) (VP (VBP understand) (NP (DT that))) (, ,)))"
[92],"(ROOT (S (S (CC and) (NP (PRP I)) (VP (VBP think) (S (NP (PRP we)) (VP (VP (VBP need) (S (VP (TO to) (VP (VB create) (NP (NNS mechanisms)) (S (VP (TO to) (VP (VB allow) (S (NP (PRP us)) (VP (TO to) (VP (VB get) (ADJP (VBN involved))))) (, ,) (NP (UH like))))) (S (VP (VBG allowing) (S (NP (PRP us)) (VP (TO to) (VP (VB call) (NP (DT a) (NN toll) (JJ free) (NN number))))))))))) (CC and) (VP (VBP say)))) (, ,) (S (INTJ (UH hey)) (, ,) (VP (VP (VB look)) (, ,) (VP (VB do) (NP (PRP it)) (NP (NP (DT this) (NN way)) (, ,) (RB not) (NP (DT that) (NN way)))))))) (, ,) (CC or) (S (S (NP (PRP I)) (VP (VBP like) (NP (DT this)))) (, ,) (CC or) (S (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB like) (NP (DT that))))) (, ,) (CC or) (S (NP (DT this)) (VP (VBZ is) (SBAR (WHADVP (WRB how)) (S (NP (PRP I)) (VP (VBP feel) (PP (IN about) (NP (NP (PRP$ your) (NN spending)) (SBAR (S (NP (NP (PRP$ my) (NN money)) (PP (IN on) (NP (NP (NN art)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think)))))))) (VP (VBZ is) (NP (NN art)))))))))))))) (. .)))"
[96],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (DT that)) (VP (BES 's) (NP (NP (DT the) (JJ good) (NN thing)) (PP (IN about) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (VP (VBG happening) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP think) (S (ADJP (JJR more) (CC and) (JJR more) (SBAR (S (NP (NP (DT the) (NN news) (NNS media)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VP (VBZ takes) (NP (NP (DT a) (NN heck)) (PP (IN of) (NP (DT a) (NN beating))))) (CC and) (, ,) (CC and) (VP (VBZ deserves) (NP (NP (DT some)) (PP (IN of) (NP (PRP it)))))))) (, ,)) (VP (VBZ is) (VP (VBG telling) (NP (PRP us)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (PP (IN about) (NP (DT the) (NNS problems))))))))))))))))))) (. .)))"
[95],(ROOT (FRAG (CC but) (SBAR (ADVP (RB hopefully)) (IN that) (S (NP (NP (DT the) (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBG listening) (PP (IN to) (SBAR (WHNP (WP what)) (S (NP (PRP$ our) (NNS comments)) (VP (VBP are)))))))))) (VP (VBP take) (NP (NP (DT some) (NN action)) (PP (IN on) (NP (PRP it))))))) (. .)))
[97],"(ROOT (S (RB So) (SBAR (X (DT the) (RBR more)) (S (NP (PRP we)) (VP (VBP communicate)))) (, ,) (S (INTJ (UH hey)) (, ,) (VP (VB look))) (, ,) (NP (PRP we)) (VP (VBP want) (NP (DT a) (NN change)) (ADVP (RB here)) (, ,) (SBAR (IN because) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (S (SBAR (IN as) (S (NP (PRP it)) (VP (VBZ turns) (PRT (RP out))))) (, ,) (NP (PRP we)) (VP (VBP 've) (VP (VBN wasted) (NP (NP (DT a) (JJ tremendous) (NN amount)) (PP (IN of) (NP (NN money)))) (PP (IN on) (NP (PRP$ our) (NN defense) (NN spending))) (PP (IN in) (NP (DT this) (NN country)))))))) (. .)))"
[98],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH absolutely) (. .))))"
[100],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[99],(ROOT (FRAG (PP (IN Over) (NP (NP (DT a) (ADJP (RB very) (JJ long)) (NN period)) (PP (IN of) (NP (NN time))))) (. .)))
[101],(ROOT (INTJ (UH absolutely) (. .)))
[102],"(ROOT (S (VP (VP (UH Uh) (, ,) (ADVP (CC and))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[103],(ROOT (S (NP (PRP We)) (ADVP (RB only)) (VP (VBP see) (NP (NP (DT the) (NN tip)) (PP (IN of) (NP (DT the) (NN iceberg)))) (ADVP (RB only))) (. .)))
[104],(ROOT (INTJ (UH Right) (. .)))
[106],(ROOT (INTJ (UH Yeah) (. .)))
[108],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP you)) (VP (MD may) (VP (VB be) (ADJP (JJ right)))) (. .)))"
[109],"(ROOT (SBAR (WHNP (WP What)) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (VP (VBZ is) (ADVP (RB really)) (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (JJ interesting) (SBAR (S (VP (VBZ is) (S (VP (TO to) (VP (VB see) (S (ADVP (WRB how)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP we)) (PP (IN as) (NP (DT a) (NN society))) (VP (VBP deal) (PP (IN with) (NP (PRP it)))))))))))))))))))))))"
