[0],"(ROOT (SINV (FRAG (INTJ (UH Um))) (, ,) (VP (VBP are)) (NP (PRP you)) (PP (IN from) (NP (DT this) (NN area))) (. ?)))"
[16],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP they)) (VP (VBP have) (NP (NP (PDT all) (DT the) (JJ different) (NNS plastics)) (VP (VBN separated) (PP (IN by) (NP (NP (DT those) (JJ little) (NNS symbols)) (PP (IN on) (NP (DT the) (NN bottom)))))))) (. .)))"
[17],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (RB pretty) (JJ neat))) (. .)))
[18],"(ROOT (PRN (S (NP (PRP$ My)) (, ,) (NP (PRP$ my) (NN daughter)) (VP (VBZ is) (NP (CD four)))) (, ,)))"
[14],X
[19],(ROOT (S (CC and) (NP (PRP she)) (VP (BES 's) (ADJP (RB real) (JJ interested) (PP (IN in) (NP (NN recycling))))) (. .)))
[21],"(ROOT (ADJP (RB So) (SBAR (S (NP (PRP we)) (VP (VBP 're) (PRN (, ,) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG trying) (S (VP (TO to) (VP (VB promote) (NP (DT that)) (, ,) (SBAR (IN because) (S (NP (PRP she)) (VP (VBD thought) (SBAR (S (NP (PRP we)) (ADVP (RB just)) (VP (VP (VBP put) (NP (PRP them)) (PP (IN in) (NP (DT a) (JJ special) (NN trash) (NN can)))) (CC and) (VP (VBD threw) (NP (PRP them)) (ADVP (RB away))))))))))))))) (, ,)))))))"
[22],"(ROOT (S (CC but) (, ,) (NP (PRP we)) (VP (VBD went) (PP (IN to) (NP (DT the) (NN recycling) (NN center))) (S (VP (TO to) (VP (VB show) (NP (PRP$ her)) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (ADVP (RB actually)) (VP (VBD did) (PP (IN with) (NP (PRP them)))))))))) (. .)))"
[20],(ROOT (INTJ (UH Uh-huh) (. .)))
[24],"(ROOT (S (INTJ (UH Um) (, ,) (UH well)) (, ,) (ADVP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (NP (NNP Dallas)))) (, ,)))"
[23],"(ROOT (SINV (FRAG (INTJ (UH Uh))) (, ,) (VP (VBZ does) (S (NP (NNP Dallas)) (VP (VB have) (NP (DT a) (NN curbside) (NN recycling) (NN program))))) (NP (RB yet)) (. ?)))"
[25],(ROOT (FRAG (X (IN in) (NP (NNP Richardson))) (VP (VBZ does)) (. .)))
[26],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH okay) (. .))))"
"[27, 29]","(ROOT (S (S (INTJ (UH Um)) (, ,) (NP (PRP they)) (VP (VBD started) (PP (PP (IN with) (NP (NNS newspapers))) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (IN of) (NP (NN course) (NN aluminum) (NNS cans)))))) (, ,) (CC and) (FRAG (CC and) (NP (NNS bottles) (CC and) (NN plastic))) (. .)))"
[28],(ROOT (INTJ (UH Yeah) (. .)))
[31],"(ROOT (INTJ (UH Yeah) (, ,)))"
[32],"(ROOT (S (INTJ (UH um)) (, ,) (ADVP (IN like) (NP (NN soda) (NNS bottles))) (VP (VBP are) (NP (NP (CD one) (NN kin-)) (, ,) (NP (NP (CD one) (NN type)) (PP (IN of) (NP (NN plastic)))))) (, ,)))"
[33],(ROOT (S (CC and) (NP (NN milk) (NNS jugs)) (VP (VBP are) (NP (NP (CD one) (NN type)) (PP (IN of) (NP (NN plastic))))) (. .)))
[34],"(ROOT (S (NP (PRP You)) (VP (MD can) (VP (XX te-))) (, ,)))"
[35],"(ROOT (S (NP (PRP it)) (VP (HVS 's) (VP (VBN got) (S (ADJP (JJ little))))) (, ,)))"
[30],"(ROOT (S (NP (PRP I)) (VP (VBD did) (RB n't) (VP (VB know) (SBAR (S (NP (EX there)) (VP (VBD were) (NP (NP (JJ different) (NNS types)) (PP (IN of) (NP (NN plastic)))) (, ,) (ADVP (RB though))))))) (. .)))"
[37],(ROOT (INTJ (UH Uh-huh) (. .)))
"[36, 38]","(ROOT (S (NP (NP (JJS most)) (PP (IN of) (NP (DT the) (JJ recyclable) (NNS containers)))) (VP (VBP have) (NP (NP (DT the) (JJ little) (NN symbol)) (PP (IN on) (NP (NP (DT the) (NN bottom)) (PP (IN with) (NP (DT the)))))) (, ,) (PP (IN with) (NP (NP (DT the) (NNS arrows)) (PP (IN around) (NP (PRP it))) (SBAR (WHNP (WDT that)) (S (VP (VBZ tells) (SBAR (IN whether) (S (NP (PRP it)) (VP (BES 's) (NP (NP (DT a) (CD one)) (CC or) (NP (NP (DT a) (CD two)) (CC or) (NP (DT a) (CD three))))))))))))) (. .)))"
[39],(ROOT (INTJ (UH Oh) (. .)))
[40],"(ROOT (S (S (NP (PRP It)) (VP (BES 's))) (, ,) (NP (PRP it)) (VP (BES 's) (ADVP (RB just)) (NP (NP (JJ different) (NNS kinds)) (PP (IN of) (NP (NNS plastics)))) (, ,) (SBAR (IN like) (S (NP (DT the) (JJ clear) (NN plastic)) (VP (VBZ is) (ADJP (JJ different) (PP (IN from) (NP (DT that) (ADJP (RB milky) (JJ looking)) (NN plastic)))))))) (. .)))"
[41],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH okay) (. .))))"
[42],"(ROOT (S (CC And) (NP (DT that) (BES 's)) (, ,) (NP (DT that)) (VP (BES 's) (SBAR (WHNP (WP what)) (S (NP (DT the) (JJ different) (NNS types)) (VP (VBP are))))) (. .)))"
[43],(ROOT (INTJ (UH Yeah) (. .)))
[44],(ROOT (INTJ (UH Yeah) (. .)))
[46],"(ROOT (INTJ (UH Yeah) (, ,)))"
[45],(ROOT (S (NP (PRP It)) (VP (VBZ seems) (S (VP (TO to) (VP (VB be) (VP (VBN made) (PRT (IN out)) (PP (IN of) (NP (NN something) (JJ different)))))))) (. .)))
[47],(ROOT (INTJ (UH yes)))
[49],"(ROOT (NP (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (EX there)) (VP (BES 's) (NP (DT a) (JJ long) (JJ scientific) (NN name)))))))))"
[48],(ROOT (INTJ (UH Yeah) (. .)))
[50],(ROOT (S (CC but) (NP (PRP it)) (VP (BES 's) (PP (IN like) (NP (NP (NN polytechnochloride)) (CC and) (NP (PDT all) (DT that) (JJ fun) (NN stuff))))) (. .)))
[52],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (, ,) (ADVP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP do) (NP (PRP it)) (ADVP (RB all) (IN over))))))) (, ,)))"
[53],(ROOT (S (CC but) (NP (PRP$ our) (NNP Kroger)) (VP (VBZ does) (NP (DT a) (NN newspaper) (NN recycling)) (NP (DT every) (NNP Saturday))) (. .)))
[54],"(ROOT (S (NP (PRP You)) (VP (MD can) (VP (VB drive) (PRT (RP up)))) (, ,)))"
[55],"(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBP have) (NP (NP (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS clerks)) (ADVP (IN up) (RB there))))) (, ,) (INTJ (UH no)) (, ,) (PP (PP (NP (DT the) (NN bag) (NNS boys)) (IN out) (NP (RB there))) (PRN (, ,) (INTJ (UH um)) (, ,)))) (SBAR (WHNP (WDT that)) (S (VP (MD will) (VP (VB take) (NP (NP (DT the) (NNS papers)) (, ,) (NP (NP (NN newspaper)) (ADVP (IN out)) (PP (IN of) (NP (PRP$ your) (NN car)))) (, ,)))))))))))"
[56],"(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (MD 'll) (VP (VB put) (NP (PRP it)) (PP (IN in) (NP (PRP$ their) (JJ little) (NN bin))))) (, ,))))"
[57],"(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBP do) (NP (DT the) (NN recycling))) (, ,))))"
[51],(ROOT (INTJ (UH Uh-huh) (. .)))
[59],(ROOT (INTJ (UH Yeah) (. .)))
"[58, 60]","(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (NP (PRP they)) (VP (VBP collect) (NP (NP (NP (DT the) (NNS newspapers)) (CC and) (NP (PRP$ their) (NN pla-))) (, ,) (NP (NP (PRP$ their) (NN plastic) (NN grocery) (NNS bags)) (SBAR (WHNP (WDT which)) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (VP (VBZ is) (ADJP (RB pretty) (JJ neat))))))))))) (. .)))"
[61],(ROOT (S (VP (XX MUMBLEx)) (. .)))
[63],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[62],(ROOT (S (NP (DT That)) (VP (BES 's) (NP (NN something)) (SBAR (IN since) (S (NP (PRP we)) (ADVP (DT all)) (VP (VBP seem) (S (VP (TO to) (VP (VB have) (NP (NP (DT an) (NN abundance)) (PP (IN of) (NP (DT those) (NN plastic) (NN grocery) (NNS bags))))))))))) (. .)))
[64],(ROOT (INTJ (UH Yeah) (. .)))
[66],(ROOT (INTJ (UH Uh-huh) (. .)))
"[65, 67]",(ROOT (S (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP we)) (VP (VBP use) (NP (PRP them)) (PP (IN for) (NP (NP (NN trash) (NN can) (NNS liners)) (CC and) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (JJ other) (NNS things)))))))))) (. .)))
[69],"(ROOT (INTJ (UH Yeah) (, ,)))"
[68],(ROOT (NP (NN Lunch) (NNS bags) (. .)))
[70],(ROOT (S (PP (IN in) (NP (NN fact))) (NP (PRP I)) (VP (VBP have) (NP (NP (CD one)) (ADVP (RB today)))) (. .)))
[71],(ROOT (INTJ (UH Right) (. .)))
[73],"(ROOT (INTJ (UH Yeah) (, ,)))"
[72],(ROOT (S (NP (NP (DT The) (JJ only) (NN problem)) (PP (IN with) (NP (DT those)))) (VP (VBZ is) (ADVP (RB sometimes)) (SBAR (S (NP (PRP they)) (VP (VBP get) (NP (NP (NNS holes)) (PP (IN in) (NP (DT the) (NN bottom)))))))) (. .)))
[74],(ROOT (S (NP (PRP they)) (VP (VBP do)) (. .)))
[75],"(ROOT (S (NP (PRP It)) (VP (BES 's) (SBAR (IN like) (, ,) (S (INTJ (UH whoops)) (, ,) (NP (EX there)) (VP (VBZ goes) (NP (PRP$ my) (NNS chips))))))))"
[77],"(ROOT (FRAG (PP (UH okay)) (, ,)))"
[76],(ROOT (INTJ (UH Yeah) (. .)))
[78],(ROOT (FRAG (ADJP (JJ fine)) (. .)))
[80],"(ROOT (NP (NP (RB Now)) (PRN (, ,) (NP (PRP I)) (, ,))))"
[79],(ROOT (INTJ (UH Uh-huh) (. .)))
[81],(ROOT (SINV (PP (IN in) (NP (NN fact))) (VBD did) (NP (PRP you)) (VP (VB happen) (S (VP (TO to) (VP (VB see) (NP (QP (CD TWENTY) (CD TWENTY))) (NP (DT the) (JJ other) (NN night)))))) (. ?)))
[83],"(ROOT (S (NP (PRP They)) (VP (VBD did) (NP (DT a) (NN program))) (, ,)))"
[84],"(ROOT (S (CC or) (NP (DT th-)) (, ,) (NP (NP (CD one)) (PP (IN of) (NP (PRP$ their) (NNS articles)))) (VP (VBD was) (PP (IN on) (NP (NN recycling)) (, ,)))))"
[85],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (VBD was) (ADVP (RB actually)) (PP (IN on) (NP (NP (DT a) (NN town)) (SBAR (WHNP (WDT that)) (S (VP (VBZ has) (NP (NP (NP (DT a) (NN dump)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP charge) (NP (JJ other) (NNS cities)))))) (, ,) (CC or) (NP (NNS towns) (S (VP (TO to) (VP (VP (VB come) (ADVP (RB in))) (CC and) (VP (VB dump) (NP (PRP$ their) (NN trash)) (ADVP (RB there)))))))))))))) (. .)))"
[86],"(ROOT (S (NP (PRP They)) (VP (VBP have) (VP (VBN made) (NP (ADJP (RB so) (JJ much)) (NN money)) (PP (IN from) (NP (NP (DT that)) (, ,) (SBAR (WHNP (IN that)) (S (S (NP (PRP they)) (VP (VBD built))) (PRN (, ,) (S (NP (PRP they)) (VP (VBD bought) (NP (DT a) (NN brand) (JJ new) (NN fire) (NN engine)))) (, ,))))))))))"
[82],"(ROOT (INTJ (INTJ (UH Uh)) (, ,) (INTJ (UH no) (. .))))"
[88],(ROOT (S (VP (XX MUMBLEx)) (. .)))
"[87, 89]","(ROOT (S (CC and) (SBAR (WHADVP (WRB when)) (S (NP (DT the) (NN fire) (NN engine)) (VP (VBD was) (VP (VBN delivered))))) (S (NP (DT the) (NN fire) (NN house)) (VP (VBD was) (RB n't) (ADJP (JJ big) (RB enough)))) (, ,) (IN so) (S (NP (PRP they)) (VP (VP (XX bo-)) (, ,) (VP (VBD bought) (NP (DT a) (JJ new))) (, ,) (CC or) (VP (VP (VBD built) (NP (DT a) (JJ new) (NN one))) (CC and) (VP (VBD paid) (PP (IN for) (NP (NP (PRP it)) (PP (IN in) (NP (NN cash))))) (PP (IN with) (NP (NP (DT the) (NN money)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP 've) (VP (VBN earned) (PP (IN from) (NP (DT this) (NN landfill))))))))))))) (. .)))"
[91],(ROOT (S (NP (PRP They)) (VP (VBP have) (VP (VBN built) (PRT (RP up)) (NP (CD one) (NN mountain)))) (. .)))
[90],(ROOT (INTJ (UH Yeah) (. .)))
[92],(ROOT (S (NP (PRP They)) (VP (VBP call) (S (NP (PRP it)) (NP (NNP Mount) (NNP Trashmore))))))
[93],(ROOT (INTJ (UH Yeah) (. .)))
[94],"(ROOT (S (NP (PRP They)) (VP (VP (VBD built) (PRT (RP up)) (NP (CD one) (NN mountain))) (, ,) (VP (VBD covered) (NP (PRP it)) (PP (IN with) (NP (NN grass)))) (, ,) (VP (VBD and) (VP (VB put) (NP (NN ski) (NNS lifts)) (PP (IN on) (NP (PRP it)))))) (, ,)))"
[96],"(ROOT (FRAG (CC and) (PP (IN in) (NP (NP (DT the) (NN winter)) (SBAR (S (NP (PRP they)) (VP (VBP put) (NP (NP (NN snow)) (PP (IN on) (NP (PRP it))))) (, ,)))))))"
[97],(ROOT (S (CC and) (NP (PRP they)) (VP (VBP charge) (S (VP (TO to) (VP (VB ski) (PP (IN on) (NP (PRP it))))))) (. .)))
[98],"(ROOT (S (NP (RB So) (DT the) (NN city)) (VP (VBZ gets) (NP (DT the) (NN money)) (PP (IN from) (NP (DT that)))) (, ,)))"
[99],"(ROOT (S (NP (PRP they)) (VP (VBD built) (NP (DT a) (NN golf) (NN course)) (PP (IN at) (NP (DT the) (NN bottom)))) (, ,)))"
[95],X
[100],(ROOT (S (CC and) (NP (PRP they)) (VP (VBP get) (NP (DT the) (NN money)) (PP (IN from) (NP (DT that)))) (. .)))
[102],"(ROOT (S (NP (PRP I)) (VP (BES 's) (PP (IN like))) (, ,)))"
[103],"(ROOT (S (NP (DT that)) (VP (BES 's)) (, ,)))"
[101],(ROOT (INTJ (UH Wow) (. .)))
[104],"(ROOT (S (NP (PRP it)) (VP (BES 's) (NP (NP (DT a)) (, ,) (NP (PRP it) (BES 's)) (, ,) (NP (NNP Riverview)) (, ,) (NP (NNP Ohio)) (CC or) (NP (DT some) (NN place))) (ADVP (IN up) (RB there))) (. .)))"
[106],"(ROOT (S (CC But) (NP (PRP it)) (VP (VBD was) (, ,) (SBAR (S (NP (PRP I)) (VP (VBD thought) (SBAR (S (NP (PRP it)) (VP (VBD was) (NP (DT a) (ADJP (RB pretty) (JJ neat)) (NN idea))))))))) (. .)))"
[107],"(ROOT (NP (S (NP (PRP They)) (, ,) (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (S (NP (PRP$ their) (NN city) (NN hall)) (VP (VBD looked) (ADJP (JJR better)))) (, ,))))))"
[108],"(ROOT (S (NP (PRP it)) (VP (VBD was) (ADJP (ADJP (JJR nicer)) (PP (IN than) (NP (NNP Dallas) (POS '))))) (, ,)))"
[105],(ROOT (INTJ (UH Uh-huh) (. .)))
[109],(ROOT (S (CC and) (NP (PRP they)) (ADVP (RB only)) (VP (VBP have) (NP (CD fourteen) (CD thousand) (NNS people)) (PP (IN in) (NP (DT the) (NN city)))) (. .)))
[111],(ROOT (S (CC And) (NP (PRP they)) (VP (VBP like) (NP (DT the) (NN trash))) (. .)))
[112],(ROOT (FRAG (ADVP (RB So)) (. .)))
[113],"(ROOT (INTJ (INTJ (UH Well)) (, ,) (INTJ (UH okay) (. .))))"
[114],(ROOT (S (CC But) (NP (PRP I)) (VP (VBD thought) (SBAR (S (NP (PRP it)) (VP (VBD was) (ADJP (RB pretty) (JJ neat)))))) (. .)))
[115],"(ROOT (PRN (S (NP (PRP It)) (, ,) (NP (PRP it)) (VP (MD would) (VP (VB be) (ADJP (JJ nice)) (SBAR (IN if) (S (NP (JJR more) (NNS communities)) (VP (MD could) (VP (VB do) (NP (DT that))))))))) (, ,)))"
[116],"(ROOT (S (ADVP (CC but)) (, ,) (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB know) (PP (IN from) (NP (NN beginning)) (, ,))))))))"
[117],(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB have) (NP (DT the) (NN space) (S (VP (TO to) (VP (VB do) (NP (PRP it)))))))))))))
[110],(ROOT (INTJ (UH Um) (. .)))
[119],"(ROOT (INTJ (UH Yeah) (, ,)))"
[118],"(ROOT (FRAG (CC and) (ADVP (, ,))))"
[121],"(ROOT (INTJ (UH Yeah) (, ,)))"
[122],"(ROOT (S (INTJ (UH see)) (, ,) (ADVP (DT that)) (VP (BES 's)) (, ,)))"
[120],(ROOT (S (NP (PRP they)) (VP (MD 'll) (VP (VB run) (ADVP (IN out) (PP (IN of) (NP (NN space)))) (PP (IN before) (ADJP (JJ long))))) (. .)))
[123],(ROOT (S (S (INTJ (UH well)) (NP (PRP they)) (VP (VBP 're) (ADVP (RB already)) (VP (VBG planning) (NP (DT a) (JJ second) (NN mountain))))) (. .)))
[125],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP they)) (VP (VBP 're) (VP (VP (VBG going) (S (VP (TO to) (VP (VB get))))) (, ,) (VP (VBG going) (S (VP (TO to) (VP (VB be) (VP (VBN called) (NP (DT the) (NNP Twin) (NNPS Peaks))))))))) (. .)))"
[126],"(ROOT (S (NP (PRP I)) (VP (VP (VBD was) (PP (IN like))) (, ,) (S (INTJ (UH uh-huh) (. .)) (VP (VB Go) (PRT (RB back)) (NP (CD two) (NN T) (NN V) (NNS shows))))) (. .)))"
[127],"(ROOT (S (NP (DT This)) (, ,) (NP (PRP it)) (VP (MD would) (VP (VB be) (ADJP (JJ nice)) (SBAR (IN if) (S (NP (JJR more) (NNS communities)) (VP (MD could) (VP (VB get) (ADJP (RB really) (JJ involved)) (PP (IN in) (NP (NN recycling))))))))) (. .)))"
[128],"(ROOT (S (NP (PRP It)) (VP (, ,))))"
[129],"(ROOT (S (NP (PRP I)) (VP (VBP know) (PRN (, ,) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN got) (S (S (NP (DT a) (CD two) (NN year)) (ADJP (JJ old))) (CC and) (S (NP (DT a) (CD four) (NN year)) (ADJP (JJ old))))))) (, ,)))))"
[130],"(ROOT (PRN (CC and) (S (NP (DT that)) (VP (BES 's)) (, ,))))"
[124],(ROOT (INTJ (UH Uh-huh) (. .)))
[131],"(ROOT (S (S (NP (PRP$ my) (NN daughter)) (VP (VBZ thinks) (SBAR (IN that) (S (NP (DT any) (NN time)) (NP (PRP she)) (VP (VBZ sees) (NP (NP (NNS newspapers)) (VP (VBN bundled) (PRT (RP up))))))))) (, ,) (NP (PRP they)) (VP (VBP 're) (VP (VBG being) (VP (VBN recycled)))) (. .)))"
[133],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP it)) (VP (BES 's) (PP (IN like)) (, ,) (INTJ (UH well) (, ,) (UH no)) (, ,) (NP (NNP Honey))) (. .)))"
[134],"(ROOT (ADJP (RB So) (PP (PP (IN that)) (, ,) (PP (IN like)) (, ,))))"
[132],(ROOT (INTJ (UH Uh-huh) (. .)))
"[135, 137]","(ROOT (S (SBAR (RB so) (S (NP (DT that)) (VP (VBD was) (NP (NP (CD one) (NN reason)) (SBAR (S (NP (PRP we)) (VP (VBD went) (S (VP (TO to) (VP (VP (VB show) (NP (PRP$ her)) (SBAR (WHNP (WP what)) (S (NP (NNS people)) (VP (VBD did) (PP (IN with) (NP (NP (PRP$ their)) (, ,) (NP (PRP$ their) (NN stuff)))) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBD recycled) (NP (PRP it))))))))) (CC and) (VP (VB try) (S (VP (TO to) (VP (VB explain) (INTJ (UH well) (, ,) (UH yeah)))))))))))))))) (, ,) (NP (PRP you)) (VP (VBP melt) (PRT (RP down)) (NP (DT the) (NNS cans)))))"
[138],"(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP make) (NP (PRP them)) (PP (IN into) (NP (JJ new) (NNS things)))) (, ,))))"
[139],(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP get) (S (NP (DT the) (NN paper)) (ADJP (RB all) (JJ wet)))))))
[140],"(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP make) (NP (PRP it)) (PP (IN into) (NP (JJ new) (NN paper)))) (, ,))))"
[136],(ROOT (INTJ (UH Right) (. .)))
[142],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[141],"(ROOT (S (CC and) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ fun)) (, ,) (S (VP (VBG trying) (S (VP (TO to) (VP (VB explain) (S (NP (NP (DT that)) (PP (IN to) (NP (DT a) (CD four) (NN year)))) (ADJP (JJ old))))))))) (. .)))"
[143],(ROOT (INTJ (UH yeah) (. .)))
[145],"(ROOT (S (NP (PRP They)) (VP (VBP do) (RB n't) (ADVP (RB even)) (VP (VB know) (SBAR (IN that) (S (NP (NN paper)) (VP (VBZ comes) (PP (IN from) (NP (NNS trees))) (ADVP (RB now))))))) (, ,)))"
[144],"(ROOT (S (INTJ (UH Um)) (, ,) (ADVP (RB so)) (VP (VBP do) (SBAR (S (NP (PRP you)) (ADVP (DT all)) (VP (VB go) (ADVP (RB ahead)))))) (, ,)))"
[147],"(ROOT (INTJ (INTJ (UH Well)) (, ,) (INTJ (UH yeah) (, ,))))"
[148],"(ROOT (S (NP (PRP she)) (VP (, ,))))"
[146],(ROOT (FRAG (ADVP (RB so)) (. .)))
[149],"(ROOT (SBARQ (SBAR (WHNP (DT that)) (S (VP (VP (VBD was) (NP (PRP$ her) (JJ next) (NN question))) (, ,) (VP (VBD was))))) (, ,) (WHADVP (WRB how)) (SQ (VBP do) (NP (PRP you)) (VP (VB grow) (NP (NN paper)))) (. ?)))"
[150],(ROOT (SBARQ (WHADVP (WRB How)) (SQ (VBP do) (NP (PRP you)) (VP (VB grow) (NP (NN paper)))) (. ?)))
[152],(ROOT (INTJ (UH Uh-huh) (. .)))
"[151, 153]","(ROOT (S (VP (VBD Was) (PP (IN like) (PRN (, ,) (INTJ (UH well)) (, ,))) (PP (IN from) (NP (NP (NNS trees)) (SBAR (S (INTJ (UH um) (. .)) (NP (DT That)) (VP (BES 's) (SBAR (SBAR (WHADVP (WRB why)) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB cut) (PRT (RB down)) (NP (NNS trees)))))))) (CC and) (SBAR (WHADVP (WRB why)) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB plant) (NP (JJR more) (NNS trees))))))))))))))) (. .)))"
[155],"(ROOT (INTJ (UH Yeah) (, ,)))"
[154],(ROOT (SBARQ (CC And) (WHADVP (WRB how)) (SQ (VBP do) (NP (PRP you)) (VP (VB grow) (NP (NN aluminum)))) (. ?)))
[156],(ROOT (INTJ (UH exactly) (. .)))
[157],(ROOT (INTJ (UH Um) (. .)))
[158],"(ROOT (S (INTJ (UH Well)) (, ,) (VP (VB let) (NP (PRP 's)) (VP (VB see) (PRN (, ,) (INTJ (UH um)) (, ,)))) (, ,)))"
[160],"(ROOT (S (NP (PRP we)) (ADVP (RB really)) (VP (VBP do) (RB n't)) (, ,)))"
[161],"(ROOT (FRAG (ADJP (CC but) (. .)) (S (CC And) (ADVP (RB then)) (NP (PRP she)) (VP (VBD was) (PP (IN like) (PRN (, ,) (INTJ (UH well)) (, ,))) (SBAR (WHNP (WP what)) (S (VP (VBP do) (S (NP (PRP you)) (VP (VB do) (PP (IN with) (NP (DT the) (NN glass)))))))))) (. ?)))"
[162],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP you)) (VP (VBP crunch) (NP (PRP it)) (ADVP (RP up) (RB real))) (JJ small)))"
[163],(ROOT (S (CC and) (ADVP (RB then)) (NP (PRP you)) (VP (VBP melt) (NP (PRP it)) (PRT (RP down))) (. .)))
[164],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (NP (WP what)) (PP (IN if) (NP (PRP it)))) (VP (VBZ breaks)) (. ?)))"
[165],"(ROOT (S (S (INTJ (UH Well)) (, ,) (VP (UH okay)) (, ,)) (. .)))"
[159],X
[166],"(ROOT (S (NP (PRP It)) (, ,) (NP (PRP it)) (, ,) (NP (PRP it)) (VP (VBD was) (NP (NP (DT an) (JJ interesting) (NN weekend)) (VP (VBG trying) (S (VP (TO to) (VP (VB explain) (NP (PDT all) (DT that) (JJ fun) (NN stuff)) (PP (IN to) (NP (PRP her))))))))) (. .)))"
