[0],(ROOT (INTJ (UH Okay) (. .)))
[21],"(ROOT (S (NP (NP (CC and)) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (PRP$ my) (NN husband))) (, ,))) (VP (VP (VBD was)) (, ,) (VP (VBD was))) (, ,)))"
[22],(ROOT (X (X (WP what)) (NP (NP (PRP he)) (SBAR (S (NP (PRP$ his) (NNS concerns)) (VP (VBD were)))))))
[23],"(ROOT (SINV (FRAG (INTJ (UH well))) (VP (ADVP (RB not) (PP (IN that) (NP (PRP I)))) (VP (VBP think) (SBAR (S (S (NP (PRP you)) (VP (MD 'll) (VP (VB get) (VP (VBN involved) (PP (IN in) (NP (NN anything))))))) (CC but) (S (NP (PRP it)) (ADVP (RB just)) (VP (VB be) (NP (NP (DT an) (JJ innocent) (NN bystander)) (, ,) (SBAR (RB just) (S (VP (TO to) (VP (VB be) (PP (IN in))))))))))))) (NP (DT that) (NN location))))"
[17],(ROOT (S (CC and) (NP (DT that)) (VP (VBZ worries) (NP (PRP me))) (. .)))
"[24, 26]",(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBD thought) (SBAR (WHADVP (WRB how) (ADJP (JJ sad))) (S (NP (PRP it)) (VP (VBD was) (SBAR (IN that) (RB just) (S (VP (TO to) (VP (VB be) (PP (IN in) (NP (NP (DT a) (JJ wrong) (NN location)) (PP (IN at) (NP (DT the) (JJ wrong) (NN time))))))))))))))))
[27],"(ROOT (S (CC and) (, ,) (S (CC and) (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS kids)))) (, ,) (NP (PRP you)) (VP (VBP know)))) (, ,) (VP (VBP are) (VP (VBN caught) (NP (DT that) (NN way)))) (. .)))"
[25],(ROOT (INTJ (UH Yeah) (. .)))
[29],"(ROOT (INTJ (UH Yeah) (, ,)))"
[28],"(ROOT (FRAG (CC But) (NP (, ,))))"
"[30, 32]","(ROOT (S (NP (EX there)) (VP (BES 's) (SBAR (S (NP (DT a) (JJ little) (NN boy)) (ADVP (RB just)) (VP (VBD got) (S (VP (VBN shot) (CC and) (VBN killed) (PP (IN like) (NP (NP (NP (JJ last) (NN weekend) (IN down)) (SBAR (WHPP (IN in) (WHNP (WP what))) (S (NP (PRP they)) (VP (VBP call) (NP (NP (DT the) (NNS projects)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (SBAR (S (NP (PRP you)) (VP (VBP know)))))))))))) (, ,) (ADVP (RB sort) (RB of)) (NP (DT a) (JJ bad) (NN area)))))))))) (. .)))"
[33],(ROOT (S (CC But) (NP (PRP he)) (VP (VBD was) (ADVP (RB just)) (VP (ADVP (RB out)) (VBG riding) (NP (PRP$ his) (NNP Big) (NNP Wheel))))))
[34],(ROOT (S (NP (NP (QP (CC and) (DT a) (NN couple))) (PP (IN of) (NP (NN drug) (NNS people)))) (VP (VBD got) (PP (IN into) (NP (DT a) (NN fight))) (PP (IN with) (NP (DT a) (NN gun))))))
[31],(ROOT (INTJ (UH Uh-huh) (. .)))
[36],"(ROOT (INTJ (UH Yeah) (, ,)))"
[35],(ROOT (S (CC and) (NP (PRP he)) (VP (VBD got) (VP (VBN hit) (CC and) (VBN killed) (PP (IN by) (NP (DT a) (JJ stray) (NN bullet))))) (. .)))
[38],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (RB really) (JJ sad))) (. .)))
[39],"(ROOT (S (NP (PRP I)) (VP (VBP 've)) (, ,)))"
"[37, 41]","(ROOT (S (NP (DT that)) (VP (XX ex-) (, ,) (SBAR (WHNP (RB exactly) (WP what)) (S (VP (VBD happened) (ADVP (IN down) (RB here)))))) (. .)))"
[43],(ROOT (INTJ (UH Uh-huh)))
"[40, 42]","(ROOT (S (RB so) (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (PRP it)) (VP (MD must) (VP (VB be) (ADJP (JJ frus)) (, ,) (S (ADJP (JJ frustrating) (PP (IN for) (NP (NP (DT the) (NNS parents)) (SBAR (WHNP (WP who)) (S (VP (MD ca) (RB n't) (VP (VB get) (PRT (IN out)) (PP (IN of) (NP (NP (DT a) (NN situation)) (PP (IN like) (NP (DT that)))))))))))))))))) (. .)))"
[44],(ROOT (NP (. .)))
[46],(ROOT (S (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP they)) (VP (VBD asked) (PP (IN in) (NP (NP (DT the) (NN topic)) (PP (IN for) (NP (NNS ideas))))) (PP (IN on) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB control) (NP (NN crime)))))))))))))
[45],(ROOT (S (NP (PRP It)) (VP (MD 'd) (VP (VB be) (ADJP (RB so) (JJ scary)))) (. .)))
[48],"(ROOT (S (NP (PRP It)) (ADVP (RB really)) (VP (VBZ does) (RB n't)) (, ,)))"
[49],(ROOT (S (NP (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of)) (ADJP (JJ scary))) (. .)))
[50],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (NNS laws)) (VP (VBP have) (VP (VBN gotten) (S (ADJP (RB so) (JJ lenient)))))))))) (, ,) (NP (PRP you)) (VP (VBP know)))))))"
[51],(ROOT (S (NP (DT the) (NN court) (NNS systems)) (VP (VBP are) (ADJP (RB too) (JJ lenient))) (. .)))
[47],(ROOT (S (CC and) (NP (PRP it)) (VP (VBZ does) (RB n't) (VP (VB seem) (SBAR (IN like) (S (NP (NN anything)) (VP (VBZ is) (VP (VBG working))))))) (. .)))
[53],"(ROOT (S (CC But) (, ,) (PP (IN in) (S (VP (PRN (, ,) (PP (IN in)) (, ,)) (PP (IN on) (NP (DT the) (JJ other) (NN hand)))))) (NP (PRP they)) (VP (VBP have) (S (VP (TO to) (VP (VB be) (SBAR (IN because) (S (NP (DT the) (NNS jails)) (VP (VBP are) (ADJP (JJ full))))))))) (. .)))"
[54],"(ROOT (S (NP (PRP We)) (VP (MD ca) (RB n't) (, ,) (SBAR (ADVP (IN at) (JJS least)) (IN in) (S (NP (DT this) (NN area)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT any) (NN room) (S (VP (TO to) (VP (VB put) (NP (NN anybody)))))))))))))"
[52],(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (NP (DT that) (BES 's) (NN part)) (PP (IN of) (NP (DT the) (NN problem))))) (. .)))
[56],"(ROOT (INTJ (UH Yeah) (, ,)))"
[57],"(ROOT (S (NP (PRP they)) (VP (VBP do) (NP (DT that)) (NP (RB here)) (, ,) (ADVP (RB too))) (. .)))"
[55],"(ROOT (S (SBAR (RB so) (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))) (ADVP (RB just)) (VP (VBP get) (ADVP (RB out))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (ADVP (RB back)) (PP (IN on) (NP (DT the) (NNS streets))) (SBAR (IN because) (S (NP (EX there)) (ADVP (BES 's) (DT no)) (, ,) (NP (PRP they)) (VP (MD ca) (RB n't) (VP (VB keep) (NP (ADJP (RB that) (JJ many)) (NNS people)) (PP (IN in) (NP (NP (DT the) (NNS buildings)) (SBAR (S (NP (PRP they)) (VP (VBP have))))))))))) (. .)))"
[59],(ROOT (INTJ (UH Uh-huh) (. .)))
[61],"(ROOT (S (NP (PRP I)) (VP (VBP know) (NP (PRP it))) (, ,)))"
[62],"(ROOT (S (NP (PRP they)) (VP (VBP have) (NP (NP (DT all) (NNS sorts)) (PP (IN of)) (, ,) (PP (IN of) (NP (NP (NNS rights)) (, ,) (SBAR (WHNP (WDT that)) (S (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (VP (VBP are) (ADJP (JJ questionable))))))))) (. .)))"
"[58, 60]","(ROOT (S (S (CC But) (NP (PRP I)) (VP (VBP say))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (PRP they)) (VP (VBP commit) (S (NP (NNS crimes)) (VP (VB let) (SBAR (S (NP (PRP them)) (VP (VBP be) (ADJP (JJ overcrowded))))))))) (, ,) (S (NP (PRP you)) (VP (VBP know) (VP (VB let) (S (NP (PRP them)) (VP (VB suffer) (NP (DT a) (JJ little) (NN bit))))))) (. .)))"
[64],"(ROOT (INTJ (UH Yeah) (, ,)))"
[65],(ROOT (S (NP (PRP I)) (VP (VBP think) (ADVP (RB so))) (. .)))
[63],(ROOT (S (ADVP (RB Maybe)) (NP (PRP they)) (VP (VBD gave) (PRT (RP up)) (NP (NP (DT that) (NN right)) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBD committed) (NP (DT the) (NNS crimes))))))) (. .)))
[67],"(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ true))) (, ,)))"
[66],"(ROOT (S (S (NP (PRP I)) (VP (VBP think) (SBAR (IN if) (S (NP (PRP they)) (VP (VBD knew) (SBAR (S (NP (PRP it)) (VP (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (RB really) (JJ horrible)) (, ,) (SBAR (WHADVP (WRB wherever)) (S (NP (PRP they)) (VP (VBD were) (VP (VBG going))))))))))))))))) (, ,) (ADVP (RB maybe)) (S (NP (PRP they)) (VP (MD 'd) (VP (VB think) (ADVP (RB twice)) (PP (IN about) (S (VP (VBG doing) (NP (PRP it)))))))) (. .)))"
[69],(ROOT (INTJ (UH Yeah) (. .)))
[68],(ROOT (S (ADVP (RB maybe)) (NP (DT the) (NN punishment)) (VP (MD should) (VP (VB be) (ADJP (RBR more) (JJ severe)))) (. .)))
"[70, 72]","(ROOT (S (S (NP (PRP You)) (VP (VBP know))) (, ,) (S (NP (NP (DT the) (JJ other) (NN thing)) (SBAR (WHNP (WDT that)) (S (VP (VBZ worries) (PP (IN about) (NP (PRP it))))))) (VP (VBZ is) (, ,) (S (NP (NP (NNS kids)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBG doing) (NP (JJ such) (JJ bad) (NNS crimes))))))) (ADJP (RB so) (JJ young))))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,) (PP (IN like) (NP (NP (CD eleven) (CC and) (CD twelve) (CC and) (CD thirteen) (NN year) (NNS olds)) (SBAR (WHNP (WDT that)) (S (ADVP (RB just)) (VP (VP (VBP go) (ADVP (RB out))) (CC and) (VP (VBP kill) (NP (NNS people)))))))) (. .)))"
[73],"(ROOT (S (NP (PRP They)) (VP (, ,))))"
[74],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (DT that)) (VP (BES 's) (ADVP (RB just)) (NP (NP (NP (DT a) (NN symptom)) (PP (IN of) (NP (NN society)))) (CC and) (NP (NP (DT the) (NN breakdown)) (PP (IN of) (NP (NN family) (CC and) (NN everything))))))))))))
[75],"(ROOT (PRN (CC but) (SBAR (WHNP (DT that)) (S (VP (VBZ worries) (NP (PRP me))) (, ,)))))"
[71],(ROOT (S (NP (PRP I)) (VP (VBP know) (NP (PRP it))) (. .)))
[77],(ROOT (INTJ (UH Yeah) (. .)))
[79],"(ROOT (INTJ (INTJ (UH Ex-)) (, ,) (INTJ (UH ex-) (, ,) (UH exactly))))"
"[76, 78]",(ROOT (S (NP (PRP I)) (VP (VBP wonder) (SBAR (WHNP (WP what)) (S (NP (DT the) (JJ next) (NN generation)) (VP (MD will) (VP (VB be) (PP (IN like))))))) (. .)))
[81],X
"[80, 82]","(ROOT (S (SBAR (IN because) (S (NP (PRP they)) (VP (VBP get) (ADJP (VBN involved) (PP (IN in) (NP (NP (NNS things)) (ADJP (RB so) (JJ young))))) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP do) (RB n't)) (ADVP (RB really))))))) (, ,) (VP (VB realize) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBN involved) (PP (IN in))))))) (. .)))"
[84],"(ROOT (S (CC And) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (DT some) (NNS people)) (VP (VBP prey) (PP (IN on) (NP (DT that)))))) (, ,) (ADVP (PRP you)) (VP (VBP know)) (, ,)))"
[83],(ROOT (INTJ (UH Yeah) (. .)))
"[85, 87]","(ROOT (S (NP (PRP they)) (VP (MD 'll) (VP (VB take) (, ,) (INTJ (UH uh)) (, ,) (S (NP (NP (NNS kids)) (SBAR (WHNP (WP who)) (S (VP (VBP do) (RB n't) (ADVP (RB really)) (VP (VB realize) (NP (DT the) (NN seriousness)) (FRAG (RB even) (PP (IN at) (NP (CD fifteen))) (. .)))) (NP (CC And)))))) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VB get) (S (NP (PRP them)) (VP (VBN involved) (PP (IN in) (NP (NNS things))) (PP (IN because) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))))))"
[88],"(ROOT (PRN (UH well) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know)))) (, ,)))"
[89],"(ROOT (S (NP (PRP I)) (VP (VP (VBD was) (VP (VBG watching) (PP (IN on)))) (, ,) (NP (NP (DT a) (NN movie)) (PP (IN on) (NP (NN T) (NN V))))) (, ,)))"
[90],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP (WRB how) (ADJP (JJ true))) (S (NP (DT those)) (VP (MD can) (VP (VB be))))))) (, ,)))"
[91],"(ROOT (S (CC but) (NP (PRP you)) (VP (VBP know) (SBAR (S (, ,) (S (NP (PRP they)) (PRN (, ,) (S (NP (CD one) (NN guy)) (VP (VBD got) (NP (NP (DT all) (NNS sorts)) (PP (IN of) (NP (NNS kids)))) (PP (IN under) (NP (CD eighteen))) (S (VP (TO to) (VP (VB do) (NP (PRP it)) (PP (IN by) (S (VP (VBG telling) (NP (PRP them)))))))))) (, ,)) (NP (PRP you)) (VP (VBP know))) (, ,) (NP (PRP you)) (VP (MD wo) (RB n't) (VP (VB have) (NP (DT a) (NN record)) (SBAR (IN because) (S (NP (PRP you)) (VP (VBP 're) (PP (IN under) (NP (CD eighteen))))))))))) (. .)))"
[86],(ROOT (INTJ (UH Yeah) (. .)))
[92],(ROOT (S (NP (PRP They)) (VP (MD 'd) (VP (VB steal) (NP (NNS cars) (CC and) (NN everything)))) (. .)))
[93],(ROOT (INTJ (UH Oh) (. .)))
"[94, 96]","(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (IN if) (S (NP (PRP they)) (VP (VP (VBD had)) (, ,) (NP (NP (JJR more)) (PP (IN of) (NP (NP (DT a) (NN deterrent)) (, ,) (SBAR (IN if) (S (NP (PRP they)) (VP (VBD had) (NP (NP (ADJP (RBR more) (JJ severe)) (NNS punishments)) (SBAR (S (NP (PRP it)) (VP (MD might) (VP (VB be))))))))) (, ,))))))))))"
[95],X
[97],(ROOT (S (CC but) (NP (DT the) (NNS courts)) (VP (VBP are) (ADJP (RB so) (JJ backlogged) (SBAR (S (ADVP (RB right) (RB now)) (NP (PRP it)) (VP (VBZ takes) (ADVP (RB forever)) (ADVP (RB just)) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (NN trial))))))))))) (. .)))
[100],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (MD would) (VP (VB concern) (S (NP (PRP me)) (ADJP (RB even) (JJR more)) (SBAR (IN if) (S (NP (PRP I)) (VP (VBD had) (NP (NP (NNS children)) (, ,) (SBAR (WHNP (WDT which)) (S (NP (PRP I)) (VP (VBP do) (RB n't)))) (, ,)))))))))))))"
[98],(ROOT (INTJ (UH Yeah) (. .)))
[103],(ROOT (INTJ (UH yeah) (. .)))
[105],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[101, 104]",(ROOT (S (CC but) (SBAR (IN if) (S (NP (PRP I)) (VP (VBD had) (NP (NNS children))))) (NP (PRP I)) (VP (MD would) (RB n't) (VP (VB know) (SBAR (WHADVP (WRB where)) (S (VP (TO to) (VP (VB raise) (S (NP (PRP them)) (VP (TO to) (VP (VB protect) (NP (PRP them))))))))))) (. .)))
[107],(ROOT (INTJ (UH Uh-huh) (. .)))
[108],"(ROOT (S (NP (PRP It)) (VP (BES 's) (ADJP (JJ true))) (, ,)))"
[109],"(ROOT (SBAR (WHNP (NP (PRP they)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (PRN (CC and) (S (NP (PRP they)) (, ,) (NP (PRP they)) (VP (VBP talk) (S (ADJP (IN about) (RB too))) (, ,) (S (NP (DT the) (NNS gangs)))))) (S (VP (VP (VBG spreading)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))))))"
[110],(ROOT (SINV (FRAG (INTJ (UH like))) (VP (ADVP (NN everybody)) (VBZ thinks) (PP (IN of) (NP (PRP them))) (PP (ADVP (RB only)) (IN in) (NP (NNP L) (NNP A) (CC and) (NNP New)))) (NP (NNP York))))
[111],(ROOT (S (CC but) (NP (PRP they)) (VP (VBP spread) (PRT (RP out)) (S (VP (TO to) (VP (VB cover) (NP (JJR more) (NN area))))))))
[106],"(ROOT (S (SBAR (IN because) (S (NP (PRP it)) (VP (VBZ seems) (PP (IN like) (NP (RB now))) (, ,) (ADVP (RB even)) (PP (IN in) (NP (DT the) (NN country)))))) (, ,) (NP (PRP you)) (VP (VBP hear) (PP (IN about) (NP (NP (JJ bad) (NNS things)) (VP (VBG happening))))) (. .)))"
[113],"(ROOT (INTJ (UH Yeah) (, ,)))"
[114],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP have) (NP (PRP them)) (PP (IN in) (NP (NP (NNP Dallas)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP hear) (S (NP (PRP them)) (VP (VBG talking) (PP (IN about) (IN in) (NP (NP (DT the) (NNS schools)) (, ,) (NP (NP (JJ different) (NNS things)) (VP (VBG happening))) (, ,))))))))))))))))"
[112],"(ROOT (S (CC and) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (, ,) (ADVP (IN if)) (, ,) (SBAR (IN if) (S (NP (NNS gangs)) (VP (VBP occur) (ADVP (RB much) (IN down)) (PP (IN in) (NP (NP (NNP Texas) (. .)) (VP (VBP Do) (NP (PRP they)))))))))) (. ?)))"
[116],"(ROOT (INTJ (UH Yeah) (, ,)))"
[117],(ROOT (NP (NP (DT the) (JJ same)) (PP (IN in) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (NNS areas)) (PP (IN around) (NP (RB here)))))))))
[115],(ROOT (S (CC and) (NP (PRP they)) (VP (VBP 've) (VP (VBN had) (NP (NP (DT some) (JJ drive-by) (NNS shootings)) (ADVP (IN outside)) (PP (IN of) (NP (DT the) (NNS schools)))))) (. .)))
"[118, 120]","(ROOT (S (S (CC but) (S (NP (PRP I)) (VP (VBP 've) (ADVP (RB never)) (VP (VBN had) (NP (DT any) (NN personal))))) (, ,) (S (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (PRP I)) (ADVP (RB never)) (VP (VBD met) (NP (NP (NN anybody)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBD knew) (SBAR (S (S (VP (VBD had) (NP (NN anything) (S (VP (TO to) (VP (VB do) (FRAG (PP (IN with) (NP (PRP it))) (. .)))))))) (CC Or) (S (VP (VBN seen) (NP (NN anybody))))))))))) (, ,)))"
[121],"(ROOT (S (CC but) (, ,) (INTJ (UH uh)) (, ,) (NP (DT that)) (VP (BES 's) (NP (DT a) (JJ scary) (NN thing)) (ADVP (RB too)) (SBAR (IN because) (S (PP (IN at) (NP (DT that) (NN age))) (NP (NNS kids)) (VP (VBP want) (ADJP (RB so) (JJ much) (S (VP (TO to) (VP (VB belong) (PP (IN to) (NP (DT a) (NN group))))))))))) (. .)))"
[119],(ROOT (S (NP (PRP Me)) (VP (ADVP (RB either))) (. .)))
[123],"(ROOT (INTJ (UH Yeah) (, ,)))"
[124],"(ROOT (FRAG (VP (VBD seemed) (PP (IN like)) (, ,) (PP (IN like) (IN in) (NP (NP (DT the) (NNS fifties)) (SBAR (WHADVP (WRB when)) (S (NP (NNS gangs)) (VP (VBD were) (ADJP (JJ big))))))))))"
[125],(ROOT (S (NP (PRP it)) (VP (VBD was) (ADVP (RB just)) (S (VP (TO to) (VP (VB be) (NP (NP (NN part)) (PP (IN of) (NP (DT the) (NN gang))))))))))
[122],"(ROOT (S (S (CC And) (, ,) (PRN (S (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS people)) (SBAR (WHNP (WDT that)) (S (ADVP (RB sort) (RB of)) (VP (VBP control) (NP (PRP them)))))))) (, ,) (VP (VBP control) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG doing))))))))))) (VP (VBP are) (ADJP (ADJP (JJR older)) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know))))))) (, ,) (NP (NP (NP (NN business)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))) (VP (VBG trying) (S (VP (TO to) (VP (VB control) (FRAG (WHNP (WP whatever)) (. .))))))) (ADVP (PRP You)) (VP (VBP know)) (, ,)))"
"[126, 128]","(ROOT (FRAG (S (CC but) (ADVP (RB now)) (NP (PRP they)) (VP (VBP 're) (ADJP (RB so) (JJ much) (PP (IN into) (S (VP (VBG selling) (NP (NP (NNS drugs)) (CC and) (NP (NNS weapons)) (CC and) (NP (PDT all) (DT that)) (, ,))))))))))"
[127],(ROOT (INTJ (UH Uh-huh) (. .)))
[130],(ROOT (S (NP (PRP It)) (VP (BES 's) (ADJP (JJ true))) (. .)))
[131],"(ROOT (PRN (S (NP (CC And) (NP (DT the) (NNS weapons)) (, ,) (NP (PRP$ my) (NNP God)) (, ,) (NP (NP (DT the) (NNS weapons)) (SBAR (WHNP (WDT that) (NNS people))))) (VP (VBP have) (VP (VBP are)))) (, ,)))"
[132],"(ROOT (SINV (S (NP (DT some) (NNS people)) (VP (VBP are) (ADJP (XX mor-)))) (, ,) (VP (VBD seemed) (S (VP (TO to) (VP (VB be) (VP (VBN armed) (ADVP (RBR better) (IN than))))))) (NP (NP (DT the) (JJ military)) (CC or) (NP (NP (DT the) (JJ same)) (PP (IN as) (NP (DT the) (NN military))))) (. .)))"
[129],(ROOT (S (NP (PRP it)) (VP (BES 's) (ADJP (RB pretty) (JJ scary))) (. .)))
[134],"(ROOT (FRAG (PP (UH Really)) (, ,)))"
[135],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[133],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBP get) (NP (PRP them))))))) (. .)))
[136],(ROOT (NP (NP (DT those) (NN machine)) (NP (NP (NNS guns)) (CC and) (NP (PDT all) (DT that))) (. .)))
[138],"(ROOT (INTJ (UH Yeah) (, ,)))"
[139],(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (JJ scary))) (. .)))
[137],(ROOT (INTJ (UH Uh-huh) (. .)))
[141],"(ROOT (S (NP (DT That)) (VP (BES 's) (NP (DT the) (JJ other) (NN thing)) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[142],"(ROOT (FRAG (S (VP (VBZ is) (PRN (, ,) (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ hard) (PP (TO to) (ADVP (RB even)))))) (, ,))))))"
