[0],"(ROOT (INTJ (UH Yes) (, ,)))"
[6],(ROOT (SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (PRP$ your) (NN situation))) (. ?)))
[12],(ROOT (S (NP (PRP I)) (VP (VBD did) (NP (NNP Peace) (NNP Corps) (NN training)) (ADVP (RB there))) (. .)))
[14],"(ROOT (S (CC And) (ADVP (RB so)) (SBAR (PRN (, ,) (INTJ (UH um)) (, ,)) (S (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (PRP I)) (VP (VBD saw) (NP (PRP it)) (, ,) (ADVP (RB also)) (PP (IN as) (NP (DT a) (JJ young) (NN student))))))"
[15],"(ROOT (SINV (CC and) (, ,) (CC and) (S (NP (PRP it)) (VP (VBD was) (ADJP (RB very) (JJ foreign)) (PP (IN in) (NP (DT a) (JJ certain) (NN sense))))) (, ,) (VP (PP (IN although) (NP (PRP I))) (VBD had) (VP (VBN grown) (PRT (RP up)) (PP (IN in)))) (NP (NNP California))))"
[16],(ROOT (S (NP (QP (CC and) (RB so)) (DT the) (JJ Spanish)) (VP (VBD was) (NP (DT no) (NN problem))) (. .)))
[17],"(ROOT (NP (S (S (INTJ (UH Um)) (, ,) (NP (PRP it)) (VP (VBD was))) (, ,) (NP (PRP it)) (VP (VP (VBD was)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (ADVP (RB very) (ADJP (JJ lovely)))))))"
[18],"(ROOT (S (CC and) (, ,) (S (CC and) (NP (DT the) (NNS people)) (VP (VBD seemed) (NP (NP (RB very) (JJ friendly)) (CC and) (, ,) (CC and) (NP (JJ nice))))) (. .)))"
[19],"(ROOT (S (NP (PRP I)) (VP (VBP have)) (, ,)))"
[20],"(ROOT (S (ADVP (UH actually)) (, ,) (NP (PRP I)) (VP (VBP work) (PP (IN with) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (DT a) (NN girl)) (PP (IN from) (NP (NNP Puerto) (NNP Rico))))))))"
[13],(ROOT (S (S (INTJ (UH Oh)) (NP (DT that)) (VP (BES 's) (ADJP (RB very) (JJ interesting)))) (. .)))
[22],"(ROOT (S (NP (NP (PRP$ Your) (NN concern)) (PP (IN on) (NP (DT the) (NN economy)))) (VP (VBD was) (NP (NP (CD one)) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of))))) (, ,) (SBAR (IN if) (S (NP (PRP it)) (VP (VBD became) (NP (DT a) (NN state)) (SBAR (SINV (MD would) (NP (DT that)) (VP (VB put) (NP (ADJP (RB even) (JJR more)) (NNS pressures)) (PP (IN on)) (, ,) (PP (IN on) (NP (NP (NNP Puerto) (NNP Rico)) (, ,) (CC or) (NP (NP (NP (NNS pressures)) (PP (IN on) (NP (DT the) (NNP U))) (. .) (NP (NNP S)) (. .)) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (NN aid)))))))))))))))))"
[21],"(ROOT (S (CC and) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP have) (ADVP (RB never)) (VP (VBN thought) (S (VP (TO to) (VP (VB ask) (NP (NP (PRP$ her)) (SBAR (WHNP (WP what)) (S (NP (PRP she)) (VP (VBZ favors))))) (, ,) (NP (UH um)))))))))) (. .)))"
[24],"(ROOT (FRAG (PP (NP (UH Well)) (PP (ADVP (RB probably)) (ADJP (ADJP (ADJP (JJR more)) (PRN (PP (IN on)) (, ,))) (PP (IN in) (FRAG (SBAR (WHNP (WHNP (NNS terms)) (PP (IN of) (NP (DT the) (NNP U) (. .) (NNP S)) (. .))) (FRAG (INTJ (UH Um))))))))) (, ,)))"
[25],"(ROOT (S (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (PRP I)) (VP (VBP 'm))) (, ,) (S (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (RB quite) (JJ sure)) (SBAR (WHADVP (WRB how)) (S (NP (DT the) (NP (NP (NNP U) (. .)) (NP (NNP S) (. .)))) (VP (VBZ copes) (PP (IN with) (NP (NP (DT this) (NN sort)) (PP (IN of) (NP (NN thing)))))))))) (. .)))"
[26],"(ROOT (S (NP (PRP I)) (VP (VBP 've) (S (VP (VB live) (ADVP (RB abro-)) (, ,) (ADVP (RB abroad))) (NP (NP (RBS most)) (PP (IN of) (NP (PRP$ my) (NN life)))))) (, ,)))"
[27],"(ROOT (S (ADVP (RB so)) (PRN (, ,) (S (NP (PRP I)) (VP (VBP guess) (NP (PRP I)))) (, ,)) (NP (PRP I)) (VP (VBP 've) (VP (VBN been) (ADVP (RB very) (S (VP (VB cut) (PRT (RP off))))))) (. .)))"
[28],"(ROOT (S (NP (PRP I)) (VP (VBD lived) (INTJ (UH actually)) (PP (IN in) (NP (NNP Lebanon)))) (, ,)))"
[29],"(ROOT (S (ADVP (RB so)) (PRN (, ,) (S (NP (PRP I)) (VP (VBD was) (ADVP (RB very) (S (VP (VB cut) (PRT (RP off)) (PP (IN from) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (NN press)) (PP (IN as) (NP (PRP I))))))))))) (, ,)) (NP (PRP you)) (VP (VP (VBP know)) (, ,) (CC and) (VP (VB be)) (, ,) (VP (VBD was) (VP (VBG becoming) (NP (DT an) (NN adult))))) (. .)))"
[23],"(ROOT (FRAG (CC or) (ADVP (, ,))))"
[30],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP (WRB how)) (S (NP (DT the) (NP (NP (NNP U) (. .)) (NP (NNP S) (. .)))) (VP (MD would) (VP (VB cope) (PP (IN with) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NP (NP (DT a) (JJ new) (NN state)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (ADVP (RB so)) (ADJP (RB very) (, ,) (RB very) (JJ poor)))))))))))) (. .)))"
[32],"(ROOT (S (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (VP (VBP guess))) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (PRP we)) (VP (MD 'd) (VP (VB have) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN aid)))) (, ,) (ADVP (IN if))))) (, ,)) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP consider) (NP (NP (DT the) (JJ inner) (NNS cities)) (PP (IN of) (NP (UH like)))) (NP (NP (NNP New) (NNP York)) (CC and) (, ,) (CC and) (SBAR (WHNP (WRB how) (JJ much)) (S (VP (NN aid) (SBAR (S (NP (PRP it)) (VP (VBZ needs)))))))))))) (. .)))"
[31],(ROOT (INTJ (UH Uh-huh) (. .)))
[34],"(ROOT (S (NP (PRP I)) (VP (VBP guess) (, ,) (S (INTJ (UH um)) (, ,) (NP (PRP we)) (VP (VBP 're) (VP (VBG assuming) (ADVP (IN that)) (, ,) (SBAR (IN that) (S (NP (NNP Puerto) (NNP Rico)) (VP (MD would) (VP (VB be) (PP (IN per) (NP (NP (NNS capita)) (ADJP (ADJP (RB significantly) (RBR more) (JJ poor)) (PRN (ADVP (RB perhaps)) (ADVP (IN than)))) (, ,) (PP (IN than) (NP (INTJ (UH say)))) (NP (NNP Mississippi))))))))))))))"
[33],"(ROOT (S (S (NP (PRP I)) (VP (VBP suppose) (NP (DT the) (JJ whole) (NN country)))) (, ,) (CC or) (S (NP (NP (DT the) (NN whole)) (, ,) (FRAG (INTJ (UH um)) (, ,) (NP (JJ new) (NN state)))) (VP (MD would) (VP (VB require) (NP (JJ such) (NN aid))))) (. .)))"
[35],"(ROOT (FRAG (CC or) (ADVP (, ,))))"
[37],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[38],"(ROOT (S (NP (DT that)) (VP (BES 's) (NP (NP (NN something)) (SBAR (WHNP (WDT that)) (, ,) (S (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP have) (NP (NP (RB not) (JJ much)) (PP (IN of) (NP (NP (DT an) (NN image)) (PP (IN of) (NP (UCP (ADJP (JJ other) (PP (IN than)) (, ,) (PP (IN than) (NP (NP (NNP Puerto) (NNP Rico)) (PP (IN as) (NP (DT a) (JJ tropical) (NN island)))))) (CC and) (ADVP (RB consequently))) (JJ large) (NNS numbers))))) (PP (IN of) (NP (JJ barefoot) (NNS natives) (CC or) (NN something)))) (PP (RB not) (PP (IN in) (NP (DT a) (JJ perjuritive) (NN sense))) (CC but) (PP (IN in) (NP (DT a))) (, ,) (PP (IN in) (NP (DT a) (JJ carefree) (NN sense)))))))))) (, ,) (NP (PRP I)) (VP (VBP guess)))))) (. .)))"
[39],"(ROOT (S (SBAR (IN Although) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ aware) (PP (IN of) (NP (NP (NP (DT the) (JJ political) (NNS problems)) (CC and) (NP (NN unrest))) (, ,) (CC and) (, ,) (CC and) (NP (NP (NP (RB also) (NNS difficulties)) (SBAR (S (NP (PRP they)) (VP (VBP have)) (. .)))) (SBAR (SBAR (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))))) (SBAR (IN whether) (S (NP (NN state)) (VP (MD woul)))))))))))) (, ,) (NP (NN statehood)) (VP (MD would) (VP (VB improve) (NP (PRP$ their) (NN economy)))) (. .)))"
[40],"(ROOT (S (S (NP (PRP I)) (VP (VBP do) (RB n't))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN that) (S (NP (NP (DT the) (XX ve-)) (, ,) (NP (NP (DT the) (NN act)) (PP (IN of) (S (VP (VBG being) (NP (DT a) (NN state))))))) (VP (MD would) (VP (VB have) (NP (DT any) (NN impact)) (PP (IN on)) (, ,) (PP (IN on) (NP (PRP them))))))))) (. .)))"
[41],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP they)) (VP (MD would) (VP (VB have) (NP (DT the) (NN ability) (S (VP (TO to) (VP (VB do) (NP (DT some) (NN taxing)) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB have) (NP (RB now))))))))))))))) (. .)))"
[42],"(ROOT (S (CC But) (PP (IN of) (NP (NP (NN course)) (SBAR (IN if) (S (NP (PRP$ their) (NN economy)) (VP (VBZ is) (NP (JJ weak) (EX the-))))))) (, ,) (NP (EX there)) (VP (VBZ is) (RB not) (ADJP (JJ much) (PP (IN of) (NP (NP (DT a) (NN base)) (PP (IN on) (SBAR (WHNP (WDT which)) (S (VP (TO to) (VP (VB tax)))))))))) (. .)))"
[43],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP suffer) (PP (IN in) (NP (NP (DT a) (NN sense)) (PP (IN of) (NP (NP (NN income) (NN loss)) (PP (IN as) (NP (VBG being))))))) (, ,) (SBAR (IN since) (S (NP (PRP they)) (VP (VBP are) (RB n't) (NP (DT a) (NN state)) (, ,) (SBAR (IN whether) (S (NP (EX there)) (VP (VBP are) (NP (NP (NNS monies)) (SBAR (WHNP (WDT that)) (S (VP (VBP escape) (S (NP (PRP them)) (RB so) (VP (TO to) (VP (VB speak) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP are) (RB n't) (ADJP (JJ able) (S (VP (TO to) (VP (VB tax) (SBAR (IN like) (S (NP (DT a) (JJ typical) (NN state)) (VP (MD would) (VP (VB be)))))))))))))))))))))))))))))) (. .)))"
[44],"(ROOT (SBARQ (WHADVP (WRB How)) (SQ (VBP do) (NP (PRP you)) (VP (VB feel) (, ,) (ADVP (RB though)) (, ,) (PP (IN about)) (, ,)))))"
[45],"(ROOT (PRN (S (S (INTJ (UH well)) (NP (PRP I)) (VP (VBP guess) (NP (PRP it)))) (BES 's) (ADVP (IN to)) (S (NP (PRP$ their) (NN advantage) (S (VP (TO to) (VP (VB be) (NP (DT a) (NN territory)))))))) (, ,)))"
[46],"(ROOT (SINV (S (CC but) (, ,) (INTJ (UH um)) (, ,) (NP (PRP I)) (VP (VBP wonder) (NP (WRB how)))) (VP (VBP have) (S (VP (VP (, ,) (S (VP (VBG having) (VP (VBN been) (PP (IN in) (NP (DT a) (NN territory))))))) (PRN (CC but) (ADVP (RB only)) (ADVP (IN as)))))) (NP (DT a) (JJ young) (NN student))))"
[47],(ROOT (FRAG (CC and) (NP (NP (PRP$ my) (NNS parents)) (SBAR (S (VP (VBD were) (PP (IN in) (NP (NP (DT the) (NN military)) (PP (IN at) (NP (DT the) (NN time)))))))))))
[48],"(ROOT (S (RB so) (NP (PRP they)) (VP (VBD did) (RB n't) (VP (VB have) (NP (JJ ready) (JJ negative) (NNS feelings)) (PP (IN about) (S (VP (VBG being) (PP (IN in))))) (, ,) (PP (IN in) (NP (NP (NNP Alaska)) (PP (IN at) (NP (NP (DT the) (NN time)) (SBAR (IN since) (S (NP (PRP they)) (VP (VBD voted) (ADJP (JJ absentee))))))))))) (. .)))"
[49],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (MD would) (VP (VB imagine) (SBAR (IN that) (S (S (NP (PRP it)) (VP (MD must) (VP (VB be) (PP (NP (DT a) (JJ little) (NN bit)) (PP (IN of) (NP (NP (DT a) (XX se-)) (, ,) (NP (NP (NN feeling)) (PP (IN of) (NP (JJ second) (NN class) (NN citizenry)))))) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (TO to) (VP (VB be) (PP (IN in) (NP (NP (DT a) (NN territory)) (ADJP (RB that) (JJ large)))))))))) (CC and) (S (RB not) (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB vote))))))))))) (. .)))"
[36],(ROOT (S (NP (PRP I)) (VP (VBP think) (ADVP (RB so))) (. .)))
[51],(ROOT (INTJ (UH Uh-huh) (. .)))
[52],"(ROOT (INTJ (UH Yeah) (, ,)))"
[53],"(ROOT (S (NP (DT those)) (, ,) (VP (VBP are) (NP (JJ good) (NNS points)) (, ,) (INTJ (UH um)) (, ,) (SBAR (WHNP (WDT which)) (S (ADVP (RB obviously)) (NP (PRP I)) (VP (VBD had) (ADVP (RB never)) (VP (VBN thought) (ADVP (RB about))))))) (. .)))"
[54],"(ROOT (PRN (S (S (INTJ (UH Uh)) (, ,) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know)))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP suppose) (NP (PRP they)) (ADVP (RB also))))) (, ,) (ADVP (RB not)) (S (VP (VBG being) (NP (NP (DT a) (NN state)) (SBAR (S (VP (VBP are) (ADVP (RB probably)) (NP (NP (JJR freer)) (SBAR (S (VP (TO to) (VP (VB determine) (NP (NP (PRP$ their) (ADJP (ADJP (JJ own)) (PRN (, ,) (INTJ (UH um)) (, ,))) (NNS ways)) (PP (IN of) (NP (NN life))))))))) (SBAR (IN than) (S (NP (PRP they)) (VP (MD would) (ADVP (IN if))))) (, ,) (ADVP (IN if))))))))) (, ,)))"
[50],"(ROOT (S (S (NP (NP (DT The) (NNP District)) (PP (IN of) (NP (NP (NNP Columbia) (NNS people) (, ,)) (PP (IN for) (NP (NN instance)))))) (VP (VBP are) (ADJP (RB quite) (JJ frustrated)))) (, ,) (NP (PRP I)) (VP (VBP think) (, ,) (PP (IN at) (NP (NP (NNS times)) (PP (IN in) (NP (PRP$ their) (RB not))))) (VP (VBG having) (NP (DT a) (NNP Senate) (NN representative)))) (. .)))"
[56],(ROOT (INTJ (UH Uh-huh) (. .)))
[58],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP I)) (VP (VBP see) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP mean))))) (, ,)))"
[59],"(ROOT (FRAG (PP (ADVP (IN so)) (IN that)) (, ,)))"
[61],"(ROOT (INTJ (UH Yeah) (, ,)))"
[62],(ROOT (S (NP (NNS taxes)) (VP (MD would) (ADVP (RB undoubtedly)) (VP (VB be) (ADJP (VBG occurring)))) (. .)))
[63],"(ROOT (FRAG (NP (NP (UH Uh)) (, ,) (NP (EX there)) (, ,))))"
[64],"(ROOT (S (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know)))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (ADVP (RB even)) (VP (VB understand) (SBAR (WHADVP (RB exactly) (WRB how)) (S (NP (NNS taxes)) (VP (VBP are) (VP (VBN handled) (PP (IN in) (NP (DT a) (JJ territorial) (NN situation))))))))) (. .)))"
[65],"(ROOT (S (NP (NP (FRAG (INTJ (UH Um)) (, ,) (ADVP (RB frequently)) (NP (DT the) (NNS laws)))) (PP (IN in) (NP (NP (DT a) (NN territory)) (VP (VBP are))))) (, ,) (VP (VBP are) (PP (IN in) (NP (DT some) (NNS ways))) (ADJP (RB as) (JJ stringent) (SBAR (IN as) (S (NP (PRP they)) (VP (VBP are) (PP (IN in) (NP (JJ other) (NNS states)))) (, ,)))))))"
[66],"(ROOT (S (NP (PRP I)) (VP (, ,))))"
[67],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP 'm) (VP (VBG thinking) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (NN education))))))) (. .)))
[68],(ROOT (S (CC But) (NP (RB then)) (VP (ADVP (RB again) (NP (DT each) (NN state))) (VBZ sets) (NP (PRP$ its) (JJ own)))))
[69],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP (WRB how)) (S (NP (DT a) (JJ territorial) (NN governor)) (VP (VBZ takes) (NP (NP (NN care)) (PP (IN of) (NP (NP (NN something)) (PP (IN like) (NP (NNP Puerto) (NNP Rico))))))))))) (. .)))
[70],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (PRP it)) (ADVP (BES 's) (ADJP (JJ interesting) (PP (IN because) (NP (PRP I))))) (VP (VBP have) (RB n't) (VP (VBN thought) (S (ADVP (PP (IN of) (NP (NP (PRP them)) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (DT the) (NNS problems)))))) (ADVP (JJ relative))) (IN to)) (, ,) (INTJ (UH uh)) (, ,) (NP (NN economy)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBD had) (VP (VBN thought) (PP (IN of) (NP (PRP it))) (PP (ADVP (JJR more)) (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (ADJP (ADJP (JJ political)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN realization))))))))))))"
[71],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBD had) (ADVP (RB automatically)) (VP (VBN made) (NP (DT the) (NN assumption)) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH gee)) (, ,)) (S (NP (NN anyone)) (VP (MD would) (RB rather) (VP (VB be) (NP (NP (NP (DT a) (NN state)) (PP (IN of) (NP (DT the) (NNP U))) (. .) (NP (NNP S)) (. .)) (PP (IN than) (NP (DT an) (JJ independent) (NN country))))))))))))))))"
[55],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG trying) (S (VP (TO to) (VP (VB think) (SBAR (WHNP (RB exactly) (WP what)) (S (VP (VBZ is) (VP (VBN imposed) (SBAR (IN if) (S (NP (PRP they)) (VP (MD would) (VP (VB become) (NP (NP (DT a) (NN state)) (PP (IN versus) (NP (DT a) (NN territory))))))))))))))))) (. .)))
[73],(ROOT (INTJ (UH Uh-huh) (. .)))
[74],"(ROOT (S (INTJ (UH Well) (, ,) (UH well)) (UH actually) (ADVP (PRP I)) (VP (VBP thin)) (, ,)))"
[75],"(ROOT (S (NP (NP (CD one)) (, ,) (NP (NP (CD one) (NN thing)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP remember) (S (VP (VBG hearing) (PP (IN in) (NP (DT the) (NN news))) (NP (NP (DT the) (JJ past) (NN couple) (NNS weeks)) (SBAR (WHNP (WDT that)) (S (VP (MD might) (VP (VB be) (ADJP (JJ significant)))))))))))))) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP 've) (ADVP (RB recently)) (VP (VBD voted) (SBAR (IN that) (S (NP (JJ Spanish)) (VP (VBZ is) (NP (NP (DT the) (JJ official) (NN language)) (, ,) (SBAR (WHNP (WDT which)) (S (NP (PRP I)) (ADVP (RB always)) (VP (VBD assumed) (SBAR (S (NP (PRP it)) (VP (VBD was) (ADVP (RB anyway))))))))))))))))) (. .)))"
[72],"(ROOT (NP (RB so) (, ,)))"
[77],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[78],(ROOT (S (S (INTJ (UH well)) (NP (DT that)) (VP (BES 's) (ADJP (JJ interesting) (RB too)))) (. .)))
[76],"(ROOT (S (RB So) (, ,) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP 've) (ADVP (RB just)) (VP (VBN taken) (NP (JJ such) (NN action)))))) (, ,) (NP (PRP it)) (VP (MD would) (VP (VB seem) (S (VP (TO to) (VP (VB indicate) (PP (IN to) (NP (PRP me))) (NP (NP (DT either)) (SBAR (S (NP (PRP they)) (VP (VBP 're) (VP (VBG doing) (NP (PRP it)) (SBAR (IN because) (S (NP (PRP they)) (VP (VP (VBP 're) (ADJP (JJ afraid) (SBAR (S (NP (PRP they)) (VP (MD might) (VP (VB become) (NP (DT a) (NN state)))))))) (CC and) (VP (VBP want) (S (VP (TO to) (VP (VB declare) (NP (DT this)) (SBAR (SBAR (IN before) (S (NP (PRP they)) (VP (VBP become) (NP (DT a) (NN state))))) (, ,) (CC or) (ADVP (RB maybe)) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB want) (S (VP (TO to) (VP (VB become) (NP (DT a) (NN state)) (PP (IN for) (NP (NP (NN fear)) (PP (IN of) (S (VP (VBG losing) (NP (DT the) (ADJP (JJ Spanish) (, ,) (CC or) (JJ Hispanic)) (NN heritage)))))))))))))))))))))))))))))))) (. .)))"
