[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[10],(ROOT (INTJ (UH Right) (. .)))
[13],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[12],(ROOT (SBARQ (CC or) (SQ (VBP do) (NP (PRP we)) (VP (VB extend) (NP (PRP it)) (PP (IN beyond) (NP (DT that))))) (. ?)))
[15],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (DT either)) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[16],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP I)) (VP (VBP have) (NP (NP (DT a)) (, ,) (NP (DT a) (ADJP (NP (CD nine) (NN year)) (JJ old)) (NN daughter)))) (, ,)))"
[14],(ROOT (FRAG (PP (IN beyond) (NP (NP (NN murder)) (CC or) (ADVP (RB just) (PP (IN beyond) (NP (UH like)))) (NP (JJ first) (NN degree) (NN murder)))) (. ?)))
[18],(ROOT (INTJ (UH Yeah) (. .)))
[19],"(ROOT (INTJ (UH Yeah) (, ,)))"
[20],(ROOT (S (S (INTJ (UH well)) (NP (DT that)) (VP (ADVP (RB really)) (VBZ gets) (PP (IN into) (NP (DT a) (JJ sticky) (NN issue))))) (. .)))
[21],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (MD could) (VP (VB see) (NP (DT that)) (ADVP (RB too)))) (. .)))"
[22],"(ROOT (S (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (EX there)) (VP (BES 's) (ADVP (RB probably)) (NP (NP (NNS things)) (SBAR (S (NP (PRP I)) (VP (MD could) (VP (VB think) (ADVP (IN of) (RB short)) (PP (IN of) (NP (NP (NN murder)) (SBAR (WHNP (WDT that)) (S (NP (NN someone)))))))))))))))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NN someone)) (VP (MD would) (ADVP (RB probably)) (VP (VB deserve) (S (VP (TO to) (VP (VB be) (VP (VBN killed) (ADVP (RB for))))))))))) (. .)))"
[23],"(ROOT (S (VP (CC But) (PRN (, ,) (INTJ (UH gosh)) (, ,)))))"
[24],"(ROOT (PRN (CC and) (SBAR (WHNP (WP who)) (S (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB decide) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (WHADJP (WRB how) (JJ bad)))))))))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))))))"
[25],"(ROOT (S (NP (NP (NN something)) (SBAR (WHNP (WDT that)) (S (PP (IN to) (NP (PRP you))) (VP (VBZ is) (ADJP (RB really) (JJ bad)))))) (VP (MD might) (RB not) (VP (VB be) (ADJP (RB quite) (RB so) (JJ bad)) (PRN (PP (IN to) (NP (PRP me))) (, ,))))))"
[17],"(ROOT (S (CC and) (NP (EX there)) (VP (VBP are) (NP (NP (DT some) (NNS crimes)) (SBAR (WHNP (WDT that)) (S (VP (MD could) (VP (VB be) (VP (VBN committed) (PP (IN against) (NP (NP (PRP$ her)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (RB not) (ADVP (RB even)) (VP (VBN considered) (S (NP (NN capital) (NNS crimes))) (, ,) (S (NP (WDT that))) (, ,) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (MD would) (VP (VB consider) (NP (NN basis)) (PP (IN for) (NP (NN murder)))))))))))))))))))) (. .)))"
[27],"(ROOT (INTJ (UH Yes) (, ,)))"
[28],(ROOT (S (NP (PRP it)) (VP (VBZ does)) (. .)))
[26],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (ADVP (BES 's)) (VP (VBZ gets) (PP (IN into) (NP (DT a) (RB pretty) (JJ sticky) (NN issue)))) (. .)))"
[29],"(ROOT (S (NP (NP (DT A) (NN lot)) (PP (IN of) (NP (DT that)))) (VP (VBZ has) (S (VP (TO to) (VP (VB do) (PP (IN with) (NP (DT the) (NNS cultures))) (SBAR (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBD grew) (PRT (RP up)) (PP (IN in))))) (CC and) (SBAR (SBAR (WHNP (WP what)) (S (VP (BES 's) (VP (VBN termed) (UCP (ADJP (JJ acceptable)) (CC and) (PRN (, ,) (INTJ (UH um)) (, ,)) (PP (IN to) (WHNP (WP what) (NP (BES 's) (JJ allowable))))))))) (CC and) (SBAR (WHADVP (WRB where)) (S (VP (VBP are) (NP (PRP we))))))))))) (. .)))"
[30],(ROOT (INTJ (UH Right) (. .)))
[31],"(ROOT (S (S (INTJ (UH Uh)) (, ,) (NP (PRP you)) (VP (VBP know) (SBAR (S (, ,) (SBAR (IN if) (S (NP (PRP we)) (VP (VBD were)))) (, ,) (VP (VBD lived) (PP (IN in) (NP (DT a) (JJ different) (NN country)))))))) (, ,) (RB then) (S (NP (NN murder)) (VP (VBZ is) (RB not) (ADJP (RB so) (JJ bad)))) (. .)))"
[32],(ROOT (INTJ (UH Yeah) (. .)))
[34],"(ROOT (INTJ (UH Yeah) (, ,)))"
[35],(ROOT (FRAG (PP (IN in) (NP (DT some) (NNS eyes))) (. .)))
[36],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT some) (NNS people)) (VP (VBP give) (PRT (RP up)) (NP (DT that)))))) (. .)))
[37],"(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (NP (DT some)) (PP (IN of) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBP consider) (SBAR (S (NP (NNS rights)) (VP (VBP are) (ADVP (RB really)) (NP (JJR more) (NNS privileges)) (PP (IN than)) (, ,) (PP (IN than) (SBAR (WHNP (WP what)) (S (NP (RBS most) (NNS people)) (VP (VBP think) (PP (IN of) (NP (NP (PRP them)) (RB as)))))))))))))))) (. .)))"
[38],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP (WP what)) (PRN (, ,) (INTJ (UH um)) (, ,)) (S (NP (NP (NP (NNP Texas) (POS 's)) (NNS criteria)) (PP (IN for) (NP (NN capital) (NN murder)))) (VP (VP (VBZ is)) (, ,) (VP (VBP do) (PRN (, ,) (S (NP (NN capital) (NN punishment)) (VP (VBZ is))) (, ,))))))))))"
[39],(ROOT (SQ (VBP do) (NP (PRP you)) (VP (VB know)) (. ?)))
[33],"(ROOT (S (CC But) (PP (IN over) (NP (NP (RB here)) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP we)) (VP (VBP 're) (VP (VBD promised) (NP (NP (DT the) (JJ civil) (NNS liberties)) (PP (IN of) (NP (XX purs-) (, ,) (NN life) (, ,) (NN liberty) (CC and) (NN pursuit))) (PP (IN of) (NP (NN happiness)))))))))) (, ,) (S (VP (ADVP (RB then)) (VBG taking) (NP (DT that)))) (ADVP (RB away)) (VP (VBZ is) (NP (NP (DT a)) (, ,) (NP (DT a) (JJ heinous) (NN act)))) (. .)))"
[41],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))
[40],"(ROOT (SQ (VBP Are) (NP (EX there)) (PP (NP (NP (DT some) (JJ set) (NNS guidelines)) (, ,) (SBAR (IN like) (FRAG (ADVP (RB only))))) (IN under) (NP (DT these) (NNS circumstances))) (. ?)))"
[43],(ROOT (INTJ (UH Uh-huh) (. .)))
[44],"(ROOT (S (NP (PRP I)) (VP (VBD used) (S (VP (TO to) (VP (VB live) (PP (IN in) (NP (NNP Virginia))))))) (, ,)))"
[45],"(ROOT (S (CC and) (NP (PRP I)) (VP (VBP know) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (ADVP (JJ first)) (VP (VBD reinstated) (NP (NP (NN capital) (NN punishment)) (SBAR (S (NP (PRP it)) (VP (VBD was) (ADVP (ADVP (RB only)) (PRN (, ,) (INTJ (UH um)) (, ,)) (SBAR (IN if) (S (NP (NN someone)) (VP (VBD killed) (SBAR (S (NP (DT a) (NN police) (NN officer) (CC or) (NN someone)) (VP (VBD committed) (NP (NP (NN rape)) (CC and) (ADVP (RB then)) (NP (NN murder)))))))))))))))))) (. .)))"
[42],"(ROOT (S (NP (PRP I)) (VP (VBP believe) (SBAR (S (NP (PRP it)) (VP (BES 's) (, ,) (INTJ (UH uh)) (, ,) (PP (IN at) (NP (NP (DT the) (NN discretion)) (PP (IN of) (NP (DT the) (NN judge) (CC or) (NN jury))))))))) (. .)))"
[47],(ROOT (S (NP (PRP I)) (VP (VBP tend) (S (VP (TO to) (VP (VB agree) (PP (IN with) (NP (PRP you))) (ADVP (RB there)))))) (. .)))
[48],"(ROOT (S (S (INTJ (UH Um)) (, ,) (NP (PRP$ my) (NN belief)) (VP (VBZ is) (SBAR (IN that) (S (, ,) (VP (VBZ is) (ADJP (IN that)) (, ,) (INTJ (UH um))))))) (, ,) (NP (DT any) (NN crime)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (ADJP (RB freely) (VBN committed))))) (, ,) (NP (PRP you)) (VP (VBP know))))"
[46],"(ROOT (S (NP (DT Those)) (VP (VBD were) (NP (NP (DT the) (RB only) (CD two) (NNS circumstances)) (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (MD could) (VP (VB give) (NP (NN someone)) (NP (NP (DT the) (NN death) (NN penalty)) (, ,) (SBAR (WHNP (WDT which)) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (VP (VBZ is) (ADJP (NP (DT a) (JJ little)) (RB too) (JJ limited))))))))))))))) (. .)))"
[49],(ROOT (NP (NP (NN freedom)) (PP (IN of) (NP (NN choice)))))
[50],(ROOT (INTJ (UH Uh-huh) (. .)))
"[51, 53]","(ROOT (S (NP (DT these) (NNS people)) (VP (VBD had) (NP (NP (DT a) (NN choice)) (PP (IN of) (S (VP (VBG committing) (SBAR (S (NP (NP (DT this) (NN crime)) (, ,) (SBAR (WHNP (WDT that)) (S (VP (VBZ involves) (NP (NP (NP (NP (DT the) (NN taking)) (PP (IN of) (NP (DT another))) (POS 's)) (NN life)) (CC or) (NP (NP (DT the) (VBG altering)) (PP (IN of) (NP (NP (NP (NN someone) (POS 's)) (NN life)) (ADJP (IN such) (PP (IN as) (NP (NN rape))))))))))) (, ,)) (VP (VBZ deserves) (NP (NN punishment)) (PP (IN by) (NP (NN death))))))))))) (. .)))"
[52],(ROOT (INTJ (UH Yeah) (. .)))
[55],"(ROOT (INTJ (UH Yeah) (, ,)))"
[56],"(ROOT (PP (IN in) (NP (NP (JJ general) (NNS terms)) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (RB so) (JJ harsh))) (, ,))))))"
[57],"(ROOT (S (CC but) (S (RB then) (SBAR (WHADVP (WRB whenever)) (S (NP (PRP I)) (VP (VBP hear) (PP (IN of) (NP (DT a) (JJ specific) (NN case)))))) (, ,) (NP (PRP you)) (VP (VBP know))) (PRN (, ,) (SBAR (WHADVP (WRB where)) (S (NP (NN someone)) (VP (VBD did) (NP (NN something))))) (, ,)) (RB then) (S (NP (PRP it)) (VP (BES 's) (PP (IN like)) (, ,) (S (INTJ (UH yeah)) (, ,) (VP (VB put) (NP (PRP it)) (PP (IN to) (NP (PRP them))))))) (. .)))"
[58],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (ADVP (RB probably)) (VP (VBP tend) (S (VP (TO to) (VP (VB be) (ADJP (NP (DT a) (JJ little) (NN bit)) (JJ harsh)) (PRN (, ,) (ADVP (RB too)) (, ,))))) (ADVP (ADVP (RB as) (RB far)) (SBAR (IN as) (S (NP (DT that)) (VP (VBZ goes))))))))) (. .)))"
[59],"(ROOT (FRAG (PP (IN Because)) (, ,)))"
[60],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[61],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ right)))))) (, ,)))"
[62],"(ROOT (S (NP (DT that) (NN person)) (ADVP (RB voluntarily)) (VP (VBZ gives) (PRT (RP up)) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP decide) (S (VP (TO to) (VP (VB commit) (NP (DT that) (NN crime))))))))) (, ,)))"
[63],"(ROOT (S (NP (PRP they)) (ADVP (RB voluntarily)) (VP (VBP give) (PRT (RP up)) (NP (PRP$ their) (NN right) (S (VP (TO to) (VP (VB continue) (PP (IN on) (PP (IN with) (NP (PRP$ their) (JJ happy) (NN life))))))))) (, ,)))"
[64],"(ROOT (FRAG (ADVP (RB just)) (SBAR (IN beca-) (, ,) (S (NP (PRP you)) (VP (VBP know)) (, ,)))))"
[54],(ROOT (S (CC But) (ADVP (RB then)) (NP (PRP I)) (VP (VBP 'm) (VP (ADVP (RB also)) (VBD told) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (ADJP (RB pretty) (JJ harsh)) (NN person))))))) (. .)))
[66],"(ROOT (FRAG (S (ADJP (ADJP (RB All)) (PRN (PP (JJ right)) (, ,))))))"
[65],(ROOT (S (NP (PRP they)) (VP (VBP ruin) (NP (NP (NN someone) (RB else) (POS 's)) (NN life))) (. .)))
[68],(ROOT (INTJ (UH Right) (. .)))
"[67, 69]","(ROOT (S (S (NP (PRP I)) (VP (MD can) (VP (VB see) (NP (NP (DT a) (NN difference)) (PP (IN between) (NP (NP (DT a) (NN person)) (SBAR (WHNP (WP who)) (S (VP (VBZ goes) (PRT (RB out)) (S (VP (VP (TO to) (VP (VB rob) (NP (DT a) (NN store)) (PP (IN for) (NP (NN food))) (PP (IN than) (NP (NP (DT a) (NN person)) (SBAR (WHNP (WP who)) (S (VP (VBZ commits) (NP (DT a) (NN crime)) (PP (TO to))))))) (, ,) (PP (DT either) (IN for) (NP (NP (DT the) (NN thrill)) (PP (IN of) (S (VP (VBG committing) (NP (NP (NP (DT the) (NN crime)) (CC or) (NP (DT the) (NN thrill))) (, ,) (NP (NP (DT the) (NN feeling)) (PP (IN of) (NP (NN power))) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP get) (PP (IN from) (NP (PRP it))))))))))))))) (, ,) (CC or) (VP (TO to) (VP (VB acquire) (NP (NP (NNS drugs)) (PP (IN for) (NP (DT some) (NN other))))))))))))))))) (, ,) (NP (PRP I)) (VP (VBP mean) (VP (VB acquire) (NP (NP (NNS funds)) (PP (IN for) (NP (DT some) (JJ other) (JJ illegal) (NN activity)))))) (. .)))"
[71],"(ROOT (S (NP (PRP You)) (VP (VBP know) (PRN (, ,) (S (NP (NP (DT that) (JJ second) (NN group)) (PP (IN of) (NP (NNS people)))) (VP (VBZ falls) (PP (IN into) (NP (NP (DT the) (NN group)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP say) (VP (VB give) (PRT (RP up)) (NP (PRP$ their) (NNS rights)))))))))) (, ,)))))"
[70],(ROOT (INTJ (UH Uh-huh) (. .)))
[73],X
"[72, 74]","(ROOT (NP (NP (DT the)) (, ,) (NP (DT the) (JJ first) (NN guy)) (, ,) (S (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (PRP I)) (ADVP (RB just)) (VP (VBD assumed) (SBAR (S (NP (PRP it)) (VP (VBD was) (NP (NP (DT a) (NN guy)) (, ,) (NP (DT the) (JJ first) (NN person)) (, ,) (SBAR (WHNP (WDT that)) (S (VP (VBD went) (PRT (RB out)) (S (VP (TO to) (VP (VB rob) (NP (NP (DT a) (NN store)) (PP (IN for) (NP (NN food))))))) (, ,) (SBAR (WHNP (WDT that)) (S (SBAR (IN to) (S (NP (PRP me)) (VP (VBZ is) (, ,) (SQ (VBZ is) (NP (NP (DT a) (JJ different) (NN set)) (PP (IN of) (NP (NNS circumstances)))))))) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP he)))) (, ,) (NP (PRP he)) (VP (VBZ deserves) (NP (NP (NN help)) (ADJP (IN instead)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (NN loss)) (PP (IN of) (NP (NN life))))))))))))))))))))) (. .)))"
[75],(ROOT (INTJ (UH Right) (. .)))
[76],X
[79],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right)))))
[77],"(ROOT (INTJ (UH Yeah) (, ,)))"
[82],"(ROOT (S (NP (NP (WP What)) (PP (IN about) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (UH like)))) (VP (NP (NP (NNS teenagers)) (SBAR (WHNP (WDT that)) (S (VP (VP (VBP get) (ADJP (JJ involved) (PP (IN in) (NP (DT a) (NN gang))))) (CC and) (VP (VBP do) (NP (DT a) (NN drive)) (PP (PP (IN by) (NP (NN shooting) (CC or) (NN something))) (PP (IN like) (FRAG (NP (DT that)) (. .))))) (NP (INTJ (UH Say)) (NP (CD fifteen))))))) (, ,) (NP (NP (CD sixteen) (NN year)) (ADJP (JJ old)))) (. .)))"
[80],"(ROOT (FRAG (CC or) (PP (IN with) (NP (NP (DT the)) (, ,)))))"
[83],"(ROOT (SQ (MD Would) (NP (PRP you)) (VP (VB consider) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (NN capital) (NN punishment)) (PP (IN for) (NP (PRP them))))) (. ?)))"
[84],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (MD would) (VP (ADVP (RB probably) (JJR lower)) (NP (DT the) (NN age)) (PP (IN to) (NP (QP (RB about) (CD fourteen))))))))) (. .)))
[86],"(ROOT (S (NP (EX There)) (VP (BES 's) (NP (DT some))) (, ,)))"
[87],"(ROOT (S (CC and) (NP (PRP I)) (, ,) (NP (PRP I)) (ADVP (RB certainly)) (VP (VBP do) (RB n't) (VP (VB know) (NP (PRP myself)))) (, ,)))"
[85],(ROOT (INTJ (UH Uh-huh) (. .)))
[89],(ROOT (INTJ (UH Right) (. .)))
[91],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[88, 90]","(ROOT (S (CC but) (NP (NN somebody)) (VP (VBZ needs) (S (VP (TO to) (VP (VB do) (NP (NP (DT a) (NN study)) (SBAR (WHNP (WDT that)) (S (VP (VBZ says) (PP (IN at) (SBAR (WHNP (WP what) (NN age)) (S (NP (NP (ADJP (JJ true) (CC and) (JJ complete)) (JJ logical) (NN thought) (S (VP (TO to) (VP (VB include) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (NN consideration)) (PP (IN of))) (, ,)))))) (PP (IN of) (NP (JJ long) (NN term) (NNS consequences)))) (VP (VBZ begins))))))))))))) (. .)))"
[96],"(ROOT (S (CC and) (, ,) (S (INTJ (UH uh) (, ,) (UH well)) (NP (PRP he)) (VP (BES 's) (NP (CD nineteen)) (ADVP (RB now)))) (, ,)))"
"[92, 94]","(ROOT (FRAG (SBAR (WHNP (WP what) (NN age)) (S (NP (PRP they)) (VP (VBP 're) (ADJP (JJ accountable)) (, ,) (PP (IN for) (NP (PRP$ their) (NNS actions)))))) (. .)))"
[97],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (IN that) (S (NP (PRP I)) (VP (VBD saw) (NP (PRP it)) (PP (IN in) (NP (PRP him))) (PP (IN until) (NP (RB maybe) (JJ last) (NN year)))))))) (, ,))))"
[99],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP have) (S (NP (DT an) (CD eleven) (NN year)) (ADJP (ADJP (JJ old)) (CC and) (ADJP (NP (QP (DT a) (CD nine)) (NN year)) (JJ old)) (, ,))))))"
[100],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VP (VBP do) (RB n't)) (PRN (, ,) (S (VP (VB do) (RB n't) (VP (VB see) (NP (PRP it)) (PP (IN in) (NP (PRP them))) (ADVP (RB yet))))) (, ,))))))"
[98],X
[102],"(ROOT (INTJ (UH Yeah) (, ,)))"
[103],"(ROOT (S (NP (PRP I)) (VP (VBP know) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP are) (VP (VBG lowering) (ADVP (ADVP (NP (DT the) (NN age)) (IN of)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (SBAR (WHNP (WDT whatever)) (S (VP (VBZ is) (VP (VBN considered) (NP (DT a) (NN minor)))))))))))) (. .)))"
[104],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (NNS kids) (, ,) (JJ certain) (NNS kids)) (VP (VBP have) (VP (VBN been) (VP (VBN tried) (PP (IN as) (NP (NP (NNS adults)) (SBAR (WHNP (WP who)) (S (VP (VBD were) (NP (DT a) (NN lot) (JJR younger)) (SBAR (IN than) (S (NP (PRP they)) (VP (VBD used) (S (VP (TO to) (VP (VB be)))))))))))))))))) (, ,)))"
[105],"(ROOT (FRAG (PP (IN like)) (, ,)))"
[106],"(ROOT (S (NP (PRP I)) (VP (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (VP (VBD read) (PP (IN about) (NP (NP (DT a) (NN boy)) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (NP (NP (CD nine) (CC or) (CD ten)) (, ,) (SBAR (WHNP (WDT that)) (S (VP (VP (VBD got) (ADJP (JJ mad)) (PP (IN at) (NP (DT some) (NNS playmates)))) (CC and) (VP (VBD went) (ADVP (RB in))))))))))))) (CC and) (VP (VBD got) (NP (DT a) (NN gun))))))) (CC and) (VP (ADVP (RB just)) (VBD opened) (NP (NN fire)) (PP (IN on) (NP (PRP them))))) (, ,)))"
