[1],"(ROOT (FRAG (S (ADJP (ADJP (RB All) (JJ right)) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[19],"(ROOT (S (NP (DT that) (NN teapot) (NN dome) (NN scandal)) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP think) (PP (IN during) (NP (DT the) (NNP Hoover) (NNS years))) (SBAR (WHADVP (WRB where)) (S (NP (NP (NNS gobs)) (PP (IN of) (NP (NN land)))) (VP (VP (VBD was)) (, ,) (VP (VBD was) (VP (VBN sold) (PP (IN at) (NP (NP (ADJP (RB really) (JJ inflated)) (NNS prices)) (PP (IN on) (NP (DT the) (NN theory))))) (SBAR (IN that) (S (NP (EX there)) (VP (VBD were) (NP (NP (JJ natural) (NN gas)) (PP (IN beneath) (NP (PRP it)))))))))))))))) (, ,)))"
[20],"(ROOT (FRAG (CC and) (SBAR (IN that) (, ,) (S (NP (DT that)) (VP (VBD appeared) (S (VP (TO to) (VP (VB be) (NP (NP (NN corruption)) (PP (IN within) (NP (DT the) (NNP Hoover) (NN administration)))))))))) (. .)))"
[16],(ROOT (INTJ (UH No) (. .)))
[22],(ROOT (INTJ (UH Uh-huh) (. .)))
[23],"(ROOT (INTJ (UH No) (, ,)))"
[24],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (PRP it)) (VP (VBD was) (ADVP (RB really)) (NP (NP (NN corruption)) (SBAR (WHNP (WDT that)) (S (VP (VBD caused) (NP (PRP it))))))))))) (, ,)))"
[25],(ROOT (FRAG (CC or) (PP (IN within))))
[21],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (DT a) (JJ real) (^NN since)) (PP (IN of) (NP (PRN (, ,) (PP (IN of) (NP (UH like)))) (NN corruption))) (SBAR (WHNP (WDT that)) (S (VP (VBD caused) (SBAR (S (NP (NNP S) (CC and) (NNP L)) (VP (GW all) (SBAR (^IN though) (S (NP (PRP I)) (VP (VBP have) (NP (NP (DT a) (NN feeling)) (SBAR (IN that) (S (NP (NNS people)) (VP (VBP look) (NP (DT the) (JJ other) (NN way)) (SBAR (WHADVP (WRB when)) (S (NP (NNS things)) (VP (VBD began) (S (VP (TO to) (VP (VB go) (ADJP (JJ sourer)) (ADVP (RB maybe)))))))))))))))))))))))) (. .)))"
[26],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NNS people)) (ADVP (RB just)) (VP (VBD started) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (ADVP (XX no-)) (, ,) (S (RB not) (VP (VBG being) (ADJP (RB as) (JJ careful) (PP (IN with) (NP (NP (DT the) (NNS loans)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBD were) (VP (VBG making) (SBAR (WHADVP (WRB whenever)) (, ,) (S (NP (PRP you)) (VP (VBP know))))))))))))))) (, ,)) (SBAR (WHADVP (WRB whenever)) (S (NP (PRP they)) (VP (VBD gave) (NP (PRP them)) (PRT (RP out))))))))) (. .)))"
[28],(ROOT (S (NP (PRP I)) (VP (VBP think) (S (ADVP (RB maybe)) (NP (PRP they)) (VP (VBD did) (RB n't) (VP (VB check) (PP (IN into) (NP (PRP them))) (ADVP (RB enough))))))))
[29],(ROOT (FRAG (CC or) (ADVP (ADVP (RB maybe)) (SBAR (IN because) (S (NP (NN everyone) (RB else)) (VP (VBD was) (VP (VBG doing) (SBAR (S (NP (PRP they)) (VP (VBD figured) (SBAR (S (NP (PRP they)) (VP (MD would) (ADVP (RB just)) (VP (VP (VB go) (ADVP (RB ahead))) (CC and) (VP (VB approve) (NP (PRP it)) (ADVP (RB also)))))))))))))))))
[27],(ROOT (INTJ (UH Uh-huh) (. .)))
[30],(ROOT (FRAG (ADVP (RB so)) (. .)))
[31],(ROOT (INTJ (UH Yeah) (. .)))
[33],(ROOT (S (NP (PRP It)) (VP (VBZ seems) (SBAR (IN like) (S (NP (EX there)) (VP (VBD were) (ADJP (^DT on) (JJ awful)) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS people)) (VP (VBG making) (NP (NNS loans) (CC and) (NN business) (NNS decisions)) (ADVP (IN on) (DT a))))))))))))
[34],(ROOT (S (VP (VB get) (ADJP (JJ rich) (RB quick) (SBAR (S (VP (VBZ is) (NP (DT the) (JJ wrong) (NN phrase)))))))))
[35],"(ROOT (S (CC but) (, ,) (SBAR (IN if) (S (NP (PRP it)) (VP (VBZ captures) (NP (NP (DT some)) (PP (IN of) (NP (DT the))))))) (, ,) (NP (NP (DT the) (NN feeling)) (SBAR (S (NP (PRP I)) (VP (VBP have) (PP (IN from) (NP (DT the) (NNS people))) (S (VP (VBG making) (NP (NN business) (NNS decisions)) (SBAR (IN that) (IN if) (S (NP (PRP they)) (VP (VBD failed) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADVP (RB sort) (RB of)) (NP (INTJ (UH well)) (NP (DT no) (NN skin))))))))))))))) (VP (^IN of) (NP (PRP$ my) (NN back)))))"
[32],(ROOT (INTJ (UH Yeah) (. .)))
[36],"(ROOT (S (NP (PRP I)) (VP (MD 'll) (VP (VB move) (PRT (RP on)) (PP (IN to) (NP (DT this) (JJ other) (NN company))))) (, ,)))"
[37],(ROOT (INTJ (UH Uh-huh) (. .)))
[39],(ROOT (INTJ (UH Uh-huh) (. .)))
[41],(ROOT (INTJ (UH Uh-huh)))
"[38, 40]","(ROOT (S (CC or) (NP (PRP I)) (PRN (, ,) (S (NP (PRP I)) (VP (ADVP (RB just)) (^VBP since) (SBAR (IN that) (S (NP (PRP they)) (VP (VBD did) (RB n't) (VP (VB have) (NP (NP (DT a) (NN commitment)) (PP (IN to) (NP (NP (DT the) (NN stability)) (PP (IN of) (NP (DT the) (NNS organizations))))) (SBAR (S (NP (PRP they)) (VP (VBD were))))))))))) (, ,)) (VP (VBD were) (VP (VBG making) (NP (DT the) (NNS decisions)) (PP (IN for)))) (. .)))"
[43],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN whether) (S (NP (NP (DT that)) (BES 's) (SBAR (IN because) (S (NP (PRP they)) (VP (VBD had) (NP (NP (JJ other) (NNS opportunities)) (PP (IN to) (SBAR (WHNP (WDT which)) (S (NP (PRP they)) (VP (MD could) (VP (VB move) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (SBAR (IN that) (S (NP (PRP it)) (VP (VBD was) (ADJP (RB that) (JJ easy)) (PP (IN for) (NP (PRP them))) (S (VP (TO to) (VP (VB find) (NP (JJ new) (NN work))))) (SBAR (IN that) (S (NP (PRP they)) (VP (VBD did) (RB n't)))))))))))))))) (, ,)) (VP (VBD were) (RB n't) (VP (VBN stuck) (PP (IN to) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBD were)))))))))))))"
[44],(ROOT (FRAG (CC and) (NP (NP (NNS things)) (SBAR (S (VP (VBP begin) (S (VP (TO to) (VP (VB collapse))))))))))
[42],(ROOT (NP (. .)))
[45],(ROOT (S (NP (PRP they)) (ADVP (RB just)) (VP (VBD moved) (PRT (RP on))) (. .)))
[47],"(ROOT (FRAG (CC Or) (PP (IN whether) (S (NP (PRP they)) (VP (VBD had) (VP (VBN extracted) (NP (JJ enough) (NN money)) (PP (IN in) (NP (DT a) (NN percentage) (NN base))) (SBAR (IN that) (S (NP (PRP they)) (, ,) (X (IN that)) (NP (PRP they)) (VP (VBD did) (RB n't) (VP (VB care) (ADVP (DT any) (JJR more)))))) (, ,)))))))"
[46],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (JJ sure))) (. .)))
[49],(ROOT (INTJ (UH Uh-huh) (. .)))
[51],"(ROOT (S (NP (PRP I)) (VP (VBP know) (S (SBAR (PRN (, ,) (INTJ (UH well)) (, ,)) (S (NP (PRP I)) (VP (VBP 'm)))) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP know) (NP (NP (DT a) (JJ little) (NN bit)) (PP (IN about) (NP (PRP it)))))))))"
[52],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (ADJP (RB as) (JJ much)) (SBAR (IN as) (S (NP (PRP I)) (VP (MD should) (VP (VB know) (PP (IN about) (NP (PRP it)))))))))))
"[48, 50]","(ROOT (S (NP (PRP I)) (, ,) (ADVP (RB just)) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADJP (RB rather) (JJ puzzled) (PP (IN about) (NP (NP (DT the)) (, ,) (NP (JJ whole) (NN thing)))))) (. .)))"
[53],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (NN finance) (NN major)) (ADVP (RB here)) (PP (IN at) (NP (NNP Clarion)))) (. .)))
[55],"(ROOT (S (CC And) (, ,) (INTJ (UH um)) (, ,) (NP (PRP I)) (VP (VBP do) (VP (VB know) (SBAR (IN that) (S (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS reasons)) (SBAR (WHNP (WDT that)) (S (VP (VBD caused) (NP (PRP it)))))))) (VP (VBZ is) (NP (NP (DT the) (NN fact)) (SBAR (WHNP (WDT that)) (S (NP (DT the) (NNP federal) (^NNP reserved)) (VP (VBD backed) (NP (NP (DT any) (NN loan)) (SBAR (WHNP (WDT that)) (S (NP (DT the) (NNP Savings) (CC and) (NNP L)) (VP (VBD made) (PP (IN with) (NP (NP (DT a)) (, ,) (NP (DT a) (QP (CD hundred) (CD thousand)) (NNS dollars))))))))))))))))) (. .)))"
[56],(ROOT (ADJP (RB So) (SBAR (S (NP (PRP they)) (VP (VBD were) (ADVP (RB kind) (RB of)) (VP (VBN insured) (PP (IN with) (NP (DT that) (QP (CD hundred) (CD thousand)) (NNS dollars)))))))))
[57],"(ROOT (PRN (CC and) (S (S (NP (PRP I)) (VP (VBP think) (NP (DT that)) (BES 's) (SBAR (WHADVP (ADVP (RB kind) (RB of)) (WRB why)) (S (NP (PRP they)))))) (, ,) (S (NP (PRP they)) (VP (VBD were) (VP (VBG making) (NP (DT the) (JJR riskier) (NNS loans))))) (, ,))))"
[54],(ROOT (INTJ (UH Okay) (. .)))
[58],"(ROOT (S (SBAR (IN because) (S (NP (PRP they)) (VP (VBD were) (VP (FRAG (INTJ (INTJ (UH like) (UH oh)) (, ,) (INTJ (UH well)))))))) (, ,) (NP (PRP we)) (VP (VBP have) (NP (DT a) (CD hundred) (CD thousand) (NNS dollars) (NN insurance)) (PP (IN on) (NP (PRP it)))) (. .)))"
[60],"(ROOT (INTJ (UH No) (, ,)))"
[59],"(ROOT (S (S (INTJ (UH Well)) (, ,) (NP (PRP they)) (VP (VBD did) (RB n't))) (, ,) (NP (PRP they)) (VP (VBD did) (RB n't) (VP (VB have) (NP (NP (DT a) (^NN since)) (PP (IN of) (NP (NN risk)))))) (. .)))"
[61],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (ADVP (RB so)))) (. .)))
[63],"(ROOT (FRAG (CC And) (S (VP (VP (PRN (, ,) (INTJ (UH uh)) (, ,)) (CC plus) (SBAR (WHADVP (WRB where)) (S (NP (NP (DT the) (NN fact)) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBD were) (VP (VBN allowed)))))) (VP (TO to) (VP (VB make) (NP (NNS loans)) (PP (IN in))))))) (, ,) (NP (NP (DT any)) (, ,) (RB almost) (NP (NP (DT any) (NN type)) (PP (IN of) (NP (NN loan)))))))))"
[62],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH okay) (. .))))"
[64],"(ROOT (S (FRAG (PP (CC and) (NP (UH like))) (NP (DT some) (NNS banks))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (SBAR (S (NP (PRP they)) (VP (VBP 're) (ADJP (JJ limited) (PP (IN to) (NP (NP (DT the) (NNS types)) (PP (IN of) (NP (NP (NNS loans)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBN allowed) (S (VP (TO to) (VP (VB make))))))))))))))))) (. .)))"
[65],(ROOT (INTJ (UH Uh-huh) (. .)))
[66],(ROOT (S (CC And) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (NNP S) (CC and) (NNP L) (NNS -s)) (VP (VBD were) (ADJP (RBR more) (JJ open) (PP (IN with) (NP (NP (DT the) (NNS types)) (PP (IN of) (NP (NP (NNS loans)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBD were) (VP (VBN allowed) (S (VP (TO to) (VP (VB make))))))))))))))))) (. .)))
[67],(ROOT (INTJ (UH Okay) (. .)))
[69],(ROOT (INTJ (UH Okay) (. .)))
[70],"(ROOT (S (SINV (FRAG (INTJ (UH Well))) (VP (VBP do) (S (NP (PRP you)) (VP (VB think)))) (NP (PRP we))) (, ,) (NP (EX there)) (ADVP (BES 's) (NP (NP (DT a) (JJ final) (NN accounting)) (PRN (, ,) (FRAG (ADVP (RB yet)) (RB not)) (, ,))) (PP (IN in) (NP (NP (DT the) (^NN since)) (PP (IN of) (NP (NNS pennies)))))) (VP (^CC an) (NP (NNS nickels))) (, ,)))"
[71],"(ROOT (X (CC but) (S (VP (VBP do) (S (NP (PRP you)) (VP (VB think) (S (NP (EX there)) (VP (BES 's) (NP (NN accounting)) (PP (PP (IN on) (NP (NP (DT an) (NN ordered)) (PP (IN of) (NP (NN magnitude))))) (CC or) (, ,) (CC or) (PP (IN that))) (, ,) (SBAR (IN that) (S (NP (PRP they)) (ADVP (RB really)) (VP (VBP do) (VP (VB understand) (SBAR (WHNP (WHADJP (WRB how) (JJ much)) (NN money)) (S (NP (PRP it)) (VP (VBZ is)))))))) (, ,)))))))))"
[68],"(ROOT (S (CC And) (S (NP (PRP I)) (VP (VBP think) (SBAR (IN if) (S (NP (PRP they)) (VP (MD would) (VP (VB be) (ADJP (ADJP (RBR more) (JJ bound) (PP (IN to) (NP (JJ certain) (NNS loans)))) (CC and) (ADJP (RB not) (RB as) (JJ high))) (PP (IN of) (NP (NN insurance))) (PP (IN by) (NP (DT the) (NN reserve))))))))) (, ,) (RB then) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (DT this)) (VP (MD would) (VP (VB have) (VP (VBN happened))))))))) (. .)))"
[72],"(ROOT (SBAR (IN for) (S (SBAR (^DT^NN awhile) (S (NP (PRP it)) (VP (VBD seemed) (SBAR (S (PP (IN like) (NP (DT every) (NN time))) (NP (PRP I)) (VP (VBD opened) (NP (DT the) (NN paper)) (PRT (RP up)))))))) (NP (PRP it)) (VP (VBD was) (VP (VBG escalating) (PP (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (NN damage))))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))"
[73],(ROOT (INTJ (UH Uh-huh) (. .)))
[74],"(ROOT (FRAG (S (VP (VP (VBD did)) (PRN (, ,) (S (VP (VBZ is) (NP (PRP$ your) (^NN since)) (SBAR (IN that) (S (NP (PRP we)) (ADVP (RB now)) (VP (VBP understand) (SBAR (WHADJP (WRB how) (JJ bad)) (S (NP (PRP it)) (VP (VBZ is))))))))) (, ,))))))"
[75],X
[77],"(ROOT (SINV (FRAG (INTJ (UH Um))) (VP (VP (PRN (, ,) (S (NP (PRP I)) (VP (VBP think) (PP (IN that) (NP (NNS people))) (ADVP (RB just)) (ADVP (RB basically))))) (VBD got) (NP (NP (JJ tired)) (PP (IN of)))) (SBAR (S (VP (VBG hearing))))) (NP (PRP it))))"
[78],"(ROOT (S (S (CC and) (NP (PRP it)) (VP (VBD was) (RB n't) (VP (VBG making)))) (, ,) (NP (PRP it)) (VP (VBD was) (VP (VBD was) (RB n't) (ADJP (RB as) (JJ good)) (SBAR (NP (NN news)) (IN as) (S (NP (PRP it)) (VP (VBD was)))))) (. .)))"
[79],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADVP (RB still)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (S (NP (PRP I)) (VP (VBG adding) (PRT (RP up)))))) (, ,))))))))"
[76],(ROOT (S (CC or) (VP (VBZ is) (S (NP (EX there)) (ADJP (JJR more) (S (VP (TO to) (VP (VB be) (VP (VBN heard) (ADVP (RB yet))))))))) (. .)))
[80],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (MD will) (VP (VB be) (PP (IN for) (NP (^DT^NN awhile)))))))) (. .)))
[81],"(ROOT (S (NP (RB So) (PRP you)) (VP (VBP do) (RB n't) (VP (VB think) (S (ADVP (RB necessarily)) (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT a) (JJ complete) (NN grasp)) (ADVP (RB yet))))))) (, ,)))"
[82],(ROOT (INTJ (UH No) (. .)))
[84],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (S (NP (PRP they)) (VP (VB do))))) (. .)))"
[83],(ROOT (FRAG (CC or) (SBAR (IN whether) (FRAG (ADVP (XX MUMBLEx)))) (. .)))
[85],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (WHADVP (WRB how)) (, ,) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (SBAR (WHADVP (WRB how)) (S (NP (PRP they)) (VP (MD could) (VP (VB find) (ADJP (RB that) (JJ big)))))) (, ,) (SBAR (WHNP (WRB how) (JJ much)) (S (VP (VBD was) (VP (ADVP (RB really)) (VBN lost))))) (CC or) (SBAR (WHADJP (WRB how) (JJ much)) (S (NP (PRP they)) (VP (VBD were) (VP (VBG going) (S (VP (TO to) (VP (VB lose)))) (, ,) (SBAR (IN because) (S (S (NP (EX there)) (ADVP (RB still)) (VP (VBP are) (NP (DT some) (NNP S)))) (CC and) (S (NP (NNPS Ls)) (ADJP (RB still) (JJ open)))))))))))))))) (. .)))"
[86],(ROOT (INTJ (UH Uh-huh) (. .)))
[87],"(ROOT (S (S (CC And) (NP (PRP it)) (VP (BES 's))) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (RB very) (JJ possible) (PP (IN for) (NP (PRP them)))) (S (VP (TO to) (VP (VB go) (ADVP (RB down) (PP (IN in) (NP (DT the) (NN future)))) (SBAR (IN because) (FRAG (PP (IN of) (NP (DT this))))))))) (. .)))"
[89],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[88],(ROOT (S (VP (TO To) (VP (VB be) (ADJP (JJ caught) (PP (IN in) (NP (DT the) (XX MUMBLEx)))))) (. .)))
[90],(ROOT (INTJ (UH uh-huh) (. .)))
[92],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))"
[93],"(ROOT (S (NP (PRP I)) (VP (VBP thin) (, ,) (SBAR (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (MD would) (VP (VB be) (ADJP (JJR harder))))))))))))"
[91],(ROOT (SQ (VBP Do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (TO to)) (ADVP (RB possibly)) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP it)) (VP (MD will) (VP (VB help) (PP (IN with) (NP (DT the) (JJ regular) (NNS banks))))))))))) (. ?)))
[94],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (EX there)) (VP (VBP are) (NP (NP (DT some) (JJ regular) (NNS banks)) (SBAR (WHNP (WDT that)) (S (VP (MD will) (VP (VB go) (ADVP (RB down)) (PP (IN with) (NP (PRP it)))))))))))) (. .)))
"[95, 97]","(ROOT (S (NP (PRP It)) (VP (VBZ seems) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP recall) (VP (VBG reading) (PP (IN for) (NP (DT the) (JJ last))) (S (INTJ (UH oh)) (, ,) (VP (VB let) (S (NP (PRP 's)) (VP (VB say) (S (VP (VBG starting) (NP (NP (NP (CD three) (NNS years)) (PP (GW a) (PRN (^RB go) (CC but) (ADVP (RB not) (ADVP (RB so) (JJ much) (PP (IN in) (NP (NP (DT the) (JJ last) (NN year)) (PP (IN of) (NP (NN bank) (NNS risks)))))) (PP (IN of) (ADVP (JJ relative)))) (PP (IN to) (NP (NP (DT the) (VBG loaning) (NNS funds)) (PP (IN to) (NP (NP (JJ third) (NN world) (NNS countries)) (PP (IN like) (NP (NNP Mexico) (, ,) (NNP Venezuela)))))) (. .))) (NP (UH Uh)))) (, ,) (CC and) (NP (NP (NNP Argentina)) (VP (VBN based) (PP (IN on) (NP (NN oil) (NNS loans)))))))))))))))))))"
[98],"(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (NP (DT the) (NN price)) (PP (IN of) (NP (NN oil)))) (VP (VP (VBD had)) (PRN (, ,) (S (VP (VBD had) (VP (VBN gone) (ADVP (RB south)) (S (VP (VBG resulting) (PP (IN in) (S (NP (DT those) (NNS loans)) (VP (VBG being) (ADJP (RB very) (JJ risky)))))))))) (, ,))))))))"
[99],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP read) (NP (NP (NNS articles)) (PP (IN of) (NP (JJ various) (NNS banks))) (SBAR (WHNP (WDT that)) (S (VP (VBP have) (VP (VBN done) (NP (DT the) (JJ right) (NN thing)) (S (VP (TO to) (VP (VB contain) (NP (PRP$ their) (NNS risks)) (PP (VBN given) (SBAR (IN that) (S (NP (PRP they)) (VP (VBD had) (VP (VBN made) (NP (JJ multiple) (ADJP (CD billion) (NN dollar)) (NNS loans))))))))))))))))))) (. .)))
[96],(ROOT (INTJ (UH Uh-huh) (. .)))
[101],"(ROOT (INTJ (INTJ (UH Oh) (, ,) (UH yeah)) (, ,) (INTJ (UH um) (, ,))))"
[102],(ROOT (S (PP (IN in) (NP (NP (DT some)) (PP (IN of) (NP (PRP$ my) (NNS classes))) (ADVP (RB now)))) (NP (PRP I)) (VP (VBD was) (ADVP (RB just)) (VP (VBG reading)))))
[103],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBD was) (PP (IN in) (NP (NNP Venezuela)))))))))
[104],"(ROOT (S (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB remember) (SBAR (WHNP (WP what) (NN company)) (S (NP (PRP it)) (VP (VBD was)))))) (, ,)))"
[100],"(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (DT this) (JJ vague) (^NN since)) (SBAR (IN that) (, ,) (S (NP (DT that)) (VP (MD could) (VP (VB happen) (ADVP (IN that)))))) (, ,) (SBAR (IN that) (S (NP (EX there)) (VP (VBP are) (ADVP (RB still)) (NP (NP (NNS monies)) (VP (VBN loaned) (PRT (RP out)) (PP (IN to) (NP (NP (JJ third) (NN world) (NNS countries)) (SBAR (WHNP (WDT that)) (S (VP (MD could) (VP (VB end) (PRT (RP up)) (S (VP (VBG being) (ADJP (RB totally) (VBN lost)))))))))))))))) (. .)))"
[105],(ROOT (S (CC but) (NP (PRP they)) (ADVP (RB just)) (VP (VBD wrote) (PRT (RP off)) (PP (IN like) (NP (NP (NNS millions)) (PP (IN of) (NP (NNS dollars))))) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP know) (SBAR (S (NP (PRP they)) (VP (MD will) (ADVP (RB never)) (VP (VB get) (NP (PRP it)) (ADVP (RB back)))))))))) (. .)))
