[0],"(ROOT (S (INTJ (UH Okay)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP we)) (VP (VBP 're) (PP (RB on)))))) (. .)))"
[20],(ROOT (SQ (VBP Have) (NP (NP (PRP you)) (ADVP (RB ever))) (VP (VBN been) (ADVP (RB there))) (. ?)))
[23],"(ROOT (S (NP (PRP It)) (VP (BES 's) (, ,) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB really))))) (, ,)))"
[24],"(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP have) (RB n't) (VP (VBN been) (ADVP (RB there))))) (, ,)))"
[25],"(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VP (VBN been) (PP (IN to))) (, ,) (VP (VBN been) (PP (IN to) (NP (NNP Salvador))))))))"
[26],"(ROOT (S (CC and) (, ,) (ADVP (CC and)) (, ,) (INTJ (UH uh)) (, ,) (PP (IN in) (NP (NN fact))) (, ,) (NP (PRP we)) (VP (VBD went) (ADVP (RB back)) (S (VP (TO to) (VP (VB visit) (NP (NP (DT some) (NNS friends)) (PP (IN of)) (, ,) (PP (IN of) (NP (NP (PRP$ my) (NNS fathers)) (, ,) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBD went) (SBAR (S (PP (IN in) (NP (CD fifty-seven))) (NP (PRP I)) (VP (VBP guess)))))))))))))) (. .)))"
[27],"(ROOT (S (CC And) (ADVP (RB interestingly) (RB enough)) (NP (DT the) (NN canal)) (VP (VP (VBZ is) (ADJP (RB quite) (JJ small))) (CC and) (, ,) (CC and) (ADVP (RB realistically)) (VP (MD could) (VP (VB be) (VP (VBN sabotaged) (ADVP (ADVP (RB quite)) (, ,) (ADVP (RB quite) (RB easily))))))) (. .)))"
[28],"(ROOT (SINV (S (NP (NP (DT The) (NN thing)) (SBAR (S (NP (PRP I)) (VP (VBP find) (ADJP (JJ interesting)))))) (, ,) (ADVP (RB though)) (, ,) (VP (VBZ is) (ADJP (IN that)) (, ,) (INTJ (UH uh)))) (, ,) (VP (VBZ is)) (NP (DT the) (JJ whole) (JJ colonial) (NN approach))))"
[29],"(ROOT (S (CC and) (, ,) (ADVP (CC and)) (, ,) (NP (CC and)) (VP (VP (VBP do) (NP (PRP we))) (PRN (, ,) (S (VP (VP (VBP do) (S (NP (PRP we)) (VP (VB support) (NP (DT the) (NNPS Sandinistas))))) (CC or) (, ,) (CC or) (VP (VBP do) (NP (PRP we)))))) (VP (VB support) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[30],"(ROOT (S (NP (PRP you)) (VP (VBP know) (, ,) (S (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBD thought)))) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP they)) (VP (VBD thought) (SBAR (IN that) (S (NP (NNP Nicaragua)) (PRN (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBD gave) (NP (PRP them)) (NP (DT a) (JJ free) (NN election))))) (, ,)) (NP (PRP they)) (VP (MD would) (VP (VB vote) (PP (IN for) (NP (DT the)))))))))) (, ,)))"
[31],"(ROOT (VP (MD Will) (NP (PRP you)) (PRN (, ,) (INTJ (UH uh)) (, ,))))"
[22],(ROOT (S (NP (PRP I)) (VP (VBP have) (RB n't)) (. .)))
[33],"(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (NP (DT a)) (, ,) (NP (DT a) (JJ little) (NN bit)) (, ,)))))"
[34],"(ROOT (S (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB say) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP 'm) (PRN (, ,) (S (NP (PRP I)) (VP (MD would) (VP (VB be) (NP (DT an) (PRN (, ,) (NP (DT an) (NN expert)) (PP (IN on)) (, ,))) (PP (IN on) (NP (DT the) (NN region)))))) (, ,)))))))))"
[35],"(ROOT (S (CC but) (, ,) (INTJ (INTJ (UH uh)) (, ,) (INTJ (INTJ (RB certainly)) (, ,) (INTJ (UH uh)))) (, ,) (NP (PRP I)) (, ,) (NP (NP (PRP it)) (, ,) (NP (PRP it))) (VP (VBZ gets) (, ,) (S (NP (PRP it)) (NP (NP (XX ge-)) (, ,) (NP (EX there)) (, ,))))))"
[36],"(ROOT (FRAG (PP (PRP$ your)) (, ,)))"
[37],"(ROOT (S (NP (PRP you)) (VP (VBP 've) (VP (VBN got) (NP (NP (DT this)) (, ,) (NP (NP (DT this) (GW toss)) (ADJP (^NN up) (IN betw-))) (, ,))))))"
[38],"(ROOT (S (VP (NP (NP (QP (CC or) (RB not))) (, ,) (NP (NP (RB not) (ADJP (ADJP (RB so) (JJ much)) (PRN (S (NP (DT a) (GW toss)) (VP (^NN up) (NP (NP (ADVP (CC but)) (DT a)) (, ,) (NP (DT a) (NN dilemma))) (NP (WRB when)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP want) (S (NP (DT a) (NN country)) (VP (TO to) (VP (VB have) (NP (NP (PRP$ its)) (, ,) (NP (PRP$ its)) (, ,)) (NP (UH um))))))))))) (, ,) (ADJP (ADJP (JJ own)) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (NN dominion)) (, ,) (CC or) (NP (NP (PRP$ its) (JJ free) (NN rein)) (PP (IN over) (NP (NP (PRP$ its)) (, ,) (NP (PRP$ its) (JJ own) (NNS people)))))))) (. .)))"
[40],"(ROOT (FRAG (CC and) (NP (NP (RB now)) (SBAR (S (NP (PRP we)) (VP (VBP 're) (PRN (, ,) (S (NP (PRP we)) (VP (VBP 're) (PP (IN in) (NP (DT this) (NN dilemma) (IN over))) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (NNP United) (NNPS States)) (SBAR (S (VP (VP (VBZ is)) (, ,) (VP (VBZ believes) (PP (IN in) (NP (NP (NN democracy)) (CC and) (, ,) (CC and) (NP (NN self) (NN determination))))) (, ,) (SBAR (WHADVP (WRB where)) (S (VP (XX a-)))))))))) (, ,))))))))"
[41],(ROOT (PRN (CC but) (ADVP (IN that))))
[42],"(ROOT (S (S (PP (IN on) (NP (DT the) (JJ other) (NN hand))) (NP (PRP we)) (VP (VP (VBP believe) (PP (IN in) (NP (NN self) (NN preservation)))) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VBP agree) (PP (IN with) (NP (DT the)))))) (, ,) (CC or) (S (, ,) (SBAR (RB not) (S (ADVP (RB so) (JJ much)) (VP (VP (VBP agree) (PP (IN with))) (CC but) (VP (VBP are) (ADJP (RB terribly) (SBAR (S (VP (VBD concerned) (PP (IN about) (NP (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (ADVP (XX infl-))) (, ,)) (JJ Soviet) (NN influence))) (PP (IN in) (PRN (, ,) (PP (IN in) (SBAR (WHNP (WP what)) (S (VP (BES 's) (VP (VBN considered) (S (VP (TO to) (VP (VB be) (NP (NP (DT the) (NNP United) (NNPS States) (NN sphere)) (PP (IN of) (NP (NP (DT the) (NN world)) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (RB not) (ADVP (RB only)))))))))))))))) (, ,)) (NP (PRP you))))))))))) (, ,) (NP (PRP we)) (VP (VBD used) (S (VP (TO to) (VP (VB see) (NP (NNS spheres)))))))))"
[32],"(ROOT (S (VP (VBD did) (S (NP (PRP you)) (VP (ADVP (RB ever)) (VBN studied) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (JJ political) (NN makeup)) (NP (RB there))) (, ,)) (PP (IN in)))) (, ,) (PP (IN in)) (, ,) (PP (IN in) (NP (NNP Nicaragua)))) (. .)))"
[44],"(ROOT (S (S (INTJ (UH Well)) (NP (DT the) (JJ interesting)) (VP (ADVP (NN part) (PP (IN about) (NP (PRP it)))) (VP (VBZ is) (ADJP (IN that))))) (, ,) (SBAR (IN if) (S (, ,) (ADVP (RB realistically)) (NP (PRP it)) (VP (VBD was) (ADJP (JJ economic))))) (. .)))"
[45],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP read) (NP (NP (DT any)) (PP (IN of) (NP (DT the) (NN history))))))) (ADVP (IN on)) (SBAR (WHADVP (WRB where)) (S (NP (DT the) (NNP Panama) (NNP Canal))))))))
[46],"(ROOT (S (CC but) (NP (EX there)) (VP (VBD was) (NP (DT an) (NN option) (S (VP (TO to) (VP (VB build) (NP (PRP it)) (PP (IN across) (NP (NNP Nicaragua))))))) (, ,))))"
[43],"(ROOT (S (CC but) (SBAR (RB now) (S (NP (PRP we)) (VP (VBP 're) (PP (IN in) (NP (NP (DT a) (NN situation)) (SBAR (WHADVP (WRB where)) (S (NP (DT the) (NNP United) (NNPS States)) (VP (VBZ is))))))))) (, ,) (VP (VBZ looks) (SBAR (IN like) (S (NP (PRP we)) (VP (VBP 're) (NP (PRP it)) (ADVP (RB now)))))) (. .)))"
[47],"(ROOT (S (INTJ (UH uh)) (, ,) (ADVP (CC and)) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (EX there)) (VP (VBD were) (, ,) (INTJ (UH uh)) (, ,) (S (NP (EX there)) (VP (BES 's) (NP (DT a) (JJ big))))))) (, ,) (NP (EX there)) (VP (BES 's) (NP (NP (NP (DT a) (JJ big)) (NP (NN lake))) (, ,)))))"
[49],"(ROOT (FRAG (CC and) (S (VP (VP (, ,) (S (NP (NP (FRAG (INTJ (UH um)) (, ,) (PP (IN from)))) (PP (NP (DT a) (ADJP (JJ technical)) (NN standpoint)) (NP (NP (PRP it)) (SBAR (S (VP (MD would) (RB n't) (VP (VB have) (VP (VBN been) (ADJP (ADVP (NP (DT a) (NN lot)) (RBR more)) (JJ difficult) (S (VP (TO to) (VP (VB have) (VP (VBN built) (NP (PRP it))))))))))))))))) (PRN (PP (IN in) (NP (NNP Nicaragua))) (, ,))))))"
[50],"(ROOT (S (NP (NP (ADVP (CC but)) (DT the)) (VP (, ,) (S (NP (NP (NP (DT the) (NNP United)) (SBAR (S (NP (NNPS States)) (VP (S (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (VP (VBD had)) (NP (DT some))))))))) (, ,)))))))"
[51],(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN forgotten) (SBAR (WHNP (WP what)) (S (NP (DT the) (JJ political) (NN influence)) (VP (VBD was)))))))))
[52],(ROOT (S (CC but) (NP (EX there)) (VP (VBD were) (NP (JJ economic) (NNS ties)) (ADVP (RB then))) (. .)))
[53],"(ROOT (NP (NP (DT The) (NN issue)) (PP (IN of)) (, ,) (PP (IN of))))"
[54],"(ROOT (SBAR (IN if) (S (, ,) (SBAR (IN if) (S (NP (PRP it)) (VP (BES 's) (PP (IN in) (NP (DT the) (JJ economic) (NN interest))) (PP (IN of) (NP (DT the) (NNP United) (NNPS States))) (, ,) (FRAG (INTJ (UH uh)))))) (, ,) (VP (VBP do) (FRAG (NP (PRP we)) (VP (VP (VB go) (ADVP (RB in))) (CC and) (, ,) (CC and) (VP (VB prevail))))))))"
[48],(ROOT (INTJ (UH Uh-huh) (. .)))
[55],"(ROOT (FRAG (CC and) (S (VP (VP (, ,) (S (VP (ADVP (CC and)) (S (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (PP (IN in) (NP (JJ other))) (NP (NNS words)) (VP (VBP do) (S (NP (PRP we)) (VP (VB make) (S (NP (DT the) (NN world)) (ADJP (JJ safe)))))))))))) (PRN (PP (IN for) (NP (NN democracy))) (, ,))))))"
[57],"(ROOT (PRN (CC but) (SBAR (IN if) (S (NP (EX there)) (VP (BES 's) (NP (DT no) (JJ economic) (NN benefit))) (, ,)))))"
[58],"(ROOT (S (S (CC and) (NP (PRP I)) (VP (VBP think) (S (SBAR (RB particularly) (IN if) (S (NP (PRP you)) (VP (VP (VBP 're)) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG looking) (ADVP (IN at) (DT the)) (, ,) (ADVP (IN at) (DT the)) (, ,) (PP (IN at) (NP (DT the) (NN peasant)))))))))) (, ,) (INTJ (UH uh)) (, ,) (SBAR (IN whether) (S (NP (PRP he)) (VP (BES 's) (PP (IN in) (NP (NNP Central) (NNP America))) (, ,) (ADVP (RB regardless) (PP (IN of) (SBAR (WHADVP (WRB where)) (S (NP (PRP he)) (VP (VBZ is) (, ,) (SQ (VBZ is) (NP (PRP$ his) (NN life))))))))))) (, ,) (VP (VBZ is) (NP (PRP$ his) (NX (NX (NX (NX (NN life)) (ADJP (JJR better))) (PRN (ADVP (RP off)) (PP (IN under) (NP (NN communism))))) (CC or))))))) (, ,) (CC or) (FRAG (INTJ (UH uh)) (, ,) (PP (CC or) (NP (JJ Democratic) (NN government)))) (. .)))"
[56],(ROOT (INTJ (UH Right) (. .)))
[59],"(ROOT (S (NP (PRP You)) (VP (VBP look) (PP (IN at) (NP (NP (NNP Salvador)) (FRAG (WHADVP (WRB where)))) (ADVP (DT the)))) (, ,)))"
[61],"(ROOT (INTJ (UH Yeah) (, ,)))"
[62],"(ROOT (S (CC and) (, ,) (S (CC and) (S (NP (DT the) (NN question)) (VP (VBZ is)))) (, ,) (VP (VBZ does) (S (NP (DT the) (NN government) (NN make)) (NP (DT a) (NN difference)))) (. .)))"
[63],"(ROOT (SBAR (IN If) (S (NP (PRP they)) (VP (MD 'll) (ADVP (RB mostly)) (VP (VB leave) (NP (PRP him)) (ADVP (ADVP (RB alone)) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))"
[64],"(ROOT (S (CC and) (NP (PRP I)) (VP (VBP think) (S (NP (DT that)) (VP (BES 's) (S (NP (DT the) (NN difficulty)) (NP (PRP they))))) (, ,) (SBAR (IN that) (PRN (, ,) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP have) (ADVP (IN that))))) (, ,)) (S (FRAG (INTJ (UH uh)) (, ,) (NP (PRP it))) (, ,) (NP (NP (PRP it)) (SBAR (S (NP (NN reality)) (VP (VBZ does) (RB n't) (VP (VB make) (PRN (, ,) (INTJ (UH uh)) (, ,))))))) (VP (VBZ does) (RB n't) (VP (VB make) (NP (DT any) (NN difference)) (SBAR (IN if) (S (NP (PRP he)) (VP (VBZ has) (NP (DT no) (NN income)))))))))) (. .)))"
[65],"(ROOT (FRAG (CC And) (ADVP (RB apparently)) (SBAR (RB even) (S (NP (NP (DT some)) (PP (IN of) (NP (NP (PRP$ our) (ADJP (ADJP (JJ alleged)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNP Central) (JJ American) (NNS leaders)) (SBAR (WHNP (WHNP (WDT that)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VBP are) (ADJP (RB mostly) (JJ democratic)))))))) (VP (VBP have) (VP (VBN done) (NP (NP (NP (DT some)) (NP (ADJP (RB pretty) (JJ terrible)) (NNS things))) (, ,))))))))"
[60],"(ROOT (S (S (INTJ (UH Well)) (NP (PRP he)) (VP (VBZ does) (RB n't) (VP (VB care) (ADVP (ADVP (RB as) (RB long)) (SBAR (IN as) (S (NP (PRP he)) (VP (BES 's) (VP (VBG feeding) (NP (PRP$ his)))))))))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (PRP$ his) (NN family))) (. .)))"
[67],"(ROOT (INTJ (UH Yeah) (, ,)))"
[68],"(ROOT (FRAG (INTJ (UH well)) (, ,) (NP (PRP yo-)) (, ,)))"
[69],"(ROOT (PP (IN in) (S (VP (VBG looking) (PRN (, ,) (ADVP (CC bu-)) (, ,))))))"
[70],"(ROOT (SBAR (IN if) (S (NP (PRP you)) (VP (VBP look) (PP (IN at) (NP (DT the) (NN region))) (PP (IN in)) (, ,) (PP (IN in) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))"
[71],"(ROOT (S (PP (IN to) (NP (PRP$ their) (NN detriment))) (NP (PRP they)) (VP (VBD came) (PP (IN from) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (ADJP (DT this) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNS hundreds)) (PP (IN of) (NP (NP (NNS years)) (PP (IN of) (NP (JJ Spanish) (NN control))))))))))"
[72],"(ROOT (S (CC and) (NP (NP (DT the)) (, ,) (CC and) (NP (DT the) (NNPS Spaniards))) (VP (VBP have) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (JJ horrible) (NN history)) (PP (IN of) (NP (NP (ADJP (ADJP (JJ corrupt)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN government)) (, ,) (NP (NP (ADJP (ADJP (JJ greedy)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNS rulers)) (SBAR (WHNP (WP who)) (S (VP (VBP have) (VP (VBN been)) (, ,) (INTJ (UH uh)) (, ,) (S (VP (VBG manipulating) (, ,) (VBG manipulating) (NP (PRP$ their) (NN public)) (PP (IN for) (NP (NP (PRP$ their) (JJ own)) (, ,) (NP (PRP$ their) (JJ own) (NN good)))))))))))))) (. .)))"
[73],"(ROOT (S (NP (PRP I)) (VP (VP (VBP mean)) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP go) (ADVP (RB back)) (PP (IN to) (NP (NP (NP (DT the) (NX (NX (NNS kings)) (CC and))) (, ,) (CC and) (NP (DT the))) (, ,) (NP (NP (DT the) (NNS conquistadors)) (VP (VBG coming) (ADVP (RB in)))) (CC and) (, ,) (CC and) (NP (NP (DT the) (ADJP (JJ hor) (, ,) (RB incredibly) (JJ horrible)) (NNS things)) (SBAR (S (NP (PRP they)) (VP (VBD did) (PP (IN to) (NP (DT the) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (DT the) (JJ native) (NNS tribes))) (, ,))))))))))))))))"
[74],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (PRP they)) (VP (VBP make) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP they)) (VP (VBP make) (NP (DT the) (NNS things)) (SBAR (IN that) (S (NP (NNP Custer)) (VP (VBD did) (VP (VB look) (PP (IN like) (PRN (, ,) (INTJ (UH uh)) (, ,))) (PP (IN like) (NP (NN trivial))))))))))))) (. .)))"
[66],"(ROOT (ADJP (RB so) (SBAR (S (NP (PRP it)) (VP (BES 's) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))"
[76],"(ROOT (S (NP (PRP It)) (VP (VBZ is) (, ,) (SBAR (S (NP (PRP it)) (VP (VBZ is) (ADJP (JJ interesting)) (, ,) (SBAR (IN that) (PRN (, ,) (SBAR (IN that) (, ,) (S (NP (PRP you)) (VP (VBP know) (NP (PRP we))))) (, ,)) (S (NP (PRP we)) (VP (VBP look) (PP (IN at) (NP (DT the) (NN exploitation))))))))))))"
[77],"(ROOT (S (CC and) (, ,) (ADVP (CC and)) (, ,) (NP (CC and) (NP (NP (RB then)) (NP (PRP we)))) (VP (VBP accuse) (NP (NP (DT some) (JJ other) (NNS people)) (PP (IN of) (S (VP (VBG exploiting) (NP (PRP them)))))))))"
[78],"(ROOT (SINV (VP (ADVP (CC and)) (VP (, ,) (S (VP (ADVP (CC and)) (S (VP (NP (NP (NNPS Americans)) (SBAR (S (VP (VBP have))))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))) (VP (VBP have)) (NP (NP (DT a) (ADJP (RB pretty) (JJ good)) (NN reputation)) (PP (IN of) (S (VP (VBG exploiting)) (, ,))))))"
[75],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP get)) (, ,)))"
[80],"(ROOT (FRAG (INTJ (UH Oh)) (, ,) (ADVP (RB absolutely))))"
[79],"(ROOT (S (S (NP (PRP you)) (VP (VBP know) (S (NP (PRP we)) (ADVP (RB basically)) (NP (DT the) (NNP Panama) (NNP Canal))))) (NP (PRP we)) (VP (VP (VBD went) (ADVP (RB in))) (CC and) (, ,) (CC and) (VP (VBD took) (NP (PRP it)))) (. .)))"
[81],"(ROOT (S (CC and) (, ,) (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (PRP we)) (VP (VBD set) (PRT (RP up)))))) (: ...)))"
[84],"(ROOT (FRAG (PP (DT An)) (, ,)))"
[85],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (, ,) (NP (NNP Ted)) (, ,) (SBAR (S (NP (NNP Teddy) (NNP Roosevelt)) (VP (VBD did) (RB n't) (VP (VP (VB have) (NP (DT the) (NN reputation))) (, ,) (VP (VB speak) (ADVP (RB softly))) (CC and) (VP (VB carry) (NP (DT a) (JJ big) (NN stick)) (PP (IN for) (PRN (, ,) (INTJ (UH uh)) (, ,))) (PP (IN for) (NP (NN nothing)))))))))))"
[86],"(ROOT (S (VP (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[82],"(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBD stole) (S (NP (PRP it)) (ADJP (JJ fair) (CC and) (JJ square)))) (, ,))))"
[91],"(ROOT (FRAG (WHNP (WP what)) (PP (BES 's) (NP (NP (DT the)) (, ,) (SBAR (WHNP (WP what)) (S (VP (BES 's) (NP (NP (NNP America) (POS 's)) (NN role)) (ADVP (RB there)))))))))"
