[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[16],"(ROOT (S (S (S (ADVP (RB not) (RB very)) (, ,) (ADVP (RB not) (ADVP (RB very) (JJ long) (RB ago))) (, ,) (VP (VBD seemed) (PP (IN like) (NP (NP (DT the) (JJ whole) (NN world)) (, ,) (RB not) (RB just) (NP (DT the) (NNP United) (NNPS States)))))) (, ,) (CC but) (S (NP (DT the) (JJ whole) (NN world)) (VP (VBD was) (ADVP (RB kind) (RB of)) (PP (IN in) (NP (DT a) (JJ standstill))) (SBAR (WHADVP (WRB where)) (S (NP (NN everyone)) (VP (VBD was) (ADVP (RB basically)) (PP (IN in))))))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (NP (DT a) (ADJP (RB very) (JJ comfortable)) (NN position)) (, ,) (SBAR (SBAR (RB so) (S (VP (TO to) (VP (VB say))))) (, ,) (SBAR (RB even) (IN though) (S (NP (NP (DT the)) (, ,) (NP (NP (DT the) (JJ cold) (NN war)) (VP (VBD was))) (, ,)) (VP (VBD was) (PP (IN in) (NP (JJ full) (NN swing))))) (. .)))) (ADVP (PRP You)) (VP (VBP know)) (, ,)))"
[17],"(ROOT (S (NP (PRP you)) (VP (VBD had) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (NNPS Russians)) (PP (IN against) (NP (NP (DT the) (NNPS Americans)) (, ,) (NP (NP (DT the) (NNPS Communists)) (PP (IN against) (NP (DT the) (NNP Free) (NNP World)))) (, ,))))))))"
[18],"(ROOT (FRAG (CC and) (PP (IN in) (NP (NP (DT the) (JJ last) (NN couple)) (PP (IN of) (NP (NP (NNS years)) (SBAR (S (NP (NNS things)) (VP (VBP have) (VP (VBN changed) (ADVP (RB dramatically)) (, ,) (PP (CONJP (RB not) (RB only)) (PP (IN on) (NP (DT the) (JJ political) (NN front))) (CC but) (PP (RB also) (IN on) (NP (NP (DT the) (JJ economic) (NN front)) (, ,) (SBAR (WHADVP (WRB where)) (, ,) (S (S (INTJ (UH uh)) (, ,) (S (ADVP (NP (NP (NN couple)) (PP (IN of) (NP (NNS years)))) (RB ago)) (NP (PRP we)) (VP (VBD had))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NNP America)) (VP (VBD was) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (VBG leading) (NNS powers))))))) (CC and) (S (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (JJS strongest) (NNS nations)) (PP (IN in) (NP (DT the) (NN world)))))) (ADVP (RB as) (RB far) (SBAR (IN as) (S (NP (NNS economics)) (VP (VBD were) (ADJP (JJ concerned))))))))) (, ,))))))))))))))"
[19],(ROOT (S (CC and) (ADVP (RB now)) (NP (PRP we)) (VP (VBP 're) (VP (VBG having) (NP (NP (DT a) (ADJP (RB very) (JJ tough)) (NN time)) (PP (IN in) (NP (DT a) (JJ recessionary) (NN period)))))) (. .)))
[20],"(ROOT (S (NP (PRP We)) (VP (VBP 're) (RB also) (VP (VBP have) (NP (DT a) (ADJP (RB very) (JJ humongous)) (NN trade) (NN deficit)))) (, ,)))"
[21],"(ROOT (S (ADVP (CC and)) (, ,) (FRAG (INTJ (UH uh))) (, ,) (CC and) (S (NP (DT that)) (VP (BES 's) (ADVP (RB kind) (RB of)) (ADJP (JJ frightening)))) (. .)))"
[22],"(ROOT (S (ADVP (RB Also)) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (NP (NP (DT a) (NN couple)) (PP (IN of) (NP (NNS years) (RB ago)))) (, ,) (NP (NP (CD ten)) (, ,) (NP (CD fif-)) (, ,) (NP (CD fifteen)) (, ,) (NP (NP (CD ten)) (, ,) (ADVP (NP (CD fifteen) (NNS years)) (RB ago))) (, ,) (NP (NP (DT an) (JJ individual) (NN going)) (PP (IN into) (NP (DT a) (NN career)))))) (VP (MD could) (VP (VB expect) (S (VP (TO to) (VP (VB have) (NP (DT that) (NN career)) (PP (ADVP (RB basically)) (IN throughout) (NP (PRP$ their) (JJ whole) (NN life))))))))) (, ,)))))"
[23],"(ROOT (S (CC and) (ADVP (NP (CD thirty) (NNS years)) (RB ago)) (, ,) (NP (DT that)) (VP (VBD was) (PRN (, ,) (S (NP (DT that)) (VP (VBD was) (ADVP (RB basically)) (NP (NP (PRP it)) (, ,) (SBAR (IN whereas) (S (SBAR (RB now) (S (NP (PRP we)) (VP (VBP 're) (VP (VBN expected) (S (VP (TO to) (VP (VB have) (NP (NP (DT a) (NN career)) (NP (NN change) (DT every)))))))))) (, ,) (NP (PRP you)) (VP (VBP know))))))) (, ,)) (NP (NP (DT every) (NN couple)) (PP (IN of) (NP (NP (NP (NNS years)) (CC and) (NP (RB possibly) (XX fi-))) (, ,) (NP (NP (CD four)) (PP (IN to) (NP (NP (CD five) (NN career) (NNS changes)) (PP (IN throughout) (NP (PRP$ our) (NN lifetime)))))) (, ,)))))))"
[24],"(ROOT (PRN (CC and) (ADJP (RB so) (SBAR (S (VP (NP (NP (PRP I)) (SBAR (S (VP (VBP think) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know))))))) (PRN (, ,) (NP (NNS things)) (, ,))))))))"
[25],"(ROOT (S (NP (EX there)) (VP (HVS 's) (VP (VBN been) (NP (NP (DT an) (JJ awful) (NN lot)) (PP (IN of) (NP (NP (JJ social) (NN change)) (ADVP (RB lately))))))) (, ,)))"
[26],"(ROOT (FRAG (PP (CC and) (NP (XX we-))) (, ,)))"
[11],(ROOT (S (NP (PRP I)) (VP (MD 'll) (VP (VB let) (S (NP (PRP you)) (VP (VB lead) (PRT (RP out)))))) (. .)))
[27],"(ROOT (FRAG (PP (CC and)) (, ,) (INTJ (UH uh)) (. .)))"
[29],(ROOT (INTJ (UH Uh-huh) (. .)))
"[28, 30]","(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (ADJP (JJ interesting)) (SBAR (IN to) (S (NP (PRP me)) (VP (VBZ is) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP look) (ADVP (RB particularly)) (PP (IN at) (NP (DT the) (JJ political) (NNS changes))))))))))))))) (VP (VBZ is) (SBAR (IN that) (S (NP (DT the)) (PRN (, ,) (S (NP (PRP they)) (VP (VBP seem) (S (VP (TO to) (VP (VB be) (ADJP (JJ social))))))) (, ,)) (NP (PRP they)) (VP (VBP seem) (S (VP (TO to) (VP (VB be) (VP (ADVP (RB economically)) (VBN driven) (ADVP (RB also))))))))))))) (. .)))"
[32],"(ROOT (S (RB So) (SBAR (SBAR (IN if) (S (NP (PRP you)) (VP (VBP look) (PP (IN at) (NP (NNP Russia)))))) (CC and) (SBAR (WHNP (WP what)) (S (VP (HVS 's) (VP (VBN happened) (PP (IN over) (NP (RB there)))))))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (DT the) (NN change)) (PP (IN in) (NP (NNP Communism)))) (VP (VBD was) (PP (IN as) (NP (NP (DT a) (NN result)) (PP (IN of) (NP (DT the) (JJ economic) (NNS problems))))) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBD were) (VP (VBG experiencing))))))))) (. .)))"
[33],"(ROOT (S (CC And) (, ,) (PP (IN of) (NP (NN course))) (, ,) (NP (PRP I)) (VP (VBP look) (PP (IN at) (NP (NP (DT the) (JJ economic) (NNS problems)) (PP (IN in) (NP (DT the) (NNP United) (NNPS States))))) (ADVP (RB right) (RB now))) (. .)))"
[31],(ROOT (INTJ (UH Uh-huh) (. .)))
[34],(ROOT (S (NP (NP (CD One)) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (S (NP (PRP you)) (VP (VBP wonder))))))) (VP (VBZ is) (SBAR (WHNP (WP what)) (S (NP (DT that)) (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB do) (PP (IN to) (NP (PRP us))))))))))) (. .)))
[35],(ROOT (INTJ (UH True) (. .)))
"[36, 38]","(ROOT (S (S (NP (PRP I)) (VP (VBP think) (NP (NP (DT the) (JJ other) (NN kind)) (PP (IN of) (NP (NP (NP (NNS changes)) (PP (IN like) (NP (NN job) (NNS changes)))) (CC and) (NP (NP (DT those) (NNS kinds)) (PP (IN of) (NP (NNS things))))))))) (, ,) (S (NP (PRP I)) (VP (VBP mean))) (, ,) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ great) (S (VP (TO to) (VP (ADVP (RB even)) (VBP have) (NP (CD three) (CC or) (CD four) (JJ different) (NNS careers)) (PP (IN in) (NP (PRP$ your) (NN life)))))))))))) (. .)))"
[37],(ROOT (INTJ (UH Uh-huh) (. .)))
[40],X
[42],"(ROOT (INTJ (UH Yes) (, ,)))"
"[39, 41]","(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (MD must) (VP (VB have) (VP (VBN been) (ADJP (RB terribly) (JJ boring) (S (VP (TO to) (VP (VB go) (PP (IN through)) (, ,) (S (NP (PRP$ your) (NN life)) (VP (VBG doing) (NP (RB just) (CD one) (NN thing)) (PP (IN for) (NP (NP (CD fifty) (NNS years)) (CC or) (NP (CD forty) (NNS years)))))))))))))))) (. .)))"
[43],(ROOT (INTJ (UH yes) (. .)))
[45],"(ROOT (FRAG (PP (UH True)) (, ,)))"
[44],"(ROOT (NP (NP (DT Some)) (PP (IN of) (NP (NP (DT that) (NN opportunity)) (PP (IN for) (NP (NP (NN job) (NN change)) (PP (IN in) (NP (NP (DT the) (NN fact)) (SBAR (WHNP (IN that)) (, ,) (S (PP (IN that) (NP (NNS aspects))) (VP (VBG changing)))))))))) (. .)))"
[47],"(ROOT (S (CC And) (NP (DT the) (NN uncertainty)) (ADVP (IN of) (PP (IN whether) (NP (PRP you)))) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB have) (NP (NP (DT a) (NN job)) (SBAR (S (VP (VBZ is) (RB not) (ADJP (IN as) (JJ good))))))))))) (, ,)))"
[46],(ROOT (INTJ (UH true) (. .)))
[49],(ROOT (INTJ (UH Uh-huh) (. .)))
"[48, 50]","(ROOT (S (ADVP (CC but)) (, ,) (NP (NP (DT the) (NN fact)) (PP (IN that) (NP (PRP you)))) (ADVP (RB really)) (VP (MD can) (VP (VB make) (NP (JJ major) (NNS changes)) (PP (IN in) (NP (PRP$ your) (NN life) (CC and) (NNS jobs))))) (. .)))"
[51],"(ROOT (SINV (FRAG (INTJ (UH Well))) (, ,) (VP (VBP do) (PRN (, ,) (S (VP (VB do) (S (NP (PRP you)) (VP (VB think))))))) (NP (NP (DT that) (BES 's)) (ADJP (JJ good) (CC or) (JJ bad))) (. ?)))"
[52],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ great)))))) (. .)))
[53],(ROOT (S (NP (PRP You)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (BES 's) (ADJP (JJ great)))))) (. .)))
[55],"(ROOT (S (NP (DT That)) (VP (BES 's) (NP (DT some))) (, ,)))"
[56],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[57],"(ROOT (SBAR (IN because) (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))) (VP (VBP seem) (S (VP (TO to) (VP (VB stagnate) (ADVP (RB once)) (PRN (S (NP (PRP they)) (VP (VBP get) (PP (IN into) (NP (NN position))))) (, ,)))))))))"
[58],"(ROOT (PRN (S (NP (PRP they)) (, ,) (NP (PRP they)) (VP (VBP 're) (ADJP (RB very) (JJ comfortable)))) (, ,)))"
[59],"(ROOT (S (NP (PRP they)) (VP (VBP lose) (S (NP (DT the) (NN ability)) (VP (TO to) (VP (VB learn))))) (, ,)))"
[60],(ROOT (S (CC and) (NP (PRP they)) (PP (IN in) (NP (DT a) (NN sense))) (VP (VBP become) (ADJP (JJ unteachable))) (. .)))
[61],"(ROOT (S (S (NP (PRP They)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP know) (NP (NP (DT all)) (SBAR (S (NP (EX there)) (VP (VBZ is) (S (VP (TO to) (VP (VB know) (PP (IN in) (NP (NP (DT the) (NN area)) (, ,) (NP (JJ set) (NN path)))))))))))))))) (, ,) (CC and) (S (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (VP (VP (VB come) (PP (IN in))) (CC and) (VP (VB put) (NP (PRP$ my) (NN time)) (PP (IN in) (IN from) (NP (NP (CD nine)) (PP (IN to) (NP (CD five)))))))) (, ,))))))"
[62],"(ROOT (S (CC and) (SBAR (WHADVP (WRB when)) (S (NP (DT that)) (VP (BES 's) (PP (IN over) (PP (IN with))) (, ,) (ADVP (DT that) (BES 's))))) (, ,) (NP (DT that)) (VP (BES 's) (NP (PRP it)) (, ,) (PP (IN without) (S (ADVP (RB even)) (VP (VP (VBG giving) (SBAR (S (NP (DT a) (NN second)) (VP (VBD thought) (PP (IN to) (NP (XX MUMBLEx))))))) (, ,) (VP (VBG advancing) (NP (PRP$ their) (NN education))) (CC or) (VP (VBG getting) (NP (NP (JJ extracurricular)) (PRN (, ,) (FRAG (INTJ (UH um)) (, ,) (NP (NN education))) (, ,))))))))))"
[54],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (. .))))"
[63],"(ROOT (S (CC and) (PRN (, ,) (S (CC and) (NP (PRP I)) (VP (VBP think)))) (NP (DT that)) (VP (BES 's) (NP (DT an) (JJ excellent) (NN opportunity)) (PP (IN for) (NP (PRP us))) (S (VP (TO to) (VP (VB expand) (NP (PRP ourselves)) (ADVP (RB also)))))) (. .)))"
[64],"(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NNS problems)))) (PP (IN with)) (, ,) (PP (IN with) (NP (NP (NN education)) (SBAR (IN as) (S (NP (PRP it)) (VP (VBZ relates) (SBAR (IN to) (S (NP (DT this)) (, ,) (ADVP (RB though)) (, ,) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (S (NP (DT that) (NN education)) (VP (VBZ is) (ADJP (JJ prepared) (S (VP (TO to) (VP (VB help) (S (NP (NNS people)) (VP (VB make) (NP (DT those) (NNS changes)))))))))))))))))))))))) (. .)))"
[65],X
[67],(ROOT (INTJ (UH Uh-huh) (. .)))
[69],(ROOT (INTJ (UH Right) (. .)))
[70],"(ROOT (S (NP (PRP I)) (VP (VBP agree) (PP (IN with) (NP (DT that)))) (, ,)))"
[71],(ROOT (S (NP (PRP I)) (VP (VBP agree) (PP (IN with) (NP (DT that)))) (. .)))
"[66, 68]","(ROOT (S (NP (PRP It)) (ADVP (RB just)) (VP (VBZ seems) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (DT the) (NN training) (CC and) (NN education)) (SBAR (WHNP (WDT that)) (S (VP (VBZ goes) (PRT (RP on)) (SBAR (SBAR (S (VP (VBZ is) (VP (VP (VBG gearing) (NP (NP (NNS people)) (PP (IN towards) (NP (DT a) (NN profession))))) (CC and) (RB not) (VP (VBG giving) (NP (PRP them)) (NP (DT the) (NNS skills))))))) (CC and) (SBAR (WHNP (WDT whatever)) (S (NP (DT those) (NNS skills)) (VP (VBP are) (ADJP (JJ necessary) (S (VP (TO to) (VP (VB make) (NP (NP (DT those) (NN job) (NNS changes)) (, ,) (SBAR (WHNP (WDT which)) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB be) (NP (DT a) (JJ hard) (NN thing)) (PP (IN for))))))))))))))))))))))))))) (, ,) (PP (IN for) (NP (NNS people) (S (VP (TO to) (VP (VB face))))))) (. .)))"
[72],"(ROOT (S (CC But) (NP (PRP I)) (VP (VBP believe) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (DT an) (JJ individual)) (VP (MD should) (ADVP (RB really)) (VP (VB learn) (SBAR (WHADVP (WRB how)) (S (VP (TO to)))))))) (, ,) (S (VP (TO to) (VP (VB learn)))))))"
[74],"(ROOT (VP (VB learn) (NP (WRB how)) (S (VP (TO to) (VP (VB adapt))) (, ,))))"
[75],"(ROOT (S (VP (VB learn) (SBAR (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB grow) (PP (IN in) (NP (DT the))) (, ,) (PP (IN in) (NP (PRP$ their) (NN college))))))) (CC or) (SBAR (WHNP (WDT whatever) (NN education)) (S (NP (PRP they)) (VP (MD might) (VP (VB take))))))) (. .)))"
[76],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (DT that)) (, ,) (ADVP (DT that)) (VP (BES 's) (ADJP (JJ good))) (, ,)))"
[73],(ROOT (INTJ (UH Yeah) (. .)))
[77],(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (JJ good))) (. .)))
[78],"(ROOT (S (NP (EX There)) (ADVP (RB probably)) (VP (VBZ needs) (S (VP (TO to) (VP (VB be) (NP (DT some) (NN training)) (ADVP (IN on)) (SBAR (WHADVP (WRB how)) (S (VP (TO to)))) (, ,) (PP (TO to))))) (, ,) (S (VP (TO to) (VP (VB adjust) (PP (IN to) (NP (DT these) (NNS changes))) (SBAR (IN as) (S (NP (PRP they)) (VP (VBP come) (PRT (RP about))))))))) (. .)))"
[80],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP look) (PP (IN at) (NP (NP (DT the)) (, ,) (NP (DT the) (JJ high) (NN unemployment) (NN rate)))) (ADVP (RB right) (RB now))))))))"
[79],X
[81],"(ROOT (S (S (CC and) (NP (PRP you)) (VP (VBP look) (PP (IN at) (NP (NP (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP are) (PP (IN in) (NP (DT those) (NNS situations)))))))))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP have) (NP (NP (JJ good) (NN coping) (NNS skills) (CC or) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (PRP them)))) (, ,) (JJ even) (NNS ideas)) (PP (IN of) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB make) (NP (DT those) (NNS changes)) (ADVP (RB now))))))))))))) (. .)))"
[82],(ROOT (INTJ (UH Uh-huh) (. .)))
[84],"(ROOT (INTJ (UH Yeah) (, ,)))"
[83],"(ROOT (S (RB So) (NP (PRP it)) (VP (VBZ seems) (PP (IN to) (NP (PRP me))) (SBAR (IN that) (S (SBAR (IN while) (S (NP (DT those) (NNS changes)) (VP (VBP are) (VP (VBG taking) (NP (NN place)))))) (, ,) (NP (RB maybe) (PRP we)) (VP (VBP 're) (RB not) (ADVP (RB well)) (VP (VBG preparing) (NP (NNS people)) (S (VP (TO to) (VP (VB make) (NP (DT the) (NNS changes)) (PP (IN with) (NP (PRP them))))))))))) (. .)))"
[85],"(ROOT (S (NP (PRP I)) (PRN (, ,) (S (NP (PRP I)) (VP (VBD read) (NP (DT a) (JJ few) (NNS articles)) (PRT (RP off)) (PP (IN in) (NP (NP (DT the) (NN newspaper)) (CC and) (NP (DT some) (NNS publications))))))) (SBAR (WHADVP (WRB where)) (S (VP (NN stress)))) (, ,) (INTJ (UH uh)) (, ,) (PP (IN for) (NP (DT those))) (NP (NP (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VP (VBN laid) (PRT (RP off))) (CC and) (VP (ADVP (RB also)) (PP (IN for) (NP (NP (DT those) (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VP (VBP are) (RB not) (VP (VBN laid) (PRT (RP off)))) (CC but) (VP (VBD were) (VP (VP (VBN threatened) (PP (IN with) (NP (DT a) (NN layoff)))) (CC and) (VP (VBN threatened) (PP (IN with) (NP (NP (DT a) (NN reduction)) (PP (IN in) (NP (PRP$ their) (NN company))))))))))))))))))) (VP (VBZ is) (ADJP (RB extremely) (JJ high)) (ADVP (RB right) (RB now))) (. .)))"
[87],(ROOT (S (NP (DT That) (NN stress)) (VP (VBZ is) (NP (NP (DT a) (ADJP (RB very) (JJ prominent)) (NN factor)) (PP (IN in) (NP (DT the) (NN work) (NN place)))))))
