[1],"(ROOT (INTJ (UH Yes) (, ,)))"
"[38, 40]","(ROOT (S (NP (NP (PRP$ my)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (PP (NP (NNS thoughts)) (PP (IN in) (NP (PRP$ my) (NN head)))))) (VP (VBP come) (PP (IN in) (NP (NP (NNS bursts)) (PP (IN of) (NP (NP (RB about) (DT a) (NN paragraph)) (PP (IN at) (NP (DT a) (NN time)))))) (, ,)))))"
[39],(ROOT (INTJ (UH Uh-huh) (. .)))
"[41, 43]","(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP get) (NP (PRP them)) (ADVP (DT all) (RB down))) (, ,))))"
[44],"(ROOT (FRAG (CC and) (ADVP (ADVP (ADVP (RB naturally)) (PP (IN on) (NP (DT a) (NN computer)))) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP make) (NP (NP (DT a) (NN mistake)) (, ,) (SBAR (WHNP (WP who)) (S (VP (VBZ cares)))) (, ,))))))))"
[42],(ROOT (INTJ (UH Yes) (. .)))
[46],"(ROOT (INTJ (UH Yes) (, ,)))"
[45],"(ROOT (S (NP (PRP you)) (VP (MD can) (VP (VP (VB go) (ADVP (RB back))) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VB correct) (NP (PRP it)) (ADVP (RB very) (RB easily)))))))"
[48],"(ROOT (S (RB so) (NP (DT that)) (VP (VBZ makes) (NP (NP (PRP it)) (ADJP (RB very) (, ,) (RB very) (JJ nice)))) (. .)))"
[49],"(ROOT (S (NP (PRP I)) (VP (VBP get) (SBAR (S (NP (DT all)) (VP (VP (NP (PRP$ my) (NNS thoughts)) (ADVP (RB down))) (CC and) (VP (VP (VBP go) (ADVP (RB back))) (CC and) (VP (VBP clean) (NP (PRP it)) (ADVP (RP up) (RB very))))))) (, ,) (ADVP (RB very) (RB readily))) (. .)))"
[47],(ROOT (INTJ (UH yes) (. .)))
[51],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (, ,) (ADVP (UH um)) (, ,) (NP (PRP I)) (VP (VBP do) (PP (NP (DT an) (JJ awful) (NN lot)) (PP (IN of) (NP (NP (NN preparation)) (PP (IN of) (NP (NNS documents))))) (PRN (, ,) (INTJ (UH um) (, ,) (UH uh)) (, ,))))))"
[50],"(ROOT (FRAG (WHADVP (ADVP (RB So)) (WRB how)) (PP (IN about) (NP (NP (PRP you)) (, ,) (NP (NNP Charles))) (. ?))))"
"[52, 54]","(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP use) (NP (NP (NN word) (NNS processors)) (CC and) (, ,) (CC and) (NP (JJR fancier) (NNS programs))) (PRN (, ,) (S (NP (PRP I)) (VP (VP (VBP mean) (SBAR (S (NP (PRP you)) (VP (VBP know) (, ,) (S (NP (NNS graphics)) (NP (NNS programs))))))) (CC and) (VP (ADVP (RB simply)) (VBP make) (NP (NP (DT all)) (PP (IN of) (NP (PRP$ our) (NNS slides))))))) (, ,))))))"
[55],"(ROOT (SBAR (WHNP (NP (DT some)) (PP (IN of) (NP (PRP them)))) (S (NP (PRP I)) (VP (VBP do) (PP (IN on) (NP (DT a) (NNP Sun)))) (, ,))))"
[53],(ROOT (INTJ (UH Uh-huh) (. .)))
[56],(ROOT (S (NP (DT some) (PRP I)) (VP (VBP do) (PP (IN on) (NP (DT an) (NNP X) (NNP T))))))
[58],"(ROOT (FRAG (VP (VP (PP (NP (UH now)) (NP (NP (RB maybe)) (NP (PRP we)))) (VBP do) (NP (RB n't))) (SBAR (S (VP (VB call) (NP (DT these) (JJ personal) (NNS computers)) (, ,) (NP (UH um)) (, ,)))))))"
[57],(ROOT (INTJ (UH Uh-huh) (. .)))
[59],"(ROOT (S (NP (PRP I)) (VP (VBD started) (PRT (RP out)) (SBAR (IN with) (, ,) (S (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (DT an) (NNP I) (NNP B) (NNP M) (NN P) (NN C)) (ADVP (RB back)) (PP (IN in) (NP (DT the))) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,)) (SBAR (NP (RB about) (DT a) (NN year)) (IN after) (S (NP (PRP they)) (VP (VBD came) (ADVP (RB out)))))))))))"
[60],(ROOT (INTJ (UH Yeah) (. .)))
[61],"(ROOT (S (CC and) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[62],"(ROOT (SBARQ (FRAG (SBAR (RB So)) (, ,) (WHADVP (WRB whe))) (, ,) (SBARQ (WHADVP (WRB where)) (SQ (VP (, ,) (S (VP (MD may) (NP (PRP I)) (S (VP (VB ask) (NP (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (VBP work)))) (, ,) (NP (NN sir)))))))))) (. ?)))"
[64],"(ROOT (S (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP you)) (VP (VBP work) (PP (IN for) (NP (DT the) (NN government))))))) (, ,)))"
[65],"(ROOT (S (NP (NP (PRP I)) (VP (ADVP (RB just)) (VBG wondering))) (VP (VBP are) (NP (NP (NP (PRP you)) (NP (DT an) (XX MUMBLEx))) (, ,)))))"
[63],(ROOT (S (NP (PRP I)) (VP (VBP work) (PP (IN for) (NP (NP (DT the) (NN government)) (PP (IN in) (NP (NNP Washington)))))) (. .)))
[66],"(ROOT (FRAG (CC or) (NP (NP (WP what)) (, ,) (NP (WP what)) (, ,) (NP (NP (WP what) (NN section)) (PP (IN of) (NP (PRP it)))) (, ,))))"
[68],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH uh-huh) (, ,))))"
[69],"(ROOT (FRAG (SBAR (IN because) (, ,) (S (S (VP (VB see))) (, ,) (NP (DT that)) (VP (BES 's) (NP (NP (PRP$ my) (NN type)) (PP (IN of) (NP (NN work))))))) (, ,) (ADVP (RB too)) (. .)))"
[67],"(ROOT (FRAG (PP (IN Of)) (, ,) (NP (NP (PP (PP (IN in)) (, ,) (PP (IN in)) (, ,)) (PP (IN in) (NP (DT an) (JJ obscure) (NN part)))) (PP (IN of) (NP (DT the) (NN defense) (NN department)))) (. .)))"
"[70, 72]","(ROOT (S (NP (PRP I)) (VP (VBP work) (PP (IN at) (NP (DT the) (NNP Applied) (NNP Research) (NNP Lab))) (ADVP (RB here)) (, ,) (PP (ADVP (RB here)) (IN on) (NP (NN campus)))) (, ,)))"
[71],(ROOT (INTJ (UH Uh-huh) (. .)))
[73],"(ROOT (S (CC and) (, ,) (NP (NP (PRP$ my)) (, ,) (NP (PRP$ my) (NN field))) (VP (VBZ is) (NP (JJ underwater) (NN acoustics)))))"
[74],(ROOT (INTJ (UH Uh-huh) (. .)))
"[75, 77]","(ROOT (PRN (CC and) (S (NP (EX there)) (VP (BES 's) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS things)) (SBAR (S (NP (PRP we)) (VP (MD can) (VP (VB do) (PP (IN with) (NP (NNS computers))) (PP (IN into) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VBG studying) (SBAR (WHADVP (WRB how)) (S (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (NNS things)) (VP (VBP vary) (PP (IN in) (NP (DT the) (NN water)))))) (, ,) (NP (PRP you)) (VP (VBP know) (ADVP (CC and))))))) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (VP (VBG taking) (NP (NP (NN advantage)) (PP (IN of) (NP (NP (PRP them)) (, ,) (CC and) (ADVP (RB so) (RB forth)) (, ,)))))))))))))))))"
[78],"(ROOT (S (NP (RB so) (PRP it)) (VP (BES 's) (NP (DT a) (ADJP (RB very) (JJ nice)) (, ,) (ADJP (RB very) (JJ nice)) (NN field))) (, ,)))"
[76],(ROOT (INTJ (UH Uh-huh) (. .)))
[80],"(ROOT (SINV (S (VP (VP (VBP Are)) (, ,) (VP (VBP are)) (, ,) (VP (VBP are) (NP (PRP you))))) (, ,) (VP (VBP are)) (NP (NP (PRP you)) (PRN (ADVP (RB also)) (NP (DT a) (NN professor)) (, ,)))))"
[79],"(ROOT (S (CC and) (NP (PRP I)) (, ,) (PRN (S (NP (PRP I)) (VP (VBP am) (VP (VBG retiring) (PP (IN at) (NP (NP (DT the) (NAC (NN end) (PP (IN of) (NP (DT this) (NN month)) (. .))) (NN End)) (PP (IN of) (NP (NNP December)))))))) (, ,)) (VP (VB excuse) (NP (PRP me))) (. .)))"
[82],(ROOT (INTJ (UH Yes) (. .)))
[84],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (NP (NP (DT a)) (PRN (, ,) (S (NP (PRP I)) (VP (VBP 'm) (NP (DT an) (JJ associate) (NN professor)))) (, ,))))))"
"[81, 83]","(ROOT (S (CC or) (, ,) (ADVP (CC or)) (VP (VBP do) (SBAR (S (NP (PRP you)) (ADVP (RB just)) (VP (VB research))))) (. .)))"
[85],"(ROOT (S (CC but) (NP (PRP$ my)) (, ,) (ADVP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (JJ full) (NN time) (NN researcher)))))"
[86],(ROOT (INTJ (UH Yes) (. .)))
[87],"(ROOT (S (CC and) (NP (PRP it)) (VP (HVS 's) (, ,) (INTJ (UH uh)) (, ,) (PP (VBN been) (NP (NP (DT a) (ADJP (RB very) (, ,) (RB very) (JJ interesting)) (NN career)) (PRN (, ,) (S (VP (VB believe) (NP (PRP me)))))))) (. .)))"
[88],(ROOT (S (NP (PRP I)) (VP (MD can) (VP (VB believe))) (. .)))
[89],X
[91],"(ROOT (S (INTJ (UH Well) (, ,) (UH uh)) (, ,) (NP (DT the) (NNS ones)) (ADVP (RB here) (PP (IN in) (NP (NP (DT the) (NN laboratory)) (RRC (ADVP (RB obviously)) (NP (PRP I)))))) (VP (VBP 'm) (PRN (, ,) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB stay))))))) (, ,)))))"
[90],"(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (PRP you)) (VP (VBG going) (S (VP (TO to) (VP (PRN (, ,) (SBAR (WHNP (WP what)) (S (VP (VBP are) (NP (NP (PRP you)) (VP (VBG going) (S (VP (TO to) (VP (VB do) (S (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP stop)))) (, ,) (NP (PRP I)) (VP (VBP mean))))))))))) (, ,)) (VB take) (NP (DT all) (PRP$ your) (NNS machines)) (PP (IN with) (NP (NP (PRP you)) (, ,) (ADVP (CC or)) (, ,))))))))))"
[92],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP have) (NP (JJ similar) (NNS machines)) (PP (IN at) (NP (NN home)))) (. .)))
[93],(ROOT (INTJ (UH Uh-huh) (. .)))
[94],(ROOT (S (NP (PRP I)) (VP (MD would) (VP (VB consider) (S (VP (VBG doing) (NP (DT some) (JJR more) (NN consulting)))) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP get) (ADVP (RB home)))))))))
[96],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP have) (NP (NP (DT a) (ADJP (RB very) (, ,) (RB very) (JJ busy)) (JJ extra) (NN life)) (ADVP (RB anyway)))) (. .)))"
[97],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADVP (RB also)) (NP (DT a) (NN musician))) (, ,)))"
[95],(ROOT (INTJ (UH Uh-huh) (. .)))
[98],(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP play) (PP (IN in) (NP (JJ several) (NN symphony) (NNS orchestras)))))))
[100],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP run) (NP (DT a) (NN concert) (NN band))) (, ,)))"
[99],(ROOT (INTJ (UH Yes) (. .)))
[102],(ROOT (INTJ (UH Uh-huh) (. .)))
"[101, 103]","(ROOT (PRN (CC and) (ADJP (RB so) (SBAR (S (NP (PRP I)) (VP (VBP have) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (ADJP (ADJP (JJ external)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNS interests))))))))))"
[104],(ROOT (INTJ (UH Yes) (. .)))
[106],(ROOT (INTJ (UH Yes) (. .)))
"[105, 107, 109]","(ROOT (S (CC but) (NP (PRP I)) (VP (VBP do) (VP (VB want) (S (VP (TO to) (VP (VB get) (ADVP (ADVP (RB very) (RB deeply)) (, ,) (RB much) (ADVP (RBR more) (RB deeply))) (PP (IN into) (NP (NN computer) (NN work)))))) (, ,) (SBAR (IN because) (S (ADVP (RB obviously)) (NP (DT the) (NN world)) (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB be) (VP (VBN controlled) (S (VP (VBN run) (CC and) (VBN operated) (PP (IN by) (NP (NP (NNS computers)) (PP (IN in) (NP (DT the) (NN future))))))))))))))))) (. .)))"
[110],"(ROOT (S (NP (EX There)) (VP (BES 's) (NP (DT no) (NN doubt)) (PP (IN about) (NP (PRP it)))) (, ,)))"
[111],"(ROOT (SBAR (IN because) (S (NP (PRP it)) (VP (VBZ is) (ADVP (RB really)) (VP (VBG taking) (PRT (RP over)))) (, ,))))"
[108],(ROOT (INTJ (UH Uh-huh) (. .)))
[112],"(ROOT (FRAG (CC and) (ADVP (ADVP (NP (DT the) (NN amount)) (PP (IN of) (NP (NN work)))) (SBAR (WHNP (WDT that)) (S (S (NP (PRP we)) (VP (VBP 're) (VP (VBG doing)))) (CC and) (S (NP (NP (DT the) (NN depth)) (PP (IN of) (NP (NP (NNS things)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBP are) (VP (VBG studying)))))))) (VP (MD can) (ADVP (RB basically)) (ADVP (RB only)) (VP (VB be) (VP (VBN handled) (PP (IN by) (NP (NNS computers))) (, ,) (SBAR (IN because) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (RB so) (RB much) (VBN involved))))))))))))))"
[114],"(ROOT (S (CC and) (NP (PRP it)) (VP (VBZ sounds) (SBAR (IN as) (IN though) (S (NP (PRP you)) (VP (VBP 're) (ADVP (RB probably)) (ADJP (ADJP (RBR more) (JJ aware) (PP (IN of) (NP (DT that)))) (SBAR (IN than) (S (NP (PRP I)) (VP (VBP am) (, ,) (PP (IN because)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB get) (S (VP (TO to) (VP (VB use) (NP (PRP it)) (PP (IN in) (NP (PRP$ my) (JJ daily) (NN work))) (ADVP (ADVP (RB as) (JJ much)) (SBAR (IN as) (S (NP (PRP I)) (VP (MD would) (VP (VB like) (PP (TO to))))))))))))))))))))) (. .)))"
[113],(ROOT (INTJ (UH Uh-huh) (. .)))
[116],(ROOT (INTJ (UH Yeah) (. .)))
"[115, 117]","(ROOT (S (ADVP (RB Here) (RB again)) (VP (VB let) (S (NP (PRP 's)) (VP (VB say) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG starting) (PP (TO to) (S (VP (VBG getting) (ADJP (JJ ready))))) (, ,) (PP (IN in) (NP (NP (NN preparation)) (PP (IN for) (NP (NN retirement))))))))))))))"
[119],"(ROOT (S (CC and) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (RB so) (RB basically)) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG doing)))))) (VP (VBZ is) (ADVP (RB slowly)) (VP (VBG getting) (S (VP (VBN rid) (PP (IN of) (NP (PRP$ my) (NNS things)))))))) (. .)))"
[118],(ROOT (INTJ (UH Yeah) (. .)))
[121],(ROOT (INTJ (UH Uh-huh) (. .)))
"[120, 122, 124]","(ROOT (PP (IN For) (NP (NP (NP (JJ many) (, ,) (JJ many) (NNS years)) (SBAR (S (NP (PRP I)) (VP (VP (VBD had) (NP (NP (DT a) (JJ full) (NN size) (NN acoustics) (, ,)) (FRAG (INTJ (UH uh))))) (, ,) (NP (NP (NN study) (NN laboratory)) (FRAG (WHADVP (WRB whe)))))))) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP I)) (VP (MD could) (VP (VP (VB take) (NP (NP (NP (NNS recordings)) (ADVP (CC and))) (, ,))) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VB perform) (NP (NNS experiments)) (UCP (PP (IN with) (NP (PRP them))) (CC and) (ADVP (RB so) (RB forth)))))))) (, ,))))"
[125],"(ROOT (FRAG (CC and) (ADVP (ADVP (RB so)) (SBAR (WHNP (DT that)) (S (VP (BES 's) (VP (VBN gone) (ADVP (RB now)))) (, ,))))))"
[123],(ROOT (INTJ (UH Uh-huh) (. .)))
[126],(ROOT (S (CC and) (ADVP (RB so)) (NP (PRP I)) (VP (VBP 'm) (ADVP (RB sort) (RB of)) (ADJP (IN out) (PP (IN of) (NP (NN business))))) (. .)))
[128],"(ROOT (S (S (FRAG (INTJ (UH Uh)) (, ,) (PP (IN as))) (NP (PRP I)) (VP (VBP say))) (, ,) (NP (PRP I)) (VP (VBD worked) (PP (IN with))) (XX MUMBLEx)))"
[127],(ROOT (INTJ (UH Um) (. .)))
[130],(ROOT (INTJ (UH Uh-huh) (. .)))
"[129, 131]","(ROOT (S (NP (NP (NN fellow)) (VP (VBN named) (NP (NNP Steve) (NNP Blazey)))) (VP (VBD was) (NP (NP (DT the) (NN fellow)) (SBAR (S (NP (PRP I)) (VP (VBD worked) (PP (IN with) (PP (IN for) (NP (JJ many) (, ,) (JJ many) (NNS years)))))))))))"
[133],(ROOT (S (CC and) (NP (PRP he)) (VP (VBZ is) (ADVP (RB now)) (NP (JJ retired))) (. .)))
[134],"(ROOT (S (NP (RB So) (PRP it)) (VP (HVS 's) (VP (VBN been) (NP (DT an) (JJ interesting) (NN life)))) (, ,)))"
[135],(ROOT (S (CC and) (NP (NNS computers)) (VP (VBP have) (VP (VBN come) (ADVP (RB in)) (PP (IN towards) (NP (NP (DT the) (JJ latter) (NN end)) (PP (IN of) (NP (DT that))))))) (. .)))
[136],(ROOT (S (NP (PRP I)) (VP (VBP wish) (SBAR (S (NP (PRP we)) (VP (VBD had) (VP (VBN had) (NP (NP (NNS computers)) (PP (IN in) (NP (DT the) (JJ very) (NN beginning))))))))) (. .)))
