[0],(ROOT (INTJ (UH Okay)))
"[70, 72]","(ROOT (S (CC and) (ADVP (RB sometimes)) (NP (DT those)) (VP (VBP are) (ADJP (RB really) (, ,) (RB pretty) (JJ hysterical))) (. .)))"
[74],"(ROOT (FRAG (NP (NP (RB So)) (, ,) (NP (NP (PRP I)) (PRN (, ,) (S (NP (PRP I)) (VP (VB like) (S (VP (TO to) (VP (VB watch) (NP (NN comedy))))))) (, ,))))))"
[73],(ROOT (INTJ (UH Uh-huh) (. .)))
[75],"(ROOT (S (NP (PRP I)) (VP (VBP mean)) (, ,)))"
[76],(ROOT (INTJ (UH Uh-huh) (. .)))
[79],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP enjoy) (NP (NN comedy))) (. .)))"
[81],(ROOT (INTJ (UH Uh-huh) (. .)))
[77],(ROOT (FRAG (CC and) (NP (NP (DT that)) (BES 's) (NP (NN something)) (. .))))
[83],(ROOT (INTJ (UH Uh-huh) (. .)))
[84],"(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP have) (NP (PRP$ my) (JJ old) (NNS favorites))))))) (, ,)))"
[86],(ROOT (INTJ (UH Uh-huh) (. .)))
[88],(ROOT (S (NP (NNP Bob) (NNP Newhart)) (VP (VBZ is) (ADVP (RB still)) (PP (RP on))) (. .)))
[89],(ROOT (INTJ (UH Uh-huh) (. .)))
[91],"(ROOT (S (NP (PRP I)) (VP (VBP enjoy) (NP (DT that))) (, ,)))"
[90],(ROOT (S (NP (PRP I)) (VP (VBP watch) (NP (PRP him))) (. .)))
[92],(ROOT (INTJ (UH uh-huh) (. .)))
[93],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (NP (NN something)) (PP (IN on) (NP (DT that) (NN level)))) (, ,)))"
[95],"(ROOT (NP (S (NP (PRP I)) (VP (VP (, ,) (S (NP (NP (PRP I)) (VP (ADVP (RB also)) (VBP enjoy))))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[96],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB know))) (, ,)))"
[97],"(ROOT (NP (NP (NNP Sunday) (NNS mornings)) (PRN (, ,) (NP (PRP it)) (PP (BES 's) (NP (NNP Channel) (CD Thirteen))) (, ,))))"
[94],(ROOT (INTJ (UH Uh-huh) (. .)))
[99],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
"[98, 101]","(ROOT (S (NP (PRP I)) (VP (VBP watch) (NP (NP (DT a) (NN lot)) (, ,) (PP (PP (IN of) (NP (CD Thirteen))) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (NP (DT THE) (NNP MCLAUGHLIN) (NNP GROUP))) (, ,)))"
[100],(ROOT (INTJ (UH uh-huh) (. .)))
"[102, 104]","(ROOT (PRN (CC and) (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (ADVP (RB just)) (VBP laugh)) (, ,))))"
[103],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[106],(ROOT (INTJ (UH Uh-huh)))
"[105, 108]","(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (BES 's) (ADJP (RB so) (JJ hysterical))))))) (, ,)) (NP (DT these) (NNS guys))) (. .)))"
[109],(ROOT (S (NP (PRP It)) (VP (BES 's) (ADVP (RB just)) (NP (ADJP (RB so) (JJ much)) (NN fun))) (. .)))
[107],(ROOT (NP (. .)))
"[110, 112]","(ROOT (S (NP (PRP It)) (BES 's) (ADVP (RB just)) (, ,) (NP (PRP it)) (VP (BES 's) (NP (NP (RB just) (DT a) (NN lot)) (PP (IN of) (NP (NN fun)))) (, ,) (S (VP (VBG watching) (NP (DT that))))) (. .)))"
[111],(ROOT (INTJ (UH Uh-huh) (. .)))
[115],(ROOT (INTJ (UH Right) (. .)))
[113],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (, ,) (S (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB agree) (PP (IN with) (NP (NP (DT a) (JJ whole) (NN lot)) (PP (IN of) (NP (DT the) (NN stuff)) (X (DT the)))))))) (, ,) (NP (PRP they)) (VP (VBP say))))) (, ,)))"
[116],(ROOT (INTJ (UH Right) (. .)))
[118],"(ROOT (FRAG (S (ADJP (ADJP (RB so)) (PRN (, ,) (INTJ (UH yeah)) (, ,))))))"
[120],"(ROOT (S (NP (PRP I)) (VP (VBP like) (S (VP (TO to) (VP (VB be) (ADJP (JJ entertained)))))) (, ,)))"
[119],"(ROOT (INTJ (UH Well) (, ,)))"
[122],(ROOT (INTJ (UH Yeah) (. .)))
[123],"(ROOT (S (NP (PRP I)) (VP (VBP watch) (NP (PRP it)) (PP (IN for) (NP (NN entertainment)))) (, ,)))"
[124],"(ROOT (S (CC but) (NP (PRP I)) (ADVP (RB also)) (VP (VBP watch) (NP (NP (PRP it)) (PP (IN for) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (JJ cultural) (NN impact))))) (. .)))"
[125],"(ROOT (S (NP (PRP I)) (VP (VBP do) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NN channel) (CD thirteen)) (, ,) (NP (NP (NN channel) (CD three)) (, ,) (NP (NP (DT some)) (PP (IN of) (NP (DT the) (JJ educational) (NNS channels))))) (, ,)))))))"
[126],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP watch) (PP (IN for) (NP (NP (JJ special) (NNS programs)) (SBAR (WHNP (WDT that)) (S (VP (VBP have) (NP (NP (JJ special)) (, ,) (NP (NP (DT a) (JJ special) (NN play)) (, ,) (NP (DT a) (JJ special) (NN concert)))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))))))"
[121],(ROOT (S (NP (PRP I)) (ADVP (RB really)) (VP (VBP do)) (. .)))
[127],(ROOT (S (NP (PRP I)) (ADVP (RB recently)) (VP (VBD watched) (NP (DT a) (NN tribute)) (PP (IN to) (NP (NP (CD three)) (PP (IN of) (NP (DT the) (JJS finest) (NN opera) (NNS stars)))))) (. .)))
[128],"(ROOT (S (INTJ (UH Oh)) (, ,) (ADVP (UH now) (DT that)) (VP (VBD was) (ADJP (JJ fabulous))) (, ,)))"
[129],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (CC and)) (NP (PRP it)) (VP (VBD was) (ADJP (JJ fabulous))) (. .)))"
[130],"(ROOT (PRN (CC and) (S (NP (DT that)) (, ,) (NP (PRP you)) (VP (VBP know)) (, ,))))"
[131],"(ROOT (S (NP (PRP I)) (VP (VBD was) (ADJP (RB just) (RB absolutely))) (, ,)))"
[132],(ROOT (INTJ (UH Yeah) (. .)))
"[133, 135]","(ROOT (S (NP (PRP you)) (ADVP (RB just)) (VP (VBD held) (S (NP (PRP you)) (NP (NN breath))) (, ,) (PP (IN in) (NP (NP (DT some)) (PP (IN of) (NP (DT those)))))) (. .)))"
[134],(ROOT (INTJ (UH Yeah) (. .)))
[136],"(ROOT (VP (XX MUMBLEx) (ADVP (CC and)) (PRN (, ,) (INTJ (UH uh)) (, ,))))"
[138],"(ROOT (S (INTJ (UH oh)) (, ,) (ADVP (PRP I)) (VP (VBD was) (ADVP (RB just))) (, ,)))"
[137],(ROOT (INTJ (UH Yeah) (. .)))
"[139, 141]","(ROOT (S (NP (PRP it)) (VP (VBZ makes) (NP (NP (NNS chills)) (NP (RB all))) (, ,) (PP (IN over) (NP (PRP you)))) (. .)))"
[140],(ROOT (S (NP (PRP I)) (VP (VBP know)) (. .)))
[142],"(ROOT (INTJ (RB So) (, ,)))"
[144],"(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (MD may) (CC or) (MD may) (RB not) (VP (ADVP (RB even)) (VB look) (PP (IN at) (NP (DT the) (NN T) (NN V) (NN guide)))))) (, ,)))"
[145],(ROOT (S (CC but) (SBAR (IN if) (S (NP (PRP I)) (VP (VP (VBP have) (NP (NP (NN time)) (SBAR (S (NP (PRP I)) (VP (MD may) (VP (VB flip) (PP (IN through)))))))) (CC and) (VP (VBP say) (NP (UH hey)))))) (NP (DT this)) (VP (VBZ looks) (ADJP (JJ good)) (SBAR (IN if) (S (NP (PRP I)) (VP (VBP finish) (NP (NP (DT this) (NN task)) (SBAR (S (NP (PRP I)) (VP (MD can) (VP (VB watch) (NP (NP (DT that)) (PP (IN in) (NP (DT an) (NN hour))))))))))))) (. .)))
[143],"(ROOT (FRAG (PP (UH So)) (, ,)))"
[147],"(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (S (INTJ (UH well)) (, ,) (NP (EX there)) (VP (BES 's) (NP (JJ certain) (XX thin-))))) (, ,)))"
[146],"(ROOT (S (S (INTJ (UH Uh)) (, ,) (S (NP (ADJP (IN if)) (DT the) (NN hour)) (VP (VBZ comes))) (CC and) (S (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB get) (NP (DT a) (NN chance) (S (VP (TO to) (VP (VB watch) (NP (PRP it)))))))))) (, ,) (RB so) (SBARQ (WHNP (WP what)) (. .))))"
[148],"(ROOT (S (NP (PRP I)) (VP (VBP mean)) (, ,)))"
[149],(ROOT (INTJ (UH Uh-huh) (. .)))
[150],"(ROOT (S (NP (PRP I)) (VP (VBP have) (VP (VBN got) (S (VP (PRN (, ,) (INTJ (UH um)) (, ,)) (PP (NP (PRP$ my) (NN T) (NN V)) (IN in) (NP (DT the) (NN kitchen))))) (ADVP (RB here))))))"
[154],(ROOT (S (NP (PRP I)) (VP (VBP love) (S (VP (TO to) (VP (VB watch) (NP (NN cooking) (NNS shows)))))) (. .)))
[152],(ROOT (INTJ (UH Uh-huh) (. .)))
[156],"(ROOT (S (NP (PRP I)) (VP (VBP do) (ADVP (RB too))) (, ,)))"
[155],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (ADVP (RB really)) (VP (VBP do)) (. .)))"
[157],"(ROOT (S (NP (PRP it)) (VP (VBZ makes) (SBAR (S (NP (PRP me)) (VP (VBP want) (S (VP (TO to) (VP (VB cook)))))))) (, ,)))"
[158],"(ROOT (S (NP (PRP I)) (VP (VBP know)) (, ,)))"
[159],"(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (PRP I)) (VP (VBP eat)) (, ,))))))"
[161],"(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (PRP I)) (VP (VBP get) (ADJP (JJ fat))) (, ,))))))"
[160],X
[163],"(ROOT (NP (NP (PRP I)) (PRN (, ,) (NP (PRP I)) (, ,))))"
[162],"(ROOT (S (ADVP (RB so)) (, ,) (NP (PRP I)) (ADVP (RB just)) (VP (VBP let) (SBAR (S (NP (JJ other) (NNS people)) (VP (VBP watch)))))))"
[164],(ROOT (INTJ (UH yeah) (. .)))
[166],"(ROOT (FRAG (CC And) (S (VP (VP (, ,) (S (NP (NP (PP (CC and) (NP (EX there)))) (PP (BES 's) (NP (DT some)))))) (PRN (, ,) (INTJ (UH um)) (, ,))))))"
[165],(ROOT (S (ADVP (RB then)) (NP (PRP I)) (VP (VBP eat) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP cook))))) (. .)))
"[168, 170]","(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP I)) (VP (VBP think) (NP (NP (DT that)) (ADJP (BES 's) (, ,) (JJ marvelous)))) (. .)))"
[172],(ROOT (INTJ (UH Yeah) (. .)))
[174],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (, ,))))"
"[175, 177]","(ROOT (S (NP (PRP I)) (VP (VBD took) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (PRP$ my)) (, ,) (NP (NN college) (NNS courses)) (, ,)))))))"
[167],"(ROOT (S (PP (IN in) (NP (NN fact))) (, ,) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NN water) (NN color) (NNS shows)))) (PRN (, ,) (S (NP (PRP I)) (VP (VBP know))) (, ,)) (VP (VBZ has) (VP (VBN inspired) (S (NP (PRP me)) (VP (TO to) (VP (VB take) (NP (NN water) (NN color) (NNS lessons)) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know))))))))) (. .)))"
[179],(ROOT (NP (XX MUMBLEx)))
"[178, 180]","(ROOT (S (NP (PRP I)) (VP (VBD took) (NP (NP (DT some)) (PP (IN of) (NP (NP (PRP$ my)) (, ,) (NP (NP (NN college) (NNS courses)) (PP (IN on) (NP (NN television)))) (, ,)))))))"
[182],"(ROOT (FRAG (PP (RB so) (NP (DT that))) (, ,)))"
[181],(ROOT (INTJ (UH Yeah) (. .)))
"[183, 185]","(ROOT (S (NP (PRP it)) (VP (BES 's) (ADJP (RB very) (JJ successful) (PP (IN for) (NP (NP (NP (DT some)) (PP (IN of))) (, ,) (NP (DT those) (NNS things)) (, ,)))))))"
[186],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (ADVP (RB really)) (VP (VBD got) (VP (VBN stung) (ADVP (RB very) (RB badly)) (PP (IN about) (S (VP (VBG having) (NP (NP (NN influence)) (PP (IN in) (NP (PRP$ your) (NN life))))) (, ,))))))))))"
[187],"(ROOT (PRN (CC or) (S (ADVP (IN at) (JJS least)) (NP (PRP I)) (VP (VBD saw) (NP (NP (DT a) (ADJP (RB very) (JJ bad)) (NN example)) (PP (IN of) (S (VP (VP (VBG having) (S (NP (NN television)) (VP (VB influence) (NP (PRP$ your) (NN life))))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))))"
[184],(ROOT (INTJ (UH Oh) (. .)))
[188],"(ROOT (S (NP (PRP$ my) (NN husband)) (VP (VBD had) (NP (NP (DT an) (NN aunt)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (ADJP (JJ addicted) (PP (IN to) (NP (NNS soaps))))))))) (, ,)))"
[189],(ROOT (INTJ (UH Uh-huh) (. .)))
[190],"(ROOT (S (CC and) (PRN (, ,) (S (NP (PRP I)) (VP (VBP want) (S (NP (PRP you)) (VP (TO to) (VP (VB know) (SBAR (S (NP (DT that)) (VP (VBD became) (NP (DT the) (ADJP (RBS most) (JJ suspicious)) (, ,) (ADJP (JJ cantankerous) (, ,) (JJ contrary)) (JJ old) (NN woman))))))))))) (ADVP (RB ever)) (VP (VBD walked)) (. .)))"
[191],(ROOT (S (NP (PRP She)) (VP (VBD got) (NP (PRP you)) (NP (DT a) (XX MUMBLEx))) (. .)))
[192],"(ROOT (FRAG (PP (UH Absolutely)) (, ,)))"
[194],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB know) (SBAR (WHNP (WP who)) (S (NP (PRP she)) (VP (VBD thought) (SBAR (S (NP (PRP she)) (VP (VBD was))))))))) (, ,)))"
[193],X
"[195, 197]","(ROOT (S (S (CC but) (NP (PRP she)) (ADVP (RB just)) (VP (VBD got) (PP (IN to) (NP (DT the) (NN point))) (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (MD could) (ADVP (RB might) (RB near))))))) (, ,) (NP (PRP you)) (VP (MD could) (ADVP (RB almost)) (VP (VB hear) (NP (NP (NP (DT those) (NNS soaps)) (VP (VBG being) (VP (VBN echoed) (PP (IN in) (NP (PRP$ her) (NN voice)))))) (, ,) (CC and) (NP (NP (DT that) (NN attitude)) (VP (VBG being) (VP (VBN demonstrated))))))) (. .)))"
[196],(ROOT (INTJ (UH Yeah) (. .)))
[198],"(ROOT (S (CC And) (PP (PP (IN for) (NP (PRP$ her))) (PP (TO to) (NP (NP (NN miss)) (NP (DT a) (NN soap))))) (, ,) (NP (PRP it)) (VP (VBD was) (NP (DT a) (JJ big) (NN withdrawal))) (. .)))"
[199],"(ROOT (FRAG (INTJ (UH Oh) (, ,) (UH well)) (, ,) (PP (UH see) (NP (NP (DT that) (BES 's)) (, ,)))))"
[200],"(ROOT (FRAG (CC And) (NP (, ,))))"
[201],(ROOT (S (CC But) (NP (PRP she)) (VP (VBD was) (ADVP (RB probably)) (ADJP (JJ depressed) (S (VP (TO to) (VP (VB begin) (PP (IN with))))))) (. .)))
[202],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB know))) (. .)))"
[203],(ROOT (S (NP (PRP You)) (VP (VBP know) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP mean))))) (. ?)))
[205],"(ROOT (INTJ (UH Yeah) (, ,)))"
