[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[21],(ROOT (S (NP (PRP I)) (VP (VBP like) (NP (DT the) (NN heat))) (. .)))
[23],"(ROOT (FRAG (CC and) (NP (NP (NN anything)) (SBAR (S (PP (IN below) (NP (CD sixty))) (, ,) (NP (PRP she)) (VP (BES 's) (ADVP (RB just)) (RB not) (ADJP (JJ happy))))))))"
[25],"(ROOT (S (CC but) (NP (PRP I)) (, ,) (NP (NP (PRP I)) (SBAR (S (VP (VBP think) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (MD would) (VP (VB miss))))))))) (VP (VBZ is) (NP (NP (DT the) (NN change)) (PP (IN of) (NP (NP (NNS seasons)) (CC and) (NP (DT all))))) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP know) (SBAR (S (PP (IN in) (NP (NNP Plano))) (NP (PRP we)) (ADVP (RB really)) (VP (VBP do) (RB n't) (VP (VB have) (NP (QP (RB as) (JJ many)) (NNS seasons)) (PP (IN as) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))))))))"
[26],"(ROOT (NP (NP (PRP$ my) (NN husband)) (PRN (BES 's) (PP (IN from) (NP (NNP Nebraska))) (, ,))))"
[24],X
[28],"(ROOT (INTJ (UH Yeah) (, ,)))"
[29],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP 'm) (PP (IN from) (NP (NNP Utah)))) (, ,))))"
[27],(ROOT (S (CC and) (NP (PRP they)) (VP (VBP have) (NP (NP (JJR more)) (PP (IN of) (NP (DT the) (CD four) (NNS seasons))))) (. .)))
"[30, 32]","(ROOT (X (SBAR (RB so) (S (FRAG (, ,) (NP (PRP I))) (, ,) (NP (PRP I)) (VP (VBP like)))) (, ,) (X (DT the)) (NP (CD four) (NNS seasons))))"
"[31, 33]","(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP you)) (VP (VBP 're) (ADJP (JJ used) (PP (IN to) (NP (DT that)))) (, ,) (ADVP (RB too))) (. .)))"
[35],(ROOT (S (NP (PRP You)) (VP (VBP do) (RB n't) (VP (VB like) (NP (DT the) (NN cold)))) (. .)))
[36],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (ADVP (RB usually)) (VP (VBP like) (NP (PRP it)) (PP (RB about) (NP (NN sweater) (NN weather)))) (, ,)))"
[34],(ROOT (S (NP (PRP I)) (ADVP (RB just)) (VP (VBP do) (RB n't) (VP (VB like) (NP (DT the) (NN cold)))) (. .)))
"[37, 39]",(ROOT (S (CC and) (NP (NP (DT the) (NN problem)) (PP (ADVP (RB here)) (IN in) (NP (NNP Plano)))) (VP (VBZ is) (SBAR (S (NP (PRP it)) (VP (VBZ does) (RB n't) (VP (VB last) (ADVP (RB very) (RB long))))))) (. .)))
[40],"(ROOT (S (NP (PRP It)) (VP (VBZ goes) (PP (IN from) (ADJP (JJ hot)))) (, ,)))"
[41],"(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (PRP you)) (VP (VBP get) (NP (NP (DT a) (NN couple)) (PP (IN of) (NP (NP (NNS weeks)) (PP (IN of) (NP (DT that) (NN Indian) (NN Summer)))) (, ,)))))))))"
[38],(ROOT (INTJ (UH Uh-huh) (. .)))
[42],(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ cold))))))))
[43],(ROOT (INTJ (UH Yeah) (. .)))
[44],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP wish) (SBAR (S (NP (PRP it)) (VP (VBD were) (NP (NP (JJ several) (NNS months)) (PP (IN of) (NP (DT that)))))))) (. .)))
[46],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (VP (VBP do) (RB n't) (VP (ADVP (RB either)) (SBAR (IN unless) (S (NP (PRP it)) (VP (BES 's) (INTJ (UH like) (, ,) (UH uh))))))) (, ,)))"
[47],(ROOT (S (NP (NP (DT some)) (PP (IN of) (NP (PRP$ my) (JJ favorite)))) (VP (BES 's) (NP (INTJ (UH like)) (NP (DT a) (NNP Friday))) (NP (NN night)) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBZ rains)))))))
[48],"(ROOT (S (CC and) (NP (PRP you)) (ADVP (RB really)) (VP (VBD did) (RB n't) (VP (VB have) (S (ADVP (RB anywhere)) (VP (TO to) (VP (VB go)))))) (, ,)))"
[49],(ROOT (S (CC and) (NP (PRP it)) (VP (BES 's) (NP (NN sleeping) (NN time))) (. .)))
[45],"(ROOT (S (NP (DT The) (NN thing)) (PRN (, ,) (S (NP (DT the) (JJ other) (NN thing)) (VP (VBZ is) (NP (DT the)))) (, ,)) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB like) (NP (DT the) (NN rain)) (ADVP (RB either)))) (. .)))"
[51],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP we)) (VP (VBP have) (NP (NP (JJ several) (NNS children)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (PP (IN in) (NP (NNS sports)))))))) (, ,)))"
[50],"(ROOT (S (CC But) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VP (VB get) (ADVP (RB up))) (CC and) (VP (VB get) (PRT (RB out)) (PP (IN in) (NP (PRP it)))))))))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB like) (NP (PRP it)) (ADVP (RB either)))) (. .)))"
[53],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (. .))))"
[55],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (RB sure)) (NP (PRP it)) (VP (VBZ does)) (. .)))"
"[52, 54]","(ROOT (S (CC and) (RB so) (NP (PRP it)) (ADVP (RB always)) (VP (VBZ makes) (S (NP (PRP$ their) (NNS games)) (VP (VB be) (VP (VP (VP (VBN postponed) (ADVP (RB forever))) (CC and) (VP (ADVP (RB ever) (CC and) (RB ever)) (PP (RP on))) (, ,) (PP (RP on))) (, ,) (CC and) (VP (PP (RP on))))))) (. .)))"
[56],"(ROOT (S (S (NP (NP (DT That) (NN kind)) (PP (IN of) (NP (NN schedule))))) (, ,) (NP (PRP you)) (ADVP (RB really)) (VP (VBP need) (NP (ADJP (NP (DT a) (NN lot)) (JJR more)) (NN sunshine))) (. .)))"
[57],"(ROOT (S (S (NP (PRP I)) (VP (VBP like) (S (NP (PRP it)) (ADJP (JJR better))))) (, ,) (NP (PRP I)) (VP (VBP think)) (. .)))"
[59],(ROOT (INTJ (UH Uh-huh) (. .)))
"[58, 60]","(ROOT (S (CC And) (ADVP (RB also)) (NP (DT the) (NNS evenings)) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VP (VB be) (S (VP (VBG getting) (PRN (, ,) (INTJ (UH uh)) (, ,))))) (NP (JJR darker))))) (ADVP (RBR sooner)) (PP (IN becau-)) (, ,) (SBAR (IN as) (S (NP (PRP it)) (VP (VBZ gets) (NP (JJR cooler))))))) (. .)))"
[62],"(ROOT (S (CC But) (NP (PRP I)) (VP (VBD did) (NP (NP (NP (DT a) (NN walk)) (NP (JJ last) (NN night))) (, ,)))))"
[63],(ROOT (S (CC and) (NP (PRP it)) (VP (VBD seemed) (SBAR (IN like) (S (NP (PRP it)) (VP (VBD was) (ADJP (NP (DT a) (JJ little) (NN bit)) (JJ hot)) (ADVP (RB still)))))) (. .)))
[61],(ROOT (INTJ (UH Yeah) (. .)))
[65],"(ROOT (S (NP (NP (DT The) (NN thing)) (PP (IN about) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBZ gets) (ADJP (JJ hot)) (ADVP (RB here))))))) (VP (VBZ is) (PRN (, ,) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB like) (NP (DT the) (NN humidity))))) (, ,)))))"
[64],(ROOT (S (SBAR (ADVP (RB Sometimes)) (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP work) (PRT (RP up)) (NP (DT a) (NN sweat))))) (NP (PRP you)) (VP (VBP need) (S (NP (PRP it)) (VP (TO to) (VP (VB be) (NP (NP (DT a) (JJ little) (NN bit)) (JJR cooler)))))) (. .)))
[67],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (VP (VBP agree) (, ,) (PP (RB absolutely))) (, ,)))"
[68],"(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP know) (, ,) (NP (PRP it)) (ADVP (BES 's) (DT all) (JJ relative))) (, ,))))"
[69],"(ROOT (SBAR (IN because) (S (NP (PRP I)) (VP (VBD was) (PP (IN from) (NP (NNP West) (NNP Texas)))) (, ,))))"
[70],"(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (VBD was) (ADJP (RB very) (JJ dry))) (, ,))))"
[71],"(ROOT (PRN (CC and) (ADJP (RB so) (SBAR (S (NP (PRP I)) (VP (VBD thought) (SBAR (S (NP (NNP Dallas)) (VP (VBD was) (ADJP (JJ awful)))))) (, ,))))))"
[66],(ROOT (S (ADVP (DT that) (NN part)) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB care) (PP (IN about)))) (. .)))
[72],"(ROOT (S (CC and) (NP (PRP I)) (ADVP (RB still)) (VP (VBP think) (ADVP (RB so))) (, ,)))"
[74],"(ROOT (PRN (CC but) (NP (NP (RB then) (DT this) (NN summer)) (SBAR (S (NP (PRP we)) (VP (VBD went) (PP (IN to) (NP (NNP Orlando))) (PP (IN for) (NP (DT a) (NN week)))) (, ,))))))"
[75],"(ROOT (S (CC and) (NP (PRP it)) (VP (VBD was) (ADJP (RB so) (JJ humid)) (SBAR (ADVP (RB there)) (IN that) (S (NP (NP (PRP$ your)) (, ,) (SBAR (S (INTJ (UH um)) (, ,) (NP (DT all) (PRP$ your) (NNS windows)) (VP (VBD were) (VP (XX fr-))))) (, ,)) (VP (VBD were) (ADJP (JJ wet)) (NP (DT every) (NN morning)))))) (. .)))"
[73],X
"[76, 78]",(ROOT (S (NP (PRP They)) (VP (VBD had) (S (VP (TO to) (VP (VP (VB get) (NP (DT the) (NNS squeejies))) (CC and) (VP (VB clean) (NP (PRP them)) (PRT (RP off))))))) (. .)))
[77],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH really) (. .))))"
"[79, 81]","(ROOT (S (CC And) (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (VP (VBD got) (ADVP (RB back)) (PP (IN to) (NP (NNP Dallas)))))) (NP (PRP it)) (VP (VBD seemed) (ADJP (RB really) (JJ dry)) (, ,) (SBAR (IN because) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of) (PP (IN like) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ used) (PP (IN to)))))))))))) (. .)))"
[82],"(ROOT (S (CC But) (NP (PRP I)) (VP (VBP agree) (PP (IN with) (NP (PRP you)) (, ,)))))"
[80],X
[83],"(ROOT (FRAG (NP (DT the) (NN humidity)) (, ,) (PP (RB especially) (IN for) (NP (NP (JJ curly) (NNS heads)) (PP (IN like) (NP (PRP me))))) (. .)))"
[85],(ROOT (INTJ (UH Yes) (. .)))
[84],"(ROOT (SINV (FRAG (INTJ (UH Oh))) (, ,) (VP (VBZ is)) (NP (DT that) (UH right)) (. ?)))"
[87],"(ROOT (FRAG (PP (NP (UH Well)) (PP (ADVP (DT another)) (ADJP (NN reason)))) (, ,)))"
[88],"(ROOT (S (INTJ (UH well)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB say) (SBAR (IN that) (S (S (NP (PRP it))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB like) (NP (DT the) (NN rain)) (ADVP (RB completely))))))))))) (. .)))"
[89],(ROOT (S (NP (PRP We)) (VP (VBP have) (NP (NP (DT a) (JJ little) (NN garden)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBP have))))))))
[86],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB like) (S (NP (DT the) (XX humid-) (, ,))))) (. .)))"
"[90, 92]","(ROOT (S (CC and) (ADVP (CC and) (RB so)) (NP (PRP it)) (ADVP (RB really)) (VP (VBZ helps) (NP (PRP$ our) (NN garden))) (, ,)))"
[93],"(ROOT (S (ADVP (CC and)) (, ,) (NP (PRP you)) (VP (VBP know) (SBAR (S (, ,) (ADVP (RB even)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (DT that)) (VP (BES 's) (SBAR (IN because) (S (NP (NNS plants)) (VP (VBP are) (ADVP (RB just)) (NP (DT that) (NN way)))))))))))))))"
[94],"(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBP like) (NP (NN rain))) (, ,))))"
[95],"(ROOT (PRN (CC or) (S (, ,) (NP (PRP it)) (VP (VBZ seems) (SBAR (S (NP (PRP they)) (VP (VBP thrive) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBZ rains)))))))) (, ,))))"
[91],(ROOT (INTJ (UH Uh-huh) (. .)))
[97],"(ROOT (INTJ (UH Yeah) (, ,)))"
[98],(ROOT (S (NP (PRP I)) (VP (VBP think) (ADVP (RB so) (RB too))) (. .)))
[96],"(ROOT (NP (NP (PRP they)) (NP (NP (RB just)) (PRN (, ,) (ADVP (RB really)) (, ,)))))"
[100],(ROOT (INTJ (UH Uh-huh) (. .)))
"[99, 101]",(ROOT (S (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP$ our) (NN grass)) (VP (VBZ needs) (S (VP (VBG mowing) (ADVP (RB twice) (RB as)) (SBAR (WHADVP (RB often) (WRB when)) (S (NP (PRP it)) (VP (VBZ rains))))))))))))
[103],"(ROOT (S (CC but) (NP (PRP it)) (VP (VBZ seems) (PP (IN like) (NP (RB here)) (, ,)))))"
[104],"(ROOT (S (NP (PRP I)) (VP (MD would) (VP (VB like) (S (NP (PRP it)) (VP (TO to) (VP (VP (VB rain)) (CC and) (VP (RB then) (VP (VB be) (ADJP (JJ over))) (, ,) (CC and) (ADVP (RB then) (RB not)) (VP (VB rain) (PP (IN for) (NP (DT a) (NN while)))))))))) (. .)))"
[102],(ROOT (INTJ (UH Yeah) (. .)))
[106],"(ROOT (INTJ (UH Yeah) (, ,)))"
[105],"(ROOT (S (NP (PRP It)) (VP (VBZ seems) (SBAR (IN like) (S (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBZ gets) (VP (VBN stuck) (PP (IN in) (NP (DT a) (NN rain) (NN pattern))))))) (, ,) (NP (DT that)) (VP (BES 's) (NP (NP (DT all)) (SBAR (S (NP (PRP it)) (VP (VBZ does))))))))) (. .)))"
[107],(ROOT (INTJ (UH yeah) (. .)))
"[108, 110]","(ROOT (ADJP (RB So) (SBAR (S (S (VP (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (CC but) (NP (PRP I))))) (, ,) (NP (PRP I)) (VP (VBP am) (ADJP (ADJP (JJ ready) (PP (IN for) (NP (NP (DT a) (JJ little) (NN bit)) (PP (IN of) (NP (DT the) (JJR cooler) (NN weather)))))) (CC and) (ADJP (ADJP (RB not) (RB so) (JJ much) (PP (IN in) (NP (NP (DT the) (NNS nineties)) (PP (CC but) (NP (NN something)))))) (PP (IN like))) (, ,)))))))"
[109],"(ROOT (INTJ (UH Well) (, ,)))"
[111],"(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (NP (PRP$ my)) (, ,) (NP (PRP$ my) (JJS best))) (VP (MD would) (VP (VB be) (ADVP (RB probably) (NP (CD sixty-eight))) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP wake) (PRT (RP up)) (NP (NP (QP (CC or) (CD sixty-six))) (, ,) (CC and) (NP (ADVP (RB then)) (NP (RB probably) (CD seventy-five)) (PP (IN during) (NP (DT the) (NN day))))))))))))) (. .)))"
[113],(ROOT (INTJ (UH Yeah) (. .)))
[115],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[112, 114]",(ROOT (S (S (INTJ (UH Well)) (NP (PRP I)) (VP (VBP like) (NP (NNS seventies)))) (NP (PRP I)) (VP (VBP like) (NP (NNS seventies)) (ADVP (RB okay))) (. .)))
[116],"(ROOT (S (S (VP (VBP are) (NP (PRP you)))) (, ,) (VP (VBP do) (S (NP (PRP you)) (VP (VB like) (NP (NP (DT the) (NN heat)) (PP (IN in) (NP (DT the) (NN summer)))) (ADVP (RB then)) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBZ gets) (PRT (IN up)) (PP (IN in) (NP (DT the) (NNS nineties) (CC and) (NNS hundreds))))))))) (. .)))"
[118],"(ROOT (INTJ (UH Yeah) (, ,)))"
[117],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB like) (NP (NNS nineties)))) (. .)))"
[119],(ROOT (INTJ (UH yeah) (. .)))
[120],(ROOT (S (NP (PRP You)) (VP (MD can) (VP (VB give) (NP (PRP me)) (NP (NNS seventies))))))
[121],(ROOT (INTJ (UH Yeah) (. .)))
[123],"(ROOT (INTJ (UH Yeah) (, ,)))"
[122],(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (MD can) (VP (VB give) (NP (PRP me)) (NP (NNS eighties)))))))
[125],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ okay))) (. .)))
[124],(ROOT (S (VP (VB keep) (NP (PRP it)) (ADVP (RB there))) (. .)))
[126],"(ROOT (S (CC But) (SBAR (WHADVP (WRB when)) (S (S (NP (PRP it)) (VP (VBZ gets) (ADJP (RB too) (JJ hot)))) (, ,) (RB then) (S (NP (PRP it)) (VP (BES 's) (, ,) (NP (DT that)))))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB like) (NP (DT that))))))"
[127],(ROOT (INTJ (UH Yeah) (. .)))
[129],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (VP (VBP do) (, ,) (PP (RB too))) (, ,)))"
[130],"(ROOT (S (NP (PRP I)) (VP (VBP do) (, ,) (PP (RB too)))))"
[132],(ROOT (S (CC and) (NP (NP (DT that)) (SBAR (S (VP (VBD was) (NP (NP (CD one) (NN thing)) (PP (IN about) (NP (DT the) (NN year) (RP around)))))))) (VP (NN school) (SBAR (IN that) (S (ADVP (RB originally)) (NP (PRP we)) (VP (VBD had) (VP (VBN been) (ADJP (ADVP (RB sort) (RB of)) (JJ negative)) (PP (IN on) (NP (PRP it)))))))) (. .)))
"[128, 131]","(ROOT (S (S (NP (PRP I)) (VP (VBP stay) (PP (IN in) (NP (DT the) (NN house))) (SBAR (IN because) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB just))))))) (, ,) (NP (PRP It)) (VP (BES 's) (ADVP (RB just)) (ADJP (RB too) (JJ hot))) (. .)))"
[134],"(ROOT (INTJ (UH Yeah) (, ,)))"
[133],"(ROOT (S (S (CC But) (ADVP (RB then)) (NP (PRP we)) (VP (VBD started) (S (VP (VBG thinking) (, ,) (ADVP (RB especially)) (PP (IN in) (NP (NNP Plano))))))) (, ,) (NP (DT the) (NN weather)) (VP (VBZ is) (ADJP (RB so) (JJ hot) (PP (IN in) (NP (NNP August)))) (, ,) (SBAR (IN that) (S (NP (EX there)) (ADVP (RB really)) (VP (VBZ is) (RB n't) (NP (NP (DT a) (NN lot)) (SBAR (S (NP (DT the) (NNS children)) (VP (MD can) (VP (VB do) (ADVP (RB outside)) (ADVP (RB anyhow))))))))))) (. .)))"
[135],(ROOT (INTJ (UH yeah) (. .)))
[137],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ okay))) (. .)))
[138],"(ROOT (NP (S (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (VP (VBP 've))) (, ,) (NP (PRP I)) (VP (VBP 've) (VP (VBN thought) (PP (IN about) (NP (DT that))) (, ,) (ADVP (RB too)) (, ,))))))"
[136],(ROOT (FRAG (NP (NN Static)) (ADVP (RB here)) (. .)))
[140],(ROOT (INTJ (UH Yeah) (. .)))
[142],(ROOT (S (NP (PRP We)) (VP (VBP do) (ADVP (RB too))) (. .)))
"[139, 141]","(ROOT (S (CC and) (SBAR (PRN (, ,) (INTJ (UH um)) (, ,)) (S (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (VP (VBP take) (NP (NP (PRP$ our) (NNS vacations)) (, ,) (NP (PRP we)))))) (, ,) (NP (PRP we)) (VP (VBP do)))) (VP (VB take) (NP (PRP them)) (PP (IN in) (NP (NNP August))) (ADVP (RB sometimes)) (SBAR (IN so) (IN that) (S (NP (PRP we)) (VP (MD can) (VP (VB be) (ADVP (RB away)) (PP (IN from) (NP (RB here)))))))) (. .)))"
[144],"(ROOT (S (NP (PRP It)) (ADVP (RB just)) (ADVP (RB really)) (VP (VBZ gets) (ADVP (RB way))) (, ,)))"
[143],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))) (VP (VBP agree) (NP (DT the) (JJ same)))))) (. .)))
[146],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[145],(ROOT (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBZ gets) (ADJP (ADVP (RB way) (RB too)) (JJ hot))))))
[148],"(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBP 've) (VP (VBN been) (ADVP (RB here)) (PP (IN for) (NP (JJ several) (NNS years))))) (, ,))))"
[149],(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBP 've) (VP (VBN been) (VP (ADVP (RB here)) (NP (NNS years)) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (HVS 's) (VP (VBN been) (NP (NNS hundreds))))))))))))
[147],(ROOT (INTJ (UH uh-huh) (. .)))
[151],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[152],(ROOT (S (ADVP (RB now)) (NP (EX there)) (VP (VBP have) (VP (VBN been) (NP (JJR worse) (NNS summers)))) (. .)))
[150],"(ROOT (FRAG (CC and) (ADVP (, ,))))"
[154],"(ROOT (FRAG (PP (NNS Years)) (, ,)))"
"[153, 156]","(ROOT (S (PP (IN In) (NP (NP (NN fact)) (NP (DT this) (NN morning)) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBD were) (VP (VBG talking) (ADVP (IN about)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NNP Harold) (NNP Taft))))))))) (, ,) (NP (PRP they)) (VP (VBD were) (VP (VBG talking) (PP (IN about) (SBAR (WHADVP (WRB how)) (S (NP (DT this)) (VP (VBZ has) (VP (VBN been) (NP (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (JJR milder)) (PP (IN of) (NP (DT the) (NNS summers)))))) (CC and) (NP (JJR milder) (NN fall)) (, ,)))))))))))"
[157],"(ROOT (S (NP (NN everybody)) (VP (VBZ seems) (S (VP (TO to) (VP (VB be))))) (, ,)))"
[155],(ROOT (INTJ (UH uh-huh) (. .)))
[158],"(ROOT (S (NP (PRP you)) (VP (MD can) (VP (VB tell) (NP (NP (DT some)) (PP (IN of) (NP (DT the) (NNS newscasters)))) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP like) (NP (DT the) (NN heat))))) (, ,) (SBAR (IN because) (S (NP (PRP they)) (VP (MD 'll) (VP (VB talk) (PP (IN about) (S (NP (PRP it)) (VP (VBG being) (ADJP (RB so) (JJ gorgeous) (PP (IN on) (NP (NP (DT those) (NNS days)) (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG melting))))))))))))))))) (, ,)))"
