[0],"(ROOT (INTJ (INTJ (UH Okay)) (, ,) (INTJ (UH um) (, ,))))"
[16],"(ROOT (S (CC And) (ADVP (RB then)) (PRN (, ,) (S (ADVP (RB sometimes)) (NP (PRP we)) (VP (MD would) (VP (VB go) (PP (IN to) (NP (NNP Arkansas))) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VP (VBD came) (PP (IN from))) (CC and) (VP (VBP have) (NP (NP (DT a) (NN reunion)) (PP (IN with) (NP (DT the) (JJ entire) (NN group))))))))))) (, ,)) (NP (PRP you)) (VP (VBP know)) (. .)))"
[18],"(ROOT (INTJ (UH Yeah) (, ,)))"
[17],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (DT that)) (VP (MD would) (VP (VB be) (ADJP (JJ fun)))) (. .)))"
[20],"(ROOT (INTJ (UH Yeah) (, ,)))"
[21],"(ROOT (S (INTJ (UH well)) (, ,) (NP (PRP we)) (, ,) (ADVP (UH uh)) (, ,) (NP (PRP we)) (VP (VBP have) (NP (NP (DT a) (NN family) (NN reunion)) (PP (IN on) (NP (NP (NP (PRP$ my) (NN mother) (POS 's)) (NN side)) (PP (IN of) (NP (NP (DT the) (NN family)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (PRN (, ,) (INTJ (UH uh) (, ,) (UH oh)) (, ,)))))))))))))"
[22],"(ROOT (S (NP (PRP it)) (VP (VBD started) (ADVP (RB probably)) (PP (IN about)) (ADVP (NP (CD forty) (NNS years)) (RB ago)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP remember) (S (VP (VBG going) (PP (IN as) (NP (DT a) (NN teenager))) (SBAR (IN before) (S (NP (PRP I)) (VP (VBD was) (ADJP (RB ever) (JJ married))))))))))) (, ,)))"
[23],"(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (NP (PRP$ my) (NN husband)) (CC and) (NP (PRP I))) (VP (VBD went) (PRN (, ,) (INTJ (UH uh)) (, ,)) (SBAR (IN while) (S (NP (PRP we)) (VP (VBD were) (ADVP (RB still)) (VP (VBG dating))) (, ,)))))))))"
[24],"(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB still)) (VP (VBG going) (PRT (RP on)))) (, ,))))"
[25],"(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (VBD used) (S (VP (TO to) (VP (VB be) (VP (VBN held) (PP (IN at) (NP (NNP Lake) (NNP Brownwood))) (, ,) (ADVP (IN down) (PP (IN at) (NP (NNP Brownwood) (, ,) (NNP Texas) (, ,))))))))))))"
[19],(ROOT (S (NP (PRP it)) (VP (VBD was) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN fun))))) (. .)))
[26],"(ROOT (S (CC but) (ADVP (RB now)) (NP (PRP we)) (VP (VBP hold) (NP (NP (PRP it)) (PP (IN at) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NNP Lake) (NNP Texoma)))) (SBAR (IN so) (IN that) (S (NP (DT the) (NNP Oklahoma) (NN group)) (VP (VBZ does) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB drive) (ADVP (IN as) (RB far)))))))))) (. .)))"
[28],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP we)) (VP (VBP have) (VP (VBN had) (PP (IN as) (NP (NP (JJ many)) (PP (IN on) (NP (DT a) (NNP Saturday) (NN night))))))) (, ,)))"
[29],"(ROOT (S (NP (PRP it)) (VP (VP (VBZ starts) (PP (IN on) (NP (NNP Friday)))) (CC and) (VP (VBZ goes) (PP (IN through) (NP (NNP Sunday))))) (, ,)))"
[27],(ROOT (INTJ (UH Uh-huh) (. .)))
[30],"(ROOT (S (CC and) (NP (PRP we)) (VP (VBP 've) (VP (VBN had) (PP (IN as) (NP (NP (JJ many)) (PP (IN on) (NP (NP (ADJP (DT a) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNP Saturday) (NN night)) (PP (IN as) (NP (QP (RB about) (CD two) (CD hundred) (CC and) (CD fifty)))))))))) (. .)))"
[31],"(ROOT (S (INTJ (UH Um)) (, ,) (ADVP (RB now)) (NP (PRP we)) (VP (MD would) (VP (VB have) (NP (NP (NN group)) (PP (IN like) (NP (DT that) (NN in) (NNP Arkansas)))))) (. .)))"
[32],(ROOT (INTJ (UH Uh-huh) (. .)))
[34],"(ROOT (INTJ (UH Yes) (, ,)))"
[35],"(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBD took) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[33],(ROOT (S (NP (PRP We)) (VP (MD 'd) (VP (VB have) (NP (NP (QP (CD two) (CD hundred))) (CC and) (NP (NP (CD fifty)) (CC or) (NP (CD three) (CD hundred)))))) (. .)))
[37],"(ROOT (NP (S (S (INTJ (UH Well)) (, ,) (NP (NP (RB so) (JJ many)) (PP (IN of) (NP (PRP us)))) (VP (VBD came) (PP (IN from) (NP (NP (DT a) (JJ long) (NN way)) (PP (IN that) (NP (PRP we))))))) (, ,) (NP (PRP we)) (VP (MD 'd) (VP (ADVP (RB usually)) (PP (IN at) (NP (DT a) (NN motel))))))))"
[36],(ROOT (S (NP (PRP$ our) (NN family)) (ADVP (DT all)) (VP (VBD brought) (PP (IN in) (NP (NN food) (CC and) (NN everything)))) (. .)))
[39],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH uh-huh) (, ,))))"
[40],(ROOT (INTJ (UH uh-huh) (. .)))
[41],"(ROOT (S (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP know) (PP (IN on)))) (NNPS Sundays) (S (NP (PRP we)) (ADVP (DT all)) (VP (VBP elect) (ADVP (RB now)) (PP (TO to) (NP (NN chip))) (ADVP (RP in))))))"
[38],(ROOT (S (CC and) (NP (PRP we)) (VP (VBD bought) (NP (NN food)) (ADVP (RB there))) (. .)))
"[42, 44]",(ROOT (S (CC and) (NP (PRP we)) (VP (VP (VBP go) (VP (VB get) (NP (NNP Kentucky) (NNP Fried) (NNP Chicken)))) (CC and) (VP (VBP bring) (ADVP (RB out)))) (. .)))
[45],"(ROOT (FRAG (CC And) (S (VP (VP (, ,) (S (NP (NP (FRAG (INTJ (UH uh)) (, ,) (PP (CC but) (NP (PRP we))))) (PP (RB kind) (S (VP (ADVP (RB of)) (VB take) (NP (PRP$ our) (NN food)))))))) (PRN (PP (IN for) (NP (CD three) (NNS days))) (, ,))))))"
[46],"(ROOT (S (VP (CC and) (, ,) (S (INTJ (UH uh)) (, ,) (ADVP (RB now)) (NP (PRP$ our) (NNS grandchildren)) (VP (VBP are) (VP (VBG participating) (PP (IN in) (NP (PRP it)))))))))"
[43],(ROOT (INTJ (UH Uh-huh) (. .)))
[48],(ROOT (INTJ (UH Uh-huh) (. .)))
"[47, 49, 51]",(ROOT (FRAG (CC and) (ADVP (RB just) (S (VP (VB love) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP have) (NP (NP (PDT all) (DT this) (JJ little) (NN batch)) (PP (IN of) (NP (NP (NNS cousins)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP get) (S (VP (TO to) (VP (VB see) (NP (NP (QP (RB about) (RB once))) (NP (DT a) (NN year))))))))))))))))))))
[52],(ROOT (UCP (XX MUMBLEx) (ADJP (JJ enthused)) (CC and) (PP (IN with) (NP (PRP it)))))
[50],(ROOT (INTJ (UH Uh-huh) (. .)))
[53],"(ROOT (S (CC and) (NP (PRP$ our) (NNS children)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (VP (ADVP (RB thoroughly)) (VBP enjoy) (NP (PRP it))) (. .)))"
[55],(ROOT (S (RB So) (NP (PRP it)) (VP (HVS 's) (VP (VBN been) (ADJP (ADVP (RB kind) (RB of)) (JJ nice)))) (. .)))
[56],(ROOT (S (NP (PRP It)) (VP (VBD started) (PRT (RP out)) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBD was) (UCP (NP (DT a) (NN youngster)) (CC and) (VP (VBG watching) (NP (PRP$ my) (NN mother)))))))) (. .)))
[54],(ROOT (INTJ (UH Right) (. .)))
[57],(ROOT (FRAG (NP (NP (RB Now)) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (PP (IN to) (NP (DT the) (XX MUMBLEx) (NN mother))))))) (X (VBD was))))
[58],(ROOT (INTJ (UH Uh-huh) (. .)))
"[59, 61]","(ROOT (FRAG (S (ADVP (CC and)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP am) (, ,) (INTJ (UH uh)) (, ,) (SBAR (RB now) (S (NP (DT the) (JJR older) (NN generation)))))) (CC and) (S (S (VP (VBG doing) (NP (QP (JJR more) (IN of) (NP (DT the) (NN cooking) (CC and) (NN watching))) (PRP$ my) (NN daughter)))) (NP (PRP you)) (VP (VP (VBP know)) (, ,) (NP (NP (XX partici-)) (, ,) (NP (NP (JJR more)) (CC and) (NP (NN everything))) (, ,)))))))"
[60],(ROOT (INTJ (UH Uh-huh) (. .)))
[62],"(ROOT (FRAG (PP (CC and)) (, ,) (INTJ (UH uh)) (. .)))"
[63],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP it)) (BES 's) (NP (NP (NN something)) (SBAR (S (NP (PRP I)) (VP (ADVP (RB really)) (VBP miss) (, ,) (PP (IN because) (NP (PRP I))))))) (VP (VBD had) (NP (CD twenty-seven) (JJ first) (NNS cousins)))))"
[65],"(ROOT (PRN (CC and) (S (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (SBAR (S (NP (PRP we)) (VP (VBD were) (NP (ADJP (RB very) (JJ close)) (NN family)))))) (, ,))))"
[66],"(ROOT (PRN (CC but) (NP (NP (NP (PRP$ our) (NN father) (POS 's)) (NN generation)) (SBAR (S (VP (VBD was) (ADJP (RB enough) (JJR older))))) (PP (IN than) (NP (NP (PRP I)) (, ,))))))"
[64],"(ROOT (FRAG (INTJ (UH Oh)) (, ,) (NP (PRP$ my) (NN word)) (. .)))"
"[67, 69]","(ROOT (S (NP (PRP$ my) (NN father)) (VP (MD would) (VP (VB be) (NP (QP (DT a) (CD hundred))) (SBAR (ADVP (RB now)) (IN that) (S (NP (PRP they)) (VP (VBP 're) (ADJP (DT all) (JJ dead))))))) (, ,)))"
[68],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH uh-huh) (. .))))"
[70],"(ROOT (S (CC and) (, ,) (PP (IN in) (NP (NN fact))) (, ,) (NP (NP (NN many)) (PP (IN of) (NP (PRP$ my) (JJ first) (NNS cousins)))) (VP (VBP are) (ADJP (JJ dead)))))"
[72],"(ROOT (FRAG (CC and) (PP (IN of) (NP (NP (NN course)) (SBAR (S (NP (PRP they)) (VP (VBP have) (NP (NP (PRP$ their) (JJ own) (NNS families)) (CC and) (NP (NNS grandchildren)) (CC and) (NP (NP (DT all)) (NP (DT that))) (, ,)))))))))"
[71],"(ROOT (SINV (FRAG (INTJ (UH Oh))) (, ,) (VP (VBP are)) (NP (PRP they)) (. ?)))"
[73],"(ROOT (S (NP (NP (RB so) (NP (PRP we)) (ADVP (RB really))) (, ,) (ADJP (RB very) (RB rarely) (PP (ADVP (DT all)) (IN of) (NP (PRP us))))) (VP (VBP get) (ADVP (RB together)))))"
[75],"(ROOT (S (CC and) (, ,) (NP (CC and)) (ADVP (PRP we)) (VP (VBP 're) (NP (DT a) (JJ long) (NN way)) (ADVP (RB away))) (, ,)))"
[74],(ROOT (S (VP (VB Get) (PRT (RB together)) (NP (DT any) (JJR more))) (. .)))
[77],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[76],"(ROOT (S (CC and) (SBAR (PRN (, ,) (CC and) (NP (NP (DT the) (JJR younger) (NN generation)) (, ,) (NP (DT the) (JJ next)))) (S (PP (IN like) (NP (NP (PRP$ my) (NN cousin) (POS 's)) (NNS children))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (ADVP (RB very) (RB well)))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[79],"(ROOT (S (CC But) (NP (PRP it)) (VP (, ,))))"
[80],"(ROOT (S (NP (RB so) (PRP it)) (VP (BES 's)) (, ,)))"
[81],"(ROOT (S (NP (PRP I)) (VP (VBP doubt) (SBAR (IN that) (S (NP (DT that)) (VP (MD will) (VP (VB come) (S (VP (TO to) (VP (VB be) (ADVP (RB again)))))))))) (, ,)))"
[78],(ROOT (INTJ (UH uh-huh) (. .)))
[82],"(ROOT (S (CC but) (ADVP (RB as) (RB long) (SBAR (IN as) (S (NP (PRP$ my) (JJS oldest) (NN aunt)) (VP (VBD lived) (NP (PRP we)))))) (, ,) (NP (PRP we)) (VP (VBD got) (ADVP (RB together)) (ADVP (RB once)) (NP (DT a) (NN year))) (. .)))"
[83],"(ROOT (S (NP (PRP I)) (VP (VBP think) (PRN (, ,) (S (NP (PRP I)) (VP (VBP do) (VP (VB think)))) (, ,)) (SBAR (RB now) (S (NP (PRP we)) (VP (VBP have) (VP (VBN noticed) (NP (NP (DT a) (VBG waning)) (PP (IN of) (NP (NN interest))))))))) (, ,)))"
[84],X
[86],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (CC and)) (, ,) (ADVP (CC and)) (VP (ADVP (NNS folks)) (VP (VBP have) (VP (VBN gotten) (S (ADJP (RB so) (JJ mobile)))))) (, ,)))"
[85],"(ROOT (S (S (CC and) (NP (PRP I)) (VP (VBP think) (SBAR (RB as) (S (, ,) (PP (IN as) (NP (NP (NNS parents)) (SBAR (S (VP (VP (VBP get) (ADJP (JJR older))) (CC and) (VP (VBP start) (S (VP (VBG dying) (PRT (RP off)))))))))) (, ,) (NP (PRP I)) (VP (VBP think) (ADVP (RB sometimes))))))) (NP (PRP it)) (VP (VBZ is) (ADJP (JJ hard) (S (VP (TO to) (VP (VB keep) (NP (NP (DT the) (NN interest)) (VP (VBG going)))))))) (. .)))"
"[87, 89]","(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (SBAR (IN like) (S (NP (PRP I)) (VP (VBP have) (NP (NP (NP (DT a) (NN son)) (CC and) (NP (DT a) (NN daughter))) (CC and) (NP (NP (CD two) (NNS nephews)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (ADJP (JJ grown)))))) (CC and) (NP (NP (DT a) (NN brother)) (SBAR (WHNP (WP who)) (S (VP (VBZ has) (NP (NP (DT a) (JJ new) (NN marriage)) (CC and) (NP (DT a) (JJR younger) (NN son))))))))))) (, ,)))))"
[88],(ROOT (INTJ (UH Uh-huh) (. .)))
"[90, 92]","(ROOT (S (S (CC but) (NP (NP (PRP$ my) (NN brother)) (CC and) (NP (PRP$ his) (NN wife))) (VP (VBP live) (PP (IN in) (NP (NNP Nevada))))) (, ,) (S (NP (PRP$ my) (NN daughter)) (VP (VBZ lives) (PP (IN in) (NP (NNP Colorado))))) (, ,) (S (NP (NP (CD one)) (PP (IN of) (NP (PRP$ my) (NNS nephews)))) (VP (VBZ lives) (PP (IN in) (NP (NNP New) (NNP York) (NNP City))))) (, ,) (S (NP (CD one) (NN nephew)) (VP (VBZ lives) (PP (IN in) (NP (NNP Memphis))))) (CC and) (S (NP (PRP$ my) (NN son)) (VP (VBZ lives) (ADVP (RB here))) (, ,))))"
[91],(ROOT (INTJ (UH Uh-huh) (. .)))
[94],"(ROOT (INTJ (UH Yeah) (, ,)))"
[93],"(ROOT (S (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADJP (RB very) (JJ unlikely) (SBAR (S (NP (PRP we)) (VP (MD 'll) (VP (VB have) (NP (DT a) (NN family) (NN reunion)))))))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[96],"(ROOT (INTJ (UH Yeah) (, ,)))"
[97],"(ROOT (PRN (CC and) (S (, ,) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ divorced))) (, ,))))"
[98],"(ROOT (FRAG (CC and) (NP (NP (RB really) (RB only)) (SBAR (S (NP (NP (JJ immediate) (NN family)) (SBAR (S (NP (PRP I)) (VP (VBP have) (VP (VBN left)))))) (VP (VBZ is) (NP (NP (PRP$ my)) (, ,) (NP (PRP$ my)) (, ,))))))))"
[95],(ROOT (S (NP (PRP you)) (ADVP (RB probably)) (VP (VBP do) (ADJP (JJ good) (RB just) (S (VP (TO to) (VP (VB get) (NP (PRP$ your) (JJ immediate) (NN family)) (ADVP (RB together))))))) (. .)))
[100],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[99],(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (NP (DT a) (NN son)) (CC and) (NP (DT a) (NN daughter)))) (. .)))
[101],(ROOT (INTJ (UH uh-huh) (. .)))
[102],(ROOT (S (CC But) (NP (PRP$ my) (NN family)) (VP (BES 's) (ADVP (RB really)) (ADJP (DT all) (JJ dead))) (. .)))
[103],(ROOT (INTJ (UH Uh-huh) (. .)))
[105],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (, ,))))"
[106],(ROOT (S (NP (PRP they)) (VP (VBP 're) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN fun))))) (. .)))
[107],"(ROOT (FRAG (INTJ (UH Well)) (, ,) (NP (PRP$ my) (XX si-) (, ,))))"
[108],"(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (DT a) (NN sister))) (, ,)))"
[109],(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (PRP we)) (VP (VBP have) (NP (NP (DT a) (NN son)) (CC and) (NP (DT a) (NN daughter)))))))))
[104],"(ROOT (S (S (CC But) (NP (PRP it)) (VP (VBD was) (NP (JJ great) (NN pleasure)) (SBAR (IN while) (S (NP (PRP we)) (VP (VBD did) (NP (PRP it))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[110],(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBP have) (NP (CD three) (NNS grandchildren))))))
[112],(ROOT (FRAG (CC and) (NP (NP (PRP$ our) (NN son) (CC and) (NN daughter)) (SBAR (S (VP (VBP are) (DT both) (ADJP (JJ married))))))))
[113],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP$ our)) (ADVP (NN son)) (VP (BES 's) (RB not) (ADJP (IN as) (JJ interested) (PP (IN in) (NP (PRP it)))) (PP (IN as) (NP (PRP$ our) (NN daughter)))) (, ,)))"
[114],"(ROOT (S (CC but) (NP (NP (PRP$ our) (NN daughter)) (, ,) (NP (PRP$ our) (NN daughter))) (VP (VBZ is) (ADJP (RB really) (JJ interested))) (. .)))"
[111],(ROOT (INTJ (UH Uh-huh) (. .)))
[115],"(ROOT (FRAG (CC And) (, ,) (NP (UH uh)) (. .)))"
[116],(ROOT (S (VP (VBZ Does) (SBAR (S (NP (PRP it)) (VP (VBP bother) (NP (PRP you)) (SBAR (IN if) (S (NP (PRP$ your) (NNS children)) (VP (VBP are) (RB not) (ADJP (JJ interested) (PP (IN in) (NP (PRP it))))))))))) (. ?)))
[117],(ROOT (S (NP (PRP I)) (VP (VBP beg) (S (NP (PRP you)) (NP (NN pardon)))) (. ?)))
[119],"(ROOT (FRAG (INTJ (UH Oh)) (, ,) (NP (DT a) (JJ little) (NN bit)) (. .)))"
[118],(ROOT (S (VP (VBZ Does) (SBAR (S (NP (PRP it)) (VP (VBP bother) (NP (PRP you)) (SBAR (IN if) (S (NP (PRP$ your) (NNS children)) (VP (VBP are) (RB not) (ADJP (JJ interested) (PP (IN in) (NP (PRP it))))))))))) (. ?)))
"[120, 122]","(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP wish) (SBAR (IN that) (S (NP (PRP$ our) (NN son)) (VP (VBD was) (SBAR (S (NP (PRP you)) (VP (VBP know))))))))) (, ,)))"
[121],(ROOT (INTJ (UH Uh-huh) (. .)))
"[123, 125]","(ROOT (S (VP (CC and) (, ,) (S (INTJ (UH uh)) (, ,) (NP (CC but)) (, ,) (INTJ (UH uh)) (, ,) (NP (DT the) (NNS cousins)) (VP (VBP are) (ADVP (RBR closer)) (PP (IN to) (NP (NP (NP (PRP$ our) (NN daughter) (POS 's)) (NN age)) (PRN (, ,) (CC and) (, ,) (ADVP (IN than) (PP (IN to) (NP (NP (PRP$ our) (NN son) (POS 's)) (CC and) (NP (NP (RB just) (RB totally) (JJ different)) (, ,) (NP (NN interest)))))) (NP (NN group)) (, ,)))))))))"
[126],"(ROOT (FRAG (CC and) (PP (CC plus) (NP (, ,)))))"
[124],X
[127],"(ROOT (S (CC and) (NP (PRP he)) (BES 's) (ADVP (RB just)) (, ,) (NP (PRP he)) (VP (VP (BES 's) (ADJP (RB newly) (JJ married))) (CC and) (VP (VBZ does) (RB n't) (VP (VB have) (NP (NNS children)))))))"
[128],(ROOT (INTJ (UH Uh-huh) (. .)))
[130],X
[132],X
"[129, 131, 133, 135]","(ROOT (PRN (CC and) (S (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG hoping)))) (, ,)) (SBAR (IN that) (S (SBAR (IN as) (S (NP (PRP they)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (VP (VP (VBP are)) (, ,) (VP (JJ married) (NP (DT a) (JJ little) (NN bit) (RB longer))) (CC and) (VP (VBP have) (NP (NP (NNS children)) (SBAR (IN that) (S (NP (PRP they)) (VP (MD may) (VP (VB be) (ADJP (RBR more) (JJ inclined) (S (VP (TO to) (VP (VB want) (S (VP (TO to) (VP (VB go))))))))))))))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (PP (IN to) (NP (PRP it))))))) (, ,))))"
[134],(ROOT (INTJ (UH Uh-huh) (. .)))
[137],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (WDT what)) (PP (NP (NNS kinds)) (IN of) (NP (NNS things))) (VP (VBP do) (S (NP (PRP you)) (VP (VB do) (S (VP (TO to) (VP (VB try) (S (VP (TO to) (VP (VB get) (S (NP (PRP$ your) (NNS children)) (ADJP (JJ interested)))))))))))) (. ?)))"
[136],(ROOT (S (NP (PRP I)) (VP (VBP know) (NP (DT that))) (. .)))
[139],"(ROOT (S (INTJ (UH Well)) (, ,) (VP (VP (VB talk) (PP (IN to) (NP (PRP them))) (PP (IN about) (NP (PRP it)))) (, ,) (CC and) (VP (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (VB tell) (NP (PRP them)) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (S (NP (PRP we)) (VP (VBP 're) (VP (VBG doing)))))))))) (. .)))"
[138],(ROOT (SBARQ (WHNP (. .)) (SQ (RB Just) (VP (VB talk) (PP (IN to) (NP (PRP them))) (PP (IN about) (NP (PRP it))))) (. ?)))
"[140, 142]","(ROOT (PRN (S (S (SBAR (SINV (FRAG (INTJ (UH Now))) (VP (ADVP (WRB when)) (ADVP (PRP he)) (VBD was) (NP (DT a) (ADJP (ADJP (ADJP (ADJP (XX chil-)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NP (DT a) (NN young))) (PRN (, ,) (INTJ (UH oh)) (, ,))))) (NP (NN preteen)))) (, ,) (NP (PRP you)) (VP (VP (VBP know)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP he)) (VP (VBD was) (PP (IN like) (NP (CD ten)))))))) (CC or) (S (NP (NP (CD twelve)) (NP (PRP he))) (VP (VBD loved) (S (VP (VBG going)))))) (, ,)))"
[143],"(ROOT (S (NP (PRP he)) (VP (VP (VBD had) (NP (NP (DT another) (NN cousin)) (SBAR (S (NP (PRP he)) (VP (VBD was) (ADJP (JJ close) (PP (IN to)))))))) (CC and) (VP (VBD went))) (, ,)))"
[144],"(ROOT (PRN (S (NP (CC but) (NP (NP (DT that)) (NP (NN cousin)))) (ADVP (RB kind) (RB of)) (VP (VB quit) (VP (VBG going)))) (, ,)))"
[145],"(ROOT (S (CC and) (SBAR (IN as) (S (NP (PRP he)) (VP (VBD got) (S (VP (TO to) (VP (VB be) (NP (DT a) (NN teenager)))))))) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP he)) (VP (VBD was) (RB n't) (ADJP (ADJP (RB quite) (RB as)) (, ,) (IN as) (ADJP (JJ interested)))) (. .)))"
[146],"(ROOT (S (NP (PRP He)) (VP (VBD was) (ADJP (RBR more) (JJ interested)) (PP (IN in) (NP (NN rock) (CC and) (NN roll)))) (, ,)))"
[141],(ROOT (INTJ (UH Uh-huh) (. .)))
[147],(ROOT (FRAG (CC and) (NP (NP (DT this)) (SBAR (S (VP (VBZ is) (NP (NP (JJR more) (NN country)) (NP (JJ western) (NN group)))))))))
