[0],"(ROOT (FRAG (INTJ (UH Okay)) (, ,) (NP (NNP Lee)) (. .)))"
[12],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (IN that) (S (NP (NN society)) (VP (MD will) (VP (VB be) (ADJP (JJ willing) (S (VP (TO to) (VP (VB tolerate) (NP (DT the) (JJ current) (NN health) (NN care) (NN crisis)) (PP (IN for) (ADJP (RB too) (JJ long))))))))))))) (. .)))
[8],"(ROOT (S (S (INTJ (UH Well)) (NP (WP what)) (VP (VBZ is) (NP (NP (DT this)) (VP (VBG going) (S (VP (TO to) (VP (VB do) (NP (NP (DT the) (NN insurance) (NNS companies)) (SBAR (WHNP (WP who)) (S (VP (VP (VBP are) (VP (VBG supporting) (NP (DT this) (NN work)) (ADVP (RB now)))) (CC and) (VP (ADVP (RB hopefully)) (VBP are) (VP (VBG doing)))))))))))))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (DT a) (JJ good) (NN job))) (. ?)))"
[13],"(ROOT (S (S (NP (PRP$ Our))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (ADJP (ADJP (JJ physical) (CC and) (JJ mental)) (CC and) (ADJP (ADJP (JJ spiritual) (NN health)) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (NP (PRP it))) (VP (BES 's) (ADVP (RB really)) (, ,) (INTJ (UH uh)) (, ,) (S (ADJP (RB very) (JJ costly))))) (. .)))"
[14],(ROOT (INTJ (UH Yes) (. .)))
[15],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (PP (IN as) (NP (DT a) (NN society))) (NP (PRP we)) (VP (VBP are) (VP (VBG paying) (NP (NP (DT a) (JJ staggering) (NN price)) (PP (IN for) (NP (DT this)))))) (. .)))"
"[16, 18]","(ROOT (S (S (INTJ (UH Well)) (NP (DT this)) (VP (VBZ is) (WHNP (WP what)))) (BES 's) (S (VP (VBG bothering) (NP (NP (PRP me)) (, ,) (NP (NP (NNP Lee)) (, ,) (NP (DT another) (NN question))))) (, ,))))"
[19],"(ROOT (SQ (VBP do) (NP (PRP you)) (VP (VB think) (SBAR (IN that) (S (NP (EX there)) (VP (MD should) (VP (VB be) (NP (NP (DT some) (NN control)) (VP (PRN (, ,) (INTJ (UH uh)) (, ,)) (VBN innovated))))))) (PP (JJ such)) (SBAR (IN that) (S (NP (DT the) (NNS doctors)) (VP (VBP are) (RB not) (VP (VBN allowed) (S (VP (TO to) (VP (VB charge) (ADVP (RB ridiculously)) (VP (ADVP (RB over)) (VBN priced) (NP (NNS things))))))))))) (. .)))"
[20],"(ROOT (S (NP (PRP We)) (VP (VBP realize) (SBAR (IN that) (S (PP (IN for) (NP (DT the) (JJ individual) (NN person))) (, ,) (NP (DT some) (NNS things)) (VP (VBP are) (ADJP (RB very) (JJ important)))))) (. .)))"
[17],"(ROOT (FRAG (PP (PRP$ My)) (, ,)))"
[21],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (NP (NN matter)) (PP (PP (IN of) (NP (NN fact))) (, ,) (PP (IN in) (NP (DT some) (NNS respects))) (NP (PRP$ their) (NN life)))) (VP (MD might) (VP (VB depend) (PP (IN on) (NP (PRP it))))) (. .)))"
[22],(ROOT (INTJ (UH Right) (. .)))
[24],(ROOT (INTJ (UH Uh-huh) (. .)))
[25],(ROOT (INTJ (UH Yeah) (. .)))
[27],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[23, 26]","(ROOT (S (S (CC But) (, ,) (PP (IN by) (NP (NP (DT the) (JJ same) (JJ token)) (SBAR (WHNP (NP (DT some)) (PP (IN of) (NP (DT these) (NNS charges)))) (S (NP (PRP they)) (VP (VBP make) (PP (IN for) (FRAG (INTJ (UH well)) (, ,) (NP (JJ minor) (NNS endeavors))))))))) (, ,) (VP (MD shall) (NP (PRP we)) (S (VP (VB say) (PP (IN on) (NP (DT the) (NNS parts))))))) (NP (DT the) (NNS doctors)) (VP (VBP are) (ADVP (RB really)) (ADJP (IN out) (PP (IN of) (NP (NN line))))) (. .)))"
[29],(ROOT (S (NP (EX There)) (VP (MD should) (VP (VB be) (NP (NP (DT some) (NN control)) (PP (IN of) (NP (DT that)))))) (. .)))
[31],(ROOT (INTJ (UH Yes)))
[32],"(ROOT (S (CC and) (NP (DT that)) (VP (VBZ is) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (VP (VBG giving) (NP (DT the) (ADJP (ADJP (JJ local)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN insurance) (NNS companies)) (NP (JJ hard) (NNS times))))))) (. .)))"
[33],(ROOT (S (NP (DT That)) (VP (VBZ is) (NP (NP (DT the) (CD one) (NN thing)) (SBAR (S (NP (PRP we)) (VP (VBP have) (NP (NP (DT no) (NN control)) (PP (IN over) (SBAR (S (VP (VBP are) (NP (NP (DT these) (NNS charges)) (SBAR (WHNP (WDT that)) (S (VP (VBP happen) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP go) (PP (IN to) (NP (NNS hospitals))))))))))))))))))))))
[34],(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP get) (NP (NP (NN something)) (VP (VBN done)))))))
"[28, 30]","(ROOT (S (S (NP (EX there)) (VP (VBP are) (NP (NNS abus-)))) (, ,) (NP (PRP they)) (VP (VBP 're) (ADJP (JJ abusive) (PP (IN of) (NP (NNS privileges))))) (. .)))"
[36],(ROOT (INTJ (UH Right) (. .)))
[37],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (NP (DT this)) (SBAR (S (NP (PRP I)) (VP (VBP think))))) (VP (VBZ is) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (WHNP (WDT that)) (S (NP (NP (JJ national) (NN health) (NN care)) (PP (IN of) (NP (NP (DT some) (NN sort)) (PP (IN of) (NP (NP (NP (JJ evolutionary) (NN process)) (PP (IN over) (NP (DT the) (JJ next) (CD ten)))) (, ,) (CC or) (NP (CD twenty) (CC or) (CD thirty) (NNS years))))))) (VP (MD will) (VP (VB address))))))))) (. .)))"
[38],"(ROOT (S (SBAR (IN Because) (S (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (DT this)) (VP (VBZ is))))))) (, ,) (VP (VBN addressed) (PP (IN by) (PRN (, ,) (INTJ (UH uh)) (, ,))) (PP (IN in) (NP (NNP Canada)))) (. .)))"
[39],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP have) (NP (NP (DT a) (JJ good) (NN friend)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (DT a) (NN physician)) (VP (VBG practicing) (PP (IN in) (NP (NNP Canada)))))))))) (. .)))"
[40],"(ROOT (S (CC And) (NP (PRP they)) (VP (VBD made) (NP (DT the) (NN transition)) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[41],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP think) (ADJP (IN that) (WHNP (WHNP (DT the)) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))"
[35],(ROOT (S (CC and) (NP (PRP they)) (VP (VBP want) (S (VP (TO to) (VP (VB charge) (NP (CD twenty) (CD thousand) (NNS dollars)) (PP (IN for) (NP (PRP it))))))) (. .)))
[43],(ROOT (INTJ (UH Yes) (. .)))
[45],(ROOT (S (NP (PRP We)) (VP (VBP have) (VP (VBN had) (NP (NP (JJ several)) (PP (IN of) (NP (PRP them)))))) (. .)))
"[42, 44]","(ROOT (FRAG (PP (IN for) (NP (NP (NN example) (DT the) (NN duplication)) (PP (IN of) (NP (NP (JJ magnetic) (NN resonance) (NNS imageries)) (FRAG (INTJ (UH uh))))))) (, ,)))"
[47],"(ROOT (S (NP (PRP I)) (VP (VBP 've) (PRN (, ,) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN had) (NP (CD one)))))) (NP (PRP myself)))))"
[48],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP they)) (VP (VBP 're) (NP (JJ wonderful) (NN technology))) (, ,)))"
[49],(ROOT (S (CC but) (NP (NNS cities)) (VP (VBP have) (NP (NP (NP (QP (CD three) (CC or) (CD four) (JJR more))) (SBAR (IN than) (S (NP (PRP they)) (VP (VBP need))))) (CC or) (NP (NP (QP (CD three) (CC or) (CD four) (NNS times)) (DT the) (NN number)) (SBAR (S (NP (PRP they)) (VP (VBP need))))))) (. .)))
[50],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (SBAR (WHNP (WP what)) (S (NP (DT the) (NN market) (NN place)) (VP (VBZ does) (RB n't) (VP (VB do) (PP (IN because) (PP (IN of) (NP (DT the) (NN way)))))))) (NP (DT the) (NN system)) (VP (VBZ has) (VP (VBN worked))))))))"
[51],"(ROOT (PRN (CC and) (S (S (NP (PRP it)) (VP (VBZ does) (RB n't) (VP (VB allocate) (NP (NNS resources)) (ADVP (RB oftenly)) (SBAR (IN because) (S (NP (EX there)) (VP (VBZ is) (NP (DT a) (NN tendency)))))))) (, ,) (S (FRAG (INTJ (UH uh)) (, ,) (ADVP (IN at) (JJS least))) (NP (EX there)) (VP (VBZ has) (VP (VBN been) (NP (DT a) (NN tendency) (S (VP (TO to) (VP (VB drive) (PRT (RP up)) (NP (NP (DT the) (NN price)) (PP (IN of) (NP (JJ medical) (NN care)))) (SBAR (ADVP (RB primarily)) (IN because) (S (NP (DT the) (NN insurance) (NNS companies)) (VP (MD could) (VP (VB pass) (PRT (RP on)) (NP (DT the) (NNS bills))))))))))))) (, ,))))"
[52],(ROOT (S (CC but) (NP (PRP it)) (VP (HVS 's) (VP (VBN begun) (S (VP (TO to) (VP (VB change) (NP (NP (DT all)) (PP (IN of) (NP (DT that))))))))) (. .)))
[53],"(ROOT (FRAG (NP (DT The) (NNS people)) (S (VP (VP (VBG paying) (NP (DT the) (NNS bills))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[46],(ROOT (S (NP (NP (PRP$ My) (NN wife)) (CC and) (NP (PRP I))) (DT both) (VP (VBP have) (VP (VBN had) (NP (DT that)) (ADVP (RB recently)))) (. .)))
[54],"(ROOT (S (NP (NP (NNS employers)) (ADVP (RB ultimately))) (, ,) (VP (VBP have) (VP (VBN begun) (S (VP (TO to) (VP (VB squawk) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP have) (VP (VBN seen) (S (NP (PRP$ their) (NN health) (NN care) (NN cost)) (VP (VB rise) (NP (CD two) (CD hundred) (NN percent)) (PP (IN in) (NP (DT the) (JJ past) (CD ten) (NNS years)))))))))))))) (. .)))"
[56],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (NN evolution)) (VP (MD will) (VP (VB be) (ADJP (JJ interesting))))))) (. .)))"
[57],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (NNP Hawaii)) (VP (VBZ has) (NP (NP (DT a) (NN system)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (ADVP (RB apparently))))))) (VBG working)))"
[58],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (MD will) (VP (VB be) (ADJP (JJ interesting) (S (VP (TO to) (VP (VB see) (NP (WRB how)))))) (, ,) (SBAR (WHADVP (WRB how)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (RB much) (JJR more) (NN attention)) (NP (PRP we))) (VP (VBP pay) (PP (IN to) (NP (DT that)))))))) (. .)))"
[59],"(ROOT (S (NP (PRP I)) (VP (VBP do) (NP (VB think) (IN though)) (SBAR (IN that) (S (NP (PRP it)) (VP (VBZ is) (ADJP (ADJP (JJ inevitable) (RB primarily) (PP (IN because) (PP (IN of) (NP (DT the) (NN pain))))) (PRN (, ,) (INTJ (UH uh)) (, ,))) (SBAR (WHNP (WDT that)) (S (NP (NNS people)) (VP (VBP are) (VP (VBG feeling))))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (PP (IN under) (NP (DT the) (NNS circumstances)))))))) (. .)))"
[60],"(ROOT (NP (S (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBP believe) (SBAR (IN that) (S (NP (PRP it)) (VP (MD will) (VP (VB contribute) (PP (IN to) (NP (NN something))) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (MD would) (ADVP (IN at) (NP (DT this) (NN point))) (VP (VB call) (NP (JJ national) (NN health) (NN care)))))) (, ,) (SBAR (IN whether) (S (NP (PRP it)) (VP (BES 's) (VP (VBN subsidized) (PP (IN by) (NP (DT the) (NN government))))))))))))) (CC and) (S (NP (CC and)) (VP (VBN operated) (PP (IN by) (NP (JJ private) (NNS insurers))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))"
[61],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))
[62],(ROOT (S (NP (PRP I)) (VP (VBP like) (NP (DT that) (NN idea))) (. .)))
[63],(ROOT (S (NP (PRP I)) (VP (VBP tend) (S (VP (TO to) (VP (VB be) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT those) (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBZ believes) (SBAR (S (NP (DT the) (NN market) (NN place)) (VP (MD can) (PP (IN under) (NP (NP (JJ varied) (NNS circumstances)) (PP (IN with) (NP (DT the) (NN profit) (NN incentive))))) (VP (VB work) (ADVP (RB very) (RB very) (RB well)))))))))))))))) (. .)))
[55],(ROOT (INTJ (UH Yeah) (. .)))
[65],"(ROOT (S (INTJ (UH See)) (, ,) (NP (DT that)) (, ,) (ADVP (DT that)) (VP (VBZ bothers) (NP (PRP me)) (PP (IN about) (NP (NP (DT the) (NN government)) (FRAG (INTJ (UH see)))))) (, ,)))"
[64],"(ROOT (S (FRAG (INTJ (UH Uh)) (, ,) (NP (PRP I))) (, ,) (NP (PRP we)) (VP (MD would) (VP (VB be) (ADJP (ADJP (NP (DT a) (NN lot)) (JJR better)) (ADVP (RP off)) (SBAR (IN if) (S (NP (PRP we)) (, ,) (SBAR (IN if) (S (NP (PRP we)))) (, ,) (VP (VBD contracted) (NP (PRP$ our) (JJ national) (NN defense)) (PP (IN to) (NP (NP (DT a) (NN group)) (SBAR (WHNP (WP who)) (S (NP (RB rather) (WDT that)) (VP (VBD operated) (PP (IN as) (NP (DT a) (NN government) (NN entity))) (SBAR (IN because) (S (NP (PRP we)) (VP (MD would) (ADVP (RB probably)) (VP (VB have) (NP (ADJP (RB much) (JJR less)) (NN waste))))))))))))))))) (. .)))"
[67],"(ROOT (NP (S (S (INTJ (UH Well)) (NP (DT that)) (VP (BES 's))) (, ,) (NP (DT that)) (VP (BES 's) (NP (NP (DT the) (NN problem)) (PP (IN with) (NP (NN government)))) (, ,) (INTJ (UH uh)) (, ,) (S (NP (NP (NN administration)) (PP (IN of) (NP (DT these) (NNS programs)))))))))"
[68],(ROOT (S (CC and) (NP (DT that)) (VP (VBZ is) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (PP (IN as) (NP (NN society))) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VB have) (S (VP (TO to) (VP (VB deal) (ADVP (RB with)))))))))))))))) (. .)))
[66],"(ROOT (FRAG (INTJ (UH uh)) (, ,) (NP (PRP$ my) (, ,))))"
[69],(ROOT (S (NP (NN Government)) (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB have) (S (VP (TO to) (VP (VB change) (PP (IN in) (NP (DT this) (NN regard))))))))))) (. .)))
[71],"(ROOT (S (S (NP (PRP You)) (VP (VBP know))) (, ,) (NP (DT that)) (VP (VBZ is) (ADVP (RB really)) (NP (NP (DT a) (JJ tough) (NN one)) (PP (IN for) (NP (PRP me)))) (S (VP (TO to) (VP (VB answer))))) (. .)))"
[72],"(ROOT (S (S (NP (PRP I)) (VP (VBP do) (RB n't))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (MD would) (VP (VB like) (S (VP (TO to) (VP (VB see) (NP (NP (DT the) (JJS greatest) (NN improvement)) (PP (IN in) (NP (NN management)))))))))) (. .)))"
[73],"(ROOT (S (NP (PRP$ My)) (, ,) (NP (NP (PRP$ my)) (, ,) (NP (PRP$ my) (NN field))) (VP (VBZ is) (NP (DT the) (JJ cognitive) (NNS sciences)))))"
[74],"(ROOT (S (CC and) (NP (PRP I)) (VP (VBP recognize) (SBAR (IN that) (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (DT these) (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBN done)))))))) (, ,) (VP (VBP are) (VP (VBN done)) (, ,) (INTJ (UH uh)) (, ,) (PP (IN as) (NP (NP (DT a) (NN function)) (PP (IN of) (NP (NP (DT the) (NN operating) (NNS systems)) (PP (IN in) (NP (NN place))))))))))) (. .)))"
[75],(ROOT (S (CC And) (NP (DT those) (NN operating) (NNS systems)) (VP (VBP have) (S (VP (TO to) (VP (VB change)))))))
[76],(ROOT (PRN (CC and) (S (NP (NP (QP (CC and) (IN as))) (SBAR (S (NP (PRP we)) (VP (VBP become) (S (ADJP (RBR more) (JJ efficient) (PP (IN in) (NP (NN developing) (NN machine) (NN operating) (NNS systems)))) (NP (PRP we))))))) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB develop) (NP (ADJP (RBR more) (JJ efficient)) (NN human) (NN operating) (NNS systems))))))))))
[77],"(ROOT (FRAG (CC and) (ADVP (ADVP (RB so) (NP (NP (DT a) (NNP State)) (CC or) (NP (JJ federal)))) (SBAR (WHNP (NP (NN application)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (MD could) (VP (VB work))))) (. .))))"
[78],"(ROOT (S (S (INTJ (UH Uh)) (, ,) (NP (PRP it)) (ADVP (DT all)) (VP (VBZ depends) (PP (IN upon) (NP (DT the) (NN way))))) (NP (PRP you)) (VP (VBP structure) (NP (DT the) (NN environment))) (. .)))"
