[0],"(ROOT (S (S (NP (PRP I)) (ADVP (RB just)) (VP (VBD pressed) (NP (PRP$ my)))) (, ,) (FRAG (INTJ (UH uh))) (. .)))"
"[11, 13]","(ROOT (S (NP (PRP I)) (VP (VBD was) (VP (VBG wondering) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBD thought) (PP (IN about) (S (NP (DT that)) (VP (VP (VBG making) (NP (DT the) (NN general))) (PRN (, ,) (INTJ (UH uh)) (, ,))))) (S (VP (VBG getting) (NP (DT a) (NN general)) (PP (IN into) (NP (NNS politics)))))))))) (. .)))"
[15],(ROOT (INTJ (UH Right) (. .)))
[16],"(ROOT (NP (S (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP 've))) (, ,) (NP (PRP I)) (VP (VBP 've) (VP (VBN been) (VP (VBG thinking) (PP (IN about) (NP (PRP it)) (, ,))))))))"
[17],"(ROOT (S (CC and) (NP (PRP I)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (ADVP (RB kind) (RB of)) (VP (VBP get) (SBAR (S (NP (DT a) (NN kick)) (VP (ADVP (IN out) (PP (IN of) (NP (PRP they)) (ADVP (RB always)))) (VBP want) (NP (DT the) (NN hero)))))) (, ,)))"
[18],"(ROOT (FRAG (PP (DT those)) (, ,)))"
[19],(ROOT (S (NP (PRP we)) (VP (VBP 're) (VP (VBG looking) (PP (IN for) (NP (DT a) (NN hero))))) (. .)))
[20],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (NNP TIME)) (ADVP (NN magazine)) (VP (VBD was) (VP (VBG saying) (SBAR (IN that) (S (PP (IN in) (NP (NN essence))) (NP (NP (DT the) (NN general) (POS 's)) (NN staff)) (VP (VBD was) (VP (VBG comparing) (PP (IN to) (NP (JJ corporate) (NNS presidents))))))))) (, ,)))"
[14],"(ROOT (S (NP (PRP They)) (VP (VBP want) (NP (PRP him)) (SBAR (IN because) (S (NP (PRP he)) (VP (BES 's) (ADJP (JJ popular))))) (, ,) (SBAR (RB not) (IN because) (S (NP (PRP he)) (VP (MD can) (VP (VB do) (NP (DT the) (NN job))))))) (. .)))"
[21],"(ROOT (S (S (CC and) (NP (PRP they)) (VP (VBD said) (PP (IN in) (ADJP (JJ general))))) (, ,) (NP (NNS generals)) (VP (VBP are) (ADJP (RBR more) (JJ familiar) (PP (IN with) (NP (NN training)))) (, ,) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP believe) (PP (IN in) (NP (NN training))) (NP (JJR more)))))) (. .)))"
[23],"(ROOT (S (NP (PRP They)) (VP (VBP are) (ADJP (ADJP (RB much) (RBR more) (JJ educated)) (PP (IN than) (NP (DT the) (JJ average) (JJ corporate) (NN president))))) (, ,)))"
[24],"(ROOT (S (CC and) (RB so) (NP (PRP they)) (ADVP (RB really)) (VP (VBD were) (ADJP (RB very) (JJ positive) (PP (IN on) (NP (NP (NP (DT a) (NN general) (POS 's)) (NN staff) (NN person)) (VP (VBG having) (NP (NP (DT a)) (, ,) (NP (NP (DT a) (ADJP (RB very) (RB much) (JJR better)) (NN education)) (PP (IN than) (NP (DT the) (ADJP (ADJP (JJ average)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (JJ corporate) (NN president)))))))))) (. .)))"
[22],(ROOT (INTJ (UH Uh-huh) (. .)))
[25],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP I)) (VP (VBD thought) (SBAR (FRAG (INTJ (UH well)) (, ,) (ADVP (RB maybe))))) (. .)))"
[27],"(ROOT (NP (NP (UH Well)) (PRN (, ,) (FRAG (NP (DT that)) (, ,) (ADVP (RB too))) (, ,))))"
[28],"(ROOT (FRAG (NP (DT that)) (, ,) (ADVP (RB too) (. .))))"
[29],"(ROOT (S (CC And) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (PRP they)) (VP (VBP talk) (PP (IN about) (NP (DT the) (NNP Army))))))"
[30],(ROOT (FRAG (CC and) (PP (IN because) (PP (IN of) (NP (DT the) (NN war))))))
[31],"(ROOT (PRN (CC and) (SBAR (WHADVP (WRB why)) (S (VP (VBD did) (S (NP (NP (NP (PRP we)) (SBAR (S (VP (VB win))))) (, ,) (CC and) (NP (NP (DT all)) (NP (DT that))) (, ,))))))))"
[32],(ROOT (S (CC and) (NP (PRP they)) (VP (VBD talked) (PP (IN about) (SBAR (WHADVP (WRB how)) (S (NP (DT the) (NN training)) (VP (VBD was) (ADJP (RB so) (JJ important))))))) (. .)))
[33],"(ROOT (FRAG (CC And) (NP (NP (DT that)) (ADJP (BES 's) (RB so) (JJ important) (PP (IN in) (NP (NN industry))) (, ,)))))"
[34],"(ROOT (S (ADVP (RB so)) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (PRP they)) (VP (VP (VBP 're) (ADJP (JJ liable) (S (VP (TO to) (VP (VB be) (NP (INTJ (JJ right) (. .)) (NP (DT That) (NNS generals)))))))) (, ,) (NP (NP (NNS generals)) (PP (IN in) (NP (DT the) (NN service)))))) (, ,)))))"
[26],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (ADVP (RB probably)) (VP (VBP have) (NP (DT a) (JJR better) (NN education)) (PP (IN than) (NP (DT the) (JJ average) (NN congressman))))))) (. .)))"
[36],"(ROOT (S (NP (PRP He)) (, ,) (NP (NP (PRP he)) (, ,) (NP (PRP you))) (VP (VBP know) (PRN (, ,) (S (NP (PRP we)) (VP (VBP know) (NP (PRP he)) (PP (BES 's) (NP (DT a) (JJ good) (NN leader))))) (, ,)))))"
[37],(ROOT (S (NP (PRP we)) (VP (VBP know) (NP (PRP he)) (PP (BES 's) (NP (DT a) (JJ good) (NN organizer)))) (. .)))
[38],"(ROOT (S (NP (DT The) (NN question)) (VP (VBZ is) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know) (, ,) (SBAR (SINV (MD can) (NP (PRP he)) (VP (VB be) (NP (NP (DT the) (NN man)) (SBAR (WHNP (WP who)) (S (VP (BES 's) (ADJP (RB ultimately) (JJ responsible))))))))))))) (. .)))"
[39],"(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (SBARQ (SBAR (IN like) (S (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBD said) (SBAR (S (VP (VBZ is) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know)))))))))) (, ,) (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS times)) (PP (IN in) (NP (PRP$ his) (NNS interviews)))))) (NP (PRP he)) (VP (VBD was) (VP (VBG talking) (IN about)))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (NNS people)) (VP (VBG asking) (SBAR (WHADVP (WRB why)) (S (VP (VBP are) (S (NP (PRP you)) (VP (VBG doing) (NP (DT this))))))))))) (, ,) (WHADVP (WRB why)) (SQ (VBP are) (NP (PRP you)) (VP (VBG doing) (NP (DT that)))))) (. .)))"
[40],"(ROOT (S (S (NP (PRP He)) (VP (VBZ says))) (, ,) (NP (PRP I)) (VP (VBP 'm) (VP (VBG following) (NP (NP (DT the) (NNS orders)) (PP (IN of) (NP (PRP$ my) (NN president)))))) (. .)))"
[41],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (RB not) (NP (NP (DT the) (NN one)) (SBAR (WHNP (WP who)) (S (VP (VBZ writes) (NP (DT the) (NNS orders))))))) (. .)))
[35],"(ROOT (S (CC and) (NP (NNP Schwartzkopf)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VP (VBP know)) (, ,) (VP (MD might) (VP (VB make) (NP (DT a) (ADJP (ADJP (JJ good)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN politician)))) (, ,) (SBAR (SBAR (IN whether) (S (NP (PRP it)) (VP (VBP be) (NP (NNP Governor))))) (CC or) (SBAR (WHADVP (WDT whatever)) (, ,) (S (NP (PRP you)) (VP (VBP know)))))) (. .)))"
[43],"(ROOT (INTJ (UH Yeah) (, ,)))"
[44],"(ROOT (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ interesting)) (SBAR (WHADVP (WRB how)) (S (NP (PRP they)) (VP (VBP say) (SBAR (IN that) (S (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP 're) (ADVP (RB usually)) (NP (DT the) (JJ top) (NNS dogs))))) (, ,) (NP (PRP you)) (VP (VBP know)))))))) (, ,)))"
[42],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADVP (RB just)) (NP (NP (DT the) (NN one)) (SBAR (WHNP (WP who)) (S (VP (VBZ follows) (NP (PRP them))))))) (. .)))
[45],"(ROOT (S (NP (NN everyone)) (VP (VBZ has) (NP (NP (DT a) (NN boss)) (, ,) (PP (IN of) (NP (NN course))))) (. .)))"
[46],"(ROOT (S (S (NP (PRP You)) (VP (VBP know))) (, ,) (NP (NNP Schwartzkopf)) (VP (VBD was) (VP (VBN ordered) (S (VP (TO to) (VP (VB get) (NP (NNP Iraq)) (ADVP (IN out) (PP (IN of) (NP (NNP Kuwait))))))))) (. .)))"
[48],"(ROOT (S (CC And) (SBAR (RB so) (S (NP (PRP he)) (VP (VP (VBD went) (PP (IN to) (NP (DT the) (NNP President)))) (CC and) (VP (VBD said))))) (, ,) (INTJ (UH okay)) (, ,) (NP (RB here)) (VP (BES 's) (SBAR (WHADVP (WRB how)) (S (NP (PRP I)) (VP (VBP want) (S (VP (TO to) (VP (VB do) (NP (PRP it))))))))) (. .)))"
[47],(ROOT (INTJ (UH Yeah) (. .)))
[50],"(ROOT (INTJ (UH No) (, ,)))"
[51],"(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (JJ true))) (, ,)))"
[49],(ROOT (S (CC But) (NP (PRP he)) (VP (VBD was) (RB n't) (NP (NP (DT the) (NN one)) (SBAR (WHNP (WDT that)) (S (VP (VBD decided) (NP (NP (NNP Iraq)) (VP (VBN needed) (S (VP (TO to) (VP (VB get) (PRT (IN out)) (PP (IN of) (NP (NNP Kuwait))))))))))))) (. .)))
[52],(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (JJ true))) (. .)))
[53],(ROOT (INTJ (UH Uh-huh) (. .)))
[54],"(ROOT (S (FRAG (INTJ (UH Uh)) (, ,) (NP (PRP you))) (, ,) (NP (PRP you)) (VP (VBP pick) (NP (CD one))) (. .)))"
[56],"(ROOT (S (NP (PRP I)) (ADVP (RB just)) (VP (VBD thought) (PP (IN of) (NP (NP (DT that) (CD one)) (FRAG (WHADVP (WRB when))))) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBD brought) (PRT (RP up)) (PP (IN about) (NP (NNS politics))))))) (. .)))"
[55],X
[57],"(ROOT (S (NP (DT That)) (VP (VBD was) (, ,) (INTJ (UH uh)) (, ,) (ADJP (RB pretty) (JJ easy)))))"
[59],"(ROOT (S (NP (PRP you)) (VP (VBP do) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB pick) (ADJP (JJ Democratic) (CC or) (JJ Republican))))))) (, ,)))"
[60],"(ROOT (S (NP (PRP you)) (VP (MD can) (VP (VB pick) (NP (NP (NN anything)) (SBAR (S (NP (PRP you)) (VP (VBP want))))))) (, ,)))"
[58],(ROOT (INTJ (UH Yeah) (. .)))
[62],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (NP (DT the) (NN thing)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG wondering) (IN about)))))) (VP (VBZ is) (SBAR (WHADVP (WRB how)) (S (NP (PRP we)) (VP (VBP get) (NP (DT a) (JJ new) (NN congress)))))) (. .)))"
[63],"(ROOT (SBARQ (WHADVP (WRB How)) (SQ (VBP do) (NP (PRP we)) (VP (VB get) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT these) (NNS guys)) (SBAR (WHNP (WDT that)) (S (VP (VBP have) (VP (VBN been) (PP (IN in) (NP (RB there))) (PP (IN for) (ADVP (RB so) (JJ long)))))))))) (, ,)))))"
[61],(ROOT (S (VP (VB go) (ADVP (RB ahead))) (. .)))
[64],(ROOT (SBARQ (WHADVP (WRB how)) (SQ (VBP do) (NP (PRP we)) (VP (VB get) (S (NP (PRP them)) (VP (TO to) (RB not) (VP (VB get) (UCP (VP (VBN reelected) (PP (IN over))) (CC and) (ADJP (IN over) (ADVP (RB again))))))))) (. .)))
[65],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP have) (NP (NP (DT an) (JJ easy) (NN answer)) (SBAR (WHPP (IN for) (WHNP (WHNP (DT that)) (PRN (, ,) (INTJ (UH oh)) (, ,)))) (S (NP (PRP I)) (VP (VBP wish) (SBAR (S (NP (PRP they)) (VP (MD would) (VP (VB do) (NP (PRP it))))))))) (, ,) (SBAR (S (VP (VBZ is) (NP (DT that) (VP (NN limit) (NP (PRP it)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (PP (IN to) (NP (CD eight) (CC or) (CD ten) (NNS years)))) (NN max))))))) (. .)))"
[66],(ROOT (INTJ (UH Yeah) (. .)))
[68],"(ROOT (S (NP (PRP I)) (VP (XX th-)) (, ,)))"
[69],(ROOT (INTJ (UH yeah) (. .)))
[71],(ROOT (INTJ (UH Yeah) (. .)))
[72],"(ROOT (S (NP (DT That)) (VP (MD may) (VP (VB be) (NP (PRP$ our) (JJ only) (NN answer)))) (, ,)))"
[73],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP do) (RB n't) (ADVP (RB really)) (VP (VB like) (NP (PRP it)))) (. .)))
"[67, 70]","(ROOT (S (NP (PRP You)) (VP (VP (VBP know)) (, ,) (SBAR (SBAR (IN whether) (S (NP (DT that)) (VP (BES 's) (NP (CD two) (CD five) (NN year) (NNS terms))))) (CC or) (SBAR (WHADVP (WDT whatever))))) (. .)))"
[74],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB like) (NP (DT the) (NN fact)) (SBAR (IN that) (S (NP (DT the) (NNP President)) (VP (VBZ is) (ADJP (JJ limited) (PP (IN in) (NP (NP (DT the) (NN number)) (PP (IN of) (NP (NNS terms)))))) (SBAR (S (NP (PRP he)) (VP (MD can) (VP (VB serve)))))))))) (. .)))
[76],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (IN if) (S (NP (DT the) (NNP President) (, ,)) (VP (VB be) (S (NP (PRP him)) (NP (NNP Republican) (CC or) (NNP Democrat))))))) (, ,)))"
[75],"(ROOT (S (S (INTJ (UH Oh)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (NP (PRP you)) (VP (VBP 're) (RB not)) (. .)))"
"[77, 79]","(ROOT (S (S (NP (PRP I)) (VP (VBP think) (SBAR (IN if) (S (NP (DT the) (NNP President)) (VP (MD can) (VP (VB prove) (SBAR (IN that) (S (NP (PRP he)) (VP (BES 's) (ADJP (JJ popular))))))))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (SBAR (IN that) (S (NP (PRP he)) (VP (MD can) (VP (VB do) (NP (DT the) (NN job)) (ADVP (RB then)))))))) (NP (DT the) (NNS people)) (VP (MD should) (VP (VB be) (VP (VBN allowed) (S (VP (TO to) (VP (VB elect) (NP (PRP him)) (ADVP (ADVP (RB as) (RB often)) (SBAR (IN as) (S (NP (PRP they)) (VP (VBP want))))))))))) (. .)))"
[80],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (DT the) (NN reason)) (SBAR (WHADVP (WRB why)) (S (NP (PRP we)) (VP (VBP 've) (VP (VBN got) (NP (DT these) (NNS guys)) (PP (IN in) (NP (NNP Congress)))))))) (VP (VBZ is) (PP (IN because) (PP (IN of) (NP (DT the) (NN fund) (NN raising) (NNS rules)))))))) (. .)))
[78],(ROOT (INTJ (UH Yeah) (. .)))
[81],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (SBAR (WHADJP (WRB how) (JJ many) (PP (IN of) (NP (DT these) (JJ big) (NN campaign) (NNS contributions)))) (S (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG running) (PRT (RP on)) (NP (DT this) (NN year)))))) (PRN (, ,) (SINV (VBD did) (NP (PRP they)) (VP (VB get) (SBAR (IN after) (S (NP (PRP they)) (VP (VBD were) (VP (VBN elected) (, ,) (ADVP (RB just)))))))) (, ,)) (NP (PRP you)) (VP (VBP know)))) (, ,)) (SBAR (RB just) (IN after) (S (NP (PRP they)) (VP (VBD were) (VP (VBN elected) (ADVP (NP (CD two) (NNS years)) (RB ago))))))) (. .)))"
[83],"(ROOT (NP (NP (RB Basically)) (PRN (ADVP (DT the)) (NP (NNS people)) (, ,))))"
[84],"(ROOT (FRAG (ADVP (RB as) (RB soon)) (SBAR (IN as) (S (NP (PRP they)) (VP (VBP get) (ADJP (VBN elected) (PRN (, ,) (S (NP (DT the) (NNS people)) (VP (VP (VBP dump) (NP (NP (DT all) (NNS kinds)) (PP (IN of) (NP (NP (NN money)) (PP (IN on) (NP (PRP them))))))) (CC and) (VP (VBP say)) (, ,) (S (INTJ (UH Yeah)) (, ,) (INTJ (UH yeah)) (, ,) (NP (PRP you)) (VP (VBP 're) (NP (PRP$ my) (NN friend)))))) (, ,))))))))"
[85],"(ROOT (S (NP (PRP you)) (VP (VBP 're) (NP (PRP$ my) (NN friend))) (, ,)))"
[86],(ROOT (S (CC and) (ADVP (NP (CD two) (NNS years)) (RB later)) (NP (PRP he)) (VP (VBZ remembers) (NP (DT that))) (. .)))
[82],(ROOT (INTJ (UH Yeah) (. .)))
[88],"(ROOT (INTJ (UH Yeah) (, ,)))"
[89],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[90],"(ROOT (S (NP (PRP I)) (VP (VBP do) (PP (IN like) (NP (NP (DT the) (NN limitation)) (PP (IN of) (NP (DT the) (NNP President)))))) (, ,)))"
[91],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (EX there)) (VP (VBZ is) (NP (DT a) (JJ needed) (NN change)))))) (. .)))
[92],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (JJ same) (NN thing)) (VP (MD should) (VP (VB happen) (PP (IN for) (NP (NNP Congress)))))))) (. .)))
[93],"(ROOT (NP (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (MD 'd) (VP (VB lik) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)))))))"
[87],(ROOT (S (CC And) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBD done)))) (VP (VBZ is) (SBAR (S (NP (PRP they)) (VP (VBP 've) (VP (VBN bought) (NP (NP (DT this) (NN congressman)) (PP (IN for) (NP (CD two) (NNS years))))))))) (. .)))
[95],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[94, 97]",(ROOT (S (NP (DT that)) (VP (MD would) (VP (VB be) (NP (NP (PRP$ my) (NN answer)) (PP (IN of) (NP (DT an) (JJ easy) (NN way) (S (VP (TO to) (VP (VB get) (NP (DT these) (NNS guys)) (ADVP (IN out) (PP (IN of) (ADVP (RB there)))) (PP (IN for) (NP (CD twenty) (NNS years))))))))))) (. .)))
[96],(ROOT (INTJ (UH well) (. .)))
[99],"(ROOT (NP (NP (DT That) (BES 's)) (, ,) (NP (NP (DT that)) (PP (BES 's) (NP (DT the) (JJ easy) (NN way)))) (. .)))"
[98],"(ROOT (S (NP (NP (PRP$ My)) (SBAR (S (INTJ (UH God)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (JJ ridiculous)))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[100],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (JJR harder) (NN way)) (ADVP (RB out)) (VP (MD would) (VP (VB be) (S (VP (TO to) (VP (VB make) (NP (NP (NP (DT the) (NNS guys)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (PP (IN in) (NP (RB there))))))) (CC and) (NP (NP (DT the) (NNS guys)) (SBAR (WHNP (WP who)) (S (VP (VBP are) (VP (VBG trying) (S (VP (TO to) (VP (VB get) (PP (IN in) (NP (RB there))) (S (VP (VB run) (PP (IN on) (NP (JJR more) (NN level) (NN ground)))))))))))))))))))))) (. .)))
[101],(ROOT (S (NP (PRP We)) (VP (VBD had)) (. .)))
[103],"(ROOT (S (NP (PRP I)) (VP (VBP think) (S (S (NP (NN voting)) (VP (VBZ is) (, ,) (SQ (VBZ is) (NP (DT a) (NN prob-))))) (, ,) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (VBD had) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (ADJP (ADJP (NN subject) (PP (IN about) (NP (NP (NN voting)) (, ,) (ADVP (CC and))))) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN voting) (NN apathy)) (, ,) (CC or) (NP (NP (NN something)) (PP (IN like) (NP (DT that)))) (, ,)))))))))))))"
[104],"(ROOT (S (CC and) (NP (PRP I)) (VP (VBP think) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (DT the) (NN voting) (NNS rules)) (VP (VBP need) (S (VP (TO to) (VP (VB be) (VP (VBN changed) (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (VBP have) (NP (DT a) (ADJP (RB little) (JJR more)) (NN time))))))))))))) (. .)))"
[102],"(ROOT (S (NP (DT That)) (VP (BES 's) (X (WP what)) (NP (NP (NP (NP (DT the) (NN financing) (NNS rules)) (CC and) (NP (DT the))) (, ,) (INTJ (UH uh)) (, ,) (NP (DT the) (NN mailing) (NNS rules)) (CC and) (NP (NP (DT the) (NN size)) (PP (IN of) (NP (DT the) (NN office) (NN staff))))) (CC and) (NP (PDT all) (DT that) (NN stuff)))) (. .)))"
[105],"(ROOT (S (S (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB believe) (SBAR (IN that) (S (NP (NP (DT a) (NN country)) (NP (PRP$ our) (JJ big))) (VP (VBZ votes) (PP (IN for) (NP (NP (DT a) (NNP President)) (PP (IN from) (NP (CD seven) (RB o'clock))) (PP (IN in) (NP (NP (DT the) (NN morning)) (PP (IN til) (NP (CD seven) (RB o'clock))))))) (PP (IN at) (NP (NN night))))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[107],"(ROOT (S (PP (IN Of) (NP (NN course))) (NP (PRP they)) (VP (VBP have) (NP (NP (NN absentee)) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (VP (VBG getting) (S (VP (TO to) (VP (VB be) (ADJP (ADJP (JJR more)) (, ,) (ADJP (NP (DT a) (NN lot)) (JJR easier)) (, ,)))))))))))))"
[108],"(ROOT (S (CC and) (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP vote) (ADVP (IN as) (RB often)) (PP (IN on) (NP (NN absentee))) (SBAR (IN as) (S (NP (PRP I)) (VP (MD can) (SBAR (IN because) (S (NP (PRP it)) (VP (BES 's) (ADJP (RB so) (JJ easy)) (ADVP (RB now))))))))) (. .)))"
[109],"(ROOT (S (CC But) (, ,) (NP (PRP I)) (VP (VBP think) (, ,) (S (INTJ (UH gee) (UH whiz)) (, ,) (NP (PRP you)) (VP (MD could) (VP (VB make) (NP (PRP it)) (NP (QP (DT a) (NN couple)) (NNS days)))))) (. .)))"
[106],(ROOT (INTJ (UH Yeah) (. .)))
[111],(ROOT (INTJ (UH Yeah) (. .)))
"[110, 112]","(ROOT (S (NP (PRP It)) (VP (BES 's) (ADVP (RB just)) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (ADVP (RB really)) (VBP want) (NP (NP (DT the) (NN majority)) (PP (IN of) (NP (DT the) (NNS people)))) (S (VP (TO to) (VP (VB vote) (S (RB then) (VP (VB give) (NP (PRP them)) (NP (NP (DT a) (NN couple)) (PP (IN of) (NP (NNS days))))))))))))) (. .)))"
[114],"(ROOT (INTJ (UH Yeah) (, ,)))"
[113],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP think) (NP (NP (DT a) (NN lot)) (SBAR (S (NP (JJR more) (NNS people)) (VP (MD could) (VP (VB vote) (SBAR (IN if) (S (NP (PRP they)) (VP (VBD were) (ADVP (RB somehow)) (VP (VBN persuaded) (SBAR (IN that) (S (NP (PRP it)) (VP (BES 's) (NP (NP (NN something)) (PP (JJ worth) (S (VP (VBG caring) (ADVP (RB about))))))))))))))))))) (. .)))"
[115],(ROOT (INTJ (UH yeah) (. .)))
[116],"(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (PP (IN like)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (S (NP (NP (DT the)) (, ,) (NP (NP (NP (DT the) (JJ recent) (NN election)) (PP (IN about) (SBAR (WHADVP (WRB how)) (S (NP (DT the) (NNP Dallas) (NNP City) (NNP Council)) (VP (MD should) (VP (VB be) (VP (VBN made) (PRT (RP up))))))))) (, ,) (NP (NP (DT that) (NN election)) (NP (JJ last) (NNP December))))))) (. .)))"
[118],"(ROOT (INTJ (UH Yeah) (, ,)))"
[117],(ROOT (SQ (VBP Are) (NP (PRP you)) (PP (IN in) (NP (NNP Dallas))) (. ?)))
