[0],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (VP (VBP 'm)) (, ,)))"
"[27, 29]","(ROOT (S (XX MUMBLEx) (NP (PRP$ my) (NN wife)) (ADVP (RB also)) (VP (VBZ gets) (NP (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT the) (NN food) (NNS magazines))) (. .) (NP (FW BON) (FW APPETITE)) (, ,)) (CC and) (NP (NP (NNP FOOD) (CC AND) (NNP WINE)) (CC and) (NP (NNP GOURMET))))) (. .)))"
[33],(ROOT (INTJ (UH Yeah) (. .)))
[32],(ROOT (INTJ (UH Right) (. .)))
"[34, 36]",(ROOT (S (CC And) (NP (PRP she)) (ADVP (RB still)) (VP (VBZ likes) (S (VP (TO to) (VP (VB get) (NP (NP (NNP TIME)) (SBAR (WHNP (WDT which)) (S (NP (PRP I)) (VP (VBP 've) (ADVP (RB never)) (VP (VBD liked) (ADVP (RB very) (RB much)))))))))))))
[35],(ROOT (INTJ (UH Yeah) (. .)))
[38],(ROOT (INTJ (UH Yeah) (. .)))
[39],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't)) (, ,)))"
[40],"(ROOT (S (NP (PRP I)) (VP (, ,))))"
[41],"(ROOT (S (SBAR (IN if) (S (S (NP (PRP I))) (, ,) (NP (PRP you)) (VP (VBP know)))) (, ,) (SBAR (IN if) (S (NP (PRP I)) (VP (VBP happen) (S (VP (TO to) (VP (VB find) (NP (PRP it)))))))) (, ,) (NP (PRP I)) (VP (MD 'll) (VP (VP (VB go) (ADVP (RB ahead))) (CC and) (VP (VB read) (NP (PRP it)) (ADVP (RB someplace)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (SBAR (IN if) (S (NP (PRP I)) (VP (VBP 'm) (PP (IN in) (NP (NP (NP (DT a) (NN doctor) (POS 's)) (NN office) (CC or) (NN something)) (PP (IN like) (NP (DT that)))))))))))))"
[37],(ROOT (S (CC but) (NP (PRP she)) (VP (VBZ seems) (PP (TO to))) (. .)))
[42],"(ROOT (S (CC but) (ADVP (JJ other) (PP (IN than) (NP (DT that) (PRP I)) (ADVP (RB never)))) (, ,) (NP (PRP I)) (ADVP (RB never)) (VP (VBD liked) (NP (NP (DT that)) (FRAG (INTJ (UH really))))) (. .)))"
[43],(ROOT (S (VP (VBP Do) (SBAR (S (NP (PRP you)) (VP (VBP read) (NP (DT a) (NN newspaper)))))) (. ?)))
[44],(ROOT (S (NP (PRP I)) (VP (VBP read) (NP (PRP$ my) (NN newspaper))) (. .)))
[45],X
"[46, 48]","(ROOT (S (S (NP (PRP I)) (VP (MD can) (ADVP (RB hardly)) (VP (VB wait) (PP (IN in) (NP (NP (DT the) (NNS mornings)) (PP (IN for) (NP (DT the) (NN newspaper))))) (S (VP (TO to) (VP (VB get) (ADVP (RB here)))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
"[47, 54]",(ROOT (S (VP (NP (INTJ (UH Yeah) (. .)) (NP (JJR larger) (NN computer) (NNS ones)))) (. .)))
[55],(ROOT (S (NP (PRP I)) (VP (VBP have) (RB n't) (VP (VBN bought) (NP (PRP it)) (PP (ADVP (RB now)) (IN for) (IN about) (NP (CD eight) (NNS years))))) (. .)))
[50],"(ROOT (S (PP (IN In) (NP (NN fact))) (PRN (, ,) (SINV (NP (PRP it)) (VP (VBZ puts) (NP (PRP it)) (PRT (RP out)) (PP (IN on) (NP (NNPS Tuesdays) (CC and) (NNPS Thursdays)))) (. .))) (NP (PRP I)) (VP (MD can) (ADVP (RB hardly)) (VP (VB wait) (S (VP (TO to) (VP (VB get) (S (NP (DT that)) (VP (TO to) (VP (VB get) (NP (DT the) (JJ local) (NN news)))))))))) (. .)))"
[58],(ROOT (INTJ (UH Huh) (. .)))
[60],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[57],"(ROOT (S (CC But) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBD used) (S (VP (TO to) (VP (VB get) (NP (PRP it)))))))) (, ,) (NP (PRP it)) (VP (VBD was) (NP (NP (QP (RB about) (CD five) (CD hundred)) (NNS pages)) (, ,) (NP (NP (NP (QP (RB about) (CD three) (CD hundred))) (PP (IN of) (NP (PRP them)))) (NP (NN advertising))))) (. .)))"
[61],(ROOT (INTJ (UH uh-huh) (. .)))
[63],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[62],"(ROOT (S (NP (NP (DT That)) (, ,) (NP (NP (DT that)) (NP (PDT half) (DT the) (NN fun)))) (VP (VBZ is) (VP (VBG finding) (PRT (RP out)) (SBAR (WHNP (WP what)) (S (NP (PDT all) (DT the) (NNS products)) (VP (VBP are)))))) (. .)))"
[65],"(ROOT (S (CC But) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (S (NP (NP (DT some)) (PP (IN of) (NP (DT the)))) (VP (VB get) (ADJP (JJ ridiculous))))) (. .)))"
[64],(ROOT (INTJ (UH uh-huh) (. .)))
[66],"(ROOT (NP (NP (NP (NNP TRAVEL) (CC AND) (NNP LEISURE)) (, ,) (NP (DT all))) (PP (IN of) (NP (DT the) (NNP AMERICAN) (NNP EXPRESS) (NNS magazines)))))"
[67],(ROOT (INTJ (UH Uh-huh) (. .)))
[68],"(ROOT (S (NP (RB so) (NP (NNP TRAVEL) (CC AND) (NNP LEISURE)) (, ,) (NP (NNP FOOD) (CC AND) (NNP WINE)) (CC and) (NP (PRP I))) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP have) (S (NP (DT some) (NNS others)) (, ,) (INTJ (UH uh)) (, ,) (NP (RB certainly) (NP (PDT half) (DT the) (NNS pages)) (CC and) (NP (RB maybe) (JJR more))) (VP (VBP are) (NP (NP (JJ pure) (NNS ads)) (PP (CC plus) (NP (PRP they))) (SBAR (S (VP (VBP have) (NP (NP (DT the) (NN advertising) (NN supplement) (NNS sections)) (SBAR (WHNP (WDT that)) (S (VP (VP (VBP are) (VP (VBN supposed) (S (VP (TO to) (VP (VB look) (PP (IN like) (NP (NNS articles)))))))) (CC but) (VP (VBP are) (VP (VBN paid) (PP (IN for))))))))))))))))))))"
[70],X
[73],"(ROOT (INTJ (UH Yeah) (, ,)))"
[74],"(ROOT (FRAG (PP (UH right)) (, ,)))"
[75],(ROOT (INTJ (UH right) (. .)))
[76],"(ROOT (INTJ (UH Yeah) (, ,)))"
[77],"(ROOT (S (S (INTJ (UH well)) (NP (PRP I)) (VP (VP (S (SBAR (PRN (, ,) (ADVP (PRP I) (RB only)) (, ,)) (S (NP (PRP you)) (VP (VBP know))))) (, ,) (VP (VBP subscribe))) (PP (TO to) (NP (NP (DT the) (NNS things)) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ interested) (PRT (RP in)))))))))) (. .)))"
[78],(ROOT (S (NP (PRP I)) (VP (VBD used) (S (VP (TO to) (VP (VB be) (PP (IN into) (NP (NN coin) (NN collecting)))))))))
[79],"(ROOT (S (SBAR (RB so) (S (NP (PRP I)) (VP (VBD used) (S (VP (TO to) (VP (VB get) (NP (DT the) (NN coin) (NN magazine)))))))) (, ,) (NP (DT the) (NN paper)) (ADVP (RB actually)) (VP (VBZ is) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBD was) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know)))))))) (. .)))"
[80],(ROOT (S (NP (PRP I)) (VP (VBD used) (S (VP (TO to) (VP (VB get) (NP (DT that)))))) (. .)))
[72],"(ROOT (S (S (CC and) (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB care) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP make) (NP (NP (DT any) (NN money)) (PP (IN on) (NP (DT the) (NN magazine) (NN subscription)))))))))) (, ,) (NP (PRP they)) (VP (VBP 're) (VP (VBG making) (NP (NN everything)) (PP (IN on) (NP (NNS ads))))) (. .)))"
[82],(ROOT (INTJ (UH Uh-huh) (. .)))
"[81, 83]","(ROOT (S (ADVP (RB So) (RB now) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP 'm) (PP (IN into) (NP (NP (NNS dolls)) (, ,) (NP (NP (DT that)) (PP (BES 's) (NP (QP (RB about) (DT all))))))))))) (PRN (S (NP (PRP I)) (ADVP (RB really)) (, ,) (VP (ADVP (RB really)) (VBP want))) (, ,)) (NP (PRP you)) (VP (VBP know)) (. .)))"
[85],"(ROOT (INTJ (UH No) (, ,)))"
[86],(ROOT (INTJ (UH huh-uh) (. .)))
[84],"(ROOT (SQ (VBP Have) (NP (PRP you)) (VP (VP (ADVP (ADVP (RB ever)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VBN read)) (CC or) (VP (VB subscribe) (PP (TO to) (NP (NP (NNP CONSUMER) (NNP REPORTS)) (PP (IN for) (NP (NP (DT any) (NN length)) (PP (IN of) (NP (NN time))))))))) (. ?)))"
[87],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP 're) (ADJP (JJ interesting)))))) (. .)))"
[89],(ROOT (INTJ (UH Yeah)))
[88],(ROOT (FRAG (CC But) (ADVP (RB not)) (PP (JJ worth) (NP (PRP it))) (. .)))
[91],"(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP 've) (ADVP (RB always)) (VP (VBN had) (NP (DT this))))) (, ,)))"
[90],(ROOT (NP (. .)))
[92],(ROOT (S (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS reasons)) (SBAR (S (NP (PRP I)) (VP (VBP like) (ADVP (RB just)) (S (VP (TO to) (VP (VB pick) (PRT (RB up)) (NP (NP (NNS magazines)) (PP (IN in) (NP (JJ other) (NNS fields))))))))))))) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP seem) (S (VP (TO to) (VP (VB get) (NP (DT a) (ADJP (RB very) (JJ different)) (NN perspective))))))))) (. .)))
[93],(ROOT (INTJ (UH Uh-huh) (. .)))
[94],"(ROOT (S (RB So) (NP (PRP I)) (VP (VBP 've) (ADVP (RB always)) (VP (VBN had) (NP (DT this) (NN problem)) (PP (IN with) (NP (NNP CONSUMER) (NNPS REPORTS))) (SBAR (IN that) (S (PP (IN in) (NP (NP (DT the) (NNS areas)) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP know) (NP (DT a) (NN lot)) (PP (IN about))))))) (, ,) (NP (PRP I)) (VP (VBP disagree) (PP (IN with) (NP (PRP them)))))))) (. .)))"
[95],(ROOT (INTJ (UH Uh-huh) (. .)))
[97],X
"[96, 98]","(ROOT (S (CC And) (NP (PRP I)) (ADVP (RB always)) (VP (VBP wonder) (SBAR (IN whether) (S (NP (EX there)) (VP (VBP are) (NP (NP (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP know) (NP (NP (DT a) (NN lot)) (PP (IN about) (NP (NP (DT every) (NN area)) (VP (VBG disagreeing) (PP (IN with) (NP (NP (NP (PRP them)) (PP (IN on) (NP (NN everything)))) (, ,) (CC or) (, ,) (CC or) (SBAR (WHNP (WP what)) (S (VP (BES 's) (VP (VBG going) (ADVP (RB on)))))))))))))))))))) (. .)))"
[100],"(ROOT (S (NP (NP (NP (RB So)) (SBAR (S (VP (NP (NP (PRP I)) (, ,) (SBAR (S (INTJ (UH like)) (NP (PRP I)) (VP (VBP 've) (VP (VBN picked) (ADVP (RB up) (NP (RB now) (DT a) (NN subscription))) (PP (IN to) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NN travel) (NN agent)))))))))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))) (NP (NN organization) (NNS magazines)))))"
[101],(ROOT (S (CC and) (NP (PRP it)) (VP (BES 's) (NP (DT a) (JJ ridiculous) (NN difference)) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP start) (S (VP (VBG reading) (PP (IN from) (NP (PRP$ their) (NN perspective))))))))) (. .)))
[102],"(ROOT (NP (S (S (INTJ (UH Uh)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (NP (PRP$ their) (JJ major) (NN interest)) (VP (VBZ is) (PP (IN in) (NP (NNS commissions)))))))"
[103],"(ROOT (S (CC and) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (EX there)) (VP (BES 's) (NP (ADJP (RB very) (JJ little)) (NN talk)) (PP (IN about) (NP (NP (DT the) (NN quality)) (PP (IN of) (NP (NNS places) (CC or) (NNS airlines)))))) (. .)))"
[104],"(ROOT (S (NP (PRP$ Their) (JJ major) (NN talk)) (VP (VBZ is) (ADJP (IN about)) (, ,) (SBAR (SBAR (S (NP (PRP you)) (VP (VP (VBP know)) (, ,) (NP (NP (NNS commissions)) (CC and) (NP (NN commission) (NNS rebates)))))) (CC and) (SBAR (WHADVP (WRB how)) (S (NP (PRP they)) (VP (MD wo) (RB n't) (VP (VB suggest) (NP (NNS hotels)) (PP (IN to) (NP (NNS people))) (SBAR (SBAR (IN if) (S (NP (DT the) (NN commission)) (VP (BES 's) (NP (NP (RB not) (DT a)) (, ,) (NP (DT the) (ADJP (JJ full) (NP (CD ten))) (NN percent)))))) (CC or) (SBAR (WHNP (WDT whatever)) (S (NP (PRP it)) (VP (VBZ is)))))))))))))"
[99],(ROOT (INTJ (UH Uh-huh) (. .)))
[106],(ROOT (INTJ (UH Uh-huh) (. .)))
[108],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[109],(ROOT (INTJ (UH uh-huh) (. .)))
[110],"(ROOT (SINV (VP (PP (NP (UH Well)) (NP (NP (DT those) (NN travel)) (NP (NNS magazines)))) (, ,) (VP (VBP are) (NP (NP (IN that)) (, ,) (ADJP (JJR more) (CC or) (JJR less)))) (, ,) (VP (VBP show) (NP (PRP you)))) (NP (NP (JJ different) (NNS countries)) (SBAR (WHNP (WDT that)) (S (NP (PRP you)) (VP (MD could) (VP (VB go) (PP (TO to)))))))))"
"[105, 107]",(ROOT (S (CC and) (NP (PRP it)) (VP (VBZ gives) (NP (PRP you)) (NP (NP (DT a) (JJ different) (NN perspective)) (PP (IN on) (SBAR (WHNP (WP what)) (S (NP (NNS people)) (VP (VBP do))))))) (. .)))
[112],"(ROOT (FRAG (INTJ (UH Uh)) (, ,) (NP (NP (DT some)) (PP (IN of) (NP (PRP them)))) (. .)))"
[111],"(ROOT (FRAG (CC or) (ADVP (, ,))))"
[115],(ROOT (INTJ (UH Uh-huh) (. .)))
[113],"(ROOT (S (NP (DT The)) (, ,) (NP (DT the) (JJ general) (NN travel) (NNS magazines)) (VP (VBP do)) (. .)))"
[117],(ROOT (INTJ (UH Uh-huh) (. .)))
[119],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[120],(ROOT (INTJ (UH uh-huh) (. .)))
[121],(ROOT (INTJ (UH Okay) (. .)))
[118],"(ROOT (S (CC But) (NP (PRP I)) (, ,) (NP (NP (PRP I)) (ADVP (RB usually))) (ADVP (RB just)) (VP (VB read) (PP (IN through) (NP (NP (DT the) (NNS sections)) (PP (IN on)))) (, ,) (PP (IN on) (NP (JJ domestic) (NN stuff)))) (. .)))"
[122],(ROOT (S (S (INTJ (UH Well)) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (NP (DT any) (JJ other) (NNS magazines))))) (NP (PRP I)) (VP (MD could) (VP (VB talk) (PP (IN to) (NP (PRP you))) (ADVP (RB about)))) (. .)))
[123],(ROOT (INTJ (UH No) (. .)))
[125],(ROOT (INTJ (UH Yeah) (. .)))
[124],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB take) (ADVP (RB anymore)) (PP (IN than) (NP (DT that))))) (. .)))"
[126],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB take) (NP (NP (RB much) (JJR more)) (PP (IN in) (NP (PRP myself)))))) (. .)))
[127],"(ROOT (S (S (NP (PRP You)) (VP (VBP know))) (, ,) (FRAG (INTJ (UH so))) (. .)))"
[129],(ROOT (SINV (FRAG (INTJ (UH Well))) (VP (ADVP (PRP I)) (VBP guess) (NP (NP (DT that)) (SBAR (S (VP (MD will) (VP (VB be) (NP (PRP it)))))))) (NP (RB then))))
[128],(ROOT (INTJ (UH Okay) (. .)))
[131],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
