[0],"(ROOT (INTJ (UH Yeah) (, ,)))"
[9],"(ROOT (FRAG (CC or) (ADVP (, ,))))"
"[12, 14]","(ROOT (S (NP (NP (NNP Maryland)) (SBAR (S (VP (VBZ is) (PRN (, ,) (INTJ (UH um)) (, ,))))) (SBAR (S (VP (VBZ is) (ADVP (ADVP (RB sort) (RB of)) (PRN (, ,) (INTJ (UH um)) (, ,))))))) (VP (VBZ is) (ADVP (RB prob-)) (, ,) (SBAR (IN as) (S (, ,) (PP (IN as) (NP (NP (DT a) (NN hub)) (PP (IN of) (NP (NN liberalism))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (VBN compared) (PP (IN to) (NP (DT the) (NN country))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))))"
[15],"(ROOT (S (NP (PRP you)) (VP (VBP know) (, ,) (S (NP (NP (NP (RB very)) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (PP (IN in))) (, ,))) (PP (PP (IN in) (NP (JJ many) (NNS ways))) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (ADJP (RB very) (JJ liberal))))))"
[16],(ROOT (FRAG (ADVP (RB very) (RB somewhat)) (PP (IN to) (NP (NNP New) (NNP England)))))
[17],"(ROOT (S (NP (NP (ADJP (IN though)) (NNP Pennsylvania) (CC and) (NNP New) (NNP York)) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (PRP I))) (, ,))) (VP (VBP are) (RB n't) (ADVP (RB actually)) (ADJP (RB as) (JJ liberal))) (, ,)))"
[18],"(ROOT (S (NP (NNP Maryland)) (VP (VBZ is) (NP (DT a) (ADJP (ADJP (RB very) (JJ liberal)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN state)))))"
[19],"(ROOT (ADJP (ADJP (ADJP (RB so)) (PRN (, ,) (SBAR (RB so)) (, ,))) (SBAR (WHADVP (WRB where)) (S (S (ADVP (RB here)) (NP (PRP we)) (VP (VBP have))) (, ,) (S (INTJ (UH um)) (, ,) (NP (PRP we)) (VP (VBP have) (NP (NN gun) (NN control) (NNS laws))))))))"
[20],(ROOT (FRAG (S (NP (PRP we)) (ADVP (RB probably)) (VP (VBP have) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (JJS strictest) (NN gun) (NN control) (NNS laws)) (PP (IN in) (NP (DT the) (NN nation))))))))))
[13],X
[21],"(ROOT (S (S (CC and) (S (NP (NP (JJS most) (NNS people)) (PP (IN in) (NP (NNP Maryland)))) (VP (VBP vote) (PP (IN for) (NP (DT that)))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[22],(ROOT (INTJ (UH Uh-huh) (. .)))
[24],"(ROOT (S (INTJ (UH Uh) (, ,) (UH well)) (, ,) (ADVP (IN of) (NP (NN course))) (, ,) (NP (PRP you)) (VP (VBP talk) (NP (NN gun) (NNS controls)) (ADVP (IN down) (RB here)) (PP (IN in) (NP (NNP Texas))))))"
[23],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP it)) (ADVP (RB really)) (VP (VBZ is) (ADJP (DT a) (JJ different)) (, ,) (INTJ (UH um))) (, ,)))"
[26],"(ROOT (INTJ (UH Yeah) (, ,)))"
[27],"(ROOT (S (NP (DT that)) (VP (BES 's) (PRN (, ,) (S (NP (DT that)) (VP (BES 's) (ADVP (JJ right)) (VP (VB talk) (PP (IN to))))) (, ,)))))"
[28],(ROOT (S (NP (PRP I)) (VP (VBD had) (S (VP (TO to) (VP (VB talk) (PP (IN about) (NP (NN gun) (NN control))) (PP (IN with) (NP (NN somebody)))))))))
[25],(ROOT (S (CC and) (NP (PRP you)) (VP (VBP 're) (VP (VBG asking) (S (VP (TO to) (VP (VB be) (VP (VBN lynched))))))) (. .)))
"[29, 31]","(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBD talked) (PP (IN with) (NP (NP (DT a) (NN woman)) (SBAR (WHNP (WP who)) (S (S (ADVP (RB actually)) (, ,) (NP (PRP you)) (VP (VP (VBP know)) (, ,) (VP (VBD h)) (, ,) (VP (VBD had) (ADVP (RB just)) (VP (VBN purchased) (NP (NP (DT a) (NN gun)) (NP (DT that) (NN day))))) (, ,) (CC and) (VP (VBD was) (VP (VBG going) (NP (NP (NN target)) (VP (VBG shooting))))))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))))))))))"
[32],(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (VBD was) (ADJP (RB very) (JJ different))))))
[30],(ROOT (INTJ (UH Uh-huh) (. .)))
"[33, 35]","(ROOT (S (NP (PRP it)) (VP (VBD was) (NP (DT a) (JJ whole) (, ,) (JJ different) (NN view))) (. .)))"
[36],"(ROOT (S (NP (PRP It)) (VP (BES 's) (S (ADVP (RB really)) (, ,) (INTJ (UH um)) (, ,) (NP (DT this)) (VP (VBZ has) (VP (VBN opened) (NP (PRP$ my) (NNS eyes)) (PP (IN to) (S (VP (VP (VBG thinking)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)))))))))))"
[37],"(ROOT (UCP (PP (IN at) (NP (NP (CD one) (NN time)) (SBAR (S (NP (PRP I)) (ADVP (RB just)) (VP (VBD sat) (ADVP (RB here))))))) (CC and) (S (VP (VBD thought) (PRN (, ,) (INTJ (UH well)) (, ,)) (SBAR (WHADVP (WRB how)) (S (VP (MD can) (ADVP (NN anybody)) (VP (VB believe) (NP (DT that))))))))))"
[38],"(ROOT (SBAR (IN because) (S (NP (PRP I)) (VP (VBD 'd) (ADVP (RB really)) (VP (ADVP (RB never)) (VBN met) (NP (NP (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VBD did))) (, ,))))))))"
[39],"(ROOT (S (CC and) (ADVP (RB now)) (, ,) (NP (PRP I)) (VP (VBP talk) (PP (IN to) (NP (NP (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VBP do))))))) (. .)))"
[34],X
[41],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP it)) (VP (BES 's) (ADJP (RB very) (JJ true))) (, ,)))"
[40],"(ROOT (S (RB So) (NP (DT that) (BES 's)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (RB really) (JJ interesting))) (. .)))"
[42],"(ROOT (S (S (INTJ (UH now)) (NP (PRP I)) (VP (VBP 'm) (NP (NP (ADJP (DT a) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNP New) (NNP Yorker)) (PP (IN by) (NP (NN birth)))))) (. .)))"
[44],"(ROOT (SBAR (IN Although) (S (NP (PRP I)) (VP (VBP claim) (NP (NP (NNP Florida)) (PP (PP (IN as) (NP (PRP$ my) (NN home)) (ADVP (RB now))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))"
[45],(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (NP (CD two) (NNS sons)) (VP (VBG living) (ADVP (IN down) (RB there)))))))
[43],(ROOT (INTJ (UH Uh-huh) (. .)))
"[46, 48]","(ROOT (S (CC but) (NP (PRP I)) (ADVP (RB also)) (VP (VBP have) (NP (NP (CD two) (NNS sons)) (VP (VBG living) (S (NP (NP (RB elsewhere)) (, ,) (NP (NP (CD one)) (PP (IN in) (NP (NNP Tennessee)))) (, ,)) (NP (NP (CD one)) (PP (IN in) (NP (NNP Mississippi)))))))) (. .)))"
[49],"(ROOT (S (CC But) (NP (PRP I)) (VP (VBD lived) (PP (IN in) (NP (NNP Te-))) (, ,) (PP (IN in) (NP (NP (NNP Florida)) (PP (IN for) (NP (CD ten) (NNS years))))))))"
[50],"(ROOT (S (CC and) (NP (PRP I)) (ADVP (RB kind) (RB of)) (VP (VBP like) (NP (PRP it)) (ADVP (IN down) (RB there))) (, ,)))"
[47],(ROOT (INTJ (UH Uh-huh) (. .)))
[51],(ROOT (S (CC but) (NP (PRP they)) (VP (VBD had) (NP (NP (DT a) (NN gun) (NN control) (NN law)) (SBAR (WHNP (WDT which)) (S (VP (VBD went) (NP (DT a) (JJ little) (NN bit)) (ADVP (RB too) (RB far))))))) (. .)))
[53],"(ROOT (S (NP (PRP I)) (VP (VBP think) (VP (FRAG (INTJ (UH uh))))) (, ,)))"
[52],(ROOT (INTJ (UH Yeah) (. .)))
[55],X
[57],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[54, 56]","(ROOT (INTJ (UH well) (PP (IN in) (NP (NP (PRP$ your) (NNS words)) (, ,) (SBAR (S (NP (PRP they)) (VP (VBD were) (ADJP (NP (DT a) (JJ little) (NN bit)) (RB too) (JJ liberal))))))) (. .)))"
[58],(ROOT (SQ (VBZ is) (RB n't) (NP (PRP it)) (ADJP (JJ funny)) (. .)))
[59],(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (PRP they)) (VP (XX p-) (NP (PRP they)) (SBAR (S (NP (PRP I)) (VP (VBP believe) (SBAR (IN if) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ correct) (SBAR (S (NP (PRP I)) (VP (VBP believe) (SBAR (S (NP (PRP they)) (VP (VBD permitted) (NP (PRP$ their)) (S (VP (VBG carrying) (NP (JJ concealed) (NNS weapons))))))))))))))))))))) (. .)))
[60],(ROOT (INTJ (UH Uh-huh) (. .)))
[62],(ROOT (INTJ (UH Uh) (. .)))
"[61, 63]",(ROOT (FRAG (CC But) (NP (NP (PRP they)) (SBAR (S (INTJ (UH uh)) (NP (XX sh-)) (VP (ADVP (RB quickly)) (VBD did) (ADVP (RB away)) (PP (IN with) (NP (PRP it))))))) (. .)))
[65],(ROOT (SINV (S (NP (PRP I)) (VP (VBP think) (PP (IN in) (NP (DT the) (JJ next) (NN session) (PRP they)) (NP (NP (PRP they)) (FRAG (INTJ (UH uh))))))) (VP (VBD modified)) (NP (PRP it))))
[64],(ROOT (INTJ (UH Yeah) (. .)))
[67],(ROOT (INTJ (UH Yeah)))
[68],(ROOT (SINV (FRAG (INTJ (UH well))) (VP (ADVP (PRP you)) (MD can) (VP (VB possess) (NP (PRP 'em)) (ADVP (RB here)))) (NP (RB too))))
[69],(ROOT (S (CC but) (NP (PRP They)) (VP (VBP have) (S (VP (TO to) (VP (VB be) (S (NP (PRP they)) (VP (VBP 're) (VP (VBN registered))))))))))
[66],(ROOT (S (CC but) (NP (PRP it)) (VP (BES 's) (ADVP (RB still)) (ADJP (JJ legal) (S (VP (TO to) (VP (VP (VB own)) (CC or) (VP (VB possess) (NP (NP (NNS weapons)) (PP (IN in) (NP (INTJ (UH uh) (UH uh))))) (NP (NNP Florida)))))))) (. .)))
[71],X
[73],X
"[70, 72, 74]","(ROOT (PRN (CC and) (S (S (INTJ (INTJ (UH Uh)) (, ,) (INTJ (UH like) (UH uh))) (NP (DT the)) (VP (ADVP (DT the)) (VP (PP (NP (NNP Brady)) (NP (NP (NNP Bill)) (NP (DT that)))) (BES 's) (VP (ADVP (RB currently)) (VBG being) (VP (VBN discussed) (ADVP (RB nationally))))))) (CC and) (S (NP (NP (WHNP (WP whatever)) (S (VP (VBZ is) (ADVP (RB very) (RB well)) (VP (VBN supported))))) (ADVP (RB here))) (PP (, ,) (IN in) (NP (NN gun) (NN control) (NNS avenues)) (, ,))))))"
"[76, 78]",(ROOT (FRAG (X (DT The) (ADJP (ADJP (NP (DT the)) (NP (CD one) (NN week))) (PP (NP (INTJ (UH uh))) (NP (CD seven) (NN day))))) (NP (DT the) (NN delay))))
[79],(ROOT (S (NP (PRP You)) (VP (VBP have) (NP (DT the) (CD seven) (NN day) (NN waiting) (NN period))) (. .)))
[80],(ROOT (FRAG (UH Uh) (INTJ (UH huh)) (. .)))
[81],(ROOT (INTJ (UH Yeah)))
"[82, 84, 86]",(ROOT (SINV (FRAG (INTJ (UH Well))) (VP (ADVP (PRP I)) (VBP do) (RB n't) (VP (VB mind) (NP (DT that)) (ADVP (RB too)))) (NP (RB much))))
"[83, 85]",(ROOT (S (NP (DT that)) (VP (BES 's) (NP (INTJ (UH uh)) (NP (DT that)))) (BES 's)))
[87],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (PP (IN with) (NP (DT the) (NNP N) (NNP R) (NNP A))) (NP (PRP myself)))))) (. .)))
[89],"(ROOT (S (S (NP (CC And)) (VP (NP (INTJ (INTJ (UH uh)) (, ,) (INTJ (UH uh) (UH Really))) (NP (DT the) (JJ only) (NN objection))))) (PRN (NP (PRP we)) (VP (VBP have) (VP (VBZ Is) (NP (UH uh))))) (NP (PRP you)) (ADVP (PRP you)) (VP (VBP give) (NP (DT a) (JJ little)))))"
[88],(ROOT (INTJ (UH Yeah) (. .)))
[91],(ROOT (INTJ (UH Yeah)))
[92],(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (JJ true)))))
[93],(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (RB very) (JJ true)))))
[90],(ROOT (FRAG (CC and) (NP (NP (JJ next) (NN thing)) (SBAR (S (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (XX MUMBLEx) (NN somebody)) (VP (BES 's) (VP (VBG trying) (S (VP (TO to) (VP (VB take) (NP (JJR more)))))))))))) (. .))))
[95],X
"[94, 96, 98]",(ROOT (S (NP (NP (DT That) (BES 's)) (CC and) (NP (DT that))) (VP (BES 's) (NP (NP (DT the) (NN way)) (SBAR (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (NP (JJS most)) (PP (IN of) (FRAG (DT the) (INTJ (UH um)) (NP (DT the) (JJ political) (NNS organizations))))) (VP (VBP work) (SBAR (S (NP (PRP you)) (VP (VBP know))))))))))))))
[97],X
[99],(ROOT (FRAG (NP (NP (DT the) (JJ same)) (SBAR (S (NP (PRP I)) (VP (VBP know) (NP (DT the) (NN abortion) (NN issue)) (PP (IN with) (NP (NP (NN right)) (PP (IN to) (NP (NN life) (CC and) (NN right))))) (S (VP (TO to) (VP (VB choose))))))))))
[100],(ROOT (INTJ (UH Yeah) (. .)))
[102],X
"[101, 103, 105]",(ROOT (PRN (CC and) (S (NP (CC and) (NP (NP (DT both)) (PP (IN of) (NP (PRP them))))) (VP (VBP are) (NP (NP (DT both)) (SBAR (S (VP (VBP want) (NP (NP (DT the) (NN extent)) (PP (IN of) (NP (NNS extremes)))) (SBAR (RB so) (IN that) (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB give) (NP (NN anything)) (PP (IN for) (NP (NP (DT a) (NN balance)) (SBAR (S (NP (PRP you)) (VP (VBP know))))))))))))))))))
[104],X
[106],(ROOT (S (NP (EX there)) (VP (BES 's) (SBAR (S (NP (EX there)) (VP (BES 's) (ADVP (RB always)) (NP (DT that) (NN difficulty))))))))
[107],X
[108],X
"[109, 111]",(ROOT (SINV (FRAG (INTJ (UH Well))) (VP (UH then) (VP (VB tell))) (NP (PRP me))))
[110],X
[113],(ROOT (SBAR (UH Um) (S (NP (PRP I)) (VP (MD would) (VP (VB say) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (ADVP (RB probably)) (ADJP (JJ liberal))))))))))
[112],(ROOT (SQ (VBP do) (NP (PRP you)) (VP (VB consider) (S (NP (PRP yourself)) (NP (DT a) (NN liberal)))) (. ?)))
[114],(ROOT (INTJ (UH yeah)))
[116],(ROOT (INTJ (UH yeah)))
"[115, 117]",(ROOT (S (INTJ (UH Well)) (VP (VB let) (NP (PRP me)) (VP (VB ask) (NP (PRP you) (DT this)) (FRAG (INTJ (UH then))))) (. .)))
[118],(ROOT (INTJ (UH Sure)))
[120],(ROOT (S (S (INTJ (UH Well)) (NP (PRP I)) (VP (MD 'll) (VP (VB tell) (NP (PRP you))))) (. .)))
[121],"(ROOT (FRAG (NP (NP (PRP I)) (SBAR (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP you)) (VP (VBP know) (SBAR (IN if) (S (SBAR (NP (PRP they)) (IN if) (S (NP (PRP they)) (VP (VBD did) (RB n't) (VP (VB give) (NP (ADJP (RB as) (JJ much)) (NN coverage)) (PP (IN to) (NP (NP (DT these) (NNS idiots)) (SBAR (WHNP (WDT that)) (S (VP (VBP burn) (NP (DT the) (NN flag))))))))))) (, ,) (NP (PRP it)) (VP (MD would) (ADVP (RB never)) (VP (VB happen))))))))))))))"
[119],(ROOT (SBARQ (WHADVP (WRB How)) (SQ (VBZ is) (NP (NP (PRP$ your)) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (NP (NP (PRP$ your) (NN feeling)) (PP (IN about) (NP (INTJ (UH uh) (UH uh)))) (VP (VBG expressing) (NP (PRP yourself)) (PP (IN by) (S (VP (VBG burning) (NP (DT the) (JJ American) (NN flag)))))))))))) (. ?)))
[122],(ROOT (SQ (VBP do) (NP (PRP you)) (VP (VB know) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP mean))))) (. ?)))
[124],(ROOT (S (NP (PRP It)) (VP (BES 's) (SBAR (RB only) (IN because) (S (NP (PRP they)) (VP (VBP make) (NP (NP (DT a) (JJ big) (NN stink)) (PP (IN over) (NP (PRP it)))))))) (. .)))
[125],(ROOT (S (CC But) (NP (PRP I)) (ADVP (PRP I)) (VP (VBP guess) (SBAR (S (INTJ (UH actually)) (NP (PRP I)) (VP (VBP believe) (SBAR (IN that) (S (SBAR (IN if) (S (NP (NN somebody)) (VP (VBZ wants) (S (VP (TO to) (VP (VB burn) (NP (DT the) (NN flag)))))))) (NP (PRP I)) (VP (VBP guess) (NP (NP (DT that)) (PP (BES 's) (NP (PRP$ their) (NN opportunity)))))))))))))
[126],(ROOT (S (NP (GW They) (^PRP$ 're) (GW they)) (VP (VBP 're) (VP (GW they) (NP (NP (^PRP$ 're) (NN right)) (PP (IN in) (NP (NP (DT the) (NN sense)) (PP (IN of) (NP (NP (NN freedom)) (PP (IN of) (NP (NN speech))))))))))))
[123],(ROOT (INTJ (UH Huh) (. .)))
[127],(ROOT (S (CC But) (NP (PRP I-)) (ADVP (PRP I)) (VP (MD would) (ADVP (RB never)))))
[128],(ROOT (S (INTJ (UH Well) (UH now)) (VP (VB wait) (NP (NP (DT a) (NN minute)) (FRAG (INTJ (UH the-))))) (UH there)))
[129],(ROOT (INTJ (UH Yeah) (. .)))
[130],(ROOT (S (NP (PRP you)) (ADVP (RB just)) (VP (VBD said) (NP (PRP it))) (. .)))
[132],(ROOT (S (NP (PRP It)) (VP (BES 's) (NP (PRP$ their) (NN right)) (PP (IN by) (NP (NP (NN freedom)) (PP (IN of) (NP (NN speech)))))) (. ?)))
[131],X
[134],(ROOT (INTJ (UH Yeah) (. .)))
"[133, 135]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBZ does) (NP (NN speech)) (VP (VB have) (S (VP (TO to) (VP (VB do) (PP (IN with) (S (VP (VBG burning) (NP (DT a) (NN flag)))))))))) (. ?)))
[136],(ROOT (S (S (INTJ (UH Well)) (NP (PRP it)) (VP (BES 's))) (XX free-)))
[138],(ROOT (FRAG (X (IN that)) (NP (PRP they))))
[139],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (DT the) (NN idea)) (PP (IN of) (NP (NP (NN freedom)) (PP (IN of) (NP (NN speech)))))) (VP (VBZ goes) (ADVP (RB back)) (PP (IN to))))))))
[137],X
[141],X
"[140, 142, 144]",(ROOT (PRN (CC and) (S (NP (NP (PRP I)) (VP (NP (INTJ (UH uh) (UH uh)) (NP (DT the) (DT the))) (PP (NP (DT the) (JJ whole) (NN aspect)) (PP (IN of))))) (VP (VBG being) (ADJP (ADJP (JJ able) (S (VP (TO to) (VP (VB display) (NP (PRP$ your)) (FRAG (INTJ (UH uh))))))) (FRAG (NP (NP (PRP$ your) (NNS ideas)) (SBAR (S (NP (PRP you)) (VP (VBP know)))))))))))
[145],"(ROOT (S (NP (NP (DT the)) (SBAR (WHNP (WP what)) (S (NP (DT the) (NN country)) (VP (VBZ stands) (PP (IN on) (NP (NNP America))))))) (VP (VBZ stands) (PP (IN on) (S (VP (VBZ is) (SBAR (IN that) (S (NP (PRP they)) (VP (MD can) (VP (VB do) (NP (DT that)) (NP (UH Uh)))) (, ,)))))))))"
[143],X
"[146, 148]",(ROOT (SBAR (IN though) (S (NP (PRP I)) (VP (MD would) (ADVP (RB never)) (ADVP (RB even)) (VP (VB consider) (NP (PRP it)) (PP (IN in) (NP (QP (DT a) (CD million)) (NNS years))) (S (VP (TO to) (VP (VB do) (NP (PRP it)) (NP (PRP myself))))))))))
[147],X
"[149, 151]",(ROOT (S (NP (NP (NP (PRP I)) (NP (PRP I))) (NP (PRP I))) (VP (VBP think) (SBAR (S (INTJ (UH uh)) (NP (PRP you)) (VP (VBP know)))))))
[152],(ROOT (FRAG (CC but) (NP (NP (PRP I)) (ADJP (NP (PRP I)) (RB still)))))
[150],X
[154],X
"[153, 155, 157]",(ROOT (SBAR (WHNP (WP what)) (S (NP (DT the) (XX stan-) (NN flag)) (VP (VBZ stands) (SBAR (IN for) (S (NP (PRP I)) (VP (VBP guess) (SBAR (IN to) (S (NP (PRP me)) (VP (VBZ is) (SBAR (IN that) (IN if) (S (S (NP (NN somebody)) (VP (VBZ wants) (S (VP (TO to) (VP (VP (VB voice) (NP (PRP$ their) (NN opinion))) (CC or) (VP (VB display) (NP (PRP$ their) (NN opinion)) (ADVP (RB openly)))))))) (CC and) (S (SBAR (IN if) (S (NP (DT that)) (VP (VBZ is) (NP (NP (DT a) (DT a) (NN way)) (SBAR (WHNP (DT that)) (S (NP (PRP they)) (VP (MD can) (VP (VB show) (NP (PRP$ their) (NN opinion)))))))))) (ADVP (RB then)) (NP (PRP they)) (VP (MD should) (VP (VB be) (VP (VBN allowed)))))))))))))))))
[156],X
[158],(ROOT (INTJ (UH uh)))
"[160, 162, 164, 166]",(ROOT (SBAR (IN Unless) (S (NP (DT the)) (VP (VB burn) (SBAR (IN unless) (S (NP (DT the) (JJ actual) (NN fire)) (VP (VBZ hinders) (NP (NP (NP (NN somebody) (POS 's)) (NN health) (CC and) (NN well-being)) (SBAR (S (NP (PRP you)) (VP (VBP know))))))))))))
"[159, 161, 163, 165]",(ROOT (S (INTJ (UH Now)) (INTJ (UH uh) (UH Well)) (PRP I) (NP (PRP I)) (ADVP (RB still)) (VP (VBP go) (ADVP (RB back)) (PP (IN to))) (: ...)))
"[167, 169]",(ROOT (PRN (CC but) (NP (NP (PRP I)) (SBAR (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (BES 's) (SBAR (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (DT that)) (VP (BES 's) (SBAR (S (NP (PRP I)) (VP (VBP thin) (NP (NP (DT that)) (PP (BES 's) (NP (PRP$ my) (NN opinion))))))))))))))))))))))
[170],(ROOT (INTJ (UH Yeah)))
[168],X
[171],(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP you)) (VP (VBP feel) (ADVP (RB differently)))))) (. .)))
[172],(ROOT (SINV (ADVP (RB Then)) (VP (MD would)) (NP (PRP you)) (S (VP (VB condone) (NP (NP (DT the) (NN burning)) (PP (IN of) (NP (DT the) (NN capitol) (NN building)))))) (. ?)))
"[173, 175]","(ROOT (INTJ (UH Uh) (, ,) (UH no)))"
[176],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (BES 's) (SBAR (S (NP (DT that)) (VP (BES 's) (SBAR (S (INTJ (UH uh)) (NP (PRP it)) (VP (BES 's) (NP (NP (DT that) (BES 's) (NN taxpayer) (POS 's)) (NN money)))))))))))) (. .)))
[174],X
"[177, 179]",(ROOT (SBAR (IN If) (S (NP (NN somebody)) (VP (VP (VBZ buys) (NP (PRP$ their) (JJ own) (NN flag)) (ADVP (CC and))) (CC and) (VP (VBP burns) (S (NP (PRP it)) (ADJP (DT that) (BES 's) (JJ fine))))))))
"[178, 181]",X
"[180, 182]",(ROOT (S (CC but) (NP (NP (DT that)) (NP (DT that))) (VP (BES 's) (NP (NP (NP (PRP you)) (SBAR (S (VP (VBP know) (NP (DT that)) (PP (PP (BES 's) (NP (NN destruction))) (CC and) (PP (IN of) (NP (INTJ (UH uh)))) (NP (JJ public) (NN property))))))) (CC and) (SBAR (WHNP (WP whatever))))) (. .)))
