[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
"[13, 15]","(ROOT (S (S (CC And) (NP (NN everybody)) (ADVP (IN up) (RB there)) (VP (VBZ looks) (ADJP (JJ pleased) (PP (IN with) (NP (PRP themselves)))) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG taking) (NP (PRP$ their) (NN stuff)) (PRT (RP in)) (SBAR (IN like) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG doing) (NP (NP (NN something)) (ADJP (JJ good) (PP (TO to)))) (, ,) (S (VP (VB help) (NP (DT the) (NN earth)))))))))))))) (, ,) (NP (PRP I)) (VP (VBP guess)) (. .)))"
[17],(ROOT (INTJ (UH Yeah) (. .)))
[18],(ROOT (INTJ (UH Yeah)))
[19],(ROOT (S (NP (PRP$ my) (NN husband)) (VP (VBD was) (VP (VBG complaining) (NP (DT the) (JJ other) (NN day))))))
[20],(ROOT (SBAR (IN because) (S (NP (PRP he)) (VP (VBD said) (SBAR (S (NP (NP (DT every) (NN time)) (SBAR (S (NP (PRP I)) (VP (VBP turn) (PP (IN around) (NP (PRP you))))))) (VP (VBP 're) (VP (VBG telling) (NP (PRP me)) (NP (NP (DT some) (JJ new) (NN rule)) (PP (IN about) (NP (NN recycling))))))))))))
[16],(ROOT (S (CC And) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))) (VP (VBP complain) (SBAR (IN because) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB really)) (RB not) (ADJP (JJ convenient) (PP (IN for) (NP (PRP them)))))))) (. .)))
[21],"(ROOT (SINV (S (INTJ (UH like)) (NP (NN yesterday)) (ADVP (PRP I)) (VP (VBD was) (S (VP (VB tell) (SBAR (S (NP (PRP him)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to))))) (, ,)) (NP (PRP you)) (VP (VBP 're) (VP (VBN supposed) (S (VP (TO to) (VP (VB squeeze) (NP (DT the) (JJ plastic) (NNS jugs)) (PP (IN before) (NP (PRP you)))))))))))))) (VP (VBP take) (NP (PRP them)) (PRT (IN up))) (NP (RB there)) (. .)))"
[22],(ROOT (S (NP (PRP You)) (VP (VBP 're) (VP (VBN supposed) (WHPP (TO to) (WHNP (WP what))))) (. .)))
[24],(ROOT (SBARQ (CC But) (WHNP (WP what)) (SQ (VBP are) (NP (PRP you)) (VP (VBN supposed) (S (VP (TO to) (VP (VB do) (PP (IN with) (NP (PRP them)))))))) (. .)))
"[23, 25, 27]","(ROOT (S (NP (DT Every) (NN time)) (NP (PRP he)) (VP (VBZ turns) (S (ADVP (RB around)) (NP (PRP I)) (VP (VBP 'm) (VP (VBG giving) (NP (PRP him)) (NP (NP (DT some) (JJ new) (NN rule)) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (VBP 're) (VP (VBN supposed) (S (VP (TO to) (VP (VP (VB squish) (PRT (RP up)) (NP (DT the)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))) (IN like) (VP (VB collapse) (NP (DT the) (NN plastic) (NNS jugs))) (. .) (FRAG (PP (IN Instead)))))) (PP (IN of) (S (VP (VBG taking) (S (NP (PRP them)) (ADJP (ADVP (IN up) (RB there)) (JJ solid))))))))))))))) (. .)))"
[28],(ROOT (S (CC And) (NP (PRP I)) (VP (VBP wish) (SBAR (IN that) (S (NP (PRP$ our) (NN recycling) (NN center)) (VP (VBD took) (NP (NN paper) (NNS bags)))))) (. .)))
[29],(ROOT (S (NP (PRP They)) (VP (MD wo) (RB n't) (VP (VB take) (NP (DT those)))) (. .)))
[26],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH okay) (. .))))"
[30],"(ROOT (S (NP (PRP We)) (VP (VBP like) (S (VP (TO to) (VP (VP (VP (VB put) (NP (PRP$ our))) (, ,) (ADVP (RB just)) (VP (VB put) (NP (PRP$ our) (NNS newspapers)) (PP (IN in) (NP (DT a) (NN paper)))) (NP (NN bag)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))) (CC and) (ADVP (RB then)) (VP (VB carry) (NP (PRP them)) (ADVP (IN up) (RB there))) (NP (DT that) (NN way)))))) (. .)))"
[31],(ROOT (INTJ (UH Uh-huh) (. .)))
"[32, 34]",(ROOT (S (CC And) (NP (PRP we)) (VP (VBP have) (S (VP (TO to) (VP (VB bring) (NP (DT the) (NN paper) (NNS bags)) (FRAG (ADVP (RB back)) (NP (DT every) (NN time)) (. .))))) (SBAR (IN Because) (S (NP (PRP they)) (VP (MD wo) (RB n't) (VP (VB take) (NP (PRP them))))))) (. .)))
[35],"(ROOT (SINV (VP (VBP Do) (SBAR (WHNP (NP (PRP you)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VB take) (NP (PRP$ your) (NNS papers)))))) (NP (RB somewhere))))"
[33],(ROOT (INTJ (UH Yeah) (. .)))
[37],"(ROOT (S (NP (PRP We)) (, ,) (NP (PRP we)) (ADVP (RB usually)) (VP (VBP collect) (SBAR (S (NP (DT a)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (VP (VBP collect) (NP (DT a) (NP (PDT quite) (DT a) (NN bit)))))))))"
[36],(ROOT (SQ (CC or) (VBZ does) (NP (NN someone)) (VP (VB pick) (NP (PRP them)) (PRT (RP up))) (. ?)))
[39],(ROOT (INTJ (UH Uh-huh) (. .)))
[40],"(ROOT (SBAR (WHNP (NP (PRP We)) (PRN (, ,) (INTJ (UH um)) (, ,))) (S (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB take) (NP (PRP$ our) (NNS cans)) (ADVP (IN up) (PP (IN to) (NP (NP (DT that) (NN center)) (, ,) (ADVP (RB though)) (, ,)))))))))"
[38],"(ROOT (S (CC and) (ADVP (RB then)) (NP (PRP we)) (VP (VP (VBP take) (NP (PRP them))) (, ,) (VP (VBP take) (NP (PRP them)) (PRT (RP in)))) (. .)))"
[42],"(ROOT (INTJ (UH Yeah) (, ,)))"
[41],"(ROOT (S (NP (PRP$ our) (NN aluminum) (NNS cans)) (, ,) (NP (PRP we)) (VP (VBP like) (S (VP (TO to) (VP (VB take) (NP (PRP them)) (PP (IN to) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NNS places))))) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBP pay) (NP (PRP you)) (PP (IN for) (NP (PRP them)))))))))) (. .)))"
[43],"(ROOT (S (NP (PRP we)) (VP (VP (VBP do) (RB n't)) (PRN (, ,) (S (NP (PRP we)) (VP (VP (VBP do) (RB n't)) (, ,) (S (INTJ (UH um)) (, ,) (VP (VB use) (NP (NN aluminum) (NNS cans)))))) (, ,)))))"
[44],(ROOT (INTJ (UH Uh-huh) (. .)))
[46],"(ROOT (INTJ (UH Yeah) (, ,)))"
[47],"(ROOT (S (NP (PRP it)) (VP (VBZ takes) (S (NP (NP (PRP us)) (NP (RB about) (DT a) (NN year))) (VP (TO to) (VP (VB save) (PRT (RP up)) (NP (JJ enough) (S (VP (TO to) (VP (VB be) (ADJP (JJ worth)))))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (PP (JJ worth) (S (VP (VBG bothering) (S (VP (TO to) (VP (VP (VB go) (ADVP (RB in))) (CC and) (VP (VB do)))))))))))) (, ,)))"
[45],"(ROOT (S (ADVP (RB so)) (, ,) (NP (PRP we)) (ADVP (RB generally)) (VP (VBP do) (RB n't) (VP (VB have) (S (NP (DT those)) (VP (TO to) (VP (VB do)))))) (. .)))"
[49],"(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (SBAR (S (NP (PRP they)) (PRN (, ,) (S (NP (PRP they)) (VP (VBP charge) (NP (PRP you)))) (, ,)) (NP (PRP you)) (VP (VBP know))))) (, ,)))"
[48],"(ROOT (S (CC but) (ADVP (. .)) (VP (VBP Do) (S (NP (PRP you))) (, ,) (S (INTJ (UH um)) (, ,) (VP (VB have) (NP (NP (DT any) (NNS ideas)) (PP (IN on) (NP (NN anything))) (SBAR (WHNP (WDT that)) (S (VP (MD would) (VP (VB make))))))))) (, ,)))"
[50],(ROOT (S (NP (PRP it)) (VP (BES 's) (NP (UH like)) (NP (NP (DT a) (JJ flat) (NN rate)) (SBAR (S (NP (PRP I)) (VP (VBP think) (PP (IN for) (S (VP (VBG picking) (PRT (RP up)) (NP (PRP$ your) (NN garbage)))))))))) (. .)))
[52],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS people)) (SBAR (S (NP (PRP it)) (VP (MD would))))))) (, ,) (VP (MD would) (VP (VB solve) (NP (DT the) (NN convenience) (NN problem)) (SBAR (IN if) (S (NP (PRP they)) (VP (VBD had) (NP (NN curbside) (NN pickup))))))))))))"
[53],(ROOT (S (CC and) (NP (DT some) (NNS communities)) (VP (VBP are) (VP (VBG trying) (S (VP (TO to) (VP (VB do) (NP (DT that)) (ADVP (RB now))))))) (. .)))
[51],(ROOT (INTJ (UH Uh-huh) (. .)))
[54],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (SBAR (ADVP (RB maybe)) (IN if) (S (NP (PRP they)) (ADVP (RB only)) (VP (VBD charged) (PP (IN for) (NP (DT the) (NN garbage))) (SBAR (WHNP (WDT that)) (S (NP (PRP you)) (VP (VBD did) (RB not) (VP (VP (VB sort)) (CC and) (VP (VB have) (VP (VBN set) (PRT (RP up)) (PP (IN for) (NP (NN recycling))))))))) (, ,))))))))"
[55],(ROOT (INTJ (UH Right) (. .)))
[57],(ROOT (INTJ (UH Yeah)))
[56],"(ROOT (S (NP (PRP they)) (, ,) (NP (PRP they)) (VP (VBD charged) (NP (PRP you)) (PP (IN by)) (, ,) (PP (IN by) (NP (NP (NN weight)) (PP (IN of) (SBAR (WHNP (WHADJP (WRB how) (JJ much)) (NN trash)) (S (NP (PRP you)) (VP (VBD were) (ADVP (RB actually)) (VP (VBG sending) (PP (IN to) (NP (DT a) (NN land) (NN fill))))))))))) (. .)))"
[58],(ROOT (S (NP (DT that)) (VP (MD would) (VP (VB be) (NP (DT a) (JJ good) (NN idea)))) (. .)))
[59],(ROOT (S (NP (NP (DT That)) (NP (DT that))) (VP (MD might) (VP (VB be) (NP (DT a) (JJR better) (NN way) (S (VP (TO to) (VP (VB do) (NP (PRP it)))))))) (. .)))
[60],(ROOT (INTJ (UH Yeah) (. .)))
[62],(ROOT (INTJ (UH Right) (. .)))
[63],"(ROOT (INTJ (UH Yeah) (, ,)))"
[61],"(ROOT (SINV (S (CC And) (RB then) (NP (NNS people)) (VP (MD would))) (, ,) (VP (MD would) (VP (VB know) (SBAR (IN that) (S (NP (PRP it)) (VP (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB cost) (NP (PRP them)) (NP (NN money) (S (VP (TO to) (VP (RB not) (VB sort)))))))))))))) (NP (PRP$ their) (NN trash)) (. .)))"
[64],(ROOT (S (NP (DT that)) (VP (MD would) (VP (VB be) (NP (NP (DT a) (ADJP (RB real) (JJ good)) (NN motivation)) (PP (IN for) (NP (NNS people)))))) (. .)))
[66],(ROOT (INTJ (UH Right) (. .)))
[67],"(ROOT (INTJ (UH Yeah) (, ,)))"
[65],"(ROOT (S (S (NP (PRP You)) (VP (VBP know))) (, ,) (S (SBAR (IN because) (S (S (ADVP (RB then)) (NP (PRP it)) (VP (MD would))) (, ,) (RB then) (S (NP (PRP it)) (VP (MD would) (VP (VB make) (NP (JJ monetary) (NN sense)) (PP (IN to) (NP (PRP them)))))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (TO to) (VP (VB say)))))) (, ,) (S (INTJ (UH hey)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (S (SBAR (IN if) (S (NP (PRP I)) (ADVP (RB just)) (VP (VBP spend) (NP (DT the) (NN time)) (PP (TO to)) (, ,) (S (VP (TO to) (VP (VB sort) (ADVP (DT this) (RP out)) (SBAR (WHADVP (WRB where)) (S (NP (DT this) (NN stuff)) (VP (MD can) (VP (VB be) (VP (VBN recycled) (ADVP (RB then))))))))))))) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB pay) (PP (IN for) (S (NP (PRP them)) (VP (VBG hauling) (NP (PRP it)) (PRT (RP off))))))))))) (. .)))"
[68],"(ROOT (S (NP (PRP$ my) (NN father)) (VP (VBD was) (VP (VBG telling) (NP (PRP me)) (PP (IN about) (NP (NP (DT some) (NN program)) (SBAR (S (NP (PRP he)) (VP (VBD read) (PP (IN about) (SBAR (WHADVP (WRB where)) (S (S (NP (PRP you)) (VP (VBP buy) (NP (PRP$ your) (NNS bags)))) (, ,) (S (INTJ (UH like)) (NP (PRP you)) (VP (VBP buy) (NP (PRP$ your) (NN garbage) (NN bag)) (PP (IN from) (NP (DT the) (NN city))))))))))))))) (, ,)))"
[70],(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP pay) (SBAR (QP (JJR more) (IN than) (RB just)) (WHNP (WP what)) (S (NP (PRP you)) (VP (MD would) (VP (VB pay) (PP (IN for) (NP (DT an) (JJ empty) (NN garbage) (NN bag)))))))))))
[71],"(ROOT (FRAG (S (CC but) (ADVP (RB then)) (NP (PRP you)) (VP (VBP do) (RB n't) (VP (VB pay) (NP (NP (DT any) (JJ monthly) (NN fee)) (CC or) (NP (NN anything)) (, ,)))))))"
[69],(ROOT (INTJ (UH Uh-huh) (. .)))
[73],"(ROOT (INTJ (UH Oh) (, ,) (UH yeah)))"
[72],"(ROOT (S (SBAR (RB so) (GW how) (S (PP (^WRB ever) (NP (NP (JJ many) (NNS bags)) (PP (IN of) (NP (NN garbage))))) (NP (PRP you)) (VP (VBP throw) (ADVP (RB away))))) (, ,) (NP (DT that)) (VP (BES 's) (SBAR (WHADJP (WRB how) (JJ many)) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB pay) (PP (IN for))))))))) (. .)))"
[75],(ROOT (INTJ (UH Yeah) (. .)))
[76],(ROOT (INTJ (UH Yeah)))
[77],(ROOT (S (NP (DT that)) (VP (MD would) (VP (VB be) (NP (DT a) (ADJP (RB real) (JJ good)) (NN idea)))) (. .)))
[78],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG trying) (S (VP (TO to) (VP (VB think) (SBAR (IN if) (S (NP (EX there)) (VP (BES 's) (NP (NP (NN anything) (RB else)) (SBAR (S (NP (PRP I)) (VP (MD could) (VP (VB think) (PP (IN of))))))))))))))) (. .)))
[74],(ROOT (S (NP (DT that)) (VP (BES 's) (NP (NP (RB about) (DT the) (JJ same) (NN kind)) (PP (IN of) (NP (NN thing))))) (. .)))
[79],"(ROOT (S (NP (PRP They)) (VP (VBP are) (VP (VBG talking) (PP (IN about) (S (VP (VBG going) (PP (IN to) (NP (NN curbside) (NN pickup))) (PP (IN in) (NP (PRP$ our))) (, ,) (PP (IN in) (NP (PRP$ our) (NN city) (XX MUMBLEx)))))))) (. .)))"
[80],(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBP do) (NP (PRP you)) (VP (VB live))) (. ?)))
[81],"(ROOT (NP (NP (NNP Rowlett)) (, ,) (NP (NNP Texas)) (. .)))"
[82],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH okay) (. .))))"
[83],(ROOT (SQ (VBP Do) (NP (PRP you)) (VP (VB know) (SBAR (WHADVP (WRB where)) (S (NP (DT that)) (VP (VBZ is))))) (. ?)))
[85],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (PRP they)) (VP (VBD decided) (S (VP (TO to) (VP (VB do) (PRN (, ,) (CC or) (ADVP (RB not)) (, ,))))))))))))"
[86],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBD said) (SBAR (S (NP (PRP it)) (VP (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB add) (NP (UH like)) (S (NP (DT either) (NP (DT a) (NN dollar)) (CC or) (NP (CD three) (NNS dollars))))))) (NP (DT a) (NN month)) (PP (IN to) (NP (PRP$ your) (NN bill) (S (VP (TO to) (VP (VB have) (S (NP (PRP them)) (VP (VB do) (NP (DT that))))))))))))))))) (. .)))
[84],(ROOT (INTJ (UH Yes) (. .)))
"[87, 89]","(ROOT (S (SBAR (IN Although) (, ,) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT those) (NNS programs)))) (VP (MD can) (VP (VB operate) (PP (IN at) (NP (QP (RB about) (DT a)))) (S (VP (VB break) (ADVP (JJ even))))))))))) (, ,) (VP (VB break) (ADVP (JJ even) (NN point)) (, ,) (PP (IN without) (S (VP (VBG charging) (NP (NNS people)))))) (. .)))"
[90],(ROOT (INTJ (UH Yeah) (. .)))
[91],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[88],(ROOT (S (NP (PRP It)) (VP (VBZ seems) (SBAR (IN like) (S (NP (PRP they)) (VP (MD would) (VP (VB be) (ADJP (JJ able) (PP (TO to)))))))) (. .)))
[92],(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP it)) (ADVP (RB just)) (VP (VBZ depends) (PP (IN on) (SBAR (WHADVP (WRB how)) (S (NP (PRP they)) (VP (VBP manage) (NP (PRP it)))))))))) (. .)))
[93],(ROOT (INTJ (UH Uh-huh) (. .)))
[94],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADJP (WRB how) (JJ much)) (S (NP (PRP they)) (VP (VBP get) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP sell) (NP (PDT all) (DT that) (NN stuff)))))))))) (. .)))
[95],X
"[96, 98]","(ROOT (S (FRAG (NP (NP (DT The) (NN center)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP 've) (VP (VBN got) (ADVP (RB now)) (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (VBP take) (NP (PRP$ your) (NN stuff)) (PP (IN in) (NP (PRP I)))))))))))) (, ,) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (MD should) (VP (VB be) (VP (VBG making)))))))) (FRAG (NP (DT some) (NN money) (. .)) (SBAR (IN Since) (S (NP (PRP they)) (ADVP (RB just)) (VP (VBP have) (S (VP (TO to) (VP (VB hire) (NP (NN someone)) (S (VP (TO to) (VP (VB man) (NP (PRP it)) (NP (NP (DT a) (JJ few) (NNS hours)) (NP (DT a) (NN week))))))))))))) (. .)))"
[97],(ROOT (INTJ (UH Yeah) (. .)))
[99],"(ROOT (S (S (CC And) (NP (PRP they)) (VP (VBP sell))) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP they)) (VP (VBP sell) (NP (NN everything)) (PP (IN to) (NP (NP (DT some) (NN waste) (NN company)) (SBAR (WHNP (WDT that)) (S (VP (VBZ comes) (CC and) (VBZ gets) (NP (PRP it))))))))))) (. .)))"
[101],"(ROOT (S (CC But) (NP (PRP I)) (VP (VBP wish) (SBAR (IN that) (S (S (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (NP (JJR more)) (PP (IN of) (NP (NP (DT the) (NNS cans)) (, ,) (NP (PRP you))))) (VP (VP (VBP know)) (, ,) (NP (INTJ (UH like)) (NP (DT the) (NNS cans)))))) (NP (PRP you)) (VP (VBP buy) (NP (NNS vegetables)))) (CC and) (S (NP (NP (NN fruit) (CC and) (NN stuff)) (PP (IN like) (NP (NP (DT that)) (PP (IN in))))) (VP (VBD were) (ADJP (JJ recyclable))))))) (. .)))"
[102],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't)) (, ,)))"
[103],(ROOT (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (DT that)) (PP (BES 's) (NP (DT that) (JJ recyclable) (NN steel)))))))
[100],(ROOT (INTJ (UH Yeah) (. .)))
[105],"(ROOT (INTJ (UH Yeah) (, ,)))"
[104],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (NP (NP (NN anybody)) (SBAR (WHNP (WDT that)) (S (VP (VBZ takes) (NP (DT that)))))))) (. .)))
[107],"(ROOT (S (ADVP (XX Th-)) (, ,) (NP (PRP$ my) (NN husband)) (VP (VBZ likes) (NP (NNP Pepsi)))))"
[108],"(ROOT (PRN (CC and) (S (NP (DT those) (NNS cans)) (VP (VBP are) (NP (NP (NN steel)) (ADJP (IN instead) (PP (IN of) (NP (NN aluminum)))))) (, ,))))"
[109],"(ROOT (S (RB so) (NP (PRP we)) (VP (MD ca) (RB n't) (, ,) (VP (MD ca) (RB n't) (ADVP (RB ever)) (VP (VB recycle) (NP (PRP them))))) (. .)))"
[106],(ROOT (S (NP (DT that)) (VP (BES 's) (NP (JJ true) (XX MUMBLEx))) (. .)))
[111],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (UH now)) (ADVP (PRP I)) (VP (VBD did) (RB n't) (VP (VB know) (NP (DT that)))) (, ,)))"
[110],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (NP (DT a) (JJ good) (NN reason)) (S (VP (TO to) (VP (VB quit) (S (VP (VBG buying) (NP (PRP it))))))))))) (. .)))
[113],"(ROOT (INTJ (UH Yeah) (, ,)))"
[112],"(ROOT (S (SBAR (IN cause) (S (NP (PRP we)) (ADJP (RB just) (SBAR (ADVP (RB usually)) (IN if) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG going) (PP (TO to))))))))) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VB buy) (S (NP (NNS sodas)) (NP (PRP they))))) (VP (VBP 're) (PP (IN in) (NP (NP (DT the)) (, ,) (NP (DT the) (CD two) (NN liter) (NNS bottles))))) (. .)))"
"[114, 116]","(ROOT (S (NP (NP (DT that)) (BES 's) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBP buy) (NP (NP (DT the) (JJS most)) (PP (IN of))) (, ,) (SBAR (IN unless) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG going) (PP (IN on) (NP (NP (DT a) (NN trip) (CC or) (NN something)) (SBAR (WHADVP (WRB where)) (S (NP (PRP we)) (VP (VBP want) (PP (TO to)))))))))))))) (, ,)) (VP (VB put) (NP (DT the) (NNS cans)) (PP (IN in) (NP (DT a) (NN cooler)))) (. .)))"
[115],(ROOT (INTJ (UH Yeah) (. .)))
[117],"(ROOT (S (CC But) (, ,) (S (INTJ (UH well)) (NP (DT that)) (VP (BES 's) (NP (NP (DT all)) (SBAR (S (NP (PRP I)) (VP (MD can) (ADVP (RB really)) (VP (VB think) (PP (IN about) (PP (IN for) (NP (NN recycling))))))))))) (. .)))"
[118],(ROOT (INTJ (UH Okay) (. .)))
[119],(ROOT (S (NP (PRP It)) (VP (VBD was) (ADJP (JJ good) (S (VP (VBG talking) (PP (IN to) (NP (PRP you))))))) (. .)))
[120],(ROOT (INTJ (UH Okay) (. .)))
[122],"(ROOT (FRAG (S (ADJP (ADJP (RB All)) (PRN (PP (JJ right)) (, ,))))))"
[121],"(ROOT (INTJ (INTJ (UH Uh)) (, ,) (INTJ (UH bye) (. .))))"
[123],(ROOT (FRAG (ADVP (UH bye-bye) (. .)) (. .)))
