[0],(ROOT (INTJ (UH Okay) (. .)))
[12],(ROOT (UCP (PP (CC or) (NP (PRP$ your) (JJ daily) (NN job))) (CC or) (SBAR (WHNP (WP whatever)) (S (VP (VBD prevented) (NP (PRP it)))) (. .))))
[11],(ROOT (INTJ (UH Right) (. .)))
[13],"(ROOT (S (CC But) (, ,) (INTJ (UH um)) (, ,) (NP (PRP I)) (VP (VBP like) (NP (NP (DT the) (NNS choices)) (SBAR (S (NP (PRP you)) (VP (VBP have) (NP (RB now)) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (MD can) (VP (VP (VB go) (PP (IN into) (NP (DT an) (NN apartment) (NN type) (NN setting)))) (CC and) (VP (VB have) (NP (DT some))) (, ,) (VP (ADVP (RB basically)) (VB have) (NP (DT a) (JJ independent) (NN life-style))) (, ,) (CC but) (VP (JJ assisted) (NP (NN care)))))))))))) (. .)))"
[14],(ROOT (INTJ (UH Yeah) (. .)))
[15],"(ROOT (FRAG (CC And) (RB then) (SBAR (IN if) (S (NP (NNS things)) (VP (VBP deteriorate) (PRN (, ,) (S (NP (PRP they)) (VP (MD can) (VP (VB go) (PP (IN to) (NP (NP (DT a) (JJ second) (NN level)) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know)))))))))))) (, ,)) (NP (UH like)) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBP prepare) (NP (PRP$ their) (NNS meals)) (PP (IN for) (NP (PRP them)))))))))))"
[17],"(ROOT (S (CC and) (, ,) (NP (CC and) (NP (NP (PRP they)) (ADVP (RB still)))) (VP (VBP live) (ADVP (RB somewhat) (RB independently)))))"
[16],(ROOT (INTJ (UH Uh-huh) (. .)))
[18],(ROOT (S (CC but) (NP (PRP they)) (VP (VBP have) (NP (NP (NNS people)) (VP (VP (VBG checking) (PP (IN on) (NP (PRP them)))) (CC and) (VP (VBG making) (ADJP (JJ sure) (SBAR (S (NP (PRP they)) (VP (VBP have) (NP (JJ hot) (NNS meals)))))))))) (. .)))
[19],(ROOT (INTJ (UH Uh-huh) (. .)))
[20],"(ROOT (FRAG (CC And) (RB then) (SBAR (WHADVP (WRB where)) (S (NP (NP (NP (DT the) (JJ same) (NN community)) (NP (DT a) (NN lot))) (PP (IN of) (NP (NNS times)))) (VP (MD will) (ADVP (RB also)) (VP (VB have) (NP (NP (DT the) (JJ third) (NN level)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (NP (JJ full) (NN care)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (SBAR (WHADVP (WRB where)) (S (NP (DT some) (NNS people)) (VP (MD ca) (RB n't) (, ,) (SBAR (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBP 're) (PP (IN in) (NP (DT a) (NN wheelchair)))))) (CC or) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBP 're) (PP (IN in) (NP (DT a) (NN bed))))))))))))) (, ,))))))))"
[22],(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (MD ca) (RB n't) (VP (VB get) (ADVP (RB around)))))))
[23],(ROOT (S (CC but) (ADVP (RB then)) (NP (PRP they)) (VP (VBP have) (NP (JJ full) (NN care))) (. .)))
[24],"(ROOT (S (CC But) (NP (PRP I)) (ADVP (RB really)) (VP (VBP like) (NP (NP (DT those)) (, ,) (NP (DT those) (NNS options))) (ADVP (RB now))) (, ,)))"
[25],"(ROOT (S (CC and) (PRN (, ,) (S (CC and) (NP (PRP I)) (VP (VBP think) (PP (IN about))))) (NP (PRP it)) (ADVP (RBR more) (RB often) (PP (IN because) (NP (NP (PRP$ my) (NN husband) (POS 's)) (NNS parents)))) (VP (VBP are) (PRN (, ,) (S (NP (PRP they)) (VP (VBP 're) (ADJP (RB very) (JJ active)) (ADVP (RB right) (RB now)))) (, ,)))))"
[26],"(ROOT (S (CC but) (NP (PRP they)) (VP (VBP 're) (NP (NP (CD seventy-five)) (CC and) (, ,) (CC and) (NP (CD seventy-two)))) (. .)))"
[21],(ROOT (INTJ (UH Uh-huh) (. .)))
[28],(ROOT (INTJ (UH Uh-huh) (. .)))
[30],(ROOT (INTJ (UH Yes) (. .)))
[31],"(ROOT (NP (S (S (INTJ (UH Um)) (, ,) (NP (PRP it)) (VP (BES 's))) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (JJ funny))))))"
[32],"(ROOT (S (SBAR (IN because) (PRN (, ,) (INTJ (UH um)) (, ,)) (S (NP (PRP I)) (VP (VBP know) (NP (NNS people)) (PP (IN at))))) (, ,) (NP (WDT that)) (VP (VBP are) (PP (IN in) (NP (NP (QP (DT all) (CD three))) (, ,) (CC and) (NP (NP (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VBP work) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)))))))))))"
"[27, 29]","(ROOT (S (ADVP (RB So)) (, ,) (NP (DT that)) (VP (VBZ comes) (PRT (RP up)) (ADVP (ADVP (RB somewhat) (RBR more) (RB often)) (PP (IN in) (NP (PRP$ my) (NNS thoughts)))) (SBAR (IN as) (S (NP (PRP I)) (VP (VBP see) (NP (DT these) (NNS things)) (PP (IN because) (PP (IN of) (NP (PRP$ their) (NN age)))))))) (. .)))"
[33],"(ROOT (S (NP (PRP I)) (VP (VBP know) (NP (NP (NN someone)) (SBAR (WHNP (WDT that)) (S (VP (VBZ w) (, ,) (VBZ works) (PP (IN in) (NP (DT all) (CD three) (JJ different) (NNS stages))))))) (SBAR (IN like) (S (NP (PRP you)) (VP (VBD said))))) (. .)))"
[35],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP have) (VP (VBN known) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (S (NP (NNS people)) (ADJP (RB close) (PP (IN to) (NP (PRP me)))) (SBAR (WHNP (WDT that)) (S (VP (VBP have) (VP (VBN been) (PP (IN in) (NP (DT all) (CD three)))))))))) (, ,))))))"
[36],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP have) (VP (VBN seen) (NP (PRP them)) (S (INTJ (UH like)) (VP (VB go) (PP (IN from) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBP 're) (PP (IN in) (NP (DT an) (NN apartment) (NN building))))))))))) (, ,))))"
[37],"(ROOT (NP (S (NP (PRP they)) (VP (VP (, ,) (S (NP (NP (PRP we)) (VP (VBP call) (NP (PRP it)))))) (PRN (, ,) (INTJ (UH um)) (, ,))))))"
[38],"(ROOT (S (INTJ (UH well)) (, ,) (ADVP (PRP we)) (VP (VBP have) (NP (JJ high) (NNS rises))) (, ,)))"
[39],"(ROOT (PRN (CC and) (S (NP (PRP it)) (BES 's) (ADVP (RB just)) (PP (IN for) (NP (JJ elderly) (NNS people))) (, ,) (NP (PRP you)) (VP (VBP know)) (, ,))))"
[34],(ROOT (INTJ (UH Uh-huh) (. .)))
[40],"(ROOT (S (CC or) (NP (NP (JJS most)) (PP (IN of) (PRN (, ,) (PP (ADVP (JJS most)) (IN of)) (, ,)) (NP (NP (CD one)) (PP (IN of) (NP (PRP$ their) (NNS spouses)))))) (VP (VBZ has) (ADVP (RB already)) (VP (VBN passed) (ADVP (RB away)))) (. .)))"
[41],(ROOT (INTJ (UH Uh-huh) (. .)))
[42],"(ROOT (S (CC And) (NP (PRP it)) (VP (BES 's) (ADJP (RB really) (JJ nice) (PP (IN for) (NP (PRP them)))) (SBAR (IN because) (S (ADVP (RB then)) (NP (PRP they)) (VP (VBP 're) (PP (IN with) (NP (NP (NP (NNS people)) (NP (PRP$ their) (JJ own) (NN age))) (, ,) (CC and) (NP (NP (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VBP have) (VP (VBN gone) (PP (IN through) (NP (NP (NNS things)) (SBAR (WHNP (RB exactly) (WP what)) (S (NP (PRP they)) (VP (VBP have) (VP (VBN gone) (PP (IN through))))))))))))))))))) (. .)))"
[44],"(ROOT (S (CC And) (, ,) (PP (NP (PRP it)) (BES 's)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (RB really) (JJ nice) (S (VP (TO to) (VP (VB go) (CC and) (VB see) (NP (PRP them)))))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (NP (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (MD can) (ADVP (RB still)) (VP (VB get) (ADVP (RB around)))))) (CC and) (NP (NN everything))))) (, ,)))))"
[45],"(ROOT (FRAG (CC and) (NP (NP (PRP they)) (SBAR (S (S (ADVP (RB still)) (, ,) (NP (PRP you)) (VP (VBP know))) (PRN (, ,) (SINV (VBP do) (NP (PRP$ their) (JJ own) (NN thing))) (, ,)))))))"
[46],"(ROOT (S (CC but) (NP (PRP it)) (VP (BES 's) (PRN (, ,) (S (NP (PRP it)) (VP (BES 's) (ADJP (RB really) (JJ nice)) (S (VP (TO to) (VP (VB see) (NP (PRP them)) (PP (IN because))))))) (, ,)))))"
[47],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (ADVP (RB sometimes))) (, ,)))"
[48],"(ROOT (PRN (UH like) (S (NP (PRP I)) (VP (VBD had) (NP (DT a) (JJ great) (NN aunt)))) (, ,)))"
[49],"(ROOT (S (S (NP (PRP she)) (VP (VBD lived) (PP (IN with) (NP (NP (PRP us)) (PP (IN for) (PRN (, ,) (INTJ (UH um)) (, ,)) (NP (CD three) (NNS months))))))) (, ,) (CC and) (, ,) (SBAR (IN because) (S (NP (PRP she)) (VP (BES 's) (VP (VBG starting) (S (VP (TO to) (VP (VB get) (NP (NP (NNP Alzheimer) (POS 's)) (NN disease))))))))) (. .)))"
[50],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP I)) (VP (VBP have) (NP (NP (NP (DT a) (NN bunch)) (PP (IN of) (NP (JJR younger) (NNS brothers)))) (CC and) (NP (NNS sisters)) (, ,))))))))"
[43],(ROOT (INTJ (UH Uh-huh) (. .)))
[51],"(ROOT (S (CC and) (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP it)) (VP (VBD was) (ADJP (JJ hard) (PP (IN for) (NP (PRP me)))) (SBAR (ADVP (RB as) (RB well)) (IN as) (S (NP (PRP it)) (VP (VBD was) (PP (IN for) (NP (PRP them))) (PP (TO to)) (, ,) (S (VP (TO to) (ADVP (RB actually)) (VP (VB sit) (ADVP (RB down)) (, ,) (SBAR (IN because) (S (NP (PRP she)) (VP (VBZ does) (RB n't) (VP (VB like) (S (VP (VBG doing) (NP (NP (NNS things)) (SBAR (WHNP (WDT that)) (S (NP (DT the) (JJR younger) (NNS kids)) (VP (VBP like) (S (VP (VBG doing))))))))))))))))))))))) (. .)))"
[53],"(ROOT (FRAG (CC And) (S (VP (TO to) (S (NP (NP (NP (RB actually)) (SBAR (S (VP (VB sit))))) (, ,)))))))"
[52],(ROOT (INTJ (UH Right) (. .)))
[55],"(ROOT (INTJ (UH Yeah) (, ,)))"
[54],(ROOT (S (RB so) (NP (PRP it)) (VP (BES 's) (ADJP (RB really) (JJ nice)) (S (VP (TO to) (VP (VB see) (NP (DT that)))))) (. .)))
[56],"(ROOT (S (NP (DT that)) (VP (BES 's) (NP (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (S (NP (PRP I)) (VP (MD would) (VP (VB find) (ADJP (JJ important)) (SBAR (IN before) (S (NP (PRP I)) (PRN (, ,) (S (NP (PRP I)) (VP (VP (MD would) (VP (VB look) (PP (IN into) (NP (NP (DT that)) (PP (IN for) (NP (DT a) (NN person))))))) (, ,) (VP (VBZ is)) (, ,) (VP (VBZ is)))) (, ,)) (VP (VBZ is) (SBAR (IN like) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG saying))))))))))))))) (, ,) (NP (NP (DT a) (JJ good) (NN mix)) (PP (IN of) (NP (NP (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP have) (NP (DT the) (JJ same) (NNS interests)))))))))) (. .)))"
[58],"(ROOT (NP (NP (CC And)) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (PP (CC and) (NP (DT the) (NNS programs)))) (, ,))))"
[59],"(ROOT (S (SBAR (ADVP (RB here)) (S (NP (PRP they)) (VP (VBP have) (S (ADJP (JJ different)))))) (, ,) (INTJ (UH uh)) (, ,) (PP (IN besides) (NP (NP (RB just) (JJ different) (NNS levels)) (PP (IN within) (NP (DT the) (JJ same) (NN program))))) (, ,) (NP (PRP they)) (VP (VBP have) (NP (NP (JJ different) (NNS types)) (PP (IN of) (NP (NNS programs))))) (. .)))"
[60],(ROOT (S (NP (PRP They)) (VP (VBP have) (NP (JJ several) (NNS areas))) (. .)))
[61],"(ROOT (S (NP (PRP They)) (VP (VBP have) (S (NP (NP (CD one) (NN area)) (PP (IN in) (NP (NP (NN town)) (FRAG (WHADVP (WRB where)))))) (NP (DT the) (NNS people)))) (, ,)))"
[62],(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (PRP it)))) (VP (VBZ comes) (PP (IN with) (NP (NN money))))))) (. .)))
[63],"(ROOT (FRAG (NP (NP (PRP I)) (, ,) (NP (NP (DT this)) (PRN (, ,) (S (NP (DT this) (CD one) (NN area)) (VP (VBZ is) (ADJP (ADVP (NP (DT a) (NN bit)) (RBR more)) (JJ expensive)))) (, ,))))))"
[64],(ROOT (S (CC and) (NP (NP (DT the) (NNS people)) (SBAR (WHNP (WP who)) (S (ADVP (RB probably)) (VP (VBP are) (VP (VBG living) (ADVP (RB there))))))) (VP (VBP have) (VP (VBN had) (NP (JJR more) (NN money)) (PP (IN in) (NP (PRP$ their) (NN life))))) (. .)))
[57],(ROOT (INTJ (UH Uh-huh) (. .)))
[65],"(ROOT (S (CC But) (, ,) (S (NP (CC but)) (VP (ADVP (NNS things)) (S (NP (NP (WDT that) (NX (NNS people))) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBP have) (NP (JJ similar) (NNS interests))))))))) (. .)))"
[67],"(ROOT (PP (IN Like) (NP (NP (PRP you)) (SBAR (S (VP (VBP 're) (VP (VBG saying))) (, ,))))))"
[66],(ROOT (INTJ (UH Uh-huh) (. .)))
[68],"(ROOT (PRN (CC and) (NP (NP (DT the) (NNS programs)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP have) (, ,) (SBARQ (WHADVP (WRB where)) (, ,) (WHADVP (WRB where) (NP (NP (DT some)) (PP (IN of) (NP (PRP them))))) (SQ (MD will) (VP (VB have) (NP (NNS dances)) (NP (RB once) (DT a) (NN week)))))))))))"
[70],"(ROOT (S (CC and) (ADVP (DT some) (PP (IN of) (NP (PRP them)))) (VP (VBP sponsor) (NP (JJ different) (NNS crafts))) (, ,)))"
[71],"(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBP go) (PP (IN to) (NP (DT the) (NN arboretum) (S (VP (TO to) (VP (VB see) (NP (NNS things)))))))) (, ,))))"
[69],(ROOT (INTJ (UH Yeah) (. .)))
[72],"(ROOT (S (CC and) (NP (PRP they)) (VP (VBP make) (ADJP (JJ sure) (SBAR (IN that) (S (SBAR (IN if) (S (NP (PRP they)) (VP (VBP want) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (NN church))))))))) (, ,) (NP (EX there)) (VP (BES 's) (NP (DT a) (NN bus)) (ADVP (RB there))))))) (. .)))"
[74],"(ROOT (S (CC And) (PRN (, ,) (S (NP (PRP it)) (VP (VP (MD 'll)) (, ,) (CC or) (VP (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know))) (, ,) (CC or) (S (NP (NN someone)) (VP (MD will) (VP (VB transport) (NP (PRP them)) (PP (IN to) (NP (DT a) (JJ specific) (NN church)))))))))) (, ,)) (SBAR (RB even) (IN though) (S (NP (PRP it)) (VP (BES 's)))) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (ADVP (RB maybe)) (NP (PRP it)) (VP (BES 's) (ADVP (NP (CD thirty) (NNS minutes)) (RB away)))) (, ,)))))"
[73],(ROOT (INTJ (UH Uh-huh) (. .)))
[75],"(ROOT (S (S (SBAR (IN because) (S (NP (PRP it)) (VP (BES 's) (NP (DT a) (JJ big))))) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (NP (NNP Dallas) (NN area)) (VP (VBZ is) (NP (DT a) (JJ big) (JJ metropolitan) (NN area))) (. .)))"
[77],"(ROOT (S (CC But) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT these) (NNS places)))) (VP (VP (VBP have)) (, ,) (VP (VBP have) (NP (NNS churches))) (CC or) (VP (VBP have)) (, ,) (VP (VBP have) (NP (JJ individual) (NN transportation)))) (. .)))"
[76],(ROOT (INTJ (UH Yeah) (. .)))
[78],"(ROOT (S (NP (DT That) (BES 's)) (, ,) (NP (DT that)) (VP (NP (NP (BES 's) (NN something)) (SBAR (S (NP (PRP I)) (VP (MD 'd) (VP (VB look) (PP (IN for))))))) (, ,) (NP (NP (NN something)) (SBAR (WHNP (WDT that)) (S (VP (MD would) (VP (VB make) (S (NP (PRP me)) (ADJP (JJ happy)) (SBAR (ADVP (RB personally)) (IN if) (S (NP (PRP I)) (VP (VBD had) (S (VP (TO to) (VP (VB live) (ADVP (RB there))))))))))))))) (. .)))"
[79],(ROOT (INTJ (UH Uh-huh) (. .)))
[81],(ROOT (INTJ (UH Yeah) (. .)))
"[80, 82]","(ROOT (S (SBAR (IN Because) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS people)) (UCP (PP (ADVP (RB really)) (, ,) (ADVP (RB even)) (IN in) (NP (DT the) (JJ nice) (NNS ones))) (, ,) (CC and) (ADVP (RB even)))))) (PP (IN in) (NP (NP (DT the) (NNS ones)) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (MD can) (VP (VB live) (ADVP (RB fairly) (RB independently)))))))))))) (, ,) (NP (PRP they)) (ADVP (RB really)) (VP (VBP do) (RB n't) (ADVP (RB necessarily)) (VP (VB like) (NP (PRP it)) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP 're) (RB not) (PP (IN in) (NP (PRP$ their) (JJ own) (NN home)))))))) (. .)))"
[83],(ROOT (INTJ (UH Uh-huh) (. .)))
[85],(ROOT (INTJ (UH Uh-huh) (. .)))
[87],(ROOT (INTJ (UH Yeah) (. .)))
[88],"(ROOT (S (INTJ (UH Um)) (, ,) (ADVP (PRP I)) (VP (VBP 'm) (PP (IN in) (NP (NN college)))) (, ,)))"
[89],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP 'm) (PRN (, ,) (S (NP (PRP I)) (VP (VBP 'm) (ADVP (RB only)) (NP (CD twenty-one)))))))))"
[90],"(ROOT (S (CC but) (NP (PRP we)) (VP (VBD had) (NP (NP (DT a) (NN spee-)) (PRN (, ,) (S (NP (PRP I)) (VP (VBD had) (NP (NP (DT a) (NN speech) (NN class)) (NP (JJ last) (NN semester))))) (, ,))))))"
"[84, 86]","(ROOT (S (RB So) (NP (PRP I)) (VP (VBP think) (NP (NP (DT those) (NNS kinds)) (PP (IN of) (NP (NNS things)))) (, ,) (S (VP (VP (TO to) (VP (VB make) (S (NP (PRP it)) (ADJP (ADJP (JJR more)) (JJ homelike))))) (CC and) (VP (TO to) (VP (VB make) (S (NP (PRP it)) (ADJP (ADJP (ADJP (JJR more)) (PRN (, ,) (INTJ (UH um)) (, ,))) (JJ enjoyable)) (SBAR (PP (IN for) (NP (PRP them)) (. .)) (S (NP (DT That)) (VP (MD 'd))))) (PRN (, ,) (S (NP (DT that)) (VP (MD 'd) (VP (VB be) (NP (NP (CD one) (NN thing)) (SBAR (S (NP (PRP I)) (VP (MD 'd) (VP (VB look) (SBAR (IN for) (PRN (, ,) (ADVP (IN along) (PP (IN with) (NP (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN health) (NN care) (NNS aspects)) (SBAR (S (VP (TO to) (VP (VB make) (ADJP (JJ sure) (SBAR (S (NP (PRP they)) (VP (VBD had)))))))))))) (, ,)) (S (NP (PRP you)) (VP (VBP know)))))))))))) (, ,)) (SBAR (SBAR (IN that) (S (NP (PRP it)) (VP (VBD was) (ADJP (JJ clean))))) (CC and) (SBAR (IN that) (S (NP (PRP they)) (VP (VBD had) (NP (JJ good) (NNS doctors) (CC and) (NNS nurses))))))))))) (. .)))"
[91],(ROOT (S (CC and) (NP (EX there)) (VP (VBD was) (NP (NP (DT a) (NN girl)) (PP (IN in) (NP (PRP$ my) (NN class))) (SBAR (WHNP (WP who)) (S (VP (VBD did) (NP (DT a) (NN speech)) (PP (IN on) (NP (NP (NN home) (NN care)) (PP (IN of) (NP (DT the) (NN elderly)))))))))) (. .)))
[93],"(ROOT (S (CC And) (ADVP (PRP I)) (VP (VBD was) (ADJP (RB so) (JJ surprised) (S (VP (TO to) (VP (VB hear) (WHNP (WHADJP (WRB how) (JJ many)) (NNS people))))))) (, ,)))"
[92],(ROOT (INTJ (UH Uh-huh) (. .)))
[95],(ROOT (INTJ (UH Uh-huh) (. .)))
"[94, 96]","(ROOT (SBARQ (INTJ (UH like)) (WHADVP (WRB whenever)) (PRN (S (NP (PRP they)) (VP (VBP 're) (PP (IN in)))) (, ,)) (SQ (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (DT the) (JJR older) (NNS people)) (, ,) (NP (PRP they)) (VP (VBP 're) (NP (UH like)) (, ,) (INTJ (UH um)) (, ,) (S (VP (VP (VBN fastened) (PP (IN to) (NP (PRP$ their) (NNS beds))) (SBAR (SBAR (IN so) (S (S (NP (PRP they)) (VP (VP (MD ca) (RB n't)) (VP (ADVP (RB get) (RP out) (RB just)) (SBAR (IN because) (S (NP (PRP they)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP they)) (VP (VBP wander) (NP (DT the) (NNS halls))))))) (. .)) (CC And) (S (NP (PRP they)) (VP (VBP get) (NP (DT the) (JJ wrong) (NN medicine)))))) (, ,) (RB just) (SBAR (IN because) (, ,) (S (NP (PRP you)) (VP (VBP know)))))) (, ,) (NP (NP (NP (DT the)) (, ,) (NP (DT the) (NNS aides))) (CC or) (SBAR (WHNP (WP whoever)) (S (ADVP (RB just)) (VP (VBP give) (NP (PRP them)) (NP (DT the) (JJ wrong) (NN medicine))))))))))))) (. .)))"
[97],(ROOT (INTJ (UH Yeah) (. .)))
[98],"(ROOT (S (CC And) (ADVP (ADVP (RB so) (JJ many)) (PP (IN of) (NP (PRP them)))) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (VP (VBP are))) (, ,)))))"
[100],(ROOT (INTJ (UH Yes) (. .)))
[101],"(ROOT (S (CC And) (NP (PRP it)) (VP (VBD was) (, ,) (SBAR (S (NP (PRP it)) (VP (VBD was) (ADJP (JJ awful) (S (VP (TO to) (VP (VB hear) (SBAR (WHNP (WP what)) (, ,) (S (NP (PRP you)) (VP (VBP know)))))))) (, ,) (SBAR (WHNP (WP what)) (S (NP (NP (DT some)) (PP (IN of) (NP (DT these) (NNS people)))) (ADVP (RB really)) (VP (VBD went) (PP (IN through))))))))) (. .)))"
[102],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP forget) (NP (NP (DT the) (NN percentage)) (PP (IN of) (NP (NP (NP (NNS people)) (SBAR (WHNP (WDT that)) (, ,) (S (NP (PRP you)) (VP (VBP know))))) (, ,) (SBAR (WHNP (WDT that)) (S (NP (PRP she)) (VP (VBD had) (VP (VBN said))))) (, ,)))))))"
[99],"(ROOT (S (VP (VBP Are) (VP (VBN overmedicated) (, ,) (ADVP (RB too)))) (. .)))"
[104],(ROOT (INTJ (UH Uh-huh) (. .)))
[105],"(ROOT (INTJ (UH Yeah) (, ,)))"
[106],"(ROOT (S (NP (DT that)) (VP (BES 's) (NP (NP (CD one)) (PP (IN of) (NP (NP (NP (DT the) (NNS things)) (SBAR (WHNP (WDT that)))) (, ,) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB think) (PP (IN about) (SBAR (IN as) (S (NP (PRP we)) (VP (VBP get) (ADJP (ADJP (ADJP (JJR older)) (PRN (, ,) (CC and) (NP (NP (DT the)) (, ,) (NP (DT the) (NN money))))) (SBAR (WHNP (WDT that)) (S (NP (PRP it)) (ADVP (RB now)) (VP (VBZ requires) (PP (TO to)))))) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VB be) (PP (IN in) (NP (NP (CD one)) (PP (IN of) (NP (DT these) (NNS places))))))))))))))))))) (. .)))"
[107],"(ROOT (PP (IN Because) (NP (NP (DT some)) (PP (IN of) (NP (DT these) (NNS people))) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (ADVP (RB just)) (PP (IN on) (NP (JJ social) (NN security)))))) (, ,))))"
[108],"(ROOT (PRN (CC and) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT any) (VBG living) (NNS relatives)))) (, ,)))))"
[109],(ROOT (ADJP (RB perhaps) (SBAR (S (NP (PRP they)) (ADVP (RB never)) (VP (VBD had) (NP (NNS children)))))))
