[0],(ROOT (INTJ (UH Okay) (. .)))
[28],"(ROOT (S (NP (PRP I)) (VP (VBP guess) (S (NP (PRP he)) (NP (ADJP (ADJP (BES 's) (PP (IN on) (NP (DT the) (NNP County)))) (PRN (, ,) (INTJ (UH uh) (, ,) (UH oh)) (, ,))) (NX (NX (NX (NNP Board)) (PP (IN of) (NP (NNPS Supervisors)))) (CC or)))))))"
[29],(ROOT (INTJ (UH Right) (. .)))
"[30, 32]","(ROOT (ADJP (ADJP (ADJP (ADJP (XX MUMBLEx)) (PRN (CC and) (, ,) (ADVP (DT the)) (, ,) (NP (NP (DT the)) (, ,) (NP (DT the))))) (PRN (, ,) (INTJ (UH uh)) (, ,))) (PP (IN at) (NP (NP (DT those) (NNS meetings)) (SBAR (S (NP (PRP he)) (VP (VP (ADVP (RB really)) (VP (VBZ comes) (ADJP (ADVP (RB quite) (RB well)) (VBN prepared))) (CC and) (VP (VBZ is) (VP (VP (ADVP (RB well)) (VBN informed)) (CC and) (VP (VBZ is) (NP (DT a) (JJ hard) (NN worker)))))) (CC and) (VP (VBZ is) (ADVP (RB really)) (ADJP (ADJP (RB quite) (JJ agreeable)) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))))))"
[33],"(ROOT (PRN (CC and) (SBAR (IN that) (S (NP (NP (DT this) (NN stuff)) (SBAR (S (S (NP (PRP we)) (VP (VBP see) (PP (IN in) (NP (DT the))))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,) (PP (IN in) (NP (DT the) (NN media)))))) (VP (VBZ is) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))"
[34],"(ROOT (S (INTJ (UH well)) (, ,) (NP (PRP he)) (VP (BES 's) (ADVP (RB really)) (VP (ADVP (RB just)) (VBG trying) (S (VP (TO to) (VP (VB make) (NP (DT a) (JJ political) (NN statement))))))) (. .)))"
[35],"(ROOT (NP (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP find) (S (NP (DT that)) (NP (NP (DT an) (JJ interesting) (NN element)) (PP (IN of) (NP (NP (NNS politics)) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP do) (RB n't)))))))) (, ,) (SBAR (IN that) (S (, ,) (SBAR (IN that) (S (NP (JJS most) (NNS people)) (VP (MD would) (RB not) (VP (VB know) (SBAR (IN that) (S (NP (NNP John) (NNP Wiley) (NNP Price)) (ADVP (RB apparently)) (VP (VBZ is) (NP (DT a))))))))) (, ,) (VP (VBZ is) (NP (NP (DT a)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))))))))))"
[36],"(ROOT (S (PP (IN of) (NP (NN course))) (, ,) (NP (PRP he)) (VP (HVS 's) (VP (VBN got) (PP (IN in) (NP (NP (DT this)) (, ,) (NP (NP (DT this) (NN deal)) (PP (IN of) (NP (NP (NN racism) (CC and) (DT the)) (, ,) (PRN (S (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (NN name) (NN calling)) (CC and) (NP (PDT all) (DT this))))))))) (. .)))"
[37],"(ROOT (S (CC But) (ADVP (RB apparently)) (, ,) (NP (PRP he)) (VP (BES 's) (NP (NP (DT a)) (, ,) (NP (DT a) (NN worker)))) (. .)))"
[38],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP you)) (VP (MD may) (VP (VB disagree) (PP (IN with) (NP (PRP him))))) (, ,)))"
[39],"(ROOT (S (CC but) (NP (PRP I)) (, ,) (S (NP (PRP I))) (, ,) (ADVP (PRP I)) (VP (VBP find) (NP (DT this) (JJ whole))) (, ,)))"
[31],(ROOT (INTJ (UH Uh-huh) (. .)))
[41],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (PRP they)) (VP (MD should) (VP (VP (VB go) (ADVP (RB ahead))) (CC and) (VP (VP (VB go) (PP (IN to) (NP (DT the)))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (CD fourteen) (CD one))))))))) (. .)))"
[42],"(ROOT (NP (NP (PRP I)) (, ,) (PP (IN to) (NP (NP (PRP me)) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADJP (RB just) (JJ fair)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)))))))))"
[40],"(ROOT (SBARQ (WHNP (WP what)) (SQ (VBP do) (NP (PRP you)) (VP (VP (VP (VB think) (PP (IN of) (NP (DT this)))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (CD fourteen) (CD one)))) (CC and) (VP (NP (QP (CD ten) (CD four)) (CD one)) (PP (IN in) (NP (NNP Dallas)))))) (. ?)))"
[44],(ROOT (S (NP (PRP I)) (VP (VBP agree) (PP (IN with) (NP (PRP you))))))
[43],"(ROOT (S (NP (DT an) (JJ equal)) (, ,) (NP (PRP it)) (VP (VBZ seems) (SBAR (IN like) (S (NP (DT every) (NN area)) (VP (MD should) (VP (VB have) (NP (DT an) (JJ equal) (NN voice))))))) (. .)))"
[45],"(ROOT (SQ (CC but) (VBD did) (NP (PRP you)) (VP (VB see) (NP (NP (DT the) (NN map)) (SBAR (S (NP (PRP they)) (VP (VBD drew) (PRT (RP up)) (PP (IN on) (PRN (, ,) (INTJ (UH uh)) (, ,))) (PP (IN on) (SBAR (WHADVP (WRB how)) (S (NP (PRP they)) (VP (VBD were) (VP (VBG going) (S (VP (TO to) (VP (VB divide) (PRT (RP up)) (NP (DT the) (NNS districts))))))))))))))) (. ?)))"
[47],"(ROOT (S (NP (PRP It)) (VP (VBD was) (, ,) (SBAR (S (NP (PRP it)) (VP (VBD was) (NP (DT the) (JJS strangest)))))) (, ,)))"
[48],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PRN (, ,) (S (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (JJ sure) (SBAR (S (NP (PRP it)) (VP (VBD was) (VP (VBN gerrymandered)))))))) (, ,)))))"
[49],"(ROOT (S (CC but) (ADVP (NP (NP (DT the) (NN way)) (SBAR (S (NP (PRP they)) (VP (VBD drew) (NP (DT these) (JJ little) (NNS patterns)))))) (PRN (CC and) (NP (NP (NN stuff)) (, ,) (NP (PRP I)) (, ,) (NP (PRP I))))) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (ADJP (NP (DT a) (RB little)) (JJ cynical) (PP (IN of) (NP (NP (DT the)) (, ,) (PP (IN of) (NP (DT the) (NN power) (NN base)))))))))) (. .)))"
[50],"(ROOT (S (NP (NP (PRP I)) (, ,) (NP (PRP I)) (, ,) (NP (PRP I)) (, ,) (CC and) (NP (PRP I))) (VP (VBP do) (RB n't) (ADVP (RB quite)) (VP (VB understand) (SBAR (WHADVP (WRB why)) (S (NP (NP (DT the) (NN power)) (ADJP (ADJP (NN base)) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (VP (VBZ does) (ADVP (ADVP (RB n't)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (SBAR (WHADVP (WRB why)) (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB go) (PP (IN with) (NP (CD fourteen) (CD one))))))))))))) (. .)))"
[51],"(ROOT (S (S (NP (PRP I)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (CC and) (, ,) (S (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (DT the)) (, ,) (NP (PRP it)) (VP (VBZ seems) (PP (IN to) (NP (PRP me))) (SBAR (IN that) (S (SBAR (WHNP (WP what)) (S (VP (VBD happened) (ADVP (IN in) (DT the)) (, ,) (PP (IN in) (NP (DT the) (NN election))) (, ,) (SBAR (IN that) (FRAG (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT the) (NNS people))))))))) (, ,) (NP (PRP they)) (VP (VBD said) (NP (RB particularly) (DT the))))))) (, ,)) (NP (DT the)))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP think) (NP (PRP it)))) (BES 's) (S (NP (NNPS Hispanics)) (VP (VBP do) (RB n't) (VP (VB vote) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP have) (NP (DT any) (NN affect))))))))))) (, ,))))"
[46],(ROOT (INTJ (UH No) (. .)))
[52],"(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (BES 's)) (, ,))))"
[54],"(ROOT (NP (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP am) (NP (NP (ADJP (JJ disappointed) (PP (IN with) (NP (NNP Dallas))))) (PP (IN in) (NP (DT that)))) (, ,) (INTJ (UH uh)) (, ,) (S (NP (NP (DT the) (CD fourteen) (CD one)) (, ,) (NP (PRP it)) (, ,))))))))))"
[55],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))
[56],"(ROOT (S (NP (PRP You)) (VP (VP (MD can)) (PRN (, ,) (S (NP (PRP you)) (VP (VP (MD can) (VP (VB disagree) (PP (IN with) (NP (NNP Al) (NNP Lipscomb))))) (CC and) (, ,) (NP (UH uh)))) (, ,)))))"
[53],(ROOT (INTJ (UH Yeah) (. .)))
[57],"(ROOT (SBARQ (SBAR (WHNP (WP what)) (S (VP (BES 's)))) (, ,) (WHNP (WP what)) (SQ (BES 's) (NP (NP (DT the) (NN lady) (POS 's)) (NN name))) (. ?)))"
[59],(ROOT (INTJ (UH Yeah) (. .)))
[60],"(ROOT (S (NP (PRP You)) (VP (MD can) (VP (VB disagree) (PP (IN with) (PRN (, ,) (INTJ (UH uh)) (, ,))) (SBAR (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG doing))))) (CC and) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG saying)))))))) (, ,)))"
[58],(ROOT (NP (NNP Diane) (NNP Ragsdale) (. ?)))
[61],"(ROOT (S (CC but) (PP (IN in) (NP (NP (NN reality)) (SBAR (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP 're))))))))) (, ,) (NP (PRP they)) (VP (VBP 're) (VP (VBG trying) (S (VP (TO to) (VP (VB represent) (NP (PRP$ their) (NNS constituents))))))) (. .)))"
[63],"(ROOT (S (NP (CC A-)) (PRN (, ,) (S (CC and) (NP (PRP I)) (VP (VBP think) (NP (NNP Dallas))))) (VP (VBZ is) (VP (VBG doing) (S (NP (PRP itself)) (NP (DT a) (NN disservice))))) (. .)))"
[62],(ROOT (INTJ (UH Yeah) (. .)))
[65],"(ROOT (INTJ (UH Yeah) (, ,)))"
[66],"(ROOT (S (NP (PRP they)) (ADVP (RB really)) (VP (VBP make) (S (NP (PRP themselves)) (VP (VB look) (ADJP (JJ bad))))) (, ,)))"
[64],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (MD ought) (S (VP (TO to) (VP (VB get) (PP (IN on) (PP (IN with) (NP (NN something)))) (ADJP (JJ important))))))))) (. .)))
[68],"(ROOT (INTJ (UH Yeah) (, ,)))"
[69],"(ROOT (PRN (CC and) (S (S (NP (PRP I)) (, ,) (CC but) (NP (PRP I)) (VP (VBP think) (ADVP (RB even)))) (, ,) (S (NP (PRP I)) (, ,) (ADVP (RB even)) (NP (DT those) (NNS people)) (VP (VBP are))) (, ,))))"
[70],"(ROOT (S (NP (PRP it)) (VP (BES 's) (PP (IN like) (NP (NP (NNP Pauken) (CC and) (NNP Box)) (CC and) (NP (DT these) (NNS people))))) (, ,)))"
[71],"(ROOT (S (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's)))))) (, ,) (NP (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of)) (ADJP (JJ interesting)) (SBAR (IN that) (S (NP (NN everybody)) (VP (BES 's) (ADJP (RB so) (JJ busy)) (S (VP (VBG politicking) (SBAR (IN that) (S (NP (DT the) (NN question)) (VP (VBZ is) (SQ (VBP are) (NP (PRP we)) (VP (VBG getting) (NP (NP (NN anything)) (ADJP (JJ good) (VBN done)))))))))))))) (. .)))"
[72],(ROOT (S (NP (PRP It)) (VP (BES 's) (PP (IN like) (NP (DT this) (JJ whole) (NN school) (NN issue)))) (. .)))
[67],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP (WRB why)) (S (NP (JJ certain) (NNS groups)) (VP (VBP are) (VP (VBG fighting) (ADJP (RB so) (JJ hard)) (S (VP (TO to) (VP (VB keep) (NP (DT the) (CD ten)) (NP (CD four) (CD one))))))))))) (. .)))
[74],"(ROOT (INTJ (UH No) (, ,)))"
"[73, 76]","(ROOT (SINV (VP (VBP Are) (NP (PRP you)) (VP (JJ involved) (PP (IN in) (NP (NP (DT the) (NNS schools)) (X (ADVP (IN at) (DT all)) (NP (JJ public) (NNS schools)) (. ?)))))) (NP (NP (DT This) (JJ whole) (NN thing)) (ADVP (IN down) (RB there)) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VP (VBP 're)) (PRN (, ,) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG trying) (PP (TO to) (PRN (, ,) (INTJ (UH um) (, ,) (UH uh)) (, ,)) (NP (NP (PRP you)) (SBAR (S (VP (VBP know))))))))) (, ,)) (VP (VP (VB devote) (NP (DT all) (PRP$ our) (NN money))) (CC and) (VP (VP (VB raise) (NP (PRP$ our) (NNS taxes))) (CC and) (VP (VB better) (NP (NNS schools)))))))))))"
[77],"(ROOT (S (CC and) (, ,) (SBAR (PP (CC and) (NP (PRP it))) (S (NP (DT all)) (VP (VBZ seems)))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (PP (IN like) (NP (NN everybody))) (BES 's) (S (VP (VBG trying) (PP (TO to) (NP (NN one-upmanship))) (PP (IN on) (NP (NN everybody) (RB else))))))))"
[75],(ROOT (INTJ (UH huh-uh) (. .)))
[79],"(ROOT (INTJ (UH Yeah) (, ,)))"
[80],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[78],"(ROOT (NP (RB so) (, ,)))"
[81],"(ROOT (S (NP (PRP I)) (VP (, ,))))"
[82],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP have) (VP (VBN got) (S (VP (TO to) (VP (VB run) (PP (IN to) (NP (DT a) (NN meeting)))))))) (. .)))"
[84],(ROOT (S (NP (PRP It)) (VP (VBD was) (ADJP (JJ good) (S (VP (VBG talking) (PP (IN to) (NP (PRP you))))))) (. .)))
[85],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (S (NP (PRP we)) (VP (VBP 've) (VP (VBN gone) (NP (PRP$ our))))) (, ,) (NP (PRP$ our) (CD ten) (NNS minutes))))))"
[83],(ROOT (INTJ (UH Okay) (. .)))
[87],(ROOT (INTJ (UH Okay) (. .)))
[86],"(ROOT (S (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (VBP 've)))))) (, ,) (NP (PRP we)) (VP (VBP 've) (VP (VBN talked) (ADVP (RB long) (RB enough)))) (. .)))"
[89],(ROOT (INTJ (UH Okay) (. .)))
[88],(ROOT (FRAG (ADJP (JJ Good)) (S (VP (VBG talking) (PP (IN to) (NP (PRP you))))) (. .)))
