[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[12],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (DT the) (JJ major) (NN thing)) (SBAR (S (NP (PRP they)) (VP (VBP need) (S (VP (TO to) (VP (VB correct)))))))) (VP (VBZ is) (SBAR (WHADVP (WRB how) (JJ long)) (S (NP (PRP it)) (VP (VBZ takes) (NP (NN something)) (S (VP (VP (TO to) (VP (VB get) (PP (IN to) (NP (NN jury))))) (, ,) (CC and) (VP (TO to) (VP (VB get) (PP (IN to) (NP (NN trial)))))))))))))) (. .)))"
[14],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (DT that)) (VP (BES 's) (NP (NP (RB just) (DT a) (JJ pure) (NNS volumes) (NN number)) (CC or) (, ,) (CC or) (NP (WP what)))) (, ,)))))))"
[15],"(ROOT (FRAG (S (ADVP (CC but)) (, ,) (S (INTJ (UH uh) (. .)) (NP (RB Sometimes) (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (NN jury)) (VP (VBZ is) (ADJP (JJ ignorant) (PP (IN in) (NP (NP (DT the) (NNS facts)) (PP (IN of) (NP (NN law))))))))))) (CC and) (S (ADVP (WRB how)) (NP (NNS things)) (VP (MD should) (VP (VB be) (VP (VBN determined)))) (, ,)))))"
[13],(ROOT (INTJ (UH True) (. .)))
[17],"(ROOT (INTJ (UH Yeah) (, ,)))"
[16],(ROOT (S (CC and) (NP (PRP they)) (VP (VBP 're) (ADVP (RB too) (RB easily)) (VP (VBN swayed) (PP (IN by) (NP (PRP$ their) (NN emotion))))) (. .)))
[18],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (BES 's) (ADJP (JJ true)))))) (. .)))
[20],X
[22],(ROOT (INTJ (UH Yeah) (. .)))
"[19, 21]","(ROOT (S (ADVP (RB Hence)) (VP (VBZ is) (ADJP (JJ possible))) (NP (NP (NN error)) (SBAR (IN as) (S (NP (PRP you)) (VP (MD can) (VP (VB see) (PP (IN in) (NP (NP (PDT all) (DT the) (NNS IRONSIDES)) (, ,) (NP (NN T) (NN V) (NNS shows))))))))) (. .)))"
[24],"(ROOT (INTJ (UH No) (, ,)))"
[25],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (EX there)) (VP (VBP are) (NP (JJ certain) (NNS things)) (SBAR (WHNP (WDT that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (DT the) (NN jury)) (VP (MD can) (VP (VB determine) (ADVP (RB as) (RB far)) (PP (IN as) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (JJ guilty)) (CC or) (NP (RB not) (JJ guilty)))))))))))) (, ,)))"
[26],"(ROOT (S (CC but) (PP (RB as) (RB far) (IN as) (NP (NP (DT the) (VBG af)) (, ,) (NP (VBG af)) (, ,) (S (VP (VBG affixing) (PP (IN of) (NP (NN punishment))))) (CC and) (NP (NP (NNS fines) (CC and) (NNS things)) (PP (IN of) (NP (DT that) (NN nature)))))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (S (SBAR (IN if) (S (NP (DT that)) (VP (VBZ is) (ADVP (RBS best)) (VP (VBN left) (PRT (RP up)) (PP (IN to) (NP (DT the) (NN jury) (S (VP (TO to) (VP (VB de) (, ,) (S (VP (TO to) (VP (VB award))))))))))))) (, ,) (NP (PRP you)) (VP (VBP know))))) (. .)))"
[27],"(ROOT (S (S (NP (NP (NP (CD Two) (NN point)) (ADJP (QP (CD two) (CD million)) (NN dollar)) (ADVP (RB kind) (RB of)) (NP (NP (NN settlement)) (PP (IN versus) (NP (DT a) (NN judge))))) (VP (VBG knowing)))) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ true)) (SBAR (IN that) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (S (NP (DT this)) (VP (MD may) (VP (VB be) (NP (NP (JJ sad)) (CC and) (NP (PDT all) (DT that) (NN thing))))))))) (, ,)))))"
[23],"(ROOT (SQ (S (VP (VBP Do))) (, ,) (MD would) (NP (PRP you)) (VP (VB prefer) (NP (DT all) (NNS trials)) (PP (IN by) (NP (DT a) (NN judge)))) (. ?)))"
[29],"(ROOT (INTJ (UH Yeah) (, ,)))"
[30],(ROOT (S (NP (PRP I)) (VP (MD would) (VP (VB agree) (PP (IN with) (NP (DT that))))) (. .)))
[31],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ righ)))))) (, ,)))"
[32],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VP (ADVP (RB sometimes)) (VBP get) (S (VP (VBN carried) (PRT (RP away)) (PP (IN by) (NP (DT the) (NNS circumstances)))))) (CC and) (VP (VBP make) (NP (JJ huge) (NNS settlements)) (S (VP (VBG thinking) (SBAR (S (INTJ (UH well)) (NP (PRP it)) (VP (BES 's) (ADVP (RB only)) (VP (VBG going) (S (VP (TO to) (VP (VB cost) (NP (DT the) (NN insurance) (NN company)))))))))))))))) (, ,)))"
[28],"(ROOT (S (CC but) (, ,) (INTJ (UH uh)) (, ,) (NP (DT the) (NN jury)) (PRN (S (NP (PRP I)) (VP (VBP think)))) (VP (VBZ is) (NP (NP (JJS best)) (, ,) (PP (IN in) (NP (JJS most) (NNS cases))) (, ,) (VP (VBN suited) (PP (IN for) (NP (NP (NP (NN determination)) (PP (IN of) (NP (NN guilt) (CC and) (NN innocence)))) (, ,) (CONJP (CC but) (RB not)) (NP (NP (DT the) (NN award)) (PP (IN of))) (, ,) (PP (IN of) (NP (NP (NNS penalties) (CC and) (NNS fines)) (CC and) (NP (NN punishment))))))))) (. .)))"
[34],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[35],(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (JJ true))) (. .)))
[33],"(ROOT (FRAG (CC and) (ADVP (, ,))))"
[37],(ROOT (INTJ (UH Uh-huh) (. .)))
[39],(ROOT (FRAG (SBAR (IN If) (S (NP (PRP they)) (VP (VBP give) (NP (PRP them)) (NP (PDT all) (DT the) (NN information))))) (. .)))
[40],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
"[36, 38]","(ROOT (S (CC But) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP do) (VP (VB like) (NP (NP (DT the) (NN idea)) (PP (IN of) (NP (DT the) (NN jury)))) (S (VP (VBG being) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP decide) (PP (IN in) (NP (NP (DT the) (NN matter)) (PP (IN of))))))))))) (PRN (, ,) (INTJ (UH uh)) (, ,)) (SBAR (IN if) (S (NP (PRP it)) (VP (BES 's) (NP (NP (DT a) (NN jail) (NN term)) (PP (IN versus) (NP (NP (NN life) (CC and) (NN death)) (SBAR (S (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (DT the) (NN death) (NN penalty)) (CC and) (NP (JJ such)))))))))) (. .)))"
[41],"(ROOT (S (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBZ comes) (PP (IN to) (NP (NN sentencing) (NN phase)))))) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP they)) (VP (VBP tell) (NP (PRP them)) (ADVP (IN if) (NP (DT a) (NN guy))) (, ,) (SBAR (IN if) (S (NP (DT the) (NN person)) (VP (VBZ has) (NP (NP (DT a) (JJ previous) (NN record)) (CC and) (NP (NN stuff)))))))))) (. .)))"
[43],"(ROOT (PRN (S (ADVP (RB Sometimes)) (NP (PRP it)) (VP (VBZ seems) (PP (IN like) (IN during) (NP (NP (DT the) (NN trial) (NN part)) (, ,) (NP (DT the) (NN jury)) (BES 's) (SBAR (RB not) (S (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (VP (VBZ misses) (NP (NP (DT some)) (PP (IN of) (NP (DT the) (JJS best) (NN evidence)))) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP make) (S (NP (PRP them)) (VP (VB leave))))))))))))) (, ,)))"
[42],(ROOT (INTJ (UH Uh-huh) (. .)))
[45],(ROOT (INTJ (UH Right) (. .)))
[47],(ROOT (INTJ (UH Yeah) (. .)))
[48],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP it)) (, ,) (S (NP (PRP it))) (, ,) (ADVP (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of)) (ADJP (JJ difficult))) (, ,)))"
"[44, 46]",(ROOT (S (CC and) (NP (DT the) (NN judge)) (VP (VBZ decides) (SBAR (IN whether) (CC or) (RB not) (S (NP (PRP they)) (VP (MD should) (VP (VB hear) (NP (PRP it))))))) (. .)))
[50],(ROOT (INTJ (UH Right) (. .)))
[52],(ROOT (INTJ (UH Yeah) (. .)))
"[49, 51]","(ROOT (S (CC and) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (DT the) (JJ whole) (NN system)) (VP (VBZ is) (VP (VBN set) (PRT (RP up)) (S (VP (TO to) (ADVP (RB rather)) (VP (VB let) (, ,) (INTJ (UH uh)) (, ,) (S (NP (DT some) (JJ guilty) (NNS people)) (VP (VB go) (ADVP (JJ free) (IN than)) (S (VP (TO to) (VP (VB put) (NP (DT an) (JJ innocent) (NN person)) (PP (IN in)))))))))) (, ,) (PP (IN in) (NP (NP (NN jail)) (SBAR (IN although) (S (NP (PRP you)) (ADVP (RB still)) (VP (VBP hear) (PP (IN about) (NP (DT those))) (ADVP (RB occasionally)))))))))))) (. .)))"
[54],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))"
[55],"(ROOT (NP (S (NP (PRP I)) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (PRP I)) (VP (VBD heard) (NP (DT a) (ADJP (RB very) (JJ interesting))))) (, ,))))))"
[56],"(ROOT (PRN (CC and) (S (NP (RB maybe) (PRP it)) (VP (BES 's) (ADVP (RB just)) (NP (NP (DT the) (NN T) (NN V) (NN show) (CC or) (NN movie)) (SBAR (S (NP (PRP I)) (VP (VBD was) (VP (VBG watching))))))) (, ,))))"
[57],"(ROOT (S (NP (PRP they)) (VP (VBD were) (VP (VBG going) (PP (IN through) (NP (DT a) (NN trial))))) (, ,)))"
[53],(ROOT (SQ (VBP Do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (DT the) (NN verdict)) (VP (MD should) (VP (VB be) (ADJP (RB completely) (JJ unanimous) (PP (IN by) (NP (DT the) (NN jury))))))))) (. ?)))
[58],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBD was) (NP (UH like)) (PP (IN on) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (NN documentary) (NN T) (NN V) (NNS shows)) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBP ask) (PP (IN for) (NP (NP (DT the)) (, ,) (NP (DT the) (NN verdict)))) (PP (IN by) (NP (DT the) (NN jury))))))))))))))))))"
[59],(ROOT (INTJ (UH Uh-huh) (. .)))
[60],"(ROOT (S (CC and) (NP (PRP they)) (VP (VBN went) (PP (IN by) (NP (NP (DT each) (NN one)) (, ,) (VP (VBG saying) (ADJP (ADJP (JJ guilty) (CC or) (JJ innocent)) (, ,) (ADJP (JJ guilty)) (CC or) (ADJP (JJ innocent))))))) (. .)))"
[61],(ROOT (INTJ (UH Uh-huh) (. .)))
[62],(ROOT (S (CC And) (NP (PRP they)) (VP (VBD took) (NP (NP (PRP it)) (ADJP (JJR more) (PP (IN as) (ADVP (RB just))))) (NP (INTJ (UH like)) (NP (DT a) (NN majority)))) (. .)))
[63],(ROOT (INTJ (UH Oh) (. .)))
[65],"(ROOT (S (NP (NP (DT Some)) (PP (IN of) (NP (PRP them)))) (VP (VBP disagree)) (, ,)))"
[64],"(ROOT (FRAG (NP (NP (RB So)) (NP (NP (PRP I)) (, ,) (NP (PRP I)) (, ,)))))"
[67],"(ROOT (FRAG (PP (UH Exactly)) (, ,)))"
[68],"(ROOT (S (CC but) (NP (PRP they)) (VP (VBD took) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (SBAR (WHNP (WP whatever)) (S (NP (DT the) (NN majority)) (VP (VBD was))))) (. .)))"
[69],(ROOT (S (RB So) (NP (PRP I)) (VP (VBD did) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (DT that)) (VP (VBD was) (ADVP (RB just)) (NP (NP (NN something)) (PP (IN for) (NP (NP (NN drama)) (CC or) (NP (DT that))))) (SBAR (WHADVP (BES 's) (NP (RB truly) (DT the) (NN way))) (S (NP (PRP it)) (VP (VBZ is))))))))) (. .)))
[66],"(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (NP (NP (DT some)) (PP (IN of) (NP (PRP them)))) (VP (VBD said) (NP (NP (CD one) (NN way)) (CC and) (NP (NP (DT some)) (NP (DT the) (NN other))))) (. .)))"
[70],(ROOT (S (NP (PRP I)) (ADVP (RB always)) (VP (VBD thought) (SBAR (S (NP (PRP it)) (VP (VBD had) (S (VP (TO to) (VP (VB be) (ADJP (JJ unanimous))))))))) (. .)))
[71],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ does) (VP (VB have) (S (VP (TO to) (VP (VB be) (ADJP (JJ unanimous)))))))))) (. .)))
[73],"(ROOT (S (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP they)) (VP (MD can) (VP (VB poll) (NP (DT a) (NN jury))) (, ,) (VP (VB make) (ADJP (JJ sure) (SBAR (S (NP (NN everybody)) (VP (VBZ agrees) (PP (IN with) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBD said) (SBAR (S (NP (DT the) (NN verdict)) (VP (VBD was))))))))))))))))) (, ,)))"
[74],(ROOT (S (CC but) (NP (PRP I)) (VP (VBD thought) (SBAR (IN that) (S (NP (PRP they)) (ADVP (DT all)) (VP (VBD had) (S (VP (TO to) (VP (VB agree))))))))))
[72],"(ROOT (S (CC But) (VP (, ,) (INTJ (UH uh) (. .)) (PP (RB Rather) (ADJP (JJ interesting)))) (. .)))"
[75],"(ROOT (S (FRAG (CC or) (RB else) (NP (PRP they))) (, ,) (NP (PRP it)) (VP (VBD was) (NP (DT a) (JJ hung) (NN jury))) (. .)))"
[76],(ROOT (INTJ (UH Uh-huh) (. .)))
[77],"(ROOT (FRAG (CC And) (NP (, ,))))"
[79],"(ROOT (INTJ (UH Yeah) (, ,)))"
[80],"(ROOT (S (S (NP (PRP I)) (VP (VBP thi))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP (WRB how)) (S (NP (PRP I)) (VP (VBP feel) (PP (IN about) (NP (DT that)))))))) (. .)))"
[78],"(ROOT (S (S (NP (PRP I)) (VP (VBD did))) (, ,) (NP (PRP I)) (VP (VBD did) (ADVP (RB also))) (. .)))"
[81],"(ROOT (S (NP (PRP I)) (VP (VBP think) (S (ADVP (RB maybe)) (, ,) (INTJ (UH uh)) (, ,) (NP (NN majority)) (VP (MD might) (VP (VB be) (ADJP (JJ sufficient)))))) (. .)))"
[82],(ROOT (INTJ (UH Uh-huh) (. .)))
[84],(ROOT (FRAG (WHNP (WP What)) (PP (IN about) (PP (IN in) (NP (JJ international) (NNS trials)))) (. .)))
[83],(ROOT (S (NP (PRP It)) (VP (BES 's) (ADJP (JJ hard) (S (VP (TO to) (VP (VB say) (ADVP (RB though))))))) (. .)))
[85],(ROOT (SQ (VBP Do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (PRP they)) (VP (MD should) (VP (VB have) (NP (DT a) (NN jury)) (ADVP (RB there))))))) (. ?)))
[86],(ROOT (INTJ (UH Oh) (. .)))
[88],"(ROOT (INTJ (UH Yeah) (, ,)))"
[87],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (MD would) (VP (VB be) (ADJP (ADVP (RB kind) (RB of)) (JJ interesting))))))) (. .)))
[89],(ROOT (S (NP (PRP I)) (VP (VBD had) (RB n't) (VP (VBN thought) (PP (IN about) (NP (JJ international) (NNS trials))) (ADVP (IN at) (DT all)))) (. .)))
"[90, 92]","(ROOT (S (S (NP (PRP I)) (VP (VBP guess) (NP (DT the)))) (, ,) (NP (NP (DT the) (NN problem)) (PP (IN with) (NP (DT that)))) (VP (VBZ is) (SBAR (S (NP (EX there)) (VP (BES 's) (NP (DT no) (JJ true) (NN authority)) (PP (IN in) (NP (NP (DT any) (NN kind)) (PP (IN of) (NP (NP (JJ international) (NNS verdicts)) (PP (IN like) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (NP (DT the) (JJ old) (NN day)) (PP (IN with) (NP (DT the) (NN rack))))))))))))) (. .)))"
[93],"(ROOT (S (S (NP (PRP We)) (, ,) (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB say))))))) (, ,) (S (INTJ (UH Okay)) (, ,) (NP (PRP you)) (VP (VBP 're) (ADJP (JJ guilty)))) (CC and) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB pay) (NP (NNP Kuwait)) (NP (QP (CD four) (CD million)) (NNS dollars))))))) (. .)))"
[91],(ROOT (INTJ (UH Right) (. .)))
[94],"(ROOT (S (INTJ (UH Well)) (, ,) (VP (^WP^BES whose) (VP (VBG going) (S (VP (TO to) (VP (ADVP (RB really)) (VB make) (NP (PRP them))))))) (. .)))"
[95],(ROOT (INTJ (UH Yeah) (. .)))
[96],(ROOT (NP (NN Nobody) (. .)))
[97],"(ROOT (INTJ (UH Yeah) (, ,)))"
[99],"(ROOT (INTJ (UH Yeah) (, ,)))"
[98],"(ROOT (S (VP (NP (SBAR (SBAR (SINV (FRAG (INTJ (UH So) (. .))) (VP (ADVP (CC But)) (VP (ADVP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (MD would) (VP (VB be) (ADJP (ADVP (RB kind) (RB of)) (JJ interesting) (S (VP (TO to) (VP (VB incorporate)))))))))))) (NP (DT that) (NN concept)))) (SBAR (IN of) (, ,) (S (NP (PRP you)) (VP (VBP know))))) (, ,) (NP (NP (NP (NNS people)) (PP (IN from) (NP (JJ different) (NNS countries)))) (, ,) (INTJ (UH uh)) (, ,) (PP (IN in) (NP (NP (IN as) (JJ international) (NN law)) (ADVP (RB also))))))) (. .)))"
[101],(ROOT (INTJ (UH Uh-huh) (. .)))
[103],(ROOT (INTJ (UH Right) (. .)))
[105],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (SBAR (WHADVP (WRB how)) (, ,) (S (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (MD would) (VP (VB take) (S (VP (TO to) (VP (VB be)))))))) (, ,) (VP (VB come) (PRT (RP up)) (PP (IN with) (NP (DT a) (JJ true) (JJ perfect) (NN system)))))) (, ,) (CC or) (SBAR (IN if) (S (NP (NN one)) (VP (VBZ exists))))))) (. .)))"
"[100, 102, 104]",(ROOT (S (NP (PRP I)) (VP (VBP think) (S (ADVP (RB maybe)) (NP (PRP they)) (VP (MD 'd) (VP (VB need) (S (VP (TO to) (VP (VB be) (ADJP (RBR more) (JJ knowledgeable)) (PP (ADVP (RB though)) (IN than) (NP (NP (RB just) (NP (PRP$ your) (JJ average) (NNP Joe)) (ADVP (IN off) (NP (DT the) (NN street)) (PP (IN for) (NP (NN something))))) (PP (IN like) (NP (DT that))))) (SBAR (IN because) (FRAG (PP (IN of) (NP (DT the) (JJ cultural) (NNS differences)) (. .)) (NP (NP (NNS Things)) (PP (IN like) (NP (DT that))))))))))))) (. .)))
[106],"(ROOT (FRAG (CC But) (NP (, ,))))"
[109],"(ROOT (SINV (ADVP (UH Uh)) (, ,) (VP (VBZ is) (NP (DT that))) (NP (DT the) (NN crime))))"
[110],"(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB already)) (PRN (, ,) (S (VP (VP (XX MUMBLEx) (NP (DT some) (NN chart))) (CC and) (VP (VB determine) (NP (DT the) (NN punishment))))) (, ,))))))"
[107],(ROOT (INTJ (UH Yeah) (. .)))
[113],"(ROOT (INTJ (UH Yeah) (, ,)))"
[114],(ROOT (S (PP (IN like) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP 're) (VP (VBN convicted) (PP (IN of) (NP (DT a) (JJ certain) (NN crime)))))))) (NP (PRP you)) (ADVP (RB automatically)) (VP (VBP get) (NP (ADJP (RB so) (JJ many)) (NNS years))) (. .)))
[111],(ROOT (S (VP (ADVP (CC or))) (. .)))
[116],(ROOT (INTJ (UH Uh-huh) (. .)))
[115],(ROOT (S (NP (PRP It)) (VP (BES 's) (RB not) (NP (DT a) (JJ discretionary) (NN thing))) (. .)))
[117],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (EX there)) (VP (MD should) (VP (VB be) (NP (NP (DT a) (NN core) (NN minimum)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP get))))))))))))
[119],"(ROOT (S (CC but) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (EX there)) (VP (MD should) (VP (VB be) (NP (DT some) (NN flexibility)) (SBAR (IN because) (S (NP (DT every) (NN situation)) (VP (MD may) (VP (VB be) (ADJP (JJ unique)))))) (, ,) (SBAR (IN that) (S (NP (DT the) (NN judge)) (VP (MD can) (VP (CC either) (VP (VB increase) (NP (DT that))) (CC or) (VP (VB keep) (NP (PRP it)) (ADVP (RB just))) (PP (IN at) (NP (NP (PRP$ its) (NN minimum)) (, ,) (NP (NP (NNS things)) (PP (IN of) (NP (DT that) (NN nature))))))))))))))) (. .)))"
[118],(ROOT (INTJ (UH Uh-huh) (. .)))
[121],(ROOT (INTJ (UH Yeah) (. .)))
[120],"(ROOT (FRAG (CC But) (NP (, ,))))"
[123],"(ROOT (INTJ (UH Yeah) (, ,)))"
[124],"(ROOT (S (NP (DT that)) (VP (VBZ serves) (S (VP (NP (NP (DT a) (NN kind)) (PP (IN of) (SBAR (S (SBAR (IN if) (S (NP (PRP they)) (VP (VBP 're)))) (, ,) (NP (PRP I)) (VP (VBP guess)))))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))"
[122],"(ROOT (S (S (NP (PRP I)) (VP (VBP wish) (SBAR (IN that) (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP sentence) (NP (NN someone))))))) (, ,) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB sentence) (NP (PRP him)) (PP (IN to) (NP (CD five) (NNS years)))))))))) (, ,) (ADVP (RB then)) (VP (VB make) (S (NP (PRP him)) (VP (VB serve) (NP (CD five) (NNS years))))) (. .)))"
[126],"(ROOT (INTJ (UH Yeah) (, ,)))"
[125],"(ROOT (S (SBAR (IN if) (S (NP (PRP you)) (VP (VBP sentence) (NP (NN someone)) (PP (IN to) (NP (NN life)))))) (, ,) (NP (NN life)) (VP (VBZ is) (ADVP (RB only)) (NP (NP (CD forty-nine) (NNS years)) (, ,) (NP (NP (NN something)) (PP (IN like) (NP (DT that)))))) (. .)))"
[127],"(ROOT (S (NP (PRP I)) (VP (, ,))))"
[129],"(ROOT (INTJ (UH Yeah) (, ,)))"
[128],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ eligible) (PP (IN after) (NP (NP (CD twenty-seven)) (PP (IN for) (NP (NN parole)))))) (, ,) (SBAR (RB even) (IN though) (S (NP (PRP you)) (VP (VBP 're) (PP (IN in) (PP (IN for) (NP (NN life))))))))))) (. .)))"
[131],"(ROOT (INTJ (UH Yeah) (, ,)))"
[130],"(ROOT (S (S (CC and) (S (ADVP (RB sometimes)) (NP (DT those) (NNS people)) (VP (VP (VBP are)) (, ,) (VP (VBP are) (ADJP (JJ young) (RB enough)))))) (, ,) (NP (PRP they)) (VP (MD can) (ADVP (RB still)) (VP (VP (VB get) (PRT (RP out))) (CC and) (VP (VB cause) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN trouble))))))) (. .)))"
[133],"(ROOT (INTJ (UH Yeah) (, ,)))"
[132],"(ROOT (S (SBAR (IN although) (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP it)) (VP (BES 's) (, ,) (NP (PRP you)))))))) (, ,) (NP (PRP you)) (VP (VBP want) (S (NP (PRP them)) (VP (TO to) (VP (VB rehabilitate) (CC and) (VB become) (NP (NP (JJR better)) (ADJP (IN rather) (PP (IN than) (S (VP (VP (VBG sitting) (PP (IN in) (NP (RB there)))) (CC and) (VP (VBG being) (NP (DT a) (NN drain)) (NP (PDT all) (DT the) (NN time)))))))))))) (. .)))"
[135],(ROOT (INTJ (UH No) (. .)))
