[0],(ROOT (INTJ (UH Okay)))
[30],"(ROOT (S (NP (DT that)) (VP (BES 's)) (, ,)))"
[28],"(ROOT (NP (S (S (INTJ (UH Well)) (, ,) (NP (PRP they)) (VP (VBP 're))) (, ,) (NP (PRP they)) (VP (VBP 're) (PRN (, ,) (S (NP (PRP they)) (VP (VBP 're) (ADVP (RB really)) (NP (ADJP (RB very) (JJ strong)) (ADJP (JJ academic) (PP (IN rather) (FRAG (SBAR (IN than) (, ,) (S (NP (PRP you)) (VP (VBP know))))))) (, ,) (JJ big) (NNS sports)))) (, ,))))))"
[32],"(ROOT (S (NP (PRP We)) (VP (VBP 're) (ADVP (IN outside)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (NNP Washington)) (PP (IN in) (NP (NNP Maryland)))))) (. .)))"
[31],"(ROOT (SBARQ (WHADVP (WRB where)) (, ,) (WHADVP (WRB where)) (SQ (NP (PRP you)) (VP (RB at))) (. ?)))"
[34],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH okay) (, ,))))"
[33],(ROOT (FRAG (WHADVP (WRB How)) (PP (IN about) (NP (PRP you)) (. ?))))
[36],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[35],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PP (IN in)) (, ,) (INTJ (UH uh)) (, ,) (NP (JJ suburban) (NNP Dallas))) (. .)))"
[38],"(ROOT (INTJ (UH No) (, ,)))"
[39],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't)) (, ,)))"
[40],(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (DT a) (NN husband))) (. .)))
[37],"(ROOT (SINV (VBP do) (NP (PRP you)) (VP (VB have) (NP (NP (NP (NNS children)) (PP (IN in))) (, ,)))))"
[41],(ROOT (S (NP (PRP We)) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT any) (NNS kids)) (ADVP (RB yet)))) (. .)))
[42],"(ROOT (INTJ (INTJ (UH Okay)) (, ,) (INTJ (UH um) (, ,))))"
[44],"(ROOT (FRAG (ADJP (UH Well)) (, ,) (NP (NP (PRP I)) (, ,) (NP (PRP I)) (, ,))))"
[43],"(ROOT (S (NP (NP (QP (RB About) (DT all))) (SBAR (S (NP (PRP I)) (VP (MD can) (VP (VB say)))))) (VP (VBZ is) (S (S (NP (PRP I)) (VP (VBP guess) (PP (IN about) (S (VP (VBG picking) (NP (NNS schools))))))) (, ,) (S (INTJ (UH um)) (, ,) (NP (PRP I)) (VP (VBP guess))) (, ,) (INTJ (UH uh)) (, ,) (S (SBAR (IN if) (S (NP (PRP you)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB do)))))))))))) (, ,) (NP (JJ liberal) (NNS arts) (NN program)) (VP (VBZ is) (NP (DT a) (JJ good) (NN idea)))))) (. .)))"
[45],"(ROOT (S (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (NNS advices)) (SBAR (S (NP (PRP we)) (VP (VBP 've) (VP (VBN given) (NP (PRP$ our) (NNS children)))))))))) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP you)) (VP (MD can) (ADVP (RB always)) (VP (VB learn) (NP (DT a) (NN job)))))))))"
[46],"(ROOT (S (NP (DT This)) (VP (VBZ is) (ADJP (JJ true))) (, ,)))"
[48],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[47],"(ROOT (S (INTJ (UH uh)) (, ,) (ADVP (CC but)) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (MD ca) (RB n't) (VP (VB learn) (, ,) (INTJ (UH uh)) (, ,) (PP (IN on) (NP (DT a) (NN job))))))) (, ,) (VP (VBZ is) (NP (DT a) (ADJP (JJ good) (JJ solid)) (XX well-) (, ,) (JJ well-rounded) (NN education))) (. .)))"
[50],"(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)))))"
[49],"(ROOT (S (NP (NP (DT the) (NNS humanities)) (, ,) (NP (DT the))) (ADJP (ADJP (NN history)) (PRN (, ,) (INTJ (UH yeah)) (, ,)))))"
[52],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[53],"(ROOT (FRAG (PP (UH right)) (, ,)))"
[54],"(ROOT (INTJ (UH no) (, ,)))"
[55],"(ROOT (INTJ (UH no) (, ,)))"
[51],(ROOT (FRAG (NP (DT the) (NNP Renaissance) (NN man))))
[57],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (CC and)) (ADVP (IN if)) (VP (ADVP (PRP you)) (VBP get) (SBAR (WHNP (DT that)) (S (NP (PRP you)) (VP (MD can))))) (, ,)))"
[56],(ROOT (INTJ (UH no) (. .)))
[59],"(ROOT (INTJ (UH Yeah) (, ,)))"
[58],"(ROOT (PRN (CC and) (S (S (SBAR (IN if) (S (NP (PRP you)) (VP (VBP do) (ADVP (RB well))))) (, ,) (NP (PRP you)) (VP (MD can))) (, ,) (S (NP (PRP you)) (VP (MD can) (VP (VB learn) (NP (DT a) (NN job))))) (, ,))))"
[61],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (RB exactly) (JJ right))) (. .)))
"[60, 62]","(ROOT (S (CC but) (PRN (S (NP (PRP they)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,)) (SBAR (IN if) (S (S (NP (PRP they)) (VP (VBP learn) (NP (DT the) (NN job)))) (CC and) (S (NP (PRP they)) (VP (MD can) (VP (VB go) (PP (IN into) (NP (JJ graduate) (NN school))) (PP (RB usually) (NP (DT a) (NN company)))))))) (, ,) (NP (PRP it)) (VP (VP (MD will)) (, ,) (SBAR (IN if) (S (NP (PRP it)) (VP (BES 's) (S (ADJP (JJ worth)) (NP (NP (NP (PRP it) (POS 's)) (NN weight)) (, ,) (VP (MD will) (VP (VB subsidize))) (, ,)))))))))"
[63],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[64],"(ROOT (FRAG (CC And) (NP (, ,))))"
[66],(ROOT (INTJ (UH Uh-huh) (. .)))
[68],"(ROOT (PRN (S (NP (DT This)) (, ,) (NP (DT this)) (VP (VBZ is) (ADJP (JJ true)))) (, ,)))"
[70],(ROOT (INTJ (UH Yes) (. .)))
[72],"(ROOT (FRAG (CC And) (PP (IN if) (S (NP (PRP you)) (VP (VBP want) (S (VP (TO to) (VP (VB go) (ADVP (RB away)))) (, ,)))))))"
"[65, 67, 69, 71]","(ROOT (FRAG (ADVP (RB So)) (NP (DT the) (NN advice) (SBAR (S (NP (PRP we)) (VP (VBD gave) (SBAR (IN to) (S (NP (PRP them)) (VP (VBD was) (VP (VP (PRN (, ,) (NP (NN number)) (NP (CD one)) (, ,)) (VB visit) (NP (DT the) (NNS colleges)) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG thinking)))))) (IN about) (VP (VB describe) (NP (NP (JJ first)) (PP (IN of) (NP (DT all))))) (, ,) (NP (NP (DT the) (NN size) (NN school)) (SBAR (WHNP (WDT that)) (S (NP (PRP you)) (VP (MD might) (VP (VB be) (ADJP (JJ interested) (PP (IN in))))))))))))))))))"
[74],"(ROOT (SINV (VBP do) (NP (PRP you)) (VP (VB want) (S (VP (TO to) (VP (VB go) (ADVP (RB away)))) (, ,)))))"
[73],"(ROOT (FRAG (PP (UH right)) (, ,)))"
[75],(ROOT (SBARQ (WHADVP (WHADVP (WRB how) (RB far)) (PP (IN from) (NP (NN home)))) (SQ (VBP do) (NP (PRP you)) (VP (VB want) (S (VP (TO to) (VP (VB be)))))) (. .)))
[77],(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (VP (VB want) (PP (IN in) (NP (DT a) (NN college))))) (. .)))
[76],(ROOT (INTJ (UH Right) (. .)))
[78],(ROOT (FRAG (ADVP (RB Now)) (NP (NP (PRP$ my) (NN son)) (SBAR (S (VP (VBZ is) (NP (DT a) (JJ national) (NN level) (JJ competitive) (NN swimmer))))))))
[80],"(ROOT (SBAR (IN so) (S (NP (PRP he)) (VP (VBD wanted) (S (VP (TO to) (VP (VB swim) (PP (IN in) (NP (NN school))))) (, ,))))))"
[79],(ROOT (INTJ (JJ Good) (. .)))
[82],(ROOT (INTJ (UH Okay) (. .)))
[81],(ROOT (S (CC but) (NP (PRP he)) (VP (VBD did) (RB not) (VP (VB want) (S (VP (TO to) (VP (VB be) (PP (IN in) (NP (DT a) (NN swim) (NN factory)))))))) (. .)))
[84],"(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (, ,)))"
[83],"(ROOT (S (NP (RB So) (PRP he)) (VP (MD would) (RB n't) (VP (VB have) (VP (VBN gone) (PP (IN to) (NP (NP (NP (NP (NN something)) (PP (IN like) (SBAR (WHADVP (WRB where)) (S (NP (PRP we)) (VP (VBP 're) (PP (IN at))))))) (PRN (, ,) (S (NP (PRP they)) (VP (MD 'd))) (, ,))) (PP (IN in) (NP (NAC (NNP Austin) (, ,) (NNP Texas) (, ,)) (NNP University))) (PP (IN of) (NP (NNP Texas)))))))) (, ,)))"
[86],(ROOT (INTJ (UH Right) (. .)))
[88],"(ROOT (S (NP (NNP Texas)) (VP (XX Aqua-)) (, ,)))"
[89],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[91],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
"[85, 87, 90]","(ROOT (S (NP (DT that)) (VP (BES 's) (NP (NP (NP (DT the) (NNP University)) (PP (IN of) (NP (NP (NNP Texas)) (PP (IN at) (NP (NNP Austin)))))) (, ,) (CC or) (NP (NP (NNP Stanford)) (CC or) (NP (NN something)))) (PP (IN like) (NP (DT that))) (SBAR (IN so) (S (NP (PRP he)) (VP (VBD did) (RB n't) (ADVP (RB even)) (VP (VB consider) (NP (DT those))))))) (. .)))"
[92],"(ROOT (NP (S (S (INTJ (UH well)) (NP (DT that)) (VP (BES 's))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (JJ other) (NN thing)) (VP (VBZ is) (, ,) (S (ADVP (RB too)) (, ,) (INTJ (UH um)) (, ,) (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP I)) (VP (VBD went) (PP (IN to) (NP (ADJP (DT a) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN city) (JJ high) (NN school))) (PP (IN in) (NP (NNP Chicago)))))))))))))))"
[94],"(ROOT (PRN (CC and) (S (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT the) (NNS kids)))) (VP (VBD were) (RB n't) (ADJP (RB as) (JJ fortunate) (PP (IN as) (FRAG (INTJ (UH say))))))) (, ,) (S (NP (NP (PRP$ my) (NN brother)) (CC and) (NP (PRP I))) (VP (VBD were))) (, ,))))"
[93],(ROOT (INTJ (UH Uh-huh) (. .)))
[95],(ROOT (FRAG (CC and) (NP (NP (NN economics)) (SBAR (S (VP (VBD was) (NP (DT the) (NN choice))))))))
[96],(ROOT (INTJ (UH Uh-huh) (. .)))
[98],"(ROOT (S (NP (PRP He)) (VP (VBZ is) (ADJP (RB very) (, ,) (RB very) (JJ strong)) (ADVP (RB academically))) (, ,)))"
[99],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[100],"(ROOT (S (ADVP (RB so)) (, ,) (ADVP (PRP we)) (VP (VBP 've) (ADVP (RB just))) (, ,)))"
[97],"(ROOT (SINV (FRAG (INTJ (UH um))) (, ,) (VP (VBZ sounds)) (SBAR (IN like) (S (NP (PRP$ your) (NN son)) (VP (VBZ has) (ADVP (RB academically)) (NP (DT the) (NN standing) (S (VP (TO to) (VP (VB get) (PP (IN into) (NP (NP (DT that) (NN type)) (PP (IN of) (NP (NN school)))))))))))) (. .)))"
"[101, 103]","(ROOT (S (ADVP (CC but)) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (PRP he)) (VP (VBD had) (S (VP (TO to) (VP (VB look) (S (VP (TO to) (VP (VB see) (SBAR (WHNP (WHNP (WDT what) (NN kind)) (PP (IN of) (NP (NN environment)))) (S (NP (PRP he)) (VP (VBD liked)))))))))))) (, ,)))))"
[104],"(ROOT (S (CC and) (ADVP (RB yet)) (NP (PRP he)) (, ,) (NP (PRP he)) (VP (VBD did) (VP (VB wind) (PRT (RP up)) (S (VP (VBG having) (S (VP (TO to) (VP (VB make) (NP (DT a) (NN choice))))))))) (. .)))"
[102],(ROOT (INTJ (UH Uh-huh) (. .)))
[106],"(ROOT (INTJ (UH Yeah) (, ,)))"
[107],"(ROOT (NP (NP (NNP University)) (PP (IN of) (NP (NP (NNP Penn)) (, ,)))))"
[108],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADVP (RB originally)) (PP (IN from) (NP (NNP Pennsylvania)))) (. .)))
[105],"(ROOT (S (NP (PRP He)) (VP (VBD did) (VP (VB apply) (PP (IN to) (NP (DT a) (ADJP (ADJP (JJ large)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))) (JJ large) (NN group))))) (, ,)))"
[109],"(ROOT (NP (NP (NNP Pennsyl-)) (PRN (, ,) (NP (NNP University)) (PP (IN of) (NP (NNP Pennsylvania))) (, ,))))"
[111],"(ROOT (INTJ (UH Yeah) (, ,)))"
[112],"(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (JJ strong))) (, ,)))"
[110],(ROOT (S (NP (PRP It)) (VP (HVS 's) (VP (VBN got) (NP (QP (RB about) (CD nine) (CD thousand)) (JJ undergraduate)))) (. .)))
[114],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[113, 115]",(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (DT that)) (VP (BES 's) (SBAR (S (NP (PRP you)) (VP (VBP know))))))))))
[116],(ROOT (INTJ (UH Yeah) (. .)))
[118],"(ROOT (INTJ (UH Yes) (, ,)))"
[119],"(ROOT (PRN (CC and) (S (S (NP (PRP it)) (, ,) (CC but) (NP (PRP it)) (VP (VBZ does) (VP (VB have) (PP (DT the) (IN under))))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))))"
[117],"(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (BES 's) (PRN (, ,) (S (NP (PRP it)) (VP (BES 's) (, ,) (S (INTJ (UH well)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (NP (DT a) (JJ little)) (NN bit)) (PRN (, ,) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB want) (S (VP (TO to) (VP (VB use) (S (NP (DT the) (NN word)) (ADJP (JJR wilder))))))))) (, ,)) (SBAR (WHADVP (DT that)) (FRAG (BES 's) (RB not) (NP (DT the) (NN word) (SBAR (S (NP (PRP I)) (VP (VBP want))))) (. .)))))))) (NP (UH Um)) (, ,) (S (ADJP (RBR more) (JJ diverse)))) (, ,))))"
[121],(ROOT (FRAG (PP (IN At) (NP (NNP Williams) (CC or) (NNP Pennsylvania))) (. ?)))
[120],"(ROOT (S (S (NP (DT that)) (VP (BES 's) (NP (JJ total) (NN undergraduate)) (PP (IN with) (NP (QP (CD five) (CD hundred)) (NN graduate) (NN school))))) (, ,) (IN so) (S (SBAR (IN that) (S (NP (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,))) (DT the) (NN college)) (PP (IN of) (NP (NNS arts) (CC and) (NNS sciences)))) (VP (VBZ is) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know))))))) (, ,) (NP (PRP I)) (VP (VBP guess) (NP (QP (RB about) (CD four) (CD thousand))))) (. .)))"
[122],"(ROOT (FRAG (PP (IN At) (NP (NNP Williams))) (, ,)))"
[124],(ROOT (FRAG (PP (IN At) (NP (NNP Pennsylvania))) (. .)))
[123],(ROOT (FRAG (PP (IN At) (NP (NNP Pennsylvania))) (. .)))
[125],(ROOT (SBARQ (WHADJP (UH Well) (WRB how) (JJ large)) (SQ (VBZ is) (NP (NNP Williams))) (. ?)))
[126],(ROOT (S (NP (NNP Williams)) (VP (VBZ is) (NP (DT an) (NN undergraduate) (NN school)) (ADVP (RB only)))))
[127],(ROOT (INTJ (UH Right) (. .)))
[128],"(ROOT (FRAG (INTJ (UH um)) (, ,) (PP (CC and) (NP (PRP it))) (HVS 's) (NP (NP (DT a) (NN total)) (PP (IN of) (NP (CD two) (CD thousand)))) (. .)))"
[130],"(ROOT (INTJ (UH Yeah) (, ,)))"
[129],(ROOT (S (S (INTJ (UH Well)) (NP (DT that)) (VP (BES 's) (RB not) (ADJP (JJ bad)))) (. .)))
[132],"(ROOT (S (NP (WDT Which)) (VP (VBZ is) (NP (DT a) (NN lot))) (, ,)))"
"[131, 133]",(ROOT (ADJP (RB so) (SBAR (S (NP (PRP he)) (VP (VBD knew) (NP (DT the) (NN feeling)) (SBAR (IN because) (S (NP (PRP$ my) (JJ other) (NN son)) (VP (VBZ is) (PP (IN at) (NP (NP (NNP Amherst)) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (NP (CD fifteen) (CD hundred)))))))))))))))
[134],(ROOT (INTJ (UH Yeah) (. .)))
[136],(ROOT (INTJ (UH Uh-huh) (. .)))
"[135, 137]",(ROOT (PRN (CC and) (S (NP (PRP he)) (VP (VP (VBD had) (VP (VBN visited) (NP (PRP$ his) (NN brother)) (PP (IN at) (NP (NNP Amherst))))) (CC and) (VP (VBD knew) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD liked) (NP (DT the) (NN environment))))))))))
[139],"(ROOT (S (CC but) (NP (PRP he)) (VP (VBD did) (VP (VB go) (PP (IN on) (NP (NN college) (NNS visits)) (, ,))))))"
[138],(ROOT (INTJ (UH Uh-huh) (. .)))
[141],"(ROOT (S (NP (DT That)) (VP (BES 's) (NP (DT the) (NN thing) (S (VP (TO to) (VP (VB do)))))) (, ,)))"
[142],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (, ,) (NP (PRP I)) (, ,) (S (RB not) (VP (VBG having) (NP (NP (DT any) (NNS children)) (PRN (, ,) (S (NP (PRP$ my) (NN husband)) (VP (VBD was) (NP (DT an) (NNP Ohio) (NNP State) (NN person)))) (, ,))))))))"
[140],"(ROOT (PRN (CC and) (S (NP (PRP he)) (VP (VBD liked)) (, ,))))"
[144],"(ROOT (INTJ (UH Yes) (, ,)))"
[143],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (DT that)) (VP (VBZ has) (NP (NP (NN something)) (PP (IN like) (NP (NP (ADVP (CC either)) (DT the) (JJ first) (CC or) (JJ second) (JJS largest) (NN student) (NN population)) (, ,) (PP (IN like) (NP (CD fifty) (CD thousand))))))) (. .)))"
[145],(ROOT (INTJ (UH yes)))
[147],"(ROOT (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ large))) (, ,)))"
[146],(ROOT (NP (JJ Combined) (XX MUMBLEx) (. .)))
[149],"(ROOT (INTJ (UH Yeah) (, ,)))"
[150],"(ROOT (S (NP (DT that)) (VP (VBZ is) (ADJP (RB too) (JJ much))) (, ,)))"
[148],"(ROOT (S (CC and) (NP (PRP they)) (, ,) (NP (DT both) (NNS boys)) (VP (VBD had) (VP (VBN decided) (FRAG (INTJ (UH no)))) (, ,) (SBAR (IN that) (S (NP (PRP they)) (VP (VBD did) (RB not) (VP (VB want) (NP (DT that))))))) (. .)))"
[152],"(ROOT (S (INTJ (UH Oh)) (, ,) (ADVP (PRP it)) (VP (BES 's)) (, ,)))"
[151],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP mean) (, ,) (S (NP (PRP I)) (, ,) (INTJ (UH um)) (, ,) (NP (PRP I)) (VP (MD can) (ADVP (RB only)) (VP (VB say) (S (NP (PRP it)) (ADJP (BES 's) (JJ strange) (SBAR (S (NP (PRP$ your) (NN son)) (VP (VBD picked) (NP (NP (DT those) (NNS kinds)) (PP (IN of) (NP (NN college)))) (SBAR (IN because) (S (NP (PRP I)) (VP (VBD spent) (NP (DT a) (NN year)) (PP (IN at) (NP (NNP Bennington))) (PP (IN in) (NP (NNP Vermont))))))))))))))) (, ,))))"
[153],"(ROOT (FRAG (PP (IN so) (NP (PRP you))) (, ,)))"
[154],"(ROOT (S (S (INTJ (UH Um)) (, ,) (CC and) (NP (DT that)) (VP (VBD was))) (, ,) (NP (DT this)) (VP (VBD was) (ADVP (NP (CD twenty) (NNS years)) (RB ago))) (. .)))"
[155],(ROOT (INTJ (UH Uh-huh) (. .)))
[156],"(ROOT (S (VP (VBG Showing) (NP (NP (NP (PRP$ my)) (NP (NN age))) (, ,)))))"
[158],(ROOT (INTJ (UH Yes) (. .)))
[159],"(ROOT (FRAG (PP (UH Oh) (NP (PRP$ my) (NNP God))) (, ,)))"
[160],"(ROOT (SBAR (WHADVP (WRB where)) (S (VP (VBP are) (NP (NP (NP (PRP you)) (PP (IN from))) (, ,))))))"
[157],(ROOT (SBARQ (CC And) (SQ (VBD did) (NP (PRP you)) (ADVP (RB ever)) (VP (VB eat) (PP (IN at) (NP (DT the) (NNP Blue) (NNP Bin) (NNP Diner))))) (. ?)))
[162],(ROOT (INTJ (UH No)))
[161],"(ROOT (S (INTJ (UH well)) (, ,) (VP (VB let) (NP (PRP 's)) (RB not) (VP (VB talk) (PP (IN about) (NP (DT that))))) (. .)))"
[164],"(ROOT (S (NP (PRP It)) (VP (BES 's) (, ,) (INTJ (UH um)) (, ,) (PP (IN in) (NP (DT that) (NN area)))) (. .)))"
[163],(ROOT (S (CC but) (NP (PRP we)) (VP (VBP 've) (VP (VBN been) (ADVP (ADVP (RB there)) (SBAR (WHADVP (WRB when)) (S (NP (XX MUMBLEx)) (VP (WP$ whose) (VP (VBN gone) (ADVP (IN up) (RB there))))))))) (. .)))
[166],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP it)) (VP (BES 's) (, ,) (NP (PRP it))) (XX MUMBLEx)))"
[167],(ROOT (S (NP (PRP we)) (VP (VBD went))))
[168],"(ROOT (PRN (CC and) (S (NP (PRP he)) (VP (VBD was) (, ,) (SBAR (S (NP (PRP you)) (VP (VP (VBP know)) (, ,) (VP (JJ impressed) (PP (IN by) (NP (DT the) (JJ clean) (NN air)))))))))))"
[169],"(ROOT (PRN (CC and) (S (NP (PRP he)) (, ,) (NP (PRP he)) (VP (VBD met) (NP (DT the) (NNS students)) (PP (IN at) (NP (DT both) (NNS schools)))))))"
[165],(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (PRP I)) (ADVP (RB just)) (VP (MD ca) (RB n't) (VP (VB say) (NP (RB enough)) (PP (IN about) (NP (PRP it)))))))) (. .)))
[170],(ROOT (S (CC and) (NP (PRP he)) (VP (VBD liked) (NP (PRP them))) (. .)))
[172],(ROOT (INTJ (UH Uh-huh) (. .)))
[174],(ROOT (S (NP (DT That)) (VP (BES 's) (NP (PRP it))) (. .)))
"[171, 173, 175]","(ROOT (S (S (INTJ (UH Well)) (NP (PRP you)) (VP (VBP know))) (, ,) (S (INTJ (UH um)) (, ,) (NP (PRP$ my) (NN husband)) (VP (BES 's) (NP (NP (DT an) (NN engineer)) (CC and) (NP (DT a) (JJ strong) (XX MUMBLEx))))) (, ,) (S (NP (NP (DT a) (JJ strong) (JJ liberal) (NNS arts) (NN background)) (PP (IN with) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (DT a) (NN graduate) (NN degree)) (PP (IN in) (NP (DT a) (JJ technical) (NN field)))))) (VP (MD will) (VP (VP (VB get) (S (NP (PRP him)) (ADJP (JJ much))) (ADVP (RBR further))) (IN than) (VP (VB say) (PP (IN like) (NP (NP (DT a)) (, ,) (NP (DT a) (ADJP (ADJP (JJ strong)) (PRN (, ,) (INTJ (UH um)) (, ,))) (NN business) (NN administration) (NN degree))))) (PP (IN than) (IN with) (NP (NP (DT another) (NNP M) (NNP B) (NNP A)) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (PRP it)))))))))) (. .)))"
[177],(ROOT (INTJ (UH Uh-huh) (. .)))
"[179, 181]","(ROOT (FRAG (CC and) (NP (NP (PRP they)) (ADJP (ADJP (RB usually)) (PRN (, ,) (INTJ (UH Yeah)) (, ,))))))"
"[176, 178, 180, 183]","(ROOT (S (NP (DT The) (NN thing)) (VP (VBZ is) (SBAR (IN if) (, ,) (S (SBAR (IN if) (S (S (NP (DT a) (NN person)) (ADVP (RB really)) (VP (VBZ knows) (NP (RB very) (RB early)) (PRT (RP on)) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP want) (S (VP (TO to) (VP (VB go) (PP (IN in) (NP (DT a) (JJ technical) (NN field))))))))) (, ,) (SBAR (IN than) (S (NP (PRP you)) (VP (VBP 're) (RB not)))))) (, ,) (RB then) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB probably)) (ADJP (JJ good) (S (VP (TO to) (VP (VB go) (PP (IN to)))))))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (TO to) (VP (VB apply) (PP (IN to) (NP (NP (DT a) (NN school)) (PP (IN with) (NP (DT a) (JJ good) (JJ technical) (NN program)))))))))))) (, ,)))"
