[0],"(ROOT (FRAG (PP (XX W-)) (, ,)))"
[25],(ROOT (INTJ (UH Uh-huh) (. .)))
"[22, 24, 26]","(ROOT (S (CC and) (VP (RB not) (VP (VB have) (NP (DT a) (ADJP (RB completely) (JJ socialized)) (, ,) (JJ medical) (NN system)) (PP (IN in) (NP (DT the) (NN country))) (, ,) (UCP (NP (NP (RB maybe) (NN something) (RB about)) (PP (ADVP (RB halfway)) (IN between) (NP (DT that)))) (CC and) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBP have) (ADVP (RB now)))))))) (. .)))"
[27],(ROOT (INTJ (UH Okay) (. .)))
"[28, 30]","(ROOT (S (NP (NP (PRP It)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (PP (ADVP (RB just)) (IN because) (NP (PRP it))))) (VP (VBZ seems) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (NN health) (NN insurance) (NNS costs)) (VP (VBP are) (GW sky) (ADJP (^VBG rocketing)) (, ,) (INTJ (UH well)) (, ,) (ADVP (ADVP (RB as) (RB fast)) (PP (IN as) (NP (DT the) (JJ national) (NN deficit)) (ADVP (RB perhaps))))))))))"
[31],"(ROOT (FRAG (PP (CC and) (NP (RB so) (DT that))) (, ,)))"
[29],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (. .))))"
[33],"(ROOT (FRAG (PP (CC But) (WHNP (WP what))) (, ,)))"
"[35, 37]","(ROOT (SBAR (WHNP (WP What)) (S (NP (PRP you)) (VP (VBP 're) (ADJP (VBG think)) (PRN (, ,) (INTJ (UH Yeah)) (, ,))))))"
"[32, 34, 36]","(ROOT (S (CC and) (NP (DT that)) (VP (BES 's) (NP (DT a) (NP (DT that)) (BES 's) (NP (DT a) (JJ vicious) (NN cycle))) (, ,) (PP (IN of) (NP (NN course)))) (. .)))"
"[38, 40]","(ROOT (S (RB so) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG saying) (ADVP (RB though)))))) (, ,) (VP (VBZ is) (PP (IN instead) (PP (IN of) (S (VP (VBG having) (S (NP (NP (DT the) (JJ national) (NN government)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NN government)))) (VP (VB administer))))))) (, ,) (S (VP (VBG giving) (NP (NN health)) (NP (NP (NN insurance)) (PP (IN to) (NP (DT every) (NN man) (, ,) (NN woman) (CC and) (NN child)))) (SBAR (IN with) (S (, ,) (PP (IN throughout) (NP (DT the) (JJ whole) (NN company))) (, ,) (NP (PRP you)) (VP (VBP see) (ADJP (ADJP (ADJP (JJR more) (PP (IN of) (NP (PRP them)))) (PP (IN as) (S (VP (VBG regulating) (NP (DT the) (JJ high) (NNS costs)))))) (PRN (, ,) (INTJ (UH uh)) (, ,)) (SBAR (WHNP (WDT that)) (S (NP (NNS people)) (VP (VBP are) (VP (VBN forced) (S (VP (TO to) (VP (VB pay) (PP (IN for) (NP (PRP it))) (ADVP (RB right) (RB now)))))))))))))))) (. .)))"
[39],"(ROOT (FRAG (PP (IN Because)) (, ,)))"
"[41, 43]","(ROOT (SINV (VP (VBZ Is)) (NP (NP (DT that)) (SBAR (S (VP (VBZ is) (ADJP (DT that) (JJ correct))) (, ,))))))"
[42],"(ROOT (FRAG (PP (UH Um)) (, ,)))"
[45],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (, ,) (INTJ (UH uh) (, ,) (UH well)) (, ,) (NP (PRP I)) (VP (MD would) (RB n't) (VP (VB exclude) (NP (NP (DT the) (NN possibility)) (PP (IN of) (NP (NP (DT the) (NN government)) (VP (ADVP (RB actually)) (VBG administrating) (NP (PRP it)) (ADVP (RB ultimately)))))))) (. .)))"
[46],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (IN that) (S (NP (DT that)) (VP (MD would) (ADVP (RB necessarily)) (VP (VB be) (NP (PDT such) (DT a) (JJ bad) (NN idea)))))))) (. .)))
[44],"(ROOT (FRAG (CC or) (S (VP (VBP do) (S (NP (PRP you)) (VP (VB think) (ADVP (IN that))) (, ,))))))"
[48],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (IN with) (DT the)) (, ,) (SBAR (IN with) (S (NP (NP (DT the) (NNS costs)) (PP (IN as) (NP (PRP they)))) (VP (VBP are) (ADVP (RB right)) (ADVP (RB now))))) (, ,) (VP (VBP do) (S (NP (PRP you)) (VP (VB think) (PP (PP (IN that) (NP (DT the) (NN government))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))"
[49],"(ROOT (SBAR (IN because) (S (SBAR (WHNP (WP what)) (S (NP (DT that)) (VP (MD would) (VP (VB require))))) (VP (VBZ is) (SBAR (IN for) (S (NP (PRP us)) (VP (TO to) (VP (VB pay) (, ,) (INTJ (UH uh)) (, ,) (NP (JJR more) (NNS taxes))))))))))"
[47],"(ROOT (FRAG (CC And) (S (VP (, ,) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
"[50, 52]","(ROOT (S (CC and) (NP (DT the)) (, ,) (NP (NP (DT the) (XX in-)) (, ,) (NP (NP (DT the) (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (MD can) (VP (VB afford) (NP (NP (NNS taxes)) (, ,) (NP (DT the) (NN middle) (NN income)) (CC and) (NP (DT the) (JJ upper) (NN income))))))))) (VP (MD will) (VP (VB be) (VP (VBG paying) (NP (NP (JJR more) (XX c-)) (, ,) (NP (NNS taxes))) (PP (TO to)) (, ,) (S (VP (TO to) (VP (VB pay) (PP (IN for) (NP (NN health) (NN insurance))) (PP (IN for) (NP (NN everyone))) (, ,) (SBAR (IN whereas) (S (FRAG (ADVP (RB right) (RB now)) (NP (DT the))) (, ,) (X (DT the) (ADJP (JJ public))) (NP (PRP themselves)) (VP (VBP get) (NP (NN health) (NN insurance)))))))))))))"
[51],(ROOT (INTJ (UH Right) (. .)))
[54],"(ROOT (SBAR (WHNP (NP (DT The)) (PRN (, ,) (INTJ (UH well)) (, ,))) (S (SBAR (IN as) (S (NP (PRP it)) (VP (VBZ is) (ADVP (RB now))))) (, ,) (NP (NP (DT the) (NN middle)) (CC and) (NP (JJ upper) (NNS classes))) (VP (VBP are) (VP (VBG paying) (NP (JJR more)) (PP (IN than) (NP (PRP$ their) (NN share))) (PP (IN for) (NP (NP (DT the) (NN health) (NN care)) (PP (IN of) (NP (DT the) (JJ whole) (NN country))))) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP 're) (NP (NP (DT the) (JJ only) (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (MD can) (VP (VB afford) (NP (NN health) (NN insurance)))))))))))))))"
[55],(ROOT (FRAG (CC and) (ADVP (ADVP (IN so)) (SBAR (IN that) (S (NP (DT the) (JJ other) (NNS people)) (VP (VBP have) (NP (DT no) (NN health) (NN insurance))))))))
[56],"(ROOT (S (ADVP (CC and)) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (SBAR (S (NP (PRP they)) (VP (MD 'll) (VP (VB get) (NP (JJ medical) (NN care)) (ADVP (RB anyway)) (PP (ADVP (IN at) (JJS least)) (IN in) (NP (NNS emergencies))))))))))"
[53],(ROOT (S (CC and) (NP (PRP they)) (VP (VBP provide) (NP (PRP$ their) (JJ own) (NN health) (NN insurance))) (. .)))
"[57, 59]",(ROOT (FRAG (CC and) (NP (NP (NN somebody)) (SBAR (S (VP (VBP winds) (PRT (RP up)) (S (VP (VBG paying) (PP (IN for) (NP (DT that)))))))))))
[60],(ROOT (FRAG (CC and) (NP (NP (RB basically) (DT the) (NNS people)) (SBAR (S (VP (VBG paying) (SBAR (IN for) (S (NP (PRP it)) (VP (VBP are) (NP (NP (DT the) (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP are) (VP (VBG buying) (NP (NN health) (NN insurance))))))))))))))))
[61],"(ROOT (S (RB so) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB see) (PP (IN that) (NP (NN anything))) (, ,) (SBAR (IN that) (S (NP (DT this) (NN situation)) (VP (MD would) (VP (VB get) (S (NP (DT any)) (ADJP (JJR worse))))))))) (. .)))"
[58],"(ROOT (FRAG (PP (XX E-)) (, ,)))"
[63],"(ROOT (S (NP (PRP You)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (MD might) (VP (XX b-) (PRN (, ,) (S (VP (VB get) (ADJP (JJR better)))) (, ,)) (NP (UH huh))))))) (. ?)))"
[62],(ROOT (S (NP (DT That) (NN way)) (NP (PRP it)) (VP (MD might) (VP (VB get) (NP (JJR better)))) (. .)))
[64],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (ADVP (RB kind) (RB of)) (VP (VBP disagree)) (. .)))"
[66],"(ROOT (PRN (S (NP (NP (DT The) (NN reason)) (VP (VBG being))) (VP (VBZ is) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP we)) (VP (VBP have))))) (, ,)))"
[67],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[65],(ROOT (INTJ (UH Uh-huh) (. .)))
"[68, 70]","(ROOT (S (NP (PRP I)) (VP (VBP guess) (NP (PRP it)) (PP (PP (BES 's) (NP (NP (PRP$ my)) (, ,) (NP (NP (PRP$ my) (NN fear)) (PP (IN of) (NP (DT the) (JJ national) (NN government)))))) (CC and) (PP (ADVP (RB also)) (IN because) (NP (NP (DT the) (JJ bureaucratic) (NNS rules)) (SBAR (WHNP (WDT that)) (S (NP (PRP it)) (VP (MD would) (VP (VB take) (S (VP (TO to) (VP (VB administer) (NP (PRP it)))))))))))))))"
[71],"(ROOT (S (ADVP (CC and)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (NN health)) (NP (NN insurance) (NNS companies)))) (VP (VP (ADVP (RB right) (RB now) (RB pretty) (RB much)) (VBP regulate)) (CC and) (VP (VBP are) (ADJP (RB pretty) (JJ picky))))) (CC and) (, ,) (S (CC and) (S (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (VP (VBP do) (RB n't) (VP (VB allow) (NP (NNS cases)) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (MD might) (VP (VB throw) (NP (PRP them)) (ADVP (IN out) (PP (IN of) (NP (NN business)))) (, ,) (SBAR (IN whereas) (X (NP (DT the) (JJ federal) (NN government)) (SBAR (IN if) (S (NP (PRP they)) (VP (VBD took) (PRT (RP over))))))))))))) (NP (NN everything)))) (, ,) (NP (PRP they)) (VP (MD would) (RB n't) (VP (VB care) (SBAR (IN because) (S (NP (PRP they)) (VP (MD 'll) (ADVP (RB never)) (VP (VB go) (PRT (IN out)) (PP (IN of) (NP (NN business))))))))))) (. .)))"
[72],"(ROOT (S (NP (NNS People)) (VP (MD would) (ADVP (RB still)) (VP (VB have) (S (VP (TO to) (VP (VB pay) (NP (NNS taxes))))))) (, ,)))"
[73],(ROOT (S (NP (DT the) (NN money)) (VP (MD would) (VP (VB have) (S (VP (TO to) (VP (VB come) (PP (IN from) (NP (RB somewhere))))))))))
[74],"(ROOT (PRN (CC and) (ADJP (RB so) (SBAR (S (NP (PRP you)) (VP (MD 'd) (VP (XX s-))) (, ,))))))"
[75],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP feel) (SBAR (IN that) (S (NP (DT the) (NN cost)) (VP (MD would) (VP (VB increase) (ADVP (RB dramatically)) (ADVP (RB also))))))) (. .)))"
[69],(ROOT (INTJ (UH Uh-huh) (. .)))
[76],"(ROOT (S (CC But) (PP (IN in) (NP (DT the) (JJ same) (NN sense))) (NP (NP (DT the)) (, ,) (NP (DT the) (NN care)) (CC and) (NP (DT the))) (PRN (, ,) (S (NP (NP (NP (DT the) (NN attitude)) (PP (IN of) (NP (DT the) (NNS doctors)))) (CC and) (NP (NP (DT the) (NNS professionals)) (PP (IN within) (NP (DT the) (ADJP (ADJP (JJ medical)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN field))))) (VP (MD would))) (, ,)) (VP (MD would) (VP (VB diminish))) (. .)))"
[77],(ROOT (INTJ (UH Uh-huh) (. .)))
[79],"(ROOT (INTJ (UH Yeah) (, ,)))"
