[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[75],"(ROOT (S (NP (PRP I)) (VP (VBP know) (SBAR (WHADVP (WRB where)) (S (NP (PRP$ my) (NN daughter)) (VP (VBZ works))))) (, ,)))"
[76],"(ROOT (FRAG (NP (NP (RB now)) (NP (NP (PRP she)) (, ,) (NP (PRP she)) (, ,)))))"
[73],(ROOT (INTJ (UH Uh) (. .)))
[77],"(ROOT (SBAR (IN course) (S (NP (PRP we)) (VP (VBP live) (PP (IN in) (NP (NP (DT a)) (, ,) (NP (DT a) (NAC (NP (JJ rural)) (ADVP (RB sort) (RB of))) (NN setting))))))))"
[78],(ROOT (INTJ (UH Uh-huh) (. .)))
[79],(ROOT (S (CC and) (SBAR (WHADVP (WRB where)) (S (NP (PRP she)) (VP (VBZ works)))) (NP (PRP she)) (VP (VBZ has) (NP (NP (DT no) (NNS benefits)) (PP (IN at) (NP (DT all))))) (. .)))
[80],(ROOT (INTJ (UH Wow) (. .)))
[81],"(ROOT (S (CC And) (NP (PRP$ her) (NN wage)) (VP (VP (VBZ is) (RB not)) (, ,) (VP (RB not) (ADJP (RB very) (JJ good)))) (. .)))"
[83],"(ROOT (S (CC But) (NP (PRP it)) (ADVP (BES 's)) (PRN (, ,) (S (NP (PRP it)) (VP (BES 's) (NP (NP (DT the) (NN type)) (PP (IN of) (NP (NN area))))))) (NP (PRP we)) (VP (VBP live) (PP (IN in))) (. .)))"
[82],(ROOT (INTJ (UH Uh-huh) (. .)))
[84],"(ROOT (S (PP (IN Of) (NP (NN course))) (, ,) (NP (NN living) (NNS expenses)) (VP (VBP are) (RB n't) (PP (IN as) (NP (NP (NP (JJ bad)) (NP (DT either)) (, ,) (ADVP (RB though))) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ makes) (NP (DT a) (NN difference)))))))) (. .)))"
[85],"(ROOT (S (CC And) (ADVP (RB probably)) (NP (DT the) (JJ medical) (NN care)) (VP (VBZ is) (ADJP (RBR less) (JJ expensive)) (, ,) (ADVP (RB too))) (. .)))"
[86],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP she)) (VP (VBZ has) (S (VP (TO to) (VP (VB pay) (PP (IN for) (NP (PRP it))))))) (PRP herself)))"
[88],"(ROOT (S (S (NP (PRP you)) (VP (VBP know))) (, ,) (NP (PRP they)) (VP (VBP have) (S (VP (TO to) (VP (VB pay) (PP (IN for) (NP (PRP$ their) (JJ own) (NN insurance))))))) (. .)))"
[87],(ROOT (INTJ (UH Uh-huh) (. .)))
[90],"(ROOT (S (NP (RB So) (PRP I)) (VP (VBP think) (SBAR (IN that) (S (PP (IN in) (ADJP (JJ general))) (NP (NP (DT the) (NN doctor) (POS 's)) (NNS fees)) (VP (VBP are) (ADVP (RB probably)) (ADJP (JJR lower)) (ADVP (RB there)))))) (, ,)))"
[89],"(ROOT (S (VP (CC But) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[92],"(ROOT (S (INTJ (UH Uh) (, ,) (UH well)) (, ,) (ADVP (IN from) (NP (NP (WP what)) (ADVP (PRP I)))) (VP (VBP 've) (VP (VBN seen))) (, ,)))"
[93],"(ROOT (FRAG (PP (PP (IN from) (NP (PRP$ my) (NN aunt) (CC and) (NN uncle))) (PP (ADVP (RB really)) (IN from) (NP (NP (NNP Florida)) (ADVP (IN up) (PP (IN to) (ADVP (RB here))))))) (, ,)))"
[91],"(ROOT (S (NP (QP (CC and) (RB so)) (DT the) (NN insurance)) (VP (MD would) (VP (VB cost) (NP (JJR lower)))) (, ,)))"
[94],(ROOT (S (NP (PRP they)) (VP (VBP 're) (RB not) (ADJP (ADVP (RB that) (JJ much)) (JJ different))) (. .)))
[95],"(ROOT (SINV (FRAG (INTJ (UH Well))) (VP (PRN (, ,) (S (NP (PRP I)) (VP (VBP know) (PP (IN that) (NP (NP (NNS friends)) (PP (IN of) (NP (PRP mine)))))))) (VBD had) (NP (NP (DT a) (NN baby)) (ADVP (IN up) (PP (IN in))))) (NP (NNP Boston))))"
[96],(ROOT (INTJ (UH Uh-huh) (. .)))
[97],(ROOT (S (CC and) (NP (PRP$ their)) (VP (VBZ costs) (SBAR (S (VP (VBD were) (NP (NP (RB about) (CD fifty) (NN percent)) (PP (IN of) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VB cost) (S (VP (TO to) (VP (VB have) (NP (PRP it)) (PP (IN in) (NP (NNP Manhattan))))))))))))))) (. .)))
[98],(ROOT (SQ (VBZ Is) (NP (DT that)) (ADJP (JJ right)) (. ?)))
[99],"(ROOT (S (CC And) (NP (PRP they)) (VP (VBD were) (PP (IN at) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (JJR better) (NNS hospitals)) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know)))))))))))"
[100],(ROOT (INTJ (UH Uh-huh) (. .)))
[102],(ROOT (INTJ (UH Wow)))
[101],"(ROOT (S (CC and) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (NP (JJ good) (NNS doctors)) (PP (IN in) (NP (NNP Boston)))) (. .)))"
[103],(ROOT (S (NP (DT that)) (VP (BES 's) (NP (DT a) (JJ big) (NN difference))) (. .)))
[104],(ROOT (S (CC And) (NP (PRP I)) (VP (VBD was) (PP (IN at) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (JJ big) (NNS hospitals)) (PP (IN in) (NP (NNP New) (NNP York)))))))) (. .)))
[105],(ROOT (INTJ (UH Uh-huh) (. .)))
[106],(ROOT (S (CC But) (NP (DT that)) (VP (BES 's) (NP (DT a) (JJ huge) (NN difference)) (ADVP (RB just)) (PP (IN between)))))
[107],(ROOT (INTJ (UH Uh-huh) (. .)))
[109],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (, ,))))"
[108],"(ROOT (S (S (NP (PRP you)) (VP (VBP know))) (, ,) (CC and) (S (NP (PRP it)) (VP (BES 's) (NP (CD two) (JJ big) (NNS cities)) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP think) (PP (IN of) (PP (IN as) (ADJP (RB somewhat) (JJ comparable))))))))) (. .)))"
[111],(ROOT (S (RB So) (NP (PRP I)) (VP (VBD was) (ADJP (RB pretty) (JJ shocked)) (PP (IN at) (NP (DT that)))) (. .)))
[112],"(ROOT (S (NP (ADVP (CC But)) (NP (DT the) (JJ other) (NN thing)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP 'm) (ADVP (RB really)) (ADJP (JJ concerned) (IN about))) (, ,))))))"
[113],"(ROOT (PRN (CC and) (S (NP (JJS most) (NNS companies)) (VP (VBP do) (RB n't) (VP (VB have))) (, ,))))"
[114],"(ROOT (S (NP (NP (DT some)) (SBAR (S (VP (VBP are) (VP (VBG starting) (S (VP (TO to) (VP (VB have))))))))) (, ,) (VP (VBZ is) (NP (NN day) (NN care)))))"
[116],"(ROOT (S (SBAR (IN because) (S (NP (PRP it)) (VP (MD would) (VP (VB be) (ADJP (RB really) (JJ nice) (S (VP (TO to) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB have))))))))))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (NP (NP (NN someone)) (SBAR (WHNP (WDT that)) (S (VP (MD could) (VP (VB watch) (NP (PRP$ my) (NN daughter)) (PP (IN at) (NP (NN work))))))))) (. .)))"
[117],"(ROOT (S (CC And) (NP (PRP I)) (VP (MD 'd) (VP (VB go) (PP (IN to) (NP (NN work)) (, ,))))))"
[110],(ROOT (S (VP (MD should) (VP (VB be))) (. .)))
[119],(ROOT (S (CC And) (NP (PRP it)) (VP (MD would) (VP (VB be) (ADJP (RB much) (RBR more) (JJ convenient)))) (. .)))
[118],"(ROOT (S (CC and) (SBAR (IN if) (S (NP (PRP she)) (VP (VBD were) (ADJP (JJ sick))))) (NP (PRP I)) (VP (MD could) (VP (VP (VB go) (ADVP (RB down))) (CC and) (VP (VB see) (S (NP (NP (PRP$ her)) (, ,) (SBAR (IN if) (S (NP (PRP she)) (VP (VBZ needs) (S (VP (TO to) (VP (VB be) (VP (VBN fed)))))))) (, ,)) (NP (WDT whatever)))))) (. .)))"
[120],(ROOT (INTJ (UH Yeah)))
[121],"(ROOT (S (CC And) (NP (PRP I)) (VP (, ,))))"
[122],"(ROOT (S (NP (PRP it)) (VP (MD would) (VP (VB be) (ADJP (RBR more) (JJ convenient)) (, ,) (ADVP (RB too)))) (. .)))"
[124],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (. .))))"
[126],"(ROOT (S (NP (PRP$ My) (JJ other) (NN daughter)) (VP (VP (VBZ works)) (CC and) (VP (VBZ has))) (, ,)))"
"[123, 125]","(ROOT (S (NP (PRP It)) (VP (MD would) (VP (VB be) (ADJP (ADJP (RBR more) (JJ convenient)) (, ,) (ADJP (RBR more) (JJ productive))) (PRN (S (NP (PRP I)) (VP (VBP think))) (, ,))))))"
[127],"(ROOT (S (S (NP (PRP they)) (VP (VBP have) (S (VP (TO to) (VP (VB take) (NP (PRP$ their) (CD two) (NNS children)) (PP (IN to) (NP (NN day) (NN care)))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[129],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (, ,) (ADVP (PRP it)) (VP (BES 's)) (, ,)))"
[130],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP (WRB how)) (S (NP (PRP they)) (VP (VBP do) (NP (PRP it))))))) (, ,)))"
[131],"(ROOT (S (NP (PRP I)) (ADVP (RB really)) (VP (VBP do) (S (SBAR (ADVP (RB n't) (. .)) (S (NP (PRP You)) (VP (VBP know)))))) (, ,)))"
[128],(ROOT (INTJ (UH Uh-huh) (. .)))
"[132, 134]","(ROOT (S (S (VP (VP (VBG getting) (NP (PRP them)) (ADVP (RB there) (CC and) (RB then))) (, ,) (CC and) (VP (VBG going) (PP (IN to) (NP (NN work)))))) (, ,) (CC and) (ADVP (RB then)) (S (VP (VBG picking) (NP (NP (NP (PRP them)) (ADVP (RP up))) (CC and) (, ,) (NP (NP (PDT all) (DT the)) (NNS preparations))))) (. .)))"
[136],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
"[133, 135]","(ROOT (S (CC And) (, ,) (S (CC and) (NP (PRP$ your) (NNS hours)) (VP (VP (VBP are)) (, ,) (VP (ADVP (RB much) (RBR more)) (JJ constrained)) (CC and) (VP (NP (NNS things)) (PP (IN like) (NP (DT that)))))) (. .)))"
[138],"(ROOT (S (CC And) (, ,) (NP (DT that)) (, ,) (PP (IN to) (NP (PRP me))) (, ,) (INTJ (UH well)) (, ,) (NP (DT that)) (, ,) (ADVP (PRP you)) (VP (VBP know)) (, ,)))"
[137],(ROOT (INTJ (UH uh-huh) (. .)))
[140],(ROOT (INTJ (UH Uh-huh) (. .)))
"[139, 141]","(ROOT (S (NP (NP (DT those) (CD three) (NNS things)) (, ,) (NP (DT the) (NN health) (NN care)) (, ,) (NP (NN vacation)) (, ,) (CC and) (NP (NN day) (NN care))) (VP (VBP are) (ADVP (RB probably)) (NP (DT the) (ADJP (RBS most) (JJ important)) (NNS benefits))) (. .)))"
[143],"(ROOT (S (NP (PRP I)) (VP (VBP suppose) (SBAR (S (NP (PRP I)) (VP (MD should) (VP (VB be) (NP (ADJP (ADJP (JJ concerned) (PP (IN with) (NP (NN life) (NN insurance)))) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (ADJP (NN retirement))) (NNS plans)))))))))"
[142],(ROOT (INTJ (UH Uh-huh) (. .)))
[145],"(ROOT (S (INTJ (UH Oh)) (, ,) (ADVP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[144],"(ROOT (FRAG (CC but) (NP (, ,))))"
[146],"(ROOT (S (S (NP (PRP I)) (VP (VBP think) (NP (NP (DT those) (NNS benefits)) (SBAR (S (NP (PRP you)) (VP (VBD mentioned))))))) (, ,) (ADVP (RB sometimes)) (S (NP (PRP they)) (VP (VBP 're) (ADJP (ADJP (RB even) (RBR more) (JJ important)) (PP (IN than) (NP (XX you-)))) (, ,) (S (NP (DT the) (NN wage)) (NP (PRP itself))))) (. .)))"
[148],"(ROOT (SBAR (IN If) (S (NP (PRP you)) (VP (MD can) (VP (VB get) (NP (DT those) (NNS benefits)) (ADVP (ADVP (RB even)) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))"
[147],(ROOT (INTJ (UH Yeah) (. .)))
[150],(ROOT (INTJ (UH Right)))
[151],"(ROOT (SBAR (IN because) (S (NP (PRP you)) (VP (VBP 're) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))))))"
[149],"(ROOT (S (NP (PRP they)) (, ,) (NP (PRP they)) (VP (VBP come) (ADVP (IN out) (PP (IN to) (NP (NP (JJ much)) (, ,) (NP (DT a) (ADJP (RB much) (JJR better)) (NN benefit))))) (ADVP (IN than)) (, ,) (PP (IN than) (NP (NP (DT an) (NN increase)) (PP (IN in) (NP (NP (PRP$ your) (NN wage)) (NP (DT a) (NN lot)))) (PP (IN of) (NP (NNS times)))))) (. .)))"
[153],(ROOT (INTJ (UH Uh-huh) (. .)))
[155],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
"[152, 154, 157]","(ROOT (S (S (ADVP (RB certainly)) (NP (NP (NN something)) (PP (IN like) (NP (NP (NN day) (NN care)) (PP (IN at) (NP (DT the) (NN work) (NN place)))))) (VP (MD would) (VP (VB make) (S (NP (NN life)) (ADJP (ADJP (RB so) (RB much) (JJR simpler)) (SBAR (IN that) (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ worth)) (S (VP (VBG paying))))))))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (VBG having) (NP (DT a) (JJR lower) (NN salary))))) (. .)))"
[156],(ROOT (INTJ (UH uh-huh) (. .)))
[159],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (. .))))"
[161],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (, ,))))"
"[158, 160, 163]","(ROOT (S (NP (PRP I)) (VP (MD would) (VP (ADVP (RB certainly)) (VB accept) (NP (DT a) (JJR lower) (NN salary)) (PP (IN for) (FRAG (NP (DT that)) (. .))) (SBAR (S (NP (PRP You)) (VP (VBP know) (, ,) (S (NP (NN everything)) (ADJP (RB else)) (S (VP (VBG being) (ADJP (JJ equal))))))))))))"
[162],(ROOT (S (NP (PRP it)) (VP (MD would) (VP (VB make) (S (NP (PRP it)) (ADJP (NP (DT a) (NN lot)) (JJR better))))) (. .)))
[164],(ROOT (FRAG (SBAR (IN because) (S (NP (PRP$ your) (NN life)) (VP (MD would) (VP (VB be) (ADJP (RB so) (RB much) (JJR easier)))))) (. .)))
[165],(ROOT (INTJ (UH Uh-huh) (. .)))
[166],(ROOT (S (CC And) (NP (EX there)) (VP (BES 's) (NP (NP (DT a) (NN question)) (PP (IN of) (NP (NP (NN quality)) (PP (IN of) (NP (NN life)))))) (ADVP (RB also))) (. .)))
[168],(ROOT (INTJ (UH Yeah) (. .)))
[170],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
"[167, 169]","(ROOT (S (S (INTJ (UH Uh) (, ,) (UH well)) (, ,) (S (CC and) (SBAR (IN if) (S (NP (PRP it)) (VP (VBD was) (ADVP (RB there))))) (, ,) (NP (PRP you)) (VP (MD would) (ADVP (RB really)) (VP (VB have) (NP (NP (DT a) (ADJP (ADJP (RB little) (JJR more)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN knowledge)) (PP (IN on) (SBAR (WHNP (WP what)) (S (VP (BES 's) (VP (VBG going) (PRT (RP on)) (ADVP (RB probably))))))))))) (, ,) (S (NP (PRP you)) (VP (VBP know)))) (, ,) (FRAG (PP (IN with) (NP (PRP$ your) (NN child)))) (. .)))"
[172],(ROOT (INTJ (UH Right) (. .)))
[174],(ROOT (INTJ (UH Yeah) (. .)))
[176],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
"[171, 173, 175]","(ROOT (S (S (ADVP (CC and)) (, ,) (NP (PRP you)) (, ,) (PRN (S (NP (PRP you)) (, ,) (NP (PRP you)) (VP (VBP do) (RB n't) (VP (VB feel) (PP (IN like) (NP (PRP you))))))) (VP (VBP 're) (NP (NP (DT a) (NN half) (NN hour)) (FRAG (ADVP (RB away)) (SBAR (IN if) (S (NP (NP (PRP she)) (NP (NN something))) (VP (VBD happened)))) (. .))))) (CC And) (, ,) (S (NP (PRP you)) (VP (VBP 're) (ADJP (RBR less) (JJ preoccupied) (PP (IN with) (NP (PRP it)))))) (, ,) (S (NP (PRP I)) (VP (VBP think))) (. .)))"
[178],"(ROOT (PRN (S (ADVP (CC But)) (NP (NP (RB unfortunately)) (, ,) (NP (EX there))) (VP (VBP are) (RB n't))) (, ,)))"
[177],(ROOT (INTJ (UH yeah) (. .)))
[180],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[181],"(ROOT (PRN (S (NP (PRP$ my) (NN daughter)) (, ,) (NP (CD one) (NN daughter)) (VP (VBZ works) (PP (IN for) (NP (NNP M) (NNP C) (PRP I))))) (, ,)))"
[179],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NNP I) (NNP B) (NNP M)) (VP (VBZ has) (VP (VBN started) (S (VP (VBG having) (NP (NP (DT that)) (PP (IN in) (NP (JJ certain) (NNS locations))))))))))) (. .)))
[183],(ROOT (INTJ (UH Uh-huh) (. .)))
