[0],(ROOT (INTJ (UH Hi)))
[64],(ROOT (INTJ (UH Uh-huh) (. .)))
[66],(ROOT (S (NP (DT That)) (VP (VBZ is) (ADJP (JJ true))) (. .)))
[65],(ROOT (S (CC but) (NP (PRP they)) (VP (VBP do) (RB not) (VP (VB talk) (NP (DT a) (JJ whole) (NN lot)) (PP (IN about) (NP (DT that))))) (. .)))
[68],(ROOT (INTJ (UH Uh-huh) (. .)))
[70],(ROOT (INTJ (UH Uh-huh) (. .)))
[72],(ROOT (INTJ (UH Uh-huh) (. .)))
[74],(ROOT (INTJ (UH Sure) (. .)))
"[75, 77]","(ROOT (S (INTJ (UH Well)) (INTJ (RB now)) (, ,) (NP (DT That)) (VP (VBZ is) (ADJP (JJ right))) (. .)))"
"[67, 69, 71, 73, 76]","(ROOT (S (CC But) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (VP (VBZ is) (NP (ADJP (IN instead) (PP (IN of) (S (ADVP (RB maybe)) (VP (VBG entering) (NP (NP (DT a) (NN nursing) (NN home)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP are) (ADVP (RB still)) (ADJP (JJ able) (S (VP (TO to) (VP (VB have) (S (ADJP (JJ good)))))))))) (, ,)))))) (NNS relationships)) (PP (IN with)) (, ,) (NP (NP (RB maybe) (JJ other) (NNS friends)) (SBAR (S (NP (PRP they)) (VP (VBP wait) (SBAR (IN until) (S (NP (PRP they)) (VP (VBP are)))))))))))))) (, ,) (NP (PRP you)) (VP (VP (VBP know)) (, ,) (VP (JJ unable))) (. .)))"
[79],(ROOT (INTJ (UH Right) (. .)))
[81],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
"[78, 80, 83]","(ROOT (S (S (INTJ (UH Well)) (, ,) (NP (DT that)) (VP (VBZ is) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP wait) (SBAR (IN until) (S (NP (DT the) (NNS children)) (VP (VBP make) (NP (DT those) (NNS choices)))))))))) (, ,) (S (NP (PRP they)) (VP (VBP choose) (S (VP (TO to) (VP (RB not) (VB make) (NP (DT those))))))) (, ,) (S (NP (NNS choices)) (NP (PRP themselves))) (. .)))"
[82],(ROOT (INTJ (UH right) (. .)))
[84],"(ROOT (S (ADVP (RB However)) (, ,) (NP (PRP$ my) (NN daughter-in-law)) (ADVP (RB also)) (VP (VBZ is) (NP (NP (DT a) (NN nurse)) (PP (IN in) (NP (DT a) (NN nursing) (NN home))))) (. .)))"
[86],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP she)) (VP (VBZ works) (PP (IN for) (NP (CD one))) (PP (ADVP (RB here)) (IN in) (NP (NP (NNP Dallas)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (ADVP (JJR more)) (NP (DT a) (NN retirement) (NN village)) (SBAR (IN than) (S (NP (PRP it)) (VP (VBZ is) (NP (DT a) (NN nursing) (NN home))))))))))) (. .)))"
[85],(ROOT (INTJ (UH Uh-huh) (. .)))
[87],"(ROOT (FRAG (CC And) (NP (NP (DT these)) (, ,) (NP (DT these)) (, ,))))"
[88],"(ROOT (INTJ (INTJ (UH Uh)) (, ,) (INTJ (UH uh-huh) (. .))))"
[90],(ROOT (INTJ (UH Uh-huh) (. .)))
"[89, 91]","(ROOT (S (S (NP (PRP I)) (VP (VBP love) (S (VP (VBG watching) (S (NP (DT these) (JJ elderly) (NNS people)) (VP (VB come))))))) (, ,) (S (NP (PRP they)) (VP (MD will) (VP (VB come) (CC and) (VB tell) (NP (PRP$ her))))) (. .) (`` ``) (S (INTJ (UH Well)) (NP (PRP I)) (VP (VBP am) (VP (VBG going) (PP (IN for) (NP (NP (PRP$ my)) (, ,) (NP (NN tennis) (NNS lessons))))))) (. .)))"
[92],X
[94],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
"[93, 96]","(ROOT (S (CC And) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (VP (MD would)) (NP (PRP yo-)))) (PRN (, ,) (SINV (VP (MD would)) (NP (PRP you))) (, ,)) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (VP (VP (VB call) (PRT (RP down))) (CC and) (VP (VB have) (S (NP (DT the) (NNP van)) (VP (VB come) (ADVP (RB around))))) (CC and) (VP (VB take)))) (, ,)) (NP (PRP us)) (PP (IN for) (NP (PRP$ our) (NN tennis) (NNS lessons)))) (. .) ('' '')))"
[97],(ROOT (S (CC And) (NP (PRP they)) (VP (VBP are) (ADJP (ADJP (RB very) (JJ active)) (CC and) (ADJP (RB very) (JJ enthusiastic))))))
[95],(ROOT (INTJ (UH uh-huh) (. .)))
[99],(ROOT (INTJ (UH Uh-huh) (. .)))
"[98, 100]","(ROOT (S (CC and) (NP (PRP they)) (VP (VBP have) (NP (NP (, ,) (NP (DT some)) (JJ excellent) (NNS programs)) (ADVP (RB right) (RB there) (PP (IN on) (NP (NN site)))))) (. .)))"
[101],(ROOT (INTJ (UH Yeah) (. .)))
[103],(ROOT (INTJ (UH Yeah) (. .)))
[102],"(ROOT (S (NP (PRP$ Their) (NN dining) (NN room)) (VP (VBZ looks) (PP (IN like) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (NP (NNP Luby) (POS 's)) (NNP Cafeteria)))) (. .)))"
[105],"(ROOT (S (NP (CC Or)) (VP (PRN (, ,) (CC or) (NP (NP (CD one)) (PP (IN of) (NP (DT the))))) (PP (JJ lovely) (NP (NNS cafeterias)))) (. .)))"
[104],(ROOT (S (NP (DT That)) (VP (VBZ is) (ADJP (JJ great))) (. .)))
[107],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[108],(ROOT (INTJ (UH uh-huh) (. .)))
[110],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[106, 109]","(ROOT (S (CC And) (S (NP (PRP they)) (VP (VBP have) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (JJ pink) (NN linen) (NNS napkins)) (PP (IN for) (NP (PRP$ their) (NNS dinners)))) (. .)) (CC And) (, ,) (S (NP (DT a) (ADJP (RB well) (JJ equipped)) (NN library))) (. .)))"
[112],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP I)) (VP (VBP am) (ADVP (RB certainly)) (ADJP (RB very) (RB much) (PP (IN for) (NP (DT a) (NN nursing))))) (NN home)))"
[111],(ROOT (S (NP (WDT that)) (VP (VBZ sounds) (ADJP (JJ great))) (. .)))
[114],(ROOT (INTJ (UH Yeah) (. .)))
[116],(ROOT (INTJ (UH Uh-huh) (. .)))
[118],(ROOT (INTJ (UH Uh-huh) (. .)))
"[113, 115, 117, 119]","(ROOT (S (S (CC and) (NP (PRP I)) (VP (VBP think) (FRAG (SBAR (WHADVP (WRB when)) (S (NP (NP (DT the)) (, ,) (NP (DT the) (NN parent))) (VP (VBZ gets) (ADJP (JJ old) (RB enough)) (, ,) (PP (PP (IN to) (NP (NP (DT the) (NN extent)) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (ADVP (RB just)) (VP (VBP do) (RB not) (VP (VB want) (S (VP (TO to) (VP (VB be) (VP (VBN bothered) (PP (IN with) (S (VP (VBG keeping) (NP (NN house))))))))))))))) (, ,) (CC and) (PP (IN with) (S (VP (VBG taking) (NP (NP (NN care)) (PP (IN of) (NP (PRP themselves))))))))))) (, ,) (ADVP (RB anymore)) (. .)))) (NP (DT That)) (VP (VBZ is) (NP (DT a) (JJ wonderful) (NN alternative))) (. .)))"
[121],(ROOT (S (NP (PRP It)) (VP (VBZ is) (ADJP (JJ expensive))) (. .)))
[120],(ROOT (INTJ (UH Uh-huh) (. .)))
[122],(ROOT (S (NP (PRP It)) (VP (VBZ is) (ADJP (JJ costly))) (. .)))
[124],(ROOT (INTJ (UH Uh-huh) (. .)))
[126],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (NP (NP (RB now)) (NP (PRP$ my) (NN daddy) (POS 's))) (ADJP (ADJP (NN mother)) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (VP (VBD lived) (PP (IN in) (NP (NP (DT a)) (, ,) (NP (DT a) (NN retirement))))) (NN village)))"
"[123, 125]","(ROOT (S (VP (VB See) (SBAR (IN if) (S (NP (PRP they)) (VP (MD could) (PRN (, ,) (S (VP (MD could) (VP (VB get) (NP (DT this) (NN idea)) (ADVP (RB across)) (ADVP (RB though)) (, ,) (S (ADJP (JJR better) (PP (IN than) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBZ is) (, ,) (NP (PRP you))))))))))) (, ,)) (VP (VB know)))))) (. .)))"
"[127, 129]","(ROOT (S (CC and) (NP (NP (PRP she)) (CC and) (NP (PRP$ her) (NN sister))) (VP (VBD had) (NP (NN side)) (PP (IN by) (NP (NP (NN side) (NNS duplexes)) (, ,) (NP (CD one) (NN bedroom) (NN duplex))))) (. .)))"
[128],(ROOT (INTJ (UH Uh-huh) (. .)))
[130],"(ROOT (S (NP (PRP She)) (ADVP (RB still)) (VP (VBD had) (NP (PRP$ her) (NN individuality))) (, ,)))"
[132],(ROOT (S (CC but) (NP (PRP they)) (VP (VBD were) (ADVP (RB there) (RB close)))))
[133],"(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBD did) (S (S (VP (VBP have))) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (NP (NP (DT the) (NN button)) (SBAR (WHNP (WDT that)) (S (NP (PRP you)) (VP (MD could) (VP (VB push) (NP (DT the) (JJ central) (NN office)) (SBAR (IN if) (S (NP (PRP you)) (VP (VBD got) (PP (IN into) (NP (NNS problems)))))))))))))))))"
[131],(ROOT (INTJ (UH Uh-huh) (. .)))
"[134, 136]","(ROOT (S (CC and) (, ,) (NP (EX there)) (VP (VBD were) (NP (NP (NP (NNS lights)) (SBAR (WHNP (WDT that)) (S (NP (PRP you)) (VP (MD could) (VP (VB flip) (PRT (RP on))))))) (CC and) (ADVP (RB so) (RB forth)))) (. .)))"
[135],(ROOT (INTJ (UH Uh-huh) (. .)))
[137],(ROOT (S (CC And) (NP (PRP they)) (ADVP (XX MUMBLEx)) (VP (VBP have) (NP (NN security))) (. .)))
[139],"(ROOT (INTJ (UH No) (, ,)))"
[140],"(ROOT (S (NP (PRP I)) (VP (VBP am) (ADJP (RB very) (RB much) (PP (IN in) (NP (NN favor))))) (, ,)))"
[138],(ROOT (INTJ (UH Uh-huh) (. .)))
[141],"(ROOT (S (NP (PRP I)) (VP (VBP have) (VP (VBN heard) (NP (NN horror) (NNS stories)))) (, ,)))"
[142],"(ROOT (S (S (INTJ (UH Oh) (, ,) (UH well)) (NP (PRP you)) (VP (VBP have) (NP (NP (DT that)) (PP (IN with) (NP (NN anything)))))) (. .)))"
[143],"(ROOT (S (NP (PRP I)) (VP (VBP know) (SBAR (IN that) (S (NP (DT the) (JJ elderly)) (VP (MD can) (ADVP (RB easily)) (VP (VB be) (VP (VBN abused))))))) (, ,)))"
[144],(ROOT (S (INTJ (UH Oh)) (VP (UH yeah)) (. .)))
[146],"(ROOT (FRAG (PP (IN In) (NP (DT the) (NNS homes))) (, ,) (INTJ (UH yeah)) (. .)))"
"[145, 147]","(ROOT (S (S (CC but) (NP (PRP I)) (VP (MD would) (VP (VB be) (ADJP (JJ willing) (S (VP (TO to) (VP (VB bet) (SBAR (S (NP (PRP they)) (VP (VBP are) (ADVP (RB far) (RBR less)) (VP (VBN abused) (PP (IN in) (NP (DT a) (NN nursing) (NN home))))))))))) (SBAR (IN than) (S (VP (VBP are))))))) (, ,) (NP (PRP they)) (VP (VBP are) (VP (PP (IN in)) (, ,) (NP (NP (NNS homes)) (PP (IN of) (NP (PRP$ their) (JJ own) (NNS children)))))) (. .)))"
"[148, 150]","(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP we)) (VP (VBD used) (NP (PRP$ our) (NN nursing)) (ADVP (NN home) (IN as)) (, ,) (NP (UH uh))) (, ,)))"
[149],(ROOT (INTJ (UH Uh-huh) (. .)))
[152],(ROOT (INTJ (UH Uh-huh) (. .)))
[154],(ROOT (INTJ (UH Uh-huh) (. .)))
"[151, 153, 155]","(ROOT (S (PP (IN like) (SBAR (WHADVP (WRB when)) (S (NP (PRP$ my) (NN sister)) (VP (VBD was) (ADJP (RB real) (JJ bad)) (SBAR (IN before) (S (NP (PRP she)) (VP (VBD died) (INTJ (UH uh))))))))) (, ,) (NP (PRP we)) (VP (VBD took) (S (NP (PRP her)) (NP (NP (DT the) (JJ last) (NN month)) (CC and) (NP (DT a) (NN half)))) (, ,) (PP (IN into) (NP (DT a) (NN nursing) (NN home)))) (. .)))"
[156],(ROOT (INTJ (UH Uh-huh) (. .)))
[157],(ROOT (S (CC And) (NP (PRP they)) (VP (VBD were) (ADJP (JJ super) (PP (IN with) (NP (PRP$ her))))) (. .)))
[158],(ROOT (INTJ (UH Absolutely) (. .)))
[160],"(ROOT (SINV (VP (UH Well)) (NP (NP (RB now)) (, ,) (NP (PRP$ my) (NN grandmother)) (, ,))))"
[159],"(ROOT (S (NP (PRP They)) (VP (VBD were) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[161],(ROOT (PP (IN of) (NP (NP (NN course)) (SBAR (S (NP (NP (DT all)) (PP (IN of) (NP (PRP$ my) (NNS folks)))) (VP (VBD lived) (S (VP (TO to) (VP (VB be) (ADJP (RB very) (JJ old)))))))))))
[162],(ROOT (INTJ (UH Uh-huh) (. .)))
[164],(ROOT (INTJ (UH Uh-huh) (. .)))
[166],(ROOT (INTJ (UH Uh-huh) (. .)))
"[163, 165, 167]","(ROOT (S (CC and) (NP (PRP$ my) (NN grandmother)) (VP (VBD developed) (NP (NP (NP (NNP Hodgkin) (POS 's)) (NNP Disease)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP she)) (VP (VBD was) (PP (IN in) (NP (PRP$ her) (JJ late) (NNS eighties))))))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (JJ late) (NNS seventies))) (, ,) (SBAR (S (NP (PRP I)) (VP (VBP mean))))) (. .)))"
[169],"(ROOT (S (NP (PRP She)) (VP (VBD went) (PP (IN to) (NP (DT the) (NN doctor)))) (, ,)))"
[170],"(ROOT (S (NP (PRP she)) (VP (VBD had) (NP (NN surgery))) (, ,)))"
[171],(ROOT (S (NP (PRP she)) (VP (VBD got) (NP (DT the) (NNS treatments)))))
[168],(ROOT (INTJ (UH Uh-huh) (. .)))
[173],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[174],(ROOT (INTJ (UH uh-huh) (. .)))
"[172, 175]","(ROOT (S (CC and) (PP (IN during)) (, ,) (NP (NP (DT the) (NN period)) (PP (IN of) (NP (NP (NN time)) (SBAR (WHNP (WDT that)) (S (NP (PRP she)) (VP (VBD was) (VP (VBG undergoing) (NP (DT those) (NNS treatments) (PRP she))))))))) (VP (VBD was) (PP (IN in) (NP (DT a) (NN nursing) (NN home)))) (. .)))"
[177],"(ROOT (S (NP (PRP She)) (VP (VBD got) (ADJP (JJR better))) (, ,)))"
[178],"(ROOT (S (NP (PRP she)) (VP (VBD got) (ADVP (RB well))) (, ,)))"
[176],(ROOT (INTJ (UH Uh-huh) (. .)))
[180],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))) (VP (VBP do) (NP (DT that))) (. .)))"
[179],(ROOT (S (NP (PRP she)) (VP (VP (VBD got) (ADVP (RB out))) (CC and) (VP (VBD went) (S (VP (VBG dancing) (ADVP (RB again)))))) (. .)))
[182],(ROOT (INTJ (UH Uh-huh) (. .)))
[184],(ROOT (S (NP (DT That)) (VP (VBZ is) (ADJP (JJ right))) (. .)))
[186],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[187],(ROOT (INTJ (UH uh-huh) (. .)))
"[181, 183, 185]","(ROOT (S (NP (PRP They)) (VP (VP (PRN (, ,) (S (VP (VBD left) (NP (PRP them)) (PP (ADVP (RB temporally)) (RB maybe) (NP (PRP they)))))) (VBD had) (NP (DT a) (NP (, ,) (JJ broken) (NN hip)))) (CC or) (VP (NP (NN something)) (ADVP (CC or)))) (, ,)))"
[188],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ is) (NP (DT a) (JJ wonderful) (NN interim) (NN place)))))) (, ,)))"
[189],(ROOT (INTJ (UH Uh-huh) (. .)))
[191],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
"[190, 193]","(ROOT (S (NP (PRP it)) (VP (VBZ is) (NP (NP (DT a) (NN place)) (SBAR (WHNP (WDT that)) (S (NP (PRP you)) (VP (VBP do) (RB not) (VP (VB have) (S (VP (TO to) (VP (VB struggle) (PP (IN with) (NP (NP (NN hospital)) (, ,) (NP (NNS problems)))))))))))))))"
[194],"(ROOT (PRN (CC and) (S (S (ADVP (RB yet)) (NP (PRP it)) (VP (VBZ is) (RB not))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))))"
[192],(ROOT (INTJ (UH uh-huh) (. .)))
[195],"(ROOT (S (NP (PRP you)) (VP (VBP have)) (, ,)))"
[197],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[196],(ROOT (S (CC And) (NP (PRP it)) (VP (MD can) (VP (VB become) (NP (NN home)) (PP (IN to) (NP (PRP them))))) (. .)))
[198],(ROOT (INTJ (UH uh-huh) (. .)))
[200],(ROOT (S (NP (PRP It)) (ADVP (RB certainly)) (VP (VBZ is)) (. .)))
[202],"(ROOT (S (NP (PRP It)) (ADVP (RB certainly)) (VP (VBZ does)) (, ,)))"
[203],"(ROOT (S (CC but) (PRN (, ,) (S (NP (PRP you)) (VP (VBP see))) (, ,)) (NP (PRP we)) (VP (VBP have) (VP (VBN had) (NP (JJ excellent) (NN experience)) (PP (IN with) (NP (DT that))))) (. .)))"
[204],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (, ,) (ADVP (PRP I)) (VP (VBD did) (RB not) (VP (VB put) (NP (PRP$ my) (NN husband)) (PP (IN in) (NP (DT a) (NN nursing) (NN home))) (SBAR (WHADVP (WRB when)) (S (NP (PRP he)) (VP (VBD became) (ADJP (JJ ill))))))) (, ,)))"
"[199, 201]","(ROOT (S (NP (PRP It)) (, ,) (NP (PRP It)) (VP (VBZ depends) (PP (IN upon) (NP (DT the) (NN individual)))) (. .)))"
[206],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
"[205, 208]","(ROOT (S (CC but) (, ,) (NP (PRP I)) (VP (MD would) (RB not) (VP (VB object) (PP (TO to) (S (VP (VBG going) (PP (IN to) (NP (NN one)))))))) (. .)))"
[207],(ROOT (INTJ (UH uh-huh) (. .)))
[210],(ROOT (INTJ (UH Uh-huh) (. .)))
[212],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
