[1],"(ROOT (S (INTJ (UH Well) (, ,) (UH um)) (, ,) (ADVP (PRP we)) (VP (VBD lived)) (, ,)))"
[11],(ROOT (FRAG (ADJP (WHADVP (WRB How)) (JJ fine)) (. .)))
[14],X
"[13, 15]","(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBP 've) (VP (VBN been) (S (S (INTJ (UH uh)) (, ,) (S (VP (VBG planting) (NP (NP (NNS flowers)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (MD could) (ADVP (RB never)) (VP (VB plant) (, ,) (PP (IN in) (NP (NNP San) (NNP Antonio))) (SBAR (IN because) (S (NP (DT the) (NN heat)) (VP (MD would) (ADVP (RB just)) (VP (VB dry) (NP (PRP them)) (PRT (RP up)) (PP (IN after))))))))))))) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (NP (QP (RB about) (CD three)) (JJ good) (NNS weeks)) (PP (IN of) (NP (NP (JJ nice) (NN weather)) (PP (IN before) (NP (DT the) (NN heat)))))) (VP (VBD started)))))))))"
[16],(ROOT (INTJ (UH Um) (. .)))
"[17, 19]","(ROOT (FRAG (CC and) (NP (NP (RB here)) (SBAR (S (NP (PRP they)) (VP (VBP are) (VP (VBN supposed) (S (VP (TO to) (VP (VB last) (NP (NN year)) (ADVP (RB around)) (SBAR (IN so) (S (NP (PRP we)) (VP (VBP have) (NP (NP (DT some) (ADJP (RB really) (JJ pretty)) (NNS flowers)) (VP (VBG growing)))))) (, ,)))))))))))"
[18],(ROOT (S (INTJ (UH Oh)) (VP (UH boy)) (. .)))
[20],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP we)) (VP (VBP 're) (PP (IN at) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (DT a) (NN forest) (NN area))))) (, ,) (SBAR (IN so) (S (NP (EX there)) (VP (BES 's) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN pine) (NN mulch)))))))) (. .)))"
[21],(ROOT (INTJ (UH Uh-huh) (. .)))
[22],(ROOT (S (NP (NP (RB Just) (RB about) (NN anything)) (SBAR (S (NP (PRP you)) (VP (MD would) (VP (VB want) (PP (IN in) (NP (NNP Texas))) (PP (IN as) (NP (DT a) (NN gardener)))))))) (VP (VBZ is) (ADVP (RB here)) (ADVP (RB just)) (PP (IN around) (NP (PRP us)))) (. .)))
[24],(ROOT (S (NP (PRP We)) (VP (VBD got) (ADVP (RB here)) (PP (IN at) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (QP (RB about) (DT a) (CD four)) (NN year) (NN drought)))))) (. .)))
[25],(ROOT (S (NP (PRP We)) (VP (VBP 've) (VP (VBN had) (NP (NP (DT a) (JJ whole) (NN lot)) (PP (IN of) (NP (NN rain)))))) (. .)))
[26],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP it)) (VP (HVS 's) (VP (VBN been) (VP (VBG raining) (NP (RB pretty) (RB much)) (ADVP (RB continually)) (ADVP (RB now)))) (, ,) (INTJ (UH uh)) (, ,) (ADVP (RB off) (CC and) (RB on)) (, ,) (NP (NP (RB maybe) (CD one) (NN day)) (PP (IN of) (NP (NN break))) (, ,) (PP (IN for) (NP (RB about) (DT a) (NN month))))) (. .)))"
[23],X
[27],"(ROOT (INTJ (RB So) (, ,)))"
[29],"(ROOT (INTJ (UH Yeah) (, ,)))"
[30],"(ROOT (S (NP (PRP we)) (VP (VBP 're) (VP (VBG getting) (S (ADJP (VBN replenished))))) (, ,)))"
[31],"(ROOT (PRN (CC and) (ADJP (RB so) (SBAR (S (NP (EX there)) (VP (VBZ is)) (, ,))))))"
[32],"(ROOT (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (ADVP (RB first)) (VP (VBD came) (ADVP (RB here))) (PRN (S (NP (NN everything)) (VP (VBD was) (ADJP (JJ yellow)))) (, ,)))))"
[33],(ROOT (S (NP (DT the) (NN grass)) (VP (VBD was) (ADJP (JJ dead)) (ADVP (RB everywhere))) (. .)))
[34],"(ROOT (S (CC And) (ADVP (RB now) (PP (IN with) (NP (PDT all) (DT the) (NN rain) (NN everything)))) (VP (VBZ is) (ADVP (RB just)) (ADJP (JJ gorgeous) (, ,) (JJ lush) (CC and) (JJ green) (CC and) (JJ beautiful))) (, ,)))"
[28],(ROOT (S (INTJ (UH Oh)) (VP (UH really)) (. .)))
[35],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP hope) (SBAR (IN that) (S (NP (PRP it)) (VP (VBZ holds) (PRT (RP out)) (ADVP (RB here)) (PP (IN after) (NP (DT the) (NN summer))))))) (. .)))
[37],"(ROOT (S (CC But) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (DT that)) (VP (VBZ has) (VP (VBN been) (NP (DT the) (JJ major) (NN change)))))) (NP (WDT that)) (ADVP (PRP we)) (VP (VBP have) (VP (VBN noticed) (PP (IN in) (NP (NN gardening))))) (, ,)))"
[38],"(ROOT (S (CC and) (NP (DT that)) (VP (BES 's) (NP (NP (NP (RB about) (DT the) (NN extent)) (PP (IN of) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBP 've) (VP (VBN done))))))) (, ,) (RB just) (NP (NP (DT a) (JJ little) (NN bit)) (PP (IN on) (NP (DT the) (NN patio)))) (, ,) (CC and) (NP (NP (VBG waiting)) (PP (IN for) (NP (DT the) (NN rain) (S (VP (TO to) (VP (VB subside) (SBAR (IN so) (S (NP (PRP we)) (VP (MD can) (VP (VB mow))))))))))))) (. .)))"
[36],(ROOT (INTJ (UH Wow) (. .)))
[39],"(ROOT (S (NP (PRP We)) (, ,) (PP (IN after) (NP (RB about) (DT a) (NN month))) (, ,) (NP (PRP we)) (ADVP (RB finally)) (VP (VBD got) (S (VP (TO to) (VP (VB mow) (NP (DT this) (NN weekend)))))) (. .)))"
[41],"(ROOT (S (CC But) (, ,) (INTJ (UH um)) (, ,) (NP (PRP we)) (VP (VBP 're) (ADVP (RB just)) (ADJP (RB so) (JJ happy) (S (VP (TO to) (VP (VB see) (NP (NN green))))))) (. .)))"
[42],(ROOT (S (NP (PRP It)) (VP (BES 's) (ADVP (RB just)) (ADJP (RB so) (JJ nice))) (. .)))
[40],X
[44],"(ROOT (S (INTJ (UH Um) (. .)) (UH Well) (NP (PRP we)) (ADVP (RB just)) (VP (VBD moved) (PP (IN to) (NP (PRP$ our) (JJ first) (NN home)))) (, ,)))"
[45],(ROOT (S (CC and) (NP (PRP we)) (VP (VBD had) (VP (VBN lived) (PP (IN in) (NP (DT a) (NN condominium))) (ADVP (RB before)))) (. .)))
[46],(ROOT (S (RB So) (NP (PRP we)) (VP (VBD did) (RB n't) (VP (VB have) (NP (DT any) (NN lawn) (CC and) (NN garden) (NN type) (NNS duties)))) (. .)))
[47],(ROOT (ADJP (RB So) (SBAR (S (NP (PRP we)) (VP (VBP 're) (ADVP (RB just)) (VP (VBG learning) (NP (DT the) (NNS ropes)) (ADVP (RB here))))))))
[43],(ROOT (S (NP (PRP We)) (VP (VBP have) (RB n't) (ADVP (RB really)) (VP (VBN done) (NP (NP (ADJP (RB too) (JJ much)) (NN else)) (PP (JJ other) (IN than) (NP (DT that)))))) (. .)))
[48],"(ROOT (FRAG (CC and) (ADVP (, ,))))"
[50],"(ROOT (FRAG (S (CC But) (ADVP (WRB when)) (NP (PRP we)) (VP (VBD moved) (ADVP (ADVP (RB in)) (PRN (, ,) (INTJ (UH um)) (, ,)))))))"
[49],(ROOT (INTJ (UH Uh-huh) (. .)))
[51],"(ROOT (S (NP (PRP$ our) (NN backyard)) (VP (VBZ has) (NP (NP (RB so) (JJ many) (XX bi-)) (, ,) (NP (NP (JJ tall) (NNS trees)) (PP (IN in) (NP (PRP it))) (SBAR (WHNP (WDT that)) (S (NP (EX there)) (ADVP (RB jus-)) (, ,) (NP (EX there)) (VP (VBD was) (RB n't) (ADVP (RB even)) (NP (NP (DT a) (NN blade)) (PP (IN of) (NP (NP (NN grass)) (PP (IN in) (NP (DT the) (NN backyard)))))))))))) (. .)))"
[53],"(ROOT (S (RB So) (NP (PRP we)) (VP (VP (VBP 're)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (S (VP (VP (VBG going)) (, ,) (VP (VBG talking) (PP (IN to) (NP (NP (DT some)) (PP (IN of) (NP (PRP$ our) (NNS friends))) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (NP (NNS landscapers) (CC and) (NNS things)))))))) (, ,) (CC and) (VP (VBG learning) (PP (IN about) (NP (NP (JJ different) (NNS kinds)) (PP (IN of) (NP (NN grass))))))))) (. .)))"
[54],"(ROOT (NP (S (NP (PRP We)) (VP (VBG trying) (S (VP (TO to) (VP (VB go) (PRN (, ,) (S (VP (VB grow) (NP (NN grass)))) (, ,)))))))))"
[55],"(ROOT (S (CC and) (NP (PRP it)) (ADVP (RB just)) (VP (VBZ seems) (ADJP (RB so) (JJ funny) (PP (IN to) (NP (PRP me)))) (PRN (ADVP (IN that)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBD grew) (PRT (RP up)))))) (PP (IN in) (NP (NNP Missouri)))) (, ,)))"
[56],(ROOT (S (CC and) (NP (PRP you)) (VP (VBD did) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB worry) (PP (IN about) (S (VP (VBG growing) (NP (NN grass)) (ADVP (RB there)))))))))) (. .)))
[52],(ROOT (INTJ (UH Uh-huh) (. .)))
[58],(ROOT (SBARQ (WHADVP (RB So)) (SQ (VBP do) (NP (PRP you)) (VP (VB have) (S (VP (TO to) (VP (VB get) (NP (DT a) (NN shade) (JJ tolerant) (NN grass))))))) (. ?)))
[57],(ROOT (S (NP (PRP It)) (ADVP (RB just)) (VP (VBD happened) (ADVP (RB automatically))) (. .)))
[60],(ROOT (INTJ (UH Yes) (. .)))
[61],(ROOT (S (NP (PRP We)) (VP (VBP are)) (. .)))
[59],"(ROOT (SINV (VP (VBZ Is)) (NP (DT that)) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP 're)) (, ,)))))"
[62],"(ROOT (S (NP (PRP We)) (VP (VBD tried) (, ,) (SBAR (S (NP (PRP we)) (VP (VBD planted) (NP (NP (DT some) (NN fescue)) (ADJP (ADJP (JJ last)) (PRN (, ,) (INTJ (UH um)) (, ,)))) (NP (NN fall))))))))"
[64],"(ROOT (FRAG (CC and) (NP (NP (PRP it)) (ADJP (ADJP (BES 's) (RB really)) (, ,) (ADJP (RB really) (JJ pretty)) (, ,)))))"
[66],"(ROOT (S (NP (PRP it)) (VP (VBD stayed) (ADJP (RB pretty) (, ,) (RB pretty) (JJ green)) (PP (IN throughout) (NP (DT the) (NN winter)))) (, ,)))"
[67],"(ROOT (FRAG (CC and) (NP (NP (PRP it)) (ADJP (BES 's) (RB pretty) (JJ goo) (, ,)))))"
[68],"(ROOT (S (NP (PRP it)) (VP (BES 's) (RB not) (ADJP (ADJP (IN as) (JJ thick)) (CC and) (ADJP (IN as) (JJ nice)))) (, ,)))"
[63],(ROOT (INTJ (UH Uh-huh) (. .)))
[70],(ROOT (INTJ (UH Oh) (. .)))
[69],"(ROOT (S (S (NP (PRP it)) (VP (VBZ does) (RB n't) (VP (VB look) (SBAR (IN like) (S (NP (PRP it)) (VP (MD can) (VP (VB withstand) (ADJP (RB too) (JJ much))))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[72],"(ROOT (S (NP (PRP It)) (VP (BES 's) (VP (VBN supposed) (S (VP (TO to) (VP (VB die) (PRT (RP off)) (NP (UH like)) (PP (IN in) (NP (NNP August)))))))) (, ,)))"
[73],(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (PRP you)) (VP (VBP replant) (NP (PRP it)) (PP (IN in) (NP (NNP September)))))))))
[71],"(ROOT (S (VP (VBZ Does) (SBAR (IN that) (FRAG (VP (VB last) (PP (IN through) (NP (DT the) (NN summer))) (, ,) (ADVP (RB too)))))) (. ?)))"
"[74, 76]","(ROOT (S (CC and) (, ,) (ADVP (RB So)) (, ,) (NP (CC but)) (ADVP (PRP we)) (VP (VBP do) (RB n't)) (, ,)))"
[77],"(ROOT (S (NP (NP (DT the) (NNP Saint) (NNP Augustine)) (CC and) (NP (RB all) (DT that))) (ADVP (RB supposedly)) (VP (VBD was) (ADVP (ADVP (RB back) (RB there)) (SBAR (RB just) (S (VP (VBD was) (RB n't)))))) (, ,)))"
[75],(ROOT (INTJ (UH Oh) (. .)))
[78],"(ROOT (S (PP (IN like) (S (NP (PRP I)) (VP (VBP say)))) (, ,) (NP (EX there)) (ADVP (RB really)) (VP (VBD was) (RB n't) (ADVP (RB even)) (NP (NP (CD one) (NN blade)) (PP (IN of) (NP (NP (NN grass)) (PP (IN in) (NP (DT the) (NN backyard))))))) (. .)))"
[79],(ROOT (INTJ (UH Uh-huh) (. .)))
[81],X
"[80, 82]","(ROOT (S (CC And) (SBAR (PRN (, ,) (INTJ (UH um)) (, ,)) (S (ADVP (RB so) (RB mostly)) (, ,) (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (PRP we)) (VP (VBP 're) (RB not) (ADVP (RB even)) (PP (IN to) (NP (DT the) (NN point))) (SBAR (SBAR (WHADVP (WRB where)) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG getting) (PP (IN into) (NP (NP (NNS flowers)) (, ,) (CC and) (NP (NN flower) (NNS beds)))))))) (CC or) (SBAR (RB even) (S (NP (NP (NNS gardens)) (, ,) (SBAR (WHNP (WDT that)) (, ,) (S (NP (PRP we)) (VP (VBP 're) (ADVP (RB just)) (VP (VBG saying))))) (, ,)) (VP (VB let) (S (NP (PRP 's)) (VP (VB get) (NP (DT some) (NN grass))))))))) (. .)))"
[83],(ROOT (S (VP (ADVP (RB Just)) (VB get) (NP (NN grass)) (S (VP (TO to) (VP (VB grow))))) (. .)))
[84],(ROOT (S (S (VP (VB Let) (S (NP (PRP 's)) (VP (VB get) (NP (NN grass)) (SBAR (IN so) (IN that) (S (NP (DT the) (NNS kids)) (VP (MD can) (VP (VP (VB play) (PP (IN in) (NP (DT the) (NN yard)))) (CC and) (RB not) (VP (VB have) (S (VP (TO to) (VP (VB be) (ADJP (JJ worried) (PP (IN about) (NP (NP (DT the) (NN dirt)) (ADJP (RB so) (JJ much))))))))))))))))) (. .) (NP (PRP You)) (VP (VBP know)) (. .)))
[86],(ROOT (INTJ (UH Uh-huh) (. .)))
"[85, 87]","(ROOT (S (S (INTJ (UH Well)) (, ,) (PRN (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (VP (VBD had) (S (NP (PRP$ our) (NN house)) (VP (PRN (, ,) (INTJ (UH um)) (, ,)) (PP (IN out) (IN in) (NP (NP (NNP Castroville)) (, ,) (NP (NP (DT the) (NN problem)) (PP (IN with) (NP (PRP$ ours)))))))))))) (VP (VBZ is) (SBAR (IN that) (S (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNS plots)) (ADVP (RB there)) (VP (VBP are) (NP (NP (DT a) (JJ third)) (PP (IN of) (NP (DT an) (NN acre)))))) (. .)))) (CC And) (S (S (VP (VBG trying) (S (VP (TO to) (VP (VB keep) (S (NP (NP (NN grass)) (ADJP (JJ alive) (PP (IN during) (NP (NP (DT a) (NN summer)) (PP (IN on) (NP (NP (DT a) (NN piece)) (PP (IN of) (NP (NN ground))))))))) (ADJP (RB that) (JJ big)))))))) (VP (VBD was) (ADJP (JJ expensive)))) (. .)))"
[89],(ROOT (FRAG (S (VP (TO To) (VP (VB water) (NP (PRP it)))))))
[90],"(ROOT (PRN (CC and) (S (S (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (S (NP (CC and)) (VP (ADVP (ADVP (RB eventually)) (PRN (, ,) (INTJ (UH well)) (, ,))) (S (ADJP (RB especially) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBD was) (ADJP (RB so) (JJ bad)) (NP (JJ last) (NN year))))))))) (, ,) (S (INTJ (UH well)) (, ,) (NP (PRP I)) (VP (VBP guess))))) (NP (PRP it)) (VP (VBD was) (ADVP (NP (DT the) (NN year)) (RB before)) (ADVP (RB now)))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (VBD was) (ADJP (RB so) (JJ hot)) (NP (DT that) (NN year)))) (, ,))))"
[88],(ROOT (S (INTJ (UH Oh)) (VP (UH yeah)) (. .)))
[91],(ROOT (S (NP (DT that)) (VP (VBD was) (NP (NP (DT the) (NN year)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBD started) (PRT (RP out)) (NP (QP (DT a) (CD hundred))) (PP (IN in) (NP (NNP February))))))))))) (. .)))
[93],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (PRP we)) (VP (VBD were) (ADVP (RB just)) (VP (VBG watering) (NP (PDT all) (DT the) (NN time)))) (. .)))"
[92],(ROOT (FRAG (UH Oh) (INTJ (UH no)) (. .)))
[94],"(ROOT (S (ADVP (RB Finally)) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBD did) (SBAR (S (VP (VBD was) (SBAR (S (NP (PRP we)) (VP (VBD said)))))))))) (, ,) (NP (PRP we)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB have) (S (VP (TO to) (VP (VB let) (S (NP (DT the) (JJ back) (NN yard)) (VP (VB die))))))))))) (. .)))"
[95],X
[97],"(ROOT (FRAG (PP (IN On) (NP (PRP$ its) (JJ own))) (, ,)))"
"[96, 98]","(ROOT (S (NP (PRP It)) (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB have) (S (VP (TO to) (VP (VB do) (SBAR (WHNP (WDT whatever)) (S (NP (PRP it)) (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB do) (SBAR (IN because) (, ,) (S (NP (PRP we)) (VP (MD ca) (RB n't) (ADVP (RB really)) (VP (VB afford) (NP (DT the) (JJ front) (NN yard))))))))))))))))))))) (. .)))"
[100],"(ROOT (FRAG (CC And) (ADVP (RB so)) (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (VP (VP (VBD left)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (DT the) (JJ back) (NN yard)) (VP (VBD had) (NP (DT some)))) (, ,)) (NP (UH um)))) (, ,)))))))"
[101],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBD was) (NP (NP (NNP Saint) (NNP Augustine)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBD had))))))))) (. .)))
[102],"(ROOT (S (NP (PRP It)) (VP (VBD had) (VP (VBN held) (PP (IN onto) (NP (DT a) (JJ small) (NN portion))))) (, ,)))"
[99],(ROOT (INTJ (UH Uh-huh) (. .)))
"[103, 105]","(ROOT (S (CC but) (ADVP (RB primarily)) (SBAR (RB once) (S (NP (DT the) (NNS weeds)) (VP (VBP start) (PP (IN in) (NP (NP (DT the) (NN back)) (SBAR (S (NP (PRP we)) (VP (VBD were) (ADVP (RB just)))))))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (VBN resigned) (PP (TO to) (PRN (, ,) (INTJ (UH well)) (, ,)) (NP (NP (DT the) (JJ only) (NN way)) (SBAR (S (NP (PRP we)) (VP (VBD were) (VP (VBG going) (S (VP (TO to) (VP (VB fix) (SBAR (S (NP (DT this) (CD one)) (VP (VBZ is) (SBAR (IN that) (IN if) (S (NP (PRP you)) (VP (VBP plow) (NP (PRP it) (DT all)) (PP (RB under) (S (NP (CC and)) (VP (VBP put) (NP (NN everything)) (ADVP (RB back) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (PRP it)))))) (ADVP (RB again))))))))))))))))))))))) (. .)))"
[106],"(ROOT (S (CC But) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))"
[107],"(ROOT (S (NP (DT That)) (VP (VP (BES 's) (NP (DT the) (JJ bad) (NN thing)) (ADVP (RB there))) (, ,) (VP (VBZ is)) (, ,) (SBAR (IN that) (S (NP (PRP we)) (VP (VBD spent) (NP (ADJP (RB so) (JJ much)) (NN money)))))) (, ,)))"
[108],(ROOT (S (CC or) (NP (PRP you)) (VP (MD would) (VP (VB spend) (NP (NP (ADJP (RB so) (JJ much)) (NN money)) (VP (VBG trying) (S (VP (TO to) (VP (VB keep) (S (NP (DT a) (JJ large) (NN lawn)) (ADJP (JJ alive)))))))))) (. .)))
[109],"(ROOT (S (NP (DT That)) (VP (VBD was) (NP (NP (DT the) (JJ only) (NN thing)) (SBAR (S (NP (PRP I)) (VP (VBD did) (RB n't) (VP (VB like) (PP (IN about) (NP (NNS lawns))))))))) (, ,)))"
[104],(ROOT (INTJ (UH Uh-huh) (. .)))
[110],"(ROOT (S (S (CC and) (NP (PRP we)) (VP (VBD were) (VP (VBG sitting) (ADVP (RB there)) (S (VP (VBG wondering)))))) (, ,) (NP (EX there)) (VP (MD must) (VP (VB be) (NP (DT a) (JJR better) (NN way) (S (VP (TO to) (VP (VB landscape) (SBAR (IN so) (IN that) (S (NP (PRP you)) (VP (VBP do) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB spend) (NP (NP (ADJP (RB so) (JJ much)) (NN money)) (VP (VBG trying) (S (VP (TO to) (VP (VB keep) (S (S (NP (DT the) (NN lawn)) (ADJP (JJ alive) (CC and) (JJ green))) (CC and) (S (NP (DT the) (NNS weeds)) (ADJP (RB out)))))))))))))))))))))) (. .)))"
[111],(ROOT (INTJ (UH Yes) (. .)))
[113],"(ROOT (S (NP (PRP It)) (VP (BES 's) (ADJP (RB pretty) (JJ remarkable)) (SBAR (IN because) (S (S (VP (VBG growing) (PRT (RP up)) (NP (PRP we)))) (VP (VBP 've) (ADVP (RB always)) (VP (VBN had) (NP (DT a) (JJ beautiful) (, ,) (JJ lush) (JJ green) (NN lawn))))))) (, ,)))"
[114],"(ROOT (FRAG (PP (CC and) (NP (NP (PRP we)) (ADVP (RB never)))) (, ,)))"
[112],(ROOT (FRAG (ADVP (RB So)) (. .)))
"[115, 117]",(ROOT (S (NP (EX there)) (VP (VBD was) (NP (NP (DT no) (JJ such) (NN thing)) (PP (IN as) (S (VP (VBG watering) (NP (PRP$ your) (NX (NNS lawns))) (PP (IN in) (NP (NNP Missouri)))))))) (. .)))
[116],(ROOT (INTJ (UH Uh-huh) (. .)))
[118],(ROOT (S (NP (PRP It)) (ADVP (RB just)) (VP (VBD happened)) (. .)))
[120],"(ROOT (FRAG (CC And) (S (VP (VP (, ,) (S (NP (NP (FRAG (INTJ (UH um)) (, ,) (ADVP (IN so)) (NP (PRP it)))) (PP (HVS 's) (FRAG (VP (VBN been) (ADJP (RB real) (JJ fun)) (ADVP (RB here)))))))) (PRN (S (NP (TO to)) (VP (VB see))) (, ,))))))"
[121],"(ROOT (S (NP (EX there)) (VP (BES 's) (NP (DT a) (JJ big) (NN market)) (PP (PP (IN for) (NP (DT the) (NNS nurseries))) (CC and) (PP (IN for) (NP (DT the) (NN landscaping) (NNS companies))))) (, ,)))"
[122],"(ROOT (PRN (CC and) (NP (NP (DT a) (NN lot)) (PP (PP (IN of) (NP (NNS people))) (PRN (, ,) (INTJ (UH um)) (, ,))))))"
[119],(ROOT (INTJ (UH Uh-huh) (. .)))
[123],(ROOT (S (NP (PRP we)) (VP (VBP live) (ADVP (IN in) (RB north)) (PP (IN of) (NP (NNP Dallas)))) (. .)))
[124],(ROOT (INTJ (UH Uh-huh) (. .)))
[125],"(ROOT (S (VP (CC And) (PRN (, ,) (INTJ (UH um)) (, ,)))))"
[126],(ROOT (NP (NP (NNP Arlington)) (NP (NN area)) (. .)))
[128],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[129],(ROOT (FRAG (NP (NNP Plano)) (. .)))
[127],(ROOT (FRAG (NP (NNP Plano)) (. .)))
[131],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
