[0],(ROOT (INTJ (UH Okay) (. .)))
[44],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP you)) (VP (VP (VBP know)) (, ,) (CC and) (VP (FRAG (WHADVP (IN that)))))))"
[45],"(ROOT (S (S (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP look) (PP (IN at) (NP (DT the) (NN space) (NN program))) (NP (PRP itself))))) (, ,) (NP (PRP I)) (VP (VBP think) (PP (IN of) (NP (PRP it))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (SBAR (IN as) (S (S (S (VP (VBG being) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (PRP it))))) (PP (BES 's)))) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (JJ interesting) (S (VP (TO to) (VP (VB learn))))))) (CC but) (S (NP (PRP it)) (BES 's) (ADVP (RB also)) (, ,) (NP (PRP it)) (VP (BES 's))))))) (, ,) (NP (PRP it)) (VP (VBZ brings) (PRT (RP down)) (NP (DT the) (NN fact)) (SBAR (IN that) (S (NP (DT this) (NN earth)) (VP (VBZ is) (NP (PRP it)))))) (. .)))"
[20],(ROOT (S (INTJ (RB So)) (. .) (NP (PRP I)) (VP (VBP suspect) (SBAR (IN that) (S (NP (PRP we)) (VP (MD 'll) (VP (VB see) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS gains)))) (PP (IN from) (NP (DT that)))))))) (. .)))
"[46, 48]","(ROOT (S (NP (PRP It)) (VP (VP (VP (BES 's) (NP (PRP it)) (PP (IN for) (NP (PRP us)))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know) (FRAG (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP mean)))) (. ?))))) (NP (UH Uh))) (, ,) (SBAR (IN unless) (S (NP (NN technology)) (VP (VBZ makes) (NP (DT the) (NN decision)) (SBAR (SBAR (IN that) (S (NP (PRP we)) (VP (VBP are) (ADVP (DT all)) (VP (VBG going) (S (VP (TO to) (VP (VB live) (PP (IN in) (NP (NN space)))))))))) (CC or) (SBAR (WHADVP (WDT whatever)))))))) (. .)))"
[49],"(ROOT (S (CC But) (NP (PRP I)) (VP (MD would) (VP (VB love) (PP (TO to) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (S (VP (VP (VB go) (PP (IN into) (NP (NP (DT the) (NN space) (NN shuttle)) (NP (DT some) (NN day))))) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (ADVP (RB just)) (VB see) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (PRP you)) (SBAR (S (VP (VBP know)))))))) (, ,) (NP (NP (DT the) (NN earth)) (CC and) (NP (NP (DT the) (JJ different) (NNS planets) (CC and) (NNS things)) (PP (IN like) (NP (DT that))))))))) (. .)))"
[47],(ROOT (INTJ (UH Right) (. .)))
[50],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (SBAR (S (NP (PRP it)) (VP (MD would) (VP (VB be) (ADJP (RB very) (JJ interesting) (S (VP (TO to) (VP (VB do))))))))) (CC but) (SBAR (IN whether) (S (NP (PRP it)) (VP (MD would) (VP (VB be) (ADJP (JJ feasible) (S (VP (TO to) (VP (VB do) (S (NP (PRP I)) (VP (VB do) (RB n't) (VP (VB know)))))))))))))) (. .)))"
[52],(ROOT (INTJ (UH Uh-huh) (. .)))
[54],(ROOT (INTJ (UH Uh-huh) (. .)))
[56],(ROOT (INTJ (UH Sure) (. .)))
[58],(ROOT (INTJ (UH Exactly) (. .)))
"[51, 53, 55, 57]","(ROOT (S (INTJ (UH Well) (, ,) (UH uh)) (, ,) (ADVP (RB as) (RB far)) (SBAR (IN as) (S (NP (DT the) (JJ practical) (NNS aspects)) (VP (VBP go)))) (, ,) (NP (PRP I)) (VP (VBP suspect) (S (S (SBAR (IN that) (S (NP (DT the) (NN space) (NN station)) (VP (MD may) (ADVP (RB actually)) (VP (VB be) (NP (NP (DT a) (JJ good) (NN compromise)) (PP (IN between) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (JJ deep) (NN space)))))))) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sorry)) (, ,) (NP (JJ deep) (NN space) (NN exploration)))) (CC and) (, ,) (INTJ (UH uh)) (, ,) (CC and) (S (S (RB not) (VP (VBG doing) (NP (NN anything)) (SBAR (IN because) (S (NP (PRP we)) (VP (VBP have) (NP (DT the) (NN opportunity) (S (VP (TO to) (VP (GW off)))))))))) (^VB load) (S (NP (DT some) (NNS things)) (PP (IN to) (NP (DT the) (NN space) (NN station))))))) (. .)))"
[59],(ROOT (INTJ (UH Uh-huh) (. .)))
[61],(ROOT (INTJ (UH Uh-huh) (. .)))
[63],(ROOT (INTJ (UH Exactly) (. .)))
[64],"(ROOT (INTJ (UH Yeah) (, ,)))"
[65],"(ROOT (S (S (NP (DT that)) (VP (BES 's) (ADJP (JJ true)))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[66],"(ROOT (S (CC And) (ADVP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP think) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
"[60, 62]","(ROOT (S (CC And) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP you)) (VP (VBP know)))) (, ,) (ADVP (RB perhaps)) (NP (PRP we)) (VP (MD can) (VP (VB find) (NP (JJR better) (NNS techniques)) (PP (IN for) (S (VP (VBG doing) (NP (NNS things)) (SBAR (WHNP (WDT that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP we)) (VP (MD 'd) (ADVP (RB normally)) (VP (VB do) (ADVP (IN down) (RB here) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (ADJP (JJ damaging) (PP (IN to) (NP (DT the) (NN environment))))))))))))))))) (. .)))"
[67],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sure) (SBAR (S (NP (PRP you)) (ADVP (RB probably)) (VP (VBP have) (VP (VBN heard) (PP (IN of) (NP (NP (DT the) (NNP Genesis) (NN program)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (VP (VBG going) (PP (IN on) (ADVP (RB currently))) (ADVP (IN out) (PP (IN in) (NP (DT the) (NNP Arizona) (NN desert)))))))))))))))) (. .)))
[69],"(ROOT (S (S (INTJ (UH Uh)) (, ,) (NP (EX there)) (VP (BES 's))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG trying) (S (VP (TO to) (VP (VB look) (PP (IN at) (SBAR (WHADVP (WRB how)) (S (NP (NNS things)) (VP (VBP effect) (NP (NN everything)) (PP (IN in) (S (VP (VBG trying) (S (VP (TO to) (VP (VB create))))))))))))))))) (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (NP (NP (DT an) (NN environment)) (SBAR (WHADVP (WRB where)) (S (S (NP (PRP they)) (VP (VBP have) (NP (DT an) (NN ocean)))) (CC and) (S (NP (PRP they)) (VP (VBP have) (NP (DT the) (NNS lakes))))))))) (CC and) (S (ADVP (RB then)) (NP (PRP they)) (VP (VBP have) (NP (NP (DT the) (NN desert) (NN part)) (PP (IN of) (NP (PRP it))))))))"
[70],"(ROOT (S (S (CC and) (S (ADVP (RB then)) (S (NP (PRP they)) (VP (VBP have) (NP (NP (DT an) (NN area)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (ADJP (JJR more)) (, ,) (INTJ (UH uh)))))))) (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (S (NP (NP (JJ full)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NN vegetation))) (, ,) (NP (NNS tropicals)) (, ,) (NP (NP (DT that) (NN kind)) (PP (IN of) (NP (NN thing)))) (, ,)) (VP (TO to) (VP (VP (ADVP (RB kind) (RB of)) (VB look) (PP (IN at) (NP (NNS things)))) (CC and) (VP (VB say))))))) (, ,) (S (NP (PRP you)) (VP (VBP know))))) (, ,) (ADVP (NP (DT the) (NN environment)) (RB wise)) (, ,) (NP (DT this)) (VP (VBZ is) (SBAR (WHADVP (WRB where)) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG living))))))))"
[71],"(ROOT (SBARQ (WHNP (PP (CC but) (NP (WP what))) (, ,) (WHNP (WP what))) (SQ (VP (VBZ effects) (NP (PRP it))))))"
[72],(ROOT (SBARQ (CC and) (WHADVP (WRB how)) (SQ (MD can) (NP (PRP we)) (VP (VP (VB improve) (NP (PRP it))) (CC and) (VP (NP (NNS things)) (PP (IN like) (NP (DT that)))))) (. .)))
[73],"(ROOT (S (CC And) (ADVP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP think) (PP (PP (IN in) (NP (NN space))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[74],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP (WHADJP (WRB how) (JJ many)) (NNS people)) (S (VP (MD could) (VP (VB live) (ADVP (ADVP (IN up) (PP (IN in) (NP (NN space)))) (PRN (, ,) (INTJ (UH uh)) (, ,))) (PP (IN for) (NP (NP (DT any) (NN length)) (PP (IN of) (NP (NN time))))))))))) (. .)))"
[75],(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (NP (RB just) (DT the) (NN way)) (IN that) (S (NP (PRP we)) (VP (VBP 're) (VP (JJ affected) (PP (IN by) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ cloudy)) (ADVP (RB out)))))))))))))
[76],(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ cloudy) (PP (IN for) (NP (NNS days))))))))
[77],(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB see) (NP (DT the) (NN sun)))))))
[68],(ROOT (INTJ (UH Uh-huh) (. .)))
[78],"(ROOT (S (S (CC and) (S (NP (NP (DT the) (NNS people)) (, ,) (NP (PRP$ their) (NNS moods))) (VP (VBP are) (ADJP (JJ extreme))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[80],"(ROOT (S (NP (PRP It)) (VP (BES 's) (SBAR (IN like) (, ,) (S (SBAR (NP (NNP God)) (IN if) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB get) (S (VP (TO to) (VP (VB see) (NP (DT the) (NN sun))))))))) (NP (PRP I)) (VP (VBP 'm) (VP (VBG going) (S (VP (TO to) (VP (VB be) (PP (IN in) (NP (NP (DT this) (JJ bad) (NN mood)) (NP (PDT all) (DT this) (JJ entire) (NN time))))))))))))))"
[81],(ROOT (S (CC and) (NP (DT this)) (VP (VBZ is) (SBAR (WHADVP (WRB how)) (S (NP (PRP I)) (VP (VBP see) (NP (NP (NNS people)) (VP (VBG reacting))))))) (. .)))
[82],"(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (SBARQ (WHADVP (WRB when)) (SQ (VBZ is) (NP (DT the) (NN sun)) (VP (VBG going) (S (VP (TO to) (VP (VB come) (ADVP (RB out))))))) (. ?)))))"
[79],(ROOT (INTJ (UH Right) (. .)))
"[83, 85]","(ROOT (S (RB So) (NP (PRP I)) (VP (VBP wonder) (S (S (ADVP (WRB how)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (NP (NN somebody)) (VP (VBG living) (ADVP (IN up)) (PP (IN in) (NP (NN space))))) (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB tolerate) (ADVP (RB never)) (S (VP (VP (VBG seeing) (NP (NP (DT the)) (SBAR (S (INTJ (NN sun) (. .)) (NP (PRP You)) (VP (VBP know) (, ,) (PP (IN in) (NP (DT the) (NN aspect))) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP see) (NP (PRP it)))) (. .)))))) (NP (UH Uh))) (, ,) (CC and) (VP (ADVP (RB never)) (VBG seeing)))))))))))))) (, ,) (INTJ (UH uh)) (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (NP (NP (NP (NN light)) (, ,) (NP (JJ bright) (NNS days)) (, ,)) (SBAR (S (NP (PRP you)) (VP (VBP know))))))))) (. .)))"
