[0],(ROOT (INTJ (UH Okay) (. .)))
[32],(ROOT (INTJ (UH Right) (. .)))
[36],"(ROOT (INTJ (UH Yes) (, ,)))"
[37],(ROOT (S (NP (PRP it)) (VP (VBZ is)) (. .)))
[38],"(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP agree) (PP (IN with) (NP (PRP you))) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG starting) (NP (NNS children)) (ADVP (RB so) (ADVP (RB much) (RBR earlier)) (PP (IN on) (NP (NNS things)))) (PP (IN because) (NP (PRP$ our) (NNS grandchildren))))))))) (, ,)))"
[39],"(ROOT (S (NP (PRP we)) (VP (VBP have) (NP (ADJP (DT a) (PRN (, ,) (INTJ (UH uh)) (, ,))) (JJ fourth) (NN grader)))))"
[40],(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (PRP we)) (VP (VBP have) (NP (NP (CD one)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (PP (IN in) (NP (NN kindergarten)))))))))))))
[35],"(ROOT (S (CC and) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (BES 's) (ADJP (RB very) (, ,) (RB very) (JJ important)))))) (. .)))"
[42],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (. .))))"
[44],X
[46],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (. .))))"
[48],(ROOT (S (NP (PRP I)) (VP (NN tutor) (NP (NP (DT a) (NN girl)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (PP (IN in) (NP (JJ eighth) (NN grade))))))))))
[41],"(ROOT (S (CC and) (, ,) (S (CC and) (S (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (DT the) (JJ fourth) (NN grader)) (VP (VBZ is) (VP (VBG doing) (NP (NP (NN stuff)) (SBAR (WHNP (WDT that)) (S (NP (PRP$ our) (NNS children)) (VP (VBD was) (VP (VBG doing))))))))))))) (, ,) (VP (VBD were) (VP (VBG doing) (PP (IN in) (NP (DT the) (JJ fifth) (CC and) (JJ sixth) (NN grade))))) (. .)))"
[50],X
[52],(ROOT (SQ (VBZ Is) (NP (DT that)) (ADJP (JJ scary)) (. ?)))
"[49, 51]","(ROOT (S (CC and) (NP (PRP$ her) (NN pre-algebra) (NN book)) (VP (VBZ is) (ADVP (JJR higher)) (PP (RB then) (NP (NP (DT some)) (PP (IN of) (NP (PRP$ my) (NN Algebra))))) (NP (NP (CD Two)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBD was) (PP (IN in) (NP (JJ high) (NN school)))))))) (. .)))"
[53],(ROOT (NP (. .)))
[54],"(ROOT (S (CC And) (NP (PRP it)) (VP (BES 's) (PP (IN like) (PRN (, ,) (INTJ (UH oh)) (, ,))) (NP (NP (PRP I)) (VP (VBG going) (S (VP (TO to) (VP (VP (VB take) (NP (DT this) (NN home))) (CC and) (VP (VB study) (NP (PRP it)) (SBAR (IN before) (S (NP (PRP I)) (VP (MD can) (VP (VB help) (NP (PRP you))))))))))))) (. .)))"
[56],"(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (S (SBAR (RB so) (S (NP (PRP they)) (VP (VBP 're) (ADVP (RB really))))) (, ,) (NP (PRP they)) (VP (VBP 're) (ADVP (RB really)) (VP (VBG moving) (NP (PRP them)) (ADVP (IN along))))))))"
[55],(ROOT (INTJ (UH Right) (. .)))
[57],"(ROOT (S (CC but) (ADVP (RB yet)) (PRN (, ,) (S (PP (IN at) (NP (DT the) (JJ same) (NN time))) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP they)) (VP (VBP are) (VP (VP (VBG stopping)) (CC and) (VP (VBG making) (S (NP (PRP them)) (VP (VP (VB use) (NP (PRP it))) (CC and) (VP (VB function) (PP (IN with) (NP (PRP it))) (SBAR (IN like) (S (NP (PRP they)) (VP (MD would) (VP (VB need) (S (VP (TO to) (VP (VB do) (PP (IN in) (NP (JJ everyday) (NN life)))))))))))))))) (. .)))"
[59],"(ROOT (S (CC And) (NP (DT that)) (VP (BES 's) (ADVP (XX wha-)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)))))"
[58],"(ROOT (FRAG (PP (UH Now)) (, ,)))"
[60],(ROOT (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (IN that) (FRAG (WHNP (WDT we))))))) (VP (VP (VBD did) (SBAR (S (PP (IN in) (NP (NN school))) (NP (PRP I)) (VP (VBP 've) (ADVP (RB never)) (VP (VBN used)))))) (CC and) (VP (ADVP (RB never)) (MD will) (VP (VB use)))) (. .)))
[61],(ROOT (INTJ (UH Yes) (. .)))
[63],(ROOT (INTJ (UH Correct) (. .)))
[64],"(ROOT (SQ (VBP Are) (NP (PRP you)) (VP (VBG finding) (ADVP (ADVP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (SBAR (IN since) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG doing) (NP (NN substitute)) (, ,) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG wanting) (S (VP (TO to) (VP (VB do) (NP (JJ full-time))))))))))))))) (. ?)))"
[62],"(ROOT (S (CC And) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (RB so) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (PRP it)) (VP (BES 's))))))) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (JJ appropriate) (S (VP (TO to) (VP (VB teach) (NP (PRP them)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (SBAR (WHADVP (WRB why)) (S (NP (PRP they)) (VP (VBP are) (VP (VBG learning) (NP (DT this)) (SBAR (RB not) (RB just) (IN because) (S (NP (DT the) (NN teacher)) (VP (VBZ says) (SBAR (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB learn) (NP (DT this)))))))))))))))))))) (. .)))"
[66],"(ROOT (INTJ (UH Yes) (, ,)))"
[65],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (VP (VBP have) (NP (NP (DT a) (NN friend)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (NP (DT a) (NN teacher)) (SBAR (IN that) (S (NP (NP (CD one)) (PP (IN of) (NP (PRP$ her) (NNS complaints)))) (VP (VBZ is) (SBAR (S (NP (PRP she)) (VP (MD ca) (RB n't) (VP (VB teach) (SBAR (IN because) (S (NP (PRP she)) (VP (BES 's) (ADJP (RB so) (JJ busy)) (S (VP (VBG filling) (PRT (RP out)) (NP (PDT all) (DT the) (NNS forms))))))))))))))))))) (. .)))"
[68],"(ROOT (S (CC And) (, ,) (ADVP (CC and)) (VP (XX d-)) (, ,)))"
[67],"(ROOT (S (NP (DT that)) (VP (BES 's) (NP (DT a))) (, ,)))"
[69],"(ROOT (SQ (VBP are) (NP (PRP you)) (VP (, ,) (S (VP (VBP do) (S (NP (PRP you)) (VP (VB find) (NP (DT that))))))) (. ?)))"
"[70, 72]","(ROOT (S (INTJ (UH Well)) (, ,) (NP (NP (NP (VBG filling)) (ADVP (RP out) (PP (IN the) (NP (NP (NNS forms)) (CC and) (NP (NP (ADVP (RB also)) (NP (DT all)) (PP (IN of) (NP (DT these)))) (, ,) (INTJ (UH uh)) (, ,) (NP (JJ statewide)) (CC and) (NP (JJ national))))))) (ADVP (JJ wide) (NN testing))) (, ,) (NP (NP (NNS things)) (ADJP (IN so) (PP (IN that) (NP (PRP they))))) (VP (VBP compare))))"
[71],(ROOT (INTJ (UH Uh-huh) (. .)))
[73],"(ROOT (S (S (CC and) (S (LST (XX MUMBLEx) (. .)) (NP (PRP You)) (VP (VBP know)))) (, ,) (NP (PRP you)) (VP (MD can) (ADVP (ADVP (RB as) (RB far)) (SBAR (IN as) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ concerned) (SBAR (S (NP (PRP you)) (VP (MD can) (VP (VB make) (NP (DT a) (NN survey) (CC or) (NN test) (NNS scores))))))))))) (VP (VB say) (NP (NP (NN anything)) (SBAR (S (NP (PRP you)) (VP (VBP want) (S (NP (PRP it)) (VP (TO to) (VP (VB say)))))))))) (. .)))"
[75],(ROOT (S (CC And) (NP (PRP it)) (VP (BES 's) (ADVP (RB just)) (NP (NP (DT a) (NN matter)) (PP (IN of) (SBAR (WHADVP (WRB how)) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB interpret) (NP (PRP it)))))))))))) (. .)))
[74],(ROOT (INTJ (UH Uh-huh) (. .)))
[77],"(ROOT (FRAG (PP (VB Be)) (, ,)))"
"[76, 79]","(ROOT (S (CC And) (NP (PRP you)) (VP (VBP waste) (NP (NP (ADJP (RB so) (JJ much)) (NN time) (NN quote)) (, ,) (NP (NP (NN unquote)) (VP (VBG teaching) (PP (IN to) (NP (DT the) (NN test))) (S (VP (TO to) (VP (VB make) (ADJP (JJ sure)) (SBAR (IN that) (S (NP (PRP$ your) (NNS scores)) (VP (VBP are) (NP (NP (DT the) (RB very) (JJS best)) (SBAR (S (NP (PRP they)) (VP (VBP 're) (ADVP (RB possibly)) (VP (VBG going) (S (VP (TO to) (VP (VB be) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know))))))))))))))))))))) (, ,) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP think) (S (NP (PRP it)) (ADJP (BES 's) (JJ crazy)) (ADVP (RB personally))))))))))))))"
[78],(ROOT (INTJ (UH uh-huh) (. .)))
[80],(ROOT (NP (. .)))
[82],"(ROOT (S (S (NP (PRP You)) (VP (VBP know))) (, ,) (NP (DT the) (XX fir-)) (, ,) (NP (NP (DT the) (JJ whole) (JJ first) (CD nine) (NNS weeks)) (PP (IN of) (NP (NN school)))) (VP (VBZ is) (, ,) (SBAR (S (VP (VBZ is) (VP (VBD used) (PP (IN as) (NP (DT a) (NN review))))))))))"
[81],X
[84],"(ROOT (PRN (VBG Coming) (ADVP (RP up)) (, ,)))"
"[83, 86]","(ROOT (S (CC but) (S (NP (NP (JJR more)) (PP (IN than) (NP (DT a) (NN review)))) (NP (PRP they)) (VP (VBP 're) (VP (VBG getting) (NP (NP (DT those) (NNS kids)) (ADJP (JJ primed) (CC and) (JJ ready))) (PP (IN for) (NP (NP (NP (DT the) (NNS tests)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBG coming) (PRT (RP up)) (PP (IN in))))))) (, ,) (NP (NNP October) (. .))))))) (IN So) (S (SBAR (IN that) (S (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (PRP$ your) (NN school) (NN district)) (VP (VBZ shines) (PP (IN throughout) (NP (DT the) (NNP United) (NNPS States))))) (. .)))"
[87],(ROOT (S (CC And) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (BES 's) (ADJP (RB totally) (JJ useless)))))) (. .)))
[88],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,) (NP (EX there)) (VP (BES 's) (NP (NP (DT a) (NN place)) (CC and) (NP (DT a) (NN time))) (PP (IN for) (NP (NP (DT all)) (PP (IN of) (NP (DT the) (NNS tests) (CC and) (NNS comparisons)))))))))))"
[89],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP 've) (VP (VBN taken) (NP (PRP it)) (PP (IN to) (NP (DT the) (NN extent))) (SBAR (ADVP (RB now)) (IN that) (S (NP (PRP it)) (VP (BES 's) (ADJP (RB just) (JJ ridiculous)))))))))) (. .)))
[85],(ROOT (INTJ (UH uh-huh) (. .)))
[90],(ROOT (S (NP (PRP It)) (VP (BES 's) (PP (IN like) (S (VP (VBG bragging) (PP (IN on) (NP (PRP$ your) (NNS grandchildren))))))) (. .)))
[92],"(ROOT (S (S (NP (PRP You)) (VP (VBP know))) (, ,) (CC and) (S (NP (NP (NN everybody) (POS 's)) (NNS kids)) (VP (VBP are) (NP (NP (DT the) (JJS best) (NNS kids)) (SBAR (WHNP (WDT that)) (S (VP (VBP have) (ADVP (RB ever)) (VP (VBN hit) (NP (DT this) (NN earth)))))))))))"
[93],"(ROOT (PRN (CC and) (S (NP (NP (NN nobody) (RB else) (POS 's)) (NNS children)) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (ADVP (RB ever)) (VB live) (PRT (RP up)) (PP (IN to) (NP (DT this)) (, ,))))))))))"
[94],(ROOT (S (CC and) (NP (DT that)) (VP (BES 's) (ADJP (JJ great))) (. .)))
[95],(ROOT (S (CC But) (NP (DT that)) (VP (BES 's) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG doing) (PP (IN with) (NP (DT the) (NN school) (NNS systems))))))))))
[91],(ROOT (INTJ (UH Right) (. .)))
[96],"(ROOT (S (S (CC and) (NP (PRP they)) (VP (VBP 're) (VP (VBG wasting) (NP (ADJP (RB too) (JJ much)) (NN time)) (PP (IN on) (NP (DT that)))))) (, ,) (NP (PRP I)) (VP (VBP think)) (. .)))"
[98],X
"[97, 99]","(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP know) (SBAR (IN that) (S (NP (DT this)) (VP (ADVP (RB again)) (S (NP (NP (DT this)) (, ,) (SBAR (WHNP (NP (DT this) (NN friend)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VBZ is) (PP (IN in) (NP (DT the) (NNP Plano) (NNP School) (NNP District)))))) (, ,)))))))))"
[100],(ROOT (INTJ (UH Uh-huh) (. .)))
[101],"(ROOT (S (CC and) (NP (PRP she)) (VP (VBZ teaches) (, ,) (S (INTJ (UH uh)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (XX mus-) (, ,) (INTJ (UH uh)) (, ,) (S (NP (ADJP (RB emotionally) (JJ disturbed)) (NNS children)))))) (. .)))"
[102],(ROOT (INTJ (UH Uh-huh) (. .)))
[104],(ROOT (INTJ (UH Yes) (. .)))
[103],"(ROOT (S (CC And) (NP (PRP she)) (VP (VBZ says) (SBAR (S (NP (PRP she)) (VP (VBZ has) (PRN (, ,) (INTJ (UH um)) (, ,)) (NP (NP (CD six) (NNS graders)) (PP (IN in) (NP (EX there))) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBG reading) (PP (IN on) (NP (NP (DT the) (NN level)) (PP (IN of) (NP (DT the) (JJ second) (NN grade)))))))))))))) (. .)))"
[108],(ROOT (S (CC But) (PP (IN because) (ADVP (RB evidently))) (NP (PRP you)) (VP (VBP receive) (NP (NP (DT a) (JJ certain) (NN amount)) (PP (IN of) (NP (NP (NP (NN money)) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBN passed) (PRT (RP on))))))) (CC or) (NP (NN something)))))) (. .)))
[106],X
[110],"(ROOT (INTJ (UH Yeah) (, ,)))"
[111],"(ROOT (S (NP (EX there)) (VP (BES 's) (NP (DT a))) (, ,)))"
[109],(ROOT (S (NP (PRP I)) (VP (VBD did) (RB n't) (ADVP (RB quite)) (VP (VB understand) (NP (PRP it)))) (. .)))
[112],(ROOT (INTJ (UH yeah) (. .)))
