[0],"(ROOT (INTJ (INTJ (UH Okay)) (, ,) (INTJ (UH um) (. .))))"
[69],"(ROOT (S (CC but) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know) (NP (DT the) (NN cease-fire))) (, ,)))"
[72],(ROOT (NP (DT the) (NN cease-fire) (. .)))
[74],(ROOT (INTJ (UH Right) (. .)))
"[73, 75]","(ROOT (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG trying) (S (VP (TO to) (VP (VB say) (NP (DT another))))) (, ,) (PP (IN because) (NP (NP (PRP he)) (SBAR (S (INTJ (UH yeah) (. .)) (NP (PRP You)) (VP (VBP know) (SBAR (S (PP (IN because) (NP (PRP he))) (, ,) (NP (PRP he)) (VP (VBZ wants) (S (NP (PRP them)) (VP (TO to) (VP (VB uphold) (NP (NP (PRP$ their) (NN end)) (PP (IN of) (NP (DT the) (NN deal)))) (ADVP (ADVP (RB as) (RB far)) (PP (IN as) (NP (DT the) (NN cease-fire)))))))))))))))))))"
[78],"(ROOT (S (S (NP (PRP You)) (VP (VBP know) (SBAR (IN if) (S (NP (PRP it)) (VP (BES 's) (NP (DT an) (JJ internal) (NN thing))))))) (, ,) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (PRP we)) (VP (MD can) (VP (VP (VB walk) (ADVP (RB in))) (CC and) (VP (VB say))))))))) (, ,) (S (INTJ (UH Gee)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ right))))))) (, ,) (CC and) (S (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ wrong)))) (, ,) (NP (PRP you)) (VP (VBP know)))))"
[77],(ROOT (INTJ (UH Right) (. .)))
[79],(ROOT (S (NP (PRP we)) (VP (VBP 're) (RB not) (NP (DT the) (NN judge) (CC and) (NN jury))) (. .)))
[80],(ROOT (INTJ (UH Uh-huh) (. .)))
[82],"(ROOT (INTJ (UH Yeah) (, ,)))"
[83],(ROOT (S (VP (TO to) (VP (VB help) (PRT (RP out)))) (. .)))
"[81, 84]","(ROOT (S (S (INTJ (UH Uh)) (, ,) (CC but) (NP (PRP I)) (VP (VBP know) (SBAR (IN that) (S (NP (DT that)) (VP (BES 's) (VP (VBG causing) (S (NP (PRP him)) (NP (NP (DT a) (JJ little) (NN bit)) (PP (IN of) (NP (NP (NN unpopularity)) (PP (IN with) (NP (NP (DT the) (NNS people)) (PP (IN over) (NP (RB there))))))))) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP feel) (SBAR (IN like) (, ,) (S (INTJ (UH Gee)) (, ,) (NP (PRP you)) (VP (VBD told) (NP (PRP us)) (, ,) (S (VP (TO to) (VP (VB stand) (PRT (RP up)) (PP (IN against) (NP (PRP him)))))))))))))))))) (, ,) (CC but) (S (NP (PRP you)) (VP (VBP 're) (RB not) (VP (VBG helping)))) (. .)))"
[86],(ROOT (ADJP (RB So) (SBAR (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP he)) (VP (BES 's) (PP (IN in) (NP (DT a) (RB pretty) (JJ awkward) (NN position))) (ADVP (RB now))))))))))
[85],(ROOT (INTJ (UH Yeah) (. .)))
[87],"(ROOT (S (CC and) (NP (PRP I)) (, ,) (PRN (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (MD ought) (S (VP (TO to) (VP (VB help)))))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[89],"(ROOT (INTJ (UH Yeah) (, ,)))"
[90],(ROOT (S (VP (VP (VB supply) (NP (NNS arms))) (CC and) (VP (VB support) (NP (PRP them)) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP need) (NP (NN help)))))))))
[91],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (PRP we)) (VP (MD ought) (S (VP (TO to) (VP (VB be) (PP (IN over) (S (ADVP (RB there)) (VP (VBG fighting) (NP (PRP it)) (PP (IN for) (NP (PRP them)))))))) (, ,)))))))))"
[88],(ROOT (S (ADVP (RB Maybe)) (VP (VB supply) (NP (NP (DT some) (NNS arms)) (CC or) (NP (NN something)))) (. .)))
[93],"(ROOT (INTJ (UH Yeah) (, ,)))"
[94],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NNP Bush)) (VP (VP (VBD handled)) (, ,) (VP (VBZ has) (VP (VBN handled) (NP (DT this) (JJ whole) (NN situation)) (ADVP (RB quite) (RB well)))))))) (. .)))"
[92],"(ROOT (S (CC and) (ADVP (CC and)) (, ,) (RB so) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP he)) (VP (HVS 's) (VP (VBN done) (S (ADJP (RB good))) (PP (IN on) (NP (DT that) (NN stance)))))))) (. .)))"
"[95, 97]","(ROOT (S (NP (PRP He)) (VP (VP (VBD stood) (PRT (RP up)) (PP (IN to)) (, ,) (PP (IN to) (NP (DT the) (NN bully)))) (CC and) (, ,) (VP (VBD did) (RB n't) (VP (VB back) (PRT (RP down)))))))"
[96],(ROOT (INTJ (UH Yeah) (. .)))
[99],"(ROOT (FRAG (PP (UH Boy)) (, ,)))"
[100],(ROOT (S (NP (PRP I)) (VP (MD would) (VP (VB say))) (. .)))
"[98, 101]","(ROOT (S (CC and) (S (FRAG (INTJ (UH uh)) (, ,) (PP (CC and) (NP (UH uh)))) (, ,) (NP (NP (NNP Saddam)) (NP (NNP Hussein))) (VP (VBD miscalculated) (NP (RB all)) (PRT (RP along)) (, ,) (S (VP (VBG thinking) (SBAR (IN that) (S (NP (PRP he)) (VP (MD would) (RB n't) (VP (VB commit) (NP (NP (NNP U) (NNP S) (NNS lives)) (CC and) (, ,) (CC and) (NP (NNS forces))))))))))) (CC and) (, ,) (S (CC and) (S (NP (NNS monies)) (VP (TO to) (VP (, ,) (SBAR (RB just) (S (VP (TO to) (VP (VB liberate) (NP (DT a) (JJ little) (NN country)))))))))) (. .)))"
[103],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (RB then) (PRP he)) (VP (VBD underestimated) (NP (PRP$ his) (NN ability)) (PP (TO to)) (, ,) (S (VP (TO to) (VP (VB wage) (NP (DT a) (NN war)) (PP (IN with) (NP (PRP us))))))) (. .)))"
[102],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[105],"(ROOT (INTJ (UH Yeah) (, ,)))"
[104],"(ROOT (S (S (NP (PRP I)) (VP (VBP mean) (, ,) (NP (NP (CD one) (NN thing)) (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (VP (VP (ADVP (DT all)) (VBD came) (PP (IN over) (NP (RB there)))) (CC and) (VP (VBD said)))))))) (, ,) (S (INTJ (UH Okay)) (, ,) (S (ADVP (RB here)) (NP (PRP we)) (VP (VBP are) (PRN (, ,) (S (VP (VB get) (ADVP (RB out)))) (, ,)))) (CC and) (S (NP (PRP he)) (VP (VBD said)))) (, ,) (S (INTJ (UH No)) (, ,) (NP (PRP I)) (VP (MD can))) (, ,) (S (NP (PRP I)) (VP (MD can) (VP (VB win) (NP (DT a) (NN war)) (PP (IN with) (NP (PRP you) (NNS guys)))))) (. .)))"
[106],(ROOT (INTJ (UH yeah) (. .)))
[108],"(ROOT (S (NP (PRP I)) (VP (VBP agree)) (, ,)))"
[109],(ROOT (S (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (PRP they)) (VP (VP (VBD 'd) (VP (VP (VBN advertised)) (CC and) (VP (VBD said) (PP (IN in) (NP (DT the) (NN news)))))) (CC and) (VP (VBD said) (SBAR (S (NP (PRP he)) (VP (VBD had) (NP (DT the) (ADJP (JJ fifth) (JJS largest)) (NN army)))))))))) (. .)))
[110],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP he)) (VP (MD may)) (VB have)))"
[107],(ROOT (S (CC And) (NP (DT that)) (VP (VBD was) (NP (DT a) (JJ horrible) (NN miscalculation))) (. .)))
[111],"(ROOT (FRAG (PP (CC but) (NP (PRP you))) (, ,)))"
[113],(ROOT (ADVP (UH Well) (RB not) (ADVP (DT any) (RBR more))))
[114],"(ROOT (S (CC but) (, ,) (ADVP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB have) (NP (NN loyalty)))))) (, ,)))"
[112],(ROOT (FRAG (RB Not) (NP (NP (DT any)) (NP (RBR more))) (. .)))
[115],(ROOT (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB have) (NP (NP (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP believe) (PP (IN in) (NP (PRP$ your) (NN cause))))))))))) (. .)))
[116],(ROOT (INTJ (UH Right) (. .)))
"[117, 119]","(ROOT (S (NP (PRP You)) (VP (VBP know) (PRN (, ,) (S (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP they)) (VP (VBD tried) (S (VP (TO to) (VP (VB turn) (NP (PRP it)) (PP (IN into) (NP (DT a) (JJ holy) (NN war))))))))))) (, ,)) (SBAR (IN because) (S (PP (IN to) (NP (PRP them))) (NP (DT that)) (VP (VBZ is) (SBAR (SBAR (X (X (WP what)) (BES 's) (NP (JJ honorable)) (. .)) (S (NP (PRP You)) (VP (VBP know)))) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP die) (PP (IN in) (NP (DT a) (JJ holy) (NN cause))))))))))) (, ,)))"
[118],(ROOT (INTJ (UH Right) (. .)))
"[120, 122]","(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP are) (ADJP (JJ smart) (RB enough)) (, ,) (S (VP (TO to) (VP (VB see) (S (NP (EX there)) (VP (BES 's) (NP (NN nothing) (JJ holy)) (PP (IN about) (NP (PRP it)))))))))))) (. .)))"
[121],(ROOT (INTJ (UH Yeah) (. .)))
[123],(ROOT (S (NP (PRP We)) (VP (VP (ADVP (RB just)) (VBP want) (S (VP (TO to) (VP (VB go) (ADVP (RB in)))))) (CC and) (VP (VBD took) (NP (PRP it)))) (. .)))
[124],(ROOT (INTJ (UH Right) (. .)))
[126],"(ROOT (S (NP (NNP Saddam) (NNP Hussein)) (VP (VBZ is) (RB not) (NP (DT a) (JJ religious) (NN person))) (, ,)))"
[125],(ROOT (S (NP (PRP You)) (VP (VBP know)) (. .)))
[128],(ROOT (INTJ (UH Sure) (. .)))
"[127, 129]",(ROOT (FRAG (CC but) (NP (NP (PRP he)) (SBAR (S (VP (VBZ uses) (NP (PRP it))))) (. .)) (SBAR (SINV (FRAG (WHADVP (WRB When) (NP (PRP he)))) (VP (VBZ sees) (NP (PRP it)) (PP (IN to))) (NP (PRP$ his) (NN advantage)))) (. .)))
[131],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (CC and)) (ADVP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (NNS people)) (VP (VBD were) (ADJP (JJ smart) (RB enough) (S (VP (TO to) (VP (VB realize) (NP (DT that)))))))))) (, ,)))"
[130],(ROOT (INTJ (UH Sure) (. .)))
[132],(ROOT (S (S (CC and) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP 're) (ADJP (JJ afraid) (PP (IN of) (NP (PRP him)))))))) (. .))) (VP (VBZ Is) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP are))))) (. .)))
[134],(ROOT (S (NP (DT The) (NN population)) (VP (VBZ is) (ADJP (JJ afraid) (S (VP (TO to) (VP (VB speak) (PRT (RP out)) (PP (IN against) (NP (PRP him))))))))))
[133],(ROOT (INTJ (UH Uh) (. .)))
[135],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (NP (PRP he)) (PP (BES 's) (S (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADVP (RB there) (RB too) (RB much) (RB longer)))))))))) (. .)))
[136],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP hope) (SBAR (S (NP (DT that)) (VP (BES 's) (ADJP (JJ true)))))) (. .)))"
[138],"(ROOT (S (NP (PRP I)) (VP (MD would) (VP (VB think) (ADVP (RB so)))) (, ,)))"
[139],"(ROOT (S (NP (PRP I)) (VP (MD would) (VP (VB think) (SBAR (IN that) (, ,) (S (NP (PRP you)) (VP (VBP know)))))) (, ,)))"
[137],"(ROOT (S (S (NP (NN Someone)) (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB assassinate) (NP (PRP him)))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[141],"(ROOT (INTJ (UH Yeah) (, ,)))"
[140],"(ROOT (S (S (NP (PRP I)) (VP (VBP guess) (PP (IN in) (NP (NP (DT the) (NN back)) (PP (IN of) (NP (PRP$ my) (NN mind))))))) (NP (PRP I)) (VP (VBP think) (NP (UH like)) (ADVP (RB maybe)) (SBAR (S (NP (DT the) (NNP Israeli) (NNP Massad)) (VP (VP (ADVP (RB probably)) (VBZ has) (NP (NP (NNS ideas)) (PP (IN of) (S (VP (VBG going) (ADVP (RB in))))))) (CC and) (, ,) (NP (UH huh)))))) (. .)))"
[142],(ROOT (INTJ (UH yeah) (. .)))
[143],"(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (S (S (NP (PRP I)) (VP (VBD thought) (NP (PRP they)))) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VBD showed) (NP (DT a) (JJ tremendous) (NN restraint)) (PP (IN in) (NP (PRP$ their) (NNS reactions))) (PP (IN towards) (NP (NN everything)))) (, ,))))))"
[144],(ROOT (INTJ (UH Uh-huh) (. .)))
