[0],"(ROOT (NP (NP (UH Afternoon)) (PRN (, ,) (NP (NNP Doug)) (, ,))))"
[14],"(ROOT (SBARQ (WHNP (WDT What) (NNS ideas)) (SQ (VBP do) (NP (PRP you)) (VP (VB have) (PP (IN on) (NP (NP (DT that)) (, ,) (NP (NNP Doug)))))) (. ?)))"
[18],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (PRN (, ,) (INTJ (UH um)) (, ,))))))))"
[20],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP it)) (VP (BES 's) (ADVP (RB certainly)) (RB not) (ADJP (RB that) (JJ difficult) (S (VP (TO to) (VP (VB tap) (NP (DT a) (NN phone))))))) (. .)))"
[19],(ROOT (FRAG (PP (IN In) (WHNP (WP what) (NP (NN manner)))) (. ?)))
[21],"(ROOT (S (NP (PRP It)) (VP (BES 's) (ADJP (RB completely) (JJ trivial) (PP (TO to))) (, ,) (PP (IN for) (NP (NN instance))) (, ,) (S (VP (VP (VB listen) (PP (IN in) (PP (IN on) (NP (NP (NN someone) (POS 's)) (NN car) (NN phone))))) (CC or) (VP (VB walk) (NP (RB around) (NN phone))))) (, ,) (SBAR (IN since) (S (NP (PRP they)) (VP (VBP 're) (ADVP (RB just)) (NP (NN radio) (NNS signals)))))) (. .)))"
[23],"(ROOT (S (NP (PRP It)) (VP (BES 's) (PRN (, ,) (INTJ (UH um)) (, ,)))))"
[24],"(ROOT (FRAG (CC and) (S (VP (VB let) (S (NP (PRP 's)) (VP (VB see)) (, ,))))))"
[22],(ROOT (INTJ (UH Uh-huh) (. .)))
[25],"(ROOT (S (INTJ (UH well)) (, ,) (NP (WP what)) (VP (BES 's) (NP (NP (DT the) (JJ first) (NN thing)) (SBAR (WHNP (WDT that)) (S (VP (VBZ comes) (PP (IN to) (NP (PRP$ your) (NN mind)))))))) (. ?)))"
[26],"(ROOT (SINV (S (S (INTJ (UH Well)) (, ,) (NP (NP (DT the) (NN thing)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBD thought) (NP (PRP they)))))) (VP (VBD were))) (, ,) (S (INTJ (UH uh)) (, ,) (ADJP (JJ concerned) (PP (IN about))) (VP (VBD was)))) (, ,) (VP (VBD was) (NP (NP (NNS people)) (VP (VBG calling) (PP (IN on) (NP (NP (DT the) (NN phone)) (PP (IN from) (NP (RB all))))) (PP (IN over) (NP (DT the) (NN country) (S (VP (TO to) (VP (VB sell) (NP (PRP you)))))))))) (NP (NN something))))"
[28],"(ROOT (S (CC and) (PP (IN in) (NP (NP (NN reality)) (PP (IN in) (NP (JJ many) (NNS cases))))) (, ,) (S (NP (PRP they)) (VP (VBD knew))) (, ,) (CC or) (S (NP (PRP they)) (VP (VBD had) (NP (NP (NN information)) (PP (IN about) (NP (PRP you))) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (VP (VBN purchased) (PP (IN from) (NP (DT some) (JJ other) (NNS organizations)))))))))) (. .)))"
[29],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBD thought) (SBAR (S (VP (VBD was) (, ,) (INTJ (UH uh)) (, ,) (S (VP (VBG beginning) (S (VP (TO to) (VP (VB invade) (NP (NP (DT the) (NN privacy)) (PP (IN of) (NP (NP (NNS people)) (, ,) (SBAR (IN because) (S (NP (NP (DT the) (NNS things)) (PP (IN about) (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (VP (VBP live)) (CC and) (, ,) (CC and) (ADVP (RB maybe)) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBD purchased) (PP (IN in) (NP (JJ past) (NNS months))))))))))) (VP (VBZ is) (ADVP (RB then)) (VP (VP (VBN put) (ADVP (RB down))) (CC and) (VP (VBN sent) (PP (IN to) (NP (NP (NN someone) (RB else)) (PP (IN in) (NP (DT the) (JJ same) (NN business)))))))))) (, ,)))))))))))))))"
[30],"(ROOT (S (CC and) (NP (NP (PRP they)) (PP (IN in) (NP (NN return)))) (, ,) (VP (VP (VBP come) (ADVP (RB back))) (CC and) (VP (VBP try) (S (VP (TO to) (VP (VB sell) (S (NP (PRP you)) (NP (NP (NN something)) (PP (IN with) (NP (DT this) (JJ additional) (NN knowledge)))))))))) (. .)))"
[27],(ROOT (INTJ (UH Uh-huh) (. .)))
[32],"(ROOT (INTJ (UH Yeah) (, ,)))"
[33],"(ROOT (S (NP (PRP I)) (VP (VBP agree) (PP (IN with) (NP (PRP you))) (ADVP (RB there)) (, ,) (PP (IN for) (ADJP (JJ sure)))) (. .)))"
[34],"(ROOT (S (INTJ (UH Um)) (, ,) (ADVP (CC and)) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (PDT all) (DT that) (NN information)) (VP (VBZ is) (ADJP (RB quite) (JJ easy) (PP (IN for) (NP (NN anyone)))) (S (VP (TO to) (VP (VB get)))))))) (. .)))"
[31],(ROOT (S (PP (IN To) (NP (PRP me))) (NP (DT that)) (VP (BES 's) (NP (NP (DT an) (NN invasion)) (PP (IN of) (NP (NN privacy))))) (. .)))
[35],"(ROOT (S (NP (PRP It)) (VP (BES 's) (ADJP (JJ possible) (PP (IN for) (NP (JJ almost) (NN anyone)))) (S (VP (TO to) (VP (VB get) (NP (NN information)) (PP (IN about) (NP (PRP$ your) (NN credit) (NN history))) (, ,) (PP (IN for) (NP (NN instance))) (, ,) (SBAR (IN if) (S (NP (PRP they)) (VP (VP (ADVP (ADVP (RB just)) (PRN (, ,) (INTJ (UH um)) (, ,))) (VBP twist) (NP (DT the) (JJ right) (NN arm))) (CC or) (VP (VBP claim) (S (VP (TO to) (VP (VB be) (PP (IN from) (NP (DT the) (JJ right) (NN organization))))))))))))) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG calling) (NP (DT the) (NN credit) (NN company))))))) (. .)))"
[36],(ROOT (INTJ (UH Uh-huh) (. .)))
[37],"(ROOT (S (NP (PRP It)) (VP (BES 's) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (S (S (ADJP (JJ possible) (PP (IN for) (NP (NP (DT a) (ADJP (NP (CD thirteen) (NN year)) (JJ old)) (NN hacker)) (PP (IN with) (NP (DT a) (NN modem) (S (VP (TO to) (VP (VB find) (PRT (RP out)) (NP (NP (JJ almost) (NN anything)) (PP (IN about) (NP (PRP$ your) (JJ personal) (NN history))))))))))))) (, ,) (RB not) (S (VP (TO to) (VP (VB mention))))))) (, ,)) (VP (VB change) (NP (PRP it)) (SBAR (IN if) (S (NP (PRP he)) (VP (VBZ wants) (PP (TO to))))))) (. .)))"
[39],"(ROOT (INTJ (INTJ (UH Well)) (, ,) (INTJ (UH um) (. .))))"
[41],"(ROOT (INTJ (INTJ (UH Well)) (, ,) (INTJ (UH yes) (, ,))))"
[42],"(ROOT (FRAG (INTJ (UH well)) (, ,) (PP (IN for) (WHNP (WHNP (NN instance)) (PRN (, ,) (INTJ (UH yes) (, ,) (UH um)) (, ,))))))"
"[38, 40]","(ROOT (S (S (NP (PRP You)) (VP (VBP mean) (NP (PRP$ your) (NN history)) (PP (IN in)))) (VP (VP (VBZ regards) (PP (IN to))) (, ,) (NP (INTJ (UH uh)) (NP (DT the) (NN charge) (NN card)))) (NP (NP (NN company) (CC or) (NN something)) (PP (IN like) (NP (DT that)))) (. ?)))"
[43],"(ROOT (S (CC and) (NP (PRP they)) (VP (MD 'll) (ADVP (RB probably)) (VP (VBZ goes) (PP (IN into) (NP (JJ other) (NNS things))) (, ,) (SBAR (IN like) (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (NP (PRP$ your) (NNS records)) (PP (IN with) (NP (NP (DT the) (NN government) (CC or) (NN utility) (NNS companies)) (CC or) (NP (NN anything))))))))) (. .)))"
[45],"(ROOT (S (INTJ (UH Um) (, ,) (UH uh)) (, ,) (ADVP (RB not)) (, ,) (NP (NP (NP (RB not)) (VP (ADVP (RB yet)) (NP (UH anyways)))) (, ,) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think)))))) (ADVP (PRP they)) (VP (VBP 're) (ADJP (JJ widespread) (RB enough))) (, ,)))"
[44],"(ROOT (SQ (VBP Do) (NP (PRP you)) (VP (VB consider) (NP (DT these) (ADJP (ADJP (JJ serious)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNS problems))) (. ?)))"
[47],(ROOT (INTJ (UH Uh-huh) (. .)))
[48],"(ROOT (SBARQ (WHADVP (UH Well)) (, ,) (WHNP (WP what)) (SQ (MD should) (NP (PRP we)) (VP (VB do) (PP (IN about) (NP (PRP it)) (, ,))))))"
[46],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP have) (NP (NP (DT the) (NN potential)) (PP (IN of) (S (VP (VBG becoming) (NP (JJ serious) (NNS problems)))))))))) (. .)))
"[50, 52]","(ROOT (NP (S (S (INTJ (UH Um)) (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (RB really) (JJ sure)) (, ,) (SBAR (IN because) (X (DT the))))) (, ,) (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (NN society)) (VP (VBZ is) (VP (VBG going) (ADJP (ADJP (JJR more)) (CC and) (ADJP (JJR more) (JJ electronic)) (, ,))))))))))"
[53],"(ROOT (PRN (CC and) (S (NP (EX there)) (VP (VBP are) (ADVP (RB certainly)) (NP (NP (NNS benefits)) (PP (IN to) (NP (PRP$ its))) (VP (VBG doing) (ADVP (RB so))))) (, ,))))"
[54],"(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ hard)) (PP (TO to)) (, ,) (ADJP (JJ hard) (S (VP (TO to) (VP (VB say) (SBAR (IN whether) (S (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH um)) (, ,))) (NNS risks)) (VP (VBP have) (NP (NP (NN potential)) (PP (IN of) (S (VP (VBG outweighing) (NP (DT the) (NNS benefits)))))))) (CC or) (RB not))))))) (, ,))))"
[55],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (JJ sure) (SBAR (WHNP (WP what)) (S (VP (MD can) (VP (VB be) (VP (VBN done) (S (VP (TO to) (VP (VB ensure) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP do) (RB n't)))))))))))))) (. .)))
[56],"(ROOT (PRN (XX MUMBLEx) (INTJ (WRB Why)) (, ,)))"
"[49, 51]","(ROOT (SQ (S (CC or) (NP (WP what)) (VP (MD could) (VP (VB be) (VP (VBN done) (PP (IN about) (NP (PRP it))))))) (, ,) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (S (VP (TO to) (VP (VB correct) (NP (PRP it))))))) (. ?)))"
[57],(ROOT (SQ (VBP do) (NP (PRP you)) (VP (VB see) (NP (NP (DT any) (NN out)) (PP (IN for) (NP (PRP us))))) (. ?)))
[58],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (MD would) (VP (VB think) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (NN information)) (VP (VBD held) (PP (PP (IN on) (NP (NNS records))) (PRN (, ,) (INTJ (UH uh)) (, ,))) (PP (IN by) (NP (NP (DT any) (NN company) (CC or) (NN charge) (NN card)) (SBAR (S (NP (NN dealer) (CC or) (NN person)) (VP (MD should) (VP (VP (VB be) (ADJP (RB absolutely) (JJ private))) (CC and) (, ,) (CC and) (VP (RB not) (VB be) (VP (VBN allowed) (S (VP (TO to) (VP (VB be)))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (PP (TO to))))))))) (, ,) (VP (VBN given) (PRT (RP out)) (PP (IN by) (NP (DT those) (NNS companies))))))))))) (. .)))"
[59],(ROOT (INTJ (UH Uh-huh) (. .)))
[60],"(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (NP (PRP it)) (VP (MD should) (VP (VB be) (VP (VBN made) (NP (NP (DT a)) (, ,) (NP (ADJP (DT a) (PRN (, ,) (INTJ (UH uh)) (, ,))) (JJ national)) (CC or) (NP (DT a) (NN state) (NN law))) (S (VP (TO to) (VP (VB protect) (NP (NNS people)) (ADVP (IN so)) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP you)) (VP (MD would) (RB then) (VP (VB feel) (ADJP (RBR more) (JJ free) (S (VP (TO to) (VP (VB deal) (ADJP (JJ direct)) (PP (IN with) (NP (DT these) (NNS companies))))))))))))))))) (. .)))"
[61],(ROOT (INTJ (UH Uh-huh) (. .)))
[63],(ROOT (INTJ (UH Uh-huh) (. .)))
[65],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[62, 64]","(ROOT (S (PP (IN In) (NP (JJ other) (NNS words))) (, ,) (SBAR (IN if) (S (S (NP (PRP you)) (VP (VBP call) (S (NP (DT the) (NN company)) (NP (PRP yourself))) (, ,) (ADVP (ADVP (RB directly)) (PRN (, ,) (INTJ (UH uh)) (, ,))))) (CC and) (S (ADVP (RB then)) (VP (VB know) (SBAR (IN that) (S (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP tell) (S (S (NP (PRP them)) (VP (VP (MD will) (VP (VB be) (PP (IN on) (NP (PRP$ their) (NNS records))))) (CC but) (VP (MD will) (RB not) (VP (VB be) (ADJP (JJ available) (PP (IN to) (NP (NN anyone) (RB else)))))))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (PP (IN from) (NP (DT the) (NN outside)))))) (, ,) (S (RB so) (VP (TO to) (VP (VB speak) (ADVP (RB then)))))))) (NP (PRP you)) (VP (MD would)))))))) (, ,) (NP (PRP you)) (VP (MD would) (VP (VB feel) (ADJP (ADJP (RBR more) (JJ free) (PP (TO to))) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (TO to) (VP (VB go) (PP (IN into) (NP (NN detail))) (PP (IN with) (NP (PRP them))))))))))"
[66],(ROOT (FRAG (NP (PRP I)) (. .)))
[67],"(ROOT (S (CC but) (, ,) (NP (CC but)) (ADVP (PRP we)) (VP (VBP have) (NP (NP (DT no) (NN control)) (PP (IN of) (NP (NP (DT that)) (ADVP (RB now))))))))"
