[0],"(ROOT (S (S (INTJ (INTJ (UH So)) (, ,) (INTJ (UH um) (, ,) (UH well))) (, ,) (NP (PRP I)) (VP (MD 'll) (VP (VB tell) (NP (PRP you))))) (, ,) (NP (PRP$ my) (NN situation)) (VP (VBZ is) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP have) (NP (NP (DT an) (JJ elderly) (NN grandmother)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBD did) (ADVP (RB just) (RB recently)) (VP (VB put) (PP (IN in) (NP (DT a) (NN nursing) (NN home))))))))))) (. .)))"
[38],(ROOT (S (NP (EX There)) (VP (VBD were) (NP (DT some) (ADJP (RB really) (JJ nice)) (NNS ones)) (ADVP (RB here))) (. .)))
[39],"(ROOT (NP (NP (DT All)) (NP (DT the) (, ,))))"
[40],(ROOT (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (DT the) (NN nursing) (NNS homes)) (PP (IN around) (NP (RB here)))))) (VP (VBP have) (NP (ADJP (RB very) (JJ good)) (NNS reputations))) (. .)))
[41],"(ROOT (S (INTJ (UH Um)) (, ,) (ADVP (DT this)) (VP (VP (ADVP (CD one)) (VBZ is) (NP (NP (JJR more) (CC or) (JJR less)) (PP (IN for) (NP (NN someone))) (SBAR (WHNP (WP who)) (S (VP (BES 's) (ADJP (JJ poor))))))) (CC and) (VP (MD ca) (RB n't) (VP (VB go) (ADVP (RB there))))) (, ,)))"
[42],"(ROOT (FRAG (CC and) (NP (NP (PRP$ my) (NN father)) (SBAR (S (NP (BES 's)) (, ,) (VP (VBZ is) (, ,) (SBAR (S (NP (PRP he)) (ADVP (BES 's) (DT no)) (VP (ADVP (IN by) (DT no)) (VBZ means) (ADJP (JJ wealthy)))))) (, ,))))))"
[32],(ROOT (INTJ (UH Yeah) (. .)))
[43],(ROOT (S (CC but) (NP (PRP he)) (VP (BES 's) (ADVP (RB quite) (RB well)) (ADJP (RP off))) (. .)))
[45],"(ROOT (S (CC And) (NP (PRP he)) (VP (MD could) (ADVP (RB easily)) (VP (VB have) (VP (VBN put) (NP (PRP her)) (PP (IN into) (NP (NP (DT a) (ADJP (JJR nicer))) (PRN (, ,) (FRAG (INTJ (UH um)) (, ,) (NP (NN home))) (, ,)))))))))"
[46],(ROOT (S (CC but) (ADVP (IN up) (RB here)) (NP (EX there)) (VP (BES 's) (VP (VBG waiting) (NP (NNS lists)))) (. .)))
[47],(ROOT (S (CC And) (NP (DT that)) (VP (VBD was) (NP (NP (DT the) (JJ first) (CD one)) (SBAR (WHNP (WDT that)) (S (VP (VBD opened)))))) (. .)))
[48],"(ROOT (S (S (CC And) (NP (PRP I)) (VP (VBD suggested) (PP (IN to) (NP (PRP him))) (, ,) (SBAR (WHADVP (WRB Why)) (S (VP (VBP do) (RB n't)))))) (NP (PRP you)) (VP (VBP change)) (. .)))"
[49],"(ROOT (S (S (INTJ (UH Um)) (, ,) (S (NP (PRP he)) (VP (VBD said))) (, ,) (S (INTJ (UH Well)) (, ,) (NP (DT these) (NNS people)) (ADVP (RB here)) (VP (VBP are)))) (, ,) (NP (PRP they)) (VP (VBP are) (ADJP (RB very) (JJ nice) (PP (IN to) (NP (PRP$ her))))) (. .)))"
[50],"(ROOT (S (CC And) (PRN (S (NP (PRP he)) (VP (VBD was) (VP (VBG saying) (NP (PRP$ his) (NNS excuses))))) (, ,)) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP move) (NP (PRP$ her)) (ADVP (NP (DT some) (NN place)) (RB else))))) (, ,) (NP (DT the) (NNS people)) (VP (MD might) (RB not) (VP (VB be) (ADJP (RB so) (JJ nice)))) (. .)))"
[51],"(ROOT (S (ADVP (RB So)) (, ,) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (NNS professionals)) (PP (IN in) (NP (DT the) (NN nursing) (NNS homes))))) (ADVP (RB really)) (VP (VBP have) (S (VP (TO to) (VP (VB want) (S (VP (TO to) (VP (VB do) (SBAR (WHNP (WP what)) (S (NP (PRP$ their)) (VP (VBG doing)))))))))) (, ,) (SBAR (IN because) (S (NP (PRP it)) (VP (BES 's) (NP (DT a) (ADJP (RB really) (JJ trying)) (NN job)))))) (. .)))"
[52],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (S (NP (PRP I)) (VP (VBP go) (PRT (RB up)) (NP (RB twice) (DT a) (NN week)) (S (VP (TO to) (VP (VB see) (NP (PRP$ my) (NN grandmother))))))) (, ,)))))"
[53],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP know) (NP (DT the) (NN staff)) (ADVP (RB very) (RB well))) (. .)))
[44],(ROOT (INTJ (UH Uh-huh) (. .)))
[54],"(ROOT (S (S (RB So) (NP (PRP they)) (VP (MD could) (RB n't))) (, ,) (NP (PRP they)) (VP (MD ca) (RB n't) (VP (VB hide) (NP (NP (NP (NN anything)) (PP (IN on) (NP (PRP you)))) (CC or) (NP (NP (NN anything)) (PP (IN like) (NP (DT that))))))) (. .)))"
[55],(ROOT (INTJ (UH Uh-huh) (. .)))
[57],"(ROOT (INTJ (UH Yes) (, ,)))"
[58],"(ROOT (S (INTJ (UH uh)) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ true))) (. .)))"
[59],"(ROOT (S (NP (NP (PRP$ My)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (PRP$ my) (NN grandmother)))) (VP (BES 's) (PRN (, ,) (INTJ (UH um)) (, ,)))))"
[60],"(ROOT (S (S (NP (JJ last)) (VP (VB time) (SBAR (S (NP (PRP$ my) (NN mother)) (VP (VBD went) (ADVP (IN down) (RB there)) (S (VP (TO to) (VP (VB visit) (NP (DT the)))))))))) (, ,) (S (NP (NP (DT the) (NN place)) (SBAR (WHADVP (WRB where)) (S (NP (PRP$ my) (NN grandmother)) (VP (VBD was) (VP (VBG staying) (PP (IN at))))))) (VP (VBD was) (ADJP (RB so) (JJ overrun) (PP (IN with) (NP (NNS roaches)))) (SBAR (IN that) (S (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP she)) (ADVP (RB even)) (VP (XX ha-))) (, ,) (NP (PRP you)) (VP (VBP know)))))) (, ,) (S (NP (PRP they)) (VP (VBD went) (PP (IN in)))) (CC and) (S (NP (PRP she)) (VP (VBD had) (NP (NP (NNS roaches)) (VP (VBG crawling) (PP (IN on) (NP (PRP$ her))))))) (. .)))"
[56],"(ROOT (S (CC But) (NP (PRP I)) (VP (VBP have) (VP (VP (VBN heard) (PP (IN of) (NP (NP (ADJP (RB really) (JJ awful)) (NNS conditions)) (, ,) (ADVP (RB especially) (RB down)) (NP (NP (DT the) (JJ southern) (NN part)) (PP (IN of) (NP (DT the) (XX st-))))))) (, ,) (NP (NP (DT the) (NN country)) (SBAR (WHNP (WDT which)) (S (VP (VBZ is))))))) (. .)))"
[61],"(ROOT (S (NP (EX There)) (VP (VBD were) (ADVP (ADVP (NP (NNS roaches)) (RB even)) (SBAR (IN in) (FRAG (NP (PRP$ her) (NN alarm) (NN clock)) (. .)))) (NP (UH Um))) (, ,)))"
[63],"(ROOT (INTJ (UH Yes) (, ,)))"
[64],(ROOT (S (NP (PRP it)) (VP (VBD was) (ADJP (RB absolutely) (JJ horrible))) (. .)))
[65],"(ROOT (S (NP (PRP They)) (VP (VBD took) (NP (PRP$ her)) (PP (ADVP (RB immediately)) (IN out) (IN of) (NP (RB there)))) (, ,)))"
[66],"(ROOT (S (CC and) (NP (PRP they)) (ADVP (RB just)) (VP (VBD threw) (NP (NP (NN everything)) (ADVP (RB away)) (SBAR (WHNP (WDT that)))) (, ,) (SBAR (WHNP (WDT that)) (S (NP (PRP she)) (VP (VBD had) (PP (IN from) (NP (RB there))))))) (. .)))"
[67],"(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (NP (PRP they)) (VP (MD would) (RB n't) (ADVP (RB even)) (VP (VB take) (NP (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (NP (NP (DT the) (NN dresser)) (SBAR (WHNP (WDT that)) (S (NP (PRP she)) (VP (VBD had) (S (SBAR (WHNP (WDT that)) (S (VP (VBD was) (NP (PRP$ her) (JJ own) (NN dresser)) (, ,) (SBAR (IN because) (S (NP (PRP it)) (VP (VBD was) (ADVP (RB just)))))))) (, ,) (NP (PRP you)) (VP (VBP know)))))) (, ,) (PP (JJ full) (IN of) (NP (NNS bugs)))))) (. .)))"
[68],"(ROOT (S (NP (NP (PRP They)) (SBAR (S (VP (NP (NP (RB just)) (SBAR (S (VP (VBD left) (SBAR (FRAG (NP (NN everything)) (. .)))) (NP (CC And))))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))) (VP (VBD bought) (NP (NP (PRP$ her) (NP (DT all) (ADJP (NN brand) (JJ new)) (NN stuff))) (, ,)))))"
[69],"(ROOT (S (CC and) (NP (PRP they)) (, ,) (NP (PRP they)) (VP (VBD had) (VP (VBN called) (NP (DT a) (NN home)) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know) (PRN (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VP (VBD were) (PP (IN on) (NP (DT a) (VBG waiting) (NN list) (S (VP (TO to) (VP (VB get) (PP (IN into) (NP (RB there))))))))) (CC and) (VP (VBD explained) (SBAR (S (PP (IN to) (NP (NP (DT the) (NN person)) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (PP (IN in) (NP (NN charge)))))))) (, ,) (NP (PRP you)) (VP (VBP know)))))))) (, ,)) (SBAR (SBAR (WHNP (WP what)) (S (VP (VBD had) (VP (VBN happened))))) (, ,) (CC and) (SBAR (IN that) (S (NP (PRP they)) (VP (VBD had) (VP (XX ta-)))))))) (, ,)) (NP (PRP they)) (VP (VBD had) (S (VP (TO to) (VP (VB take) (NP (PRP her)) (ADVP (IN out) (PP (IN of) (NP (DT the) (NN home)))) (PP (IN because) (PP (IN of) (NP (DT the) (NNS conditions)))))))))))) (. .)))"
[70],"(ROOT (S (CC And) (ADJP (RB amazingly) (RB enough)) (, ,) (NP (DT the) (RB very) (JJ next) (NN day)) (ADVP (PRP they)) (VP (VBD had) (NP (DT an) (NN opening))) (, ,)))"
[62],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ terrible))) (. .)))"
[72],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ good))) (. .)))"
[73],"(ROOT (SBARQ (WHADVP (RB So)) (SQ (VBZ is) (NP (PRP$ your) (NN grandmother))) (, ,) (FRAG (INTJ (UH um)) (, ,) (ADVP (JJ impaired))) (. ?)))"
[71],(ROOT (S (CC and) (NP (PRP they)) (VP (VBP put) (NP (PRP her)) (PP (IN into) (NP (DT that) (NN opening)))) (. .)))
[75],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (JJ sure)) (, ,) (INTJ (UH um)) (, ,) (SBAR (WHNP (WP what)) (S (ADVP (RB exactly)) (VP (VBZ is) (ADJP (JJ wrong) (PP (IN with) (NP (PRP$ her)))))))) (. .)))"
[76],"(ROOT (PP (IN Up) (PP (IN until) (NP (ADJP (ADJP (QP (CD nineteen) (CD eighty-two))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))"
[77],"(ROOT (S (INTJ (UH actually)) (, ,) (ADVP (PRP I)) (VP (VBP 'm) (ADJP (JJ sorry)) (, ,) (ADVP (RB not) (PP (IN until)))) (, ,)))"
[78],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[74],(ROOT (SQ (VBZ Is) (NP (PRP she)) (PP (IN of) (NP (NP (NNP Alzheimer) (POS 's)) (CC or) (NP (NN something)))) (ADVP (IN like) (DT that)) (. ?)))
[79],"(ROOT (S (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP it)) (VP (VBD was) (PP (IN around) (NP (NP (CD eighty-two)) (, ,) (NP (CD eighty-three))))))))) (, ,) (NP (PRP I)) (VP (VBD found) (PRT (RP out)) (SBAR (S (NP (PRP I)) (VP (VBD had) (NP (DT a) (NN grandmother)))))) (. .)))"
[81],"(ROOT (X (ADVP (RB Prior) (PP (IN to) (SBAR (IN that) (S (NP (PRP I)) (VP (VBD was) (VP (VBN told) (SBAR (IN that) (S (NP (PRP she)) (VP (VBD was) (ADJP (JJ dead))))))) (, ,)))))))"
[80],(ROOT (INTJ (UH Oh) (. .)))
[83],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (DT that)) (VP (VBZ does) (VP (VB happen))) (. .)))"
[82],"(ROOT (S (CC and) (SBAR (PRN (, ,) (INTJ (UH um)) (, ,)) (S (ADVP (RB apparently)) (NP (WP what)) (VP (VBD had) (VP (VBN happened))))) (VP (VBD was) (SBAR (IN that) (S (NP (PRP I)) (VP (VBD had) (NP (NP (DT a) (NN grandfather)) (SBAR (WHNP (WHNP (WP who)) (PRN (, ,) (INTJ (UH um)) (, ,))) (S (VP (VB put) (NP (PRP her)) (PP (IN into) (NP (DT a) (JJ mental) (NN institution))))))))))) (. .)))"
[84],(ROOT (INTJ (UH Yeah) (. .)))
[85],"(ROOT (S (CC And) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (PRP it)) (VP (VBD was) (NP (DT a) (RB real) (JJ hush-hush) (NN thing)))))"
[87],"(ROOT (S (CC and) (ADVP (RB then)) (, ,) (NP (PRP I)) (VP (VBD was) (VP (VBG wondering) (SBAR (WHADVP (WRB why)) (S (NP (PRP$ my) (NN mother)) (ADVP (RB always)) (VP (VBD referred) (PP (IN to) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP$ his) (JJ second) (NN wife))) (PP (IN as) (NP (DT that) (NN hussy)))))))) (. .)))"
[86],(ROOT (INTJ (UH Yeah) (. .)))
[89],"(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (PP (NP (PRP$ my) (NNS neighbors)) (IN across) (NP (DT the) (NN street))) (PRN (, ,) (S (NP (PRP$ their) (NN mother)) (VP (VBD was) (ADJP (JJ sick) (PP (IN at) (NP (NNS times)))))) (, ,)))))"
[90],"(ROOT (S (CC and) (NP (PRP they)) (, ,) (NP (PRP they)) (VP (MD could) (RB n't) (VP (VB handle) (NP (PRP$ her)))) (. .)))"
[91],"(ROOT (S (NP (RB So) (PRP they)) (VP (VBP put) (NP (PRP her)) (PP (IN in) (NP (DT a) (NN home)))) (, ,)))"
[92],"(ROOT (S (CC and) (ADVP (RB then)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (DT the) (JJ old) (NNP Frenchman)) (, ,) (NP (PRP he))) (VP (MD 'd) (VP (VB get) (ADJP (NP (DT a) (JJ little)) (JJ drunk)) (S (VP (VB look) (PP (IN round) (PP (IN at) (NP (PRP$ his) (NNS kids))))))))) (, ,) (S (INTJ (UH Oh)) (, ,) (NP (PRP you)) (ADVP (RB still)) (VP (VBP need) (NP (PRP$ your) (NN mother)))) (. .)))"
