[1],"(ROOT (S (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (VP (VBP 'm))) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADJP (RB relatively) (JJ satisfied) (PP (IN with) (NP (NP (DT the) (NNS benefits)) (SBAR (S (NP (PRP I)) (VP (VBP have)))))))) (. .)))"
[81],(ROOT (INTJ (UH Uh-huh)))
[80],"(ROOT (S (ADVP (WRB how)) (, ,) (ADVP (WRB how)) (NP (PRP they)) (VP (VBP enforce) (NP (DT the) (NNS rules))) (. .)))"
[83],"(ROOT (FRAG (CC But) (PP (JJ other) (IN than) (NP (NP (DT that)) (SBAR (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (JJ much) (NN feeling)) (PP (IN for) (PRN (, ,) (PP (IN for) (NP (DT the) (NNS benefits))) (, ,)))))))))))"
[82],(ROOT (NP (. .)))
[84],"(ROOT (S (ADVP (IN since)) (, ,) (SBAR (IN like) (S (NP (PRP I)) (VP (VBD said)))) (, ,) (INTJ (UH um)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT a) (JJ big) (NN problem)) (PP (IN with)) (, ,) (PP (IN with) (NP (PRP them))))) (. .)))"
[85],"(ROOT (NP (S (S (INTJ (UH Um)) (, ,) (NP (NP (NNS work-)) (, ,) (NP (NP (NNS workmen) (POS 's)) (NN comp))) (VP (VBZ is) (NP (DT a) (JJ big) (NN thing)) (ADVP (RB now)) (PP (IN in)))) (, ,) (X (X (IN in)) (NP (NP (NNP Texas)) (PP (IN because) (PRN (, ,) (INTJ (UH um) (, ,) (UH um)) (, ,)) (NP (WRB how) (JJ much))))) (NP (PRP it)) (VP (VBZ costs) (NP (DT the) (NNS employers))))))"
[87],"(ROOT (S (CC and) (NP (NP (DT a)) (, ,) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (PRP them))))) (VP (VBP are) (VP (VBG going) (PP (IN to) (NP (PRP$ their) (JJ own) (NN insurance))) (ADVP (RB now)))) (. .)))"
[88],"(ROOT (S (S (CC And) (NP (PRP it)) (VP (VBZ reduces) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (NN length)) (PP (IN of) (NP (DT the) (NNS benefits)))))))) (, ,) (CC and) (, ,) (S (INTJ (UH uh)) (, ,) (CC and) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (PP (IN besides) (NP (DT that)))))) (. .)))"
[86],(ROOT (INTJ (UH Uh-huh) (. .)))
[89],"(ROOT (S (CC But) (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBD noticed) (ADVP (ADVP (RB right) (RB off)) (SBAR (WHNP (DT that)) (S (VP (VBD was) (ADJP (ADJP (NP (DT a) (NN year)) (JJR less)) (PP (IN than) (SBAR (WHNP (WP what)) (S (NP (DT the) (NN state)) (VP (VBD was) (VP (VBG allowing)))))))))))) (. .)))"
[91],"(ROOT (S (INTJ (UH Well) (, ,) (UH well)) (, ,) (NP (PRP they)) (ADVP (RB still)) (VP (VBP have) (S (VP (TO to) (VP (VB pay) (NP (PRP it))))))))"
[90],"(ROOT (S (VP (VP (PP (NP (UH Oh)) (NP (NP (PRP I)) (, ,) (NP (PRP I)))) (VBD did) (NP (RB n't)) (S (VP (VB know)))) (SBAR (IN that) (S (NP (NN somebody)) (VP (MD could) (VP (VB avoid) (NP (NP (NNS workmen) (POS 's)) (NN compensation))))))) (. .)))"
[92],(ROOT (S (CC but) (NP (PRP they)) (VP (VBP buy) (NP (NP (PRP$ their) (JJ own)) (ADJP (IN instead) (PP (IN of) (S (VP (VBG going) (PP (IN through) (NP (DT the) (NN state))))))))) (. .)))
[93],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP I)) (VP (VBP see)) (. .)))"
[95],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[96],(ROOT (INTJ (UH uh-huh) (. .)))
[94],(ROOT (S (RB So) (ADVP (RB apparently)) (NP (PRP it)) (VP (VBZ costs) (NP (NP (JJR less)) (NP (DT that) (NN way)))) (. .)))
[97],"(ROOT (S (NP (PRP I)) (VP (VBP suppose) (SBAR (IN that) (S (SBAR (WHADVP (WRB whenever)) (S (NP (NNS companies)) (VP (MD can) (VP (VB avoid) (, ,) (INTJ (UH um)) (, ,) (NP (NNS benefits)))))) (, ,) (NP (PRP it)) (VP (BES 's) (PP (IN to) (NP (DT the) (PRN (, ,) (PP (IN to)) (, ,)))) (PP (IN to) (NP (NP (DT the) (NN benefit)) (PP (IN of) (NP (DT the) (NN company)))))))))))"
[99],"(ROOT (PRN (S (CC and) (PP (IN at) (ADJP (JJS least))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (ADVP (RB financially)) (PP (IN in) (NP (DT the) (JJ short) (NN run))))) (, ,)))"
[100],(ROOT (S (CC but) (NP (PRP I)) (VP (MD would) (VP (VB think) (SBAR (S (NP (PRP they)) (VP (MD would) (VP (VB get) (NP (DT a) (ADJP (RB much) (JJR greater)) (NN turnover))))))))))
[98],(ROOT (INTJ (UH Uh-huh) (. .)))
[103],(ROOT (INTJ (UH Yeah) (. .)))
[104],"(ROOT (FRAG (NP (DT That)) (PP (BES 's) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (, ,) (X (WP what)) (NP (PRP I)) (VP (VBP think)))))))"
[105],"(ROOT (NP (S (NP (PRP the-)) (, ,) (NP (PRP they)) (VP (MD should) (VP (VB be) (ADJP (ADJP (JJ able)) (, ,) (SBAR (S (NP (PRP they)) (VP (MD should) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB judge) (NP (PRP$ their) (NNS benefits)) (PP (IN on) (SBAR (WHADJP (WRB how) (ADJP (JJ happy))) (S (NP (PRP$ their) (NNS employees)) (VP (VBP are)))))))))))))))))))"
[106],(ROOT (PRN (CC and) (SBAR (WHNP (WHADJP (WRB how) (JJ much)) (NN profit)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG making)))))))
[107],(ROOT (PP (IN instead) (PP (IN of) (S (VP (VBG trying) (S (VP (TO to) (VP (VB cut) (NP (NN everything)) (PRT (RP down))))))))))
[101],(ROOT (PRN (CC and) (SBAR (IN that) (S (NP (NNS people)) (VP (MD would) (VP (VB be) (ADJP (JJ dissatisfied))))))))
[110],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (, ,) (S (INTJ (UH sure)) (, ,) (NP (DT the) (NN payroll)) (VP (VBZ is) (ADVP (JJR lower)) (NP (DT that) (NN way))))) (, ,)))"
[108],"(ROOT (S (CC and) (RB then) (VP (VP (VBP have) (NP (NN everybody) (S (VP (VB be) (ADJP (JJ unhappy)))))) (CC and) (, ,) (CC and) (VP (VBP have) (NP (NP (DT a) (JJ constant) (NN turnover)) (PP (IN of) (NP (NNS people)))))) (. .)))"
[112],"(ROOT (INTJ (UH Yeah) (, ,)))"
[113],"(ROOT (NP (NP (DT the) (NN productivity)) (PP (CC and) (NP (NP (DT the) (NN training) (NNS costs)) (, ,)))))"
[111],"(ROOT (S (CC but) (NP (PRP I)) (VP (MD would) (VP (VB assume) (SBAR (IN that) (S (NP (DT the) (NN productivity)) (VP (VBZ is) (ADVP (RB way) (RB down)) (, ,) (ADVP (RB also))))))) (. .)))"
[115],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[114],"(ROOT (S (SBAR (IN if) (S (NP (PRP they)) (VP (VBP have) (S (VP (TO to) (VP (VB train) (NP (NP (DT the) (JJ same) (NN employee)) (, ,) (NP (NP (DT a) (JJ new) (NN employee)) (NP (DT every) (CD six) (NNS months)) (, ,) (ADVP (RB then)))))))))) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB see) (SBAR (WHADVP (WRB how)) (S (NP (PRP they)) (VP (MD can) (VP (VB save) (NP (NN money)))))))) (. .)))"
[116],(ROOT (INTJ (UH uh-huh) (. .)))
[118],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[119],"(ROOT (INTJ (UH No) (, ,)))"
[117],"(ROOT (S (S (NP (PRP You)) (VP (VBP know))) (, ,) (CC and) (S (SBAR (RB once) (S (NP (PRP they)) (ADVP (RB once)) (NP (PRP they)) (VP (VBP get) (S (NP (NN somebody)) (ADJP (JJ good)))))) (, ,) (NP (PRP they)) (VP (MD ought) (S (VP (TO to) (VP (VB hang) (PP (IN onto) (NP (PRP them)))))))) (. .)))"
[121],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[120],(ROOT (S (NP (PRP I)) (VP (VBP agree)) (. .)))
[123],(ROOT (S (INTJ (UH Well)) (VP (VBP thank) (NP (PRP you)) (PP (IN for) (S (VP (VBG calling))))) (. .)))
[122],(ROOT (S (NP (PRP it)) (VP (VBD was) (ADJP (JJ nice) (S (VP (VBG talking) (PP (IN to) (NP (PRP you))))))) (. .)))
[125],(ROOT (INTJ (UH Yeah) (. .)))
[126],(ROOT (INTJ (UH Bye-bye)))
[124],(ROOT (INTJ (UH Bye-bye) (. .)))
