[0],(ROOT (INTJ (UH Hello)))
[29],"(ROOT (S (CC and) (, ,) (S (INTJ (UH uh)) (, ,) (PP (VBN given) (NP (NP (DT the)) (, ,) (NP (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,))) (JJ military) (NNS powers)) (PP (IN on) (NP (DT both) (NNS sides)))))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADVP (RB always)) (NP (DT a) (NN threat))))))) (. .)))"
[33],"(ROOT (FRAG (ADVP (RB Probably)) (RB not) (, ,)))"
[32],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP suspect) (SBAR (S (NP (PRP they)) (VP (VBP 're) (RB not) (NP (PRP$ our) (JJS biggest) (NN threat)) (ADVP (RB anymore)))))) (. .)))"
[34],(ROOT (INTJ (UH no) (. .)))
"[35, 37]","(ROOT (S (NP (PRP I)) (VP (VBP suspect) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADVP (RB probably)) (NP (NP (DT some) (JJ crazy) (NN man)) (PP (IN like) (NP (NP (NNP Saddam) (NNP Hussein)) (SBAR (WHNP (WP who)) (S (VP (BES 's) (NP (PRP$ our) (JJS biggest) (NN threat)))))))))))) (, ,)))"
[38],"(ROOT (S (CC but) (SBAR (PRN (, ,) (INTJ (UH um)) (, ,)) (S (NP (PRP I)) (VP (VBP wonder) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP 're))))))) (, ,) (NP (PRP I)) (VP (VBP wonder) (SBAR (WHADJP (WRB how) (JJ much) (PP (IN of) (NP (DT a) (NN threat)))) (S (NP (PRP they)) (VP (VBP are))))) (. .)))"
[39],"(ROOT (S (NP (PRP I)) (VP (VBP agree) (PP (IN with) (NP (PRP you))) (SBAR (IN that) (PRN (, ,) (SBAR (IN that) (S (NP (PRP they)) (VP (MD 'll) (ADVP (RB always)) (VP (VB be) (VP (ADVP (RB somewhat) (PP (IN of) (NP (DT a) (NN threat)))) (VBN given) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP have)))) (, ,) (SBAR (IN that) (S (NP (EX there)) (VP (BES 's) (ADVP (RB just)))))))))) (, ,)) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB just)) (ADJP (RB so) (JJ big)))))) (, ,)))"
[36],(ROOT (INTJ (UH Right) (. .)))
[41],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[40],(ROOT (S (CC and) (NP (EX there)) (VP (BES 's) (NP (QP (RB just) (RB so) (JJ much)) (JJ military) (NN machine)) (ADVP (RB there))) (. .)))
"[42, 44]","(ROOT (S (CC and) (, ,) (NP (CC and)) (ADVP (PRP it)) (VP (BES 's) (VP (VBN recognized) (SBAR (IN that) (S (NP (DT the) (CD two) (JJ great) (NNS powers)) (VP (VBP are) (NP (NP (PRP us)) (CC and) (NP (PRP them)))))))) (, ,)))"
[43],(ROOT (INTJ (UH Right) (. .)))
[45],"(ROOT (S (CC and) (, ,) (S (CC and) (NP (DT the) (JJ great) (NNS powers)) (VP (VBP are) (ADVP (RB always)) (VP (VBN pitted) (PP (IN against) (NP (DT each) (JJ other)))))) (. .)))"
[47],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))
[46],(ROOT (S (CC But) (NP (PRP I)) (VP (VBP wonder) (SBAR (WHADVP (WRB how)) (S (ADVP (RB much) (RB longer)) (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB be) (NP (DT a) (NP (PRP them))))))))))) (. .)))
[48],"(ROOT (S (NP (PRP They)) (, ,) (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (ADVP (RB downhill) (RB pretty)) (ADVP (RB steady)))) (. .)))"
[50],"(ROOT (S (CC But) (NP (PRP I)) (, ,) (ADVP (PRP I)) (VP (VBP agree) (ADVP (RB right) (RB now) (SBAR (S (NP (PRP they)) (VP (VBP 're) (RB not)))))) (, ,)))"
[51],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB believe) (SBAR (S (NP (PRP they)) (VP (VBP 're) (NP (DT a) (JJ large) (NN threat)) (ADVP (RB right) (RB now))))))) (. .)))
[49],(ROOT (INTJ (UH Yeah) (. .)))
[53],"(ROOT (INTJ (UH Yeah) (, ,)))"
[54],"(ROOT (S (INTJ (UH oh)) (, ,) (NP (PRP I)) (VP (VBP agree)) (. .)))"
[52],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (EX there)) (VP (BES 's) (ADVP (RB always)) (NP (DT some) (NN threat)))))) (. .)))
"[55, 57]","(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (SBAR (IN if) (S (NP (PRP we)) (VP (VBD were) (PP (TO to))))) (, ,)) (SBAR (IN if) (, ,) (S (SBAR (IN if) (S (NP (NN something)) (VP (VBD were) (S (VP (TO to) (VP (VB happen))))))) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sure) (SBAR (S (NP (PRP they)) (VP (MD would) (PP (DT all) (IN of) (NP (DT a) (JJ sudden))) (VP (VB band) (PRT (RB together)) (ADVP (RB just)) (PP (IN for) (NP (NP (DT the) (NN sake)) (PP (IN of)))) (, ,) (PP (IN for) (NP (NP (NP (NP (NP (DT the) (NN sake)) (PP (IN of))) (, ,) (INTJ (UH uh)) (, ,) (PP (IN of))) (, ,) (PP (IN of) (NP (NP (NN unity)) (PP (IN against) (NP (PRP us)))))) (CC or) (NP (NP (NN something)) (ADJP (IN if))))) (, ,) (ADVP (IN if)) (, ,) (SBAR (IN if) (S (NP (NN need)) (VP (VB be))))))))))))) (. .)))"
[56],"(ROOT (INTJ (UH Yeah) (, ,)))"
[59],"(ROOT (PRN (S (S (INTJ (UH Actually)) (NP (PRP I)) (VP (VBP feel) (ADJP (ADVP (RB kind) (RB of)) (JJ sorry)) (PP (IN for) (NP (PRP them))) (ADVP (RB right) (RB now)) (, ,) (SBAR (IN because) (S (NP (DT the) (NNS people)) (VP (VP (VBP are)) (, ,) (VP (VBP are)) (, ,) (VP (VBP are))))))) (, ,) (S (INTJ (UH uh)) (, ,) (S (VP (VBG wanting) (NP (NP (NNS things)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBP have) (VP (FRAG (WHNP (WDT that)))))))))) (NP (PRP they)) (VP (VBP 're) (RB not))) (XX allow-)) (, ,)))"
[60],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (, ,) (PP (RB just) (NP (DT some) (JJ basic) (NNS freedoms)))) (, ,)))"
[61],"(ROOT (S (CC and) (, ,) (NP (CC and) (NP (NP (PRP$ their)) (NP (NN government)))) (VP (VBZ is) (ADJP (RB not) (S (VP (VBG allowing) (NP (PRP it))))) (, ,))))"
[58],"(ROOT (FRAG (CC But) (NP (, ,))))"
[63],"(ROOT (INTJ (UH Yeah) (, ,)))"
[62],(ROOT (S (CC and) (NP (NNP Gorbachev)) (VP (VBZ seems) (S (VP (TO to) (VP (VB be) (VP (VBG going) (ADVP (RB back)) (PP (IN on) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (WHNP (WDT that)) (S (NP (PRP he)) (VP (HVS 's) (VP (VBN been) (VP (VBG trying) (S (VP (TO to) (VP (VB push)))))))))))))))))) (. .)))
[65],X
"[64, 66]","(ROOT (S (S (INTJ (UH actually)) (NP (PRP I)) (VP (VBD noticed) (NP (NP (DT this)) (SBAR (S (NP (PRP I)) (VP (VBP mean))))))) (, ,) (S (NP (DT this)) (, ,) (NP (DT this))) (, ,) (S (NP (NP (DT this) (RBS most) (JJ recent) (NN scare)) (PP (IN of) (NP (PRP$ his)))) (NP (PRP ,))) (SBAR (WHADVP (WRB where)) (S (S (NP (PRP he)) (VP (VBD said))) (, ,) (CC or) (S (NP (PRP he)) (ADVP (RB just)) (VP (VBD decided) (SBAR (IN that) (FRAG (PP (IN instead) (PP (IN of) (S (VP (VBG having) (S (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (PP (IN instead) (PP (IN of) (S (VP (VBG having) (S (VP (VP (, ,) (S (NP (NP (PRP I)) (SBAR (S (VP (MD ca) (RB n't) (VP (VB think) (PP (IN of) (NP (DT the) (NN word))) (ADVP (RB now))))))))) (, ,) (SBAR (IN if) (S (NP (EX there)) (VP (VBP are) (NP (NP (DT any) (NNS demonstrations)) (PP (IN for))) (, ,) (PP (IN in) (NP (NP (NN favor)) (PP (IN of) (NP (NNP Boris) (NNP Yeltsin)))))))))))))) (, ,) (NP (PRP he)) (VP (VBD decided)))) (, ,) (INTJ (UH well)) (, ,) (NP (PRP I)) (VP (MD 'll) (ADVP (RB just)) (VP (VB cancel) (NP (DT all) (NNS demonstrations)) (ADVP (RB altogether))))))))))))))) (. .)))"
[68],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP I)) (, ,) (S (NP (PRP I))) (, ,) (ADVP (PRP I)) (VP (VBP think) (ADVP (IN that)) (, ,) (S (NP (PRP he)) (, ,) (NP (PRP he)) (, ,) (NP (PRP he)) (VP (BES 's) (ADVP (RB actually))))) (, ,)))"
[67],(ROOT (INTJ (UH Uh-huh) (. .)))
"[69, 71]","(ROOT (S (S (NP (PRP he)) (PRN (, ,) (S (NP (PRP I)) (VP (VBP think))) (, ,)) (VP (VBZ is) (VP (VBG becoming) (ADJP (RB very) (JJ dangerous) (PP (IN because) (NP (PRP he))))))) (BES 's) (S (VP (VBG making) (S (NP (DT those) (NNS people)) (ADJP (JJ angry) (PP (IN at) (NP (PRP him)))))) (, ,))))"
[70],(ROOT (INTJ (UH Yeah) (. .)))
[72],"(ROOT (S (CC and) (NP (PRP he)) (BES 's) (ADVP (RB also)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP he)) (VP (BES 's) (ADVP (RB also)) (ADJP (VBG making)) (, ,) (INTJ (UH um)) (, ,) (S (NP (NP (DT the) (NN military)) (ADJP (JJ angry) (PP (IN at) (NP (PRP him)))))))))) (. .)))"
[74],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN heard) (S (NP (NNS stories))) (SBAR (WHADVP (ADVP (RB now)) (WRB where)) (FRAG (NP (DT the))))))) (, ,)) (SBAR (WHADVP (WRB where)) (S (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH um)) (, ,))) (DT the) (NN military)) (VP (VBZ is) (VP (VBG running) (ADVP (RB around))))))) (, ,)))"
[75],"(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBP 're) (ADVP (RB sort) (RB of)) (VP (VBG getting) (NP (JJ restless)))) (, ,))))"
[76],"(ROOT (FRAG (CC and) (NP (NP (DT a) (JJ restless) (NN military)) (SBAR (S (VP (VBZ is) (NP (NP (DT the) (NN kind)) (PP (IN of) (NP (NN thing))) (SBAR (WHNP (WDT that)) (S (VP (VBZ happens) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know))))))))))))))"
[73],(ROOT (INTJ (UH Yeah) (. .)))
[77],(ROOT (PP (IN like) (IN with) (NP (NP (DT the) (JJ Baltic) (NNS states)) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (ADVP (RB just)) (VP (VBP go) (PP (IN in) (NP (RB there)))))))))
[78],(ROOT (INTJ (UH Yeah) (. .)))
[80],"(ROOT (S (INTJ (UH See)) (, ,) (ADVP (PRP I)) (VP (VBP 'm) (ADJP (JJ concerned) (IN that)) (, ,) (SBAR (IN that) (IN since) (S (NP (PRP he)) (VP (HVS 's) (NP (VBN banned) (NNS demonstrations)) (ADVP (RB altogether)) (, ,) (SBAR (IN that) (S (NP (PRP he)) (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB do) (NP (NP (DT the) (NN type)) (PP (IN of) (NP (NN thing))) (SBAR (WHNP (WDT that)) (S (VP (VBD happened) (PP (IN in) (NP (NNP Tiananmen) (NNP Square)))))))))))))))))) (, ,)))"
[79],(ROOT (S (VP (VBP divvy) (NP (DT the) (NNS people)) (PRT (RP up))) (. .)))
"[81, 83]","(ROOT (PRN (CC and) (S (NP (PRP he)) (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB wipe) (PRT (RP out))))) (, ,) (FRAG (NP (DT no) (NN telling)) (WHADJP (WRB how) (JJ many) (PP (IN of) (NP (NP (PRP$ his) (JJ own) (NNS countrymen)) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (ADVP (RB right) (PP (IN in) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NNP Red) (NNP Square))))))) (, ,)))))))))))"
[82],(ROOT (INTJ (UH Uh-huh) (. .)))
[85],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ interesting))) (. .)))
[86],"(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP wonder))) (, ,)))"
[87],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (PRP he)) (VP (BES 's)))))) (, ,)))"
[88],"(ROOT (PRN (S (NP (PRP he)) (, ,) (NP (PRP he)) (VP (VBZ seems))) (, ,)))"
[89],(ROOT (S (NP (NP (DT the) (NN thing)) (PP (IN about) (NP (NNP Gorbachev)))) (VP (VBP strikes) (SBAR (IN that) (S (NP (PRP he)) (VP (MD would) (RB n't) (VP (VB be) (ADJP (RB that) (JJ dumb))))))) (. .)))
[84],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB cause) (NP (NP (DT a)) (, ,) (NP (NP (JJR more) (JJ civil) (NN war)) (SBAR (IN than) (S (VP (VBZ is) (ADVP (RB already)) (VP (VBG occurring)))))))))))) (. .)))"
[91],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))
[90],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (ADVP (RB though)))) (. .)))
[93],"(ROOT (FRAG (NP (DT That)) (NP (NP (BES 's)) (, ,) (NP (DT that)) (, ,) (NP (NP (DT that) (ADJP (BES 's)) (NN something)) (SBAR (WHNP (WDT that)) (S (ADJP (RB really) (JJ true))))))))"
[92],"(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (CC and) (S (NP (PRP it)) (, ,) (NP (PRP it)) (VP (MD might) (VP (VB be) (NP (NP (NN something)) (SBAR (WHNP (WDT that)) (S (NP (PRP he)) (VP (MD would) (RB n't) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB control))))))))))))) (. .)))"
[94],(ROOT (S (PP (XX MUMBLEx) (NP (NP (NN sort)) (PP (IN of) (NP (DT a) (JJ military) (NN thing))))) (NP (PRP I)) (VP (VBD was) (VP (VBG speaking) (PP (IN of) (ADVP (RB before))))) (. .)))
[96],"(ROOT (S (S (NP (DT That)) (VP (BES 's))) (, ,) (NP (DT that)) (VP (BES 's) (ADVP (RB certainly)) (ADJP (JJ true))) (. .)))"
[97],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (S (NP (PRP$ his) (NN military)) (VP (MD may) (ADVP (RB just)) (VP (VP (VB go) (ADVP (RB out))) (CC and) (VP (VB say) (, ,) (INTJ (UH Well)) (, ,) (NP (PRP we))) (ADVP (RB just))))) (, ,)))))"
[98],"(ROOT (S (NP (NNP Gorbachev)) (VP (VBD said) (SBAR (S (NP (PRP you)) (VP (MD ca) (RB n't) (VP (VB do) (NP (PRP it))))))) (, ,)))"
[99],"(ROOT (S (S (CC and) (NP (PRP we)) (VP (VBP 're) (S (VP (TO to) (VP (RB not) (VB let) (S (NP (PRP you)) (VP (VB do) (NP (PRP it))))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[95],(ROOT (INTJ (UH Uh-huh) (. .)))
[100],(ROOT (FRAG (ADVP (RB So)) (. .)))
[102],"(ROOT (INTJ (UH Yeah) (, ,)))"
[101],(ROOT (INTJ (UH Yeah) (. .)))
[103],"(ROOT (S (NP (DT that)) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (RB real) (JJ scary)) (, ,) (INTJ (UH actually))) (. .)))"
[105],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (, ,) (S (NP (PRP I)) (, ,) (NP (PRP I)) (, ,) (NP (PRP I)) (VP (MD would) (VP (VB expect) (SBAR (S (NP (PRP$ their) (JJ own) (NNS problems)) (VP (MD would) (VP (VB keep) (NP (PRP them)) (ADVP (RB away) (PP (IN from) (NP (PRP us)))) (PP (IN for) (NP (DT a) (NN while))))))))))) (, ,)))"
[104],(ROOT (INTJ (UH Yeah) (. .)))
[107],"(ROOT (INTJ (UH Yeah) (, ,)))"
[106],(ROOT (S (CC but) (NP (PRP it)) (VP (MD could) (VP (VB be) (ADJP (RB real) (JJ dangerous)))) (. .)))
[109],"(ROOT (INTJ (UH Yeah) (, ,)))"
[110],"(ROOT (FRAG (PP (JJ right)) (, ,)))"
[108],(ROOT (S (NP (PRP we)) (VP (VBP 've) (VP (VBN got) (NP (PRP$ our) (JJ own) (NNS worries)) (PP (IN at) (NP (DT the) (NN moment))))) (. .)))
[111],(ROOT (S (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB need) (S (VP (TO to) (VP (VB worry) (PP (IN about) (NP (PRP them)))))))) (. .)))
[113],"(ROOT (INTJ (UH Yeah) (, ,)))"
[112],"(ROOT (S (NP (PRP I)) (VP (VBP guess) (ADVP (ADVP (RB as) (RB long)) (SBAR (IN as) (S (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG fighting) (NP (DT each) (JJ other)))))) (, ,) (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB worry) (PP (IN about) (S (NP (PRP them)) (VP (VBG wasting) (NP (PRP$ their) (NN time)) (PP (IN with) (NP (PRP us))))))))))))))) (. .)))"
[115],"(ROOT (INTJ (INTJ (UH Well)) (, ,) (INTJ (UH sure) (, ,))))"
[114],(ROOT (SINV (CC but) (MD would) (RB n't) (NP (PRP it)) (VP (VB be) (ADJP (JJ nice)) (SBAR (IN if) (S (NP (DT no) (CD one)) (VP (VBD had) (S (VP (TO to) (VP (VB fight) (S (NP (NN anybody)) (ADJP (RB else)))))))))) (. .)))
"[116, 118]","(ROOT (NP (NP (DT that)) (, ,) (PP (CC but) (NP (NP (DT that) (BES 's) (DT a)) (, ,) (SBAR (WHNP (DT that)) (S (PP (BES 's) (NP (DT an) (NN impossibility))) (, ,) (NP (PRP I)) (VP (VBP think) (PP (VBN given) (NP (NP (DT the) (NNS differences)) (PP (IN in) (NP (DT the) (NN world)))))))) (, ,)))))"
[117],(ROOT (INTJ (UH Yeah) (. .)))
[120],"(ROOT (S (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))"
[119],(ROOT (S (CC and) (NP (NNS people)) (VP (VBP are) (ADVP (RB just)) (ADJP (RB too) (JJ different))) (. .)))
[121],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (XX un-)) (, ,) (S (VP (VBG underlying) (SBAR (S (NP (PRP we)) (VP (VBP 're) (ADVP (DT all) (RB pretty)) (, ,) (ADVP (RB probably) (RB not) (RB as)) (, ,) (ADJP (RB as) (JJ different) (PP (IN as) (NP (NN everybody))))))))) (VP (VBZ thinks))))) (. .)))"
[123],(ROOT (INTJ (UH Right) (. .)))
[122],"(ROOT (S (CC But) (ADVP (RB unfortunately)) (, ,) (NP (NP (NNS people)) (, ,) (NP (NNS people))) (VP (VBP are) (RB n't) (ADJP (RB that) (JJ insightful))) (. .)))"
[125],(ROOT (S (NP (PRP They)) (ADVP (RB just)) (VP (VBP see) (SBAR (IN that) (S (NP (DT this) (NN guy)) (VP (VBZ prays) (ADVP (ADVP (RB differently)) (CC and) (PP (IN to) (NP (NN someone) (RB else)))) (SBAR (IN than) (S (NP (PRP I)) (VP (VBP do)))))))) (. .)))
[126],"(ROOT (S (ADVP (RB So)) (, ,) (ADVP (RB therefore)) (, ,) (NP (PRP he)) (VP (BES 's) (ADJP (JJ wrong)))))"
[127],"(ROOT (FRAG (CC and) (NP (NP (PRP he)) (BES 's) (NP (JJ bad)) (, ,))))"
[124],"(ROOT (S (FRAG (INTJ (UH Well)) (, ,) (NP (DT that)) (BES 's)) (, ,) (NP (DT that)) (VP (BES 's) (ADVP (RB certainly)) (ADJP (JJ true) (PP (IN of) (NP (PRP it))))) (. .)))"
[129],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ true))) (. .)))
[130],"(ROOT (S (NP (PRP I)) (VP (VBD was) (, ,) (SBAR (S (NP (PRP I)) (VP (VBD was) (VP (VBG discussing) (PP (IN with) (NP (NN someone))) (ADVP (ADVP (RB before)) (PRN (, ,) (INTJ (UH um)) (, ,))))))))))"
[128],"(ROOT (S (CC and) (NP (PRP we)) (VP (VBP have) (S (VP (TO to) (VP (VP (VB wipe)) (, ,) (VP (VB wipe) (NP (PRP him)) (PRT (RP out))))))) (. .)))"
[131],"(ROOT (FRAG (NP (NP (DT this)) (, ,) (NP (NN someone) (RB before)) (, ,)) (PP (NP (UH actually)) (PP (NP (CD one)) (IN of) (NP (DT these) (NNS calls))))))"
[133],"(ROOT (FRAG (PP (ADVP (NN matter)) (IN of) (NP (NP (NN fact)) (PP (IN about) (NP (DT another) (NN topic))))) (, ,)))"
[134],"(ROOT (S (CC but) (ADVP (PRP it)) (VP (VBD came) (PRT (RP up))) (, ,)))"
[132],(ROOT (INTJ (UH Uh-huh) (. .)))
[135],(ROOT (NP (NP (CD one)) (PP (IN of) (NP (DT these) (NNS calls)))))
[137],"(ROOT (NP (NP (NN matter)) (PP (IN of) (NP (NP (NN fact)) (, ,) (PP (IN about) (PRN (, ,) (INTJ (UH um)) (, ,)) (NP (DT another) (NN topic))) (, ,)))))"
[138],"(ROOT (S (CC but) (ADVP (PRP it)) (VP (VBD came) (PRT (RP up))) (, ,)))"
[136],(ROOT (INTJ (UH Uh-huh) (. .)))
[139],"(ROOT (S (NP (NP (CD one)) (PP (IN of) (NP (NP (DT these)) (, ,) (NP (NP (DT this)) (, ,) (NP (DT this) (NN poem)) (, ,) (NP (NP (NN Everything)) (SBAR (S (NP (PRP I)) (VP (VBD Wanted) (S (VP (TO to) (VP (VB Know) (NP (PRP I))))))))))))) (VP (VBD Learned) (PP (IN in) (NP (NP (NN Kindergarten)) (, ,) (CC or) (NP (NN something))))) (. .)))"
[140],(ROOT (INTJ (UH Uh-huh) (. .)))
[142],"(ROOT (INTJ (UH No) (, ,)))"
[143],(ROOT (S (NP (PRP I)) (VP (VBP have) (RB n't) (VP (VBN read) (NP (PRP it)))) (. .)))
[141],(ROOT (S (NP (PRP You)) (VP (VBP 've) (VP (VBN read) (NP (DT that) (NN one)) (ADVP (RB before)))) (. .)))
[145],"(ROOT (S (NP (DT That)) (PRN (, ,) (S (NP (DT this)) (, ,) (NP (DT this)) (VP (VBZ is) (NP (NP (DT the) (NN idea)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (VP (VBZ is) (NP (RB actually) (RB very))))))))))) (, ,)) (VP (VP (VBZ is)) (, ,) (VP (VBZ is)) (, ,) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (MD should) (ADVP (DT all)) (VP (VB revert) (PP (IN to)))))))))) (. .)))"
[146],"(ROOT (NP (NP (DT The) (NN idea)) (PP (PP (IN that)) (PRN (, ,) (INTJ (UH um)) (, ,)))))"
