[0],(ROOT (S (VP (NP (INTJ (UH Alright)) (NP (NNP Allen)))) (. .)))
[10],(ROOT (INTJ (UH Uh-huh) (. .)))
[12],"(ROOT (S (PP (IN In) (NP (JJ other) (NNS words))) (, ,) (PP (IN in) (NP (NP (DT some) (NNS respects)) (NP (DT the) (JJ other) (NN direction)))) (, ,) (PP (IN in) (NP (DT some) (NN job) (NNS markets))) (NP (PRP they)) (VP (VBP do) (RB n't) (ADVP (RB really)) (VP (VB want) (S (VP (TO to) (VP (VB be) (VP (VBN treated) (PP (IN as) (NP (NNS equals))))))))) (. .)))"
[14],(ROOT (INTJ (UH Yes)))
[13],"(ROOT (S (PP (IN By) (NP (NP (NP (DT the) (JJ same) (NN token)) (, ,) (NP (RBS most)) (, ,)) (PP (IN in) (NP (NP (RBS most)) (NP (NNS cases)))))) (, ,) (NP (NNS women)) (VP (VBP have) (NP (NP (DT the) (NNS jobs)) (PP (PP (IN with) (NP (NP (DT the) (JJ same) (NN responsibility)) (PP (IN of) (NP (NP (NNS men)) (SBAR (WHNP (WP who)) (S (VP (VBP have) (VP (VBN been) (ADVP (RB there)) (ADVP (RB before)))))))))) (, ,) (CC but) (PP (IN at) (NP (JJR lower) (NNS salaries)))))) (. .)))"
"[15, 17]","(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (NP (NP (DT that) (BES 's)) (VP (ADVP (RB generally)) (VBG speaking))) (, ,) (ADJP (RB pretty) (JJ true)))) (. .)))"
[16],(ROOT (SQ (VBZ Is) (NP (DT that)) (ADJP (JJ right) (CC and) (JJ wrong)) (. ?)))
[18],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP think) (S (NP (NP (DT that)) (BES 's) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (ADVP (RB really)) (VP (MD ought) (S (VP (TO to) (VP (VB look) (PP (IN at) (NP (DT that))))))))) (, ,)) (VP (VBG going) (VP (VBZ is)))) (, ,) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VB do) (NP (NP (JJ equal) (NN work)) (SBAR (S (NP (PRP they)) (VP (MD ought) (S (VP (TO to) (VP (VB get) (NP (JJ equal) (NN pay))))))))))))))))) (. .)))"
[19],(ROOT (INTJ (UH Yes) (. .)))
[20],"(ROOT (S (NP (CC And)) (VP (ADVP (IN that)) (S (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP they)) (VP (MD ought) (S (VP (TO to) (VP (VB have) (S (NP (JJ equal) (NNS opportunities)) (VP (TO to) (VP (VB advance) (PP (IN to) (NP (DT those) (NNS positions))))))))))))))))"
[21],(ROOT (INTJ (UH Uh-huh) (. .)))
[23],(ROOT (INTJ (UH Yeah) (. .)))
[24],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (NP (WP what)) (SBAR (S (NP (NNS changes)) (VP (VBP do) (S (NP (PRP you)) (VP (VB think))))))) (VP (VBP are) (ADJP (ADJP (RBS most) (JJ significant)) (PP (IN over) (NP (DT the) (JJ past) (JJ few) (NNS years))))) (. ?)))"
[22],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP have) (VP (VBN gotten) (ADVP (RB there)) (ADVP (RB yet)))))))) (. .)))
[25],(ROOT (FRAG (NP (DT Any) (JJ individual) (NN thing))))
[26],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH boy) (. .))))"
[28],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADVP (RB generally)) (ADVP (NP (DT that) (NN switch)) (RB over)))))) (. .)))
[29],"(ROOT (S (CC And) (PRN (, ,) (S (CC and) (NP (PRP I)) (VP (VBP think) (NP (DT that) (NN switch))))) (ADVP (RB over)) (VP (VBZ has) (VP (VBN been) (ADJP (JJR more)) (PP (IN in) (NP (DT the) (NN work) (NN force))))) (. .)))"
[30],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (IN that) (S (NP (NNS women)) (VP (VBP are) (VP (VBN treated) (PP (IN as) (NP (NP (NNS equals)) (PP (IN in) (NP (DT the) (NN home))))) (ADVP (ADVP (RB as) (JJ much)) (SBAR (IN as) (S (NP (PRP they)) (VP (VBP are) (PP (IN in) (NP (DT the) (NN work) (NN force))))))))))))) (. .)))
[27],(ROOT (SQ (CC or) (VBZ is) (NP (PRP it)) (ADVP (RB just)) (NP (DT a) (JJ general) (NN switch)) (ADVP (RB over)) (. ?)))
"[31, 33]","(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (DT those) (NNS women)) (SBAR (WHNP (WP who)) (S (VP (VBP are) (ADVP (IN out)) (VP (VBG working)))))) (VP (VBP are) (ADVP (RB probably)) (VP (ADVP (RB still)) (VBN expected) (S (VP (TO to) (VP (VB carry) (NP (JJR more) (NN responsibility)) (PP (IN at) (NP (NP (NN home)) (SBAR (WHNP (WDT that)) (S (NP (DT the) (NN husband)) (VP (VBZ is) (VP (VBG having) (NP (PRP them)))))))) (, ,) (PP (IN on) (NP (NP (DT the) (JJ other) (NN side)) (PP (IN of) (NP (NP (DT that) (NN coin)) (VP (VBD picked) (ADVP (RB up) (PP (IN as) (NP (JJ much) (NN responsibility)))) (PP (IN at) (NP (NN home)))))))))))))))) (. .)))"
[34],(ROOT (S (ADVP (RB So)) (NP (PRP they)) (VP (VBP have) (NP (CD one) (CC and) (CD three) (NNS quarters) (NNS jobs))) (SBAR (ADVP (RB now) (. .)) (IN Whereas) (S (NP (DT the) (NNS husbands)) (VP (VBP have) (NP (NP (CD one)) (CC and) (NP (DT a) (NN quarter)))))) (. .)))
[32],(ROOT (INTJ (UH Uh-huh) (. .)))
[38],(ROOT (S (CC and) (NP (DT this)) (VP (VBZ upsets) (NP (DT the) (NN man)) (SBAR (IN because) (S (NP (PRP we)) (VP (VBP have) (ADVP (RB always)) (VP (VBN been) (VP (VBN built) (S (VP (TO to) (VP (VB think) (SBAR (IN that) (S (NP (PRP we)) (VP (VBD were) (ADVP (RB sort) (RB of)) (NP (NP (NN head)) (PP (IN of) (NP (DT the) (NN household)))))))))))))))) (. .)))
[36],(ROOT (INTJ (UH Yeah) (. .)))
[40],(ROOT (INTJ (UH Yes) (. .)))
[42],(ROOT (INTJ (UH Yeah) (. .)))
[43],(ROOT (S (NP (PRP I)) (VP (VBP think) (ADVP (RB also)) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (NN parenting)))))) (. .)))
[44],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (EX there)) (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB be) (NP (DT some) (VBG increasing) (NN problem)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NNS women)) (VP (VBP are) (VP (VBG expecting) (NP (NNS husbands)) (S (VP (TO to) (VP (VB do) (NP (JJR more) (NN parenting))))))))))))))))))))))
"[39, 41]","(ROOT (SBARQ (WHADVP (RB So)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (DT that)) (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VP (VB be) (INTJ (UH uh))) (, ,) (ADJP (JJ difficult) (S (VP (VBG saying) (ADVP (RB as) (RB far)) (PP (IN as) (NP (NNS marriages) (CC and) (NNS people))) (S (VP (VBG enjoying) (NP (DT each) (JJ other)) (PP (IN in) (NP (DT the) (NN future) (NNS years))))))))))))))))) (. ?)))"
[45],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP am) (RB not) (ADJP (JJ sure) (SBAR (S (NP (PRP they)) (VP (VBP are) (VP (VBG becoming) (ADJP (RBR more) (JJ skilled) (PP (IN at) (NP (PRP it)))))))))) (. .)))
[46],(ROOT (INTJ (UH Uh-huh) (. .)))
[47],(ROOT (S (RB So) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (ADVP (RB really)) (VP (VBZ has) (VP (VBN put) (NP (NP (DT some) (JJ additional) (NNS stresses)) (PP (IN on) (NP (DT the) (NN family) (NNS units))))))))) (. .)))
[49],X
"[48, 50]","(ROOT (SINV (FRAG (INTJ (UH Well))) (, ,) (VP (VBP do) (NP (PRP you))) (S (VP (VB have) (NP (NP (DT any) (NN opinion)) (PP (IN of) (NP (JJ potential) (NNS changes))) (SBAR (WHNP (WDT that)) (S (VP (MD may) (VP (VB occur) (PP (IN in) (NP (DT the) (JJ next) (NN generation))) (, ,) (ADVP (RB specifically))))))))) (. ?)))"
[51],"(ROOT (NP (S (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (, ,) (PRN (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (WHNP (WDT that)) (S (ADVP (RB always)) (VP (VBZ happens))))))) (VP (VBZ is) (SBAR (S (NP (PRP I)) (VP (VBP think)))))))))) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (DT the) (CD one) (NN end)) (VP (XX wh-)))))) (, ,) (NP (PRP you)) (VP (VBP know) (SBAR (S (VP (VBD were) (VP (VBG moving) (PRT (IN out)) (PP (IN to) (NP (DT the) (NN end))) (SBAR (WHADVP (WRB where)) (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS women)))) (VP (MD will) (VP (VB be) (PP (IN at) (NP (NN work)))))))))))))))"
[53],(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (VBP are) (VP (VBG starting) (S (VP (TO to) (VP (VB see) (ADVP (RB now)) (NP (NP (DT some) (NN tendency)) (PP (IN of) (NP (NP (NNS women)) (PP (IN at) (NP (JJ mid) (NNS thirties)))))))))))))))))))
[54],(ROOT (PRN (CC and) (ADJP (RB so) (SBAR (S (NP (NP (DT the) (NN opinion)) (PP (IN of) (NP (DT this) (NN career) (NN thing)))) (VP (VBZ is) (RB n't) (ADVP (DT all) (RB that)) (SBAR (S (NP (PRP it)) (VP (VBZ is) (VP (VBN cracked) (PRT (RP up)) (S (VP (TO to) (VP (VB be))))))))))))))
[55],(ROOT (S (CC and) (NP (PRP I)) (VP (VP (VBP want) (S (VP (TO to) (VP (VB go) (ADVP (RB back)))))) (CC and) (VP (VBP do) (S (NP (NN something)) (ADJP (RB else))))) (. .)))
[52],(ROOT (INTJ (UH Uh-huh) (. .)))
[56],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (MD will) (ADVP (RB probably)) (VP (VB see) (S (NP (NP (DT the) (XX sw-)) (, ,) (NP (NP (NN pendulum)) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (DT the) (NN work) (NN force))))))) (VP (VB swing) (PRT (RB back)) (NP (DT a) (JJ little) (NN bit))))))))) (. .)))"
[57],(ROOT (INTJ (UH Uh-huh) (. .)))
[58],"(ROOT (S (ADVP (RB Also)) (, ,) (NP (NP (NN much)) (PP (IN of) (NP (PRP it)))) (VP (VBZ is) (VP (VBN driven) (PP (IN by) (NP (NNS economics))) (ADVP (RB right) (RB now)))) (. .)))"
[59],(ROOT (INTJ (UH Yes) (. .)))
[61],"(ROOT (FRAG (FRAG (INTJ (UH Well)) (, ,) (NP (PRP I))) (UH actually) (FRAG (, ,) (PP (XX mo-)) (, ,))))"
[60],(ROOT (S (NP (NNS People)) (VP (VBP have) (VP (VP (VBN gotten) (PRT (RP out))) (CC and) (VP (VBN gotten) (S (VP (VB use) (PP (TO to) (NP (NP (NNS incomes)) (VP (VBG coming) (ADVP (RB in)))))))))) (. .)))
[62],(ROOT (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS women)))) (VP (VBP are) (VP (VBG being) (VP (VBN hired) (PP (ADVP (RB now)) (IN instead) (IN of) (NP (NP (NNS men)) (SBAR (IN because) (S (NP (PRP they)) (VP (MD can) (VP (VB get) (VP (VBN brought) (PP (IN in) (PP (IN at) (NP (JJR lower) (NNS salaries)))) (PP (IN because) (NP (NP (DT that)) (BES 's) (SBAR (WHNP (WP what)) (S (NP (NN everybody) (RB else)) (VP (VBZ assumes) (SBAR (S (NP (PRP they)) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VB get))))))))))))))))))))))) (. .)))
[64],(ROOT (FRAG (CC And) (SBAR (WHNP (DT the)) (FRAG (NP (NNS people)))) (. .)))
[63],(ROOT (INTJ (UH Yeah) (. .)))
[66],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (MD ought) (S (VP (TO to) (VP (VB have) (NP (DT the) (NN right))))))))) (. .)))"
[65],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (WRB how)) (VP (VBP do) (S (NP (PRP you)) (VP (VB feel) (PP (IN about) (NP (NNS women))) (PP (IN in) (PRN (, ,) (INTJ (UH uh)) (, ,)))))) (VP (VBN armed) (NP (NNS services))) (. ?)))"
[67],"(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (NP (NP (DT some) (NNS problems)) (PP (IN with) (NP (NP (PRP$ my) (JJ own) (NN family)) (VP (VBG thinking) (PP (IN about) (NP (NP (PRP$ my) (NN wife)) (VP (VBG going) (S (VP (TO to) (VP (XX com-))))))))))) (, ,) (CC or) (NP (NP (PRP$ my) (NN wife)) (CC and) (NP (NP (PRP$ my) (NN daughter)) (VP (VBG going) (PP (IN into) (NP (NN combat))))))))))"
[69],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP have) (NP (NP (NNS problems)) (PP (IN with) (NP (NP (NNS men)) (VP (VBG doing) (NP (DT that)))))))))
[68],(ROOT (INTJ (UH Yeah) (. .)))
[70],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP guess) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP want) (SBAR (TO to) (S (NP (PRP they)) (VP (MD ought) (S (VP (TO to) (VP (VB have) (NP (DT the) (NN right) (S (VP (TO to) (VP (VB do) (NP (PRP it)))))))))))))))) (. .)))
[71],(ROOT (INTJ (UH Um) (. .)))
[73],(ROOT (INTJ (UH Yeah) (. .)))
[74],(ROOT (FRAG (S (NP (PRP I)) (ADVP (RB somehow)) (VP (MD ca) (RB n't) (VP (VB do) (NP (DT that)))))))
[72],(ROOT (S (NP (PRP It)) (VP (BES 's) (NP (NP (NN nothing)) (SBAR (S (NP (PRP I)) (VP (MD would) (VP (VB be) (ADJP (RB greatly) (JJ enthusiastic) (PP (IN about) (S (VP (VBG pushing) (PP (IN for) (NP (PRP it))))))))))))) (. .)))
"[75, 77]","(ROOT (FRAG (NP (NP (PRP I)) (, ,) (SBAR (SBAR (S (VP (VBD was) (VP (VBN brought) (PRT (RP up)) (PP (IN in) (NP (DT the) (NNS ages))))))) (SBAR (WHADVP (WRB where)) (S (NP (DT the) (NNS ladies)) (VP (VP (VBD were) (VP (VBN kept) (NP (NP (NN home)) (, ,) (ADJP (JJ safe) (, ,) (JJ secure)) (, ,)))) (CC and) (VP (VBD made) (S (ADJP (JJ happy)))))))))))"
[78],"(ROOT (FRAG (CC and) (NP (NP (DT the) (NNS men)) (SBAR (S (VP (VP (VBD went) (ADVP (RB out))) (CC and) (VP (VBD took) (NP (NP (NN responsibility)) (PP (IN of) (S (VP (VP (VBG earning) (NP (DT the) (NN money))) (, ,) (VP (VBG bringing) (PP (IN in) (SBAR (WHNP (WDT whatever)) (S (NP (PRP they)) (VP (VP (VBD needed)) (CC and) (VP (VBD protected) (NP (DT the) (NN household)))))))))))))))))))"
[79],"(ROOT (S (CC and) (NP (PRP it)) (, ,) (NP (PRP it)) (ADVP (RB really)) (VP (ADVP (RB still)) (VBZ bothers) (NP (PRP me))) (. .)))"
[80],"(ROOT (S (NP (PRP I)) (VP (VBD spent) (NP (NP (NN plenty)) (PP (IN of) (NP (NNS years)))) (PP (IN in) (NP (DT the) (NN service)))) (, ,)))"
[81],(ROOT (S (CC but) (NP (PRP it)) (ADVP (RB still)) (VP (VBZ bothers) (S (NP (PRP me)) (VP (TO to) (VP (VB see) (NP (NNS ladies)) (ADVP (ADVP (IN out) (PP (IN in) (NP (NN combat)))) (CC or) (ADVP (RB actually))) (PRT (RP out)) (PP (IN in) (NP (NNS places)))))) (SBAR (WHADVP (WRB where)) (S (NP (EX there)) (VP (VBZ is) (NP (NP (CD two) (CC or) (CD three)) (PP (IN of) (NP (PRP them))) (NP (NP (EX there)) (CC and) (NP (QP (CD five) (CD hundred)) (NNS men)))) (ADVP (RB around)))))) (. .)))
[76],X
[82],(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (WHADVP (WRB how)) (S (VP (VBP are) (NP (NP (PRP they)) (VP (VBG going) (S (VP (TO to) (VP (VB protect) (S (NP (PRP themselves)) (RB so) (VP (TO to) (VP (VB speak))))))))))))) (. .)))
[84],(ROOT (S (NP (PRP It)) (VP (VBZ puts) (NP (PRP them)) (PP (IN in) (NP (DT a) (ADJP (RB very) (JJ bad)) (NN situation)))) (. .)))
[83],(ROOT (S (NP (PRP I)) (VP (VBP agree)) (. .)))
[86],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (JJ other) (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (VBP concern))))))) (, ,) (VP (VBZ has) (VP (VBN concerned) (S (NP (PRP me)) (NP (DT a) (JJ little) (NN bit)))))))) (, ,)))"
[87],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (VBP see) (NP (NP (DT some) (NN change)) (PP (IN in) (NP (NNS attitudes)))) (ADVP (RB there)))))) (. .)))
[85],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (ADVP (RB really)) (VP (VBP do) (RB n't) (VP (VB go) (PP (IN for) (NP (DT that))))) (. .)))"
[88],(ROOT (S (NP (PRP$ My) (NN wife)) (VP (VBZ happens) (S (VP (TO to) (VP (VB be) (NP (NP (DT a) (NN wife)) (SBAR (WHNP (WP who)) (S (VP (VBZ has) (VP (VBN chosen) (S (VP (TO to) (VP (VB stay) (PP (IN at) (NP (NN home)))))))))))))))))
[89],(ROOT (INTJ (UH Uh-huh) (. .)))
[91],(ROOT (FRAG (NP (NNP Yep)) (. .)))
"[90, 92]","(ROOT (S (CC and) (NP (EX there)) (VP (BES 's) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VBZ has) (VP (VBN been) (NP (NP (DT a) (NN tendency)) (PP (IN over) (NP (DT the) (JJ past) (JJ few) (NNS years))) (S (VP (TO to) (VP (VB treat) (NP (PRP her)) (SBAR (IN as) (IN though) (S (NP (PRP she)) (VP (VBD was) (NP (NP (NN somebody)) (SBAR (WHNP (WP who)) (S (VP (VBD did) (RB n't) (VP (VB have) (NP (JJ much) (NN intelligence)) (SBAR (IN because) (IN if) (S (NP (PRP she)) (VP (VBD did) (SBAR (S (NP (PRP she)) (VP (MD would) (VP (VB be) (ADJP (IN out) (PP (IN in) (NP (DT the) (NN work) (NN force)))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))))))) (VP (VBG fulfilling) (NP (PRP herself)))))))))))))) (. .)))"
[94],(ROOT (S (CC and) (NP (PRP you)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB learn) (SBAR (S (NP (EX there)) (VP (VBZ is) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NN responsibility)) (VP (ADVP (RB just)) (VBG keeping) (NP (NP (DT the) (NN home)) (VP (VBG going))))))))))))))) (. .)))
[95],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP hope) (SBAR (S (NP (PRP we)) (VP (VBP reach) (NP (NP (DT the) (NN point)) (SBAR (WHADVP (WRB where)) (S (SBAR (WHNP (WDT whatever)) (S (NP (NNS women)) (VP (VBD chose) (S (VP (TO to) (VP (VB do))))))) (, ,) (NP (WDT that)) (VP (BES 's) (ADJP (JJ acceptable)))))))))) (. .)))"
[96],(ROOT (INTJ (UH Yeah) (. .)))
[97],(ROOT (S (SBAR (IN If) (S (NP (PRP they)) (VP (VBD chose) (S (VP (TO to) (VP (VB go) (PP (IN into) (NP (DT the) (NN work) (NN force))))))))) (NP (DT that)) (VP (BES 's) (ADJP (JJ okay))) (. .)))
[98],(ROOT (INTJ (UH Yeah) (. .)))
[99],"(ROOT (S (SBAR (IN If) (S (NP (PRP they)) (VP (VBD chose) (S (RB not) (VP (TO to)))))) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ acceptable))) (. .)))"
"[100, 102]","(ROOT (S (CC And) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP go) (PP (IN into) (NP (DT the) (NN work) (NN force)))))) (, ,) (NP (PRP they)) (VP (MD should) (VP (VB be) (VP (VBN treated) (PP (IN as) (UCP (ADVP (RB nicely) (RB as)) (, ,) (CONJP (RB as) (RB well) (IN as)) (NP (NP (DT a) (NN man)) (CC or) (NP (DT any) (JJ other) (NN person)))))))) (. .)))"
