[0],(ROOT (INTJ (UH Okay)))
[22],"(ROOT (S (CC but) (NP (PRP it)) (VP (VP (BES 's)) (, ,) (NP (NP (DT all)) (PP (IN of) (NP (NP (DT a) (JJ sudden)) (SBAR (S (NP (PRP it)) (VP (BES 's) (VP (VBG starting) (S (VP (TO to) (VP (VB get) (ADJP (RB really) (JJ scary)) (PP (IN with) (NP (DT these) (NNS gangs)))))))))))))) (. .)))"
[23],"(ROOT (S (RB Yet) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (MD would) (VP (VB vote) (NP (DT a) (CD one)) (SBAR (IN if) (S (NP (PRP I)) (VP (VBD thought) (SBAR (IN that) (S (NP (PRP it)) (VP (MD would) (VP (VB be) (VP (GW nation))))))))))))))) (^JJ wide) (CC and) (S (NP (PRP they)) (VP (MD can) (VP (VB guarantee) (SBAR (S (NP (DT no) (NN one)) (VP (MD would) (VP (VB have) (NP (NP (DT a) (NN gun)) (, ,) (NP (NP (DT no) (NNS crooks)) (, ,) (NP (NN nothing))))))))))) (. .)))"
[13],"(ROOT (S (CC And) (, ,) (INTJ (UH um)) (, ,) (NP (PRP it)) (VP (VBZ scares) (S (NP (PRP me)) (NP (DT a) (JJ little) (NN bit) (S (VP (TO to) (VP (VB think) (SBAR (IN that) (S (NP (PRP they)) (VP (MD would) (VP (VB begin) (S (S (VP (VBG restricting) (NP (NP (NN gun) (NN control)) (PP (IN to) (NP (DT the) (NN point)))) (FRAG (WHADVP (WRB where))))) (, ,) (INTJ (UH um)) (, ,) (ADVP (RB eventually)) (NP (PRP we)) (VP (MD may) (RB not) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB have) (NP (NP (DT that) (NN right)) (PP (GW any) (NP (^RB more))))))))))))))))))))) (. .)))"
[25],"(ROOT (INTJ (UH Yeah) (, ,)))"
[26],"(ROOT (SBAR (WHNP (NP (PRP it)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VBG moving) (PP (IN to) (NP (NP (DT this) (NN area)) (, ,) (PP (IN of) (NP (NP (NN course)) (SBAR (S (NP (PRP it)) (VP (VBZ happens) (ADVP (RB everywhere))))))) (, ,)))))))"
[27],"(ROOT (SINV (S (CC but) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP guess) (NP (PRP we)))) (VP (VBP 're) (ADJP (RB pretty) (JJ naive) (S (VP (VP (VBG coming) (PP (PP (IN from) (NP (JJ small) (NNS towns))) (PRN (, ,) (INTJ (UH uh)) (, ,))) (PP (IN in) (NP (DT the) (JJS midwest)))) (CC and) (ADVP (ADVP (RB then)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VP (VBG moving) (PP (IN to) (NP (NP (DT a) (JJR larger) (NN city)) (SBAR (WHADVP (WRB where)) (S (NP (EX there)) (VP (VBP are))))))))))) (NP (NN drive-by) (NNS shootings))))"
[28],"(ROOT (S (NP (NP (ADVP (CC and)) (, ,) (SBAR (SBAR (S (INTJ (UH uh)) (, ,) (NP (RB there)) (VP (VBZ seems)))) (SBAR (IN like) (S (VP (VBG killing) (PP (IN for) (NP (DT no) (NN reason)))))))) (PP (IN at) (NP (NP (DT all)) (, ,))))))"
[24],"(ROOT (S (CC But) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (DT that)) (VP (BES 's) (RB not) (VP (VBG going) (S (VP (TO to) (VP (VB happen))))))))))) (, ,) (ADVP (RB then)) (NP (PRP I)) (VP (VBP have) (VP (PP (TO to) (PRN (ADVP (RB probably) (RB right) (IN up)) (ADVP (RB there) (RB about))) (NP (DT an) (CD eight))))) (. .)))"
[30],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP it)) (ADVP (RB just)) (VP (VBZ seems) (SBAR (IN like) (S (PP (IN in) (NP (DT the) (JJ past) (CD three) (CC or) (CD four) (NNS years))) (NP (PRP it)) (VP (VBZ has) (ADVP (RB just)) (VP (VBN gotten) (ADJP (RB so) (RB much) (JJR worse)) (SBAR (IN than) (S (NP (PRP it)) (VP (VBD was))))))))) (. .)))"
[31],"(ROOT (S (NP (EX There)) (VP (HVS 's) (ADVP (RB always)) (VP (VBN been) (NP (NP (DT a) (JJ certain) (NN amount)) (PP (IN of) (NP (NP (NP (NN crime)) (SBAR (S (PP (IN in) (NP (PRP$ your))) (, ,) (NP (PRP you)) (VP (VBP know))))) (, ,) (NP (PRP$ your) (JJ urban) (NNS areas)) (, ,))))))))"
[32],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP we)) (VP (VBD lived) (PP (IN in) (NP (NNP Chicago))) (PP (IN for) (NP (CD seven) (NNS years))))))) (, ,))))"
[33],(ROOT (S (CC and) (PP (IN of) (NP (NN course))) (NP (PRP it)) (VP (VBD was) (ADVP (RB definitely)) (ADVP (RB there))) (. .)))
[34],"(ROOT (S (RB So) (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (ADVP (RB first)) (VP (VBD moved) (ADVP (RB here))))) (, ,) (NP (PRP it)) (VP (VBD was) (RB n't) (ADJP (RB as) (JJ bad) (PP (IN as) (NP (DT this))))) (. .)))"
[35],"(ROOT (S (NP (PRP It)) (ADVP (BES 's)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP it)) (VP (BES 's) (ADVP (RB just)) (VP (VBG getting) (NP (NP (DT all)) (PP (IN of) (NP (DT a) (JJ sudden) (ADJP (RB so) (RB much) (JJR worse))))))) (. .)))"
[36],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN whether) (S (NP (PRP it)) (VP (BES 's) (UCP (PP (IN due) (PP (IN to) (NP (DT the) (NNS drugs)))) (CC and) (NP (NP (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN drug) (NNS kings)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (ADVP (RB here)))))) (CC and) (NP (NP (JJ Jamaican) (NN drug) (NNS kings)) (VP (VBG coming) (ADVP (RB in))))))))))) (. .)))"
[37],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN whether) (S (NP (DT that)) (VP (BES 's) (NP (NP (PRP it)) (, ,) (CC or) (NP (NN street) (NNS gangs)))))))) (. .)))"
[38],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (S (NP (WP what)) (NP (DT the) (NN answer) (NNS is))))) (. .)))
[39],"(ROOT (S (NP (PRP I)) (VP (VBP know) (SBAR (IN that) (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ scary)))))) (, ,)))"
[40],"(ROOT (FRAG (CC and) (NP (NP (RB yet)) (SBAR (S (NP (PRP I)) (VP (VBP hate) (NP (DT the) (NN government)) (S (ADVP (RB constantly)) (VP (VBG telling) (NP (PRP me)) (SBAR (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (MD can) (VP (VB do))))) (CC and) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB do)))))) (, ,)))))))))"
[29],"(ROOT (FRAG (PP (CC and)) (, ,) (INTJ (UH uh)) (. .)))"
[42],"(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP think) (ADVP (RB so)))) (, ,)))"
[43],"(ROOT (S (CC and) (PRN (, ,) (S (CC and) (NP (EX there)) (VP (BES 's) (NP (RB always) (DT the)) (PRN (, ,) (INTJ (UH uh)) (, ,))))) (SBAR (WHNP (NP (DT the)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (NP (NP (DT the) (ADJP (ADJP (JJ old)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN saying)) (SBAR (WHNP (WDT that)) (S (VP (VBZ keeps) (S (VP (VBG coming) (PRT (RP up)) (SBAR (IN that) (IN if) (S (NP (DT a) (NN person)) (VP (VBZ wants) (S (NP (DT a) (NN gun)) (ADVP (RB bad) (RB enough)) (NP (PRP they)))))))))))) (VP (MD 'll)))) (, ,) (ADVP (PRP they)) (VP (MD 'll) (VP (VB get) (NP (CD one)))) (, ,)))"
[41],(ROOT (S (CC and) (NP (DT that)) (VP (BES 's) (ADVP (RB basically)) (SBAR (WHNP (WP what)) (S (NP (DT the) (NN gun) (NN control)) (VP (MD would) (VP (VB end) (PP (RP up) (NP (VBG being)))))))) (. .)))
[44],"(ROOT (FRAG (PP (CC and) (NP (NP (FRAG (, ,) (PP (UH uh)) (, ,))) (CC and) (NP (RB then)))) (, ,) (INTJ (UH uh)) (. .)))"
[45],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (RB very) (JJ true))) (. .)))"
[47],"(ROOT (S (NP (PRP It)) (VP (BES 's) (RB not) (NP (NP (DT the) (NN law) (JJ abiding) (NN citizen)) (SBAR (WHNP (WDT that)) (S (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (VP (VBZ is) (, ,) (SQ (VBZ is) (ADJP (JJ dangerous) (PP (IN with) (NP (DT the) (NN gun)))))))))) (. .)))"
[46],(ROOT (INTJ (UH Yeah) (. .)))
[48],(ROOT (S (NP (PRP It)) (VP (BES 's) (NP (NP (DT the) (NNS ones)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VP (VBG going) (ADVP (RB out))) (CC and) (VP (VBG stealing) (NP (PRP it))))))))) (. .)))
[50],(ROOT (S (CC And) (NP (PRP I)) (VP (VBD said) (SBAR (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (DT the) (JJ only) (NN way)) (SBAR (S (NP (PRP I)) (VP (MD would) (VP (VB be) (PP (IN in) (NP (NP (JJ big) (NN favor)) (PP (IN of) (NP (NN gun) (NN control)))))))))) (VP (VBZ is) (SBAR (IN if) (S (NP (PRP they)) (VP (MD could) (ADVP (RB absolutely)) (VP (VB guarantee) (SBAR (IN that) (S (NP (NN nobody)) (VP (MD would) (VP (VB have) (NP (PRP them))))))))))))))))) (. .)))
[51],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (MD would) (ADVP (RB almost)) (VP (VB have) (S (VP (TO to) (VP (VB go) (PP (IN with) (NP (NNS armies))) (, ,) (ADVP (RB too)))))))))) (. .)))"
[49],(ROOT (INTJ (UH Yeah) (. .)))
[53],"(ROOT (INTJ (UH Yeah) (, ,)))"
[54],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[52],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (S (NP (PRP they)) (VP (MD 'd) (VP (VB have) (S (VP (TO to) (VP (VB be) (ADJP (RB almost) (JJ world-wide)))))))) (, ,)) (SBAR (WHNP (WDT which)) (S (NP (PRP we)) (VP (VBP know) (SBAR (S (VP (MD would) (VP (ADVP (RB never)) (ADVP (RB ever)) (VB happen))))))))) (. .)))"
[56],"(ROOT (SBAR (IN Because) (SBAR (RB even) (IN if) (S (NP (PRP you)) (VP (VBD said) (PRN (, ,) (INTJ (UH okay)) (, ,)))))))"
[57],"(ROOT (S (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (JJ armed) (NNS forces)) (VP (MD could) (VP (VB have) (NP (PRP them))))) (, ,)))))"
[55],(ROOT (S (NP (DT that)) (VP (BES 's) (PP (IN for) (ADJP (JJ sure)))) (. .)))
[59],"(ROOT (INTJ (UH Yeah) (, ,)))"
[60],"(ROOT (FRAG (S (ADVP (CC and)) (, ,) (S (INTJ (UH uh)) (, ,) (S (ADVP (CC and)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP suppose) (, ,) (INTJ (UH uh)) (, ,) (ADVP (NP (NNS years)) (RB ago)) (, ,) (SBAR (WHADVP (ADVP (RB way) (RB back)) (WRB when)) (, ,) (S (INTJ (INTJ (UH uh)) (, ,) (INTJ (INTJ (WRB when)) (, ,) (INTJ (UH uh)))) (, ,) (NP (PRP they)) (VP (VBD had) (NP (DT the) (JJ revolutionary) (NN war)))))))) (CC and) (S (NP (NNS people)) (VP (VBD decided) (SBAR (IN that) (SBAR (WHNP (NP (PRP they)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VBD were) (VP (VBN fed) (PRT (RP up)) (PP (PP (IN with) (NP (DT the) (NN government))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))))))))"
[58],(ROOT (S (NP (DT some) (NN idiot)) (VP (MD would) (VP (VP (VB come) (ADVP (RB out))) (CC and) (VP (VB sell) (NP (PRP it)) (PP (IN to) (NP (NN somebody))) (PP (IN on) (NP (DT the) (NN street) (S (VP (TO to) (VP (VB make) (NP (DT a) (JJ quick) (NN buck)))))))))) (. .)))
[62],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (RB very) (JJ true)))))
[63],(ROOT (FRAG (ADJP (RB very) (JJ true)) (. .)))
[64],"(ROOT (SBAR (WHNP (WP Who)) (S (VP (VBZ knows)) (, ,))))"
[61],"(ROOT (S (CC and) (SBAR (IN if) (S (NP (PRP they)) (VP (VBD did) (RB n't) (VP (VB have) (NP (DT a) (NN way)) (PP (PP (TO to)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (TO to) (VP (VB fight) (ADVP (RB back))))))))) (NP (PRP they)) (VP (MD would) (VP (VB have) (VP (VBN been) (PP (IN in) (NP (JJ big) (NN trouble)))))) (. .)))"
[65],(ROOT (S (NP (PRP we)) (ADVP (RB maybe)) (VP (VBP want) (S (VP (TO to) (VP (VB overthrow) (NP (DT the) (NN government)))))) (. .)))
[67],"(ROOT (S (NP (PRP I)) (VP (VBP know)) (, ,)))"
[66],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (DT the) (NN way) (NNS things)) (VP (VBP are) (VP (VBG going))) (. .)))"
[68],(ROOT (FRAG (SBAR (IN if) (S (NP (NN somebody)) (VP (VBZ does) (RB n't) (VP (VB do) (NP (NN something)))))) (. .)))
[69],X
[70],"(ROOT (S (S (INTJ (UH Uh)) (, ,) (NP (NP (WP what)) (PP (IN about) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (WP what)))) (VP (VBP do) (S (NP (PRP you)) (VP (VP (VB think) (PP (IN of) (NP (NP (DT this)) (, ,) (NP (ADJP (DT this) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN law) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG putting) (PP (IN into) (NP (NN effect))) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB wait) (S (VP (SYM X) (NP (NN number)))) (PP (IN of) (NP (NP (NNS days)) (SBAR (IN before) (S (NP (PRP you)) (VP (MD can) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VB carry) (NP (DT the) (NN gun))))))))))))))))))) (, ,)))) (CC or) (VP (VB buy)))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (ADVP (RB actually)) (S (VP (VB purchase) (NP (DT the) (NN gun))))) (. ?)))"
[71],"(ROOT (S (S (INTJ (UH Well)) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (PRP they)) (VP (VBD introduced) (NP (DT some) (NN gun) (NN control)) (ADVP (RP back)) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBD was) (NP (DT a) (NN teenager))))))) (, ,) (S (NP (PRP I)) (VP (VBP believe))) (, ,) (S (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (DT every) (NN gun))))) (NP (PRP you)) (VP (VBD ha))) (, ,) (S (S (VP (VBD bought))) (VP (VBD had) (S (VP (TO to) (VP (VB be) (VP (VBN licensed)))))))) (, ,) (NP (PRP I)) (VP (VBP believe)) (. .)))"
[73],"(ROOT (S (CC And) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP you)) (VP (VBP know)))) (, ,) (NP (DT that)) (VP (VBD did) (RB n't) (VP (VB bother) (NP (NP (PRP me)) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (RB too) (JJ much))) (, ,)))))))"
