[0],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (DT this)) (VP (VBZ is) (ADVP (RB kind) (RB of)) (ADJP (JJ ironic)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP work) (PP (IN in) (NP (NP (NNP T) (NNP I) (POS -s)) (JJ legal) (NN department))))))) (. .)))"
[11],(ROOT (INTJ (UH Uh-huh) (. .)))
[13],(ROOT (INTJ (UH Uh-huh) (. .)))
[15],(ROOT (INTJ (UH Right) (. .)))
[17],"(ROOT (INTJ (UH Yeah) (, ,)))"
[18],"(ROOT (S (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (DT some)) (VP (XX MUMBLEx) (SBAR (S (NP (PRP I)) (VP (VBP do) (RB n't)))))) (, ,)))))"
[19],"(ROOT (S (NP (PRP you)) (ADVP (RB always)) (VP (VBP have) (NP (DT the) (NN option))) (, ,)))"
[20],"(ROOT (S (SBAR (PP (ADVP (RB now)) (IN in) (ADJP (JJ criminal))) (S (NP (PRP I)) (VP (VBP guess)))) (NP (PRP you)) (ADVP (RB always)) (VP (VBP have) (NP (DT a) (NN jury))) (, ,)))"
"[12, 14, 16]","(ROOT (S (CC or) (SBAR (PRN (, ,) (PP (CC or) (NP (DT the) (NNP Texaco) (NNP Pennzoil) (NN problem))) (, ,)) (S (S (INTJ (UH uh)) (, ,) (VP (VBZ is) (ADJP (JJ ridiculous) (PP (IN for) (NP (NP (NNS people)) (VP (ADVP (RB just)) (VBN taken) (PP (IN off) (NP (DT the) (NN street))) (S (VP (TO to) (VP (VB understand))))))))) (, ,)) (CC and) (, ,) (S (ADVP (RB really)) (VP (MD should) (VP (VB have))) (NP (NP (DT some) (JJR better) (NN way)) (SBAR (WHADVP (WRB where)) (S (NP (NP (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP understand) (NP (DT both) (NP (DT the) (NNS circumstances)) (CC and) (NP (DT the) (JJ complex) (NNS issues))))))) (VP (VBN involved)))))))) (, ,) (VP (MD should) (VP (VB handle) (NP (NNS cases)) (PP (IN like) (NP (DT that))))) (. .)))"
[21],(ROOT (S (CC but) (PP (IN in) (NP (JJ civil) (NNS cases))) (NP (PRP you)) (VP (VBP have) (NP (NP (DT the) (NN option)) (WHPP (IN of) (SBAR (IN whether) (S (NP (PRP you)) (VP (VBP want) (NP (DT a) (NN jury)))) (CC or) (RB not))))) (. .)))
[23],"(ROOT (INTJ (UH Yeah) (, ,)))"
[22],"(ROOT (SINV (FRAG (INTJ (UH Oh))) (, ,) (VP (VBZ is)) (NP (NP (DT that)) (ADJP (JJ right))) (. ?)))"
[24],"(ROOT (FRAG (CC and) (PP (IN in) (NP (NP (DT some) (NNS incidences)) (SBAR (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (MD ought) (PP (TO to)))))))) (PRN (, ,) (S (VP (MD ought) (S (RB not) (VP (TO to) (VP (VB have) (NP (DT a) (NN jury))))))) (, ,))))))"
[25],(ROOT (INTJ (UH Yeah) (. .)))
[27],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[28],(ROOT (INTJ (UH boy) (. .)))
[29],"(ROOT (S (CC Or) (, ,) (S (INTJ (UH uh)) (, ,) (CC or) (NP (EX there)) (VP (MD should) (VP (VB be) (NP (NP (DT some) (NN way)) (SBAR (WHADVP (WRB where)) (S (NP (PRP it)) (VP (MD could) (VP (VB be) (VP (VBN opted) (PP (IN for) (NP (PRP them))) (S (RB not) (VP (TO to) (VP (VB have) (NP (DT a) (NN jury)))))))))))))) (. .)))"
[26],(ROOT (INTJ (UH um) (. .)))
"[30, 32]","(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP I)) (VP (VBD was) (ADVP (RB only)) (PP (IN on) (NP (NP (CD one) (NN jury)) (ADVP (RB ever)))) (, ,) (ADVP (ADVP (RB so) (RB far)) (PP (IN in) (NP (PRP$ my) (NN life))))) (, ,)))"
[33],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (ADVP (RB really)) (VP (VBD was) (NP (DT a) (ADJP (RB pretty) (JJ trivial)) (, ,) (NN case)))))"
[31],(ROOT (INTJ (UH Uh-huh) (. .)))
[35],(ROOT (INTJ (UH Uh-huh) (. .)))
"[34, 36]","(ROOT (S (S (CC and) (NP (PRP it)) (VP (VBD seemed) (SBAR (IN to) (S (NP (PRP me)) (NP (PDT all) (DT the) (NN time)) (NP (PRP I)) (VP (VBD was) (VP (VBG thinking) (PP (IN of) (NP (NP (PDT all) (DT these) (NNS people)) (PP (IN in) (NP (DT the) (NN courtroom))))) (PP (IN over) (NP (NP (DT the) (NN case)) (SBAR (WHNP (WDT that)) (S (VP (VBD involved)))))))))))) (, ,) (S (INTJ (UH oh)) (, ,) (S (NP (NP (DT a) (NN couple)) (NP (CD thousand) (NNS dollars))) (NP (PRP I)) (VP (VBP think))) (, ,) (S (NP (PRP it)) (VP (VBD was)))) (, ,) (S (NP (PRP it)) (VP (VBD was) (ADVP (ADVP (RB really) (RB just)) (PRN (, ,) (INTJ (UH uh) (, ,) (UH uh)) (, ,))) (NP (NP (JJ terrific) (NN waste)) (PP (IN of) (NP (NP (NN everybody) (POS 's)) (NN time) (CC and) (NN money)))))) (. .)))"
[37],(ROOT (INTJ (UH Um) (. .)))
[38],"(ROOT (S (CC And) (NP (PRP it)) (ADVP (RB finally)) (VP (VBD ended) (PRT (RP up)) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (SBAR (IN even) (IN though) (S (NP (PRP we)) (VP (VBD had) (VP (VBN reached) (NP (DT a) (NN verdict)) (SBAR (IN before) (S (NP (PRP we)) (VP (VBD were) (VP (VBN allowed) (S (VP (TO to) (VP (VB give) (NP (PRP it))))))))))))) (, ,) (NP (PRP they)) (VP (VBD settled) (NP (DT the) (NN case)))))) (. .)))"
[39],(ROOT (INTJ (UH Oh) (. .)))
[40],"(ROOT (S (S (NP (PRP They)) (VP (XX wo-))) (, ,) (NP (PRP they)) (VP (VBD had) (VP (VBN settled) (SBAR (IN while) (S (NP (PRP we)) (VP (VBD were) (VP (VBG deliberating))))))) (. .)))"
[41],(ROOT (INTJ (UH Yeah) (. .)))
[42],"(ROOT (S (INTJ (UH Now)) (, ,) (NP (NP (DT the) (CD one) (NN thing)) (SBAR (S (NP (PRP I)) (VP (VBD did) (VP (VB approve) (PP (IN of) (NP (RB there)))))))) (VP (VBD was) (SBAR (IN that) (S (NP (PRP we)) (VP (VBD did) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB be) (ADJP (JJ unanimous)) (SBAR (IN because) (S (NP (PRP it)) (VP (VBD was) (NP (DT a) (JJ civil) (NN case))))))))))))) (. .)))"
[44],"(ROOT (SINV (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP we)) (VP (VBD were) (VP (VBN split) (PRN (, ,) (INTJ (UH uh)) (, ,))))) (VP (CD ten) (PP (IN to))) (NP (CD two))))"
[43],(ROOT (INTJ (UH Uh-huh) (. .)))
[46],"(ROOT (INTJ (UH Yeah) (, ,)))"
[47],"(ROOT (S (INTJ (UH well) (, ,) (UH um)) (, ,) (ADVP (PRP I)) (VP (VBP 've) (ADVP (RB never)) (VP (ADVP (RB fully)) (VBN served))) (, ,)))"
[48],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (, ,) (SBAR (S (NP (PRP I)) (VP (VBP 've) (VP (VBN been) (VP (VBN asked) (ADVP (RB twice)) (S (VP (TO to) (VP (VB go) (ADVP (RB down)))))))))))))"
[49],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBD did) (RB n't) (VP (VB get) (S (VP (VBN elected) (PP (IN on) (NP (DT the) (NN panel))) (, ,)))))))"
[50],"(ROOT (S (ADVP (CC but)) (, ,) (NP (PRP I)) (VP (VBP know) (, ,) (PP (IN that) (PRN (, ,) (INTJ (UH um)) (, ,))) (PP (IN for) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT the) (JJ civil) (NNS cases))))) (PRN (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ rare)))) (, ,)))))"
[51],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (, ,) (PP (IN if) (NP (NP (PRP$ your)) (SBAR (WHNP (NP (DT a) (NN lawyer)) (PRN (, ,) (INTJ (UH um)) (, ,))) (S (NP (EX there)))))) (PRN (, ,) (S (NP (PRP you)) (VP (MD could) (VP (VB be) (NP (NP (DT a) (NN lawyer)) (SBAR (WHNP (WP who)) (S (ADVP (RB never)) (VP (ADVP (RB actually)) (VBZ gets) (PP (IN into) (NP (DT the) (NN courtroom)))))))))) (, ,)))))"
[52],"(ROOT (S (NP (EX there)) (VP (BES 's) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS attorneys)))) (PP (IN like) (NP (NP (DT that)) (, ,) (SBAR (WHNP (WDT that)) (S (ADVP (RB never)) (VP (VB get) (PP (IN to) (NP (DT the) (NN courtroom))))))))) (. .)))"
[53],"(ROOT (S (NP (DT Some)) (, ,) (NP (NP (PRP$ their) (NN kind)) (PP (IN of) (NP (NN law)))) (VP (VBZ does) (RB n't) (VP (VB get) (NP (PRP them)) (PP (IN to) (NP (DT the) (NN courtroom)) (, ,))))))"
[45],"(ROOT (S (ADVP (RB so)) (, ,) (NP (PRP it)) (VP (VBD was) (, ,) (INTJ (UH uh)) (, ,) (S (NP (NP (DT a) (JJ good) (NN thing)) (SBAR (IN that) (, ,) (S (NP (PRP it)) (VP (VBD was) (RB n't) (NP (NP (DT a) (JJ total) (NN waste)) (PP (IN of) (NP (NN time))) (S (VP (TO to) (VP (VB have) (NP (NP (DT a) (JJ hung) (NN jury)) (PP (IN on) (NP (DT a) (NN case)))))))))))) (ADJP (RB that) (NN trivial)))) (. .)))"
[54],"(ROOT (PRN (CC but) (SBAR (RB even) (S (PP (IN in) (PRN (, ,) (INTJ (UH um)) (, ,))) (NP (NP (NP (NN litigation)) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (VP (VBG doing) (NP (NNS lawsuits))))))) (, ,)) (VP (VBZ is) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS times)) (SBAR (WHNP (WDT that)) (S (NP (PRP you)) (ADVP (RB never)) (VP (VBP get) (PP (IN to) (NP (DT the) (NN courtroom))) (NP (PRP itself)))))))))))))"
[59],"(ROOT (S (CC But) (NP (PRP it)) (VP (BES 's) (ADVP (ADVP (NP (DT a) (NN shame)) (IN that)) (PRN (, ,) (INTJ (UH oh)) (, ,))))))"
[60],(ROOT (S (NP (PRP it)) (VP (BES 's) (RB not) (ADJP (RB so) (JJ bad) (PP (IN for) (NP (DT the) (NN court) (NN system)))) (PP (IN because) (NP (NP (DT the) (NN money)) (SBAR (S (NP (EX there)) (VP (VBZ is) (RB n't) (VP (VBG being) (VP (VBN spent)))))))))))
[61],(ROOT (S (CC but) (NP (EX there)) (VP (BES 's) (SBAR (S (NP (NP (JJ awful) (NN lot)) (PP (IN of) (NP (NP (NN money)) (PP (IN in) (NP (NN time) (CC and) (NN effort))))) (VP (VBN spent) (PP (IN in) (S (VP (VBG preparing) (PP (IN for) (NP (NN trial) (RB only))) (PP (TO to))))))) (RB then) (ADVP (RB finally)) (VP (VB get) (ADJP (VBN scared) (RB enough) (PP (IN by) (S (VP (VBG going) (PP (IN to) (NP (DT the) (NN court)))))))))))))
"[56, 58]","(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (NP (DT the) (NN trial)) (PP (IN in) (NP (DT a) (NN sense)))) (, ,) (VP (VBZ is) (ADVP (RB kind) (RB of)) (NP (DT a) (NN threat) (S (VP (TO to) (VP (VB hold) (PP (IN over) (NP (NNS people))) (S (VP (TO to) (VP (VB try) (S (VP (TO to) (VP (VB get) (S (NP (PRP them)) (VP (TO to) (VP (VB reach) (NP (DT an) (NN agreement)) (ADVP (IN out) (PP (IN of) (NP (NN court)))) (, ,) (SBAR (IN because) (S (NP (PRP it)) (VP (VBZ does) (VP (VB cost) (NP (ADJP (RB so) (JJ much)) (NN money))))))))))))))))))))))) (. .)))"
[62],"(ROOT (S (CC and) (ADVP (RB usually)) (NP (PRP it)) (VP (BES 's) (NP (NP (DT the) (NN scare) (NN kind)) (PP (IN of)) (, ,) (PP (IN of) (NP (NP (DT the) (NN jury)) (SBAR (IN because) (S (NP (PRP you)) (ADVP (RB really)) (VP (VBP do) (RB n't) (VP (VB know) (NP (NP (CD one) (NN way)) (CC or) (NP (DT the) (JJ other))) (SBAR (WHADVP (WRB how)) (S (NP (DT that) (NN jury)) (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB feel)))))))))))))))) (. .)))"
[64],(ROOT (S (NP (PRP You)) (VP (MD could) (VP (VB feel) (SBAR (SBAR (IN that) (S (NP (PRP you)) (ADVP (RB really)) (VP (VBP have) (NP (DT a) (ADJP (RB very) (JJ strong)) (NN case))))) (CC and) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP 're) (ADJP (RB very) (RB much) (JJ right))))))))))
[63],(ROOT (INTJ (UH Uh-huh) (. .)))
[65],"(ROOT (S (CC but) (NP (DT the) (NN jury)) (VP (MD may) (CC or) (MD may) (RB not) (VP (VB see) (NP (NP (NP (PRP it)) (NP (DT that) (NN way))) (, ,))))))"
[66],(ROOT (INTJ (UH Sure) (. .)))
"[67, 69]","(ROOT (S (S (ADVP (RB so)) (NP (PRP you)) (VP (VBP get) (ADJP (NP (DT a) (RB little)) (JJ antic)))) (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (S (ADJP (JJ anxious)) (NP (RB there))))) (CC and) (S (S (VP (VBP go) (S (INTJ (UH well)) (, ,) (NP (PRP you)) (VP (VBP know))))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB feel) (ADJP (RB that) (JJ sure)))))))"
[68],(ROOT (INTJ (UH Yeah) (. .)))
[71],"(ROOT (INTJ (UH Yeah) (, ,)))"
[70],"(ROOT (S (CC and) (SBAR (WHNP (WP who)) (S (VP (VBZ knows) (SBAR (WHNP (WP what)) (S (NP (DT the) (NN jury)) (VP (MD will) (VP (VB say) (PP (IN because) (ADVP (RB sometimes)))))))))) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (S (NP (DT the) (NNS juries)) (VP (VBP come) (PRT (RP down)) (PP (IN with) (NP (DT a) (NN result))))) (CC and) (S (NP (PRP you)) (VP (VBP go)))) (, ,)) (NP (UH gee))) (. .)))"
[72],"(ROOT (S (NP (PRP I)) (VP (VBD was) (NP (NP (DT a) (NN witness)) (PP (IN in) (NP (DT a) (NN case)))) (, ,) (PP (IN in) (NP (DT a) (JJ criminal) (NN case)))) (. .)))"
[74],"(ROOT (S (CC And) (NP (PRP it)) (VP (VBD was) (ADVP (RB absolutely)) (VP (VBG horrifying) (PP (IN to) (NP (PRP me))) (SBAR (WHADVP (WRB how)) (S (NP (DT that)) (VP (VBD operated) (SBAR (IN because) (S (NP (ADJP (RB so) (JJ much)) (NN evidence)) (VP (VBD was) (VP (VBN excluded)))))))) (, ,)))))"
[76],(ROOT (PRN (CC and) (SBAR (IN that) (S (NP (DT the) (NN jury)) (VP (VBD was) (ADVP (RB never)) (VP (VBN allowed) (S (VP (TO to) (VP (VB hear))))))))))
[77],"(ROOT (S (CC and) (NP (PRP they)) (VP (VBD convicted) (NP (NP (NP (DT the) (NN defendant)) (, ,) (NP (PRP I)) (, ,)) (PP (IN on) (NP (UCP (ADJP (RB as) (RB far) (SBAR (IN as) (S (NP (PRP I)) (VP (MD could) (VP (VB tell) (, ,) (ADVP (RB very) (NP (JJ flimsy) (NN evidence)))))))) (CC and) (NP (NP (CD two)) (VP (VBN perjured)))) (NNS testimonies))))) (. .)))"
[73],(ROOT (INTJ (UH Uh-huh) (. .)))
[79],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBD knew) (NP (NP (NP (DT the) (NNS people)) (VP (VBN involved))) (, ,) (NP (NP (DT both) (DT the) (NNS people)) (SBAR (WHNP (WP who)) (S (UCP (ADJP (FW d)) (CC and) (NP (NP (DT the) (NNS people)) (SBAR (WHNP (WHNP (WP who)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VBD were) (NP (NNS defendants)))))))))))) (. .)))"
[81],"(ROOT (FRAG (CC And) (NP (, ,))))"
[82],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[80],(ROOT (INTJ (UH Uh-huh) (. .)))
[83],"(ROOT (S (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (VBD was) (NP (NP (RB just) (DT a)) (, ,) (NP (NP (DT a) (JJ horrible) (NN miscarriage)) (PP (IN of) (NP (NN justice))))) (PP (IN because) (NP (QP (IN of) (DT the))))))))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (S (VP (VP (VBG staying) (PP (IN by) (NP (DT the) (JJ absolute) (JJ strict) (NNS rules)))) (CC and) (RB not) (VP (VBG allowing) (NP (NNS things)) (S (VP (TO to) (VP (VB be) (VP (VBN presented) (PP (IN to) (NP (NP (DT the) (NN jury)) (, ,) (SBAR (WHNP (WHNP (WDT that)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VP (VBD were) (ADJP (RB highly) (JJ irrelevant)) (PP (IN to) (NP (DT the) (NN case)))) (CC and) (VP (MD could)) (PRN (, ,) (S (NP (PRP I)) (VP (VBD thought))) (, ,)) (VP (VBP have) (VP (VBN established) (NP (NP (DT the) (NN defendant) (POS 's)) (NN innocence)))))))))))))))) (. .)))"
[85],"(ROOT (S (INTJ (INTJ (RB So)) (, ,) (INTJ (UH uh))) (, ,) (ADVP (PRP I)) (VP (VBP do)) (, ,)))"
[84],(ROOT (INTJ (UH Yeah) (. .)))
[90],"(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (VBZ seems) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS times)) (SBAR (IN that) (S (VP (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (ADVP (RB especially)) (IN in) (NP (NNS criminals))))))))) (SBAR (IN that) (, ,) (S (NP (PRP$ their) (NNS rights)) (VP (VBP are) (ADJP (RB so) (VBN protected)))))))))"
[91],"(ROOT (PRN (CC but) (NP (NP (WP what)) (PP (IN about) (NP (NP (DT the) (NNS rights)) (PP (IN of) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (NN society))))) (, ,))))))"
"[86, 88]","(ROOT (S (SBAR (IN although) (S (S (NP (PRP I)) (VP (VBP 'm) (NP (NP (DT a) (NN lawyer) (POS 's)) (NN daughter)))) (CC and) (S (NP (PRP I)) (VP (VBP have) (NP (NP (NP (NN lawyer)) (NP (NNS 's))) (, ,) (CC and) (NP (NP (NNS judges)) (PP (IN on) (NP (NP (DT both) (NNS sides)) (PP (IN of) (NP (DT the) (NN family)))))) (, ,) (CC and) (NP (NNS uncles)) (CC and) (NP (NP (NNS cousins) (CC and) (NNS things)) (PP (IN like) (NP (DT that))))))))) (, ,) (NP (PRP I)) (ADVP (RB really)) (VP (VBP think) (SBAR (SBAR (IN that) (S (NP (PRP we)) (VP (VBP have) (VP (VBN gotten) (PP (IN into) (NP (NP (RB much)) (, ,) (ADJP (RB too) (JJ legalistic)) (PP (IN of) (NP (NN society))))))))) (CC and) (SBAR (IN that) (S (S (NP (PRP we))) (, ,) (NP (PRP we)) (VP (VBP spend) (ADJP (ADJP (RB far) (RB too) (JJ much) (PP (IN on) (NP (NP (DT the) (JJ fine) (NNS points)) (PP (IN of) (NP (DT the) (NN law)))))) (CC and) (RB far) (ADJP (RB too) (JJ little) (PP (IN on) (S (VP (VBG achieving) (NP (NN justice)))))))))))) (. .)))"
"[92, 94]","(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG protecting) (NP (NP (DT this) (NN person) (POS 's)) (NNS rights) (SBAR (WHNP (WDT who)) (S (VP (VBZ has) (VP (VBN broken) (NP (DT the) (NN law)))))))))) (, ,)) (NP (UH um))) (, ,)))"
[95],"(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBP protect) (S (NP (PRP him)) (ADJP (RB so) (JJ much)))) (, ,))))"
[96],"(ROOT (FRAG (PP (CC but) (NP (NP (WP what)) (PP (IN about) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (DT the) (NN society))))))) (, ,)))"
[97],"(ROOT (S (NP (PRP you)) (VP (VBP know) (, ,) (SBARQ (WHNP (WP what)) (SQ (VBP are) (NP (PRP we)) (VP (VBG doing) (PP (IN for) (NP (PRP them))))))) (, ,)))"
[98],"(ROOT (S (NP (PRP we)) (VP (VBP 're) (ADVP (ADVP (RB kind) (RB of)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (VBG forgetting) (PP (IN about) (NP (PRP them))))))))))))"
[99],"(ROOT (PRN (CC and) (S (, ,) (NP (PRP I)) (VP (VBP think) (ADVP (RB sometimes)) (SBAR (IN that) (S (NP (DT a) (JJ criminal)) (VP (MD should) (ADVP (RB kind) (RB of)))))) (, ,))))"
[93],(ROOT (INTJ (UH Uh-huh) (. .)))
[101],"(ROOT (FRAG (INTJ (UH Well)) (, ,) (PP (CC and) (NP (NP (RB then)) (PP (IN in) (NP (NP (DT a) (NN lot)) (PP (IN of))) (, ,))))))"
[103],"(ROOT (INTJ (UH Yeah) (, ,)))"
[104],"(ROOT (S (PP (IN in) (NP (JJ criminal) (NNS cases))) (, ,) (INTJ (UH uh)) (, ,) (PP (IN for) (NP (NN instance))) (, ,) (NP (PRP you)) (VP (MD ca) (RB n't) (VP (VB bring) (PRT (RP up)) (NP (JJ prior) (NNS convictions)) (SBAR (IN unless) (S (NP (PRP they)) (VP (VBP are) (ADVP (RB somehow)) (ADJP (RB directly) (VBN related) (PP (IN to) (NP (DT the) (NN case))))))))) (. .)))"
"[100, 102]","(ROOT (S (SBAR (IN if) (S (NP (PRP he)) (VP (VBZ breaks) (NP (NP (NN law)) (, ,) (RB especially) (NP (PRP it)))))) (NP (PRP he)) (VP (BES 's) (NP (DT a) (NN repeater)) (PRN (, ,) (S (NP (DT the) (NN law)) (VP (MD should) (RB n't) (ADVP (RB just)) (VP (ADVP (RB always)) (VB cover) (PP (IN for) (NP (PRP him)))))) (, ,)) (SBAR (IN that) (S (NP (NP (DT some)) (PP (IN of) (NP (NP (PRP$ his) (NNS rights)) (IN as)))) (VP (MD should) (VP (VB be) (VP (VBN taken))))))) (. .)))"
[105],"(ROOT (S (CC And) (NP (PRP it)) (VP (VBZ seems) (PP (IN to) (NP (PRP me))) (SBAR (IN that) (S (NP (DT a) (NN jury)) (VP (MD can) (VP (VB make) (NP (DT a) (ADJP (RB much) (RBR more) (JJ rational)) (NN decision)) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP know) (SBAR (S (NP (NN somebody)) (VP (VBD had) (NP (NP (CD fifteen) (NNS convictions)) (PP (IN for) (NP (DT a) (JJ similar) (NN crime)))))))))) (, ,))))))))"
[107],(ROOT (S (PP (XX MUMBLEx) (NP (RB now))) (NP (PRP it)) (VP (BES 's) (ADJP (JJ possible)) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD did) (RB n't) (VP (VB commit) (NP (DT the) (XX MUMBLEx)))))))))
[106],(ROOT (INTJ (UH Yeah) (. .)))
[108],"(ROOT (S (CC but) (, ,) (NP (DT the) (NN likelihood)) (ADVP (RB certainly)) (VP (VBZ tilts) (NP (PRP it))) (. .)))"
[110],(ROOT (FRAG (PP (IN With) (NP (NP (DT a) (NN record)) (PP (IN like) (NP (DT that))))) (. .)))
[109],(ROOT (INTJ (UH Yeah) (. .)))
