conversation_no,talk_day,length,topic_description,prompt,from_caller_sex,from_caller_education,from_caller_birth_year,from_caller_dialect_area,to_caller_sex,to_caller_education,to_caller_birth_year,to_caller_dialect_area,from_caller_id,to_caller_id
19302,911205,342,  shopping for carpets  ,,FEMALE,9,1939,North-east England,UNKNOWN,9,1789,UNK,PS02G,PS6TB
19501,911205,234,  driving to work  ,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
19502,911205,234,  driving to work  ,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
9908,911130,21,Unspecified,,MALE,9,1916,Central south-west England,UNKNOWN,9,1789,UNK,PS1DA,KBAPSUNK
9910,911130,66,Unspecified,,MALE,9,1916,Central south-west England,FEMALE,9,1916,Central south-west England,PS1DA,PS1DB
9911,911130,12,Unspecified,,FEMALE,9,1916,Central south-west England,MALE,9,1916,Central south-west England,PS1DB,PS1DA
10001,911204,43, playing Bingo ,,MALE,9,1916,Central south-west England,FEMALE,9,1916,Central south-west England,PS1DA,PS1DB
10003,911204,16, playing Bingo ,,MALE,9,1916,Central south-west England,FEMALE,9,1916,Central south-west England,PS1DA,PS1DB
10004,911204,51, playing Bingo ,,MALE,9,1916,Central south-west England,FEMALE,9,1916,Central south-west England,PS1DA,PS1DB
10005,911204,12, playing Bingo ,,MALE,9,1916,Central south-west England,FEMALE,9,1916,Central south-west England,PS1DA,PS1DB
10006,911204,11, playing Bingo ,,MALE,9,1916,Central south-west England,FEMALE,9,1916,Central south-west England,PS1DA,PS1DB
14801,911128,21,Unspecified,,FEMALE,9,1971,Home Counties,UNKNOWN,9,1789,UNK,PS0KY,KDBPSUNK
14806,911128,10,Unspecified,,FEMALE,9,1971,Home Counties,UNKNOWN,9,1789,UNK,PS0KY,KDBPSUNK
14809,911129,15,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1971,Home Counties,KDBPSUNK,PS0KY
63602,920204,24, going for a walk ,,UNKNOWN,9,1789,UNK,FEMALE,9,1962,Lancashire,KDFPSUNK,PS0M6
63603,920204,311, coming in from walk ,,FEMALE,9,1962,Lancashire,MALE,9,1982,Lancashire,PS0M6,PS0M8
66401,920130,104,  helping son with homework  ,,MALE,9,1982,Scottish,FEMALE,9,1952,Scottish,PS148,PS147
66404,920131,284,  with children  ,,FEMALE,9,1952,Scottish,FEMALE,9,1982,Scottish,PS147,PS14A
4804,910531,214,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0E9,PS0E8
4806,910531,82,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0EA
4809,910531,81,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0EA
4811,910531,35,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
4812,910531,26,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0E9,PS0E8
4814,910531,46,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
4815,910531,34,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
4816,910531,118,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
4818,910531,24,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
4905,910531,30,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
4910,910531,36,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
4911,910531,648,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
4913,910531,28,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
5002,910601,111,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1981,Home Counties,PS6ST,PS0E9
5011,910601,61,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0EA,PS0E8
5013,910601,87,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0E9,PS0E8
5101,910601,136,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0E9,PS0E8
5108,910601,122,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5109,910601,223,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5110,910601,43,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
5111,910601,51,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0EA
5201,910601,96,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5202,910601,38,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5203,910601,26,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
5204,910601,61,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5205,910601,25,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5206,910601,112,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5207,910601,36,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5208,910601,197,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5209,910601,105,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5210,910601,284,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5211,910601,36,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5212,910601,68,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5213,910601,28,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5214,910601,207,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5215,910601,46,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5216,910601,45,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5217,910601,54,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5219,910601,72,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5220,910601,113,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
5306,910601,375,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0EA,PS0E8
5307,910601,87,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0EA
5308,910601,78,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0EA,PS0E8
5309,910601,71,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0EA
5311,910601,100,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5312,910601,48,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5313,910601,94,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5314,910601,39,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
5315,910601,34,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
5401,910601,176,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
5403,910601,95,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
5404,910601,142,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
5405,910601,48,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
59505,920131,332, relaxing and having a cigarette ,,FEMALE,9,1940,North-east England,FEMALE,9,1940,Central Northern England,PS59B,PS59C
59601,010101,0,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1789,North-east England,KR0PSUNK,PS59B
33601,920221,1771,  reading and talking  ,,FEMALE,9,1962,Home Counties,MALE,9,1962,North-east England,PS052,PS051
33602,920221,83,  reading and talking  ,,MALE,9,1962,North-east England,FEMALE,9,1962,Home Counties,PS051,PS052
132405,010101,69,Unspecified,,MALE,9,1789,London,MALE,9,1789,London,PS57T,PS57V
132406,010101,14,Unspecified,,MALE,9,1789,London,UNKNOWN,9,1789,UNK,PS57T,KPTPSUNK
135003,010101,0,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1789,London,PS6U2,PS54G
135004,010101,0,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1789,London,PS6U2,PS54G
23401,920314,0, eating ,,FEMALE,9,1952,Irish,MALE,9,1940,UNK,PS0F9,PS0F8
23404,920314,0, eating ,,MALE,9,1940,UNK,FEMALE,9,1952,Irish,PS0F8,PS0F9
23405,920314,0, eating ,,MALE,9,1940,UNK,FEMALE,9,1952,Irish,PS0F8,PS0F9
23407,920314,0, eating ,,MALE,9,1940,UNK,FEMALE,9,1952,Irish,PS0F8,PS0F9
23409,920316,0, general talk in kitchen area ,,MALE,9,1972,UNK,MALE,9,1940,UNK,PS0FA,PS0F8
23410,920316,0, general talk in kitchen area ,,MALE,9,1972,UNK,MALE,9,1940,UNK,PS0FA,PS0F8
23412,920316,0, walking up a hill? ,,UNKNOWN,9,1789,UNK,MALE,9,1940,UNK,KCLPSUNK,PS0F8
23601,920314,248, cleaning and cleaning ,,FEMALE,9,1952,Irish,MALE,9,1940,UNK,PS0F9,PS0F8
23702,920319,448, driving back from shopping ,,MALE,9,1940,UNK,MALE,9,1972,UNK,PS0F8,PS0FA
132201,931012,179,Unspecified,,FEMALE,9,1973,London,MALE,9,1963,London,PS6PC,PS6PD
132205,931016,321,  working  ,,FEMALE,9,1973,London,MALE,9,1963,London,PS6PC,PS6PD
43311,920222,0, talking ,,MALE,9,1972,UNK,UNKNOWN,9,1789,UNK,PS1BY,PS1K3
43313,920222,0, talking ,,UNKNOWN,9,1789,UNK,MALE,9,1972,UNK,PS1K3,PS1BY
43314,920222,0, talking ,,UNKNOWN,9,1789,UNK,MALE,9,1972,UNK,PS1K3,PS1BY
43315,920221,0, talking ,,MALE,9,1972,UNK,UNKNOWN,9,1789,UNK,PS1BY,PS1C0
43404,920227,0, talking ,,UNKNOWN,9,1789,UNK,MALE,9,1972,UNK,PS1K4,PS1BY
43405,920227,0, talking ,,MALE,9,1972,UNK,UNKNOWN,9,1789,UNK,PS1BY,PS1C0
43406,920227,0, talking ,,MALE,9,1972,UNK,UNKNOWN,9,1789,UNK,PS1BY,PS1C0
43407,920227,0, eating ,,MALE,9,1972,UNK,UNKNOWN,9,1789,UNK,PS1BY,PS1K2
43408,920227,0, talking ,,MALE,9,1972,UNK,UNKNOWN,9,1789,UNK,PS1BY,PS1K5
141002,010101,0,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1789,UNK,KNWPSUNK,PS4YM
29201,920315,225, having breakfast ,,MALE,9,1917,UNK,MALE,9,1940,London,PS007,PS006
29203,920316,2313, installing computor ,,FEMALE,9,1940,Welsh,MALE,9,1917,UNK,PS003,PS007
53204,920115,0,Unspecified,,MALE,9,1962,Welsh,MALE,9,1972,Welsh,PS11M,PS0FE
36001,9102,0,Unspecified,,MALE,9,1789,Home Counties,FEMALE,9,1789,Home Counties,PS069,PS10D
36002,9102,0,Unspecified,,FEMALE,9,1789,Home Counties,MALE,9,1789,Home Counties,PS10D,PS069
35602,9203,0,Unspecified,,FEMALE,9,1982,UNK,MALE,9,1952,Scottish,PS0KT,PS0KP
35605,9203,0,Unspecified,,MALE,9,1982,UNK,MALE,9,1952,Scottish,PS0KS,PS0KP
35606,9203,0,Unspecified,,FEMALE,9,1982,UNK,MALE,9,1952,Scottish,PS0KT,PS0KP
35702,9203,0,Unspecified,,MALE,9,1952,Scottish,FEMALE,9,1952,UNK,PS0KP,PS0KR
35707,9203,0,Unspecified,,FEMALE,9,1952,UNK,MALE,9,1952,Scottish,PS0KR,PS0KP
61605,920130,0, watching television ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J1,PS0J7
61607,920130,0, watching television ,,FEMALE,9,1940,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J4,PS0J1
61612,010101,0, computer class ,,FEMALE,9,1789,Central Northern England,UNKNOWN,9,1789,UNK,PS0J1,KD2PSUNK
61613,920130,0, watching television ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J1,PS0J7
61801,920202,0, reading a letter and making plans to go to America ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J1,PS0J7
61802,920202,0, reading a letter and making plans to go to America ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J7,PS0J1
61803,920202,0, reading a letter and making plans to go to America ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J7,PS0J1
61804,920202,0, reading a letter and making plans to go to America ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J7,PS0J1
61808,920202,0, reading a letter and making plans to go to America ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J1,PS0J7
15001,911128,21,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
15003,911128,198,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
15006,911128,66,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
15007,911128,24,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
15010,911128,38,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
15011,911128,39,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
15012,911128,18,Unspecified,,FEMALE,9,1981,London,FEMALE,9,1961,London,PS04X,PS04U
15013,911128,114,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
15014,911128,43,Unspecified,,FEMALE,9,1981,London,FEMALE,9,1961,London,PS04X,PS04U
15021,911128,103,Unspecified,,FEMALE,9,1961,London,MALE,9,1951,London,PS04U,PS04V
15101,911129,1285,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15102,911129,1056,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
15103,911129,644,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15104,911129,385,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15105,911129,1410,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
15202,911129,46,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
15204,911129,37,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
15206,911129,40,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15208,911129,14,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15210,911129,494,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15301,911129,76,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15302,911129,205,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15304,911129,2727,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15401,911130,593,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15402,911130,1281,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
15403,911130,786,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15404,911130,115,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15405,911130,315,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
15502,911129,34,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
15504,911129,813,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
15505,911129,65,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
15509,911129,1207,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15601,911129,146,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15602,911129,347,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
15603,911129,256,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15604,911129,73,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15605,911129,581,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15606,911129,96,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15607,911129,65,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
15608,911129,327,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
15804,911201,30,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
15902,911204,99,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
15903,911204,842,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
15905,911204,54,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
15907,911204,42,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
15908,911204,95,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
15910,911204,26,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
15912,911204,486,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
140703,93,310,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1983,London,KP3PSUNK,PS51F
60302,920201,38,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1962,Central Northern England,KBTPSUNK,PS07E
60303,920201,16,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1962,Central Northern England,KBTPSUNK,PS07E
73101,920403,78, in staff room ,,FEMALE,9,1952,North-west Midlands,UNKNOWN,9,1789,UNK,PS1AT,KCKPSUNK
73107,920403,87, teaching lesson ,,FEMALE,9,1952,North-west Midlands,UNKNOWN,9,1789,UNK,PS1AT,KCKPSUNK
49203,920112,1698,  having breakfast  ,,MALE,9,1917,Central Midlands,FEMALE,9,1917,Central Midlands,PS03S,PS03T
49204,920112,647,  filling in scrap photo album  ,,FEMALE,9,1917,Central Midlands,MALE,9,1917,Central Midlands,PS03T,PS03S
49205,920112,0,  preparing breakfast  ,,FEMALE,9,1917,Central Midlands,MALE,9,1917,Central Midlands,PS03T,PS03S
49206,920112,0,  filling in scrap photo album  ,,FEMALE,9,1917,Central Midlands,MALE,9,1917,Central Midlands,PS03T,PS03S
49402,920112,16,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1917,Central Midlands,KBBPSUNK,PS03S
49501,920113,2663,  having a late lunch and later having tea  ,,FEMALE,9,1917,Central Midlands,MALE,9,1917,Central Midlands,PS03T,PS03S
35201,920220,0, visiting friends ,,MALE,9,1972,Central south-west England,UNKNOWN,9,1789,UNK,PS0X2,KE5PSUNK
35202,920220,0, visiting friends ,,MALE,9,1972,Central south-west England,UNKNOWN,9,1789,UNK,PS0X2,KE5PSUNK
69401,920403,500,  talking with husband  ,,MALE,9,1940,North-east England,FEMALE,9,1940,Central Northern England,PS14C,PS14B
69402,920404,1573,  talking with husband  ,,FEMALE,9,1940,Central Northern England,MALE,9,1940,North-east England,PS14B,PS14C
69502,920404,120,  preparing dinner  ,,FEMALE,9,1940,Central Northern England,MALE,9,1940,North-east England,PS14B,PS14C
69503,920404,1237,  eating dinner  ,,FEMALE,9,1940,Central Northern England,MALE,9,1940,North-east England,PS14B,PS14C
69701,920404,241,  taking parcel to neighbour  ,,FEMALE,9,1952,North-east England,FEMALE,9,1940,Central Northern England,PS166,PS14B
69702,920404,2554,  talking with husband  ,,FEMALE,9,1940,Central Northern England,MALE,9,1940,North-east England,PS14B,PS14C
69801,920405,163,  husband leaving for work  ,,MALE,9,1940,North-east England,FEMALE,9,1940,Central Northern England,PS14C,PS14B
70002,920406,36,  going to school  ,,FEMALE,9,1940,Central Northern England,MALE,9,1982,North-east England,PS14B,PS16H
70202,920403,89,Unspecified,,FEMALE,9,1940,Central Northern England,MALE,9,1940,North-east England,PS14B,PS14C
70203,920403,133,Unspecified,,FEMALE,9,1940,Central Northern England,MALE,9,1940,North-east England,PS14B,PS14C
16106,911130,116, shopping ,,FEMALE,9,1971,London,FEMALE,9,1951,Upper south-west England,PS0NX,PS0P0
16202,911205,26,Unspecified,,FEMALE,9,1971,London,UNKNOWN,9,1789,UNK,PS0NX,KDLPSUNK
16204,911205,300,Unspecified,,FEMALE,9,1971,London,UNKNOWN,9,1789,UNK,PS0NX,KDLPSUNK
16205,911205,50,Unspecified,,FEMALE,9,1971,London,UNKNOWN,9,1789,UNK,PS0NX,KDLPSUNK
16206,911205,406,Unspecified,,FEMALE,9,1971,London,UNKNOWN,9,1789,UNK,PS0NX,KDLPSUNK
16302,911205,30,Unspecified,,FEMALE,9,1971,London,FEMALE,9,1916,Upper south-west England,PS0NX,PS0NY
20202,911202,194,  having tea  ,,FEMALE,9,1951,East Anglian,MALE,9,1981,East Anglian,PS0FP,PS0FR
20205,911203,266,  talking with son after school  ,,FEMALE,9,1951,East Anglian,MALE,9,1981,East Anglian,PS0FP,PS0FR
20206,911203,555,  talking with son  ,,MALE,9,1981,East Anglian,FEMALE,9,1951,East Anglian,PS0FR,PS0FP
20302,911203,2385,  talking  ,,MALE,9,1951,East Anglian,FEMALE,9,1951,East Anglian,PS0FS,PS0FP
20304,911203,183,  getting ready to go to school  ,,FEMALE,9,1951,East Anglian,MALE,9,1981,East Anglian,PS0FP,PS0FR
