69801,"(0,)",Mustn 't forget these .,"[Mustn/JJ, 't/PRP, forget/VB, these/DT, ./.]",(ROOT (S (ADJP (JJ Mustn) (SBAR (S (NP (PRP 't)) (VP (VB forget) (NP (DT these)))))) (. .)))
69801,"(11,)","it 's proper name 's erm , er Schefflera","[it/PRP, 's/VBZ, proper/JJ, name/NN, 's/POS, erm/NN, ,/,, er/NN, Schefflera/NN]","(ROOT (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (NP (JJ proper) (NN name) (POS 's)) (NN erm)) (, ,) (NP (NN er) (NN Schefflera))))))"
69801,"(12,)",Schefflera,[Schefflera/NN],(ROOT (NP (NN Schefflera)))
69801,"(13,)",Schefflera something like that,"[Schefflera/NN, something/NN, like/IN, that/DT]",(ROOT (NP (NP (NN Schefflera) (NN something)) (PP (IN like) (NP (DT that)))))
69801,"(14,)","so those have been getting plenty of sunshine , light","[so/IN, those/DT, have/VBP, been/VBN, getting/VBG, plenty/NN, of/IN, sunshine/NN, ,/,, light/NN]","(ROOT (SBAR (IN so) (S (NP (DT those)) (VP (VBP have) (VP (VBN been) (VP (VBG getting) (NP (NP (NN plenty)) (PP (IN of) (NP (NP (NN sunshine)) (, ,) (NP (NN light)))))))))))"
69801,"(15,)",Yes,[Yes/UH],(ROOT (INTJ (UH Yes)))
69801,"(16,)",and those haven 't,"[and/CC, those/DT, haven/NN, 't/PRP]",(ROOT (PRN (CC and) (NP (NP (DT those) (NN haven)) (NP (PRP 't)))))
69801,"(17,)","if it 's been standing on the floor though , only the top leaves would , I don 't know what to do about having it there though , that 's right above the radiator , it 'll dry it out that 's , that 's why I said","[if/IN, it/PRP, 's/VBZ, been/VBN, standing/VBG, on/IN, the/DT, floor/NN, though/RB, ,/,, only/RB, the/DT, top/JJ, leaves/NNS, would/MD, ,/,, I/PRP, don/VBP, 't/PRP, know/VB, what/WP, to/TO, do/VB, about/IN, having/VBG, it/PRP, there/EX, though/IN, ,/,, that/DT, 's/VBZ, right/RB, above/IN, the/DT, radiator/NN, ,/,, it/PRP, 'll/MD, dry/VB, it/PRP, out/RP, that/DT, 's/VBZ, ,/,, that/DT, 's/VBZ, why/WRB, I/PRP, said/VBD]","(ROOT (S (SBAR (IN if) (S (NP (PRP it)) (VP (VBZ 's) (VP (VBN been) (VP (VBG standing) (PP (IN on) (NP (DT the) (NN floor))) (ADVP (RB though)) (, ,) (SBAR (RB only) (S (NP (DT the) (JJ top) (NNS leaves)) (VP (MD would))))))))) (, ,) (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB know) (S (SBAR (WHNP (WP what)) (S (VP (TO to) (VP (VB do) (PP (IN about) (S (VP (VBG having) (S (NP (PRP it)) (NP (EX there)) (SBAR (IN though) (PRN (, ,) (S (NP (DT that)) (VP (VBZ 's) (ADVP (RB right)) (PP (IN above) (NP (DT the) (NN radiator))))) (, ,)) (S (NP (PRP it)) (VP (MD 'll) (VP (VB dry) (NP (PRP it)) (PRT (RP out)))))))))))))) (NP (DT that)) (VP (VBZ 's) (, ,) (SBAR (S (NP (DT that)) (VP (VBZ 's) (SBAR (WHADVP (WRB why)) (S (NP (PRP I)) (VP (VBD said))))))))))))))"
69801,"(18,)",Well that 's where the first one was,"[Well/RB, that/DT, 's/VBZ, where/WRB, the/DT, first/JJ, one/CD, was/VBD]",(ROOT (FRAG (ADVP (RB Well)) (SBAR (WHNP (DT that)) (S (VP (VBZ 's) (SBAR (WHADVP (WRB where)) (S (NP (DT the) (JJ first) (CD one)) (VP (VBD was)))))))))
69801,"(19,)",do you think we should stand it on some gravel in the saucer there 's plenty of gravel,"[do/VB, you/PRP, think/VB, we/PRP, should/MD, stand/VB, it/PRP, on/IN, some/DT, gravel/NN, in/IN, the/DT, saucer/NN, there/EX, 's/VBZ, plenty/NN, of/IN, gravel/NN]",(ROOT (S (VP (VB do) (S (NP (PRP you)) (VP (VB think) (SBAR (S (NP (PRP we)) (VP (MD should) (VP (VB stand) (NP (PRP it)) (PP (IN on) (NP (NP (DT some) (NN gravel)) (PP (IN in) (NP (NP (DT the) (NN saucer)) (SBAR (S (NP (EX there)) (VP (VBZ 's) (NP (NP (NN plenty)) (PP (IN of) (NP (NN gravel))))))))))))))))))))
69801,"(20,)",You can do you can do,"[You/PRP, can/MD, do/VB, you/PRP, can/MD, do/VB]",(ROOT (S (NP (PRP You)) (VP (MD can) (VP (VB do) (SBAR (S (NP (PRP you)) (VP (MD can) (VP (VB do)))))))))
69801,"(21,)","oh I 'll go and put some in after , when you 've gone to work","[oh/UH, I/PRP, 'll/MD, go/VB, and/CC, put/VB, some/DT, in/IN, after/IN, ,/,, when/WRB, you/PRP, 've/VBP, gone/VBN, to/TO, work/VB]","(ROOT (NP (S (S (INTJ (UH oh)) (NP (PRP I)) (VP (MD 'll) (VP (VB go)))) (CC and) (S (S (VP (VB put) (NP (NP (DT some)) (PP (IN in) (NP (IN after)))) (, ,) (NP (WRB when)))) (NP (PRP you)) (VP (VBP 've) (VP (VBN gone) (S (VP (TO to) (VP (VB work))))))))))"
69801,"(22,)","but that 's where the other one , that first one stood , remember when you first got it ?","[but/CC, that/DT, 's/VBZ, where/WRB, the/DT, other/JJ, one/CD, ,/,, that/WDT, first/RB, one/CD, stood/VBD, ,/,, remember/VB, when/WRB, you/PRP, first/RB, got/VBD, it/PRP, ?/.]","(ROOT (S (CC but) (NP (DT that)) (VP (VBZ 's) (SBAR (WHADVP (WRB where)) (S (NP (NP (DT the) (JJ other) (CD one)) (, ,) (SBAR (WHNP (WDT that)) (S (NP (RB first) (CD one)) (VP (VBD stood)))) (, ,)) (VP (VB remember) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (ADVP (RB first)) (VP (VBD got) (NP (PRP it))))))))) (. ?)))"
69801,"(23, 24)","Yes , but when we first got it the radiator wasn 't on  it was the summer time","[Yes/UH, ,/,, but/CC, when/WRB, we/PRP, first/RB, got/VBD, it/PRP, the/DT, radiator/NN, wasn/NN, 't/PRP, on/IN, it/PRP, was/VBD, the/DT, summer/NN, time/NN]","(ROOT (S (INTJ (UH Yes)) (, ,) (NP (CC but)) (ADVP (WRB when)) (VP (VP (ADVP (PRP we)) (ADVP (RB first)) (VBD got) (NP (PRP it))) (NP (NP (DT the) (NN radiator) (NN wasn)) (SBAR (S (NP (NP (PRP 't)) (PP (IN on) (NP (PRP it)))) (VP (VBD was) (NP (DT the) (NN summer) (NN time)))))))))"
69801,"(25,)",Oh,[Oh/UH],(ROOT (INTJ (UH Oh)))
69801,"(26, 27)",it was erm  it was bought for us in July ah July,"[it/PRP, was/VBD, erm/NN, it/PRP, was/VBD, bought/VBN, for/IN, us/PRP, in/IN, July/NNP, ah/NN, July/NNP]",(ROOT (S (NP (PRP it)) (VP (VBD was) (NP (NP (NN erm)) (SBAR (S (NP (PRP it)) (VP (VBD was) (VP (VBN bought) (PP (IN for) (NP (PRP us))) (PP (IN in) (NP (NNP July) (NN ah) (NNP July)))))))))))
69801,"(28,)",oh  ,[oh/UH],(ROOT (INTJ (UH oh)))
69801,"(29,)",can 't remember which July,"[can/MD, 't/PRP, remember/VB, which/WDT, July/NNP]",(ROOT (SINV (MD can) (NP (PRP 't)) (VP (VB remember) (S (NP (WDT which)) (NP (NNP July))))))
69801,"(30,)",well it still lived on there all the time,"[well/RB, it/PRP, still/RB, lived/VBD, on/IN, there/EX, all/PDT, the/DT, time/NN]",(ROOT (ADJP (RB well) (SBAR (S (NP (PRP it)) (ADVP (RB still)) (VP (VBD lived) (PP (IN on) (NP (EX there))) (NP (PDT all) (DT the) (NN time)))))))
69801,"(31,)","It didn 't , we took it in the front room","[It/PRP, didn/VBD, 't/PRP, ,/,, we/PRP, took/VBD, it/PRP, in/IN, the/DT, front/JJ, room/NN]","(ROOT (S (NP (PRP It)) (VP (VBD didn) (NP (PRP 't)) (, ,) (S (NP (PRP we)) (VP (VBD took) (NP (PRP it)) (PP (IN in) (NP (DT the) (JJ front) (NN room))))))))"
69801,"(32,)","there it is Schefflera ,Scheff-  S C H E F F L E R A ","[there/EX, it/PRP, is/VBZ, Schefflera/NN, ,Scheff-/JJ, S/NNS, C/NN, H/NN, E/NN, F/NN, F/NN, L/NN, E/NN, R/NN, A/DT]","(ROOT (FRAG (NP (NP (EX there)) (SBAR (S (NP (PRP it)) (VP (VBZ is) (NP (NP (NN Schefflera) (JJ ,Scheff-) (NNS S)) (NP (NP (NN C) (NN H) (NN E) (NN F) (NN F) (NN L) (NN E)) (NP (NN R) (DT A))))))))))"
69801,"(33,)",I said I thought it was that,"[I/PRP, said/VBD, I/PRP, thought/VBD, it/PRP, was/VBD, that/IN]",(ROOT (S (NP (PRP I)) (VP (VBD said) (SBAR (S (NP (PRP I)) (VP (VBD thought) (SBAR (S (NP (PRP it)) (VP (VBD was) (ADJP (IN that)))))))))))
69801,"(34, 35)",Schefflera  well I 'd put that along in case it   that,"[Schefflera/NNP, well/RB, I/PRP, 'd/MD, put/VB, that/DT, along/IN, in/IN, case/NN, it/PRP, that/IN]",(ROOT (FRAG (NP (NNP Schefflera)) (ADJP (RB well) (SBAR (S (NP (PRP I)) (VP (MD 'd) (VP (VB put) (S (NP (DT that)) (ADVP (IN along) (PP (IN in) (NP (NN case)))) (NP (PRP it))) (ADVP (IN that)))))))))
69801,"(36,)",Why ?,"[Why/WRB, ?/.]",(ROOT (FRAG (WRB Why) (. ?)))
69801,"(37,)",Cos that came out of the old one,"[Cos/NN, that/WDT, came/VBD, out/IN, of/IN, the/DT, old/JJ, one/CD]",(ROOT (NP (NP (NP (NN Cos)) (SBAR (WHNP (WDT that)) (S (VP (VBD came) (PRT (IN out)))))) (PP (IN of) (NP (DT the) (JJ old) (CD one)))))
69801,"(38,)",Well put it on the draining board and I 'll wash it and then put it back,"[Well/RB, put/VB, it/PRP, on/IN, the/DT, draining/VBG, board/NN, and/CC, I/PRP, 'll/MD, wash/VB, it/PRP, and/CC, then/RB, put/VBD, it/PRP, back/RB]",(ROOT (S (ADVP (RB Well)) (VP (VB put) (NP (PRP it)) (PP (IN on) (NP (NP (DT the) (ADJP (VBG draining)) (NN board)) (CC and) (NP (NP (PRP I)) (SBAR (S (VP (VP (MD 'll) (VP (VB wash) (NP (PRP it)))) (CC and) (VP (ADVP (RB then)) (VBD put) (NP (PRP it)) (PRT (RB back))))))))))))
69801,"(39,)","Right , I 'll see ya tonight","[Right/NN, ,/,, I/PRP, 'll/MD, see/VB, ya/PRP, tonight/RB]","(ROOT (S (ADVP (NN Right)) (, ,) (NP (PRP I)) (VP (MD 'll) (VP (VB see) (NP (PRP ya)) (NP (RB tonight))))))"
69801,"(40,)","Mhm , mhm","[Mhm/NNP, ,/,, mhm/NNP]","(ROOT (NP (NP (NNP Mhm)) (, ,) (NP (NNP mhm))))"
69801,"(41,)",Tarrah,[Tarrah/NNP],(ROOT (NP (NNP Tarrah)))
69801,"(42,)","mm , bye","[mm/NN, ,/,, bye/NN]","(ROOT (NP (NP (NN mm)) (, ,) (NP (NN bye))))"
