2331,"(0,)","Thank you , now er .","[Thank/VB, you/PRP, ,/,, now/RB, er/NN, ./.]","(ROOT (S (VP (VP (VB Thank) (NP (PRP you))) (, ,) (NP (ADVP (RB now)) (NN er))) (. .)))"
2331,"(14,)",Have a lavish party   instead of a,"[Have/VB, a/DT, lavish/JJ, party/NN, instead/RB, of/IN, a/DT]",(ROOT (S (VP (VB Have) (NP (NP (DT a) (JJ lavish) (NN party)) (PP (RB instead) (IN of) (NP (DT a)))))))
2331,"(15,)",July twenty seventh .,"[July/NNP, twenty/CD, seventh/JJ, ./.]",(ROOT (S (NP (NNP July)) (ADJP (CD twenty) (JJ seventh)) (. .)))
2331,"(16,)",June .,"[June/NNP, ./.]",(ROOT (FRAG (NP (NNP June)) (. .)))
2331,"(17,)",What are you going to celebrate then ?,"[What/WP, are/VBP, you/PRP, going/VBG, to/TO, celebrate/VB, then/RB, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (PRP you)) (VP (VBG going) (S (VP (TO to) (VP (VB celebrate) (ADVP (RB then))))))) (. ?)))
2331,"(18,)",That all my reports will be done .,"[That/IN, all/DT, my/PRP$, reports/NNS, will/MD, be/VB, done/VBN, ./.]",(ROOT (FRAG (SBAR (IN That) (S (NP (DT all) (PRP$ my) (NNS reports)) (VP (MD will) (VP (VB be) (VP (VBN done)))))) (. .)))
2331,"(19,)",,[],X
2331,"(20,)",Then that 's all I 've got to do is my records then .,"[Then/RB, that/DT, 's/VBZ, all/DT, I/PRP, 've/VBP, got/VBN, to/TO, do/VB, is/VBZ, my/PRP$, records/NNS, then/RB, ./.]",(ROOT (S (RB Then) (NP (DT that)) (VP (VBZ 's) (NP (NP (DT all)) (SBAR (S (NP (PRP I)) (VP (VBP 've) (VP (VBN got) (S (VP (TO to) (VP (VB do) (SBAR (S (VP (VBZ is) (NP (PRP$ my) (NNS records)) (ADVP (RB then)))))))))))))) (. .)))
2331,"(21,)",Who you going to invite to the lunch party ?,"[Who/WP, you/PRP, going/VBG, to/TO, invite/VB, to/TO, the/DT, lunch/NN, party/NN, ?/.]",(ROOT (SBARQ (WHNP (WHNP (WP Who)) (NP (PRP you))) (SQ (VP (VBG going) (S (VP (TO to) (VP (VB invite) (PP (TO to) (NP (DT the) (NN lunch) (NN party)))))))) (. ?)))
2331,"(22,)",,[],X
2331,"(23,)",Anybody else completed their reports ?,"[Anybody/NN, else/RB, completed/VBD, their/PRP$, reports/NNS, ?/.]",(ROOT (S (NP (NN Anybody) (RB else)) (VP (VBD completed) (NP (PRP$ their) (NNS reports))) (. ?)))
2331,"(24,)",What on all the staff you mean ?,"[What/WDT, on/IN, all/PDT, the/DT, staff/NN, you/PRP, mean/VB, ?/.]",(ROOT (SBARQ (WHNP (WHNP (WDT What)) (PP (IN on) (NP (PDT all) (DT the) (NN staff)))) (SQ (NP (PRP you)) (VP (VB mean))) (. ?)))
2331,"(25,)","Did I tell you , I mentioned to er Ray about Phil  > and he remembered him .","[Did/VBD, I/PRP, tell/VBP, you/PRP, ,/,, I/PRP, mentioned/VBD, to/TO, er/NN, Ray/NNP, about/IN, Phil/NNP, >/JJR, and/CC, he/PRP, remembered/VBD, him/PRP, ./.]","(ROOT (S (S (VP (VBD Did) (SBAR (S (NP (PRP I)) (VP (VBP tell) (NP (PRP you))))))) (, ,) (NP (PRP I)) (VP (VBD mentioned) (PP (TO to) (NP (NN er))) (SBAR (S (S (NP (NP (NNP Ray)) (PP (IN about) (NP (NNP Phil)))) (ADJP (JJR >))) (CC and) (S (NP (PRP he)) (VP (VBD remembered) (NP (PRP him))))))) (. .)))"
2331,"(26,)",Yes I think you did .,"[Yes/UH, I/PRP, think/VBP, you/PRP, did/VBD, ./.]",(ROOT (S (S (INTJ (UH Yes)) (NP (PRP I)) (VP (VBP think))) (NP (PRP you)) (VP (VBD did)) (. .)))
2331,"(27,)","Some conference in Eastbourne , or whatever .","[Some/DT, conference/NN, in/IN, Eastbourne/NNP, ,/,, or/CC, whatever/WDT, ./.]","(ROOT (FRAG (NP (NP (DT Some) (NN conference)) (PP (IN in) (NP (NNP Eastbourne)))) (, ,) (PP (CC or) (NP (WDT whatever))) (. .)))"
2331,"(28,)","You ought to remember him from Becksley , surely ","[You/PRP, ought/MD, to/TO, remember/VB, him/PRP, from/IN, Becksley/NNP, ,/,, surely/RB]","(ROOT (S (NP (PRP You)) (VP (MD ought) (S (VP (TO to) (VP (VB remember) (NP (PRP him)) (PP (IN from) (NP (NNP Becksley))) (, ,) (ADVP (RB surely))))))))"
2331,"(29,)","Well they didn 't teach in the same place , so why should they ?","[Well/RB, they/PRP, didn/VBP, 't/PRP, teach/VB, in/IN, the/DT, same/JJ, place/NN, ,/,, so/RB, why/WRB, should/MD, they/PRP, ?/.]","(ROOT (S (ADVP (RB Well)) (NP (PRP they)) (VP (VBP didn) (S (NP (PRP 't)) (VP (VB teach) (PP (IN in) (NP (DT the) (JJ same) (NN place))))) (, ,) (SBAR (RB so) (WHADVP (WRB why)) (S (VP (MD should) (VP (NP (PRP they))))))) (. ?)))"
2331,"(30,)",True .,"[True/JJ, ./.]",(ROOT (FRAG (ADVP (JJ True)) (. .)))
2331,"(31,)","Erm , I mean , they , they met occasionally , but er , no particular reason to remember .","[Erm/NN, ,/,, I/PRP, mean/VBP, ,/,, they/PRP, ,/,, they/PRP, met/VBD, occasionally/RB, ,/,, but/CC, er/NN, ,/,, no/DT, particular/JJ, reason/NN, to/TO, remember/VB, ./.]","(ROOT (S (NP (NN Erm)) (, ,) (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (S (NP (PRP they)) (, ,) (NP (PRP they)) (VP (VBD met) (ADVP (RB occasionally)))) (, ,)) (PP (CC but) (NP (NN er))) (, ,) (NP (DT no) (JJ particular) (NN reason) (S (VP (TO to) (VP (VB remember)))))) (. .)))"
2331,"(32,)","I had quite a good chat with Ray the other day , yes , eh .","[I/PRP, had/VBD, quite/RB, a/DT, good/JJ, chat/NN, with/IN, Ray/NNP, the/DT, other/JJ, day/NN, ,/,, yes/UH, ,/,, eh/UH, ./.]","(ROOT (S (S (NP (PRP I)) (VP (VBD had) (NP (NP (RB quite) (DT a) (JJ good) (NN chat)) (PP (IN with) (NP (NNP Ray)))) (NP (DT the) (JJ other) (NN day)))) (, ,) (FRAG (INTJ (UH yes) (, ,) (UH eh))) (. .)))"
2331,"(33,)","Paul looks better , I seen him rushing down the road at great speed to catch the train , not looking as white as he was a few months ago .","[Paul/NNP, looks/VBZ, better/RBR, ,/,, I/PRP, seen/VBD, him/PRP, rushing/VBG, down/RP, the/DT, road/NN, at/IN, great/JJ, speed/NN, to/TO, catch/VB, the/DT, train/NN, ,/,, not/RB, looking/VBG, as/IN, white/JJ, as/IN, he/PRP, was/VBD, a/DT, few/JJ, months/NNS, ago/RB, ./.]","(ROOT (S (S (NP (NNP Paul)) (VP (VBZ looks) (ADVP (RBR better)))) (, ,) (NP (PRP I)) (VP (VBD seen) (S (NP (PRP him)) (VP (VP (VBG rushing) (PRT (RP down)) (NP (NP (DT the) (NN road)) (PP (IN at) (NP (JJ great) (NN speed)))) (S (VP (TO to) (VP (VB catch) (NP (DT the) (NN train)))))) (, ,) (RB not) (VP (VBG looking) (PP (IN as) (ADJP (JJ white))) (SBAR (IN as) (S (NP (PRP he)) (VP (VBD was) (ADVP (NP (DT a) (JJ few) (NNS months)) (RB ago))))))))) (. .)))"
2331,"(34,)",Really ?,"[Really/RB, ?/.]",(ROOT (FRAG (ADVP (RB Really)) (. ?)))
2331,"(35,)",In fact he 's getting over his illness .,"[In/IN, fact/NN, he/PRP, 's/VBZ, getting/VBG, over/IN, his/PRP$, illness/NN, ./.]",(ROOT (S (PP (IN In) (NP (NN fact))) (NP (PRP he)) (VP (VBZ 's) (VP (VBG getting) (PP (IN over) (NP (PRP$ his) (NN illness))))) (. .)))
2331,"(36,)",Do you think it was genuine ?,"[Do/VB, you/PRP, think/VB, it/PRP, was/VBD, genuine/JJ, ?/.]",(ROOT (SQ (VP (VB Do) (S (NP (PRP you)) (VP (VB think) (SBAR (S (NP (PRP it)) (VP (VBD was) (ADJP (JJ genuine)))))))) (. ?)))
2331,"(37,)",What do you mean by that ?,"[What/WP, do/VBP, you/PRP, mean/VB, by/IN, that/IN, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (VP (VB mean) (PP (IN by) (ADVP (IN that))))) (. ?)))
2331,"(38,)","Did I , do I think   ?","[Did/VBD, I/PRP, ,/,, do/VBP, I/PRP, think/VB, ?/.]","(ROOT (S (S (VP (VBD Did) (NP (PRP I)))) (, ,) (VP (VBP do) (S (NP (PRP I)) (VP (VB think)))) (. ?)))"
2331,"(39,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
2331,"(40,)",Oh why should he do that ?,"[Oh/UH, why/WRB, should/MD, he/PRP, do/VB, that/DT, ?/.]",(ROOT (SQ (INTJ (UH Oh)) (WRB why) (MD should) (NP (PRP he)) (VP (VB do) (NP (DT that))) (. ?)))
2331,"(41,)","Well ,  .","[Well/RB, ,/,, ./.]","(ROOT (FRAG (INTJ (RB Well)) (, ,) (ADVP (. .))))"
2331,"(42,)","I mean it 's one of those things , that eh","[I/PRP, mean/VBP, it/PRP, 's/VBZ, one/CD, of/IN, those/DT, things/NNS, ,/,, that/IN, eh/UH]","(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT those) (NNS things)) (, ,) (SBAR (IN that) (FRAG (INTJ (UH eh)))))))))))))"
2331,"(43,)","Why on earth should he want to   , they 're only going to sell for his own work if he doesn 't .","[Why/WRB, on/IN, earth/NNP, should/MD, he/PRP, want/VB, to/TO, ,/,, they/PRP, 're/VBP, only/RB, going/VBG, to/TO, sell/VB, for/IN, his/PRP$, own/JJ, work/NN, if/IN, he/PRP, doesn/VBZ, 't/PRP, ./.]","(ROOT (SBARQ (WHADVP (WRB Why) (PP (IN on) (NP (NNP earth)))) (SQ (MD should) (NP (PRP he)) (VP (VB want) (PP (TO to)) (, ,) (S (NP (PRP they)) (VP (VBP 're) (ADVP (RB only)) (VP (VBG going) (S (VP (TO to) (VP (VB sell) (PP (IN for) (NP (PRP$ his) (JJ own) (NN work))) (SBAR (IN if) (S (NP (PRP he)) (VP (VBZ doesn) (NP (PRP 't))))))))))))) (. .)))"
2331,"(44,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
2331,"(45,)",It really is a bit odd the way those two bits of the wood do not connect .,"[It/PRP, really/RB, is/VBZ, a/DT, bit/NN, odd/JJ, the/DT, way/NN, those/DT, two/CD, bits/NNS, of/IN, the/DT, wood/NN, do/VBP, not/RB, connect/VB, ./.]",(ROOT (S (NP (PRP It)) (ADVP (RB really)) (VP (VBZ is) (ADJP (NP (DT a) (NN bit)) (JJ odd)) (NP (NP (DT the) (NN way)) (SBAR (S (NP (NP (DT those) (CD two) (NNS bits)) (PP (IN of) (NP (DT the) (NN wood)))) (VP (VBP do) (RB not) (VP (VB connect))))))) (. .)))
2331,"(46,)","Do , have you   somewhere .","[Do/VB, ,/,, have/VBP, you/PRP, somewhere/RB, ./.]","(ROOT (SINV (S (VP (VB Do))) (, ,) (VP (VBP have) (NP (PRP you))) (NP (RB somewhere)) (. .)))"
2331,"(47,)","Well , the green chain walk went up in through , into the houses .","[Well/RB, ,/,, the/DT, green/JJ, chain/NN, walk/NN, went/VBD, up/RB, in/IN, through/IN, ,/,, into/IN, the/DT, houses/NNS, ./.]","(ROOT (S (INTJ (RB Well)) (, ,) (NP (DT the) (JJ green) (NN chain) (NN walk)) (VP (VBD went) (ADVP (RB up)) (PP (IN in) (NP (IN through))) (, ,) (PP (IN into) (NP (DT the) (NNS houses)))) (. .)))"
2331,"(48,)",,[],X
2331,"(49,)","So eh , I doubt that it does .","[So/RB, eh/UH, ,/,, I/PRP, doubt/VBP, that/IN, it/PRP, does/VBZ, ./.]","(ROOT (S (INTJ (RB So)) (INTJ (UH eh)) (, ,) (NP (PRP I)) (VP (VBP doubt) (SBAR (IN that) (S (NP (PRP it)) (VP (VBZ does))))) (. .)))"
2331,"(50,)",  .,[./.],(ROOT (NP (. .)))
2331,"(51,)",Have to look on a map .,"[Have/VB, to/TO, look/VB, on/IN, a/DT, map/NN, ./.]",(ROOT (S (VP (VB Have) (S (VP (TO to) (VP (VB look) (PP (IN on) (NP (DT a) (NN map))))))) (. .)))
2331,"(52,)",Thick dog you are Digger .,"[Thick/JJ, dog/NN, you/PRP, are/VBP, Digger/NN, ./.]",(ROOT (S (NP (JJ Thick) (NN dog)) (NP (PRP you)) (VP (VBP are) (NP (NN Digger))) (. .)))
