17201,"(0,)",He wants to do this rap thing doesn 't he ?,"[He/PRP, wants/VBZ, to/TO, do/VB, this/DT, rap/NN, thing/NN, doesn/JJ, 't/PRP, he/PRP, ?/.]",(ROOT (S (NP (PRP He)) (VP (VBZ wants) (S (VP (TO to) (VP (VB do) (S (NP (NP (DT this) (NN rap) (NN thing)) (ADJP (JJ doesn) (NP (PRP 't)))) (NP (PRP he))))))) (. ?)))
17201,"(24, 25)","Well no so they can identify  the people , isn 't it .","[Well/RB, no/DT, so/IN, they/PRP, can/MD, identify/VB, the/DT, people/NNS, ,/,, isn/NN, 't/PRP, it/PRP, ./.]","(ROOT (S (S (ADVP (RB Well)) (ADVP (DT no) (IN so)) (NP (PRP they)) (VP (MD can) (VP (VB identify) (NP (DT the) (NNS people))))) (, ,) (S (NP (NP (NN isn)) (NP (PRP 't))) (NP (PRP it))) (. .)))"
17201,"(26, 27, 28, 29, 30)","Yeah but then yo- er  in a party situation you could probably do that in the first minutes couldn 't you , I would have thought  everybody in th- room will have spoken  in the first five minutes wouldn 't they ?","[Yeah/UH, but/CC, then/RB, yo-/JJ, er/NN, in/IN, a/DT, party/NN, situation/NN, you/PRP, could/MD, probably/RB, do/VB, that/DT, in/IN, the/DT, first/JJ, minutes/NNS, couldn/VBP, 't/PRP, you/PRP, ,/,, I/PRP, would/MD, have/VB, thought/VBN, everybody/NN, in/IN, th-/JJ, room/NN, will/MD, have/VB, spoken/VBN, in/IN, the/DT, first/JJ, five/CD, minutes/NNS, wouldn/VBP, 't/PRP, they/PRP, ?/.]","(ROOT (SINV (S (S (UCP (FRAG (INTJ (UH Yeah))) (CC but) (SBAR (X (X (ADVP (RB then)) (NP (JJ yo-) (NN er))) (PP (IN in) (NP (DT a) (NN party) (NN situation)))) (S (NP (PRP you)) (VP (MD could) (ADVP (RB probably)) (VP (VB do) (SBAR (S (NP (NP (DT that)) (PP (IN in) (NP (DT the) (JJ first) (NNS minutes)))) (VP (VBP couldn) (S (NP (PRP 't)) (NP (PRP you)))))))))))) (, ,) (NP (PRP I)) (VP (MD would) (VP (VB have) (VP (VBN thought) (SBAR (S (NP (NP (NN everybody)) (PP (IN in) (NP (JJ th-) (NN room)))) (VP (MD will) (VP (VB have) (VP (VBN spoken) (PP (IN in) (NP (DT the) (JJ first) (CD five) (NNS minutes)))))))))))) (VP (VBP wouldn) (NP (PRP 't))) (NP (PRP they)) (. ?)))"
17201,"(31,)",So I 've just gotta jot it down quickly then .,"[So/IN, I/PRP, 've/VBP, just/RB, gotta/NNP, jot/NNP, it/PRP, down/RB, quickly/RB, then/RB, ./.]",(ROOT (S (IN So) (NP (PRP I)) (VP (VBP 've) (PP (RB just) (NP (NNP gotta) (NNP jot) (PRP it))) (ADVP (RB down) (RB quickly) (RB then))) (. .)))
17201,"(32, 33)",Yeah  Oh we 've got more   this time,"[Yeah/UH, Oh/UH, we/PRP, 've/VBP, got/VBD, more/RBR, this/DT, time/NN]",(ROOT (SINV (FRAG (INTJ (UH Yeah) (UH Oh))) (VP (ADVP (PRP we)) (VP (VBP 've) (VP (VBD got) (ADVP (RBR more))))) (NP (DT this) (NN time))))
17201,"(34, 35)","Yeah well  when I saw Alison 's lo- the flan recipes , I panicked .","[Yeah/UH, well/RB, when/WRB, I/PRP, saw/VBD, Alison/NNP, 's/POS, lo-/JJ, the/DT, flan/NN, recipes/NNS, ,/,, I/PRP, panicked/VBD, ./.]","(ROOT (SBARQ (INTJ (UH Yeah)) (WHADVP (RB well) (WRB when)) (PRN (S (NP (PRP I)) (VP (VBD saw) (NP (NP (NP (NNP Alison) (POS 's)) (JJ lo-) (DT the) (NN flan)) (NP (NNS recipes))))) (, ,)) (SQ (NP (PRP I)) (VP (VBD panicked))) (. .)))"
17201,"(36,)",Aha .,"[Aha/NNP, ./.]",(ROOT (FRAG (NP (NNP Aha)) (. .)))
17201,"(37,)",Right all those need slicing and buttering and putting on there .,"[Right/RB, all/DT, those/DT, need/NN, slicing/VBG, and/CC, buttering/VBG, and/CC, putting/VBG, on/IN, there/EX, ./.]",(ROOT (S (VP (NP (NP (ADVP (RB Right) (DT all)) (DT those) (NN need)) (VP (VP (VBG slicing) (CC and) (VBG buttering)) (CC and) (VP (VBG putting) (PP (IN on) (NP (EX there))))))) (. .)))
17201,"(38, 39)","Right , better do that then  so is that   or kilo ?","[Right/NN, ,/,, better/JJR, do/VBP, that/DT, then/RB, so/RB, is/VBZ, that/IN, or/CC, kilo/NN, ?/.]","(ROOT (S (NP (NP (NN Right)) (, ,) (NP (JJR better))) (VP (VBP do) (SBAR (S (NP (DT that)) (ADVP (RB then) (RB so)) (VP (VBZ is) (UCP (ADJP (IN that)) (CC or) (NP (NN kilo))))))) (. ?)))"
17201,"(40, 41, 42)", hundred  ha  there 's a   tomatoes .,"[hundred/CD, ha/NNP, there/EX, 's/VBZ, a/DT, tomatoes/NNS, ./.]",(ROOT (S (NP (CD hundred) (NNP ha)) (NP (EX there)) (VP (VBZ 's) (NP (DT a) (NNS tomatoes))) (. .)))
17201,"(43,)",Gosh !,"[Gosh/NNP, !/.]",(ROOT (FRAG (NP (NNP Gosh)) (. !)))
17201,"(44, 45)","I 'll make some sandwiches  can you feel that 's soft enough , if you don 't like that","[I/PRP, 'll/MD, make/VB, some/DT, sandwiches/NNS, can/MD, you/PRP, feel/VB, that/DT, 's/VBZ, soft/JJ, enough/RB, ,/,, if/IN, you/PRP, don/VBP, 't/PRP, like/IN, that/DT]","(ROOT (S (NP (PRP I)) (VP (MD 'll) (VP (VB make) (NP (DT some) (NNS sandwiches)) (SBAR (SINV (MD can) (NP (PRP you)) (VP (VB feel) (SBAR (S (NP (DT that)) (VP (VBZ 's) (ADJP (JJ soft) (RB enough)) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP don) (NP (PRP 't)) (PP (IN like) (NP (DT that))))))))))))))))"
17201,"(46,)",This,[This/DT],(ROOT (FRAG (NP (DT This))))
17201,"(47, 48)",Well no I  got butter,"[Well/RB, no/DT, I/PRP, got/VBD, butter/NN]",(ROOT (FRAG (ADVP (RB Well)) (NP (NP (DT no) (PRP I)) (SBAR (S (VP (VBD got) (NP (NN butter))))))))
17201,"(49, 50, 51)",No I 'll put that on it 's easier  save that for your Mum  put them on here did you say ?,"[No/DT, I/PRP, 'll/MD, put/VB, that/DT, on/IN, it/PRP, 's/VBZ, easier/JJR, save/IN, that/DT, for/IN, your/PRP$, Mum/NN, put/VBD, them/PRP, on/IN, here/RB, did/VBD, you/PRP, say/VB, ?/.]",(ROOT (S (NP (DT No) (S (NP (PRP I)) (VP (MD 'll) (VP (VB put) (SBAR (S (NP (NP (DT that)) (PP (IN on) (NP (PRP it))) (SBAR (S (VP (VBZ 's) (ADJP (JJR easier))))) (PP (IN save) (NP (NP (DT that)) (PP (IN for) (NP (PRP$ your) (NN Mum)))))) (VP (VBD put) (NP (PRP them)) (PP (IN on) (NP (RB here)))))))))) (VP (VBD did) (S (NP (PRP you)) (VP (VB say)))) (. ?)))
17201,"(52,)",Yeah,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
17201,"(53,)",This tray ?,"[This/DT, tray/NNP, ?/.]",(ROOT (FRAG (NP (DT This)) (NP (NNP tray)) (. ?)))
17201,"(54,)","Yeah , I 'll just put this out .","[Yeah/UH, ,/,, I/PRP, 'll/MD, just/RB, put/VB, this/DT, out/RP, ./.]","(ROOT (S (INTJ (UH Yeah)) (, ,) (NP (PRP I)) (VP (MD 'll) (ADVP (RB just)) (VP (VB put) (NP (DT this)) (PRT (RP out)))) (. .)))"
17201,"(55,)",,[],X
17201,"(56, 57)",I think these flans will freeze  so what we don 't need,"[I/PRP, think/VBP, these/DT, flans/NNS, will/MD, freeze/VB, so/RB, what/WP, we/PRP, don/VBP, 't/PRP, need/VB]",(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT these) (NNS flans)) (VP (MD will) (VP (VB freeze) (ADVP (RB so)) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB need)))))))))))))
17201,"(58,)",What 've they got in them though ?,"[What/WDT, 've/VBP, they/PRP, got/VBD, in/IN, them/PRP, though/IN, ?/.]",(ROOT (SBARQ (WHNP (WDT What)) (SQ (VBP 've) (NP (PRP they)) (VP (VBD got) (PP (IN in) (NP (PRP them))) (ADVP (IN though)))) (. ?)))
17201,"(59,)",Got any little flags for what they 've got in them ?,"[Got/VBD, any/DT, little/JJ, flags/NNS, for/IN, what/WP, they/PRP, 've/VBP, got/VBN, in/IN, them/PRP, ?/.]",(ROOT (SQ (VBD Got) (NP (DT any)) (NP (JJ little) (NNS flags)) (SBAR (WHPP (IN for) (WHNP (WP what))) (S (NP (PRP they)) (VP (VBP 've) (VP (VBN got) (PP (IN in) (NP (PRP them))))))) (. ?)))
17201,"(60, 61)",This one is prawn  and pepper,"[This/DT, one/CD, is/VBZ, prawn/NN, and/CC, pepper/NN]",(ROOT (S (NP (DT This) (CD one)) (VP (VBZ is) (NP (NN prawn) (CC and) (NN pepper)))))
17201,"(62,)",Paprika ?,"[Paprika/NNP, ?/.]",(ROOT (FRAG (NP (NNP Paprika)) (. ?)))
17201,"(63, 64, 65, 66)",Pu- no  well  red pepper  with paprika sprinkled on .,"[Pu-/NN, no/RB, well/RB, red/JJ, pepper/NN, with/IN, paprika/NN, sprinkled/VBD, on/IN, ./.]",(ROOT (S (NP (NP (NN Pu-)) (ADVP (RB no) (RB well) (NP (NP (JJ red) (NN pepper)) (PP (IN with) (NP (NN paprika)))))) (VP (VBD sprinkled) (PP (IN on))) (. .)))
17201,"(67,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
17201,"(68, 69, 70, 71)",And this is  egg and bacon and mushroom  a little piece of cheese  Orville !,"[And/CC, this/DT, is/VBZ, egg/NN, and/CC, bacon/NN, and/CC, mushroom/NN, a/DT, little/JJ, piece/NN, of/IN, cheese/NN, Orville/NNP, !/.]",(ROOT (S (CC And) (NP (DT this)) (VP (VBZ is) (NP (NP (NN egg)) (CC and) (NP (NP (NN bacon) (CC and) (NN mushroom)) (NP (NP (DT a) (JJ little) (NN piece)) (PP (IN of) (NP (NN cheese) (NNP Orville))))))) (. !)))
17201,"(72, 73, 74, 75)","Well really , looks like I 've only done two each  but I think I 'll freeze  I 'll only cut two up  lovely !","[Well/RB, really/RB, ,/,, looks/VBZ, like/IN, I/PRP, 've/VBP, only/RB, done/VBN, two/CD, each/DT, but/CC, I/PRP, think/VBP, I/PRP, 'll/MD, freeze/VB, I/PRP, 'll/MD, only/RB, cut/VB, two/CD, up/IN, lovely/JJ, !/.]","(ROOT (S (ADVP (RB Well)) (ADVP (RB really)) (, ,) (VP (VBZ looks) (SBAR (IN like) (S (S (NP (PRP I)) (VP (VBP 've) (ADVP (RB only)) (VP (VBN done) (NP (NP (CD two)) (NP (DT each)))))) (CC but) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (MD 'll) (VP (VB freeze) (SBAR (S (NP (PRP I)) (VP (MD 'll) (ADVP (RB only)) (VP (VB cut) (NP (CD two)) (PP (IN up) (ADJP (JJ lovely)))))))))))))))) (. !)))"
17201,"(76, 77, 78)",I might be able to eat that     where 's the little,"[I/PRP, might/MD, be/VB, able/JJ, to/TO, eat/VB, that/DT, where/WRB, 's/VBZ, the/DT, little/JJ]",(ROOT (S (NP (PRP I)) (VP (MD might) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB eat) (NP (DT that)) (SBAR (WHADVP (WRB where)) (S (VP (VBZ 's) (NP (DT the) (JJ little)))))))))))))
17201,"(79,)",Want the sharp,"[Want/VB, the/DT, sharp/JJ]",(ROOT (S (VP (VB Want) (NP (DT the) (JJ sharp)))))
17201,"(80,)",black knife ?,"[black/JJ, knife/NN, ?/.]",(ROOT (NP (JJ black) (NN knife) (. ?)))
17201,"(81,)",What do you want the little one for ?,"[What/WP, do/VBP, you/PRP, want/VB, the/DT, little/JJ, one/CD, for/IN, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (VP (VB want) (NP (DT the) (JJ little) (CD one)) (PP (IN for)))) (. ?)))
17201,"(82,)","You said the black knife , you said .","[You/PRP, said/VBD, the/DT, black/JJ, knife/NN, ,/,, you/PRP, said/VBD, ./.]","(ROOT (S (S (NP (PRP You)) (VP (VBD said) (NP (DT the) (JJ black) (NN knife)))) (, ,) (NP (PRP you)) (VP (VBD said)) (. .)))"
17201,"(83, 84, 85, 86)","I said the sharp one  this one  he 's fairly cheap but they use him a lot ,   .","[I/PRP, said/VBD, the/DT, sharp/JJ, one/CD, this/DT, one/NN, he/PRP, 's/VBZ, fairly/RB, cheap/JJ, but/CC, they/PRP, use/VBP, him/PRP, a/DT, lot/NN, ,/,, ./.]","(ROOT (S (S (NP (PRP I)) (VP (VBD said) (NP (DT the) (JJ sharp) (CD one)) (NP (NP (DT this) (NN one)) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (ADJP (RB fairly) (JJ cheap)))))))) (CC but) (S (NP (PRP they)) (VP (VBP use) (S (NP (PRP him)) (NP (DT a) (NN lot)))) (, ,)) (. .)))"
17201,"(87,)",Alright and don 't burn them then .,"[Alright/JJ, and/CC, don/NNP, 't/PRP, burn/VBP, them/PRP, then/RB, ./.]",(ROOT (S (NP (NP (JJ Alright)) (CC and) (NP (NNP don))) (NP (PRP 't)) (VP (VBP burn) (NP (PRP them)) (ADVP (RB then))) (. .)))
17201,"(88, 89)",I think they burn very easy  Do you think everyone will dress up today ?,"[I/PRP, think/VBP, they/PRP, burn/VBP, very/RB, easy/JJ, Do/VBP, you/PRP, think/VB, everyone/NN, will/MD, dress/VB, up/RP, today/NN, ?/.]",(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP burn) (ADJP (RB very) (JJ easy) (SBAR (S (VP (VBP Do) (S (NP (PRP you)) (VP (VB think) (SBAR (S (NP (NN everyone)) (VP (MD will) (VP (VB dress) (PRT (RP up)) (NP (NN today)))))))))))))))) (. ?)))
17201,"(90,)",Don 't cut them completely in half like that .,"[Don/NNP, 't/PRP, cut/VBD, them/PRP, completely/RB, in/IN, half/NN, like/IN, that/DT, ./.]",(ROOT (S (NP (NNP Don) (PRP 't)) (VP (VBD cut) (NP (PRP them)) (PP (RB completely) (IN in) (NP (NN half))) (PP (IN like) (NP (DT that)))) (. .)))
17201,"(91,)",Well I have .,"[Well/RB, I/PRP, have/VBP, ./.]",(ROOT (S (ADVP (RB Well)) (NP (PRP I)) (VP (VBP have)) (. .)))
17201,"(92, 93, 94, 95, 96)","Well , oh  best if you cut them almost to the end  like that  then butter them and stick them back together again  Have I got that cream ?","[Well/RB, ,/,, oh/UH, best/JJS, if/IN, you/PRP, cut/VBD, them/PRP, almost/RB, to/TO, the/DT, end/NN, like/IN, that/DT, then/RB, butter/NN, them/PRP, and/CC, stick/VB, them/PRP, back/RB, together/RB, again/RB, Have/VBP, I/PRP, got/VBD, that/IN, cream/NN, ?/.]","(ROOT (S (S (INTJ (INTJ (RB Well)) (, ,) (INTJ (UH oh))) (NP (JJS best)) (VP (VP (PP (IN if) (NP (PRP you))) (VBD cut) (NP (PRP them))) (VP (VP (ADVP (RB almost) (PP (TO to) (NP (DT the) (NAC (NN end) (PP (IN like) (NP (NP (DT that)) (ADVP (RB then))))) (NN butter)))) (NP (PRP them))) (CC and) (VP (VB stick) (SBAR (S (NP (PRP them)) (ADVP (RB back) (RB together) (RB again)) (VP (VBP Have)))))))) (NP (PRP I)) (VP (VBD got) (PP (IN that) (NP (NN cream)))) (. ?)))"
17201,"(97, 98)","I 've sort of forgot about the puddings  there 's blackcurrant torte up there , can you see ?","[I/PRP, 've/VBP, sort/NN, of/IN, forgot/VBN, about/IN, the/DT, puddings/NNS, there/EX, 's/VBZ, blackcurrant/JJ, torte/NN, up/IN, there/RB, ,/,, can/MD, you/PRP, see/VB, ?/.]","(ROOT (SQ (S (NP (PRP I)) (VP (VBP 've) (ADVP (NN sort) (IN of)) (VP (VBN forgot) (PP (IN about) (NP (NP (DT the) (NNS puddings)) (SBAR (S (NP (EX there)) (VP (VBZ 's) (NP (JJ blackcurrant) (NN torte)) (ADVP (IN up) (RB there)))))))))) (, ,) (SQ (MD can) (NP (PRP you)) (VP (VB see))) (. ?)))"
17201,"(99,)",And I 've   two,"[And/CC, I/PRP, 've/VBP, two/CD]",(ROOT (S (CC And) (NP (PRP I)) (VP (VBP 've) (NP (CD two)))))
17201,"(100,)",Ooh yeah !,"[Ooh/NNP, yeah/UH, !/.]",(ROOT (S (VP (PP (NNP Ooh) (NP (UH yeah)))) (. !)))
17201,"(101, 102)"," black  tiny black forest gateaux , but they 're here for tea aren 't they so","[black/JJ, tiny/JJ, black/JJ, forest/NN, gateaux/NN, ,/,, but/CC, they/PRP, 're/VBP, here/RB, for/IN, tea/NN, aren/JJ, 't/PRP, they/PRP, so/RB]","(ROOT (S (NP (NP (JJ black) (JJ tiny) (JJ black) (NN forest) (NN gateaux)) (, ,) (PP (CC but) (NP (PRP they)))) (VP (VBP 're) (ADVP (RB here) (PP (IN for) (NP (NP (NN tea)) (ADJP (JJ aren) (NP (PRP 't)))))) (NP (PRP they)) (ADVP (RB so)))))"
17201,"(103,)",Well,[Well/RB],(ROOT (INTJ (RB Well)))
17201,"(104,)",no need ,"[no/DT, need/NN]",(ROOT (FRAG (NP (DT no) (NN need))))
17201,"(105, 106, 107)","well yes I do- tha- you 've done this before , that  this buffet thing , it 's quite nice , people can sort of like , if they 're staying they can just  say y- leave it out and you sa- eat whenever you want to really innit ?","[well/RB, yes/RB, I/PRP, do-/JJ, tha-/NN, you/PRP, 've/VBP, done/VBN, this/DT, before/RB, ,/,, that/IN, this/DT, buffet/NN, thing/NN, ,/,, it/PRP, 's/VBZ, quite/RB, nice/JJ, ,/,, people/NNS, can/MD, sort/VB, of/IN, like/IN, ,/,, if/IN, they/PRP, 're/VBP, staying/VBG, they/PRP, can/MD, just/RB, say/VB, y-/NN, leave/VB, it/PRP, out/RP, and/CC, you/PRP, sa-/JJ, eat/VB, whenever/WRB, you/PRP, want/VBP, to/TO, really/RB, innit/VB, ?/.]","(ROOT (S (SBAR (X (X (ADVP (RB well)) (NP (RB yes))) (NP (NP (PRP I)) (NP (JJ do-) (NN tha-)))) (S (NP (PRP you)) (VP (VBP 've) (VP (VBN done) (NP (DT this)) (ADVP (RB before)) (, ,) (SBAR (IN that) (S (NP (DT this) (NN buffet) (NN thing)) (PRN (, ,) (S (NP (PRP it)) (VP (VBZ 's) (ADJP (RB quite) (JJ nice)))) (, ,)) (NP (NNS people)) (VP (MD can) (VP (VB sort) (PP (IN of) (PP (IN like))))))))))) (, ,) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG staying) (SBAR (S (S (NP (PRP they)) (VP (MD can) (ADVP (RB just)) (VP (VB say) (S (NP (NN y-)) (VP (VB leave) (NP (PRP it)) (PRT (RP out))))))) (CC and) (S (NP (PRP you)) (ADJP (JJ sa-))))))))) (VP (VB eat) (SBAR (WHADVP (WRB whenever)) (S (NP (PRP you)) (VP (VBP want) (S (VP (TO to) (VP (ADVP (RB really)) (VB innit)))))))) (. ?)))"
17201,"(108, 109)",Oh  Nigel !,"[Oh/UH, Nigel/NNP, !/.]",(ROOT (S (VP (NP (INTJ (UH Oh)) (NP (NNP Nigel)))) (. !)))
17201,"(110, 111, 112)",I haven 't got a pie slice       .,"[I/PRP, haven/NN, 't/PRP, got/VBD, a/DT, pie/NN, slice/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (NN haven) (SBAR (S (NP (PRP 't)) (VP (VBD got) (NP (DT a) (NN pie) (NN slice)))))) (. .)))
17201,"(113,)",So did I hear you say to your Mum that there 's gonna be a ra- exactly the same rap at a,"[So/RB, did/VBD, I/PRP, hear/VBP, you/PRP, say/VB, to/TO, your/PRP$, Mum/NN, that/IN, there/EX, 's/VBZ, gonna/NN, be/VB, a/DT, ra-/NN, exactly/RB, the/DT, same/JJ, rap/NN, at/IN, a/DT]",(ROOT (SINV (VP (ADVP (RB So)) (VBD did) (SBAR (S (NP (PRP I)) (VP (VBP hear) (S (NP (PRP you)) (VP (VB say) (PP (TO to) (NP (PRP$ your) (NN Mum))) (SBAR (IN that) (S (NP (EX there)) (VP (VBZ 's) (S (NP (NN gonna)) (VP (VB be) (NP (DT a) (NN ra-))))))))))))) (NP (NP (RB exactly) (DT the) (JJ same) (NN rap)) (ADVP (IN at) (DT a)))))
17201,"(114, 115)",Well it sounds the same  couldn 't believe it !,"[Well/RB, it/PRP, sounds/VBZ, the/DT, same/JJ, couldn/NN, 't/PRP, believe/VBP, it/PRP, !/.]",(ROOT (S (ADVP (RB Well)) (NP (PRP it)) (VP (VBZ sounds) (NP (NP (DT the) (JJ same) (NN couldn)) (SBAR (S (NP (PRP 't)) (VP (VBP believe) (NP (PRP it))))))) (. !)))
17201,"(116,)",Is there sugar in my coffee ?,"[Is/VBZ, there/EX, sugar/NN, in/IN, my/PRP$, coffee/NN, ?/.]",(ROOT (SQ (VBZ Is) (NP (EX there)) (NP (NP (NN sugar)) (PP (IN in) (NP (PRP$ my) (NN coffee)))) (. ?)))
17201,"(117, 118)","No sorry , I only put , well you got one    I suppose if they know that this rap thing won 't last long","[No/DT, sorry/JJ, ,/,, I/PRP, only/RB, put/VBD, ,/,, well/RB, you/PRP, got/VBD, one/CD, I/PRP, suppose/VBP, if/IN, they/PRP, know/VBP, that/IN, this/DT, rap/NN, thing/NN, won/VBD, 't/PRP, last/JJ, long/JJ]","(ROOT (S (S (ADJP (DT No) (JJ sorry))) (, ,) (NP (PRP I)) (ADVP (RB only)) (VP (VBD put) (SBAR (S (, ,) (ADVP (RB well)) (NP (PRP you)) (VP (VBD got) (NP (NP (CD one)) (SBAR (S (NP (PRP I)) (VP (VBP suppose) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP know) (SBAR (IN that) (S (NP (DT this) (NN rap) (NN thing)) (VP (VBD won) (NP (PRP 't) (JJ last)) (ADVP (JJ long))))))))))))))))))"
17201,"(119,)",It won 't last long,"[It/PRP, won/VBD, 't/PRP, last/JJ, long/JJ]",(ROOT (S (NP (PRP It)) (VP (VBD won) (NP (PRP 't) (JJ last)) (ADVP (JJ long)))))
