38805,"(0,)",She doesn 't need a licence I know that .,"[She/PRP, doesn/VBZ, 't/PRP, need/VB, a/DT, licence/NN, I/PRP, know/VBP, that/IN, ./.]",(ROOT (S (NP (PRP She)) (VP (VBZ doesn) (S (NP (PRP 't)) (VP (VB need) (NP (NP (DT a) (NN licence)) (SBAR (S (NP (PRP I)) (VP (VBP know) (ADVP (IN that))))))))) (. .)))
38805,"(13,)",Still the holly even .,"[Still/RB, the/DT, holly/NNP, even/RB, ./.]",(ROOT (FRAG (NP (NP (RB Still) (DT the) (NNP holly)) (ADVP (RB even))) (. .)))
38805,"(14,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
38805,"(15,)","You know , with the erm","[You/PRP, know/VBP, ,/,, with/IN, the/DT, erm/NN]","(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (PP (IN with) (NP (DT the) (NN erm))))))"
38805,"(16,)","That 's it  , the berries on .","[That/DT, 's/VBZ, it/PRP, ,/,, the/DT, berries/NNS, on/IN, ./.]","(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NP (PRP it)) (, ,) (NP (NP (DT the) (NNS berries)) (PP (IN on))))) (. .)))"
38805,"(17,)",But those snowdrops are really standing up now !,"[But/CC, those/DT, snowdrops/NNS, are/VBP, really/RB, standing/VBG, up/RB, now/RB, !/.]",(ROOT (S (CC But) (NP (DT those) (NNS snowdrops)) (VP (VBP are) (ADVP (RB really)) (VP (VBG standing) (ADVP (RB up) (RB now)))) (. !)))
38805,"(18,)",Yeah !,"[Yeah/UH, !/.]",(ROOT (INTJ (UH Yeah) (. !)))
38805,"(19,)",And the crocuses are out .,"[And/CC, the/DT, crocuses/NNS, are/VBP, out/RB, ./.]",(ROOT (S (CC And) (NP (DT the) (NNS crocuses)) (VP (VBP are) (ADJP (RB out))) (. .)))
38805,"(20,)","And this , these other things are out , whatever you call them !","[And/CC, this/DT, ,/,, these/DT, other/JJ, things/NNS, are/VBP, out/RB, ,/,, whatever/WDT, you/PRP, call/VBP, them/PRP, !/.]","(ROOT (S (CC And) (NP (DT this)) (, ,) (NP (DT these) (JJ other) (NNS things)) (VP (VBP are) (ADVP (RB out)) (, ,) (SBAR (WHNP (WDT whatever)) (S (NP (PRP you)) (VP (VBP call) (NP (PRP them)))))) (. !)))"
38805,"(21,)",The primroses .,"[The/DT, primroses/NNS, ./.]",(ROOT (NP (DT The) (NNS primroses) (. .)))
38805,"(22, 23, 24)",And the daffs are  just about to  burst out .,"[And/CC, the/DT, daffs/NNS, are/VBP, just/RB, about/RB, to/TO, burst/VB, out/RP, ./.]",(ROOT (S (CC And) (NP (DT the) (NNS daffs)) (VP (VBP are) (NP (RB just) (RB about) (SBAR (S (VP (TO to) (VP (VB burst) (PRT (RP out)))))))) (. .)))
