39616,"(0,)",Good gracious !,"[Good/JJ, gracious/JJ, !/.]",(ROOT (FRAG (ADJP (JJ Good) (JJ gracious)) (. !)))
39616,"(19,)",Haven 't you heard before about that then ?,"[Haven/NNP, 't/PRP, you/PRP, heard/VBD, before/IN, about/IN, that/DT, then/RB, ?/.]",(ROOT (S (NP (NNP Haven) (PRP 't)) (NP (PRP you)) (VP (VBD heard) (ADVP (IN before) (PP (IN about) (NP (DT that)))) (ADVP (RB then))) (. ?)))
39616,"(20,)","But how I know , that 's what somebody told me .","[But/CC, how/WRB, I/PRP, know/VBP, ,/,, that/DT, 's/VBZ, what/WP, somebody/NN, told/VBD, me/PRP, ./.]","(ROOT (S (CC But) (SBAR (WHADVP (WRB how)) (S (NP (PRP I)) (VP (VBP know)))) (, ,) (NP (DT that)) (VP (VBZ 's) (SBAR (WHNP (WP what)) (S (NP (NN somebody)) (VP (VBD told) (NP (PRP me)))))) (. .)))"
39616,"(21, 22)", to send  some notes in ,"[to/TO, send/VB, some/DT, notes/NNS, in/IN]",(ROOT (FRAG (S (VP (TO to) (VP (VB send) (NP (DT some) (NNS notes)) (PP (IN in)))))))
39616,"(23,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
39616,"(24,)","you know , put them in the washing machine .","[you/PRP, know/VBP, ,/,, put/VBP, them/PRP, in/IN, the/DT, washing/VBG, machine/NN, ./.]","(ROOT (S (NP (PRP you)) (VP (VBP know) (, ,) (VBP put) (NP (NP (PRP them)) (PP (IN in) (NP (DT the) (VBG washing) (NN machine))))) (. .)))"
39616,"(25, 26, 27)",They  they have   in there  and they take out bank notes and coins from the washing machine .,"[They/PRP, they/PRP, have/VBP, in/IN, there/RB, and/CC, they/PRP, take/VBP, out/RP, bank/NN, notes/NNS, and/CC, coins/NNS, from/IN, the/DT, washing/VBG, machine/NN, ./.]",(ROOT (S (NP (PRP They)) (PRN (S (NP (PRP they)) (VP (VBP have) (VP (PP (IN in) (NP (NP (RB there)) (CC and) (NP (PRP they)))))))) (VP (VBP take) (PRT (RP out)) (NP (NN bank) (NNS notes) (CC and) (NNS coins)) (PP (IN from) (NP (DT the) (VBG washing) (NN machine)))) (. .)))
39616,"(28,)","But , so long as you   first .","[But/CC, ,/,, so/RB, long/RB, as/IN, you/PRP, first/RB, ./.]","(ROOT (S (NP (CC But)) (VP (PRN (, ,) (ADVP (RB so) (RB long)) (PP (IN as) (NP (PRP you)))) (PP (RB first))) (. .)))"
39616,"(29,)",Erm,[Erm/NN],(ROOT (NP (NN Erm)))
39616,"(30,)","Oh that 's right , well the- they detail here exactly what you need to have .","[Oh/UH, that/DT, 's/VBZ, right/NN, ,/,, well/RB, the-/IN, they/PRP, detail/NN, here/RB, exactly/RB, what/WP, you/PRP, need/VBP, to/TO, have/VB, ./.]","(ROOT (S (S (INTJ (UH Oh)) (NP (DT that)) (VP (VBZ 's) (NP (NN right)))) (, ,) (SBAR (ADVP (RB well)) (IN the-) (S (NP (PRP they)) (VP (NN detail) (ADVP (RB here)) (SBAR (WHADJP (RB exactly) (WP what)) (S (NP (PRP you)) (VP (VBP need) (S (VP (TO to) (VP (VB have)))))))))) (. .)))"
39616,"(31,)","But , you know , that 's how I knew there was a department somewhere because they do  ","[But/CC, ,/,, you/PRP, know/VBP, ,/,, that/DT, 's/VBZ, how/WRB, I/PRP, knew/VBD, there/EX, was/VBD, a/DT, department/NN, somewhere/RB, because/IN, they/PRP, do/VBP]","(ROOT (S (ADVP (CC But)) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (DT that)) (VP (VBZ 's) (SBAR (WHADVP (WRB how)) (S (NP (PRP I)) (VP (VBD knew) (SBAR (S (NP (EX there)) (VP (VBD was) (ADVP (NP (DT a) (NN department)) (RB somewhere))))))))))) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP do)))))))"
39616,"(32, 33)","I think  just , if you 've got the number you can take it into an ordinary bank .","[I/PRP, think/VBP, just/RB, ,/,, if/IN, you/PRP, 've/VBP, got/VBD, the/DT, number/NN, you/PRP, can/MD, take/VB, it/PRP, into/IN, an/DT, ordinary/JJ, bank/NN, ./.]","(ROOT (S (NP (PRP I)) (VP (VBP think) (ADVP (RB just)) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP 've) (VP (VBD got) (NP (DT the) (NN number)) (SBAR (S (NP (PRP you)) (VP (MD can) (VP (VB take) (NP (PRP it)) (PP (IN into) (NP (DT an) (JJ ordinary) (NN bank)))))))))))) (. .)))"
39616,"(34,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
39616,"(35,)",Amazing !,"[Amazing/JJ, !/.]",(ROOT (FRAG (ADJP (JJ Amazing)) (. !)))
39616,"(36,)", Yeah   !,"[Yeah/UH, !/.]",(ROOT (INTJ (UH Yeah) (. !)))
39616,"(37, 38, 39, 40, 41)","Yes , I know how we got talking to this  girl in the Post Office cos I erm  I asked her for some stamps as well , you see , I wanted some  cos I happen to be sending stuff of for Germany  tomorrow .","[Yes/UH, ,/,, I/PRP, know/VBP, how/WRB, we/PRP, got/VBD, talking/VBG, to/TO, this/DT, girl/NN, in/IN, the/DT, Post/NN, Office/NN, cos/NN, I/PRP, erm/VBP, I/PRP, asked/VBD, her/PRP$, for/IN, some/DT, stamps/NNS, as/RB, well/RB, ,/,, you/PRP, see/VBP, ,/,, I/PRP, wanted/VBD, some/DT, cos/NN, I/PRP, happen/VBP, to/TO, be/VB, sending/VBG, stuff/NN, of/IN, for/IN, Germany/NNP, tomorrow/NN, ./.]","(ROOT (S (S (INTJ (UH Yes)) (, ,) (S (NP (PRP I)) (VP (VBP know) (SBAR (S (SBAR (WHADVP (WRB how)) (S (NP (PRP we)) (VP (VBD got) (S (VP (VBG talking) (PP (TO to) (NP (NP (DT this) (NN girl)) (PP (IN in) (NP (DT the) (NN Post) (NN Office) (NN cos)))))))))) (NP (PRP I)) (VP (VBP erm) (SBAR (S (NP (PRP I)) (VP (VBD asked) (NP (PRP$ her)) (PP (IN for) (NP (DT some) (NNS stamps))) (ADVP (RB as) (RB well)))))))))) (, ,) (S (NP (PRP you)) (VP (VBP see)))) (, ,) (NP (PRP I)) (VP (VBD wanted) (NP (NP (DT some) (NN cos)) (SBAR (S (NP (PRP I)) (VP (VBP happen) (S (VP (TO to) (VP (VB be) (VP (VBG sending) (NP (NP (NN stuff)) (PP (IN of) (PP (IN for) (NP (NNP Germany))))))))))))) (NP (NN tomorrow))) (. .)))"
39616,"(42, 43)","And I haven 't got any second class stamps so I thought well I 'll get five  and it was , you know , dealing with that that erm","[And/CC, I/PRP, haven/NN, 't/PRP, got/VBD, any/DT, second/JJ, class/NN, stamps/NNS, so/IN, I/PRP, thought/VBD, well/RB, I/PRP, 'll/MD, get/VB, five/CD, and/CC, it/PRP, was/VBD, ,/,, you/PRP, know/VBP, ,/,, dealing/VBG, with/IN, that/IN, that/DT, erm/NN]","(ROOT (NP (S (S (CC And) (S (NP (PRP I)) (VP (NN haven) (SBAR (S (NP (PRP 't)) (VP (VBD got) (NP (DT any) (JJ second) (NN class) (NNS stamps))))))) (IN so) (S (NP (PRP I)) (VP (VBD thought) (ADVP (RB well)) (SBAR (S (NP (PRP I)) (VP (MD 'll) (VP (VB get) (NP (CD five))))))))) (CC and) (S (NP (PRP it)) (VP (VBD was) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (VBG dealing) (PP (IN with) (PP (IN that) (NP (DT that) (NN erm))))))))))))))"
39616,"(44,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
39616,"(45,)",it cropped up .,"[it/PRP, cropped/VBD, up/RP, ./.]",(ROOT (S (NP (PRP it)) (VP (VBD cropped) (PRT (RP up))) (. .)))
39616,"(46,)",You didn 't say anything about   school   did you ?,"[You/PRP, didn/VBP, 't/PRP, say/VB, anything/NN, about/IN, school/NN, did/VBD, you/PRP, ?/.]",(ROOT (S (NP (PRP You)) (VP (VBP didn) (S (NP (PRP 't)) (VP (VB say) (SBAR (S (NP (NP (NN anything)) (PP (IN about) (NP (NN school)))) (VP (VBD did) (NP (PRP you)))))))) (. ?)))
39616,"(47,)","Oh no  , no !","[Oh/UH, no/DT, ,/,, no/DT, !/.]","(ROOT (S (VP (PP (NP (UH Oh)) (NP (NP (DT no)) (, ,) (NP (DT no))))) (. !)))"
39616,"(48, 49)"," But , I mean that 's why  Victor came away wasn 't it ?","[But/CC, ,/,, I/PRP, mean/VBP, that/DT, 's/VBZ, why/WRB, Victor/NNP, came/VBD, away/RB, wasn/JJ, 't/PRP, it/PRP, ?/.]","(ROOT (S (CC But) (, ,) (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (DT that)) (VP (VBZ 's) (SBAR (WHADVP (WRB why)) (S (NP (NNP Victor)) (VP (VBD came) (S (NP (ADJP (RB away) (JJ wasn)) (NP (PRP 't))) (NP (PRP it)))))))))) (. ?)))"
39616,"(50,)",That 's right .,"[That/DT, 's/VBZ, right/NN, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NN right))) (. .)))
39616,"(51,)",,[],X
39616,"(52,)",She was really upset about it .,"[She/PRP, was/VBD, really/RB, upset/JJ, about/IN, it/PRP, ./.]",(ROOT (S (NP (PRP She)) (VP (VBD was) (ADJP (RB really) (JJ upset)) (PP (IN about) (NP (PRP it)))) (. .)))
39616,"(53,)",Bet you were surprised to hear Monsignor  > on the phone weren 't you ?,"[Bet/VB, you/PRP, were/VBD, surprised/VBN, to/TO, hear/VB, Monsignor/NN, >/JJR, on/IN, the/DT, phone/NN, weren/NN, 't/PRP, you/PRP, ?/.]",(ROOT (SQ (VP (VB Bet) (SBAR (S (NP (PRP you)) (VP (VBD were) (VP (VBN surprised) (S (VP (TO to) (VP (VB hear) (NP (NN Monsignor) (JJR >)) (PP (IN on) (NP (NP (DT the) (NN phone) (NN weren)) (NP (NP (PRP 't)) (NP (PRP you))))))))))))) (. ?)))
39616,"(54,)","I was  , yeah !","[I/PRP, was/VBD, ,/,, yeah/UH, !/.]","(ROOT (S (S (NP (PRP I)) (VP (VBD was))) (, ,) (FRAG (INTJ (UH yeah))) (. !)))"
39616,"(55, 56)","I 've I , when I heard you saying  you recognized his voice I thought to myself well perhaps he 's sort of inviting you to er , whatever !","[I/PRP, 've/VBP, I/PRP, ,/,, when/WRB, I/PRP, heard/VBD, you/PRP, saying/VBG, you/PRP, recognized/VBD, his/PRP$, voice/NN, I/PRP, thought/VBD, to/TO, myself/PRP, well/RB, perhaps/RB, he/PRP, 's/VBZ, sort/NN, of/IN, inviting/VBG, you/PRP, to/TO, er/NN, ,/,, whatever/WDT, !/.]","(ROOT (S (S (NP (PRP I)) (VP (VBP 've) (NP (PRP I)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBD heard) (S (NP (PRP you)) (VP (VBG saying) (SBAR (S (NP (PRP you)) (VP (VBD recognized) (NP (PRP$ his) (NN voice)) (SBAR (S (NP (PRP I)) (VP (VBD thought) (PP (TO to) (NP (PRP myself))) (ADVP (RB well)) (ADVP (RB perhaps)))))))))) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (NP (NP (NN sort)) (PP (IN of) (S (VP (VBG inviting) (NP (PRP you)) (PP (TO to) (NP (NN er))))))))))))))) (, ,) (FRAG (WHNP (WDT whatever))) (. !)))"
39616,"(57,)",Oh aye !,"[Oh/UH, aye/NNP, !/.]",(ROOT (S (VP (NP (INTJ (UH Oh)) (NP (NNP aye)))) (. !)))
39616,"(58, 59)", and they were going to be here .,"[and/CC, they/PRP, were/VBD, going/VBG, to/TO, be/VB, here/RB, ./.]",(ROOT (S (CC and) (NP (PRP they)) (VP (VBD were) (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADVP (RB here))))))) (. .)))
39616,"(60,)","Yeah  , I never thought of that .","[Yeah/UH, ,/,, I/PRP, never/RB, thought/VBD, of/IN, that/DT, ./.]","(ROOT (S (INTJ (UH Yeah)) (, ,) (NP (PRP I)) (ADVP (RB never)) (VP (VBD thought) (PP (IN of) (NP (DT that)))) (. .)))"
39616,"(61, 62)","No , I , it was just that I , you know , I mean he  I recognized the voice really as he spoke .","[No/DT, ,/,, I/PRP, ,/,, it/PRP, was/VBD, just/RB, that/IN, I/PRP, ,/,, you/PRP, know/VBP, ,/,, I/PRP, mean/VBP, he/PRP, I/PRP, recognized/VBD, the/DT, voice/NNP, really/RB, as/IN, he/PRP, spoke/VBD, ./.]","(ROOT (S (NP (DT No)) (, ,) (PRN (S (NP (PRP I)) (, ,) (NP (PRP it)) (VP (VBD was) (SBAR (RB just) (IN that) (S (NP (PRP I)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP I)) (VP (VBP mean) (NP (PRP he)))))))) (NP (PRP I)) (VP (VBD recognized) (NP (DT the) (NNP voice)) (ADVP (RB really)) (SBAR (IN as) (S (NP (PRP he)) (VP (VBD spoke))))) (. .)))"
39616,"(63,)","Yes , distinctive .","[Yes/UH, ,/,, distinctive/JJ, ./.]","(ROOT (FRAG (INTJ (UH Yes)) (, ,) (ADVP (JJ distinctive)) (. .)))"
39616,"(64,)",Got a very,"[Got/VBD, a/DT, very/RB]",(ROOT (FRAG (VP (VBD Got) (NP (DT a) (RB very)))))
39616,"(65,)",Oh yes !,"[Oh/UH, yes/UH, !/.]",(ROOT (FRAG (UH Oh) (INTJ (UH yes)) (. !)))
39616,"(66,)",very distinctive voice hasn 't he ?,"[very/RB, distinctive/JJ, voice/NN, hasn/NN, 't/PRP, he/PRP, ?/.]",(ROOT (NP (NP (ADJP (RB very) (JJ distinctive)) (NN voice) (NN hasn)) (NP (NP (PRP 't)) (NP (PRP he))) (. ?)))
39616,"(67,)",It 's still only half past nine so that 's not bad !,"[It/PRP, 's/VBZ, still/RB, only/RB, half/JJ, past/JJ, nine/CD, so/IN, that/DT, 's/VBZ, not/RB, bad/JJ, !/.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADVP (RB still)) (NP (RB only) (JJ half) (NP (JJ past) (CD nine))) (SBAR (IN so) (S (NP (DT that)) (VP (VBZ 's) (RB not) (ADJP (JJ bad)))))) (. !)))
39616,"(68,)",What ?,"[What/WDT, ?/.]",(ROOT (FRAG (WHNP (WDT What)) (. ?)))
39616,"(69,)","I said it 's still only half past nine , so that 's not bad !","[I/PRP, said/VBD, it/PRP, 's/VBZ, still/RB, only/RB, half/JJ, past/JJ, nine/CD, ,/,, so/RB, that/IN, 's/VBZ, not/RB, bad/JJ, !/.]","(ROOT (S (NP (PRP I)) (VP (VBD said) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADVP (RB still)) (NP (RB only) (JJ half) (NP (JJ past) (CD nine))) (, ,) (SBAR (RB so) (IN that) (S (VP (VBZ 's) (RB not) (ADJP (JJ bad))))))))) (. !)))"
39616,"(70, 71)",Have you gotta get any milk  this morning ?,"[Have/VB, you/PRP, gotta/NNP, get/VB, any/DT, milk/NN, this/DT, morning/NN, ?/.]",(ROOT (SQ (VP (VB Have) (S (NP (PRP you)) (NP (NNP gotta)) (S (VP (VB get) (NP (DT any) (NN milk)) (NP (DT this) (NN morning)))))) (. ?)))
39616,"(72,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
39616,"(73, 74, 75)",I 'm gonna put this French  this is a little French thing that soma- er  we brought back   .,"[I/PRP, 'm/VBP, gonna/NN, put/VBD, this/DT, French/JJ, this/DT, is/VBZ, a/DT, little/JJ, French/JJ, thing/NN, that/WDT, soma-/JJ, er/NN, we/PRP, brought/VBD, back/RB, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP 'm) (NP (NP (NN gonna)) (SBAR (S (VP (VBD put) (NP (DT this) (JJ French)) (SBAR (S (NP (DT this)) (VP (VBZ is) (NP (NP (DT a) (JJ little) (JJ French) (NN thing)) (SBAR (WHNP (WDT that)) (S (NP (NP (JJ soma-) (NN er)) (NP (PRP we))) (VP (VBD brought) (ADVP (RB back)))))))))))))) (. .)))
39616,"(76,)",Oh !,"[Oh/UH, !/.]",(ROOT (INTJ (UH Oh) (. !)))
39616,"(77, 78)",Oh you 'll have to charge them francs for it .,"[Oh/UH, you/PRP, 'll/MD, have/VB, to/TO, charge/VB, them/PRP, francs/NNS, for/IN, it/PRP, ./.]",(ROOT (S (S (INTJ (UH Oh)) (NP (PRP you)) (VP (MD 'll) (VP (VB have) (S (VP (TO to) (VP (VB charge) (NP (PRP them)) (NP (NP (NNS francs)) (PP (IN for) (NP (PRP it)))))))))) (. .)))
39616,"(79, 80)",But then we 'd be looking for  francs .,"[But/CC, then/RB, we/PRP, 'd/MD, be/VB, looking/VBG, for/IN, francs/NNS, ./.]",(ROOT (S (CC But) (ADVP (RB then)) (NP (PRP we)) (VP (MD 'd) (VP (VB be) (VP (VBG looking) (PP (IN for) (NP (NNS francs)))))) (. .)))
39616,"(81,)","And shra-  , oh you said francs didn 't you ?","[And/CC, shra-/NN, ,/,, oh/UH, you/PRP, said/VBD, francs/NNS, didn/VB, 't/PRP, you/PRP, ?/.]","(ROOT (S (VP (NP (CC And) (NP (NN shra-)) (, ,) (SBAR (S (INTJ (UH oh)) (NP (PRP you)) (VP (VBD said) (S (NP (NNS francs)) (VP (VB didn) (S (NP (PRP 't)) (NP (PRP you)))))))))) (. ?)))"
39616,"(82,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
39616,"(83,)","Yes , I , the birds don 't half have a go at those nuts don 't they ?","[Yes/UH, ,/,, I/PRP, ,/,, the/DT, birds/NNS, don/VBP, 't/PRP, half/DT, have/VBP, a/DT, go/NN, at/IN, those/DT, nuts/NNS, don/VBP, 't/PRP, they/PRP, ?/.]","(ROOT (SINV (S (FRAG (INTJ (UH Yes)) (, ,) (NP (PRP I))) (, ,) (NP (DT the) (NNS birds)) (VP (VBP don) (NP (PRP 't)) (SBAR (S (NP (DT half)) (VP (VBP have) (NP (NP (DT a) (NN go)) (PP (IN at) (NP (DT those) (NNS nuts))))))))) (VP (VBP don) (NP (PRP 't))) (NP (PRP they)) (. ?)))"
39616,"(84, 85)","Look at them , one , two , three  four , five on there !","[Look/VB, at/IN, them/PRP, ,/,, one/CD, ,/,, two/CD, ,/,, three/CD, four/CD, ,/,, five/CD, on/IN, there/EX, !/.]","(ROOT (S (VP (VB Look) (PP (IN at) (NP (NP (PRP them)) (, ,) (NP (CD one)) (, ,) (NP (CD two)) (, ,) (NP (CD three) (CD four)) (, ,) (NP (NP (CD five)) (PP (IN on) (NP (EX there))))))) (. !)))"
39616,"(86,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
39616,"(87,)",You know ?,"[You/PRP, know/VB, ?/.]",(ROOT (S (NP (PRP You)) (VP (VB know)) (. ?)))
39616,"(88,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
39616,"(89,)",Yes there are .,"[Yes/RB, there/EX, are/VBP, ./.]",(ROOT (S (ADVP (RB Yes)) (NP (EX there)) (VP (VBP are)) (. .)))
39616,"(90,)",And the one on the left .,"[And/CC, the/DT, one/CD, on/IN, the/DT, left/NN, ./.]",(ROOT (FRAG (CC And) (NP (NP (DT the) (CD one)) (PP (IN on) (NP (DT the) (NN left)))) (. .)))
39616,"(91,)","Yeah  , that 's right !","[Yeah/UH, ,/,, that/DT, 's/VBZ, right/JJ, !/.]","(ROOT (S (INTJ (UH Yeah)) (, ,) (NP (DT that)) (VP (VBZ 's) (ADJP (JJ right))) (. !)))"
39616,"(92,)",And one there .,"[And/CC, one/CD, there/EX, ./.]",(ROOT (S (NP (CC And)) (VP (NP (NP (CD one)) (SBAR (S (NP (EX there)))))) (. .)))
39616,"(93, 94)","One , two  three , yeah .","[One/CD, ,/,, two/CD, three/CD, ,/,, yeah/UH, ./.]","(ROOT (FRAG (SBAR (WHNP (NP (CD One)) (PRN (, ,) (NP (CD two)) (NP (CD three)) (, ,))) (FRAG (INTJ (UH yeah) (. .))))))"
39616,"(95,)",There 's one at the back on that erm,"[There/EX, 's/VBZ, one/CD, at/IN, the/DT, back/NN, on/IN, that/DT, erm/NN]",(ROOT (S (NP (EX There)) (VP (VBZ 's) (NP (NP (CD one)) (PP (IN at) (NP (NP (DT the) (NN back)) (PP (IN on) (NP (DT that) (NN erm)))))))))
39616,"(96,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
39616,"(97,)",hanging one .,"[hanging/VBG, one/CD, ./.]",(ROOT (S (VP (VBG hanging) (NP (CD one))) (. .)))
39616,"(98,)",And one on the other one .,"[And/CC, one/CD, on/IN, the/DT, other/JJ, one/CD, ./.]",(ROOT (FRAG (CC And) (NP (NP (CD one)) (PP (IN on) (NP (DT the) (JJ other) (CD one)))) (. .)))
39616,"(99,)",They 're so busy around here !,"[They/PRP, 're/VBP, so/RB, busy/JJ, around/IN, here/RB, !/.]",(ROOT (S (NP (PRP They)) (VP (VBP 're) (ADJP (RB so) (JJ busy) (PP (IN around) (ADVP (RB here))))) (. !)))
