73907,"(0,)",Who was that ?,"[Who/WP, was/VBD, that/IN, ?/.]",(ROOT (SBARQ (WHNP (WP Who)) (SQ (VBD was) (ADJP (IN that))) (. ?)))
73907,"(17,)",Perhaps she 's got the message .,"[Perhaps/RB, she/PRP, 's/VBZ, got/VBD, the/DT, message/NN, ./.]",(ROOT (S (ADVP (RB Perhaps)) (NP (PRP she)) (VP (VBZ 's) (VP (VBD got) (NP (DT the) (NN message)))) (. .)))
73907,"(18, 19)","Hmm , I doubt it somehow and then Derek put his in and then Paul parked up where Eileen was  Paul was waiting to get out","[Hmm/NN, ,/,, I/PRP, doubt/VBP, it/PRP, somehow/RB, and/CC, then/RB, Derek/NNP, put/VBD, his/PRP$, in/IN, and/CC, then/RB, Paul/NNP, parked/VBD, up/RP, where/WRB, Eileen/NNP, was/VBD, Paul/NNP, was/VBD, waiting/VBG, to/TO, get/VB, out/RP]","(ROOT (S (NP (NP (NN Hmm)) (, ,) (SBAR (S (NP (PRP I)) (VP (VBP doubt) (NP (PRP it)) (ADVP (RB somehow)))) (CC and) (S (S (ADVP (RB then)) (NP (NNP Derek)) (VP (VBD put) (NP (PRP$ his)) (PP (IN in)))) (CC and) (S (ADVP (RB then)) (NP (NNP Paul)) (VP (VBD parked) (PRT (RP up)) (SBAR (WHADVP (WRB where)) (S (NP (NNP Eileen)) (VP (VBD was) (NP (NNP Paul)))))))))) (VP (VBD was) (VP (VBG waiting) (S (VP (TO to) (VP (VB get) (PRT (RP out)))))))))"
73907,"(20, 21)","So  well Paul come out , I was talking to Steven and he said I come home last night and he said I couldn 't park me bloody car up cos there were cars everywhere , and they were all theirs .","[So/RB, well/RB, Paul/NNP, come/VB, out/RP, ,/,, I/PRP, was/VBD, talking/VBG, to/TO, Steven/NNP, and/CC, he/PRP, said/VBD, I/PRP, come/VBP, home/NN, last/JJ, night/NN, and/CC, he/PRP, said/VBD, I/PRP, couldn/VBP, 't/PRP, park/VB, me/PRP, bloody/JJ, car/NN, up/IN, cos/NN, there/EX, were/VBD, cars/NNS, everywhere/RB, ,/,, and/CC, they/PRP, were/VBD, all/DT, theirs/JJ, ./.]","(ROOT (S (S (ADVP (RB So) (RB well)) (S (NP (NNP Paul)) (VP (VB come) (PRT (RP out)))) (, ,) (S (NP (PRP I)) (VP (VBD was) (VP (VBG talking) (PP (TO to) (NP (NNP Steven)))))) (CC and) (S (NP (PRP he)) (VP (VBD said) (SBAR (S (NP (PRP I)) (VP (VBP come) (NP (NN home)) (NP (JJ last) (NN night))))))) (CC and) (S (NP (PRP he)) (VP (VBD said) (SBAR (S (NP (PRP I)) (VP (VBP couldn) (S (NP (PRP 't)) (VP (VB park) (NP (PRP me) (JJ bloody) (NN car)) (PP (IN up) (NP (NP (NN cos)) (SBAR (S (NP (EX there)) (VP (VBD were) (NP (NNS cars)) (ADVP (RB everywhere))))))))))))))) (, ,) (CC and) (S (NP (PRP they)) (VP (VBD were) (NP (DT all) (JJ theirs)))) (. .)))"
73907,"(22,)","Who said that , Paul ?","[Who/WP, said/VBD, that/IN, ,/,, Paul/NNP, ?/.]","(ROOT (SBARQ (WHNP (WP Who)) (SQ (VP (VBD said) (SBAR (IN that) (FRAG (, ,) (NP (NNP Paul)))))) (. ?)))"
73907,"(23,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
73907,"(24,)",I didn 't think he parked here last night .,"[I/PRP, didn/VBP, 't/PRP, think/VB, he/PRP, parked/VBN, here/RB, last/JJ, night/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP didn) (S (NP (PRP 't)) (VP (VB think) (S (NP (PRP he)) (VP (VBN parked) (ADVP (RB here)) (NP (JJ last) (NN night))))))) (. .)))
73907,"(25,)",Well he was when I come home from work .,"[Well/RB, he/PRP, was/VBD, when/WRB, I/PRP, come/VBP, home/NN, from/IN, work/NN, ./.]",(ROOT (S (ADVP (RB Well)) (NP (PRP he)) (VP (VBD was) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP come) (NP (NN home)) (PP (IN from) (NP (NN work))))))) (. .)))
73907,"(26,)",What last night ?,"[What/WDT, last/JJ, night/NN, ?/.]",(ROOT (FRAG (WHNP (WDT What) (NP (JJ last) (NN night))) (. ?)))
73907,"(27,)",Oh,[Oh/UH],(ROOT (INTJ (UH Oh)))
73907,"(28,)",They were all theirs .,"[They/PRP, were/VBD, all/DT, theirs/JJ, ./.]",(ROOT (S (NP (PRP They)) (VP (VBD were) (NP (DT all) (JJ theirs))) (. .)))
73907,"(29,)",was it ?,"[was/VBD, it/PRP, ?/.]",(ROOT (S (VP (VBD was) (NP (PRP it))) (. ?)))
73907,"(30,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
73907,"(31,)","Was that blue Escort there , the one that parked behind us ?","[Was/VBD, that/IN, blue/JJ, Escort/NN, there/RB, ,/,, the/DT, one/CD, that/WDT, parked/VBD, behind/IN, us/PRP, ?/.]","(ROOT (S (VP (VBD Was) (PP (IN that) (NP (JJ blue) (NN Escort))) (ADVP (RB there)) (, ,) (NP (NP (DT the) (CD one)) (SBAR (WHNP (WDT that)) (S (VP (VBD parked) (PP (IN behind) (NP (PRP us)))))))) (. ?)))"
73907,"(32,)",I 've not seen him,"[I/PRP, 've/VBP, not/RB, seen/VBN, him/PRP]",(ROOT (S (NP (PRP I)) (VP (VBP 've) (RB not) (VP (VBN seen) (NP (PRP him))))))
73907,"(33, 34)","No , I was gonna say  mm won 't do him any harm getting a bit of a taste of his own medicine .","[No/DT, ,/,, I/PRP, was/VBD, gonna/NNP, say/VB, mm/NN, won/VBD, 't/PRP, do/VB, him/PRP, any/DT, harm/NN, getting/VBG, a/DT, bit/NN, of/IN, a/DT, taste/NN, of/IN, his/PRP$, own/JJ, medicine/NN, ./.]","(ROOT (S (NP (DT No)) (PRN (, ,) (S (NP (PRP I)) (VP (VBD was) (S (NP (NNP gonna)) (VP (VB say) (NP (NN mm))))))) (VP (VBD won) (S (NP (PRP 't)) (VP (VB do) (S (NP (PRP him)) (NP (NP (DT any) (NN harm)) (VP (VBG getting) (NP (NP (DT a) (NN bit)) (PP (IN of) (NP (NP (DT a) (NN taste)) (PP (IN of) (NP (PRP$ his) (JJ own) (NN medicine)))))))))))) (. .)))"
73907,"(35, 36)",Hmm  I personally think he 's seen the light about it .,"[Hmm/NN, I/PRP, personally/RB, think/VBP, he/PRP, 's/VBZ, seen/VBN, the/DT, light/NN, about/IN, it/PRP, ./.]",(ROOT (S (NP (NP (NN Hmm)) (SBAR (S (NP (PRP I)) (ADVP (RB personally)) (VP (VBP think) (NP (PRP he)))))) (VP (VBZ 's) (VP (VBN seen) (NP (NP (DT the) (NN light)) (PP (IN about) (NP (PRP it)))))) (. .)))
73907,"(37,)",About time .,"[About/IN, time/NN, ./.]",(ROOT (FRAG (PP (IN About) (NP (NN time))) (. .)))
