7201,"(0,)",Can you read this one ?,"[Can/MD, you/PRP, read/VB, this/DT, one/CD, ?/.]",(ROOT (SQ (MD Can) (NP (PRP you)) (VP (VB read) (NP (DT this) (CD one))) (. ?)))
7201,"(12,)",Well read this one then Mummy will get you some breakfast .,"[Well/RB, read/VB, this/DT, one/CD, then/RB, Mummy/NN, will/MD, get/VB, you/PRP, some/DT, breakfast/NN, ./.]",(ROOT (S (INTJ (RB Well)) (VP (VB read) (SBAR (S (NP (DT this) (NAC (NP (CD one)) (ADVP (RB then))) (NN Mummy)) (VP (MD will) (VP (VB get) (S (NP (PRP you)) (NP (DT some) (NN breakfast)))))))) (. .)))
7201,"(13,)",Okay .,"[Okay/UH, ./.]",(ROOT (INTJ (UH Okay) (. .)))
7201,"(14,)",What 's this one called Paddington 's Magical Christmas .,"[What/WP, 's/VBZ, this/DT, one/CD, called/VBN, Paddington/NNP, 's/POS, Magical/JJ, Christmas/NNP, ./.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBZ 's) (NP (NP (DT this) (CD one)) (VP (VBN called) (NP (NP (NNP Paddington) (POS 's)) (JJ Magical) (NNP Christmas))))) (. .)))
7201,"(15,)",Mm,[Mm/NN],(ROOT (NP (NN Mm)))
7201,"(16,)",One day not long before Christmas Paddington was busy doing his accounts when he heard Mrs Bird singing which was most unusual .,"[One/CD, day/NN, not/RB, long/RB, before/IN, Christmas/NNP, Paddington/NNP, was/VBD, busy/JJ, doing/VBG, his/PRP$, accounts/NNS, when/WRB, he/PRP, heard/VBD, Mrs/NNP, Bird/NN, singing/NN, which/WDT, was/VBD, most/RBS, unusual/JJ, ./.]",(ROOT (S (NP (NP (CD One) (NN day)) (ADVP (RB not) (RB long) (PP (IN before) (NP (NNP Christmas) (NNP Paddington))))) (VP (VBD was) (ADJP (JJ busy)) (S (VP (VBG doing) (NP (PRP$ his) (NNS accounts)))) (SBAR (WHADVP (WRB when)) (S (NP (PRP he)) (VP (VBD heard) (NP (NP (NNP Mrs) (NN Bird) (NN singing)) (SBAR (WHNP (WDT which)) (S (VP (VBD was) (ADJP (RBS most) (JJ unusual)))))))))) (. .)))
7201,"(17,)",As he listened to the words he nearly fell off his chair with surprise .,"[As/IN, he/PRP, listened/VBD, to/TO, the/DT, words/NNS, he/PRP, nearly/RB, fell/VBD, off/RP, his/PRP$, chair/NN, with/IN, surprise/NN, ./.]",(ROOT (S (SBAR (IN As) (S (NP (PRP he)) (VP (VBD listened) (PP (TO to) (NP (DT the) (NNS words)))))) (NP (PRP he)) (ADVP (RB nearly)) (VP (VBD fell) (PRT (RP off)) (NP (PRP$ his) (NN chair)) (PP (IN with) (NP (NN surprise)))) (. .)))
7201,"(18,)",It seemed her true love had sent her a present from a partridge in a pear tree .,"[It/PRP, seemed/VBD, her/PRP$, true/JJ, love/NN, had/VBD, sent/VBN, her/PRP, a/DT, present/JJ, from/IN, a/DT, partridge/NN, in/IN, a/DT, pear/NN, tree/NN, ./.]",(ROOT (S (NP (PRP It)) (VP (VBD seemed) (SBAR (S (NP (PRP$ her) (JJ true) (NN love)) (VP (VBD had) (VP (VBN sent) (NP (PRP her)) (NP (DT a) (ADJP (JJ present) (PP (IN from) (NP (NP (DT a) (NN partridge)) (PP (IN in) (NP (DT a) (NN pear)))))) (NN tree))))))) (. .)))
7201,"(19,)",As it happened Paddington was having trouble about what to buy the Brown family for Christmas and he wished he 'd thought of it himself .,"[As/IN, it/PRP, happened/VBD, Paddington/NN, was/VBD, having/VBG, trouble/NN, about/IN, what/WP, to/TO, buy/VB, the/DT, Brown/JJ, family/NN, for/IN, Christmas/NNP, and/CC, he/PRP, wished/VBD, he/PRP, 'd/MD, thought/VBN, of/IN, it/PRP, himself/PRP, ./.]",(ROOT (S (S (SBAR (IN As) (S (NP (PRP it)) (VP (VBD happened) (NP (NN Paddington))))) (VP (VBD was) (VP (VBG having) (NP (NP (NN trouble)) (PP (IN about) (SBAR (WHNP (WP what)) (S (VP (TO to) (VP (VB buy) (NP (NP (DT the) (JJ Brown) (NN family)) (PP (IN for) (NP (NNP Christmas))))))))))))) (CC and) (S (NP (PRP he)) (VP (VBD wished) (SBAR (S (NP (PRP he)) (VP (MD 'd) (VP (VBN thought) (PP (IN of) (NP (PRP it))) (NP (PRP himself)))))))) (. .)))
7201,"(20,)",Which ,[Which/WDT],(ROOT (FRAG (WHNP (WDT Which))))
7201,"(21,)",We 'll find out in a moment .,"[We/PRP, 'll/MD, find/VB, out/RP, in/IN, a/DT, moment/NN, ./.]",(ROOT (S (NP (PRP We)) (VP (MD 'll) (VP (VB find) (PRT (RP out)) (PP (IN in) (NP (DT a) (NN moment))))) (. .)))
7201,"(22,)",He hurried out into the garden but to his disappointment he couldn 't see a pear tree anywhere let alone one with a partridge in it .,"[He/PRP, hurried/VBD, out/RP, into/IN, the/DT, garden/NN, but/CC, to/TO, his/PRP$, disappointment/NN, he/PRP, couldn/VBD, 't/PRP, see/VB, a/DT, pear/NN, tree/NN, anywhere/RB, let/VB, alone/RB, one/CD, with/IN, a/DT, partridge/NN, in/IN, it/PRP, ./.]",(ROOT (S (S (NP (PRP He)) (VP (VBD hurried) (PRT (RP out)) (PP (PP (IN into) (NP (DT the) (NN garden))) (CC but) (PP (TO to) (NP (PRP$ his) (NN disappointment)))))) (NP (PRP he)) (VP (VBD couldn) (S (NP (PRP 't)) (VP (VB see) (NP (DT a) (NN pear) (NN tree)) (ADVP (RB anywhere)) (VP (VB let) (NP (NP (RB alone) (CD one)) (PP (IN with) (NP (NP (DT a) (NN partridge)) (PP (IN in) (NP (PRP it)))))))))) (. .)))
7201,"(23,)",He gazed hopefully at Mr Brown 's apple tree .,"[He/PRP, gazed/VBD, hopefully/RB, at/IN, Mr/NNP, Brown/NNP, 's/POS, apple/NNP, tree/NN, ./.]",(ROOT (S (NP (PRP He)) (VP (VBD gazed) (ADVP (RB hopefully)) (PP (IN at) (NP (NP (NNP Mr) (NNP Brown) (POS 's)) (NNP apple) (NN tree)))) (. .)))
7201,"(24, 25)",But apart from a few sparrows and a robin redbreast  the branches were bare .,"[But/CC, apart/RB, from/IN, a/DT, few/JJ, sparrows/NNS, and/CC, a/DT, robin/NNP, redbreast/NNP, the/DT, branches/NNS, were/VBD, bare/JJ, ./.]",(ROOT (S (CC But) (ADVP (RB apart) (PP (IN from) (NP (NP (DT a) (JJ few) (NNS sparrows)) (CC and) (NP (DT a) (NNP robin) (NNP redbreast))))) (NP (DT the) (NNS branches)) (VP (VBD were) (ADJP (JJ bare))) (. .)))
7201,"(26,)",Paddington made his way back in doors .,"[Paddington/NNP, made/VBD, his/PRP$, way/NN, back/RB, in/IN, doors/NNS, ./.]",(ROOT (S (NP (NNP Paddington)) (VP (VBD made) (NP (PRP$ his) (NN way)) (ADVP (RB back)) (PP (IN in) (NP (NNS doors)))) (. .)))
7201,"(27,)",And no sooner was he inside when he heard Mrs Brown singing that her true love had sent four calling birds three french hens two turtle doves not to mention another partridge in a pear tree .,"[And/CC, no/DT, sooner/RBR, was/VBD, he/PRP, inside/RB, when/WRB, he/PRP, heard/VBD, Mrs/NNP, Brown/NNP, singing/NN, that/WDT, her/PRP$, true/JJ, love/NN, had/VBD, sent/VBN, four/CD, calling/VBG, birds/NNS, three/CD, french/JJ, hens/NNS, two/CD, turtle/NN, doves/VBZ, not/RB, to/TO, mention/VB, another/DT, partridge/NN, in/IN, a/DT, pear/NN, tree/NN, ./.]",(ROOT (S (CC And) (ADVP (DT no) (RBR sooner)) (VP (VBD was) (NP (PRP he)) (ADVP (RB inside))) (SBAR (WHADVP (WRB when)) (S (NP (PRP he)) (VP (VBD heard) (NP (NP (NNP Mrs) (NNP Brown) (NN singing)) (SBAR (WHNP (WDT that)) (S (NP (PRP$ her) (JJ true) (NN love)) (VP (VBD had) (VP (VBN sent) (NP (CD four)) (S (VP (VBG calling) (NP (NNS birds)) (NP (NP (CD three) (JJ french) (NNS hens)) (SBAR (S (NP (CD two) (NN turtle)) (VP (VBZ doves) (S (RB not) (VP (TO to) (VP (VB mention) (NP (NP (DT another) (NN partridge)) (PP (IN in) (NP (DT a) (NN pear) (NN tree))))))))))))))))))))) (. .)))
7201,"(28,)",Hm,[Hm/NNS],(ROOT (NP (NNS Hm)))
7201,"(29,)",Paddington could hardly believe his ears and he hurried back outside as fast as he could go but once again he was too late .,"[Paddington/NN, could/MD, hardly/RB, believe/VB, his/PRP$, ears/NNS, and/CC, he/PRP, hurried/VBD, back/RB, outside/JJ, as/IN, fast/JJ, as/IN, he/PRP, could/MD, go/VB, but/CC, once/RB, again/RB, he/PRP, was/VBD, too/RB, late/JJ, ./.]",(ROOT (S (S (NP (NN Paddington)) (VP (MD could) (ADVP (RB hardly)) (VP (VB believe) (NP (PRP$ his) (NNS ears))))) (CC and) (S (NP (PRP he)) (VP (VBD hurried) (ADVP (RB back) (JJ outside) (PP (IN as) (ADJP (JJ fast)))) (SBAR (IN as) (S (NP (PRP he)) (VP (MD could) (VP (VB go))))))) (CC but) (S (ADVP (RB once) (RB again)) (NP (PRP he)) (VP (VBD was) (ADJP (RB too) (JJ late)))) (. .)))
7201,"(30,)",Even the sparrows and the robin redbreast had flown away and all that was left was one fat old pigeon sitting in the lawn .,"[Even/RB, the/DT, sparrows/NNS, and/CC, the/DT, robin/NNP, redbreast/NN, had/VBD, flown/VBN, away/RB, and/CC, all/DT, that/DT, was/VBD, left/VBN, was/VBD, one/CD, fat/JJ, old/JJ, pigeon/NN, sitting/VBG, in/IN, the/DT, lawn/NN, ./.]",(ROOT (S (S (NP (RB Even) (NP (DT the) (NNS sparrows)) (CC and) (NP (DT the) (NNP robin) (NN redbreast))) (VP (VBD had) (VP (VBN flown) (ADVP (RB away))))) (CC and) (S (NP (NP (DT all)) (SBAR (WHNP (DT that)) (S (VP (VBD was) (VP (VBN left)))))) (VP (VBD was) (NP (NP (CD one) (JJ fat) (JJ old) (NN pigeon)) (VP (VBG sitting) (PP (IN in) (NP (DT the) (NN lawn))))))) (. .)))
7201,"(31,)",All the same Paddington decided to keep his eyes and ears open .,"[All/PDT, the/DT, same/JJ, Paddington/NN, decided/VBD, to/TO, keep/VB, his/PRP$, eyes/NNS, and/CC, ears/NNS, open/JJ, ./.]",(ROOT (S (NP (PDT All) (DT the) (JJ same) (NN Paddington)) (VP (VBD decided) (S (VP (TO to) (VP (VB keep) (S (NP (PRP$ his) (NNS eyes) (CC and) (NNS ears)) (ADJP (JJ open))))))) (. .)))
7201,"(32,)",Clearly there was something going on .,"[Clearly/RB, there/EX, was/VBD, something/NN, going/VBG, on/IN, ./.]",(ROOT (S (ADVP (RB Clearly)) (NP (EX there)) (VP (VBD was) (NP (NP (NN something)) (VP (VBG going) (PP (IN on))))) (. .)))
7201,"(33,)",Sure enough no sooner had he settled down it was Judy 's time to break into song .,"[Sure/RB, enough/RB, no/DT, sooner/RBR, had/VBD, he/PRP, settled/VBD, down/IN, it/PRP, was/VBD, Judy/NNP, 's/POS, time/NN, to/TO, break/VB, into/IN, song/NN, ./.]",(ROOT (SINV (S (INTJ (RB Sure)) (NP (RB enough)) (ADVP (DT no) (RBR sooner)) (VP (VBD had) (S (NP (PRP he)) (VP (VBD settled) (PRT (IN down)) (NP (PRP it)))))) (VP (VBD was)) (NP (NP (NNP Judy) (POS 's)) (NN time) (S (VP (TO to) (VP (VB break) (PP (IN into) (NP (NN song))))))) (. .)))
7201,"(34,)",This time she announced it wasn 't Mrs Brown 's four calling birds three French hens two turtle doves and a partridge in a pear tree she had been five gold rings .,"[This/DT, time/NN, she/PRP, announced/VBD, it/PRP, wasn/VBD, 't/PRP, Mrs/NNP, Brown/NNP, 's/POS, four/CD, calling/VBG, birds/NNS, three/CD, French/JJ, hens/NNS, two/CD, turtle/NN, doves/NNS, and/CC, a/DT, partridge/NN, in/IN, a/DT, pear/NN, tree/NN, she/PRP, had/VBD, been/VBN, five/CD, gold/NN, rings/NNS, ./.]",(ROOT (S (S (NP (DT This) (NN time)) (NP (PRP she)) (VP (VBD announced) (SBAR (S (NP (PRP it)) (VP (VBD wasn) (S (NP (PRP 't)) (NP (NP (NP (NNP Mrs) (NNP Brown) (POS 's)) (NP (CD four))) (VP (VBG calling) (NP (NNS birds)) (NP (NP (NP (CD three) (JJ French) (NNS hens)) (NP (CD two) (NN turtle) (NNS doves))) (CC and) (NP (NP (DT a) (NN partridge)) (PP (IN in) (NP (DT a) (NN pear) (NN tree))))))))))))) (NP (PRP she)) (VP (VBD had) (VP (VBN been) (NP (CD five) (NN gold) (NNS rings)))) (. .)))
7201,"(35,)",Paddington decided that Browns must have a very rich friend indeed if he could afford so many presents .,"[Paddington/NN, decided/VBD, that/IN, Browns/NNS, must/MD, have/VB, a/DT, very/RB, rich/JJ, friend/NN, indeed/RB, if/IN, he/PRP, could/MD, afford/VB, so/RB, many/JJ, presents/NNS, ./.]",(ROOT (S (NP (NN Paddington)) (VP (VBD decided) (SBAR (IN that) (S (NP (NNS Browns)) (VP (MD must) (VP (VB have) (NP (DT a) (ADJP (RB very) (JJ rich)) (NN friend)) (SBAR (ADVP (RB indeed)) (IN if) (S (NP (PRP he)) (VP (MD could) (VP (VB afford) (NP (ADJP (RB so) (JJ many)) (NNS presents))))))))))) (. .)))
7201,"(36,)",It made his list look very small .,"[It/PRP, made/VBD, his/PRP$, list/NN, look/VB, very/RB, small/JJ, ./.]",(ROOT (S (NP (PRP It)) (VP (VBD made) (S (NP (PRP$ his) (NN list)) (VP (VB look) (ADJP (RB very) (JJ small))))) (. .)))
7201,"(37,)",He couldn 't afford much more than a set of plastic rings let alone five gold ones .,"[He/PRP, couldn/VBD, 't/PRP, afford/VB, much/RB, more/JJR, than/IN, a/DT, set/NN, of/IN, plastic/JJ, rings/NNS, let/VBP, alone/RB, five/CD, gold/JJ, ones/NNS, ./.]",(ROOT (S (NP (PRP He)) (VP (VBD couldn) (S (NP (PRP 't)) (VP (VB afford) (ADJP (ADJP (RB much) (JJR more)) (SBAR (IN than) (S (NP (NP (DT a) (NN set)) (PP (IN of) (NP (JJ plastic) (NNS rings)))) (VP (VBP let) (ADVP (RB alone)) (NP (CD five) (JJ gold) (NNS ones))))))))) (. .)))
7201,"(38,)",Over the next few days the mystery deepened .,"[Over/IN, the/DT, next/JJ, few/JJ, days/NNS, the/DT, mystery/NN, deepened/VBN, ./.]",(ROOT (FRAG (PP (IN Over) (NP (NP (DT the) (JJ next) (JJ few) (NNS days)) (SBAR (S (NP (DT the) (NN mystery)) (VP (VBN deepened)))))) (. .)))
7201,"(39, 40)",Seven swans swimming arrived and disappeared  again before Paddington had a chance to see them .,"[Seven/CD, swans/NNS, swimming/VBG, arrived/VBN, and/CC, disappeared/VBD, again/RB, before/IN, Paddington/NN, had/VBD, a/DT, chance/NN, to/TO, see/VB, them/PRP, ./.]",(ROOT (S (NP (NP (CD Seven) (NNS swans)) (VP (VBG swimming) (S (VP (VP (VBN arrived)) (CC and) (VP (VBD disappeared) (ADVP (RB again)) (PP (IN before) (NP (NN Paddington)))))))) (VP (VBD had) (NP (DT a) (NN chance) (S (VP (TO to) (VP (VB see) (NP (PRP them))))))) (. .)))
7201,"(41,)",He even tried looking in the oven but Mrs Bird drove him out of her kitchen with her feather duster .,"[He/PRP, even/RB, tried/VBD, looking/VBG, in/IN, the/DT, oven/NN, but/CC, Mrs/NNP, Bird/NN, drove/VBD, him/PRP, out/IN, of/IN, her/PRP$, kitchen/NN, with/IN, her/PRP$, feather/NN, duster/NN, ./.]",(ROOT (S (S (NP (PRP He)) (ADVP (RB even)) (VP (VBD tried) (S (VP (VBG looking) (PP (IN in) (NP (DT the) (NN oven))))))) (CC but) (S (NP (NNP Mrs) (NN Bird)) (VP (VBD drove) (NP (PRP him)) (PP (IN out) (PP (IN of) (NP (PRP$ her) (NN kitchen)))) (PP (IN with) (NP (PRP$ her) (NN feather) (NN duster))))) (. .)))
7201,"(42,)",Eight maids a milking came and went,"[Eight/CD, maids/NNS, a/DT, milking/NN, came/VBD, and/CC, went/VBD]",(ROOT (S (NP (NP (CD Eight) (NNS maids)) (NP (DT a) (NN milking))) (VP (VP (VBD came)) (CC and) (VP (VBD went)))))
7201,"(43,)",Where 's he gone ?,"[Where/WRB, 's/POS, he/PRP, gone/VBN, ?/.]",(ROOT (FRAG (SBAR (WHADVP (WRB Where)) (S (NP (POS 's)) (VP (ADVP (PRP he)) (VBN gone)))) (. ?)))
7201,"(44,)",But Paddington did find a note on the door step asking for two extra pints and things .,"[But/CC, Paddington/NN, did/VBD, find/VB, a/DT, note/NN, on/IN, the/DT, door/NN, step/NN, asking/VBG, for/IN, two/CD, extra/JJ, pints/NNS, and/CC, things/NNS, ./.]",(ROOT (S (CC But) (NP (NN Paddington)) (VP (VBD did) (VP (VB find) (NP (DT a) (NN note)) (PP (IN on) (NP (NP (DT the) (NN door) (NN step)) (VP (VBG asking) (PP (IN for) (NP (NP (CD two) (JJ extra) (NNS pints)) (CC and) (NP (NNS things))))))))) (. .)))
7201,"(45,)",Where 's he gone Mummy ?,"[Where/WRB, 's/POS, he/PRP, gone/VBD, Mummy/NN, ?/.]",(ROOT (FRAG (SBAR (WHADVP (WRB Where)) (S (NP (POS 's)) (ADVP (PRP he)) (VP (VBD gone) (NP (NN Mummy))))) (. ?)))
7201,"(46,)",Hm table tennis .,"[Hm/NNS, table/NN, tennis/NN, ./.]",(ROOT (NP (NP (NNS Hm)) (NP (NN table) (NN tennis)) (. .)))
7201,"(47,)",He began to wonder if he aught to ring for the police but no one else seemed to be in the slightest bit worried .,"[He/PRP, began/VBD, to/TO, wonder/VB, if/IN, he/PRP, aught/VB, to/TO, ring/VB, for/IN, the/DT, police/NN, but/CC, no/DT, one/NN, else/RB, seemed/VBD, to/TO, be/VB, in/IN, the/DT, slightest/JJS, bit/NN, worried/JJ, ./.]",(ROOT (S (NP (PRP He)) (VP (VP (VBD began) (S (VP (TO to) (VP (VB wonder) (SBAR (IN if) (S (NP (PRP he)) (VP (VB aught) (S (VP (TO to) (VP (VB ring) (PP (IN for) (NP (DT the) (NN police))))))))))))) (CC but) (VP (ADVP (NP (DT no) (NN one)) (RB else)) (VBD seemed) (S (VP (TO to) (VP (VB be) (PP (IN in) (NP (DT the) (JJS slightest) (NN bit) (JJ worried)))))))) (. .)))
7201,"(48,)",When Paddington heard what Mrs Bird sang next .,"[When/WRB, Paddington/NNP, heard/VBD, what/WP, Mrs/NNP, Bird/NN, sang/VBD, next/JJ, ./.]",(ROOT (FRAG (SBAR (WHADVP (WRB When)) (S (NP (NNP Paddington)) (VP (VBD heard) (SBAR (WHNP (WP what)) (S (NP (NNP Mrs) (NN Bird)) (VP (VBD sang) (ADVP (JJ next)))))))) (. .)))
7201,"(49,)",Nine ladies dancing he decided perhaps that she had ordered the extra milk in case they got thirsty .,"[Nine/CD, ladies/NNS, dancing/VBG, he/PRP, decided/VBD, perhaps/RB, that/IN, she/PRP, had/VBD, ordered/VBN, the/DT, extra/JJ, milk/NN, in/IN, case/NN, they/PRP, got/VBD, thirsty/JJ, ./.]",(ROOT (S (NP (NP (CD Nine) (NNS ladies)) (VP (VBG dancing) (NP (PRP he)))) (VP (VBD decided) (ADVP (RB perhaps)) (SBAR (IN that) (S (NP (PRP she)) (VP (VBD had) (VP (VBN ordered) (NP (NP (DT the) (JJ extra) (NN milk)) (PP (IN in) (NP (NN case))) (SBAR (S (NP (PRP they)) (VP (VBD got) (NP (JJ thirsty))))))))))) (. .)))
7201,"(50,)",He searched the house from top to bottom .,"[He/PRP, searched/VBD, the/DT, house/NN, from/IN, top/JJ, to/TO, bottom/NN, ./.]",(ROOT (S (NP (PRP He)) (VP (VBD searched) (NP (DT the) (NN house)) (PP (IN from) (NP (JJ top))) (PP (TO to) (NP (NN bottom)))) (. .)))
7201,"(51,)",There was no sign of any body .,"[There/EX, was/VBD, no/DT, sign/NN, of/IN, any/DT, body/NN, ./.]",(ROOT (S (NP (EX There)) (VP (VBD was) (NP (NP (DT no) (NN sign)) (PP (IN of) (NP (DT any) (NN body))))) (. .)))
7201,"(52,)",Just as he was about to come downstairs he heard Jonathan singing .,"[Just/RB, as/IN, he/PRP, was/VBD, about/IN, to/TO, come/VB, downstairs/RB, he/PRP, heard/VBD, Jonathan/NNP, singing/NN, ./.]",(ROOT (S (SBAR (RB Just) (IN as) (S (NP (PRP he)) (VP (VBD was) (VP (IN about) (S (VP (TO to) (VP (VB come) (ADVP (RB downstairs))))))))) (NP (PRP he)) (VP (VBD heard) (NP (NNP Jonathan) (NN singing))) (. .)))
7201,"(53,)",It seemed he had been sent no less than ten lords a leaping .,"[It/PRP, seemed/VBD, he/PRP, had/VBD, been/VBN, sent/VBN, no/RB, less/RBR, than/IN, ten/CD, lords/NNS, a/DT, leaping/VBG, ./.]",(ROOT (S (NP (PRP It)) (VP (VBD seemed) (SBAR (S (NP (PRP he)) (VP (VBD had) (VP (VBN been) (VP (VBN sent) (ADVP (RB no) (NP (QP (RBR less) (IN than) (CD ten)) (NNS lords))) (S (NP (DT a) (VBG leaping))))))))) (. .)))
7201,"(54,)",Paddington decided to go see his friend Mr Grover who kept an antique shop in Portabello Road .,"[Paddington/NN, decided/VBD, to/TO, go/VB, see/VB, his/PRP$, friend/NN, Mr/NN, Grover/NNP, who/WP, kept/VBD, an/DT, antique/JJ, shop/NN, in/IN, Portabello/NN, Road/NN, ./.]",(ROOT (S (NP (NN Paddington)) (VP (VBD decided) (S (VP (TO to) (VP (VB go) (S (VP (VB see) (NP (PRP$ his) (NN friend) (NN Mr))) (NP (NP (NNP Grover)) (SBAR (WHNP (WP who)) (S (VP (VBD kept) (NP (DT an) (JJ antique) (NN shop)) (PP (IN in) (NP (NN Portabello) (NN Road)))))))))))) (. .)))
7201,"(55,)",Apart from all the antiques Mr Grover also had piles of books about every subject under the sun and Paddington felt sure he would be able to explain the mystery .,"[Apart/RB, from/IN, all/PDT, the/DT, antiques/NNS, Mr/NN, Grover/NNP, also/RB, had/VBD, piles/NNS, of/IN, books/NNS, about/IN, every/DT, subject/NN, under/IN, the/DT, sun/NN, and/CC, Paddington/NN, felt/VBD, sure/JJ, he/PRP, would/MD, be/VB, able/JJ, to/TO, explain/VB, the/DT, mystery/NN, ./.]",(ROOT (S (ADVP (RB Apart)) (PP (IN from) (NP (PDT all) (DT the) (NNS antiques) (NN Mr))) (S (NP (NNP Grover)) (ADVP (RB also)) (VP (VBD had) (NP (NP (NNS piles)) (PP (IN of) (NP (NP (NNS books)) (PP (IN about) (NP (DT every) (NN subject)))))) (PP (IN under) (NP (DT the) (NN sun))))) (CC and) (S (NP (NN Paddington)) (VP (VBD felt) (ADJP (JJ sure) (SBAR (S (NP (PRP he)) (VP (MD would) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB explain) (NP (DT the) (NN mystery))))))))))))) (. .)))
7201,"(56,)",As soon as Paddington arrived Mr Grover made some cocoa and they settled down on the horse hair sofa at the back of the shop .,"[As/RB, soon/RB, as/IN, Paddington/NN, arrived/VBD, Mr/NN, Grover/NNP, made/VBD, some/DT, cocoa/NN, and/CC, they/PRP, settled/VBD, down/RP, on/IN, the/DT, horse/NN, hair/NN, sofa/NN, at/IN, the/DT, back/NN, of/IN, the/DT, shop/NN, ./.]",(ROOT (S (S (ADVP (RB As) (RB soon) (SBAR (IN as) (S (NP (NN Paddington)) (VP (VBD arrived) (NP (NN Mr)))))) (NP (NNP Grover)) (VP (VBD made) (NP (DT some) (NN cocoa)))) (CC and) (S (NP (PRP they)) (VP (VBD settled) (PRT (RP down)) (PP (IN on) (NP (DT the) (NN horse) (NN hair) (NN sofa))) (PP (IN at) (NP (NP (DT the) (NN back)) (PP (IN of) (NP (DT the) (NN shop))))))) (. .)))
7201,"(57,)",Tell me Mr Brown he said what is the problem .,"[Tell/VB, me/PRP, Mr/NNP, Brown/NNP, he/PRP, said/VBD, what/WP, is/VBZ, the/DT, problem/NN, ./.]",(ROOT (S (VP (VB Tell) (NP (PRP me)) (NP (NP (NNP Mr) (NNP Brown)) (SBAR (S (NP (PRP he)) (VP (VBD said) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (NP (DT the) (NN problem)))))))))) (. .)))
7201,"(58,)",I can see that you are very worried about something .,"[I/PRP, can/MD, see/VB, that/IN, you/PRP, are/VBP, very/RB, worried/JJ, about/IN, something/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (MD can) (VP (VB see) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP are) (ADJP (RB very) (JJ worried) (PP (IN about) (NP (NN something))))))))) (. .)))
