conversation_no,talk_day,length,topic_description,prompt,from_caller_sex,from_caller_education,from_caller_birth_year,from_caller_dialect_area,to_caller_sex,to_caller_education,to_caller_birth_year,to_caller_dialect_area,from_caller_id,to_caller_id
019102,911204,901,Unspecified,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
019202,911205,814,Unspecified,,MALE,9,1961,East Anglian,FEMALE,9,1939,North-east England,PS02H,PS02G
019301,911205,1211,  driving  ,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
019302,911205,342,  shopping for carpets  ,,FEMALE,9,1939,North-east England,UNKNOWN,9,1789,UNK,PS02G,PS6TB
019501,911205,234,  driving to work  ,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
019502,911205,234,  driving to work  ,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
009908,911130,21,Unspecified,,MALE,9,1916,Central south-west England,UNKNOWN,9,1789,UNK,PS1DA,KBAPSUNK
009910,911130,66,Unspecified,,MALE,9,1916,Central south-west England,FEMALE,9,1916,Central south-west England,PS1DA,PS1DB
009911,911130,12,Unspecified,,FEMALE,9,1916,Central south-west England,MALE,9,1916,Central south-west England,PS1DB,PS1DA
010001,911204,43, playing Bingo ,,MALE,9,1916,Central south-west England,FEMALE,9,1916,Central south-west England,PS1DA,PS1DB
010003,911204,16, playing Bingo ,,MALE,9,1916,Central south-west England,FEMALE,9,1916,Central south-west England,PS1DA,PS1DB
010004,911204,51, playing Bingo ,,MALE,9,1916,Central south-west England,FEMALE,9,1916,Central south-west England,PS1DA,PS1DB
010005,911204,12, playing Bingo ,,MALE,9,1916,Central south-west England,FEMALE,9,1916,Central south-west England,PS1DA,PS1DB
010006,911204,11, playing Bingo ,,MALE,9,1916,Central south-west England,FEMALE,9,1916,Central south-west England,PS1DA,PS1DB
014801,911128,21,Unspecified,,FEMALE,9,1971,Home Counties,UNKNOWN,9,1789,UNK,PS0KY,KDBPSUNK
014806,911128,10,Unspecified,,FEMALE,9,1971,Home Counties,UNKNOWN,9,1789,UNK,PS0KY,KDBPSUNK
014809,911129,15,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1971,Home Counties,KDBPSUNK,PS0KY
063602,920204,24, going for a walk ,,UNKNOWN,9,1789,UNK,FEMALE,9,1962,Lancashire,KDFPSUNK,PS0M6
063603,920204,311, coming in from walk ,,FEMALE,9,1962,Lancashire,MALE,9,1982,Lancashire,PS0M6,PS0M8
066401,920130,104,  helping son with homework  ,,MALE,9,1982,Scottish,FEMALE,9,1952,Scottish,PS148,PS147
066404,920131,284,  with children  ,,FEMALE,9,1952,Scottish,FEMALE,9,1982,Scottish,PS147,PS14A
004804,910531,214,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0E9,PS0E8
004806,910531,82,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0EA
004809,910531,81,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0EA
004811,910531,35,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
004812,910531,26,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0E9,PS0E8
004814,910531,46,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
004815,910531,34,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
004816,910531,118,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
004818,910531,24,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
004905,910531,30,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
004910,910531,36,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
004911,910531,648,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
004913,910531,28,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0E9
005002,910601,111,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1981,Home Counties,PS6ST,PS0E9
005011,910601,61,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0EA,PS0E8
005013,910601,87,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0E9,PS0E8
005101,910601,136,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0E9,PS0E8
005108,910601,122,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005109,910601,223,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005110,910601,43,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
005111,910601,51,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0EA
005201,910601,96,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005202,910601,38,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005203,910601,26,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
005204,910601,61,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005205,910601,25,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005206,910601,112,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005207,910601,36,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005208,910601,197,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005209,910601,105,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005210,910601,284,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005211,910601,36,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005212,910601,68,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005213,910601,28,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005214,910601,207,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005215,910601,46,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005216,910601,45,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005217,910601,54,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005219,910601,72,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005220,910601,113,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
005306,910601,375,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0EA,PS0E8
005307,910601,87,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0EA
005308,910601,78,Unspecified,,FEMALE,9,1981,Home Counties,FEMALE,9,1951,Home Counties,PS0EA,PS0E8
005309,910601,71,Unspecified,,FEMALE,9,1951,Home Counties,FEMALE,9,1981,Home Counties,PS0E8,PS0EA
005311,910601,100,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005312,910601,48,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005313,910601,94,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005314,910601,39,Unspecified,,FEMALE,9,1951,Home Counties,UNKNOWN,9,1789,UNK,PS0E8,PS6ST
005315,910601,34,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
005401,910601,176,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
005403,910601,95,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
005404,910601,142,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
005405,910601,48,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1951,Home Counties,PS6ST,PS0E8
059505,920131,332, relaxing and having a cigarette ,,FEMALE,9,1940,North-east England,FEMALE,9,1940,Central Northern England,PS59B,PS59C
059601,010101,0,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1789,North-east England,KR0PSUNK,PS59B
033601,920221,1771,  reading and talking  ,,FEMALE,9,1962,Home Counties,MALE,9,1962,North-east England,PS052,PS051
033602,920221,83,  reading and talking  ,,MALE,9,1962,North-east England,FEMALE,9,1962,Home Counties,PS051,PS052
132405,010101,69,Unspecified,,MALE,9,1789,London,MALE,9,1789,London,PS57T,PS57V
132406,010101,14,Unspecified,,MALE,9,1789,London,UNKNOWN,9,1789,UNK,PS57T,KPTPSUNK
135003,010101,0,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1789,London,PS6U2,PS54G
135004,010101,0,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1789,London,PS6U2,PS54G
023401,920314,0, eating ,,FEMALE,9,1952,Irish,MALE,9,1940,UNK,PS0F9,PS0F8
023404,920314,0, eating ,,MALE,9,1940,UNK,FEMALE,9,1952,Irish,PS0F8,PS0F9
023405,920314,0, eating ,,MALE,9,1940,UNK,FEMALE,9,1952,Irish,PS0F8,PS0F9
023407,920314,0, eating ,,MALE,9,1940,UNK,FEMALE,9,1952,Irish,PS0F8,PS0F9
023409,920316,0, general talk in kitchen area ,,MALE,9,1972,UNK,MALE,9,1940,UNK,PS0FA,PS0F8
023410,920316,0, general talk in kitchen area ,,MALE,9,1972,UNK,MALE,9,1940,UNK,PS0FA,PS0F8
023412,920316,0, walking up a hill? ,,UNKNOWN,9,1789,UNK,MALE,9,1940,UNK,KCLPSUNK,PS0F8
023601,920314,248, cleaning and cleaning ,,FEMALE,9,1952,Irish,MALE,9,1940,UNK,PS0F9,PS0F8
023702,920319,448, driving back from shopping ,,MALE,9,1940,UNK,MALE,9,1972,UNK,PS0F8,PS0FA
132201,931012,179,Unspecified,,FEMALE,9,1973,London,MALE,9,1963,London,PS6PC,PS6PD
132205,931016,321,  working  ,,FEMALE,9,1973,London,MALE,9,1963,London,PS6PC,PS6PD
043311,920222,0, talking ,,MALE,9,1972,UNK,UNKNOWN,9,1789,UNK,PS1BY,PS1K3
043313,920222,0, talking ,,UNKNOWN,9,1789,UNK,MALE,9,1972,UNK,PS1K3,PS1BY
043314,920222,0, talking ,,UNKNOWN,9,1789,UNK,MALE,9,1972,UNK,PS1K3,PS1BY
043315,920221,0, talking ,,MALE,9,1972,UNK,UNKNOWN,9,1789,UNK,PS1BY,PS1C0
043404,920227,0, talking ,,UNKNOWN,9,1789,UNK,MALE,9,1972,UNK,PS1K4,PS1BY
043405,920227,0, talking ,,MALE,9,1972,UNK,UNKNOWN,9,1789,UNK,PS1BY,PS1C0
043406,920227,0, talking ,,MALE,9,1972,UNK,UNKNOWN,9,1789,UNK,PS1BY,PS1C0
043407,920227,0, eating ,,MALE,9,1972,UNK,UNKNOWN,9,1789,UNK,PS1BY,PS1K2
043408,920227,0, talking ,,MALE,9,1972,UNK,UNKNOWN,9,1789,UNK,PS1BY,PS1K5
141002,010101,0,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1789,UNK,KNWPSUNK,PS4YM
029201,920315,225, having breakfast ,,MALE,9,1917,UNK,MALE,9,1940,London,PS007,PS006
029203,920316,2313, installing computor ,,FEMALE,9,1940,Welsh,MALE,9,1917,UNK,PS003,PS007
053204,920115,0,Unspecified,,MALE,9,1962,Welsh,MALE,9,1972,Welsh,PS11M,PS0FE
036001,9102,0,Unspecified,,MALE,9,1789,Home Counties,FEMALE,9,1789,Home Counties,PS069,PS10D
036002,9102,0,Unspecified,,FEMALE,9,1789,Home Counties,MALE,9,1789,Home Counties,PS10D,PS069
035602,9203,0,Unspecified,,FEMALE,9,1982,UNK,MALE,9,1952,Scottish,PS0KT,PS0KP
035605,9203,0,Unspecified,,MALE,9,1982,UNK,MALE,9,1952,Scottish,PS0KS,PS0KP
035606,9203,0,Unspecified,,FEMALE,9,1982,UNK,MALE,9,1952,Scottish,PS0KT,PS0KP
035702,9203,0,Unspecified,,MALE,9,1952,Scottish,FEMALE,9,1952,UNK,PS0KP,PS0KR
035707,9203,0,Unspecified,,FEMALE,9,1952,UNK,MALE,9,1952,Scottish,PS0KR,PS0KP
061605,920130,0, watching television ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J1,PS0J7
061607,920130,0, watching television ,,FEMALE,9,1940,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J4,PS0J1
061612,010101,0, computer class ,,FEMALE,9,1789,Central Northern England,UNKNOWN,9,1789,UNK,PS0J1,KD2PSUNK
061613,920130,0, watching television ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J1,PS0J7
061801,920202,0, reading a letter and making plans to go to America ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J1,PS0J7
061802,920202,0, reading a letter and making plans to go to America ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J7,PS0J1
061803,920202,0, reading a letter and making plans to go to America ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J7,PS0J1
061804,920202,0, reading a letter and making plans to go to America ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J7,PS0J1
061808,920202,0, reading a letter and making plans to go to America ,,FEMALE,9,1972,Central Northern England,FEMALE,9,1972,Central Northern England,PS0J1,PS0J7
015001,911128,21,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
015003,911128,198,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
015006,911128,66,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
015007,911128,24,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
015010,911128,38,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
015011,911128,39,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
015012,911128,18,Unspecified,,FEMALE,9,1981,London,FEMALE,9,1961,London,PS04X,PS04U
015013,911128,114,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
015014,911128,43,Unspecified,,FEMALE,9,1981,London,FEMALE,9,1961,London,PS04X,PS04U
015021,911128,103,Unspecified,,FEMALE,9,1961,London,MALE,9,1951,London,PS04U,PS04V
015101,911129,1285,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015102,911129,1056,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
015103,911129,644,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015104,911129,385,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015105,911129,1410,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
015202,911129,46,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
015204,911129,37,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
015206,911129,40,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015208,911129,14,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015210,911129,494,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015301,911129,76,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015302,911129,205,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015304,911129,2727,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015401,911130,593,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015402,911130,1281,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
015403,911130,786,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015404,911130,115,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015405,911130,315,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
015502,911129,34,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
015504,911129,813,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
015505,911129,65,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
015509,911129,1207,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015601,911129,146,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015602,911129,347,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
015603,911129,256,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015604,911129,73,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015605,911129,581,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015606,911129,96,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015607,911129,65,Unspecified,,FEMALE,9,1916,Home Counties,FEMALE,9,1961,London,PS04Y,PS04U
015608,911129,327,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1916,Home Counties,PS04U,PS04Y
015804,911201,30,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
015902,911204,99,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
015903,911204,842,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
015905,911204,54,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
015907,911204,42,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
015908,911204,95,Unspecified,,FEMALE,9,1961,London,MALE,9,1971,London,PS04U,PS04W
015910,911204,26,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
015912,911204,486,Unspecified,,FEMALE,9,1961,London,FEMALE,9,1981,London,PS04U,PS04X
140703,93,310,Unspecified,,UNKNOWN,9,1789,UNK,FEMALE,9,1983,London,KP3PSUNK,PS51F
060302,920201,38,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1962,Central Northern England,KBTPSUNK,PS07E
060303,920201,16,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1962,Central Northern England,KBTPSUNK,PS07E
073101,920403,78, in staff room ,,FEMALE,9,1952,North-west Midlands,UNKNOWN,9,1789,UNK,PS1AT,KCKPSUNK
073107,920403,87, teaching lesson ,,FEMALE,9,1952,North-west Midlands,UNKNOWN,9,1789,UNK,PS1AT,KCKPSUNK
049203,920112,1698,  having breakfast  ,,MALE,9,1917,Central Midlands,FEMALE,9,1917,Central Midlands,PS03S,PS03T
049204,920112,647,  filling in scrap photo album  ,,FEMALE,9,1917,Central Midlands,MALE,9,1917,Central Midlands,PS03T,PS03S
049205,920112,0,  preparing breakfast  ,,FEMALE,9,1917,Central Midlands,MALE,9,1917,Central Midlands,PS03T,PS03S
049206,920112,0,  filling in scrap photo album  ,,FEMALE,9,1917,Central Midlands,MALE,9,1917,Central Midlands,PS03T,PS03S
049402,920112,16,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1917,Central Midlands,KBBPSUNK,PS03S
049501,920113,2663,  having a late lunch and later having tea  ,,FEMALE,9,1917,Central Midlands,MALE,9,1917,Central Midlands,PS03T,PS03S
035201,920220,0, visiting friends ,,MALE,9,1972,Central south-west England,UNKNOWN,9,1789,UNK,PS0X2,KE5PSUNK
035202,920220,0, visiting friends ,,MALE,9,1972,Central south-west England,UNKNOWN,9,1789,UNK,PS0X2,KE5PSUNK
069401,920403,500,  talking with husband  ,,MALE,9,1940,North-east England,FEMALE,9,1940,Central Northern England,PS14C,PS14B
069402,920404,1573,  talking with husband  ,,FEMALE,9,1940,Central Northern England,MALE,9,1940,North-east England,PS14B,PS14C
069502,920404,120,  preparing dinner  ,,FEMALE,9,1940,Central Northern England,MALE,9,1940,North-east England,PS14B,PS14C
069503,920404,1237,  eating dinner  ,,FEMALE,9,1940,Central Northern England,MALE,9,1940,North-east England,PS14B,PS14C
069701,920404,241,  taking parcel to neighbour  ,,FEMALE,9,1952,North-east England,FEMALE,9,1940,Central Northern England,PS166,PS14B
069702,920404,2554,  talking with husband  ,,FEMALE,9,1940,Central Northern England,MALE,9,1940,North-east England,PS14B,PS14C
069801,920405,163,  husband leaving for work  ,,MALE,9,1940,North-east England,FEMALE,9,1940,Central Northern England,PS14C,PS14B
070002,920406,36,  going to school  ,,FEMALE,9,1940,Central Northern England,MALE,9,1982,North-east England,PS14B,PS16H
070202,920403,89,Unspecified,,FEMALE,9,1940,Central Northern England,MALE,9,1940,North-east England,PS14B,PS14C
070203,920403,133,Unspecified,,FEMALE,9,1940,Central Northern England,MALE,9,1940,North-east England,PS14B,PS14C
016106,911130,116, shopping ,,FEMALE,9,1971,London,FEMALE,9,1951,Upper south-west England,PS0NX,PS0P0
016202,911205,26,Unspecified,,FEMALE,9,1971,London,UNKNOWN,9,1789,UNK,PS0NX,KDLPSUNK
016204,911205,300,Unspecified,,FEMALE,9,1971,London,UNKNOWN,9,1789,UNK,PS0NX,KDLPSUNK
016205,911205,50,Unspecified,,FEMALE,9,1971,London,UNKNOWN,9,1789,UNK,PS0NX,KDLPSUNK
016206,911205,406,Unspecified,,FEMALE,9,1971,London,UNKNOWN,9,1789,UNK,PS0NX,KDLPSUNK
016302,911205,30,Unspecified,,FEMALE,9,1971,London,FEMALE,9,1916,Upper south-west England,PS0NX,PS0NY
020202,911202,194,  having tea  ,,FEMALE,9,1951,East Anglian,MALE,9,1981,East Anglian,PS0FP,PS0FR
020205,911203,266,  talking with son after school  ,,FEMALE,9,1951,East Anglian,MALE,9,1981,East Anglian,PS0FP,PS0FR
020206,911203,555,  talking with son  ,,MALE,9,1981,East Anglian,FEMALE,9,1951,East Anglian,PS0FR,PS0FP
020302,911203,2385,  talking  ,,MALE,9,1951,East Anglian,FEMALE,9,1951,East Anglian,PS0FS,PS0FP
020304,911203,183,  getting ready to go to school  ,,FEMALE,9,1951,East Anglian,MALE,9,1981,East Anglian,PS0FP,PS0FR
